1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,
(1 30.688154),(2 62.496952),(3 152.7937),(4 266.4089),(5 322.6312),(6 418.1049),(7 539.4836),(8 607.3293),(9 729.11304),(10 836.31226),(11 883.6483),(12 996.55585),(13 1105.2926),(14 1130.3962),(15 1216.8983),(16 1271.7872),(17 1300.4586),(18 1345.4835),(19 1395.3081),(20 1398.0092),(21 1417.7504),(22 1412.9148),(23 1408.7146),(24 1399.7532),(25 1407.8184),(26 1412.3259),(27 1417.2134),(28 1410.4663),(29 1401.1945),(30 1378.4897),(31 1353.6621),(32 1352.3932),(33 1349.4501),(34 1304.8075),(35 1270.8827),(36 1205.7997),(37 1185.6495),(38 1171.5192),(39 1191.7711),(40 1215.4983),(41 1227.8727),(42 1289.8525),(43 1329.2585),(44 1325.0519),(45 1302.356),(46 1252.2504),(47 1231.0139),(48 1178.808),(49 1140.392),(50 1112.1265),(51 1038.2268),(52 996.39404),(53 982.6823),(54 971.94604),(55 936.034),(56 920.9885),(57 885.94586),(58 857.3077),(59 843.8982),(60 822.4483),(61 813.49097),(62 804.76605),(63 818.01465),(64 849.44507),(65 877.70355),(66 938.42474),(67 989.32245),(68 1005.5122),(69 994.46246),(70 970.812),(71 926.80914),(72 912.18),(73 881.248),(74 878.12494),(75 886.9612),(76 907.31104),(77 952.95294),(78 971.0384),(79 970.92926),
(1 50.49665),(2 102.06841),(3 213.0271),(4 347.99744),(5 420.10907),(6 594.1866),(7 755.4259),(8 839.4396),(9 992.1341),(10 1118.1735),(11 1164.0817),(12 1270.9075),(13 1357.568),(14 1388.2595),(15 1523.1588),(16 1638.0819),(17 1676.9368),(18 1735.719),(19 1798.7506),(20 1801.5889),(21 1785.535),(22 1718.9634),(23 1667.1969),(24 1563.8702),(25 1427.1409),(26 1351.9629),(27 1223.981),(28 1086.2015),(29 1021.66284),(30 917.01807),(31 844.1762),(32 829.6241),(33 830.4127),(34 820.53357),(35 803.09467),(36 778.4273),(37 763.194),(38 759.0611),(39 751.5537),(40 732.6523),(41 727.9904),(42 744.204),(43 776.7833),(44 792.9555),(45 831.5305),(46 864.873),(47 878.57806),(48 897.8682),(49 913.5662),(50 909.25977),(51 859.309),(52 828.4499),(53 823.0772),(54 829.71234),(55 820.58563),(56 818.458),(57 816.9127),(58 826.0141),(59 809.0906),(60 781.42377),(61 760.64264),(62 765.3169),(63 785.27527),(64 797.7526),(65 798.52496),(66 800.3618),(67 793.3061),(68 791.89294),(69 788.47925),(70 794.314),(71 807.49255),(72 803.0396),(73 807.7138),(74 821.9246),(75 821.0738),(76 811.6848),(77 797.951),(78 784.57324),(79 784.3941),
(1 21.194132),(2 40.24291),(3 89.05486),(4 143.60818),(5 163.22443),(6 210.2435),(7 240.81981),(8 262.05173),(9 311.2668),(10 348.34656),(11 362.37134),(12 404.79556),(13 424.76328),(14 419.61804),(15 411.34937),(16 414.97342),(17 421.39536),(18 425.9664),(19 439.53836),(20 456.17972),(21 484.58624),(22 520.3399),(23 550.7832),(24 561.6183),(25 562.8388),(26 553.2581),(27 516.81415),(28 493.45068),(29 482.97433),(30 483.57138),(31 493.04556),(32 499.46332),(33 501.34012),(34 507.22604),(35 507.0386),(36 492.30716),(37 468.53015),(38 458.25555),(39 431.40842),(40 424.67984),(41 427.0294),(42 435.17447),(43 453.33716),(44 456.04175),(45 441.60144),(46 433.263),(47 423.7304),(48 427.49478),(49 438.60025),(50 439.919),(51 431.91888),(52 426.04086),(53 436.97192),(54 483.90973),(55 502.05554),(56 498.4113),(57 484.00137),(58 457.28802),(59 450.35214),(60 439.5554),(61 426.3157),(62 417.0112),(63 404.13953),(64 409.4744),(65 413.82986),(66 422.5227),(67 402.21234),(68 392.64224),(69 389.3392),(70 391.69086),(71 383.82562),(72 380.03925),(73 394.31616),(74 411.56558),(75 410.17603),(76 396.31412),(77 398.46802),(78 398.79327),(79 398.74094),
(1 48.3726),(2 94.69198),(3 204.81163),(4 290.26862),(5 324.96832),(6 351.94583),(7 343.1182),(8 346.84998),(9 347.1848),(10 363.84616),(11 372.7575),(12 394.92618),(13 394.5442),(14 387.14395),(15 391.56836),(16 399.51843),(17 385.6287),(18 363.0605),(19 368.04742),(20 378.33304),(21 439.63754),(22 508.93658),(23 552.42865),(24 614.2005),(25 656.8426),(26 672.14087),(27 700.20026),(28 711.9376),(29 715.73566),(30 724.39984),(31 710.01495),(32 697.0586),(33 656.2826),(34 626.2936),(35 618.99695),(36 605.42426),(37 595.7923),(38 579.6399),(39 570.58105),(40 558.9816),(41 542.9446),(42 527.00116),(43 491.1106),(44 470.55795),(45 432.62186),(46 423.597),(47 429.1478),(48 456.78857),(49 492.1208),(50 488.26578),(51 483.23978),(52 496.80893),(53 510.82312),(54 569.44354),(55 603.5076),(56 614.3742),(57 608.53687),(58 595.858),(59 593.8368),(60 584.9786),(61 563.45874),(62 553.1947),(63 527.55035),(64 527.7747),(65 525.44025),(66 524.10333),(67 520.22314),(68 536.9045),(69 541.99225),(70 547.9923),(71 533.9256),(72 534.39325),(73 530.45056),(74 502.35144),(75 494.8538),(76 493.28442),(77 492.2029),(78 506.0525),(79 505.91516),
(1 59.421677),(2 117.89985),(3 241.53258),(4 318.829),(5 344.90027),(6 344.91867),(7 313.71255),(8 308.9196),(9 301.35355),(10 321.48322),(11 337.8896),(12 392.09543),(13 429.90753),(14 428.29022),(15 405.8417),(16 412.84216),(17 417.80646),(18 430.85123),(19 448.4195),(20 454.19675),(21 464.84076),(22 477.36783),(23 489.0825),(24 489.98663),(25 484.22314),(26 496.16867),(27 542.2994),(28 594.2553),(29 610.5589),(30 634.63385),(31 641.30005),(32 646.09344),(33 636.2287),(34 620.548),(35 614.9219),(36 605.7853),(37 584.5343),(38 568.4286),(39 559.5419),(40 546.13403),(41 527.9466),(42 499.18454),(43 454.22263),(44 439.64227),(45 443.8309),(46 462.23053),(47 467.24762),(48 498.35526),(49 534.1394),(50 531.98663),(51 520.2112),(52 508.7842),(53 510.3024),(54 510.67038),(55 523.405),(56 526.48517),(57 497.3178),(58 478.9968),(59 469.7104),(60 468.8877),(61 462.84933),(62 454.66367),(63 435.41574),(64 419.07877),(65 411.05554),(66 398.98306),(67 391.21814),(68 416.57358),(69 431.51938),(70 474.91098),(71 508.41684),(72 527.62006),(73 544.1632),(74 550.55774),(75 545.854),(76 535.99927),(77 533.9341),(78 549.636),(79 549.5694),
(1 49.249058),(2 90.04226),(3 162.75775),(4 237.32076),(5 275.42575),(6 318.45532),(7 331.6765),(8 342.44543),(9 330.20135),(10 319.64648),(11 322.5606),(12 335.71014),(13 332.70493),(14 329.41556),(15 332.66534),(16 356.097),(17 362.2931),(18 375.15845),(19 359.00278),(20 351.87393),(21 332.98862),(22 314.55844),(23 308.23044),(24 310.13705),(25 347.58896),(26 363.27362),(27 405.14938),(28 413.41446),(29 403.7249),(30 378.54337),(31 373.6724),(32 382.28107),(33 411.6643),(34 441.50964),(35 449.91885),(36 465.88486),(37 467.60226),(38 466.22086),(39 447.97375),(40 425.17438),(41 408.38977),(42 370.91968),(43 336.78564),(44 328.34442),(45 341.20346),(46 353.08185),(47 357.3456),(48 367.26395),(49 348.59128),(50 336.08658),(51 324.62756),(52 304.49008),(53 305.9775),(54 318.70056),(55 345.73212),(56 350.87704),(57 352.8768),(58 356.14667),(59 357.3175),(60 358.4882),(61 357.18518),(62 350.76797),(63 328.33972),(64 319.02512),(65 315.4729),(66 321.7437),(67 342.90308),(68 384.5052),(69 395.7736),(70 420.11267),(71 406.14667),(72 400.39014),(73 387.06744),(74 407.81708),(75 416.93173),(76 437.42798),(77 439.02115),(78 451.3322),(79 451.37137),
(1 52.1568),(2 99.18887),(3 194.3169),(4 257.78873),(5 274.4009),(6 269.54398),(7 255.63405),(8 255.88832),(9 233.21179),(10 210.7337),(11 201.05591),(12 224.32501),(13 257.72595),(14 263.33176),(15 275.71875),(16 297.0097),(17 300.00638),(18 305.8747),(19 316.9202),(20 315.61606),(21 310.72568),(22 337.14886),(23 351.66562),(24 386.75308),(25 421.40338),(26 428.48975),(27 440.59418),(28 437.42435),(29 425.55847),(30 402.205),(31 389.0343),(32 379.35977),(33 367.40768),(34 374.46616),(35 386.6136),(36 423.26456),(37 460.7367),(38 470.7925),(39 481.1976),(40 472.51706),(41 465.96774),(42 439.31702),(43 386.24445),(44 360.0604),(45 334.45438),(46 328.50534),(47 325.0856),(48 338.47162),(49 344.3127),(50 346.57986),(51 344.67987),(52 328.7098),(53 326.31937),(54 354.96826),(55 368.74088),(56 372.5465),(57 361.8808),(58 345.05002),(59 336.66495),(60 345.43262),(61 338.19766),(62 337.36053),(63 336.4444),(64 336.06583),(65 325.19284),(66 301.96365),(67 294.43588),(68 335.0187),(69 356.3979),(70 394.72467),(71 409.3235),(72 405.22998),(73 390.34756),(74 375.7246),(75 376.30923),(76 373.87192),(77 365.3952),(78 374.83084),(79 374.78687),
(1 45.76669),(2 84.73067),(3 155.87802),(4 221.45728),(5 235.0537),(6 238.51169),(7 230.07626),(8 234.02122),(9 223.15633),(10 223.36012),(11 219.65213),(12 235.67455),(13 266.3988),(14 282.82547),(15 316.95758),(16 325.33295),(17 329.4977),(18 349.35965),(19 361.9547),(20 356.40912),(21 348.97018),(22 331.71518),(23 325.86856),(24 341.47626),(25 370.03595),(26 375.88644),(27 381.94727),(28 386.10043),(29 397.10703),(30 396.6134),(31 384.13892),(32 375.51724),(33 372.6086),(34 384.3344),(35 385.19077),(36 390.0681),(37 398.9805),(38 393.6544),(39 384.59885),(40 361.75525),(41 359.96002),(42 364.53854),(43 376.06174),(44 368.31335),(45 353.09204),(46 333.29752),(47 321.11487),(48 299.86725),(49 306.26035),(50 313.314),(51 337.4959),(52 339.8223),(53 345.5752),(54 359.3075),(55 367.97818),(56 368.3045),(57 380.56134),(58 376.16095),(59 369.37784),(60 355.70596),(61 343.85086),(62 339.5501),(63 327.3688),(64 326.8016),(65 327.42282),(66 325.754),(67 334.5737),(68 365.83133),(69 377.77335),(70 395.31644),(71 394.5514),(72 390.48053),(73 378.4807),(74 371.33118),(75 372.14853),(76 372.5045),(77 371.26617),(78 381.25757),(79 381.2582),
(1 59.723007),(2 107.95943),(3 190.15472),(4 223.99884),(5 243.6322),(6 280.8846),(7 290.3163),(8 284.60333),(9 261.88538),(10 268.5887),(11 270.28793),(12 285.79996),(13 303.15445),(14 309.05746),(15 319.57327),(16 346.38217),(17 362.3181),(18 377.5121),(19 350.16797),(20 340.23196),(21 334.94955),(22 342.83636),(23 355.55887),(24 389.2715),(25 428.15833),(26 444.94873),(27 489.87823),(28 507.99),(29 508.69885),(30 483.8167),(31 489.6593),(32 494.28436),(33 498.03317),(34 486.09152),(35 477.87518),(36 461.2042),(37 455.48593),(38 450.1478),(39 441.0283),(40 428.18167),(41 415.969),(42 408.7729),(43 395.6912),(44 382.84692),(45 353.07822),(46 334.51422),(47 326.2022),(48 331.55225),(49 348.86557),(50 351.21902),(51 357.7662),(52 369.07877),(53 376.86002),(54 367.03827),(55 366.15707),(56 367.17258),(57 360.34818),(58 359.33237),(59 362.10535),(60 386.0917),(61 413.19678),(62 420.39423),(63 415.77008),(64 402.69592),(65 395.32486),(66 393.92108),(67 394.96918),(68 396.94153),(69 392.95258),(70 384.7784),(71 376.53378),(72 369.31274),(73 352.17725),(74 343.6575),(75 352.8312),(76 382.03412),(77 387.0019),(78 387.35504),(79 387.34372),
(1 72.5177),(2 127.72703),(3 218.94109),(4 236.76743),(5 219.38136),(6 195.86407),(7 213.85771),(8 220.44606),(9 228.66098),(10 246.55415),(11 254.61798),(12 250.72116),(13 243.31168),(14 253.55304),(15 285.509),(16 320.1484),(17 340.51874),(18 322.23132),(19 267.8941),(20 248.34276),(21 241.88904),(22 266.68185),(23 292.17346),(24 355.69092),(25 373.7306),(26 370.07013),(27 343.03418),(28 333.26874),(29 336.2282),(30 344.54953),(31 373.55695),(32 391.1342),(33 403.96118),(34 397.24136),(35 393.32022),(36 382.77933),(37 371.649),(38 368.89285),(39 346.4171),(40 342.42148),(41 342.13504),(42 348.9961),(43 349.98978),(44 356.33102),(45 366.30594),(46 363.57147),(47 354.93954),(48 351.60983),(49 343.08087),(50 340.9292),(51 327.23883),(52 325.80145),(53 330.6327),(54 320.01315),(55 299.02777),(56 296.4415),(57 306.39014),(58 297.0652),(59 282.4231),(60 263.74808),(61 277.43808),(62 291.16782),(63 312.89386),(64 310.93567),(65 305.16232),(66 297.24774),(67 305.91153),(68 336.86652),(69 344.03552),(70 341.21866),(71 320.36307),(72 307.74228),(73 274.3712),(74 268.25903),(75 278.66483),(76 289.17236),(77 302.3329),(78 322.87903),(79 322.92624),
(1 53.10709),(2 88.56258),(3 146.20628),(4 172.12508),(5 174.16252),(6 183.07213),(7 210.05846),(8 227.99222),(9 240.05418),(10 228.5679),(11 214.7049),(12 196.2449),(13 199.54593),(14 212.4815),(15 236.83752),(16 248.61713),(17 244.39828),(18 234.97618),(19 233.00996),(20 235.11174),(21 260.59454),(22 303.22336),(23 317.14597),(24 309.27515),(25 296.40146),(26 296.9588),(27 333.63617),(28 366.98663),(29 371.00723),(30 366.81284),(31 346.57355),(32 345.82275),(33 355.58322),(34 357.44965),(35 348.24472),(36 337.23898),(37 338.5754),(38 343.2789),(39 342.97214),(40 345.02625),(41 346.43854),(42 343.1726),(43 316.10614),(44 303.29205),(45 283.65436),(46 289.376),(47 296.95566),(48 304.2685),(49 301.72708),(50 306.48557),(51 320.16418),(52 315.4493),(53 301.6984),(54 281.99142),(55 255.96265),(56 246.91074),(57 241.28514),(58 266.0183),(59 277.14938),(60 285.02887),(61 284.04193),(62 282.82208),(63 292.68503),(64 310.62698),(65 314.55118),(66 311.34564),(67 317.10678),(68 328.50867),(69 322.41263),(70 305.6725),(71 284.98352),(72 281.25244),(73 278.4356),(74 279.78607),(75 280.51715),(76 285.92728),(77 288.2015),(78 293.6093),(79 293.6122),
