1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 4.864093),(2 7.564549),(3 10.594093),(4 8.5178385),(5 8.713774),(6 9.423117),(7 14.189267),(8 16.10689),(9 16.707308),(10 20.613997),(11 25.056072),(12 31.328722),(13 47.475964),(14 53.77597),(15 67.29612),(16 61.20098),(17 60.340073),(18 56.77042),(19 59.460064),(20 66.852),(21 81.46174),(22 89.40704),(23 96.85356),(24 120.74667),(25 152.58812),(26 164.27322),(27 177.15192),(28 161.03398),(29 149.1966),(30 142.2702),(31 125.83695),(32 120.51352),(33 111.88599),(34 103.89967),(35 96.32812),(36 86.55584),(37 84.89294),(38 85.83249),(39 84.87359),(40 75.37368),(41 72.77103),(42 73.8224),(43 75.77977),(44 77.44627),(45 84.54214),(46 84.92239),(47 87.05315),(48 79.75073),(49 69.23907),(50 67.23804),(51 57.455315),(52 57.040237),(53 54.14142),(54 50.24767),(55 52.391956),(56 49.56134),(57 52.291588),(58 56.390415),(59 54.09338),(60 56.576324),(61 52.83065),(62 49.26456),(63 42.45436),(64 39.66089),(65 37.984425),(66 36.267715),(67 36.360027),(68 39.892384),(69 38.990974),(70 42.388233),(71 40.26523),(72 39.824978),(73 38.737732),(74 41.45063),(75 42.85527),(76 42.453632),(77 44.075264),(78 48.059055),(79 48.090187),
(1 10.723595),(2 22.565609),(3 45.061382),(4 77.9625),(5 89.27703),(6 132.3369),(7 184.98283),(8 211.25742),(9 209.02867),(10 218.14542),(11 222.96292),(12 225.5547),(13 220.38577),(14 212.49405),(15 197.31693),(16 170.75725),(17 158.6971),(18 142.14731),(19 141.47113),(20 141.41812),(21 163.6397),(22 181.40852),(23 196.27757),(24 239.57869),(25 265.60165),(26 282.59033),(27 304.57785),(28 320.87573),(29 325.86108),(30 308.91257),(31 297.08136),(32 299.68787),(33 307.0138),(34 304.47253),(35 309.4753),(36 314.86295),(37 330.37357),(38 333.17206),(39 321.8033),(40 301.85065),(41 306.06366),(42 318.03928),(43 325.45657),(44 328.84265),(45 344.7108),(46 351.1153),(47 357.71735),(48 371.66043),(49 355.82394),(50 357.51535),(51 340.28372),(52 340.26678),(53 337.89337),(54 345.29965),(55 358.96826),(56 361.22638),(57 352.4835),(58 358.8903),(59 348.99756),(60 346.9424),(61 332.57397),(62 318.71344),(63 285.70743),(64 257.05063),(65 246.76437),(66 225.06506),(67 194.23787),(68 188.45183),(69 182.52507),(70 170.54076),(71 164.77177),(72 164.14955),(73 176.03209),(74 193.34224),(75 209.99359),(76 215.60603),(77 198.58755),(78 192.13028),(79 192.30934),
(1 11.519472),(2 19.965986),(3 43.390472),(4 72.99317),(5 78.85553),(6 106.256805),(7 140.4684),(8 155.49524),(9 160.14365),(10 178.71393),(11 188.11142),(12 210.80717),(13 231.03525),(14 234.91078),(15 236.1504),(16 220.21367),(17 214.73341),(18 208.11119),(19 213.35075),(20 210.89671),(21 228.70474),(22 243.78174),(23 262.0528),(24 315.6627),(25 377.84174),(26 398.18082),(27 447.937),(28 453.79642),(29 457.28568),(30 441.65918),(31 410.0844),(32 400.16776),(33 374.03488),(34 372.291),(35 375.80884),(36 387.92526),(37 408.8532),(38 420.4947),(39 432.28073),(40 423.43073),(41 424.1287),(42 438.04434),(43 435.852),(44 434.34796),(45 444.00577),(46 452.0496),(47 443.16962),(48 423.73343),(49 409.24792),(50 409.8744),(51 400.4946),(52 400.23917),(53 399.9421),(54 392.6752),(55 373.2293),(56 369.84402),(57 369.12683),(58 364.17923),(59 354.8317),(60 343.41385),(61 334.33542),(62 334.5588),(63 326.26172),(64 327.33624),(65 328.16235),(66 342.77988),(67 351.82718),(68 357.867),(69 349.55923),(70 348.6712),(71 329.91995),(72 329.26266),(73 345.7862),(74 354.7319),(75 360.60983),(76 370.1926),(77 381.8931),(78 395.41547),(79 395.511),
(1 29.87802),(2 48.33164),(3 100.00014),(4 154.04463),(5 166.54633),(6 204.24924),(7 242.4462),(8 267.1369),(9 303.33804),(10 313.1539),(11 314.82175),(12 304.86703),(13 287.1548),(14 284.41714),(15 282.55075),(16 289.57693),(17 300.38055),(18 326.36392),(19 334.52368),(20 324.55063),(21 303.22864),(22 271.09525),(23 274.47684),(24 277.18085),(25 300.19025),(26 311.40317),(27 339.0605),(28 347.45877),(29 339.50308),(30 333.98196),(31 325.6198),(32 332.5421),(33 346.29956),(34 355.68524),(35 348.88324),(36 356.5857),(37 370.595),(38 383.2783),(39 392.46082),(40 390.957),(41 373.58408),(42 345.3505),(43 313.50952),(44 308.47702),(45 321.1826),(46 342.30002),(47 335.9796),(48 320.42337),(49 324.31982),(50 328.98254),(51 327.57788),(52 310.52817),(53 307.42783),(54 308.54178),(55 300.49878),(56 296.54062),(57 291.05276),(58 297.2132),(59 292.92447),(60 300.79834),(61 310.0831),(62 307.8956),(63 304.22894),(64 301.03067),(65 302.8922),(66 315.85156),(67 318.3429),(68 325.45163),(69 322.34808),(70 318.02185),(71 327.71707),(72 336.51898),(73 364.99936),(74 388.09915),(75 391.58035),(76 395.8576),(77 403.17786),(78 403.4576),(79 403.31174),
(1 35.95653),(2 62.764385),(3 134.83832),(4 210.42026),(5 242.64684),(6 316.93686),(7 370.09515),(8 401.1175),(9 460.09366),(10 491.73575),(11 505.67038),(12 519.0564),(13 527.58527),(14 524.94464),(15 536.7),(16 583.20624),(17 609.4162),(18 646.4343),(19 660.32623),(20 663.8254),(21 632.6949),(22 593.7108),(23 592.4202),(24 604.10754),(25 619.4569),(26 633.41174),(27 665.5407),(28 681.36066),(29 686.3774),(30 729.3676),(31 770.66656),(32 789.8675),(33 793.2933),(34 773.4666),(35 738.1816),(36 664.579),(37 615.19),(38 608.3834),(39 601.7722),(40 585.0539),(41 590.10077),(42 614.09045),(43 648.71564),(44 673.36633),(45 720.549),(46 756.6493),(47 745.4588),(48 729.1303),(49 699.52814),(50 697.4577),(51 633.0475),(52 600.7272),(53 585.6422),(54 596.4754),(55 592.08234),(56 597.97815),(57 586.5305),(58 573.43146),(59 563.7582),(60 579.6723),(61 573.2476),(62 558.287),(63 539.21686),(64 522.5033),(65 509.6125),(66 496.10352),(67 470.45767),(68 450.8998),(69 440.31863),(70 431.62326),(71 423.58347),(72 425.32788),(73 423.08832),(74 447.31308),(75 461.3499),(76 466.57297),(77 461.90775),(78 464.6577),(79 464.44745),
(1 30.422012),(2 54.024017),(3 117.54876),(4 180.21014),(5 207.46672),(6 238.8355),(7 254.62148),(8 262.11566),(9 272.8251),(10 281.30554),(11 289.3959),(12 311.44174),(13 329.85593),(14 333.4396),(15 333.66885),(16 330.99103),(17 318.3443),(18 317.58868),(19 305.03326),(20 295.5108),(21 289.57843),(22 301.8456),(23 318.3101),(24 350.56693),(25 382.9147),(26 405.3929),(27 432.06848),(28 469.3009),(29 483.0584),(30 525.1277),(31 559.62146),(32 591.19275),(33 621.9433),(34 636.7297),(35 624.933),(36 610.8545),(37 579.6085),(38 558.3573),(39 512.42017),(40 476.2559),(41 469.1067),(42 476.77646),(43 474.58856),(44 479.26965),(45 490.68234),(46 498.51672),(47 499.36023),(48 510.1553),(49 509.9452),(50 501.65857),(51 469.62732),(52 438.7559),(53 426.72787),(54 424.60303),(55 442.55847),(56 446.4205),(57 452.4393),(58 449.66843),(59 460.43884),(60 485.3449),(61 480.28876),(62 479.7957),(63 480.36703),(64 501.69107),(65 509.729),(66 536.319),(67 544.24884),(68 558.15814),(69 565.6453),(70 580.6624),(71 572.16705),(72 573.6457),(73 575.90796),(74 579.409),(75 579.8583),(76 580.7904),(77 580.96155),(78 586.4454),(79 586.39355),
(1 56.799946),(2 103.01151),(3 200.1222),(4 285.11035),(5 327.49078),(6 387.59134),(7 415.2295),(8 443.57315),(9 470.92365),(10 498.0364),(11 513.2544),(12 565.02466),(13 600.4357),(14 613.61774),(15 643.5155),(16 681.0329),(17 668.9485),(18 653.258),(19 620.17755),(20 616.8223),(21 640.0825),(22 686.1143),(23 726.0065),(24 783.3929),(25 848.57385),(26 864.8434),(27 893.71857),(28 938.9157),(29 961.1526),(30 1041.9097),(31 1096.0304),(32 1091.9098),(33 1071.4315),(34 1052.6056),(35 1040.1313),(36 1008.8707),(37 986.2601),(38 941.49194),(39 867.4442),(40 789.15216),(41 762.9962),(42 750.0039),(43 721.1982),(44 714.1656),(45 721.19495),(46 744.1293),(47 769.5822),(48 801.088),(49 831.1228),(50 841.43964),(51 809.25586),(52 758.2597),(53 738.59283),(54 753.8013),(55 780.1882),(56 784.6126),(57 797.90265),(58 841.8444),(59 868.4436),(60 943.02405),(61 979.3778),(62 996.33417),(63 1007.0136),(64 1020.75757),(65 1009.0487),(66 989.7302),(67 997.6885),(68 1027.1665),(69 1036.9169),(70 1086.9017),(71 1074.8616),(72 1052.5153),(73 940.01984),(74 886.1764),(75 850.0481),(76 806.4843),(77 794.9246),(78 797.7509),(79 797.6074),
(1 67.77374),(2 133.92581),(3 273.0602),(4 326.39783),(5 338.2586),(6 346.2589),(7 326.4436),(8 328.6458),(9 316.6926),(10 327.48578),(11 334.32816),(12 380.39624),(13 419.3268),(14 423.69913),(15 441.57318),(16 500.07336),(17 525.1586),(18 568.9568),(19 587.85535),(20 584.2642),(21 552.508),(22 550.1032),(23 550.6671),(24 553.1077),(25 551.4893),(26 566.2883),(27 628.9403),(28 734.869),(29 771.9383),(30 848.09283),(31 916.36304),(32 938.5882),(33 947.3904),(34 918.8278),(35 891.34265),(36 811.94324),(37 726.867),(38 684.4533),(39 622.13806),(40 556.64606),(41 521.9978),(42 463.15613),(43 427.9017),(44 423.23227),(45 454.8562),(46 503.57825),(47 531.3523),(48 596.2982),(49 654.02155),(50 666.7176),(51 679.6228),(52 651.9341),(53 624.70355),(54 589.9506),(55 564.4445),(56 557.454),(57 533.3948),(58 517.2418),(59 508.09943),(60 532.09845),(61 574.3362),(62 592.27954),(63 593.25134),(64 557.71844),(65 535.80096),(66 500.4417),(67 504.59882),(68 524.26526),(69 544.0004),(70 586.5593),(71 637.94305),(72 661.90216),(73 734.70593),(74 736.417),(75 732.00525),(76 758.56775),(77 779.51776),(78 808.0941),(79 807.9527),
(1 56.880543),(2 99.88606),(3 183.11455),(4 294.40872),(5 343.32388),(6 385.25256),(7 362.05084),(8 360.12665),(9 324.34247),(10 330.16815),(11 341.97827),(12 395.57977),(13 446.64914),(14 454.47385),(15 437.92178),(16 443.4087),(17 453.24106),(18 489.48007),(19 528.2686),(20 555.6304),(21 620.4749),(22 678.6013),(23 688.6441),(24 677.36334),(25 666.7239),(26 674.9456),(27 737.5165),(28 800.542),(29 813.845),(30 833.8939),(31 875.59863),(32 912.49115),(33 932.3942),(34 916.68524),(35 893.3735),(36 862.0281),(37 807.3936),(38 771.0516),(39 735.7974),(40 671.84753),(41 642.4714),(42 609.094),(43 568.3117),(44 547.861),(45 557.8354),(46 556.0027),(47 548.56836),(48 538.99194),(49 518.68646),(50 497.76166),(51 455.09564),(52 419.66953),(53 411.31125),(54 422.49384),(55 443.46973),(56 448.65887),(57 454.4185),(58 463.04297),(59 467.8953),(60 500.9073),(61 518.33466),(62 523.54596),(63 518.4796),(64 532.1184),(65 542.75665),(66 576.6242),(67 573.0192),(68 595.8637),(69 597.385),(70 592.08887),(71 567.8923),(72 568.6092),(73 570.09814),(74 602.8251),(75 616.0576),(76 632.77),(77 652.7331),(78 673.2416),(79 673.31024),
(1 62.165867),(2 107.92196),(3 187.83385),(4 209.96848),(5 234.24861),(6 264.6252),(7 279.56036),(8 307.75317),(9 309.1474),(10 318.6216),(11 318.68762),(12 354.45465),(13 360.41714),(14 347.15823),(15 319.45203),(16 331.44305),(17 337.75415),(18 345.48465),(19 352.4727),(20 358.69357),(21 383.92554),(22 432.96335),(23 442.33588),(24 452.85947),(25 478.07635),(26 495.91846),(27 552.4896),(28 624.10583),(29 647.6969),(30 671.1285),(31 695.38495),(32 719.6876),(33 767.1236),(34 774.5321),(35 767.6645),(36 777.4581),(37 757.30554),(38 735.1964),(39 683.70294),(40 627.16455),(41 596.9934),(42 557.63556),(43 534.88),(44 534.50616),(45 555.5084),(46 553.06067),(47 543.9029),(48 540.47375),(49 533.4496),(50 516.37744),(51 465.28372),(52 412.41034),(53 402.2956),(54 383.10712),(55 387.03577),(56 394.3201),(57 405.19852),(58 423.8883),(59 434.20053),(60 464.50937),(61 481.30954),(62 483.87897),(63 486.08136),(64 507.98895),(65 519.49994),(66 545.5006),(67 566.5744),(68 587.1067),(69 586.4016),(70 597.05634),(71 596.4188),(72 597.66174),(73 597.74396),(74 579.3648),(75 578.3121),(76 588.2779),(77 610.81836),(78 641.2526),(79 641.2856),
(1 76.460396),(2 149.44771),(3 281.9213),(4 413.5831),(5 510.3155),(6 606.14984),(7 650.95416),(8 674.3693),(9 623.1946),(10 537.96735),(11 522.0897),(12 553.535),(13 566.0348),(14 586.5184),(15 616.8699),(16 690.08203),(17 716.6383),(18 758.812),(19 790.69214),(20 770.2379),(21 692.4604),(22 624.1514),(23 618.18805),(24 654.8893),(25 711.8098),(26 729.16034),(27 714.2954),(28 683.01416),(29 656.0492),(30 658.09705),(31 687.1721),(32 681.4236),(33 663.26324),(34 661.6399),(35 651.99854),(36 667.5652),(37 698.0272),(38 711.2833),(39 740.1201),(40 731.88226),(41 713.3437),(42 678.7257),(43 615.10345),(44 572.6721),(45 520.0165),(46 497.80804),(47 493.601),(48 519.52576),(49 498.50604),(50 490.86362),(51 499.29486),(52 484.47137),(53 477.39236),(54 471.6571),(55 466.9391),(56 464.07343),(57 471.56653),(58 456.16766),(59 438.53503),(60 409.38712),(61 386.22583),(62 384.9182),(63 387.1006),(64 406.85144),(65 420.6611),(66 458.21793),(67 511.37878),(68 559.9495),(69 565.7102),(70 570.8258),(71 558.9502),(72 559.9649),(73 560.57556),(74 586.2207),(75 585.0922),(76 573.704),(77 575.3432),(78 601.4528),(79 601.2315),
