1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,
(1 601.94324),(2 1540.7314),(3 2348.7822),(4 2882.9563),(5 3118.977),(6 3147.6323),(7 3127.8748),(8 3128.4382),(9 3092.5564),(10 3071.4163),(11 2964.8003),(12 2860.854),(13 2819.375),(14 2819.0405),(15 2917.8203),(16 3003.8018),(17 3068.9165),(18 3053.8706),(19 2929.927),(20 2823.479),(21 2693.2354),(22 2616.805),(23 2651.4248),(24 2726.2698),(25 2813.9639),(26 2830.353),(27 2873.943),(28 2976.6055),(29 3093.6914),(30 3157.4705),(31 3094.9646),(32 2863.4531),(33 2576.5603),(34 2403.4124),(35 2355.9587),(36 2486.3542),(37 2786.6648),(38 3061.6143),(39 3215.2925),(40 3237.9944),(41 3186.4092),(42 3185.1404),(43 3267.4116),(44 3331.8367),(45 3302.0427),(46 3219.7166),(47 3061.0154),(48 2964.9187),(49 2976.9158),(50 3035.404),(51 3123.4094),(52 3080.019),(53 2991.529),(54 2810.5925),(55 2673.2375),(56 2657.3044),(57 2663.5588),(58 2843.0615),(59 3073.0896),(60 3318.1636),(61 3504.9932),(62 3517.623),(63 3450.056),(64 3276.6133),(65 3138.795),(66 2962.7925),(67 2737.7722),(68 2656.1733),(69 2754.5928),(70 2999.6606),(71 3280.0178),(72 3475.6265),(73 3538.6638),(74 3549.9985),(75 3561.454),(76 3569.3801),(77 3577.2095),(78 3515.8296),(79 3334.9905),
(1 508.78387),(2 1094.6421),(3 1479.9612),(4 1675.9314),(5 1716.3566),(6 1643.0181),(7 1533.6796),(8 1449.786),(9 1399.9895),(10 1367.4742),(11 1320.0739),(12 1276.1337),(13 1269.1682),(14 1315.261),(15 1403.1711),(16 1482.1049),(17 1521.3105),(18 1521.6653),(19 1468.7228),(20 1393.355),(21 1313.6785),(22 1268.6227),(23 1283.5228),(24 1330.2119),(25 1360.6467),(26 1380.0186),(27 1439.3424),(28 1489.0177),(29 1540.9396),(30 1564.5857),(31 1529.78),(32 1431.0226),(33 1283.8966),(34 1190.9521),(35 1169.9023),(36 1250.2539),(37 1389.1361),(38 1519.6416),(39 1586.8403),(40 1588.2542),(41 1526.3877),(42 1477.934),(43 1460.2587),(44 1460.0056),(45 1468.9729),(46 1451.9133),(47 1407.418),(48 1365.8436),(49 1368.25),(50 1413.3817),(51 1536.3418),(52 1616.4073),(53 1642.1105),(54 1583.0535),(55 1514.1781),(56 1456.0906),(57 1381.1499),(58 1379.61),(59 1439.3878),(60 1557.8267),(61 1661.3616),(62 1695.929),(63 1672.7493),(64 1652.7573),(65 1632.8181),(66 1564.5387),(67 1454.3757),(68 1410.785),(69 1434.6837),(70 1483.1547),(71 1551.772),(72 1607.5428),(73 1632.5929),(74 1629.6859),(75 1626.4515),(76 1646.8745),(77 1712.954),(78 1744.6772),(79 1699.5554),
(1 332.40186),(2 552.0789),(3 613.1192),(4 610.36475),(5 577.0318),(6 550.1086),(7 562.55615),(8 579.1208),(9 575.2535),(10 555.04755),(11 533.1441),(12 537.8258),(13 565.236),(14 573.42053),(15 571.3571),(16 557.1625),(17 557.865),(18 552.74023),(19 571.84265),(20 578.57764),(21 563.15393),(22 551.9668),(23 541.75507),(24 542.8779),(25 552.4886),(26 560.7849),(27 583.2016),(28 606.36017),(29 613.6321),(30 596.9986),(31 573.21674),(32 553.90454),(33 543.5361),(34 550.7559),(35 542.82263),(36 536.4834),(37 565.4116),(38 612.06726),(39 624.687),(40 601.6696),(41 562.43524),(42 564.20483),(43 594.29254),(44 608.9116),(45 608.2186),(46 593.1992),(47 567.3844),(48 568.3997),(49 591.37695),(50 594.71265),(51 592.8531),(52 574.6419),(53 599.24756),(54 613.1746),(55 612.55725),(56 595.4125),(57 564.64246),(58 574.41486),(59 610.31335),(60 639.3295),(61 652.7654),(62 644.8357),(63 619.68604),(64 609.47675),(65 615.90027),(66 613.38696),(67 594.81854),(68 576.8222),(69 583.4907),(70 600.6517),(71 639.25214),(72 654.26074),(73 628.39716),(74 595.5992),(75 584.00256),(76 596.7553),(77 634.733),(78 666.3645),(79 649.0775),
(1 272.2148),(2 349.12347),(3 350.52542),(4 348.23715),(5 351.5063),(6 357.67267),(7 359.78366),(8 352.48077),(9 344.0269),(10 347.96252),(11 352.12714),(12 339.07224),(13 335.59097),(14 345.9581),(15 350.26987),(16 349.44992),(17 351.17822),(18 347.31647),(19 346.53848),(20 345.7483),(21 337.11917),(22 337.09515),(23 342.09412),(24 345.34814),(25 350.25647),(26 353.13214),(27 366.3634),(28 358.00134),(29 363.09848),(30 364.02466),(31 354.43054),(32 352.8611),(33 344.94052),(34 333.9093),(35 330.38727),(36 340.14493),(37 354.20514),(38 360.5364),(39 363.7677),(40 365.50208),(41 362.04086),(42 365.28223),(43 358.22214),(44 362.3699),(45 370.1352),(46 369.1451),(47 356.49088),(48 359.49356),(49 366.41562),(50 364.02655),(51 368.3886),(52 367.37637),(53 374.56424),(54 365.42365),(55 363.7633),(56 365.64746),(57 363.95392),(58 366.16074),(59 378.6183),(60 389.58368),(61 386.41757),(62 383.26178),(63 386.18738),(64 386.33807),(65 377.93604),(66 368.64627),(67 366.94965),(68 376.7222),(69 377.18106),(70 371.68704),(71 380.9479),(72 383.73865),(73 390.44904),(74 390.27866),(75 384.86142),(76 383.64185),(77 397.1429),(78 401.0284),(79 397.70724),
(1 195.6558),(2 219.29022),(3 223.76309),(4 231.089),(5 229.11343),(6 231.50504),(7 231.81401),(8 228.92818),(9 230.0138),(10 227.26904),(11 226.24562),(12 224.57983),(13 222.54005),(14 223.57736),(15 231.00005),(16 228.3666),(17 232.75186),(18 229.0747),(19 231.98048),(20 230.49692),(21 220.72728),(22 222.46445),(23 223.1015),(24 227.64764),(25 231.57484),(26 234.27982),(27 234.74094),(28 233.73709),(29 236.1241),(30 236.226),(31 233.73305),(32 229.84134),(33 227.35027),(34 225.28923),(35 221.54185),(36 224.94638),(37 230.57362),(38 237.7465),(39 242.21657),(40 239.22714),(41 234.95381),(42 232.85551),(43 237.06937),(44 242.34956),(45 239.77458),(46 243.70905),(47 237.84956),(48 235.8899),(49 240.37083),(50 238.32208),(51 242.1678),(52 242.11679),(53 243.80653),(54 240.02869),(55 239.81352),(56 241.55444),(57 242.11375),(58 240.45744),(59 244.76735),(60 249.82318),(61 252.29987),(62 255.3411),(63 249.08192),(64 248.65349),(65 247.09363),(66 245.09155),(67 240.72775),(68 239.35265),(69 245.89235),(70 244.40399),(71 247.00186),(72 252.10576),(73 253.85828),(74 250.90166),(75 251.44647),(76 250.69502),(77 256.78677),(78 260.99615),(79 256.02533),
(1 120.94132),(2 118.70302),(3 130.23062),(4 136.19633),(5 135.1448),(6 139.79921),(7 134.70233),(8 136.35988),(9 133.85988),(10 134.03743),(11 133.71129),(12 130.8434),(13 132.89513),(14 132.46233),(15 133.17867),(16 132.02533),(17 135.06102),(18 137.62709),(19 135.06424),(20 135.07526),(21 131.2199),(22 130.3026),(23 131.57637),(24 132.59195),(25 136.85463),(26 137.70227),(27 139.0871),(28 136.84044),(29 140.20862),(30 141.26154),(31 136.47403),(32 135.08266),(33 132.5426),(34 132.51443),(35 129.57053),(36 129.3178),(37 134.8442),(38 139.53198),(39 140.58725),(40 141.25131),(41 138.5495),(42 139.75359),(43 137.47037),(44 141.51096),(45 140.46057),(46 141.89038),(47 138.68648),(48 138.2665),(49 139.90112),(50 137.41225),(51 141.59029),(52 142.6022),(53 141.66197),(54 141.12703),(55 141.341),(56 140.7857),(57 141.61903),(58 139.66368),(59 142.80383),(60 145.89334),(61 148.57274),(62 148.30266),(63 147.73543),(64 146.22932),(65 142.00137),(66 142.6933),(67 139.89859),(68 140.39417),(69 140.27202),(70 141.60722),(71 145.33641),(72 145.93355),(73 145.54146),(74 147.02306),(75 148.1663),(76 148.16777),(77 151.74838),(78 151.88301),(79 150.66193),
(1 95.21899),(2 96.6555),(3 102.77064),(4 107.07868),(5 108.679016),(6 109.217735),(7 108.0284),(8 107.039085),(9 107.130455),(10 106.650536),(11 104.1701),(12 104.105446),(13 104.51),(14 105.29454),(15 106.74317),(16 105.14577),(17 108.17787),(18 108.00282),(19 107.455605),(20 107.309456),(21 104.6386),(22 103.459236),(23 106.04488),(24 105.53273),(25 107.927734),(26 108.876366),(27 109.90119),(28 110.70988),(29 110.46075),(30 110.26958),(31 108.43932),(32 105.69983),(33 105.65467),(34 103.97009),(35 103.54792),(36 104.80982),(37 107.093414),(38 109.78811),(39 111.93214),(40 111.45578),(41 109.8514),(42 110.39217),(43 111.13155),(44 111.9704),(45 111.23696),(46 111.867485),(47 110.96936),(48 109.6285),(49 111.082535),(50 110.15937),(51 112.99869),(52 112.74131),(53 113.33429),(54 112.301765),(55 111.31591),(56 111.742355),(57 111.46619),(58 111.80659),(59 113.15644),(60 116.13519),(61 117.74468),(62 117.13835),(63 116.44461),(64 115.349754),(65 114.72791),(66 113.524086),(67 112.40637),(68 110.790085),(69 112.96528),(70 113.55191),(71 115.79253),(72 117.83937),(73 117.25426),(74 116.90658),(75 117.61571),(76 118.085655),(77 119.56157),(78 120.40174),(79 118.929794),
(1 73.322556),(2 74.8322),(3 81.00583),(4 84.3024),(5 84.38564),(6 86.07051),(7 85.05885),(8 84.48072),(9 84.05464),(10 82.71007),(11 82.27266),(12 81.72478),(13 81.97147),(14 83.01004),(15 82.85414),(16 82.971375),(17 83.24227),(18 84.75591),(19 84.541626),(20 83.348946),(21 82.31394),(22 81.65472),(23 82.552895),(24 83.26668),(25 84.34208),(26 85.501335),(27 85.963905),(28 87.20244),(29 86.653076),(30 86.767944),(31 85.04912),(32 83.17211),(33 82.827484),(34 81.98469),(35 82.10115),(36 82.778854),(37 84.27033),(38 86.844765),(39 87.714615),(40 88.4715),(41 87.23591),(42 86.86816),(43 87.17325),(44 87.01262),(45 88.49136),(46 87.83911),(47 87.22969),(48 85.83341),(49 87.212776),(50 87.582016),(51 88.55351),(52 88.939545),(53 88.42658),(54 88.44722),(55 87.944374),(56 88.051445),(57 87.61245),(58 87.06739),(59 89.09525),(60 90.59071),(61 92.19847),(62 92.275475),(63 92.08156),(64 90.463066),(65 90.198494),(66 89.09781),(67 87.72776),(68 87.455826),(69 87.98393),(70 89.08271),(71 89.51352),(72 91.65113),(73 90.92015),(74 90.80742),(75 91.79147),(76 92.08162),(77 93.40916),(78 94.3144),(79 93.46731),
(1 53.55766),(2 58.110126),(3 61.74373),(4 64.47492),(5 64.432724),(6 65.22909),(7 64.96715),(8 64.59385),(9 64.5898),(10 63.86814),(11 62.87272),(12 63.143414),(13 63.27473),(14 63.331802),(15 63.36961),(16 64.42218),(17 64.515976),(18 65.07857),(19 65.38722),(20 64.45383),(21 63.599255),(22 63.61768),(23 63.750237),(24 64.481544),(25 64.82924),(26 65.9269),(27 66.83541),(28 66.96061),(29 67.66695),(30 66.855225),(31 65.876236),(32 64.62778),(33 64.380516),(34 63.643738),(35 63.579834),(36 63.88687),(37 65.15766),(38 66.978516),(39 67.98946),(40 67.66628),(41 67.40094),(42 67.48217),(43 67.72709),(44 67.72362),(45 68.26327),(46 68.35202),(47 67.1951),(48 67.03249),(49 67.475746),(50 67.47818),(51 68.089005),(52 68.80975),(53 68.70612),(54 68.10113),(55 67.816956),(56 67.95349),(57 68.27464),(58 67.68667),(59 68.20482),(60 70.44033),(61 70.93311),(62 71.604836),(63 70.93903),(64 70.06143),(65 69.43386),(66 69.51756),(67 67.707504),(68 67.7601),(69 68.01077),(70 69.2677),(71 69.92259),(72 71.24984),(73 71.034874),(74 71.16572),(75 70.93904),(76 72.11296),(77 72.763565),(78 73.80382),(79 72.78226),
(1 41.562347),(2 46.40636),(3 49.3305),(4 50.733295),(5 51.502594),(6 52.405926),(7 52.065453),(8 51.793198),(9 51.364452),(10 51.31493),(11 50.86739),(12 50.970016),(13 50.838127),(14 51.0206),(15 51.632824),(16 51.79316),(17 51.94219),(18 52.32244),(19 52.772278),(20 52.067562),(21 51.652912),(22 51.175385),(23 51.434177),(24 52.273083),(25 52.565315),(26 53.18158),(27 53.783375),(28 54.073277),(29 54.33212),(30 54.145832),(31 53.331806),(32 52.680183),(33 52.31626),(34 51.68841),(35 51.27124),(36 51.90756),(37 53.14914),(38 54.16159),(39 55.007153),(40 55.060215),(41 54.460537),(42 54.06483),(43 54.411095),(44 54.563236),(45 55.535255),(46 54.928825),(47 54.422676),(48 54.107277),(49 54.565395),(50 54.479523),(51 55.623547),(52 55.977734),(53 55.98262),(54 55.545677),(55 54.767895),(56 55.349155),(57 55.023357),(58 54.869743),(59 55.450222),(60 56.723495),(61 57.212364),(62 58.02745),(63 57.52781),(64 56.52562),(65 56.28728),(66 55.941254),(67 54.764267),(68 54.72826),(69 55.104595),(70 55.9638),(71 56.21612),(72 57.643486),(73 57.546085),(74 58.14167),(75 58.193142),(76 58.57262),(77 59.155083),(78 59.05119),(79 58.517326),
(1 29.417454),(2 34.151657),(3 36.99107),(4 38.128902),(5 38.36749),(6 39.071575),(7 38.970306),(8 38.770355),(9 39.072025),(10 38.429802),(11 38.094997),(12 37.977993),(13 38.479343),(14 38.4818),(15 38.538937),(16 39.0155),(17 39.237244),(18 39.245102),(19 39.355743),(20 39.280018),(21 38.747566),(22 38.522594),(23 38.650974),(24 39.151),(25 39.64492),(26 39.985443),(27 40.49742),(28 40.602726),(29 40.83796),(30 40.57607),(31 40.26035),(32 39.506058),(33 39.09287),(34 38.76345),(35 38.474987),(36 38.879574),(37 39.65514),(38 40.94738),(39 41.534786),(40 41.429817),(41 41.333157),(42 40.92448),(43 40.913887),(44 41.299),(45 41.716423),(46 41.11046),(47 40.97765),(48 40.912186),(49 41.058155),(50 41.011963),(51 41.424805),(52 41.97732),(53 42.17209),(54 41.593166),(55 41.63992),(56 41.730915),(57 41.64884),(58 41.25821),(59 41.75889),(60 42.62334),(61 43.350006),(62 43.720448),(63 43.16731),(64 42.621014),(65 42.5222),(66 42.295082),(67 41.242805),(68 41.26086),(69 41.50575),(70 41.989937),(71 42.1763),(72 42.98305),(73 43.247494),(74 43.760353),(75 43.46628),(76 43.67484),(77 44.227413),(78 44.605972),(79 44.21058),
(1 29.186419),(2 33.450054),(3 35.834614),(4 37.404083),(5 37.928703),(6 38.10824),(7 38.370007),(8 38.1082),(9 38.234024),(10 37.90086),(11 37.53862),(12 37.52134),(13 37.85809),(14 37.886665),(15 38.111412),(16 38.42525),(17 38.879684),(18 38.990788),(19 38.864784),(20 38.611065),(21 38.16563),(22 38.01263),(23 38.17574),(24 38.59051),(25 38.868465),(26 39.542076),(27 40.115387),(28 40.088352),(29 40.351376),(30 39.91352),(31 39.610622),(32 39.10103),(33 38.66698),(34 38.462082),(35 38.25234),(36 38.848877),(37 39.810368),(38 40.601772),(39 40.89044),(40 41.07401),(41 41.085625),(42 40.753845),(43 40.8514),(44 41.004692),(45 41.328033),(46 41.322002),(47 40.779205),(48 40.715656),(49 40.95231),(50 40.999638),(51 41.375824),(52 41.45228),(53 41.474445),(54 41.12612),(55 41.024704),(56 41.30604),(57 40.771027),(58 41.028793),(59 41.404205),(60 42.344658),(61 42.70027),(62 43.053856),(63 42.54064),(64 41.925316),(65 41.797092),(66 41.75401),(67 40.782772),(68 41.073895),(69 41.351887),(70 41.559143),(71 42.17773),(72 42.56396),(73 43.016434),(74 43.138233),(75 43.31951),(76 43.53081),(77 43.903404),(78 44.278755),(79 43.844948),
