1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,
(1 126.30144),(2 271.42615),(3 390.6962),(4 468.7037),(5 501.13425),(6 502.27643),(7 492.38577),(8 484.00507),(9 472.75348),(10 464.92368),(11 449.74954),(12 436.76297),(13 434.89963),(14 438.7123),(15 454.29184),(16 467.8333),(17 479.20444),(18 478.51453),(19 462.50168),(20 445.21683),(21 423.4356),(22 411.02625),(23 416.12823),(24 426.83533),(25 440.54822),(26 447.52808),(27 458.82568),(28 474.1881),(29 491.8972),(30 500.36322),(31 488.06046),(32 453.46164),(33 410.25302),(34 384.09412),(35 377.44308),(36 398.73483),(37 443.65027),(38 484.56827),(39 507.69043),(40 509.64316),(41 498.57324),(42 495.50455),(43 504.99384),(44 513.5828),(45 509.4988),(46 497.26315),(47 474.49057),(48 461.8883),(49 465.4333),(50 474.9536),(51 493.20468),(52 493.0149),(53 486.2294),(54 463.12836),(55 443.47217),(56 437.80527),(57 431.9264),(58 451.54437),(59 483.03278),(60 520.8565),(61 551.2952),(62 556.6403),(63 545.9708),(64 522.5415),(65 502.8832),(66 477.08746),(67 443.8035),(68 431.0131),(69 443.48926),(70 474.27338),(71 511.3962),(72 538.3742),(73 548.22675),(74 548.48267),(75 550.83453),(76 554.49097),(77 562.08563),(78 558.1486),(79 532.957),
(1 67.64592),(2 100.66906),(3 109.53308),(4 110.582405),(5 107.865685),(6 103.20266),(7 102.50609),(8 101.75611),(9 101.31829),(10 100.28067),(11 98.86657),(12 97.60205),(13 99.187225),(14 101.555305),(15 103.142044),(16 102.82448),(17 102.42843),(18 101.8985),(19 102.72485),(20 101.9631),(21 98.76403),(22 97.78884),(23 98.134735),(24 99.82024),(25 101.19577),(26 100.618614),(27 103.424995),(28 104.60095),(29 105.84015),(30 105.03497),(31 103.06794),(32 100.7724),(33 98.18757),(34 96.14412),(35 94.20686),(36 96.3872),(37 101.985794),(38 107.803764),(39 109.87051),(40 107.673294),(41 102.96688),(42 101.410614),(43 102.37357),(44 103.78079),(45 105.85296),(46 105.15283),(47 102.6394),(48 102.38159),(49 104.81623),(50 105.12424),(51 107.0583),(52 107.06891),(53 109.500305),(54 108.70646),(55 107.48678),(56 105.38909),(57 102.05634),(58 103.37562),(59 107.72241),(60 112.34453),(61 113.29702),(62 111.47067),(63 109.305405),(64 108.49611),(65 109.44969),(66 108.507645),(67 107.03025),(68 106.77795),(69 107.42582),(70 108.248024),(71 112.38139),(72 114.25054),(73 112.73818),(74 110.140816),(75 108.3055),(76 108.66048),(77 113.2605),(78 116.99778),(79 115.96877),
(1 25.506319),(2 28.77215),(3 32.19174),(4 33.137238),(5 32.74844),(6 32.566097),(7 31.733168),(8 31.615402),(9 31.431175),(10 31.417608),(11 31.013319),(12 30.616898),(13 30.988039),(14 31.311691),(15 31.876484),(16 31.630606),(17 32.21701),(18 32.165897),(19 32.023766),(20 31.91538),(21 31.149347),(22 30.943796),(23 31.04263),(24 31.290283),(25 31.701992),(26 31.848724),(27 32.179802),(28 32.65631),(29 32.803677),(30 32.703747),(31 31.985296),(32 31.472734),(33 30.972858),(34 30.532843),(35 30.501944),(36 30.808186),(37 31.978691),(38 33.275856),(39 33.461315),(40 33.19801),(41 32.149162),(42 31.953232),(43 31.966024),(44 32.49454),(45 32.511),(46 32.923717),(47 32.450672),(48 32.254753),(49 32.611782),(50 32.525753),(51 33.23188),(52 33.652817),(53 33.86484),(54 33.78716),(55 33.340942),(56 32.606293),(57 32.4865),(58 32.371082),(59 33.22287),(60 34.37542),(61 34.712063),(62 34.473663),(63 33.90635),(64 33.683784),(65 33.756653),(66 33.66084),(67 33.233288),(68 32.996555),(69 33.312344),(70 33.749645),(71 34.515976),(72 34.868637),(73 34.411045),(74 34.106773),(75 34.039864),(76 34.12011),(77 35.03975),(78 35.45873),(79 35.23242),
(1 13.645959),(2 16.115885),(3 17.50493),(4 17.97215),(5 17.869963),(6 17.683317),(7 17.459589),(8 17.402493),(9 17.438402),(10 17.2905),(11 17.127337),(12 17.05004),(13 17.1989),(14 17.354984),(15 17.604374),(16 17.76826),(17 17.810093),(18 17.823118),(19 17.786844),(20 17.677069),(21 17.433577),(22 17.258535),(23 17.198683),(24 17.495863),(25 17.605412),(26 17.685343),(27 17.90844),(28 17.986786),(29 18.26826),(30 18.097212),(31 17.849718),(32 17.607677),(33 17.301434),(34 17.11875),(35 17.159412),(36 17.287546),(37 17.8639),(38 18.464918),(39 18.597698),(40 18.47029),(41 18.135715),(42 18.0151),(43 17.974445),(44 18.066334),(45 18.249504),(46 18.199492),(47 18.031778),(48 18.039473),(49 18.209364),(50 18.253843),(51 18.483793),(52 18.705715),(53 18.872046),(54 18.739061),(55 18.528273),(56 18.35938),(57 18.145435),(58 18.176233),(59 18.508873),(60 18.987555),(61 19.120443),(62 19.129242),(63 18.891588),(64 18.731417),(65 18.77231),(66 18.77332),(67 18.512514),(68 18.51659),(69 18.630686),(70 18.81079),(71 19.121956),(72 19.421349),(73 19.155298),(74 19.135845),(75 19.063707),(76 19.220482),(77 19.564192),(78 19.847532),(79 19.689047),
(1 8.591102),(2 10.261852),(3 11.177889),(4 11.533014),(5 11.520386),(6 11.4028425),(7 11.326834),(8 11.236508),(9 11.26554),(10 11.244273),(11 11.190479),(12 11.134029),(13 11.219938),(14 11.31394),(15 11.465714),(16 11.48943),(17 11.538131),(18 11.535751),(19 11.520435),(20 11.510191),(21 11.352175),(22 11.272914),(23 11.246843),(24 11.421091),(25 11.448898),(26 11.486861),(27 11.613817),(28 11.7269),(29 11.853573),(30 11.757906),(31 11.581182),(32 11.413732),(33 11.234939),(34 11.158913),(35 11.194912),(36 11.315332),(37 11.668717),(38 12.022932),(39 12.081792),(40 11.996411),(41 11.821778),(42 11.68791),(43 11.670248),(44 11.75333),(45 11.850641),(46 11.865105),(47 11.752338),(48 11.709471),(49 11.8333),(50 11.811215),(51 11.974228),(52 12.0708885),(53 12.1445265),(54 12.081421),(55 11.947275),(56 11.863714),(57 11.716734),(58 11.746824),(59 11.962318),(60 12.234657),(61 12.340067),(62 12.31811),(63 12.146481),(64 12.032271),(65 12.101515),(66 12.098788),(67 11.921473),(68 11.996854),(69 11.982801),(70 12.110417),(71 12.352707),(72 12.465653),(73 12.364405),(74 12.349818),(75 12.297854),(76 12.373439),(77 12.557683),(78 12.774061),(79 12.725973),
(1 4.603348),(2 5.7134767),(3 6.2715225),(4 6.475837),(5 6.50337),(6 6.4205747),(7 6.359198),(8 6.3571186),(9 6.346559),(10 6.358925),(11 6.3339186),(12 6.2972336),(13 6.3504143),(14 6.412011),(15 6.480156),(16 6.53844),(17 6.547447),(18 6.573528),(19 6.5500546),(20 6.512096),(21 6.403104),(22 6.3156137),(23 6.2932773),(24 6.408875),(25 6.4806013),(26 6.483615),(27 6.5721927),(28 6.6491566),(29 6.7110147),(30 6.691009),(31 6.617571),(32 6.503946),(33 6.3776374),(34 6.3079014),(35 6.3015704),(36 6.391338),(37 6.6135025),(38 6.8428993),(39 6.896724),(40 6.823974),(41 6.6834106),(42 6.6140966),(43 6.618721),(44 6.65609),(45 6.675955),(46 6.6769953),(47 6.5983906),(48 6.6092587),(49 6.626868),(50 6.6789517),(51 6.7553573),(52 6.796517),(53 6.8448153),(54 6.7835),(55 6.7385106),(56 6.655294),(57 6.5662932),(58 6.586919),(59 6.7142406),(60 6.8589716),(61 6.940831),(62 6.9255557),(63 6.8394265),(64 6.7498183),(65 6.780849),(66 6.800915),(67 6.717072),(68 6.7202196),(69 6.7483826),(70 6.8153996),(71 6.963892),(72 7.0348954),(73 6.9664907),(74 6.922677),(75 6.92411),(76 6.9644523),(77 7.099754),(78 7.197344),(79 7.146248),
(1 3.5475194),(2 4.3324904),(3 4.7880907),(4 4.9772563),(5 4.995447),(6 4.962363),(7 4.914199),(8 4.913691),(9 4.8816714),(10 4.8804417),(11 4.875452),(12 4.862469),(13 4.8835373),(14 4.917209),(15 4.9670515),(16 4.9800067),(17 4.9965196),(18 5.0096507),(19 4.9797306),(20 4.9514675),(21 4.8757753),(22 4.8130054),(23 4.806522),(24 4.9010987),(25 4.9192095),(26 4.945482),(27 5.025119),(28 5.066188),(29 5.105552),(30 5.0727515),(31 5.0118594),(32 4.915669),(33 4.81267),(34 4.7651443),(35 4.763075),(36 4.822882),(37 5.0016947),(38 5.169896),(39 5.2008085),(40 5.1599054),(41 5.052227),(42 4.999759),(43 4.9908657),(44 5.013586),(45 5.0243535),(46 4.9999847),(47 4.9549932),(48 4.935095),(49 4.9594083),(50 4.978071),(51 5.041985),(52 5.0803995),(53 5.1096387),(54 5.0789294),(55 5.031182),(56 4.9782233),(57 4.912645),(58 4.90788),(59 5.003297),(60 5.107577),(61 5.1909075),(62 5.1906857),(63 5.112159),(64 5.0618377),(65 5.0761943),(66 5.076371),(67 5.008329),(68 5.015918),(69 5.041151),(70 5.099345),(71 5.2119346),(72 5.2493057),(73 5.2231812),(74 5.172504),(75 5.161189),(76 5.1798816),(77 5.2804265),(78 5.364503),(79 5.3334913),
(1 2.5986621),(2 3.2162182),(3 3.5532808),(4 3.681876),(5 3.6988008),(6 3.6776772),(7 3.6321573),(8 3.6216607),(9 3.6153243),(10 3.617199),(11 3.616413),(12 3.5967295),(13 3.5948808),(14 3.6194637),(15 3.6592658),(16 3.672931),(17 3.6793618),(18 3.6742642),(19 3.658451),(20 3.6401105),(21 3.587113),(22 3.53824),(23 3.524841),(24 3.6033657),(25 3.6170204),(26 3.6279864),(27 3.6778483),(28 3.7105818),(29 3.7437472),(30 3.7176793),(31 3.6713223),(32 3.5968451),(33 3.528673),(34 3.4829233),(35 3.4735832),(36 3.5200238),(37 3.648515),(38 3.7732022),(39 3.793176),(40 3.752711),(41 3.6807888),(42 3.6310675),(43 3.6272187),(44 3.629122),(45 3.6405864),(46 3.6378767),(47 3.599105),(48 3.577165),(49 3.585608),(50 3.6008067),(51 3.6517766),(52 3.6736176),(53 3.6973147),(54 3.6748402),(55 3.6484878),(56 3.596273),(57 3.542628),(58 3.537669),(59 3.617747),(60 3.6986673),(61 3.7477741),(62 3.7412143),(63 3.7017107),(64 3.6672704),(65 3.6883786),(66 3.6876204),(67 3.6322978),(68 3.6342163),(69 3.649668),(70 3.682604),(71 3.7715528),(72 3.8048675),(73 3.7787836),(74 3.7486358),(75 3.7484672),(76 3.7638776),(77 3.8360188),(78 3.883223),(79 3.865639),
(1 1.9132746),(2 2.3868814),(3 2.6454015),(4 2.7589395),(5 2.769281),(6 2.7371757),(7 2.7094512),(8 2.7009416),(9 2.6856585),(10 2.6806555),(11 2.6686532),(12 2.6557994),(13 2.6508892),(14 2.6712918),(15 2.7039902),(16 2.7094243),(17 2.7230408),(18 2.7132385),(19 2.6952012),(20 2.6757874),(21 2.638859),(22 2.612799),(23 2.606276),(24 2.6492827),(25 2.6697192),(26 2.6707335),(27 2.7154624),(28 2.7345448),(29 2.7508595),(30 2.735839),(31 2.6987607),(32 2.639712),(33 2.5848365),(34 2.5498),(35 2.5465),(36 2.5812986),(37 2.66485),(38 2.768612),(39 2.7915225),(40 2.7586684),(41 2.6975667),(42 2.6612966),(43 2.6474042),(44 2.65393),(45 2.6624277),(46 2.6482265),(47 2.6215734),(48 2.6079736),(49 2.6176586),(50 2.630566),(51 2.6743398),(52 2.6972506),(53 2.7121637),(54 2.6873949),(55 2.6657305),(56 2.6268048),(57 2.5826082),(58 2.581609),(59 2.6410453),(60 2.7051408),(61 2.7425084),(62 2.7427387),(63 2.6994364),(64 2.6773834),(65 2.6872647),(66 2.68052),(67 2.6444485),(68 2.6422656),(69 2.653032),(70 2.6815004),(71 2.7474306),(72 2.7765832),(73 2.7584674),(74 2.7402737),(75 2.7310185),(76 2.7486103),(77 2.8001652),(78 2.842153),(79 2.822361),
(1 1.458006),(2 1.845218),(3 2.0598352),(4 2.1446187),(5 2.145834),(6 2.1169126),(7 2.0954614),(8 2.0752351),(9 2.0732043),(10 2.0672705),(11 2.0509408),(12 2.0323062),(13 2.0298982),(14 2.054339),(15 2.077389),(16 2.0819905),(17 2.0908875),(18 2.0820673),(19 2.0729852),(20 2.0630317),(21 2.0330226),(22 2.0045931),(23 2.0022204),(24 2.033721),(25 2.053946),(26 2.0583937),(27 2.0897038),(28 2.1049101),(29 2.1252549),(30 2.1015465),(31 2.070105),(32 2.0171144),(33 1.9732245),(34 1.9455642),(35 1.9418794),(36 1.971513),(37 2.0451694),(38 2.1236727),(39 2.1362355),(40 2.1093643),(41 2.0601897),(42 2.0331118),(43 2.0263429),(44 2.0312061),(45 2.0383706),(46 2.0315661),(47 2.0058224),(48 1.9963135),(49 1.9990696),(50 2.0048923),(51 2.0391982),(52 2.0610042),(53 2.0791888),(54 2.064555),(55 2.042542),(56 2.012289),(57 1.9758592),(58 1.9706942),(59 2.016111),(60 2.0700758),(61 2.0968294),(62 2.0954592),(63 2.0625236),(64 2.0507216),(65 2.061234),(66 2.052223),(67 2.0210674),(68 2.0172632),(69 2.030378),(70 2.0517135),(71 2.1079323),(72 2.1294265),(73 2.1118596),(74 2.099932),(75 2.0963497),(76 2.1035106),(77 2.145808),(78 2.1788127),(79 2.1661553),
(1 1.0502651),(2 1.3592815),(3 1.5278716),(4 1.5944877),(5 1.5976318),(6 1.5740755),(7 1.5517967),(8 1.5408812),(9 1.5300282),(10 1.5246502),(11 1.505263),(12 1.4909428),(13 1.4916759),(14 1.5071592),(15 1.5300869),(16 1.5383762),(17 1.5473487),(18 1.5444866),(19 1.5316589),(20 1.5209211),(21 1.4944117),(22 1.4768002),(23 1.4785602),(24 1.5033374),(25 1.5114249),(26 1.5134789),(27 1.5387402),(28 1.5551826),(29 1.5659677),(30 1.5556715),(31 1.529372),(32 1.4964707),(33 1.4567988),(34 1.4340487),(35 1.435403),(36 1.4515232),(37 1.5069977),(38 1.5710019),(39 1.5823194),(40 1.5645224),(41 1.5214341),(42 1.4957289),(43 1.4890269),(44 1.4956123),(45 1.5026339),(46 1.4980005),(47 1.4796131),(48 1.4703567),(49 1.4740031),(50 1.481628),(51 1.5119083),(52 1.5305618),(53 1.5461605),(54 1.5327727),(55 1.5137285),(56 1.4837773),(57 1.458291),(58 1.4557325),(59 1.4935257),(60 1.5383619),(61 1.5644426),(62 1.559206),(63 1.532262),(64 1.5145622),(65 1.5216907),(66 1.5176376),(67 1.4894823),(68 1.4883763),(69 1.4956003),(70 1.5174221),(71 1.5576912),(72 1.5739163),(73 1.5583688),(74 1.5549685),(75 1.5481335),(76 1.5543422),(77 1.5920706),(78 1.616835),(79 1.6047667),
