q, (a, b, c)
1.5, (-8606476.2329062, 23.367923384924865, 7303321.37446474)
2.5, (-17844105.541778598, 26.25011337985576, 14260358.43084814)
3.5, (-8907387.310584329, 13.241789513185477, 6336940.290397002)
4.5, (-10305932.828690551, 25.28262109512289, 8722510.398652865)
5.5, (-20757473.449891653, 149.36188101628795, 20779796.31485366)
6.5, (-8376504.846304457, 16.415982174726167, 6492851.428988872)
7.5, (-7868585.019139656, 18.96895217082282, 6443715.141017925)
8.5, (-7023915.433903204, 46.720924593342, 6964822.337275313)
9.5, (-5607557.311012554, 13.026987630308378, 4485269.9863925865)
10.5, (-5615702.751497387, 12.520493412184004, 4651431.750261961)
11.5, (-5535431.893604236, 7.135599106675626, 3927748.194976228)
12.5, (-4212638.6059556315, 7.02236011988541, 3005675.964355805)
13.5, (-3685207.660817765, 8.488639338495314, 2786911.531296671)
14.5, (-3649816.6023353986, 7.8748806431929, 2657810.9937581304)
15.5, (-2907445.70847444, 11.525823486885686, 2387745.676572357)
16.5, (-2795386.5582270124, 8.064875234797737, 2073910.9426476522)
17.5, (-2387013.175512054, 10.884861992510503, 1952412.6506663284)
18.5, (-1902253.5825275108, 11.05607452450922, 1605216.7801518263)
19.5, (-2078022.3795901104, 19.89075119217946, 1954529.312289104)
20.5, (-1692200.9925469647, 14.359648382644703, 1526638.411752127)
21.5, (-1413146.66994631, 18.663482046067614, 1391512.1941437952)
22.5, (-1117098.4946027948, 10.22787397270093, 992769.1966356002)
23.5, (-1139436.378808121, 11.354503900370547, 997059.1094501182)
24.5, (-956518.1888761765, 8.042808591746365, 792570.8181826754)
25.5, (-997178.2965904488, 6.924188510012317, 793929.8178001569)
26.5, (-936481.4899821767, 7.049620776051246, 742569.3378354118)
27.5, (-767060.6138872525, 9.580345645445272, 679886.6557972794)
28.5, (-824259.6920292706, 7.100338723383351, 657043.859976666)
29.5, (-677921.264487906, 8.774342492572853, 605342.9575923479)
30.5, (-626553.9025159637, 6.917976613429515, 521733.27557726274)
31.5, (-555399.109815438, 6.121435411343693, 442252.8696954694)
32.5, (-521096.8452605067, 6.622330186596044, 432051.5065285994)
33.5, (-455911.69655346463, 7.609575400300817, 400449.01235268475)
34.5, (-434721.6395374439, 6.249715699228453, 366964.9499251357)
35.5, (-473550.67464148096, 5.742128102466163, 384813.0411614588)
36.5, (-378302.1445460797, 6.637057145298834, 336234.50268702174)
37.5, (-400609.85203334666, 6.3390815214454355, 345673.6880249693)
38.5, (-384533.4902231519, 6.188823293262551, 326139.37575850036)
39.5, (-371931.7422173708, 6.7628829898899845, 329318.43412714417)
40.5, (-335663.64387344115, 8.705485373272465, 314408.5628379865)
41.5, (-285431.605524726, 8.158249052252849, 268707.6895235652)
42.5, (-280587.1379954936, 7.440032111906243, 254984.6390988001)
43.5, (-233654.3216518623, 9.61330822993012, 243113.66674671118)
44.5, (-231829.93328573342, 10.651997619884336, 243253.17325778826)
45.5, (-246115.6765985857, 6.573730799052, 226441.40920123688)
46.5, (-213943.7768090386, 5.507268370543664, 188804.27722664963)
47.5, (-220202.5956580407, 6.169182646659674, 198380.78384845375)
48.5, (-191576.23977729466, 8.046068328467033, 189981.24053939575)
49.5, (-158935.7874124086, 8.078204257718431, 165496.98755792552)
50.5, (-171033.01422857505, 6.7550966957231005, 164450.0561436158)
51.5, (-151653.8854048889, 10.642346559903261, 169001.24064337005)
52.5, (-167255.41008702863, 5.998569356973264, 158253.2774656512)
53.5, (-162356.56816728937, 6.590906966337392, 156684.6037695972)
54.5, (-155736.95843189233, 7.054242512417951, 153090.22190239874)
55.5, (-142259.90492670963, 7.9153583173874384, 144561.87851412725)
56.5, (-141186.9029232625, 8.408536700781362, 143402.94397711492)
57.5, (-146943.01548608992, 5.883101148165952, 135232.76028896027)
58.5, (-130758.00484877192, 7.089382086023802, 130817.99704259595)
59.5, (-120028.57815682559, 6.621874835389378, 121026.7635462593)
60.5, (-117643.86972054113, 6.295732885471864, 116073.46584878964)
61.5, (-111393.7346889562, 6.965759865258065, 115881.12320731902)
62.5, (-104018.67666508656, 6.320430764737435, 106466.7292641208)
63.5, (-93346.33311263304, 6.462516477799238, 97940.51391544979)
64.5, (-98498.49160418373, 6.0922986088522295, 97373.77111622214)
65.5, (-92532.81534713061, 5.920872302528952, 93059.96642757802)
66.5, (-86746.6331933498, 6.793510381097436, 93852.6967433366)
67.5, (-73875.79011612714, 7.84820260508304, 84071.72901567027)
68.5, (-76165.41024189892, 7.6836405396763725, 84373.6279903963)
69.5, (-73427.56039736228, 6.642932723055241, 77984.96797542731)
70.5, (-64587.52384001899, 8.290939771780772, 75655.05785578968)
71.5, (-67168.79509608749, 8.28677341884815, 77102.99393173588)
72.5, (-64551.80720835463, 7.946723456884264, 74335.7239805417)
73.5, (-70098.06750509123, 6.853062847027843, 72993.86551764302)
74.5, (-59382.114399308506, 8.540738203013793, 69688.62733906032)
75.5, (-60842.52900421277, 6.840696709003691, 66500.1615831243)
76.5, (-59244.77567810572, 6.749370982395921, 66048.79934436717)
77.5, (-55032.31463362031, 6.5545592223647935, 60178.27144600758)
78.5, (-49087.350379381045, 9.47829355141616, 61309.99391389672)
79.5, (-51256.59444217417, 7.492666916729069, 59718.42218809435)
80.5, (-51139.14289672604, 7.022165992226593, 58187.417257417415)
81.5, (-48814.166412718674, 7.448921067562471, 56896.94265546143)
82.5, (-51272.47105271508, 7.187931440294167, 58914.345434355695)
83.5, (-47762.638563326094, 7.185752723155149, 56182.8300720651)
84.5, (-43930.99103663959, 5.930109171718257, 49632.77145746809)
85.5, (-42016.28974675126, 7.158871477706249, 50068.59868167743)
86.5, (-42019.79203774388, 7.5325609628127514, 49945.88930473261)
87.5, (-39109.88685232846, 8.081008536815713, 48189.41582052664)
88.5, (-39991.91431567367, 7.387933719516393, 47743.649222030384)
89.5, (-39765.16227340994, 5.836487834909741, 44179.966504478296)
90.5, (-36736.31084671013, 6.487939153375553, 43743.37510354228)
91.5, (-36406.80350135294, 6.4290270997184376, 42883.57918303543)
92.5, (-37795.29620959492, 5.7279889651858324, 41651.32342279236)
93.5, (-34145.1561953448, 6.911716991097094, 41391.48048830798)
94.5, (-30993.449494077246, 8.960382144750184, 39843.29892370483)
95.5, (-29782.52341125254, 8.369042445298808, 39214.104162660034)
96.5, (-33266.99382178293, 5.514409219201731, 37688.960382093544)
97.5, (-28730.68360895955, 6.905449957405095, 36419.65162435554)
98.5, (-26226.420809027237, 9.141193453679511, 36175.156797075)
99.5, (-26186.746260581254, 7.568371670999066, 33908.82658822917)
100.5, (-26955.699709661334, 7.372582780106396, 34414.316406044396)
101.5, (-27458.76021018253, 6.645486334025405, 33627.00871673782)
102.5, (-28028.174679630334, 5.856920954538535, 32776.29529625105)
103.5, (-26378.461145568675, 5.877619113412245, 31547.351758454697)
104.5, (-25124.887841911826, 6.613886749735258, 31463.194465473498)
105.5, (-23907.536396850734, 6.799228649368824, 30715.13590287763)
106.5, (-20965.85517510408, 8.875076923479686, 29733.400373565728)
107.5, (-20773.725387618968, 8.711910378528117, 28831.098125215598)
108.5, (-20232.266305388, 7.36107700278152, 27746.58976905569)
109.5, (-18708.185940112668, 8.347085356450224, 27084.726157103192)
110.5, (-19719.251940682807, 6.234585230655451, 25778.92052937973)
111.5, (-20737.18071424892, 6.25448708703855, 26167.2231900561)
112.5, (-19601.298603899686, 6.3767654004031975, 24965.72543721718)
113.5, (-18150.613068629897, 7.188728447100939, 24477.828035593862)
114.5, (-19343.117308794022, 6.2000989769454105, 24755.406514162347)
