q, (a, b, c)
1.5, (-491035145.2841275, 19.5447334480145, 385332414.0293479)
2.5, (-188159723.76232973, 5.699648318715901, 125244549.74243438)
3.5, (-152186813.58655053, 5.835704236140384, 102852444.67402868)
4.5, (-90745376.16512135, 9.075264812713169, 66929352.14083003)
5.5, (-42886538.92819362, 10.744398062797003, 35251984.40192133)
6.5, (-29225683.251853354, 7.709712251511326, 27528248.04201386)
7.5, (-21114423.781916477, 11.612639848525255, 25834919.645000204)
8.5, (-18583246.612913515, 19.704726009570035, 26859582.20030673)
9.5, (-22584293.91450785, 40.35285428702474, 30021252.57914484)
10.5, (-21634970.666733533, 68.82677410848311, 29651328.903095175)
11.5, (-13737765.042399561, 14.157331178526032, 17427602.26345758)
12.5, (-8589089.650507048, 9.350044785677076, 11624723.616624178)
13.5, (-9275828.227240862, 2.613347639393065, 7698198.361104053)
14.5, (-8127283.798963912, 2.064699395508257, 5445017.425384649)
15.5, (-8603958.782400558, 1.796616848518115, 5292619.710420186)
16.5, (-7837407.045031557, 2.6388110729480667, 5925753.331675049)
17.5, (-4725458.215615126, 4.9509342896818715, 5481894.724287605)
18.5, (-3673778.717417533, 3.2548724736700696, 3833413.19246428)
19.5, (-2691325.5036267196, 3.65137281565816, 2921114.710664516)
20.5, (-2831701.5250403564, 5.0865460447876885, 2945520.837189538)
21.5, (-2108577.344681915, 6.487304193445798, 2530629.444980834)
22.5, (-1041577.7521800203, 21.542952493178852, 2484940.1337798997)
23.5, (-960880.7175478189, 11.809973483213705, 1994178.70214773)
24.5, (-572453.8197148732, 6.780927144952671, 1489477.4251900197)
25.5, (-447962.6354701081, 6.473602346707245, 1271108.8805818856)
26.5, (-594754.3589871877, 10.026318528793752, 1261146.7392869964)
27.5, (-627008.6755927376, 6.937269869831874, 1164185.1658900524)
28.5, (-462621.34529285383, 4.65553881053616, 1019167.1912963059)
29.5, (-28925089897.688114, 0.08698518870130742, 924550.3940373146)
30.5, (-380033.4980387458, 4.986129969409663, 955743.4530263083)
31.5, (-409969.02340680885, 6.33100034877257, 893572.0742572957)
32.5, (-411477.4202138178, 16.835323250666104, 943546.8408551589)
33.5, (-365085.4740059196, 20.89035783565039, 900879.7479912373)
34.5, (-447505.9097952481, 73.13919599143951, 979150.1029664344)
35.5, (-879926530.9550525, 271086.8611807049, 880414010.2936738)
36.5, (-166020.306329188, 7.549400741480525, 514957.2628136908)
37.5, (-182590.9890446065, 20.854459772826253, 562358.9596532581)
38.5, (-141134.7826045557, 8.973563022778821, 475354.39521392103)
39.5, (-154042.94226128797, 17.745508040834117, 493569.74094301474)
40.5, (-207767.99777975827, 29.79471093640432, 594501.9163560879)
41.5, (-131363.8733621306, 3.3080698164208355, 466074.45023592416)
42.5, (-136767.43274452718, 2.4099534814334174, 426870.20440032164)
43.5, (-84200.67426208663, 2.7940567140969503, 419273.0923460237)
44.5, (-120657.77941425942, 4.214325503563719, 411105.75612683035)
45.5, (-221676.61959579698, 5.534020694040128, 438585.76040503755)
46.5, (-234425.52556387617, 4.671657476583925, 391566.2720392438)
47.5, (-236590.37704903117, 5.651566779705307, 387614.5212958821)
48.5, (-197634.54305711793, 5.1531235347592625, 338281.9708468011)
49.5, (-138287.7242178988, 6.10886259455662, 308452.4400931534)
50.5, (-175305922.3172828, 203273.63483680852, 175547909.68441507)
51.5, (-407972212.24595416, 438149.7568582551, 408194486.747179)
52.5, (-101179.11640523432, 7.355624571078465, 245718.9808016174)
53.5, (-123647.32554307257, 29.463136076122414, 293194.38930856064)
54.5, (-76215.230986313, 10.270416272175948, 259814.64671754872)
55.5, (-72103.99597789226, 10.24582610876703, 260257.1309929019)
56.5, (-278352.7124423141, 166.87249294205395, 498128.6777673949)
57.5, (-76978.82737944525, 74.49628195512264, 310158.5715717866)
58.5, (-69034.60175467898, 5.5658458731579925, 252119.2698452777)
59.5, (-76701.7023914675, 4.304840620257463, 219458.12717783943)
60.5, (-66022.17582470496, 11.54628318838583, 205939.97636285296)
61.5, (-81521.58223299672, 7.930546445245746, 200170.15366760152)
62.5, (-80184.62948968692, 61.8110311601003, 240972.80766938065)
63.5, (-80279.54779279165, 13.66515046531154, 206766.35692351044)
64.5, (-101484.62878266603, 4.636030231203732, 179636.89223885562)
65.5, (-91071.11972281814, 5.591707413681938, 168835.75101931335)
66.5, (-81811.98598800792, 5.50249702399416, 157903.00218414754)
67.5, (-83206.55693199033, 5.815678964185831, 150240.03720015753)
68.5, (-77400.43619662618, 19.24368002384082, 177008.74666287523)
69.5, (-92779.19661970815, 4.754872213207254, 147499.83527543812)
70.5, (-54472.485524122174, 9.044916445255284, 133525.29161524886)
71.5, (-64692.99670024365, 14.844235006398643, 139879.29197285738)
72.5, (-60865.50278643571, 74.40791007060483, 161463.38658094208)
73.5, (-604255149.317494, 958250.9411616008, 604360155.6835155)
