1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 591791.3),(2 2279915.5),(3 4992118.5),(4 8698801),(5 13385851),(6 18969262),(7 25424678),(8 32704600),(9 41205100),(10 49996172),(11 59529744),(12 69685050),(13 80454824),(14 91448184),(15 103102880),(16 115298120),(17 127551640),(18 140523620),(19 153955800),(20 167381940),(21 181468240),(22 196084140),(23 210867920),(24 225572400),(25 240459860),(26 255675700),(27 271298560),(28 286369250),(29 301562400),(30 315678700),(31 329646180),(32 343561900),(33 357631330),(34 372563100),(35 386691500),(36 400212960),(37 412986620),(38 425933060),(39 438135070),(40 449908770),(41 461268770),(42 471585950),(43 481408160),(44 490119650),(45 498148100),(46 505404300),(47 512020640),(48 517740300),(49 523585570),(50 528282200),(51 532932200),(52 538821800),(53 543780160),(54 548538700),(55 552932800),(56 557608960),(57 562404900),(58 567305800),(59 572819300),(60 578608640),(61 584705540),(62 591709900),(63 598825860),(64 606421800),(65 614463170),(66 622619500),(67 631259970),(68 640048830),(69 648706240),(70 657727300),(71 666569300),(72 675677200),(73 683605200),(74 691385100),(75 698607040),(76 704703170),(77 710578100),(78 715715300),(79 719819970),
(1 897907.1),(2 3531901.5),(3 7836061.5),(4 13808835),(5 21359786),(6 30440940),(7 40889396),(8 52585304),(9 65466828),(10 79178350),(11 93776344),(12 108987340),(13 124620420),(14 140445870),(15 156443980),(16 172696430),(17 188662940),(18 204643300),(19 220494340),(20 235858740),(21 251133700),(22 266206160),(23 280754780),(24 294658460),(25 308106050),(26 321249900),(27 332731460),(28 343972860),(29 354965100),(30 364937280),(31 374245730),(32 383404480),(33 391947000),(34 399762940),(35 407545440),(36 414574050),(37 420804960),(38 426507330),(39 431263900),(40 435181900),(41 438423600),(42 440638880),(43 441859900),(44 442032540),(45 441130800),(46 439080350),(47 435987550),(48 432046270),(49 427489020),(50 421957900),(51 415828540),(52 408928320),(53 401828600),(54 394279100),(55 386751940),(56 379374270),(57 371992830),(58 364895420),(59 358316260),(60 352205820),(61 346602600),(62 341665950),(63 337406560),(64 333662600),(65 330424260),(66 327787260),(67 325610180),(68 324124480),(69 323014000),(70 322556380),(71 322267400),(72 322349300),(73 322571600),(74 322521250),(75 322663520),(76 322309760),(77 321603460),(78 320748030),(79 319546200),
(1 538419.2),(2 2058295),(3 4456234.5),(4 7661053.5),(5 11553543),(6 16001835),(7 20874570),(8 26110374),(9 31646550),(10 37223972),(11 42824884),(12 48453740),(13 54038140),(14 59485964),(15 64861420),(16 70233110),(17 75409010),(18 80502510),(19 85575400),(20 90450790),(21 95243680),(22 100101270),(23 104847130),(24 109408700),(25 113716550),(26 117699350),(27 121917704),(28 125603096),(29 129296664),(30 132916650),(31 136402190),(32 139952850),(33 143463760),(34 147438960),(35 150944960),(36 154385630),(37 157637330),(38 160737620),(39 163551700),(40 166262130),(41 168697520),(42 171175920),(43 173498060),(44 175550000),(45 177530020),(46 179412530),(47 181300780),(48 183131140),(49 185137600),(50 187069180),(51 188818050),(52 191004340),(53 192565070),(54 193910740),(55 194864690),(56 195451950),(57 195681710),(58 195419900),(59 194696240),(60 193630640),(61 192118220),(62 190246220),(63 187787500),(64 184989820),(65 181774980),(66 178312940),(67 174471300),(68 170361220),(69 166021060),(70 161630980),(71 157159570),(72 152730600),(73 148149900),(74 143902850),(75 139742660),(76 135852340),(77 132253990),(78 129015464),(79 126145464),
(1 512961.06),(2 1938264.3),(3 4122883),(4 6906497),(5 10119458),(6 13577717),(7 17121750),(8 20636170),(9 24071752),(10 27291054),(11 30294408),(12 33081874),(13 35644856),(14 38041936),(15 40318256),(16 42548476),(17 44680612),(18 46738396),(19 48744068),(20 50659588),(21 52494800),(22 54361868),(23 56179372),(24 57890820),(25 59562500),(26 61142572),(27 62930950),(28 64604730),(29 66296896),(30 68028820),(31 69788376),(32 71634910),(33 73502880),(34 75564776),(35 77475200),(36 79291820),(37 81044340),(38 82752600),(39 84355130),(40 85892720),(41 87368390),(42 88874424),(43 90354460),(44 91750190),(45 93223230),(46 94656456),(47 96029016),(48 97337976),(49 98613830),(50 99732376),(51 100527590),(52 101265784),(53 101566690),(54 101548730),(55 101299016),(56 100740824),(57 99839430),(58 98673650),(59 97387850),(60 95971090),(61 94430260),(62 92796390),(63 91019650),(64 89102136),(65 87122940),(66 84986936),(67 82691910),(68 80274660),(69 77729390),(70 75078710),(71 72309380),(72 69495640),(73 66694544),(74 64065812),(75 61514156),(76 59201500),(77 57134228),(78 55245520),(79 53679124),
(1 562965.06),(2 2122707.3),(3 4482876.5),(4 7465747.5),(5 10860788),(6 14437414),(7 17989950),(8 21383650),(9 24594290),(10 27418624),(11 29911512),(12 32022572),(13 33759264),(14 35124604),(15 36158310),(16 36905230),(17 37414580),(18 37654740),(19 37650824),(20 37403760),(21 37002176),(22 36495310),(23 35895056),(24 35298670),(25 34753764),(26 34308804),(27 34090716),(28 34039170),(29 34197524),(30 34571212),(31 35204896),(32 36097230),(33 37217470),(34 38666436),(35 40166516),(36 41754148),(37 43419830),(38 45119640),(39 46821816),(40 48484056),(41 50086844),(42 51640090),(43 53014972),(44 54257220),(45 55331990),(46 56192332),(47 56854096),(48 57263220),(49 57419996),(50 57354588),(51 57039844),(52 56663644),(53 56019520),(54 55260904),(55 54394636),(56 53472936),(57 52540228),(58 51587524),(59 50698564),(60 49808932),(61 48904052),(62 48005244),(63 47101124),(64 46117536),(65 45061390),(66 44020516),(67 43012860),(68 42035580),(69 41075780),(70 40147748),(71 39212304),(72 38312516),(73 37372708),(74 36433520),(75 35442160),(76 34444370),(77 33493186),(78 32589394),(79 31748390),
(1 650335.25),(2 2454326.5),(3 5158800),(4 8479440),(5 12144625),(6 15855776),(7 19364378),(8 22599680),(9 25462422),(10 27845244),(11 29826276),(12 31397382),(13 32522074),(14 33244992),(15 33577090),(16 33536196),(17 33153334),(18 32394380),(19 31336742),(20 30028212),(21 28588684),(22 27031418),(23 25452540),(24 23964960),(25 22610316),(26 21484416),(27 20603972),(28 19963942),(29 19586628),(30 19474420),(31 19654852),(32 20100896),(33 20802086),(34 21715772),(35 22780388),(36 23960900),(37 25230828),(38 26591076),(39 27930858),(40 29228170),(41 30434316),(42 31480768),(43 32293990),(44 32832556),(45 33116890),(46 33030150),(47 32635916),(48 31953996),(49 30999370),(50 29894048),(51 28711628),(52 27521146),(53 26373360),(54 25357616),(55 24530274),(56 23877020),(57 23480920),(58 23356122),(59 23563948),(60 24057274),(61 24784548),(62 25759682),(63 26877946),(64 28054534),(65 29332960),(66 30534452),(67 31575860),(68 32452996),(69 33021680),(70 33289060),(71 33269914),(72 33011824),(73 32517644),(74 31765620),(75 30871892),(76 29856492),(77 28756554),(78 27627846),(79 26449820),
(1 584413.6),(2 2161582.3),(3 4406895),(4 6986835.5),(5 9600977),(6 12021753),(7 14116623),(8 15878298),(9 17304894),(10 18452326),(11 19355650),(12 20022678),(13 20422694),(14 20497892),(15 20212770),(16 19606062),(17 18713036),(18 17628250),(19 16423058),(20 15178548),(21 14010230),(22 12933618),(23 12060226),(24 11452606),(25 11103470),(26 11026470),(27 11254830),(28 11664524),(29 12234087),(30 12894693),(31 13644703),(32 14403002),(33 15124878),(34 15819804),(35 16358049),(36 16774906),(37 17067744),(38 17261346),(39 17365664),(40 17386686),(41 17350450),(42 17281080),(43 17193532),(44 17086800),(45 16958610),(46 16843020),(47 16745441),(48 16643806),(49 16536177),(50 16485169),(51 16480534),(52 16607626),(53 16701766),(54 16816126),(55 16887028),(56 16936648),(57 16994568),(58 17027896),(59 17068486),(60 17105930),(61 17137040),(62 17205302),(63 17264556),(64 17342436),(65 17486198),(66 17696308),(67 17980996),(68 18306504),(69 18643150),(70 18963908),(71 19228072),(72 19393610),(73 19422210),(74 19306428),(75 19059768),(76 18703368),(77 18253212),(78 17695778),(79 17106332),
(1 346516.13),(2 1212436),(3 2319873.5),(4 3410816.3),(5 4340154.5),(6 5090611),(7 5728580.5),(8 6332166.5),(9 6935586),(10 7497225.5),(11 7997523),(12 8408271),(13 8671227),(14 8761205),(15 8695946),(16 8544015),(17 8345709),(18 8164644.5),(19 8039986.5),(20 7960813.5),(21 7933935),(22 7989449),(23 8093262.5),(24 8232757.5),(25 8393123),(26 8557353),(27 8722501),(28 8859002),(29 8990591),(30 9067793),(31 9130502),(32 9172310),(33 9179447),(34 9191075),(35 9168384),(36 9143086),(37 9132707),(38 9156683),(39 9209026),(40 9289349),(41 9390244),(42 9516612),(43 9631241),(44 9713593),(45 9755073),(46 9766628),(47 9723561),(48 9650444),(49 9577386),(50 9525378),(51 9504267),(52 9568134),(53 9667190),(54 9845824),(55 10052708),(56 10291871),(57 10569065),(58 10868917),(59 11198577),(60 11525393),(61 11803210),(62 12044945),(63 12146669),(64 12133933),(65 12061822),(66 11938002),(67 11839947),(68 11750387),(69 11688399),(70 11628298),(71 11548301),(72 11449712),(73 11290963),(74 11193887),(75 11158582),(76 11145884),(77 11184301),(78 11207618),(79 11182816),
(1 395674.06),(2 1369639),(3 2589789.3),(4 3765846.3),(5 4764687),(6 5571001.5),(7 6226112),(8 6775225.5),(9 7226579),(10 7516784),(11 7632246.5),(12 7568019),(13 7325748.5),(14 6926697.5),(15 6441231),(16 6004355),(17 5715778),(18 5615643.5),(19 5716949.5),(20 5980327.5),(21 6378264.5),(22 6914682),(23 7517184),(24 8115039),(25 8643343),(26 9059612),(27 9367978),(28 9511781),(29 9530692),(30 9437713),(31 9232711),(32 8972359),(33 8695571),(34 8423817),(35 8194066),(36 8057715),(37 8022359.5),(38 8055003.5),(39 8191644),(40 8439773),(41 8742008),(42 9127618),(43 9521633),(44 9861765),(45 10147919),(46 10358424),(47 10492770),(48 10549323),(49 10576390),(50 10580445),(51 10568067),(52 10600952),(53 10667593),(54 10777480),(55 10952813),(56 11207002),(57 11580448),(58 12040595),(59 12570105),(60 13067114),(61 13459665),(62 13747126),(63 13897432),(64 13950337),(65 13965320),(66 13918611),(67 13789562),(68 13585294),(69 13349839),(70 13163657),(71 13075987),(72 13111157),(73 13243588),(74 13346676),(75 13451576),(76 13517282),(77 13521570),(78 13514963),(79 13485621),
(1 549394.9),(2 1934524.9),(3 3709303.3),(4 5511707.5),(5 7121803.5),(6 8420528),(7 9355307),(8 9894772),(9 10018863),(10 9745092),(11 9151262),(12 8350675.5),(13 7475691.5),(14 6672864.5),(15 6043436.5),(16 5708404),(17 5717965.5),(18 6043539),(19 6586530),(20 7239199.5),(21 7941498.5),(22 8612058),(23 9158279),(24 9538366),(25 9724991),(26 9717881),(27 9559415),(28 9293845),(29 8971140),(30 8630189),(31 8340281),(32 8126426.5),(33 7994912),(34 7964748.5),(35 8019663),(36 8148900.5),(37 8324223),(38 8547658),(39 8823738),(40 9140564),(41 9489830),(42 9864268),(43 10222549),(44 10564122),(45 10845089),(46 11041596),(47 11127224),(48 11087987),(49 10967530),(50 10794291),(51 10592433),(52 10440475),(53 10297305),(54 10231432),(55 10281087),(56 10489402),(57 10894527),(58 11451777),(59 12116212),(60 12766569),(61 13361390),(62 13895730),(63 14293460),(64 14526741),(65 14564158),(66 14433691),(67 14213132),(68 13920698),(69 13669036),(70 13509297),(71 13469903),(72 13579849),(73 13820341),(74 14180983),(75 14638683),(76 15102846),(77 15502446),(78 15780236),(79 15907842),
(1 372730.75),(2 1283811.3),(3 2413965.3),(4 3572903.5),(5 4668111),(6 5638662.5),(7 6425038),(8 6981593.5),(9 7292293.5),(10 7363431.5),(11 7243355.5),(12 6975040),(13 6635324),(14 6262578.5),(15 5922561.5),(16 5734106.5),(17 5723732),(18 5904577),(19 6203390.5),(20 6554366),(21 6945611.5),(22 7323140),(23 7623340),(24 7794095),(25 7839528),(26 7743538),(27 7525067),(28 7212022.5),(29 6881975),(30 6589391),(31 6382421),(32 6315169.5),(33 6390599.5),(34 6575331),(35 6881186),(36 7245721),(37 7614142.5),(38 7950772),(39 8226077),(40 8417697),(41 8550102),(42 8634613),(43 8647431),(44 8621343),(45 8594547),(46 8568624),(47 8537713),(48 8552195),(49 8591533),(50 8616095),(51 8624548),(52 8606094),(53 8552886),(54 8489190),(55 8441768),(56 8427336),(57 8448606),(58 8510298),(59 8665807),(60 8869903),(61 9145032),(62 9458628),(63 9737904),(64 9996874),(65 10200094),(66 10338302),(67 10428520),(68 10431445),(69 10390168),(70 10340690),(71 10337567),(72 10403327),(73 10511116),(74 10646739),(75 10806462),(76 10933656),(77 11096977),(78 11245966),(79 11386683),
