1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 9481.581),(2 18127.023),(3 39478.32),(4 57872.375),(5 86120.914),(6 111008.336),(7 144494.45),(8 174072.73),(9 213735.77),(10 247733.42),(11 290072.6),(12 328987.44),(13 377512),(14 422453.5),(15 477876.66),(16 529414.9),(17 592132),(18 651562.8),(19 719114.3),(20 786711.8),(21 867741.06),(22 955897.2),(23 1060782.4),(24 1168005.9),(25 1289902.9),(26 1412208),(27 1554034.4),(28 1703572.6),(29 1875565.6),(30 2044097.4),(31 2235660.8),(32 2431278.3),(33 2621840.8),(34 2791202),(35 2964467.3),(36 3134525.3),(37 3309963),(38 3487600.8),(39 3679160),(40 3860073),(41 4051022),(42 4252239.5),(43 4449972.5),(44 4639570.5),(45 4828909),(46 5006564),(47 5205858.5),(48 5392168.5),(49 5579575.5),(50 5769668.5),(51 5958550.5),(52 6143808),(53 6333697.5),(54 6509206),(55 6716504),(56 6917448),(57 7120712),(58 7315674.5),(59 7494668),(60 7661336.5),(61 7842574.5),(62 7968258.5),(63 8093457.5),(64 8211676),(65 8312789.5),(66 8406401),(67 8486261),(68 8543316),(69 8587498),(70 8600792),(71 8612488),(72 8596220),(73 8569201),(74 8515993),(75 8464940),(76 8379668.5),(77 8308587.5),(78 8219953.5),(79 8156474.5),
(1 7255.6235),(2 22127.594),(3 44299.527),(4 72923.58),(5 109761.69),(6 150841.05),(7 199994.52),(8 252151.34),(9 310537.06),(10 371017.9),(11 439414.5),(12 509944.3),(13 585650.2),(14 671069.4),(15 758986.8),(16 857231.3),(17 967908.9),(18 1077000.6),(19 1210699.8),(20 1344354.6),(21 1497197.8),(22 1667400.5),(23 1851619.4),(24 2046823),(25 2261925.3),(26 2479613.5),(27 2727126),(28 2989894.8),(29 3276009),(30 3573519.3),(31 3892066.8),(32 4208580),(33 4524168.5),(34 4820167.5),(35 5117241),(36 5406442.5),(37 5702004.5),(38 5984593),(39 6284020),(40 6569457),(41 6853285),(42 7138315),(43 7411315),(44 7675661.5),(45 7938856),(46 8177089.5),(47 8457911),(48 8706051),(49 8954578),(50 9183490),(51 9386397),(52 9580765),(53 9786329),(54 9969739),(55 10191509),(56 10384349),(57 10591158),(58 10769605),(59 10949450),(60 11094044),(61 11253600),(62 11378918),(63 11501523),(64 11608906),(65 11702362),(66 11785107),(67 11884499),(68 11947714),(69 11995443),(70 12019135),(71 12015564),(72 12009129),(73 11998580),(74 11951600),(75 11885969),(76 11797917),(77 11715930),(78 11614723),(79 11502371),
(1 7238.9272),(2 20766.893),(3 45428.254),(4 74703.445),(5 112587.21),(6 156387.58),(7 206249.39),(8 260945.61),(9 323798.34),(10 390459.25),(11 464878.5),(12 539886.2),(13 622076.8),(14 702743.8),(15 794849.56),(16 891905),(17 995394.3),(18 1105373.1),(19 1227291.6),(20 1344291.3),(21 1475883.5),(22 1602485.6),(23 1746366.6),(24 1889660.6),(25 2038098.6),(26 2188530.8),(27 2360820.5),(28 2527441.8),(29 2708334),(30 2893462),(31 3091023),(32 3278330),(33 3478284),(34 3664395.3),(35 3849192.3),(36 4035181.3),(37 4222397),(38 4405308.5),(39 4598869.5),(40 4789128.5),(41 4989428),(42 5175664),(43 5360879.5),(44 5557600),(45 5744177.5),(46 5922001.5),(47 6133476.5),(48 6303494),(49 6496096),(50 6668972.5),(51 6824808.5),(52 6980073.5),(53 7136260.5),(54 7280984.5),(55 7443946.5),(56 7606906),(57 7755981.5),(58 7915029.5),(59 8076220),(60 8227626.5),(61 8378670),(62 8531196),(63 8696087),(64 8850321),(65 9015485),(66 9171954),(67 9340297),(68 9497290),(69 9679573),(70 9836357),(71 10001595),(72 10162001),(73 10339164),(74 10503832),(75 10671141),(76 10822606),(77 11002645),(78 11161573),(79 11325259),
(1 9576.705),(2 31410.055),(3 68267.33),(4 114385.43),(5 170489.67),(6 235951.33),(7 312084.63),(8 395581.44),(9 487135.34),(10 586098.94),(11 693022.1),(12 801445.25),(13 913867.25),(14 1030168.7),(15 1159038.3),(16 1288215.1),(17 1425855.1),(18 1563488.9),(19 1705742.3),(20 1846097.9),(21 1990495.5),(22 2131477.3),(23 2274791),(24 2416462.5),(25 2554766.8),(26 2695787),(27 2843670),(28 2996676.8),(29 3154157.5),(30 3311217.3),(31 3480489),(32 3649454),(33 3814017),(34 3964710.8),(35 4106727.5),(36 4244278),(37 4369796.5),(38 4498618.5),(39 4627283.5),(40 4746057),(41 4866149.5),(42 4970915.5),(43 5083385),(44 5186831),(45 5280784.5),(46 5367653.5),(47 5455082),(48 5526189.5),(49 5613330),(50 5686445.5),(51 5748875.5),(52 5802794.5),(53 5860363),(54 5911982),(55 5969986.5),(56 6018574),(57 6074957.5),(58 6129994.5),(59 6184253),(60 6235748.5),(61 6283671.5),(62 6335430.5),(63 6388362.5),(64 6439958),(65 6500956.5),(66 6555351),(67 6615474),(68 6671512.5),(69 6732571),(70 6788978.5),(71 6848692.5),(72 6915312),(73 6985625),(74 7063032),(75 7133709.5),(76 7201482),(77 7288646),(78 7371313),(79 7454650),
(1 10792.832),(2 36691.223),(3 78275.38),(4 134263.19),(5 202140.11),(6 282196.22),(7 372205.28),(8 471913.5),(9 579047.25),(10 693798),(11 815408.75),(12 939541.75),(13 1068858.9),(14 1202396.9),(15 1343470.4),(16 1480658.1),(17 1622773.9),(18 1762591.6),(19 1900431.3),(20 2042045.5),(21 2178403.5),(22 2318847.8),(23 2458213.3),(24 2586321),(25 2712602.5),(26 2842012),(27 2968788.5),(28 3096991),(29 3218306.3),(30 3341364.3),(31 3468050.3),(32 3592057.5),(33 3705367.8),(34 3813405),(35 3911670.5),(36 3999356.3),(37 4080736.3),(38 4157409.5),(39 4240240.5),(40 4318603),(41 4388136),(42 4453598),(43 4515558.5),(44 4571141.5),(45 4627896),(46 4681624.5),(47 4744368),(48 4793814.5),(49 4851457.5),(50 4907575.5),(51 4943534),(52 4977428.5),(53 5006462),(54 5040697.5),(55 5068776.5),(56 5092483),(57 5118036.5),(58 5141962),(59 5157918.5),(60 5168570),(61 5172872),(62 5172079.5),(63 5171931.5),(64 5169301.5),(65 5166681.5),(66 5156681.5),(67 5151391.5),(68 5131398.5),(69 5116492.5),(70 5095300.5),(71 5079468),(72 5068964),(73 5059914),(74 5065659.5),(75 5062299),(76 5061962),(77 5057799),(78 5066124.5),(79 5060622),
(1 12654.64),(2 44951.043),(3 97666.51),(4 170083.23),(5 262176.44),(6 372371.4),(7 501640.5),(8 645443.6),(9 804487.9),(10 980364.6),(11 1168037.6),(12 1361286),(13 1563125.1),(14 1773162.3),(15 1981234.8),(16 2194402.5),(17 2412844.5),(18 2634857.5),(19 2861627.3),(20 3081373.3),(21 3299026),(22 3519353.5),(23 3727838.5),(24 3930678.8),(25 4122903.3),(26 4313251),(27 4496728),(28 4672840.5),(29 4845077),(30 5021857),(31 5197404),(32 5357191),(33 5511623.5),(34 5662139),(35 5796985),(36 5933449),(37 6048898.5),(38 6159771.5),(39 6277961),(40 6386624),(41 6491162.5),(42 6595068.5),(43 6691394.5),(44 6791262.5),(45 6887454.5),(46 6986878.5),(47 7087301.5),(48 7188647),(49 7289927),(50 7402057.5),(51 7498157),(52 7590055),(53 7680583),(54 7776499),(55 7859554.5),(56 7949689.5),(57 8014136),(58 8080708),(59 8140579),(60 8199705.5),(61 8236136),(62 8267605),(63 8282175),(64 8281057.5),(65 8270648),(66 8258568),(67 8226922.5),(68 8187253.5),(69 8135401.5),(70 8083014.5),(71 8018319),(72 7948553.5),(73 7870265),(74 7795430.5),(75 7711185),(76 7621637.5),(77 7529706.5),(78 7446443),(79 7351957.5),
(1 15538.217),(2 56520.63),(3 121655.09),(4 208931.67),(5 315884.1),(6 444055.2),(7 589001.25),(8 751934.94),(9 925788.3),(10 1117078.8),(11 1318652.9),(12 1523681.5),(13 1732200.6),(14 1946405.9),(15 2164236.3),(16 2383434.5),(17 2596868.3),(18 2814194.5),(19 3030506.3),(20 3239815),(21 3439727.8),(22 3637801.3),(23 3826268.3),(24 4011319),(25 4180437.5),(26 4353292.5),(27 4511214.5),(28 4671837),(29 4827910),(30 4986348.5),(31 5140800),(32 5291425),(33 5424727),(34 5550360.5),(35 5666491),(36 5776661.5),(37 5863924.5),(38 5951941),(39 6033819.5),(40 6118596.5),(41 6187063),(42 6249168),(43 6301393),(44 6352104),(45 6394871),(46 6443885),(47 6485578.5),(48 6527827),(49 6568018),(50 6610745),(51 6636098.5),(52 6667511.5),(53 6688615),(54 6723128.5),(55 6757210),(56 6799440.5),(57 6834688.5),(58 6879714.5),(59 6920524.5),(60 6960037.5),(61 7002162),(62 7045784),(63 7089371.5),(64 7138495),(65 7177494),(66 7226628.5),(67 7262257),(68 7302133),(69 7344741.5),(70 7387425),(71 7437745),(72 7488043),(73 7531621),(74 7588006),(75 7631450.5),(76 7667845.5),(77 7700439),(78 7730105),(79 7750943),
(1 10994.52),(2 37919.7),(3 82021.586),(4 140420.89),(5 212648.16),(6 299837.16),(7 400717.78),(8 514073.47),(9 637315.06),(10 771661.75),(11 913883.25),(12 1057023.5),(13 1202179.4),(14 1351843.8),(15 1505045.5),(16 1654546.9),(17 1806154.4),(18 1954460.3),(19 2096802.1),(20 2234725.8),(21 2369076.8),(22 2495817.5),(23 2610467.3),(24 2721649.5),(25 2819292.5),(26 2917283.8),(27 3009888.5),(28 3091391),(29 3172739.3),(30 3245497),(31 3314923.8),(32 3375720.5),(33 3420647),(34 3463354.8),(35 3494181),(36 3520012.8),(37 3532693),(38 3548143),(39 3558938.8),(40 3573533.3),(41 3579300.5),(42 3575327.8),(43 3575680.3),(44 3572559.3),(45 3566631.8),(46 3563368.5),(47 3551202.3),(48 3533288),(49 3521417.8),(50 3503777.3),(51 3488693.3),(52 3475763.3),(53 3456198.5),(54 3449943.3),(55 3439172.3),(56 3439853),(57 3439913.8),(58 3439744.5),(59 3441254.3),(60 3441732.3),(61 3436114.5),(62 3436925),(63 3437420.8),(64 3436354.8),(65 3438648),(66 3439411),(67 3440306.5),(68 3442487.3),(69 3444755.3),(70 3451557.8),(71 3462088.5),(72 3473707.3),(73 3482339.3),(74 3500253.8),(75 3506887.3),(76 3518828.8),(77 3529148.8),(78 3539341),(79 3548344),
(1 12270.228),(2 43598.273),(3 93802.73),(4 159796.16),(5 241133.9),(6 337718.72),(7 447350.2),(8 565430.5),(9 691359.3),(10 826866.25),(11 966474.25),(12 1105265.9),(13 1241821.1),(14 1380030.6),(15 1518955.1),(16 1651685.1),(17 1785532.9),(18 1910322.8),(19 2030395.8),(20 2138099.3),(21 2238807.5),(22 2334001),(23 2417290.3),(24 2489279),(25 2554035.3),(26 2618200),(27 2665426.3),(28 2706776.3),(29 2740405),(30 2768366),(31 2793785),(32 2817976.5),(33 2836609),(34 2857831.5),(35 2876749.8),(36 2894211.5),(37 2907200.3),(38 2920371.5),(39 2931572.5),(40 2944744.3),(41 2957135.3),(42 2966378.3),(43 2977957.3),(44 2989066.5),(45 2998036.8),(46 3008401.5),(47 3021682.8),(48 3028108.5),(49 3041069.8),(50 3049780.8),(51 3058589.8),(52 3065251),(53 3069942),(54 3074593.5),(55 3075003.3),(56 3079032.3),(57 3077354.5),(58 3072714),(59 3063959.5),(60 3056799.5),(61 3043373),(62 3023460.3),(63 3001750.5),(64 2981023),(65 2960961.5),(66 2934325.8),(67 2913235.8),(68 2892790),(69 2871801.5),(70 2857062.8),(71 2843545.5),(72 2827836.5),(73 2818325.5),(74 2810189.5),(75 2807372.8),(76 2813071),(77 2815617.3),(78 2828188),(79 2835952),
(1 10425.899),(2 36904.063),(3 79498.11),(4 136632.08),(5 207161.14),(6 289766.16),(7 383639.16),(8 485456),(9 593218.9),(10 707277.7),(11 830766.5),(12 948931.56),(13 1066440.8),(14 1183455.9),(15 1300983.4),(16 1416179.6),(17 1533364),(18 1644092),(19 1757672.5),(20 1860481.9),(21 1957828.6),(22 2053496.9),(23 2139355.5),(24 2222645),(25 2295886.8),(26 2369562.8),(27 2435915.5),(28 2502584.3),(29 2568305),(30 2627612.5),(31 2696638),(32 2765439.5),(33 2832487.8),(34 2900850.8),(35 2960849.5),(36 3023860),(37 3078857.3),(38 3124865.5),(39 3168746.3),(40 3208707),(41 3243699.5),(42 3272951.3),(43 3295352),(44 3312557.8),(45 3321501),(46 3328452),(47 3331449),(48 3331089.5),(49 3330561.3),(50 3329095.5),(51 3326601.5),(52 3321907),(53 3315297),(54 3303712.8),(55 3294343),(56 3280405.3),(57 3263641.3),(58 3240779.5),(59 3219359.8),(60 3193097.5),(61 3162258.5),(62 3126228),(63 3084056.8),(64 3042335),(65 2998285.3),(66 2949999.5),(67 2898861),(68 2847369.8),(69 2794916.8),(70 2744421.5),(71 2692798.8),(72 2639840.3),(73 2586713),(74 2530944.8),(75 2478713.8),(76 2423045),(77 2369924),(78 2320386.5),(79 2266635),
(1 10592.523),(2 37067.316),(3 78797.766),(4 132393.36),(5 197702.58),(6 273274.56),(7 358123.06),(8 448497.53),(9 542230.1),(10 641079.7),(11 743127.56),(12 839456.25),(13 933383.3),(14 1027888.56),(15 1122124.8),(16 1212217),(17 1298647.8),(18 1383939.6),(19 1466075),(20 1538800.4),(21 1607976),(22 1673331.5),(23 1730978.6),(24 1782955),(25 1821533.1),(26 1857699.3),(27 1885572.8),(28 1913985.6),(29 1937116.6),(30 1952575),(31 1972722.1),(32 1988568),(33 2001910.9),(34 2010481),(35 2013248.5),(36 2015083.8),(37 2014568),(38 2012656.8),(39 2005945.1),(40 1998714.9),(41 1991638.6),(42 1980044.3),(43 1967034),(44 1951097),(45 1930934.6),(46 1909799),(47 1892698.4),(48 1876493.5),(49 1857392.4),(50 1840995),(51 1828596),(52 1810499.6),(53 1796559.8),(54 1783571),(55 1770767.6),(56 1756017.8),(57 1742053.4),(58 1724465.4),(59 1705972.5),(60 1689145.9),(61 1673424.5),(62 1656598.5),(63 1637761.8),(64 1618137.1),(65 1600811.8),(66 1586727),(67 1571140.5),(68 1557878.6),(69 1545058),(70 1535117.6),(71 1528259.3),(72 1527194.6),(73 1528781.5),(74 1536874.1),(75 1546348.1),(76 1565009),(77 1588578.4),(78 1615821.3),(79 1647741.8),
