1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 9116.657),(2 8006.2163),(3 17694.639),(4 18566.744),(5 29124.828),(6 31901.104),(7 46157.42),(8 48625.63),(9 62601.87),(10 67750.3),(11 85557.97),(12 93941.15),(13 109517.1),(14 123740.35),(15 146802.8),(16 167167.19),(17 193739.7),(18 223283.38),(19 257418.25),(20 291149.28),(21 330828.16),(22 370204.75),(23 419200.47),(24 460758.25),(25 517983.47),(26 573976.25),(27 642865.2),(28 721078.44),(29 805557.25),(30 904022.3),(31 1025455.94),(32 1143387.6),(33 1262069.5),(34 1393090.4),(35 1524627.4),(36 1657740.6),(37 1796961),(38 1940398.6),(39 2070856.1),(40 2219802.3),(41 2383604.8),(42 2538635.5),(43 2673567.5),(44 2806116),(45 2948626.8),(46 3097459.3),(47 3241383),(48 3389743),(49 3524579),(50 3666440),(51 3811445.8),(52 3945903.3),(53 4064015),(54 4185353.8),(55 4280044.5),(56 4391249.5),(57 4491985.5),(58 4592495.5),(59 4685601.5),(60 4798379.5),(61 4877868),(62 4958582.5),(63 5002662.5),(64 5078229.5),(65 5147598.5),(66 5214985),(67 5288967.5),(68 5366859.5),(69 5455834.5),(70 5524347),(71 5595790.5),(72 5664654),(73 5722658.5),(74 5788066.5),(75 5855924.5),(76 5908498.5),(77 5965456),(78 6006790.5),(79 6044852.5),
(1 4415.553),(2 9770.763),(3 19017.604),(4 29101.385),(5 42931.715),(6 59313.28),(7 79123.31),(8 98934.83),(9 123577.52),(10 146242.13),(11 173251.94),(12 198195.66),(13 228074.05),(14 257990.7),(15 294799.56),(16 329941.2),(17 366610.3),(18 404498.94),(19 447960.5),(20 485209.1),(21 526337.56),(22 569384.5),(23 614639.56),(24 656716),(25 703898.6),(26 754261.2),(27 809822.75),(28 869268),(29 943037.9),(30 1016935.5),(31 1109203.8),(32 1199153.4),(33 1293705.9),(34 1389404.4),(35 1494820.3),(36 1596485.3),(37 1706285.6),(38 1815473.6),(39 1924786.4),(40 2041705.6),(41 2167896.3),(42 2288392.8),(43 2406927.5),(44 2500224.5),(45 2609928.5),(46 2719798.8),(47 2834569.3),(48 2950920.5),(49 3061089.5),(50 3164342.5),(51 3275643.5),(52 3360494.5),(53 3453669.5),(54 3549396),(55 3637314.5),(56 3723500.5),(57 3819735.3),(58 3903320),(59 3997534.5),(60 4084348.8),(61 4166247.3),(62 4233945),(63 4308910.5),(64 4379306.5),(65 4460052.5),(66 4531227),(67 4615698),(68 4690496),(69 4784318),(70 4859094),(71 4944422.5),(72 5031758),(73 5119979),(74 5221109.5),(75 5328712.5),(76 5415235),(77 5519591.5),(78 5606810),(79 5705089),
(1 5043.281),(2 12178.399),(3 24108.555),(4 39186.855),(5 58607.22),(6 82054.016),(7 108301.695),(8 136413.48),(9 170285.45),(10 207967.88),(11 254463.83),(12 302930.1),(13 360564.34),(14 418132.1),(15 481749.9),(16 544787.2),(17 603614.7),(18 667237.56),(19 732122.7),(20 789443.25),(21 850033.44),(22 909244.94),(23 968808.7),(24 1031596.75),(25 1086251.4),(26 1147511),(27 1210282.1),(28 1270004),(29 1335190.9),(30 1403768.9),(31 1467741),(32 1529881.6),(33 1584106),(34 1636082.9),(35 1689050.4),(36 1735499),(37 1777151.6),(38 1830288.6),(39 1881364.6),(40 1933187.5),(41 1989693),(42 2046240.9),(43 2120553.3),(44 2185065.5),(45 2255268),(46 2326656.8),(47 2400221.8),(48 2468301.3),(49 2539535.3),(50 2601476.3),(51 2659023.8),(52 2722499.5),(53 2779963.3),(54 2839143.3),(55 2893615.3),(56 2948556.8),(57 3004512.3),(58 3058905.3),(59 3120922.8),(60 3173400.3),(61 3236654.8),(62 3282052),(63 3345668.8),(64 3387966.8),(65 3432757.3),(66 3473993.3),(67 3509415.3),(68 3548593),(69 3596431.3),(70 3641957.8),(71 3691347.3),(72 3744284),(73 3793179),(74 3851527),(75 3925268.8),(76 3980522.3),(77 4056147),(78 4131037.3),(79 4212260.5),
(1 6703.5464),(2 20349.027),(3 41212.246),(4 69181.125),(5 103315.96),(6 142151.73),(7 186487),(8 234108.33),(9 285751.22),(10 339966.63),(11 400196.84),(12 460514.66),(13 523660.56),(14 587135.75),(15 655319.25),(16 722349.56),(17 788830.75),(18 858797),(19 924891.75),(20 990450),(21 1057036.5),(22 1123596),(23 1192840.5),(24 1263231.5),(25 1333226.5),(26 1406878.5),(27 1481148.5),(28 1555791.9),(29 1633362.9),(30 1710349.6),(31 1787788.3),(32 1862114.6),(33 1937505.4),(34 2018080.5),(35 2098390.8),(36 2174900.5),(37 2252271),(38 2331947),(39 2412483.8),(40 2499104.5),(41 2584851.8),(42 2676797.8),(43 2771452.3),(44 2864759),(45 2961079.8),(46 3051542.3),(47 3151171.5),(48 3253349),(49 3357425.3),(50 3453993),(51 3564063.5),(52 3672206.8),(53 3785354.8),(54 3891106.8),(55 4006848),(56 4112842.8),(57 4229588),(58 4338336.5),(59 4459191),(60 4578356),(61 4693605),(62 4807592),(63 4921227),(64 5031939),(65 5139898),(66 5252034),(67 5354565.5),(68 5451522.5),(69 5547374),(70 5642668.5),(71 5734771),(72 5820008.5),(73 5901259),(74 5977663),(75 6040890.5),(76 6113520.5),(77 6185828.5),(78 6248180.5),(79 6312422.5),
(1 6763.869),(2 21767.383),(3 44836.234),(4 76409.19),(5 116009.2),(6 161435.86),(7 212708.94),(8 267475.06),(9 327187.5),(10 388380.2),(11 455734.8),(12 524803.2),(13 596407.75),(14 665547.75),(15 742897.25),(16 820169.06),(17 894539.06),(18 974012.75),(19 1056510.8),(20 1141111.5),(21 1226760.1),(22 1312282),(23 1399774.3),(24 1489984.9),(25 1583588.8),(26 1675946.1),(27 1769839.1),(28 1861092.9),(29 1954826.5),(30 2049518.1),(31 2140533.8),(32 2231632),(33 2322148.8),(34 2415350.3),(35 2506229.8),(36 2591116.8),(37 2673017.8),(38 2758083.8),(39 2842917.8),(40 2925585),(41 3003415.5),(42 3084518.5),(43 3168731.8),(44 3265127.8),(45 3351615),(46 3438859.3),(47 3517840.8),(48 3598767.8),(49 3679994.5),(50 3762780),(51 3848091.8),(52 3929501.8),(53 4010754.5),(54 4089013),(55 4161995),(56 4226400.5),(57 4292765.5),(58 4356901),(59 4425680.5),(60 4486305.5),(61 4550786),(62 4605707),(63 4661586),(64 4711337.5),(65 4745959.5),(66 4783380.5),(67 4812527.5),(68 4834783.5),(69 4866040),(70 4884203.5),(71 4902408.5),(72 4925627.5),(73 4938133.5),(74 4953395),(75 4968623.5),(76 4988235.5),(77 5009368.5),(78 5031395),(79 5062434.5),
(1 7372.825),(2 23687.824),(3 48894.95),(4 83127.836),(5 124243.3),(6 171329.52),(7 223320.33),(8 279454.06),(9 337228.16),(10 397971.22),(11 461880.4),(12 525179.1),(13 588065.94),(14 650843),(15 715951.3),(16 777730.75),(17 842748.2),(18 907952.3),(19 976089.9),(20 1045506.4),(21 1115780.8),(22 1186188),(23 1252039.6),(24 1322760.3),(25 1392413.4),(26 1465748.1),(27 1541821.8),(28 1617282.6),(29 1696747.4),(30 1777465.6),(31 1864660.8),(32 1949675.6),(33 2036776.8),(34 2131275),(35 2227277.8),(36 2324398.3),(37 2421261.5),(38 2520316.5),(39 2615695.3),(40 2718392),(41 2822416),(42 2932453.3),(43 3039723.5),(44 3150748.5),(45 3248601.3),(46 3354806.5),(47 3450528.8),(48 3540273.5),(49 3623381.5),(50 3706283.3),(51 3788996.8),(52 3864236),(53 3932036.8),(54 4004050.8),(55 4072161.5),(56 4138504),(57 4194783),(58 4250383),(59 4303009),(60 4348051.5),(61 4390708.5),(62 4428603),(63 4460324.5),(64 4484509.5),(65 4502857),(66 4518634.5),(67 4533580),(68 4544686.5),(69 4561431),(70 4572697),(71 4587824),(72 4598856.5),(73 4607213),(74 4623939),(75 4635005.5),(76 4648057.5),(77 4659135),(78 4666031),(79 4680534.5),
(1 6113.1494),(2 19365.885),(3 40470.285),(4 67634.62),(5 100311.49),(6 138411.02),(7 179995.16),(8 225852.92),(9 274459.78),(10 327251.13),(11 380696.66),(12 438067.34),(13 496034.53),(14 554753.4),(15 615336.25),(16 675974.7),(17 738528.1),(18 802011.1),(19 866581),(20 931064.56),(21 995850.44),(22 1063853.4),(23 1129343),(24 1190208.9),(25 1254138.9),(26 1318142.1),(27 1384086.1),(28 1452246.3),(29 1519413.9),(30 1591882.9),(31 1662301.4),(32 1735858.8),(33 1805434),(34 1878058.6),(35 1948954.5),(36 2018736.8),(37 2091128.6),(38 2162210.8),(39 2234726.5),(40 2311070.3),(41 2386701.8),(42 2472321),(43 2550594.3),(44 2633997.3),(45 2719922.3),(46 2809465.8),(47 2897200.3),(48 2982826.5),(49 3064305),(50 3142288.3),(51 3216717),(52 3281859),(53 3346157.8),(54 3409261.8),(55 3472119.5),(56 3529722.5),(57 3585816),(58 3640579.5),(59 3695503.8),(60 3749412),(61 3797167.8),(62 3838789.5),(63 3881305.8),(64 3916591.5),(65 3947173.8),(66 3977699.8),(67 4002647.5),(68 4026251),(69 4055365.3),(70 4078234.5),(71 4095703.8),(72 4114371.5),(73 4131060.5),(74 4150927.5),(75 4157328.3),(76 4167239),(77 4173746.8),(78 4186684),(79 4194467),
(1 7275.227),(2 24188.693),(3 51251.5),(4 86621.1),(5 129885.3),(6 181062.56),(7 239005.45),(8 302042.9),(9 369518.9),(10 442048.84),(11 520299.8),(12 597952.25),(13 674524.8),(14 753320.8),(15 835280.2),(16 919422.6),(17 1003368.94),(18 1090339.4),(19 1173708.9),(20 1259403.6),(21 1341793.8),(22 1424883.1),(23 1506696.5),(24 1585551.6),(25 1666251.3),(26 1744967.8),(27 1824928.5),(28 1907047.5),(29 1985744.6),(30 2070777.4),(31 2156603),(32 2240538.5),(33 2324459.8),(34 2421604.8),(35 2506951),(36 2598255.8),(37 2688178.5),(38 2777566.3),(39 2863316.3),(40 2952861.3),(41 3037356.8),(42 3129627.3),(43 3213928.8),(44 3307448.5),(45 3388887),(46 3470115),(47 3544243.8),(48 3613895.3),(49 3674911.8),(50 3734525.3),(51 3788136),(52 3835052),(53 3880182.5),(54 3925960.5),(55 3967477),(56 4010578.3),(57 4048345.3),(58 4085236),(59 4123077.5),(60 4154573.3),(61 4182541.5),(62 4212735.5),(63 4235736),(64 4255074),(65 4262282.5),(66 4279139),(67 4280365),(68 4286421.5),(69 4293993.5),(70 4303623.5),(71 4309476.5),(72 4311061),(73 4317543.5),(74 4322257.5),(75 4320496),(76 4326980.5),(77 4327645.5),(78 4331963),(79 4325134.5),
(1 5771.103),(2 18220.42),(3 37899.84),(4 64025.35),(5 95654.836),(6 131810.25),(7 174134.77),(8 216880.88),(9 262135.4),(10 309368.16),(11 355740.75),(12 402648.97),(13 449423.2),(14 496733.53),(15 545922.06),(16 591124.25),(17 635280.56),(18 680749),(19 720056.3),(20 759666.25),(21 796442.5),(22 831313.7),(23 863017.9),(24 892632.2),(25 918793.6),(26 946748.5),(27 971086.4),(28 992217.9),(29 1013197.75),(30 1033742.1),(31 1052121.4),(32 1073891),(33 1093417),(34 1114152.1),(35 1136290.3),(36 1156956.8),(37 1182019.4),(38 1203186.1),(39 1225130),(40 1244111),(41 1262169.3),(42 1280935.3),(43 1300084),(44 1326382.4),(45 1348437.1),(46 1369650.4),(47 1393355.9),(48 1418917.6),(49 1444417.5),(50 1471811.4),(51 1494500.8),(52 1515024.5),(53 1530208.9),(54 1546002.1),(55 1553796.1),(56 1557355.3),(57 1555685.5),(58 1552603.8),(59 1545683.3),(60 1534862.5),(61 1523709.5),(62 1511889.8),(63 1496200.6),(64 1477115.6),(65 1454094.6),(66 1429147.6),(67 1406109),(68 1383746.9),(69 1357346.3),(70 1333569),(71 1312060.6),(72 1289335.4),(73 1271696.1),(74 1256054.4),(75 1244862.5),(76 1241678.9),(77 1238887),(78 1243164.5),(79 1251283.9),
(1 5754.9653),(2 17029.652),(3 34866.305),(4 58101.168),(5 86230.42),(6 117740.195),(7 153413.02),(8 190376.88),(9 229489.19),(10 270594.72),(11 313516.13),(12 357805.06),(13 401958.13),(14 444259.34),(15 491442),(16 537587.25),(17 583367.4),(18 630908.56),(19 676217.5),(20 724081.75),(21 768594.7),(22 815159.25),(23 861098.4),(24 905685.25),(25 948742),(26 993776.44),(27 1036858.7),(28 1081996.6),(29 1124378.8),(30 1166110.9),(31 1208794.8),(32 1249252.6),(33 1288652.5),(34 1327354.4),(35 1363527.4),(36 1399065.5),(37 1434758.3),(38 1467467.8),(39 1492177.6),(40 1521025.9),(41 1546006.9),(42 1572290.4),(43 1596451.4),(44 1618091.3),(45 1640301.6),(46 1666067.3),(47 1692698.4),(48 1715019.6),(49 1736952.9),(50 1757503.8),(51 1778928.6),(52 1796785.5),(53 1815202.8),(54 1838290),(55 1859224),(56 1883416),(57 1911343.1),(58 1939783.1),(59 1969370.6),(60 2004484.3),(61 2034543.1),(62 2069928.9),(63 2103796.5),(64 2136279.3),(65 2166036),(66 2196000.5),(67 2223147),(68 2250571.3),(69 2274164.3),(70 2295639.3),(71 2320668),(72 2337475),(73 2356107.3),(74 2369626.5),(75 2383452.5),(76 2401100.5),(77 2412109.5),(78 2421477),(79 2429083.8),
(1 6783.7783),(2 21478.84),(3 45100.19),(4 75940.086),(5 113673.06),(6 156795.73),(7 206462.03),(8 257857.14),(9 313651.1),(10 374244.13),(11 437030.28),(12 500785.28),(13 561764.8),(14 622239.1),(15 685668.5),(16 748607.6),(17 809911.25),(18 871185.1),(19 931930.06),(20 991909.9),(21 1047062.5),(22 1101452.1),(23 1152232.3),(24 1198767.9),(25 1243308.9),(26 1287559.9),(27 1331421.1),(28 1369958.9),(29 1408397),(30 1443612.4),(31 1473755.8),(32 1500598.6),(33 1528239.5),(34 1557707.8),(35 1582682.9),(36 1609145.6),(37 1634200.8),(38 1656506.4),(39 1676111.8),(40 1692316.9),(41 1705040),(42 1722869.6),(43 1736792.3),(44 1750563.8),(45 1768289.6),(46 1784018),(47 1802826),(48 1822292.4),(49 1845428.5),(50 1871021.3),(51 1899191.6),(52 1931681.4),(53 1968247.1),(54 2004232.3),(55 2038806.4),(56 2076331.8),(57 2120894.8),(58 2160573.3),(59 2205177.8),(60 2247761.3),(61 2291630.8),(62 2342642.3),(63 2387183.8),(64 2430828.3),(65 2469884.8),(66 2507504.8),(67 2540356.3),(68 2570475.8),(69 2598131),(70 2619734.3),(71 2642372),(72 2658394),(73 2676991.8),(74 2680854),(75 2690861.5),(76 2695351.8),(77 2696528.8),(78 2696680),(79 2690805.5),
