1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 8607.441),(2 7899.656),(3 19254.62),(4 20827.072),(5 34392.895),(6 40670.387),(7 54582.28),(8 61098.473),(9 74529.79),(10 81887.12),(11 95592.836),(12 102365.73),(13 115670.03),(14 124087.164),(15 138128.42),(16 148261.98),(17 164537.31),(18 178455.36),(19 195425.86),(20 211153.58),(21 231196.81),(22 248272.73),(23 264608.16),(24 280974.75),(25 299787.84),(26 319305.63),(27 336317.13),(28 357785.16),(29 378062.4),(30 399531.5),(31 424980.53),(32 447419.34),(33 471908.63),(34 491818.4),(35 514752.5),(36 537457.8),(37 570075.7),(38 592280.6),(39 619428.06),(40 642894.3),(41 671999.06),(42 696864.56),(43 725187.75),(44 757542.94),(45 788878.5),(46 825674.5),(47 860361.44),(48 902041.94),(49 939783.5),(50 979713.25),(51 1015989.06),(52 1050481.6),(53 1077785.4),(54 1110968.1),(55 1140014.5),(56 1179218.4),(57 1217184.4),(58 1257957.6),(59 1299306.5),(60 1342713.1),(61 1391372.6),(62 1442536),(63 1500900.1),(64 1553827.6),(65 1611783.1),(66 1671428),(67 1732620.4),(68 1794461.6),(69 1857538),(70 1923619.9),(71 1981188.6),(72 2047835.1),(73 2105914),(74 2172550.8),(75 2250135.3),(76 2319471.8),(77 2385170.8),(78 2446016.3),(79 2510850.8),
(1 4139.796),(2 9310.529),(3 19730.53),(4 31010.027),(5 47498.242),(6 66000.484),(7 87117.02),(8 109174.664),(9 136265.9),(10 163855.16),(11 196231.25),(12 229539.33),(13 266995.34),(14 304487.4),(15 344598.94),(16 392369.66),(17 442220),(18 492355.4),(19 544398.2),(20 602659.44),(21 664718.4),(22 727464.5),(23 795473.94),(24 864199.3),(25 935244.4),(26 1010563),(27 1088557.8),(28 1167298.4),(29 1254370.6),(30 1339837.3),(31 1425594.8),(32 1515189.5),(33 1607936.8),(34 1689948.4),(35 1776831.6),(36 1873450.8),(37 1966407.6),(38 2060705.6),(39 2150558.5),(40 2246286.8),(41 2337228),(42 2437497.8),(43 2537978.5),(44 2643002),(45 2743965.5),(46 2845167.3),(47 2944018.5),(48 3056947.3),(49 3155912.5),(50 3260982),(51 3363892.8),(52 3471319.5),(53 3564438),(54 3662911.3),(55 3769292),(56 3884232.5),(57 4003205.3),(58 4120245.5),(59 4248318),(60 4361534.5),(61 4486765.5),(62 4624083),(63 4752220),(64 4889216.5),(65 5029633.5),(66 5175537),(67 5318835),(68 5471547.5),(69 5607994.5),(70 5744782.5),(71 5866149.5),(72 6006005.5),(73 6139659),(74 6266712.5),(75 6409598),(76 6549758.5),(77 6671402.5),(78 6785408),(79 6902445),
(1 4897.9907),(2 13528.253),(3 26794.635),(4 43964.77),(5 64548.754),(6 87122.56),(7 112016.836),(8 141492.55),(9 173578.02),(10 203355.5),(11 236434.55),(12 274595.6),(13 311513.63),(14 352586.9),(15 396228.75),(16 444661.16),(17 491762.75),(18 541243.2),(19 593810.56),(20 652180.8),(21 712313.3),(22 774739.5),(23 837674.3),(24 905229.5),(25 975812.25),(26 1047223.2),(27 1120344.1),(28 1199644),(29 1277540.5),(30 1355766.5),(31 1436070.1),(32 1523991.5),(33 1606972.4),(34 1694883.6),(35 1779161.4),(36 1878451),(37 1963024.4),(38 2061255.6),(39 2151354.3),(40 2243122.5),(41 2334540),(42 2431398),(43 2522455.8),(44 2617058.3),(45 2705925.8),(46 2795099.3),(47 2887389.8),(48 2988949.8),(49 3081693.3),(50 3165830),(51 3250669.8),(52 3345917.3),(53 3426391.3),(54 3516392),(55 3603541.8),(56 3691013.3),(57 3774514),(58 3862607.3),(59 3942058),(60 4025446),(61 4105367.8),(62 4190228.3),(63 4278771.5),(64 4366810),(65 4454271),(66 4541520.5),(67 4630531.5),(68 4718380.5),(69 4794180.5),(70 4866991.5),(71 4945740.5),(72 5028928.5),(73 5104755.5),(74 5171950),(75 5252055),(76 5331048.5),(77 5404156),(78 5474813.5),(79 5545564.5),
(1 5043.123),(2 14823.132),(3 30001.26),(4 49394.992),(5 72917.32),(6 101863.945),(7 133611.56),(8 168186.97),(9 204973.05),(10 245289.22),(11 288812.88),(12 335379.5),(13 382942.44),(14 434124.78),(15 485842.56),(16 544531.06),(17 605277.56),(18 665271.5),(19 728808.9),(20 797281.7),(21 865629.56),(22 938245.75),(23 1008630.25),(24 1082783),(25 1157328.4),(26 1238522.6),(27 1308495.5),(28 1387858.9),(29 1460645.8),(30 1533166.5),(31 1606952.5),(32 1678228.3),(33 1746859.3),(34 1820069.8),(35 1887648.3),(36 1962406),(37 2030376.5),(38 2092274.5),(39 2154376.8),(40 2224642),(41 2285202),(42 2343896.5),(43 2397488.8),(44 2454136.5),(45 2505121.8),(46 2556499.8),(47 2605217.8),(48 2656587),(49 2701995.3),(50 2748629.3),(51 2793197.3),(52 2844196),(53 2893327.8),(54 2945896.8),(55 2993267.5),(56 3042826.3),(57 3085364.5),(58 3136635.5),(59 3185846.3),(60 3233576),(61 3277112.5),(62 3323667.5),(63 3369856),(64 3419359.3),(65 3474907.8),(66 3523220.8),(67 3565759),(68 3618611),(69 3672426.3),(70 3730675.5),(71 3783017),(72 3836486.3),(73 3886433.8),(74 3942620.5),(75 3996787),(76 4050764.5),(77 4103439.5),(78 4153147.5),(79 4193528),
(1 7656.985),(2 24678.727),(3 52441.06),(4 88808.625),(5 133794.9),(6 189593.02),(7 253626.75),(8 323265.7),(9 399665.72),(10 485056.38),(11 574533.2),(12 672449.06),(13 773223.25),(14 878946.8),(15 986362.44),(16 1103843.9),(17 1221249.3),(18 1342851.3),(19 1463146),(20 1594744.1),(21 1721325.5),(22 1853041.5),(23 1982300.5),(24 2115489.8),(25 2246607.3),(26 2384402.3),(27 2502125),(28 2639714.3),(29 2764575.5),(30 2887029.8),(31 3006450.5),(32 3118840.8),(33 3224845.8),(34 3325984),(35 3414975),(36 3505515),(37 3589840),(38 3673186.3),(39 3732373.5),(40 3813164.3),(41 3868123.8),(42 3922702.5),(43 3966428.3),(44 4010745.8),(45 4043672),(46 4075807.3),(47 4095617),(48 4120571),(49 4128353.5),(50 4133596.3),(51 4131618.3),(52 4130080),(53 4130207),(54 4133432.8),(55 4139554.3),(56 4145277),(57 4151086.5),(58 4162609),(59 4166762.3),(60 4188832),(61 4199130),(62 4219528.5),(63 4236003),(64 4262110.5),(65 4296965.5),(66 4323687.5),(67 4359914),(68 4404131.5),(69 4456055.5),(70 4510478),(71 4568759.5),(72 4625386),(73 4687331.5),(74 4757034),(75 4829904.5),(76 4895090.5),(77 4968922),(78 5035018),(79 5110796.5),
(1 8935.331),(2 31289.223),(3 66089.8),(4 114048.8),(5 175107.67),(6 250247.17),(7 334109.06),(8 429902.75),(9 534976.4),(10 651139.7),(11 773372.4),(12 910797.8),(13 1053015.3),(14 1207811.3),(15 1364417.5),(16 1535141.4),(17 1706950.8),(18 1885582),(19 2057022),(20 2242369.5),(21 2416224.8),(22 2596031.3),(23 2761895.3),(24 2926388),(25 3085364.5),(26 3247055.5),(27 3395122),(28 3545266),(29 3684318.8),(30 3810675.3),(31 3925769.3),(32 4035694),(33 4131894.5),(34 4222111),(35 4286977.5),(36 4350360),(37 4408290.5),(38 4448707),(39 4467136),(40 4491981),(41 4494141),(42 4493158.5),(43 4483005.5),(44 4471274),(45 4446766.5),(46 4426849),(47 4399530.5),(48 4371456),(49 4328550),(50 4289841),(51 4252347),(52 4219445.5),(53 4188911.3),(54 4156754.5),(55 4127667.5),(56 4102985.5),(57 4076732.8),(58 4057062),(59 4038318),(60 4031428.8),(61 4023306),(62 4015866.5),(63 4014133.3),(64 4015054.8),(65 4020226.5),(66 4023544.8),(67 4036269.3),(68 4048190.5),(69 4070642.8),(70 4089493.5),(71 4104919.3),(72 4122587.3),(73 4134304.8),(74 4146292.8),(75 4159115.5),(76 4164097.3),(77 4165026.8),(78 4165074.5),(79 4171822.5),
(1 8548.583),(2 29003.21),(3 62500.523),(4 106573.734),(5 162696.97),(6 228508.23),(7 304624.3),(8 390709.56),(9 483852.7),(10 586504.6),(11 696390.25),(12 814449.44),(13 940510.9),(14 1076225.1),(15 1213140.5),(16 1355576.3),(17 1500784.1),(18 1640639.8),(19 1779156.9),(20 1918572.5),(21 2054943.3),(22 2193456.3),(23 2322629.8),(24 2447466.5),(25 2565206.8),(26 2683902.8),(27 2790999),(28 2894184.5),(29 2986184.5),(30 3069635),(31 3139184),(32 3214397),(33 3268913),(34 3320559),(35 3352138.8),(36 3393414.3),(37 3429288.3),(38 3452292),(39 3463225.8),(40 3475358.8),(41 3479435.5),(42 3483436),(43 3480484),(44 3473195.8),(45 3463831),(46 3463618.5),(47 3453735.5),(48 3447019.8),(49 3434082.5),(50 3428503),(51 3419373.5),(52 3419780.3),(53 3413104),(54 3412851),(55 3408126.5),(56 3407373.3),(57 3402322.5),(58 3403689.5),(59 3404836.5),(60 3407589.3),(61 3414343.5),(62 3422265),(63 3427628),(64 3430501.3),(65 3433262.8),(66 3437175.5),(67 3436309.5),(68 3436384),(69 3437456.3),(70 3436448.5),(71 3433102.5),(72 3426787.8),(73 3431462.8),(74 3432322.5),(75 3432939.5),(76 3437467.8),(77 3442231),(78 3447669.3),(79 3457873.3),
(1 8491.812),(2 29255.059),(3 61460.2),(4 104008.04),(5 158207.95),(6 221975.25),(7 293486.5),(8 374357.28),(9 461482.03),(10 554941.1),(11 654046.8),(12 758564.8),(13 867478.6),(14 981418.56),(15 1095711.3),(16 1209717.4),(17 1327147.5),(18 1442640.9),(19 1555571.3),(20 1664180.6),(21 1770570.8),(22 1874895.6),(23 1972836.5),(24 2065164.5),(25 2159313.8),(26 2248471.5),(27 2332634.5),(28 2402719.3),(29 2471802.8),(30 2533873),(31 2590540.3),(32 2639744.3),(33 2689696.8),(34 2734357.8),(35 2771032),(36 2807391),(37 2844009),(38 2877693.8),(39 2902105.8),(40 2925949.3),(41 2950233.8),(42 2973861),(43 2996925),(44 3021754.8),(45 3049632.8),(46 3075375.3),(47 3103379.8),(48 3134090.3),(49 3165928.3),(50 3199802.3),(51 3235284.3),(52 3278245.8),(53 3318898.3),(54 3359227.8),(55 3401808.5),(56 3441703.5),(57 3481187.8),(58 3519271.3),(59 3558600.8),(60 3593757),(61 3630238.5),(62 3663795.3),(63 3704143.3),(64 3735505.5),(65 3764543),(66 3791716.8),(67 3819764),(68 3847703.5),(69 3878647),(70 3904032),(71 3929539.3),(72 3957090.8),(73 3982425),(74 4006549.5),(75 4036034.5),(76 4066082.8),(77 4089516.5),(78 4116971),(79 4143618.3),
(1 9249.086),(2 32659.72),(3 69167.164),(4 117417.97),(5 178431.14),(6 250327.7),(7 329078.72),(8 416230.97),(9 509431.66),(10 607726.25),(11 707682.7),(12 812887.2),(13 917024.7),(14 1024043.5),(15 1128180.8),(16 1230490.5),(17 1332496.8),(18 1429205.9),(19 1521098.9),(20 1610112.8),(21 1690384.3),(22 1769372.8),(23 1840324.8),(24 1906720),(25 1962863.6),(26 2016025.9),(27 2059506.1),(28 2097902.8),(29 2136969.8),(30 2168541.3),(31 2192158),(32 2209714),(33 2224903.5),(34 2239198),(35 2248173.8),(36 2256710.8),(37 2263575.8),(38 2265674.3),(39 2267614),(40 2267951.5),(41 2268656.5),(42 2271921.5),(43 2267110),(44 2266048),(45 2267001.8),(46 2272142),(47 2278677.8),(48 2285641.5),(49 2293790.8),(50 2301951),(51 2310458),(52 2320794.8),(53 2334116),(54 2348321.5),(55 2358642),(56 2370498.3),(57 2376015.8),(58 2385938.5),(59 2396731.3),(60 2407980.8),(61 2418018),(62 2425262.5),(63 2437708.8),(64 2450266),(65 2462222.3),(66 2473926.5),(67 2481834),(68 2486909.3),(69 2487149.3),(70 2488443.5),(71 2486582.3),(72 2486295.8),(73 2483984.8),(74 2479105),(75 2473574),(76 2469148),(77 2461924.3),(78 2453714),(79 2444805.5),
(1 9082.45),(2 32106.428),(3 68264.586),(4 116280.555),(5 177358.44),(6 249349.78),(7 329495.63),(8 415982.44),(9 509299.63),(10 607151.9),(11 704259.3),(12 803243.06),(13 900828.1),(14 997464.25),(15 1089754.9),(16 1179383.4),(17 1266053.6),(18 1344087.9),(19 1411937.9),(20 1476781.6),(21 1529950),(22 1579821.8),(23 1622147.4),(24 1660134.4),(25 1692563.8),(26 1718462.3),(27 1735561.5),(28 1748536),(29 1760758.1),(30 1768767),(31 1771577.8),(32 1776707.5),(33 1782066.5),(34 1785115.1),(35 1790794.4),(36 1801557.5),(37 1816736.5),(38 1831968.6),(39 1851392.8),(40 1876408.5),(41 1903088.9),(42 1935379.4),(43 1964933.8),(44 2001106.3),(45 2037835.1),(46 2076143.5),(47 2111720.8),(48 2149211),(49 2183573.8),(50 2216320.3),(51 2247200.8),(52 2277720),(53 2306126.8),(54 2328974.3),(55 2347105.3),(56 2365428.8),(57 2372881.5),(58 2380154.3),(59 2383885.3),(60 2381896.5),(61 2378841),(62 2370384.5),(63 2364587.5),(64 2357934.3),(65 2345326.3),(66 2334917.3),(67 2324584.5),(68 2313339),(69 2304620),(70 2297617.5),(71 2289237.3),(72 2285650),(73 2284192.5),(74 2282866),(75 2286461.8),(76 2293703),(77 2304126.5),(78 2314166.8),(79 2327978.5),
(1 9092.787),(2 32050.717),(3 66750.31),(4 111924.71),(5 170186.25),(6 238273.4),(7 312470.75),(8 392835.38),(9 476016.47),(10 563641.5),(11 649593.4),(12 733497.3),(13 818458.1),(14 903261.75),(15 981194.8),(16 1057607.5),(17 1127385.4),(18 1188022.1),(19 1240022.9),(20 1290897.5),(21 1331371.3),(22 1370104.3),(23 1402090.1),(24 1433437.4),(25 1460345.3),(26 1484827),(27 1505796.1),(28 1527609.1),(29 1548865),(30 1567058.5),(31 1589369),(32 1611809.9),(33 1634131.8),(34 1655595.6),(35 1676152.5),(36 1694291.4),(37 1714721.5),(38 1733927.9),(39 1753696.3),(40 1771604.8),(41 1786069.9),(42 1800029.6),(43 1812266.4),(44 1823574.3),(45 1830960.4),(46 1837276.6),(47 1843240.9),(48 1848040.3),(49 1845614.6),(50 1845137),(51 1845552.1),(52 1840416.4),(53 1833812),(54 1828166.3),(55 1818235.8),(56 1810552.5),(57 1800603.5),(58 1790168.5),(59 1782673.9),(60 1772449.8),(61 1766385.4),(62 1763948.8),(63 1764945),(64 1765502.4),(65 1763487.4),(66 1766965.6),(67 1772767.3),(68 1773553.5),(69 1775908.5),(70 1780820.5),(71 1785207.9),(72 1788258.4),(73 1795596.3),(74 1804487.4),(75 1811576.5),(76 1823054.5),(77 1836361.3),(78 1850709.6),(79 1862654.9),
