q, (a, b, c)
1.5, (-38983936095.450714, 858319.6023698922, 38983545204.20904)
2.5, (-58456595919.50474, 937358.7645342887, 58456061961.17383)
3.5, (-2293614550.6074944, 38867.167712679395, 2293188980.8280687)
4.5, (-69947523835.81334, 854184.0138100432, 69946838928.51512)
5.5, (-64898015.95478144, 1469.2595104777859, 64707685.26569267)
6.5, (-3210796.7613872625, 33.73834727275021, 2785459.7901059133)
7.5, (-4069738.122205102, 33.423183393256686, 3617832.0919800447)
8.5, (-3558905.403592145, 16.872393758187474, 2785972.7543384056)
9.5, (-2280090.596530916, 14.552980067576316, 1730217.0313532862)
10.5, (-1590929.8699691112, 14.64356077300741, 1260593.2080048807)
11.5, (-2266739.057970659, 16.075122428988657, 1830638.3751739182)
12.5, (-1331895.799596819, 20.469451528963308, 1148395.0833153073)
13.5, (-801838.5478551458, 10.908583369555156, 646512.3710803081)
14.5, (-927588.4493186924, 8.128408741994376, 668302.1700694895)
15.5, (-1124012.7520606339, 7.374334583085352, 775895.8638886842)
16.5, (-926580.4172172181, 6.439547542605674, 633111.3997177635)
17.5, (-724774.4996452047, 6.179617396899908, 496005.7336026756)
18.5, (-724069.7087821106, 6.914989638204299, 503179.1744036521)
19.5, (-803070.0463739716, 5.737807296858955, 531057.4168738315)
20.5, (-757574.8270390291, 5.566808689462854, 507673.7229912114)
21.5, (-572345.2142558454, 6.795037582691446, 411589.17237308377)
22.5, (-585200.3495168348, 6.130038360586155, 413655.562052299)
23.5, (-653342.0437317028, 5.737959519438506, 442331.9604376071)
24.5, (-526517.3931686893, 4.7276543121580765, 347184.82255618623)
25.5, (-407797.3198032527, 4.403669588560106, 269547.82678077416)
26.5, (-299793.672025059, 4.405279183522823, 204568.98481472873)
27.5, (-393680.06305144087, 4.730168057935467, 269100.4868987745)
28.5, (-450587.76960176934, 4.484836562711967, 299636.75076173624)
29.5, (-308875.107577585, 4.21213031009111, 203093.38749409403)
30.5, (-269347.8676456335, 3.8551577818979426, 174646.65843368912)
31.5, (-350651.3970480067, 3.64073535127355, 219238.8173287987)
32.5, (-397181.6183237113, 3.9878104103047276, 254224.30384219447)
33.5, (-251189.70790684948, 4.111886804989025, 167352.24291303905)
34.5, (-221430.5167665982, 3.585789491850928, 143621.66665920804)
35.5, (-298639.1515372787, 3.9119109870797555, 196247.9602715847)
36.5, (-208531.1675269758, 4.152267848831911, 140242.3804461854)
37.5, (-150329.2835709804, 3.4200848037670664, 99391.66754150341)
38.5, (-133527.15445440818, 2.8962613230936576, 83529.42139041114)
39.5, (-116455.75303555006, 3.2647413656645816, 77617.53032240333)
40.5, (-104929.86863155728, 3.2969454464263985, 71393.95520630495)
41.5, (-114436.83625332557, 2.8387392124470647, 72516.05983646115)
42.5, (-112017.0074495803, 2.6909395901604736, 69462.83847045305)
43.5, (-87766.73737314656, 2.492325725080007, 55274.88838154522)
44.5, (-82984.95881543233, 2.452845917092638, 51935.45254924936)
45.5, (-97229.20170670658, 2.775622292197579, 62404.68884659492)
46.5, (-75909.53059284593, 3.2003237219296006, 52469.99529775996)
47.5, (-71179.09241381382, 2.5456598074409116, 45281.50324558206)
48.5, (-76258.89216488293, 2.0668819061374255, 44700.05202841906)
49.5, (-59487.42874832201, 2.518624796620676, 38977.4040255064)
50.5, (-65547.31440854071, 2.189530726516471, 39755.89104779939)
51.5, (-68917.61345509058, 2.048977079715867, 40425.41377922112)
52.5, (-55611.10512161898, 2.319479461524089, 34710.76529751362)
53.5, (-51576.24979893438, 2.0530405528102382, 31429.17348462086)
54.5, (-49527.86744983444, 2.1054724996084664, 30521.390020692732)
55.5, (-39220.624145904716, 2.454001734159195, 26322.914295494604)
56.5, (-35377.603106508184, 2.6891913230831097, 25720.087464842236)
57.5, (-37619.26749601131, 2.189000467193283, 24507.806542291575)
58.5, (-37446.42983871833, 2.0782789307246023, 23936.969829199657)
59.5, (-39007.9632978672, 1.7596748666730517, 23090.496268023737)
60.5, (-41931.670037022384, 1.502878571250054, 22718.321835497496)
61.5, (-40589.61676010303, 1.5638072567905301, 22407.884404143926)
62.5, (-37285.01041008485, 1.5793056426259715, 20908.240387555932)
63.5, (-38987.75844514454, 1.5577782886604343, 21716.67090781961)
64.5, (-35417.07907525526, 1.638781314822956, 20730.01822304139)
65.5, (-32960.49894841719, 1.6596655435452865, 19574.62232392964)
66.5, (-38085.27914886927, 1.4327446064771885, 20445.764380146447)
67.5, (-35049.27586972728, 1.527029533136827, 19612.359434920476)
68.5, (-28931.079987804012, 1.8307857764247355, 18087.543750854125)
69.5, (-29983.09835585984, 1.5515761294661174, 17273.763049922924)
70.5, (-30591.314973186854, 1.433230161723285, 16884.002542235925)
71.5, (-32905.93539354303, 1.4437292156672459, 18036.522145148112)
72.5, (-27510.463856037048, 1.5208298691807771, 15742.453936264488)
73.5, (-24303.46475627411, 1.5034323827131426, 14125.57657194133)
74.5, (-22372.69140894228, 1.5739010855756106, 13443.212052011173)
75.5, (-23061.02035091559, 1.520006143388423, 13357.114950236435)
76.5, (-21345.119224630296, 1.489154946961099, 12437.78535642384)
77.5, (-16686.82767052871, 1.6797356929048308, 10877.856177603497)
78.5, (-16159.491579307773, 1.795826417602635, 10904.695615609411)
79.5, (-15811.323031762806, 1.7470453762542886, 10262.89378555161)
80.5, (-14880.756917672015, 1.628377165464459, 9405.030682707906)
81.5, (-12124.467770036817, 1.9592340178386003, 8774.044338755744)
82.5, (-12469.27201601529, 1.6853603000414215, 8215.853963676916)
