1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1588817.4),(2 1638004.4),(3 268523.22),(4 1809106.1),(5 1990846),(6 703732.06),(7 2312233),(8 2618128.3),(9 1319745.6),(10 2925089.3),(11 3343923.3),(12 2101620),(13 3884117.3),(14 4196398),(15 2917839),(16 4440980.5),(17 5079494.5),(18 4205159),(19 5716284.5),(20 6552842.5),(21 6057601.5),(22 7638764),(23 8706903),(24 8439324),(25 9846573),(26 10955231),(27 10677324),(28 12057476),(29 13289268),(30 13059843),(31 14526101),(32 15906059),(33 15655747),(34 17287738),(35 19050498),(36 19314050),(37 20980526),(38 22741056),(39 22843802),(40 24077530),(41 25557930),(42 25291742),(43 25994560),(44 27125194),(45 26396336),(46 26889344),(47 28077850),(48 27454538),(49 28041822),(50 29624192),(51 29548982),(52 30076554),(53 31799352),(54 32009216),(55 32675328),(56 34325100),(57 34451904),(58 34593892),(59 36263932),(60 36338276),(61 36599028),(62 38374430),(63 38517990),(64 38877510),(65 40765932),(66 41199236),(67 41591172),(68 43605716),(69 43849520),(70 43766690),(71 45163490),(72 44665556),(73 43645188),(74 44653588),(75 43889390),(76 43043070),(77 44068580),(78 43346720),(79 42757870),
(1 789457.9),(2 891980.8),(3 374329.28),(4 1269240.6),(5 1548120.4),(6 1168222.8),(7 2176723.8),(8 2621823.3),(9 2252163.3),(10 3281182.5),(11 3727542.5),(12 3337090.5),(13 4470413.5),(14 4997116.5),(15 4769686.5),(16 5934512),(17 6911062.5),(18 7125933),(19 8428781),(20 9623878),(21 10028134),(22 11426675),(23 12840617),(24 13364600),(25 14732950),(26 16240182),(27 16901820),(28 18405172),(29 20117524),(30 20860678),(31 22469820),(32 24304732),(33 25266700),(34 27137396),(35 29316038),(36 30569946),(37 32446060),(38 34521276),(39 35665256),(40 37253770),(41 39119150),(42 40046344),(43 41441570),(44 43066216),(45 43945664),(46 45373290),(47 47200990),(48 48141570),(49 49529630),(50 51489896),(51 52520180),(52 53621836),(53 55383732),(54 56197900),(55 56955372),(56 58106410),(57 58423468),(58 58645708),(59 59673536),(60 59775052),(61 59951510),(62 60720652),(63 60709044),(64 60679680),(65 61318388),(66 61164556),(67 60875990),(68 61232332),(69 60655870),(70 59853684),(71 59661976),(72 58501270),(73 57003828),(74 56466630),(75 55076696),(76 53797748),(77 53423610),(78 52323124),(79 51355690),
(1 207735.92),(2 344069.97),(3 389747.84),(4 760571.7),(5 1036086.2),(6 1166780.9),(7 1579822.5),(8 1926699),(9 2049772.9),(10 2455676),(11 2742569.3),(12 2814831.3),(13 3162431.3),(14 3441674),(15 3594372),(16 4038082),(17 4470924),(18 4795962.5),(19 5329369.5),(20 5902613.5),(21 6348516),(22 6925604),(23 7577061.5),(24 8133300),(25 8813541),(26 9594231),(27 10374763),(28 11280180),(29 12304772),(30 13226412),(31 14217848),(32 15290053),(33 16330611),(34 17451406),(35 18637078),(36 19786624),(37 20997886),(38 22276702),(39 23462344),(40 24747138),(41 25920510),(42 27181752),(43 28452806),(44 29681248),(45 31020402),(46 32309090),(47 33564756),(48 34810064),(49 35993356),(50 37158876),(51 38366656),(52 39489108),(53 40677908),(54 41877964),(55 42832140),(56 43878500),(57 44892450),(58 45826130),(59 46921172),(60 47851044),(61 48869180),(62 49881660),(63 50815216),(64 51802820),(65 52827148),(66 53729900),(67 54565524),(68 55371516),(69 56063404),(70 56605630),(71 57134892),(72 57530240),(73 57687580),(74 58081390),(75 58281550),(76 58473772),(77 58783228),(78 59116110),(79 59460576),
(1 137600.2),(2 298704.78),(3 469045.5),(4 855213.06),(5 1233952.6),(6 1584068),(7 2127621),(8 2636965),(9 3097933),(10 3702034.3),(11 4278829.5),(12 4774403),(13 5390090),(14 6010173),(15 6578106.5),(16 7350642.5),(17 8130446),(18 8858834),(19 9765310),(20 10653910),(21 11473986),(22 12417062),(23 13414582),(24 14327620),(25 15373266),(26 16451346),(27 17500636),(28 18679036),(29 19903004),(30 21084392),(31 22451740),(32 23815100),(33 25196328),(34 26640178),(35 28030518),(36 29379022),(37 30738076),(38 32064534),(39 33272618),(40 34503596),(41 35761010),(42 36894730),(43 38166000),(44 39416720),(45 40675050),(46 41953480),(47 43166132),(48 44294650),(49 45515080),(50 46728770),(51 47835390),(52 48886840),(53 49951668),(54 50845560),(55 51759936),(56 52652764),(57 53348950),(58 53980400),(59 54667344),(60 55189716),(61 55685520),(62 56227284),(63 56549190),(64 56847920),(65 57220268),(66 57200404),(67 57138140),(68 57212972),(69 57018130),(70 56729428),(71 56556028),(72 56171090),(73 55697590),(74 55273984),(75 54762990),(76 54097772),(77 53641360),(78 53065680),(79 52547540),
(1 101564.32),(2 299561.53),(3 570677),(4 984870.94),(5 1445101.9),(6 1945815.3),(7 2568441.5),(8 3247621.8),(9 3940966.5),(10 4776311.5),(11 5617043.5),(12 6444206.5),(13 7375547.5),(14 8276080),(15 9165900),(16 10166074),(17 11252095),(18 12354634),(19 13571308),(20 14849437),(21 16140297),(22 17482120),(23 18860714),(24 20250132),(25 21689102),(26 23119968),(27 24613106),(28 26138712),(29 27655046),(30 29116440),(31 30676852),(32 32201920),(33 33708696),(34 35239076),(35 36697812),(36 38110916),(37 39517940),(38 40888100),(39 42088836),(40 43338144),(41 44551656),(42 45533264),(43 46698556),(44 47770084),(45 48704430),(46 49705520),(47 50651600),(48 51477336),(49 52448490),(50 53443916),(51 54255870),(52 55198372),(53 56190930),(54 57010212),(55 57973788),(56 58920548),(57 59576150),(58 60347324),(59 61103692),(60 61589508),(61 62158936),(62 62545220),(63 62691876),(64 62895524),(65 63038540),(66 62869876),(67 62707150),(68 62536052),(69 62226780),(70 61933230),(71 61548930),(72 61004452),(73 60421010),(74 59707824),(75 58960060),(76 58239510),(77 57518896),(78 56850904),(79 56397104),
(1 126720.914),(2 413022.66),(3 848379.2),(4 1460724.8),(5 2182278.8),(6 2991605.5),(7 3946606.5),(8 5014301.5),(9 6166358.5),(10 7449292),(11 8816167),(12 10234595),(13 11809363),(14 13349077),(15 14897376),(16 16645819),(17 18448292),(18 20270956),(19 22270636),(20 24279974),(21 26246942),(22 28212340),(23 30141652),(24 31952326),(25 33762900),(26 35544190),(27 37153544),(28 38803590),(29 40300296),(30 41521064),(31 42789388),(32 43877950),(33 44733560),(34 45570330),(35 46313944),(36 46838196),(37 47313384),(38 47659908),(39 47899860),(40 48128310),(41 48252476),(42 48355724),(43 48403650),(44 48487140),(45 48540596),(46 48658410),(47 48755980),(48 48797984),(49 48904056),(50 49053530),(51 49211544),(52 49418690),(53 49681304),(54 49908180),(55 50151510),(56 50401496),(57 50592936),(58 50857900),(59 51204056),(60 51512036),(61 51813336),(62 51969710),(63 51970440),(64 51986348),(65 51913000),(66 51739756),(67 51454850),(68 51149280),(69 50877560),(70 50525684),(71 50125536),(72 49709436),(73 49238810),(74 48827736),(75 48361656),(76 47952000),(77 47740010),(78 47458320),(79 47328890),
(1 154831.31),(2 535584.4),(3 1122345.3),(4 1910151.8),(5 2856432),(6 3913702.8),(7 5111093),(8 6410470),(9 7794990),(10 9312444),(11 10942256),(12 12673419),(13 14573708),(14 16463532),(15 18363500),(16 20395106),(17 22547678),(18 24731938),(19 27048256),(20 29384780),(21 31733780),(22 34099496),(23 36333700),(24 38429180),(25 40476936),(26 42243250),(27 43874404),(28 45421716),(29 46709296),(30 47776876),(31 48786664),(32 49601364),(33 50290404),(34 50808950),(35 51182820),(36 51456824),(37 51578196),(38 51578576),(39 51576892),(40 51433304),(41 51139668),(42 50819640),(43 50487836),(44 50158410),(45 49775040),(46 49347390),(47 48979536),(48 48565080),(49 48240850),(50 47959096),(51 47638090),(52 47410930),(53 47268984),(54 47022788),(55 46766520),(56 46644224),(57 46413372),(58 46208304),(59 46125210),(60 45940544),(61 45670020),(62 45396070),(63 45033644),(64 44652612),(65 44390150),(66 44061670),(67 43715136),(68 43420464),(69 43153796),(70 42844776),(71 42535444),(72 42191148),(73 41741924),(74 41317908),(75 40828664),(76 40456132),(77 40232264),(78 39920900),(79 39688804),
(1 125426.984),(2 436941.84),(3 920065.75),(4 1572179.8),(5 2355713.8),(6 3245901.8),(7 4240855),(8 5308763.5),(9 6456040),(10 7735580.5),(11 9073031),(12 10453937),(13 11890651),(14 13307285),(15 14771505),(16 16330193),(17 17906362),(18 19500088),(19 21212680),(20 22925898),(21 24684068),(22 26359800),(23 27906534),(24 29446276),(25 30914238),(26 32192700),(27 33466936),(28 34568496),(29 35490050),(30 36288370),(31 37069244),(32 37680204),(33 38162348),(34 38483572),(35 38679320),(36 38768172),(37 38648788),(38 38404530),(39 38169480),(40 37700396),(41 37153190),(42 36548388),(43 35851732),(44 35094596),(45 34301810),(46 33516818),(47 32804238),(48 32091460),(49 31547354),(50 31063210),(51 30584338),(52 30145908),(53 29809236),(54 29431512),(55 29152214),(56 29007274),(57 28835704),(58 28796186),(59 28879354),(60 28942900),(61 29118654),(62 29338168),(63 29540668),(64 29810820),(65 30123818),(66 30352728),(67 30725218),(68 31077378),(69 31396104),(70 31750634),(71 32049978),(72 32266834),(73 32539928),(74 32743820),(75 32867900),(76 33018338),(77 33161124),(78 33175026),(79 33248076),
(1 90550.195),(2 296879.6),(3 608482.4),(4 1024167.44),(5 1513394.4),(6 2054613.1),(7 2644788.8),(8 3275050.3),(9 3944733.8),(10 4686730.5),(11 5484159),(12 6284291),(13 7162666.5),(14 8038481),(15 8954317),(16 9949596),(17 10903942),(18 11820203),(19 12779134),(20 13651018),(21 14428018),(22 15134960),(23 15813321),(24 16460448),(25 17152256),(26 17840880),(27 18543114),(28 19277294),(29 20020826),(30 20707030),(31 21413522),(32 22083882),(33 22614502),(34 23099870),(35 23498230),(36 23748224),(37 23944662),(38 24075384),(39 24172460),(40 24253120),(41 24241332),(42 24171070),(43 24112738),(44 24061950),(45 24028720),(46 24066638),(47 24118790),(48 24149578),(49 24220470),(50 24281256),(51 24332314),(52 24409318),(53 24446516),(54 24463894),(55 24477704),(56 24502304),(57 24556448),(58 24615838),(59 24627664),(60 24615952),(61 24602640),(62 24495698),(63 24353996),(64 24200562),(65 23997680),(66 23750732),(67 23573312),(68 23372112),(69 23116848),(70 22879748),(71 22607526),(72 22273562),(73 21892626),(74 21467624),(75 20942670),(76 20425688),(77 19969518),(78 19487318),(79 19057574),
(1 114033.45),(2 394947.72),(3 834550.56),(4 1431921.3),(5 2142432.3),(6 2977686.8),(7 3908663.5),(8 4893346.5),(9 5943241.5),(10 7045772),(11 8161951),(12 9259938),(13 10322523),(14 11360439),(15 12335815),(16 13238510),(17 14062013),(18 14791319),(19 15482347),(20 16043648),(21 16445262),(22 16757774),(23 16997026),(24 17182792),(25 17365266),(26 17534680),(27 17686026),(28 17889264),(29 18060416),(30 18192328),(31 18425510),(32 18681000),(33 18885154),(34 19160992),(35 19439716),(36 19618428),(37 19792924),(38 19947012),(39 20079080),(40 20143164),(41 20183844),(42 20210628),(43 20172486),(44 20108106),(45 20008026),(46 19927894),(47 19828224),(48 19691278),(49 19580450),(50 19463834),(51 19373108),(52 19302624),(53 19254958),(54 19222172),(55 19245642),(56 19262292),(57 19314426),(58 19394686),(59 19475556),(60 19590006),(61 19694294),(62 19769248),(63 19758596),(64 19803256),(65 19841676),(66 19757162),(67 19725066),(68 19649768),(69 19539190),(70 19402542),(71 19216252),(72 18955992),(73 18699766),(74 18383944),(75 18033798),(76 17727122),(77 17450326),(78 17177948),(79 16989508),
(1 86090.6),(2 303224.2),(3 640260.75),(4 1086055.3),(5 1641225.9),(6 2299149.5),(7 3037639.5),(8 3844231),(9 4707121),(10 5607044),(11 6550008.5),(12 7512793.5),(13 8475652),(14 9438835),(15 10391464),(16 11303519),(17 12146076),(18 12929777),(19 13728813),(20 14398249),(21 14953077),(22 15469789),(23 15964117),(24 16420433),(25 16871108),(26 17236960),(27 17519578),(28 17742868),(29 17851802),(30 17869120),(31 17887588),(32 17806658),(33 17664094),(34 17490678),(35 17257136),(36 16940416),(37 16588947),(38 16212141),(39 15791718),(40 15374613),(41 14955938),(42 14569361),(43 14278497),(44 13990602),(45 13744064),(46 13568406),(47 13425534),(48 13358826),(49 13405862),(50 13472114),(51 13574937),(52 13677930),(53 13830537),(54 13987758),(55 14194032),(56 14373627),(57 14529916),(58 14664378),(59 14728300),(60 14717196),(61 14657115),(62 14488734),(63 14254186),(64 13944872),(65 13631845),(66 13266357),(67 12899119),(68 12592055),(69 12308030),(70 12015613),(71 11777728),(72 11610880),(73 11477246),(74 11424350),(75 11367944),(76 11373656),(77 11369858),(78 11345308),(79 11355691),
