1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 10060.332),(2 30848.36),(3 62324.348),(4 100326.914),(5 143836.58),(6 190062.06),(7 241217.89),(8 301390.72),(9 363645.5),(10 429560.66),(11 500251),(12 574577.94),(13 649843.8),(14 734839.2),(15 822288.7),(16 920478.8),(17 1006084.3),(18 1098841.6),(19 1189040),(20 1271005),(21 1351868.3),(22 1440712.6),(23 1525076.4),(24 1610991),(25 1700473.4),(26 1787742.4),(27 1889449.1),(28 2004663.9),(29 2133136.8),(30 2272671.8),(31 2415937.5),(32 2569367),(33 2703467),(34 2824967.3),(35 2957179.8),(36 3096555.3),(37 3249725.3),(38 3429198),(39 3632836.8),(40 3850584.8),(41 4079146.8),(42 4336197.5),(43 4629084),(44 4940849.5),(45 5238259),(46 5536134.5),(47 5848103.5),(48 6154858.5),(49 6459017.5),(50 6695212),(51 6938994.5),(52 7180416),(53 7425802.5),(54 7660338.5),(55 7917879.5),(56 8159214.5),(57 8384870.5),(58 8580344),(59 8768564),(60 8911959),(61 9050597),(62 9155174),(63 9259424),(64 9356939),(65 9449040),(66 9504867),(67 9595797),(68 9664332),(69 9773021),(70 9887889),(71 10063547),(72 10246297),(73 10471557),(74 10622868),(75 10774812),(76 10899764),(77 11036444),(78 11193745),(79 11372536),
(1 15150.401),(2 56690.15),(3 119019.7),(4 202199.3),(5 302532.06),(6 421161.16),(7 558405.7),(8 720793),(9 895135.6),(10 1091352.5),(11 1296372.6),(12 1517135.8),(13 1753297),(14 2011347.3),(15 2272425.5),(16 2557566.5),(17 2847343.5),(18 3144622.5),(19 3454672.8),(20 3770171.5),(21 4094142.5),(22 4429456),(23 4787039),(24 5172391.5),(25 5571565.5),(26 5958883),(27 6344566),(28 6744512),(29 7166441.5),(30 7584286.5),(31 8005659),(32 8441024),(33 8848136),(34 9250918),(35 9634481),(36 10015859),(37 10390958),(38 10783194),(39 11179010),(40 11566963),(41 11975186),(42 12387030),(43 12784350),(44 13149050),(45 13500811),(46 13853046),(47 14204640),(48 14565210),(49 14881163),(50 15139018),(51 15384938),(52 15597136),(53 15789645),(54 15934960),(55 16092598),(56 16217846),(57 16334206),(58 16447926),(59 16517331),(60 16550762),(61 16582434),(62 16576874),(63 16562232),(64 16551058),(65 16570694),(66 16582262),(67 16588800),(68 16584488),(69 16580326),(70 16575686),(71 16613562),(72 16690643),(73 16815472),(74 16908172),(75 17037124),(76 17158640),(77 17282870),(78 17440012),(79 17580684),
(1 13930.616),(2 51931.5),(3 111525.22),(4 191219.17),(5 287596.5),(6 397064.34),(7 514836.66),(8 643859.56),(9 784648.8),(10 941675.3),(11 1112802.4),(12 1295280.9),(13 1494005),(14 1707800.4),(15 1940007.9),(16 2188234.3),(17 2455878.3),(18 2746048.8),(19 3061869.3),(20 3381989.3),(21 3714438.3),(22 4043370),(23 4380818.5),(24 4722957.5),(25 5072105.5),(26 5397872.5),(27 5730410.5),(28 6065384.5),(29 6384465.5),(30 6680418),(31 6985678),(32 7296814.5),(33 7582505.5),(34 7858338),(35 8121657.5),(36 8364848.5),(37 8612307),(38 8837441),(39 9063113),(40 9278512),(41 9487539),(42 9695497),(43 9925298),(44 10157459),(45 10399027),(46 10637501),(47 10903219),(48 11172581),(49 11441855),(50 11692813),(51 11981919),(52 12261139),(53 12545285),(54 12799085),(55 13059253),(56 13311207),(57 13561743),(58 13784691),(59 14017539),(60 14213633),(61 14426153),(62 14598749),(63 14748173),(64 14870397),(65 14987788),(66 15095325),(67 15199861),(68 15289384),(69 15387823),(70 15468309),(71 15558877),(72 15620941),(73 15704291),(74 15758881),(75 15820823),(76 15874595),(77 15935604),(78 15966259),(79 16007869),
(1 11967.722),(2 43124.297),(3 89847.586),(4 148170.33),(5 220161.36),(6 302315),(7 396399.16),(8 507208.63),(9 630859.4),(10 767131.56),(11 920347.44),(12 1090341),(13 1275937.3),(14 1476519.1),(15 1694727),(16 1925535.8),(17 2165431),(18 2415514.8),(19 2682753),(20 2954775),(21 3230224),(22 3504257.8),(23 3788257.3),(24 4072124.5),(25 4362197.5),(26 4643396),(27 4940839.5),(28 5238379.5),(29 5536032.5),(30 5837474.5),(31 6166164.5),(32 6508202.5),(33 6831648.5),(34 7139823.5),(35 7443743.5),(36 7732183),(37 8039904),(38 8349057),(39 8671540),(40 8993445),(41 9320854),(42 9650706),(43 10015412),(44 10379660),(45 10747879),(46 11115500),(47 11494790),(48 11859063),(49 12228594),(50 12556624),(51 12923797),(52 13273131),(53 13632485),(54 13949199),(55 14283970),(56 14613555),(57 14945365),(58 15242028),(59 15527669),(60 15753356),(61 16003029),(62 16181371),(63 16351029),(64 16461941),(65 16560601),(66 16645458),(67 16708283),(68 16746720),(69 16784398),(70 16798986),(71 16806464),(72 16759188),(73 16711364),(74 16614884),(75 16518901),(76 16391595),(77 16273653),(78 16100516),(79 15930695),
(1 20273.742),(2 75149.63),(3 159302.27),(4 268104.03),(5 401147.6),(6 554470.44),(7 728962.25),(8 924202.2),(9 1139013.6),(10 1367428.5),(11 1617268.8),(12 1884931.6),(13 2162658.5),(14 2454273.5),(15 2755410.3),(16 3059296.3),(17 3371755),(18 3687933),(19 4015762.3),(20 4325367.5),(21 4630658),(22 4917763),(23 5198786),(24 5466918.5),(25 5731130),(26 5977736),(27 6238743.5),(28 6499133),(29 6766922),(30 7012723.5),(31 7270509),(32 7507657.5),(33 7735265.5),(34 7954693),(35 8160502),(36 8340919.5),(37 8531156),(38 8701113),(39 8857494),(40 8995995),(41 9135799),(42 9248175),(43 9371444),(44 9463847),(45 9543264),(46 9597377),(47 9636204),(48 9642868),(49 9639055),(50 9600972),(51 9560753),(52 9503873),(53 9438681),(54 9352359),(55 9263508),(56 9171953),(57 9089094),(58 8983318),(59 8870609),(60 8749062),(61 8635327),(62 8506287),(63 8396951),(64 8283574),(65 8178355),(66 8077567.5),(67 8006824),(68 7954622.5),(69 7928429),(70 7922816),(71 7930712.5),(72 7943696),(73 7984363.5),(74 8021899.5),(75 8076256),(76 8150216.5),(77 8241416.5),(78 8315219),(79 8410928),
(1 24419.352),(2 93177.65),(3 202617.34),(4 348445),(5 527347.6),(6 735886.3),(7 977941),(8 1253110.8),(9 1556788.8),(10 1885614),(11 2242778.8),(12 2632259.5),(13 3034631.3),(14 3456605.5),(15 3903133.3),(16 4367290.5),(17 4839834),(18 5326366),(19 5834037.5),(20 6338239),(21 6860518.5),(22 7381635),(23 7889927),(24 8378536),(25 8841795),(26 9264064),(27 9665490),(28 10025930),(29 10365421),(30 10660027),(31 10941783),(32 11171842),(33 11385253),(34 11557181),(35 11704942),(36 11812245),(37 11885971),(38 11899151),(39 11902885),(40 11864608),(41 11824272),(42 11732630),(43 11641547),(44 11497824),(45 11328750),(46 11128214),(47 10898344),(48 10652246),(49 10402422),(50 10150529),(51 9895354),(52 9623941),(53 9352222),(54 9054454),(55 8763330),(56 8483829),(57 8214579),(58 7959985.5),(59 7724169),(60 7498099),(61 7305917),(62 7132489),(63 6997112),(64 6870070.5),(65 6791240),(66 6729967),(67 6706260),(68 6719313),(69 6768061.5),(70 6836270.5),(71 6917563),(72 7009997),(73 7124360),(74 7241545.5),(75 7392479),(76 7554109),(77 7736740),(78 7914497),(79 8110641.5),
(1 26722.174),(2 101307.625),(3 218649.48),(4 377185.16),(5 575382),(6 812152.06),(7 1088183.8),(8 1396888),(9 1737645.1),(10 2105522.8),(11 2509281),(12 2941309),(13 3392977),(14 3855614.8),(15 4325004),(16 4789552.5),(17 5251927.5),(18 5701915.5),(19 6142399),(20 6552603.5),(21 6959527),(22 7331864),(23 7684445),(24 8012947.5),(25 8315898.5),(26 8567087),(27 8794874),(28 8979398),(29 9135451),(30 9250678),(31 9340832),(32 9388348),(33 9401772),(34 9395172),(35 9370713),(36 9326140),(37 9264119),(38 9194135),(39 9117684),(40 9023467),(41 8929481),(42 8813847),(43 8700911),(44 8585484),(45 8457961),(46 8321587.5),(47 8180179.5),(48 8032683),(49 7899804.5),(50 7775168),(51 7666412.5),(52 7567532.5),(53 7478672.5),(54 7390726),(55 7311615.5),(56 7224117),(57 7140725),(58 7058787),(59 6970906.5),(60 6888328.5),(61 6814394.5),(62 6740433),(63 6666536.5),(64 6588320.5),(65 6518303),(66 6454794.5),(67 6397491.5),(68 6343390),(69 6298347),(70 6262714.5),(71 6230566),(72 6187885),(73 6140435.5),(74 6079354),(75 6015618.5),(76 5950171.5),(77 5892917.5),(78 5826967.5),(79 5769093.5),
(1 24236.314),(2 92662.586),(3 200282.42),(4 342858.72),(5 517497.28),(6 721072.25),(7 954269.94),(8 1214780.1),(9 1495559.5),(10 1795205.4),(11 2110399.5),(12 2438187.3),(13 2780088.8),(14 3128737),(15 3463467.8),(16 3798140.8),(17 4121565.8),(18 4414379),(19 4685130),(20 4921551),(21 5134836.5),(22 5317096),(23 5472815.5),(24 5601085.5),(25 5703985),(26 5772460.5),(27 5814033.5),(28 5837341),(29 5845357.5),(30 5839513.5),(31 5813920),(32 5764141),(33 5689480),(34 5593926.5),(35 5490833.5),(36 5376722),(37 5253946),(38 5125921),(39 4990051),(40 4846389.5),(41 4705444.5),(42 4555629),(43 4401821.5),(44 4246498),(45 4098358.8),(46 3954249.3),(47 3830881.3),(48 3720566.3),(49 3628369),(50 3545839.8),(51 3478767.5),(52 3427758.3),(53 3400189),(54 3387971),(55 3395924.3),(56 3420022.3),(57 3462556.5),(58 3517207.5),(59 3583157.8),(60 3660229.8),(61 3749743),(62 3852566.5),(63 3975528.3),(64 4097993),(65 4238694),(66 4387500.5),(67 4553945.5),(68 4716391.5),(69 4876050),(70 5043738.5),(71 5206144.5),(72 5370515.5),(73 5528344),(74 5666518.5),(75 5803269),(76 5933768),(77 6050953.5),(78 6159006),(79 6263371.5),
(1 26368.84),(2 99869.78),(3 216786.61),(4 375012.22),(5 569092.6),(6 795631.5),(7 1055813.3),(8 1343374.9),(9 1648325.6),(10 1970276),(11 2310987.5),(12 2665294.3),(13 3013473.3),(14 3348977.5),(15 3674734.8),(16 3990995.8),(17 4299582),(18 4588030),(19 4860436),(20 5099617),(21 5319952.5),(22 5506992),(23 5664689.5),(24 5795989),(25 5903751),(26 5984910.5),(27 6048614.5),(28 6080502),(29 6092143),(30 6078876),(31 6050453.5),(32 5999746),(33 5936479.5),(34 5852671),(35 5770401),(36 5681584.5),(37 5594114.5),(38 5500931),(39 5402957),(40 5297778),(41 5193052),(42 5067817),(43 4943166.5),(44 4822087.5),(45 4702562),(46 4581617.5),(47 4470061),(48 4361220),(49 4264082),(50 4172185.5),(51 4094529),(52 4027292.3),(53 3984834),(54 3956516.8),(55 3939110.5),(56 3922877),(57 3911250.5),(58 3900117.3),(59 3897031),(60 3894636),(61 3904849.3),(62 3923736.8),(63 3957464.5),(64 3994784.5),(65 4036926.5),(66 4090177.5),(67 4170429.3),(68 4259070.5),(69 4359775),(70 4476698.5),(71 4593087),(72 4705154),(73 4819432.5),(74 4924115),(75 5021539),(76 5108549),(77 5187730.5),(78 5237886),(79 5275762),
(1 25262.482),(2 95180.43),(3 206430.34),(4 356578.1),(5 543454.06),(6 761878.44),(7 1009204.3),(8 1282642.6),(9 1570353.1),(10 1869372),(11 2187107.5),(12 2511416),(13 2831116),(14 3130000),(15 3426897),(16 3688819.8),(17 3914958.3),(18 4113178.8),(19 4283239.5),(20 4417838),(21 4526130.5),(22 4609314),(23 4657163),(24 4673934),(25 4679477.5),(26 4675887.5),(27 4666559),(28 4648728),(29 4632946.5),(30 4608729),(31 4588322.5),(32 4566158),(33 4540030),(34 4503874),(35 4478594.5),(36 4455983.5),(37 4431068.5),(38 4402269.5),(39 4378091),(40 4349354),(41 4314951),(42 4274210.5),(43 4241982),(44 4221953.5),(45 4207542),(46 4203093.5),(47 4210074.5),(48 4218064),(49 4231183),(50 4256031),(51 4294707.5),(52 4339055),(53 4385610),(54 4431668.5),(55 4473577),(56 4514214),(57 4549938.5),(58 4583418.5),(59 4609330.5),(60 4620300.5),(61 4627593),(62 4621914),(63 4610711),(64 4588508.5),(65 4559609),(66 4528195.5),(67 4507526),(68 4479958),(69 4449224.5),(70 4424361),(71 4405507),(72 4379242),(73 4351033),(74 4318398),(75 4288872),(76 4262977),(77 4244011.5),(78 4214430),(79 4186550.3),
(1 36692.227),(2 139477.8),(3 302095.9),(4 516840.8),(5 775495.3),(6 1067419.5),(7 1384636.5),(8 1719172.6),(9 2060984.5),(10 2403651.3),(11 2733149.8),(12 3055382),(13 3358439.8),(14 3632878.8),(15 3881462),(16 4097512.5),(17 4293260),(18 4455077),(19 4590654),(20 4706946),(21 4809071),(22 4904852.5),(23 4993092),(24 5069355),(25 5147863.5),(26 5225150),(27 5306642.5),(28 5384933.5),(29 5462084.5),(30 5520602.5),(31 5573860),(32 5607706.5),(33 5632737),(34 5633364.5),(35 5621779.5),(36 5588845),(37 5552665.5),(38 5516585.5),(39 5470000),(40 5413094.5),(41 5354634),(42 5284485.5),(43 5220026.5),(44 5151266),(45 5082162),(46 5013451),(47 4947244),(48 4876492),(49 4805607.5),(50 4735215),(51 4680492),(52 4633679.5),(53 4596424.5),(54 4571447.5),(55 4554426),(56 4545172),(57 4551861.5),(58 4567700),(59 4588527.5),(60 4617674.5),(61 4653670.5),(62 4696404.5),(63 4748810),(64 4794133.5),(65 4834716),(66 4872027.5),(67 4908806.5),(68 4939080),(69 4973374),(70 5004824),(71 5040208.5),(72 5068073.5),(73 5097074),(74 5125923),(75 5154632.5),(76 5179422),(77 5203192.5),(78 5220510.5),(79 5242644.5),
