q, (a, b, c)
1.5, (-36944693890.057816, 525061.2662943413, 36944144285.15814)
2.5, (-14083981.454755245, 76.39387114639487, 13236407.988654822)
3.5, (-215989882683.9199, 1092005.8866045983, 215988488562.05914)
4.5, (-15715211.639897585, 40.64031692844401, 13436160.761631778)
5.5, (-17701956.607043117, 54.93221008335363, 15883811.185774924)
6.5, (-9446797.263745481, 20.612171062167914, 7638875.037926702)
7.5, (-9748643.338652516, 32.41350414003149, 8612351.513118306)
8.5, (-5553622.555147663, 14.875107503026703, 4414016.359184617)
9.5, (-7329651.236801252, 11.91641789839659, 5366646.587318301)
10.5, (-6011288.873802859, 20.237482328091122, 5149925.729870004)
11.5, (-4837096.647505702, 10.95400534301486, 3613301.637952804)
12.5, (-3564978.216244166, 11.846365147133582, 2960781.6475004824)
13.5, (-3236912.5314502846, 8.410828940597014, 2415620.093824683)
14.5, (-3289082.628125576, 5.545438265251961, 2215519.8607554114)
15.5, (-3415905.81758532, 5.25891109159843, 2275590.8871345515)
16.5, (-2685306.9629628635, 6.525696838097541, 1925473.1011166342)
17.5, (-2370064.5786253763, 5.634991483887313, 1604830.7017520587)
18.5, (-1997724.014124358, 6.532041635942697, 1514857.090195695)
19.5, (-2155755.11612348, 4.776188947262051, 1479092.310958614)
20.5, (-1932817.1547397831, 4.651963862111833, 1308721.333662813)
21.5, (-1533719.6534359574, 4.62794791505204, 1063320.3170580515)
22.5, (-1370474.6906416763, 3.4420984336450444, 884162.3914497457)
23.5, (-1554772.1434994477, 3.977178736172793, 1036795.0505759328)
24.5, (-1371803.7096509284, 4.209078872445469, 932588.9314909774)
25.5, (-995145.9222076365, 4.470813431873887, 719923.8695106682)
26.5, (-784134.0790895013, 4.2599127037727325, 569769.9640999957)
27.5, (-696691.7317491338, 3.6451353532339943, 465900.0110792531)
28.5, (-740374.9341349358, 2.9268482047284117, 458019.4066746937)
29.5, (-607463.5116786088, 3.4409725759440155, 407266.71473487205)
30.5, (-585904.2342821744, 3.091303454044235, 383512.2884725917)
