q, (a, b, c)
1.5, (-316423224949.70715, 752034.8704956635, 316420039578.2791)
2.5, (-31398455.12186213, 46.99689912752583, 31417694.358658556)
3.5, (-42676025.35010001, 22.764986052088325, 34596014.03469402)
4.5, (-33346730.794026904, 49.26559881053249, 30726797.088537253)
5.5, (-151282689887.6755, 297979.8662769415, 151281249486.1874)
6.5, (-271887641.73095053, 617.771860099477, 271434887.01752704)
7.5, (-37928614.786893, 47.236646390464934, 35219117.141834825)
8.5, (-35952583.85899971, 34.38303707708171, 32509963.928605895)
9.5, (-31795213.168111883, 46.50681430106389, 30211021.451561183)
10.5, (-39855591464.037445, 170216.61497712944, 39856955668.22105)
11.5, (-14405378.346333858, 36.656464229922385, 13792621.810411148)
12.5, (-13597750.94410427, 20.4027799831033, 11846284.30898159)
13.5, (-10794231.551383082, 15.074689074154259, 8860713.768444873)
14.5, (-10757018.520963794, 17.572609651946763, 9417307.51982334)
15.5, (-8614220.872581124, 14.200347684799413, 7340096.55795268)
16.5, (-7459454.426823367, 21.947929959621533, 7107139.594292124)
17.5, (-7802273.87152883, 36.537527768569966, 8353386.456178766)
18.5, (-7611971.135933827, 31.24434695178896, 7499674.66898264)
19.5, (-6163300.128074806, 21.678944231273206, 5854782.470817763)
20.5, (-5125869.013860955, 15.56878312696223, 4786858.847575537)
21.5, (-5563945.778913765, 21.46442313653415, 5479883.597555036)
22.5, (-4280059.691607094, 24.805510364211564, 4491943.81368953)
23.5, (-4083205.1406645956, 13.230845308823461, 3495456.641369904)
24.5, (-3928200.891345635, 15.014211209212503, 3605631.3342436105)
25.5, (-3321799.1919817775, 9.983121350377782, 2844947.2687152238)
26.5, (-2897520.0833212724, 9.585863624473351, 2470657.159882327)
27.5, (-2682904.814943342, 15.42751305709406, 2613437.961068162)
28.5, (-2859719.503497292, 11.222738378093062, 2532430.8405762734)
29.5, (-2219854.9893033085, 7.493272034131117, 1873727.811026655)
30.5, (-1969551.0648669254, 10.257351198763224, 1781151.345451661)
31.5, (-1995087.2124433676, 13.82768648909473, 1911393.263748336)
32.5, (-1915076.1978918214, 9.910677320770985, 1657723.1924513427)
33.5, (-1725362.9010836112, 9.10689735108149, 1474736.0379568432)
34.5, (-1519733.622570138, 10.606104185504522, 1376535.3732411372)
35.5, (-1565961.1440320683, 8.675142429490794, 1348624.8936124686)
36.5, (-1478937.3479107227, 9.359159552769018, 1298206.659431749)
37.5, (-1262997.4632958544, 10.535651082256486, 1196046.3506969502)
38.5, (-1170454.3298152084, 13.784301522369903, 1182226.8098165817)
39.5, (-1173009.5614330356, 10.582540235532157, 1097607.005319465)
40.5, (-1176233.595505292, 9.195625044290633, 1059026.0670584955)
41.5, (-1063450.2793420719, 5.511598836155813, 845711.4422815485)
42.5, (-933121.7906014401, 6.441477978515027, 789966.9923595149)
43.5, (-864892.6978355761, 7.737310427730363, 786205.6924174343)
44.5, (-834821.0092508842, 8.59408027256112, 780655.4939999329)
45.5, (-811923.7597135513, 7.278375554918758, 711517.0138093306)
46.5, (-803071.8096032337, 7.220051210507852, 695833.7791849631)
47.5, (-755930.4560871057, 6.680816135624056, 648045.5250845322)
48.5, (-622985.193803866, 8.93705181453206, 613346.9569555204)
49.5, (-648187.1224497963, 6.957934865340266, 583538.5372000588)
50.5, (-486680.7189650157, 9.490113705851384, 504912.62498948025)
51.5, (-491039.5132141123, 8.906561394774343, 499227.00057617965)
52.5, (-525852.3965569744, 7.11118146902492, 481707.8376149459)
53.5, (-456927.016944043, 7.7820821849991395, 445440.7483247323)
54.5, (-463531.90760618885, 7.2082543386990725, 437244.7519681376)
55.5, (-422845.0819197451, 7.715240161651111, 407088.371674181)
