1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 227098.7),(2 830359.56),(3 1833329),(4 3282118.8),(5 5303667.5),(6 7969229.5),(7 11088877),(8 14410920),(9 18389240),(10 22254962),(11 26593304),(12 31062898),(13 35801700),(14 40840240),(15 45786668),(16 50671308),(17 55806868),(18 60975170),(19 66482892),(20 70862840),(21 75889736),(22 79652410),(23 83513680),(24 87766690),(25 91902570),(26 95892960),(27 99486120),(28 102644950),(29 105473144),(30 107802680),(31 109905064),(32 111630696),(33 113080510),(34 114341130),(35 115511590),(36 116812184),(37 118461030),(38 120488220),(39 122971750),(40 126287270),(41 130519850),(42 135604480),(43 142301570),(44 149243490),(45 156334400),(46 163105360),(47 169495420),(48 175654190),(49 181957870),(50 188284800),(51 194850300),(52 201594160),(53 207347140),(54 213243730),(55 219284940),(56 226460530),(57 233676720),(58 241394260),(59 249096640),(60 256730110),(61 264450640),(62 272127600),(63 279586900),(64 285828260),(65 290935200),(66 294296000),(67 296708450),(68 299860160),(69 303524580),(70 307844600),(71 312266600),(72 316199040),(73 319662370),(74 322678880),(75 325677500),(76 328620060),(77 330929120),(78 332705630),(79 334027460),
(1 265811.53),(2 997637.2),(3 2153330),(4 3661978.5),(5 5519229),(6 7730299),(7 10169418),(8 12603098),(9 15033021),(10 17430564),(11 19719846),(12 21792068),(13 23691342),(14 25411554),(15 26787270),(16 27857466),(17 28776234),(18 29553028),(19 30303738),(20 31063644),(21 31906362),(22 32630762),(23 33451372),(24 34516244),(25 35661188),(26 36791584),(27 37954810),(28 39051864),(29 40219730),(30 41557064),(31 43051430),(32 44880076),(33 46885110),(34 48812510),(35 50804250),(36 53081080),(37 55267480),(38 57230720),(39 59144660),(40 61643070),(41 64879656),(42 68809170),(43 73363220),(44 77996460),(45 82481510),(46 86623896),(47 90565800),(48 94434320),(49 98339050),(50 102069570),(51 105623620),(52 108650664),(53 111505710),(54 114107110),(55 116523090),(56 118850320),(57 121188100),(58 123544110),(59 126096590),(60 128795730),(61 131854580),(62 135101620),(63 138302560),(64 141173800),(65 143406480),(66 145047280),(67 146193660),(68 147806380),(69 149952100),(70 152749250),(71 155674320),(72 158696160),(73 161595140),(74 164270800),(75 167022770),(76 169809380),(77 172512000),(78 175070780),(79 177590100),
(1 198842.25),(2 773522.3),(3 1713452.9),(4 2968863.3),(5 4494870.5),(6 6328862.5),(7 8321622),(8 10341191),(9 12301488),(10 14303051),(11 16267468),(12 18079222),(13 19768500),(14 21416366),(15 22875754),(16 24184366),(17 25394794),(18 26550056),(19 27651190),(20 28797750),(21 29928496),(22 31062608),(23 32128032),(24 33274014),(25 34367492),(26 35364916),(27 36305300),(28 37135828),(29 37992336),(30 38994540),(31 40279744),(32 41993376),(33 43833908),(34 45642996),(35 47551490),(36 49660140),(37 51802850),(38 53766930),(39 55698212),(40 57896670),(41 60214060),(42 62657028),(43 64977696),(44 67249384),(45 69371140),(46 71323800),(47 73335896),(48 75370810),(49 77472184),(50 79641384),(51 81752840),(52 83484730),(53 85218120),(54 87025336),(55 88728680),(56 90455640),(57 92298080),(58 94029310),(59 95618910),(60 97259160),(61 98810180),(62 100298500),(63 101743590),(64 103241440),(65 104644120),(66 106236490),(67 107879550),(68 109117630),(69 110163680),(70 111091580),(71 111880170),(72 112645336),(73 113388776),(74 113969944),(75 114326690),(76 114582460),(77 114716740),(78 114714150),(79 114676904),
(1 326062.5),(2 1322582.6),(3 2952984.8),(4 5159575.5),(5 7883849),(6 11117499),(7 14695352),(8 18389790),(9 22207032),(10 26157448),(11 30123542),(12 33937370),(13 37664744),(14 41299396),(15 44726604),(16 48001920),(17 51111530),(18 54025492),(19 56647176),(20 59043420),(21 61075420),(22 62766676),(23 64035684),(24 65123740),(25 65866550),(26 66219420),(27 66174884),(28 65798970),(29 65112840),(30 64206010),(31 63165440),(32 62077010),(33 61068816),(34 60199810),(35 59416720),(36 58849496),(37 58208530),(38 57450796),(39 56741348),(40 56255990),(41 55869610),(42 55531144),(43 55228664),(44 54910256),(45 54583868),(46 54325320),(47 54249300),(48 54293904),(49 54566772),(50 55040904),(51 55617388),(52 56164372),(53 56742308),(54 57310200),(55 57736336),(56 58016060),(57 58159510),(58 58168772),(59 58109676),(60 57945604),(61 57665550),(62 57368404),(63 57104796),(64 56868932),(65 56599292),(66 56407910),(67 56239650),(68 56043852),(69 55863790),(70 55760850),(71 55736252),(72 55773120),(73 55748652),(74 55669624),(75 55590044),(76 55537270),(77 55580460),(78 55627016),(79 55737380),
(1 399820.1),(2 1597687.3),(3 3556271.3),(4 6158782),(5 9313356),(6 12940644),(7 16840120),(8 20772160),(9 24665204),(10 28487102),(11 32099948),(12 35433064),(13 38502456),(14 41327904),(15 43954700),(16 46403420),(17 48725500),(18 50817704),(19 52514410),(20 53855600),(21 54818188),(22 55492164),(23 55792040),(24 55880080),(25 55691908),(26 55255100),(27 54580670),(28 53655180),(29 52535932),(30 51276136),(31 50015940),(32 48827824),(33 47816260),(34 46975532),(35 46285680),(36 45708612),(37 44848644),(38 43953012),(39 43098804),(40 42286460),(41 41732300),(42 41378936),(43 41305972),(44 41465412),(45 41810548),(46 42358936),(47 43025550),(48 43779260),(49 44836970),(50 46153508),(51 47795396),(52 49737730),(53 52024024),(54 54425024),(55 56778460),(56 58972172),(57 61008260),(58 62952412),(59 64813650),(60 66543640),(61 68055950),(62 69397940),(63 70543880),(64 71477690),(65 72048740),(66 72409030),(67 72625780),(68 72638950),(69 72622970),(70 72704904),(71 72809610),(72 72932456),(73 72941176),(74 72897970),(75 72763980),(76 72702090),(77 72691576),(78 72742530),(79 72818940),
(1 411541.56),(2 1622636.8),(3 3553684),(4 6045975),(5 8929947),(6 12029440),(7 15085459),(8 17855522),(9 20243836),(10 22234906),(11 23676570),(12 24580432),(13 25018048),(14 25149052),(15 25097196),(16 24967440),(17 24864710),(18 24724700),(19 24551856),(20 24457424),(21 24415010),(22 24569020),(23 24799116),(24 24989472),(25 25094350),(26 25199152),(27 25260972),(28 25252602),(29 25142708),(30 25040506),(31 24986308),(32 25115372),(33 25492246),(34 25964106),(35 26509244),(36 27062644),(37 27521974),(38 27962740),(39 28485190),(40 28974266),(41 29468742),(42 29865580),(43 30117318),(44 30427612),(45 30786134),(46 31282484),(47 31913174),(48 32645420),(49 33546106),(50 34553210),(51 35625150),(52 36592776),(53 37669908),(54 38685892),(55 39625012),(56 40508280),(57 41347348),(58 42261830),(59 43253984),(60 44331070),(61 45332484),(62 46107052),(63 46700550),(64 47128580),(65 47343960),(66 47365156),(67 47298390),(68 46906430),(69 46274412),(70 45542080),(71 44713388),(72 43973740),(73 43339584),(74 42909820),(75 42614810),(76 42453864),(77 42601972),(78 42943180),(79 43400090),
(1 440593.94),(2 1743866.8),(3 3795594.5),(4 6413015.5),(5 9384127),(6 12527210),(7 15541631),(8 18175660),(9 20315598),(10 21903736),(11 22916342),(12 23403178),(13 23495676),(14 23340590),(15 23046078),(16 22662162),(17 22260396),(18 21881588),(19 21558268),(20 21289610),(21 21090616),(22 21044402),(23 21095848),(24 21123026),(25 21126660),(26 21195100),(27 21225764),(28 21268096),(29 21230574),(30 21118942),(31 20937938),(32 20779352),(33 20769652),(34 20844024),(35 21025806),(36 21391210),(37 21778786),(38 22147158),(39 22529110),(40 23020916),(41 23716884),(42 24633202),(43 25648530),(44 26702430),(45 27689184),(46 28599844),(47 29367524),(48 29997974),(49 30495810),(50 30886006),(51 31224792),(52 31471562),(53 31826260),(54 32190582),(55 32604184),(56 33148406),(57 33750144),(58 34445210),(59 35147424),(60 35940516),(61 36833830),(62 37796590),(63 38777812),(64 39712430),(65 40406980),(66 40796092),(67 40876956),(68 40829950),(69 40672864),(70 40294132),(71 39793884),(72 39214790),(73 38452890),(74 37595676),(75 36746908),(76 36022564),(77 35466692),(78 35088068),(79 34894950),
(1 537148.4),(2 2138477.8),(3 4650392.5),(4 7825109),(5 11471475),(6 15315593),(7 18960200),(8 22161992),(9 24814244),(10 26964980),(11 28576884),(12 29753818),(13 30469492),(14 30756954),(15 30679118),(16 30320522),(17 29769536),(18 29123916),(19 28368888),(20 27503620),(21 26716096),(22 26154504),(23 25671004),(24 25187870),(25 24666122),(26 24253380),(27 23927124),(28 23728766),(29 23708686),(30 23804974),(31 24004698),(32 24258858),(33 24472576),(34 24751716),(35 25041718),(36 25224920),(37 25205188),(38 25043390),(39 24812702),(40 24425116),(41 24125582),(42 23947640),(43 23903488),(44 23930630),(45 24014396),(46 24183652),(47 24522922),(48 24922326),(49 25439966),(50 25996338),(51 26673508),(52 27377518),(53 28055614),(54 28585874),(55 28937484),(56 29100396),(57 28989836),(58 28688408),(59 28286568),(60 27876738),(61 27573602),(62 27478236),(63 27556792),(64 27855688),(65 28266246),(66 28685256),(67 29086164),(68 29754470),(69 30595772),(70 31322538),(71 31855296),(72 32329288),(73 32576056),(74 32701372),(75 32664052),(76 32514008),(77 32321938),(78 32087092),(79 31877766),
(1 263250.88),(2 1004723.6),(3 2149301.3),(4 3567245),(5 5128850),(6 6708776.5),(7 8153515.5),(8 9406254),(9 10461656),(10 11359499),(11 12135149),(12 12792744),(13 13328219),(14 13799679),(15 14242809),(16 14677773),(17 15141007),(18 15624030),(19 16012245),(20 16288623),(21 16407482),(22 16469538),(23 16458383),(24 16497374),(25 16591366),(26 16749126),(27 16978932),(28 17244536),(29 17544298),(30 17873992),(31 18186076),(32 18450384),(33 18605846),(34 18686380),(35 18716670),(36 18715196),(37 18771270),(38 18798218),(39 18749722),(40 18635622),(41 18476544),(42 18354782),(43 18256960),(44 18224240),(45 18250830),(46 18413276),(47 18655664),(48 19009864),(49 19404634),(50 19863770),(51 20349974),(52 20716434),(53 21087454),(54 21387036),(55 21626544),(56 21790508),(57 21852014),(58 21853202),(59 21813610),(60 21833820),(61 21959500),(62 22250670),(63 22620764),(64 23122618),(65 23655184),(66 24100222),(67 24424064),(68 24772948),(69 25107274),(70 25219888),(71 25092756),(72 24882846),(73 24547046),(74 24226778),(75 23891300),(76 23584646),(77 23308940),(78 23058920),(79 22898840),
(1 252611.89),(2 959828),(3 2023493.4),(4 3326294.3),(5 4768798),(6 6259654),(7 7710354.5),(8 9046688),(9 10304151),(10 11440926),(11 12401915),(12 13143545),(13 13659953),(14 13991228),(15 14156788),(16 14203056),(17 14160000),(18 14054086),(19 13869804),(20 13649044),(21 13364375),(22 13066054),(23 12753788),(24 12547968),(25 12473060),(26 12519388),(27 12715272),(28 12974900),(29 13278624),(30 13655403),(31 14060868),(32 14485506),(33 14943588),(34 15412267),(35 15941184),(36 16511364),(37 17029768),(38 17482244),(39 17949112),(40 18245576),(41 18414560),(42 18539010),(43 18645384),(44 18804100),(45 18977704),(46 19263602),(47 19603182),(48 20011870),(49 20428322),(50 20854166),(51 21334066),(52 21783844),(53 22365194),(54 22973686),(55 23544184),(56 24012352),(57 24326912),(58 24536494),(59 24612484),(60 24585764),(61 24507328),(62 24380566),(63 24229312),(64 24112488),(65 23960426),(66 23731904),(67 23497672),(68 23183778),(69 22858006),(70 22517316),(71 22172178),(72 21874770),(73 21519740),(74 21196522),(75 20941232),(76 20806450),(77 20778898),(78 20811988),(79 20903592),
(1 276398.06),(2 1030444),(3 2125615.8),(4 3420092),(5 4781797),(6 6098868),(7 7295596.5),(8 8356489.5),(9 9224154),(10 9877542),(11 10418054),(12 10862067),(13 11237784),(14 11580092),(15 11886699),(16 12185308),(17 12447477),(18 12652013),(19 12770597),(20 12861256),(21 12926334),(22 12964216),(23 13048732),(24 13164471),(25 13264981),(26 13326219),(27 13370618),(28 13356645),(29 13283102),(30 13172811),(31 13072587),(32 13045065),(33 13098274),(34 13199888),(35 13360494),(36 13609602),(37 13933438),(38 14315309),(39 14748393),(40 15242288),(41 15665916),(42 15971113),(43 16220408),(44 16448969),(45 16688113),(46 16938914),(47 17231992),(48 17550102),(49 17864944),(50 18197762),(51 18548142),(52 18965026),(53 19410070),(54 19858214),(55 20254106),(56 20588174),(57 20837806),(58 20954590),(59 20932904),(60 20761652),(61 20401378),(62 19922300),(63 19429744),(64 18947682),(65 18479386),(66 18014814),(67 17587920),(68 17187470),(69 16841514),(70 16625713),(71 16546376),(72 16576393),(73 16685500),(74 16871058),(75 17108186),(76 17401936),(77 17712150),(78 17987028),(79 18237522),
