q, (a, b, c)
1.5, (-1437702808693.9456, 824028.654217264, 1437687370670.684)
2.5, (-518346277.2264821, 450.15838302923953, 509595226.02570665)
3.5, (-83218684726.02704, 74214.4695170038, 83209166619.58942)
4.5, (-136290129.19793612, 67.28621928631341, 127017906.12770443)
5.5, (-114197880.43261653, 39.01276626019784, 100050950.55904981)
6.5, (-83501589.24313094, 21.288340989694174, 67724549.10699482)
7.5, (-58261036.05471923, 29.581172997450807, 53747757.423536785)
8.5, (-36714712.147055924, 11.573597982459951, 28502988.552660324)
9.5, (-34988746.33018384, 19.331203789185352, 32253568.266451098)
10.5, (-42093395.911389776, 27.30977882798093, 38735157.84148371)
11.5, (-30178704.323839486, 66.84249241971693, 34052942.995056696)
12.5, (-23320649.201550376, 16.697108939992134, 21923536.17831007)
13.5, (-20019381.186752785, 5.685054789854867, 13820901.31090405)
14.5, (-16209355.48327587, 15.593515008623188, 14486557.021891609)
15.5, (-9288375.198375018, 15.71195173502127, 9523633.867996247)
16.5, (-10034005.597901303, 11.338881091033896, 9290725.551343562)
17.5, (-8969793.086325368, 22.76046389898998, 10069557.259131841)
18.5, (-7849867.653695607, 6.066428086653526, 5893645.375696016)
19.5, (-6035151.401627337, 13.035048994363304, 5900918.65323937)
20.5, (-5966871.84104324, 8.11990188886489, 5157895.11813218)
21.5, (-5049221.565374967, 9.043363678711282, 4703943.624097957)
22.5, (-4220304.549334901, 8.951377761848642, 4150706.532673361)
23.5, (-3718629.7477905634, 9.300116952682052, 3786714.762654156)
24.5, (-3597371.6271987054, 6.957645117356975, 3203651.348010571)
25.5, (-3148172.374749024, 7.969295244460137, 3023512.222384086)
26.5, (-2958809.084764975, 7.115455068646187, 2657556.784299797)
27.5, (-2243387.4351045466, 12.40764145479426, 2495407.043928516)
28.5, (-2141660.4900083714, 9.496332809308397, 2313262.3991311435)
29.5, (-1925751.2281785177, 10.392076711148697, 2190287.6397547126)
30.5, (-1946804.8301843582, 8.952390823906784, 2011690.9803458217)
31.5, (-1463669.4199357778, 14.264368737758323, 1879103.0752380206)
32.5, (-1629176.1934016175, 28.802907686489885, 2055802.975439537)
33.5, (-1382802.729367537, 32.33932614497173, 1842897.2117171802)
34.5, (-1310926.9777467302, 26.156146953603706, 1647161.7197490279)
35.5, (-1335542.4219696843, 24.245254841295733, 1652762.4548654007)
36.5, (-1062056.9643352502, 13.81396815618756, 1300193.6955387546)
37.5, (-862235.8861493185, 21.87378028524203, 1254314.947598098)
38.5, (-983544.9933698702, 36.47358276691575, 1348747.0119713424)
39.5, (-809394.0961005299, 11.330109751874135, 962048.6735328814)
40.5, (-653282.1432561406, 13.241842538912483, 883483.1082236874)
41.5, (-694023.2784961392, 21.49250793217099, 927053.2378751773)
42.5, (-811879.9249749861, 32.435510699195234, 1039979.5462093196)
43.5, (-719399.1121153455, 21.61446194426625, 884678.8744668053)
44.5, (-746749.8594318144, 27.015933848398156, 944636.520597936)
45.5, (-588583.6228677826, 19.45385165029707, 745867.1676560636)
46.5, (-581360.3805460823, 24.725852149367693, 772883.7607579731)
47.5, (-598932.4091555371, 28.054355116209983, 790503.5074918589)
48.5, (-614081.7586810826, 31.80276366455821, 775326.376529389)
49.5, (-554898.9743253911, 19.517859840272823, 659983.7762770049)
50.5, (-502776.48983915773, 17.772551753028857, 593137.3143692301)
51.5, (-410616.22093805164, 17.494371782269276, 520988.55912190134)
52.5, (-424916.3916498988, 20.967529381611136, 552534.8091333753)
53.5, (-442771.61555411946, 25.62919143325375, 573772.1505449619)
54.5, (-489240.81564509607, 28.980313914581647, 609221.5146016881)
