q, (a, b, c)
1.5, (-2668716613598.0225, 453999.6444880143, 2668671100172.955)
2.5, (-1403824365.5263805, 239.26781357493005, 1384448763.2221074)
3.5, (-209111038.27674425, 23.06274030378799, 175372344.72128016)
4.5, (-102746668.72670117, 9.754422324515458, 76431256.74079455)
5.5, (-97466497.84288757, 13.088087167489402, 78281712.31679603)
6.5, (-77292274.83495843, 11.941585445801469, 58476785.94305819)
7.5, (-58886345.18059068, 12.717722513780236, 47180349.89350606)
8.5, (-43526528.10916655, 11.5176295797932, 33885681.57547559)
9.5, (-35782368.29384702, 8.62602945716996, 27415207.90685231)
10.5, (-30409586.971938487, 7.347217555609538, 23115834.435641818)
11.5, (-23570701.146447767, 9.839046866533717, 21475643.42874557)
12.5, (-22833849.19132915, 7.338479893769026, 18461451.78298787)
13.5, (-20112729.46665579, 5.744362280323668, 15202020.691431528)
14.5, (-16860736.83908374, 5.998890295694176, 12947305.762539897)
15.5, (-9304310.884751942, 6.954419924345302, 7712185.931664011)
16.5, (-7428359.7439336525, 8.71991564530689, 6883098.776608956)
17.5, (-6910248.825996045, 6.489282561359429, 5877496.379969203)
18.5, (-7316988.667594699, 4.808953362735812, 5869666.544500062)
19.5, (-6933172.3484804975, 4.95827531435463, 5534719.481820819)
20.5, (-5250093.734602703, 5.523240241301365, 4778265.454004224)
21.5, (-4906300.473004413, 4.818667579384607, 4142226.285530214)
22.5, (-5395987.33784625, 3.1232795860234672, 3893593.622262414)
23.5, (-4831161.507556662, 3.729317216165582, 3834492.85376096)
24.5, (-4818490.8296134975, 2.6504487810056525, 3318319.9534532265)
25.5, (-4505028.798074967, 2.707475722446828, 3079642.4699116764)
26.5, (-3853095.4267960964, 2.6726700982279197, 2632808.0102455616)
27.5, (-4204509.678643987, 2.4776286905257847, 2796035.975945744)
28.5, (-3407101.793498763, 2.81734794916846, 2449537.460957976)
29.5, (-2573714.3102907147, 2.8577034149273515, 1923170.523827903)
30.5, (-2649481.938890226, 2.2671560109050635, 1768977.3319297044)
31.5, (-2639963.2429724997, 2.1628242101597626, 1711568.7005446225)
32.5, (-2535591.860425737, 2.4663845191900564, 1767189.4887108356)
33.5, (-2416925.018748294, 1.932402541422494, 1524250.7124599246)
34.5, (-1773561.755225637, 2.8776006175452555, 1397866.3659834613)
35.5, (-1692561.4460174416, 2.7796790745077495, 1343924.2375673996)
36.5, (-1573693.717230243, 2.3256935269168766, 1169898.973232542)
37.5, (-1710309.225193968, 2.0068837828531403, 1167629.0485596051)
38.5, (-1372453.626115766, 2.3469992070094503, 1021230.2813176078)
39.5, (-1326619.8696936576, 2.453055143626383, 1006053.345584698)
40.5, (-1356268.440136435, 2.6429144435714145, 1030153.6840890549)
41.5, (-1165970.8991601057, 2.5789166496667284, 909229.7552622795)
42.5, (-1195372.7653186305, 1.948488595119911, 826710.7630383796)
43.5, (-1148944.8615566618, 1.6941695374495953, 743527.480814412)
44.5, (-1119386.5736230742, 1.811599831730288, 750219.7733600507)
45.5, (-1049879.4574754823, 1.9435509633476309, 741103.2160737697)
46.5, (-994546.1283925107, 1.6971590581696112, 669001.6120880976)
47.5, (-996799.1256559022, 1.5920846486311413, 631663.2235271485)
48.5, (-846758.8979131825, 1.6796817668412318, 564324.4423907957)
49.5, (-803313.2063570599, 1.7201571109393794, 549867.8523423052)
50.5, (-719033.5905335359, 1.949377077434609, 539177.26533461)
51.5, (-677187.7564591427, 1.9990860527081, 512746.66035011585)
52.5, (-652268.9758340769, 1.973570962645268, 488098.1299135893)
53.5, (-591443.3783105849, 1.7929122092472154, 427027.6669337366)
54.5, (-559262.062841599, 1.687978001962849, 399710.0142476157)
55.5, (-449618.73946264514, 2.4138761119804735, 397101.63867636153)
56.5, (-354510.3740616568, 2.645986745296116, 343185.19867433823)
57.5, (-366356.7698629768, 2.654556888321347, 349119.5389746915)
58.5, (-394182.7460918411, 1.8464822182957263, 318193.6827490925)
59.5, (-406495.72020320134, 1.6637800982009434, 300462.42883574276)
60.5, (-382473.2177980757, 1.799663207343262, 302037.8665144977)
61.5, (-246747.96216422005, 2.945015019439679, 278875.07145961374)
62.5, (-291442.87106844457, 1.9915895782910455, 251315.99594494505)
63.5, (-341447.0777633342, 1.5395959184519425, 244918.55246317084)
64.5, (-270557.3551794716, 1.9530943536688452, 236230.45699395853)
65.5, (-313331.24875785183, 1.4504064179783267, 224306.00272395514)
66.5, (-375660.7314505782, 1.0738545847126917, 213404.20198472892)
67.5, (-263511.13704557356, 1.4106045251240888, 195424.74605145815)
68.5, (-241462.54290797768, 1.584490990690382, 190991.87640938887)
69.5, (-163948.43864565145, 2.548936693468512, 183625.30871458887)
70.5, (-187091.7886440771, 1.9846626787657793, 182100.3548976184)
71.5, (-297284.38816053065, 1.0728219849267826, 176236.2059841769)
72.5, (-234862.4635574319, 1.3148865330681818, 164804.9973632111)
73.5, (-230074.67753889807, 1.2811763564790855, 157820.7510529717)
74.5, (-264376.65626186825, 0.9869389141719619, 146996.78067478846)
75.5, (-227101.72483782686, 1.1209043294056869, 143608.4976281609)
76.5, (-208620.45282894498, 1.1060542531694724, 131194.55522677628)
77.5, (-203851.3561325667, 1.069860342440735, 126380.67888881227)
78.5, (-205393.63493735637, 1.0489414430110517, 125385.51795030967)
79.5, (-202695.71692323464, 0.9894379235801648, 118562.81135127855)
80.5, (-163170.11602225425, 1.2915980263676914, 119116.51667541667)
81.5, (-202521.77348742876, 0.9136512941483133, 111255.10717490558)
82.5, (-167576.90547637554, 1.0373317627820802, 107971.4837332676)
83.5, (-174338.61652994002, 1.0204249922643207, 109767.78827393046)
84.5, (-171792.98195833398, 0.931988361767425, 99694.1245209528)
85.5, (-154278.59327348002, 1.035590834934412, 99346.02154788809)
86.5, (-117025.29109646373, 1.2516183523256257, 93909.00866616204)
87.5, (-97194.04052009793, 1.4246314406388756, 87706.72772909014)
88.5, (-142185.52137987982, 0.9850484541444436, 89200.50448840117)
89.5, (-141678.08132643526, 0.8818352252894252, 80557.55536475929)
90.5, (-118597.46476471431, 1.0880583787390203, 81155.55454141328)
91.5, (-90095.23723134604, 1.3160863880702744, 75402.09978990017)
92.5, (-138303.57695057616, 0.8482048902801467, 76281.00389658776)
93.5, (-145213.7390936409, 0.7691984395439398, 72736.3198332861)
94.5, (-91278.26773520546, 1.061207498539669, 65918.36594694818)
95.5, (-78519.11066003644, 1.2497793196167464, 64145.41335398854)
96.5, (-59014.47443871556, 1.693998461756617, 63007.46307451599)
97.5, (-39248.49762513019, 2.8075008449562895, 61133.5211060246)
98.5, (-68878.18029542, 1.2757956743957102, 60347.9267683661)
99.5, (-61992.27499336714, 1.2653242685842574, 55466.273102833155)
100.5, (-90499.35671951366, 0.9047152259134705, 57557.97876735083)
101.5, (-51637.65251194111, 1.3961355989239923, 52456.254002003996)
102.5, (-37037.57854927951, 2.2054946865263174, 52142.16601650172)
103.5, (-46660.647781826316, 1.447730106558867, 50076.94449472108)
104.5, (-42240.97582167439, 1.6556059805685739, 48833.70788255187)
105.5, (-46888.209900011796, 1.3662336683704572, 47331.02549137826)
106.5, (-16076.929772581163, 9.112850795666823, 46000.44403530789)
107.5, (-30335.05484773271, 2.452523985220527, 44714.76563751072)
108.5, (-19296.933464709797, 5.082938897985244, 43359.05657481171)
109.5, (-24400.490479564527, 3.619177439566655, 43762.58002150111)
110.5, (-35208.45059863127, 1.7057826503135107, 41408.86210151448)
111.5, (-44558.896701331236, 1.1104388503111278, 39269.50618871084)
112.5, (-35470.18107748429, 1.3750135815334377, 38798.265518945576)
113.5, (-17698.00860410086, 3.480341560488791, 36233.6599664838)
114.5, (-22611.866786530096, 2.3058253447349926, 34771.05622602953)
115.5, (-37288.95725707306, 1.1613541197965147, 34434.214872257064)
116.5, (-41372.30388465356, 1.0509963481527964, 33983.784085211206)
117.5, (-26115.509741841543, 1.7107040559338285, 33220.446341141964)
118.5, (-31171.73942496553, 1.2399592819513572, 31966.92652539708)
119.5, (-20135.278069410975, 1.8940192410601355, 30167.515372051916)
120.5, (-34094.8838629561, 1.113311077518382, 31085.026235806567)
121.5, (-8624.138002699628, 9.407519939213985, 29971.560455950646)
122.5, (-12298.076137432708, 3.6285752948234338, 28557.52016852644)
123.5, (-12406.26794839697, 3.001628991385312, 26039.970453042086)
124.5, (-14074.665224084101, 2.2424478119179514, 25937.682947869926)
125.5, (-17221.44682285182, 1.8631374200106923, 25350.255602795492)
126.5, (-10481.089859451595, 3.67524919496222, 23978.83977158056)
127.5, (-7335.473549464342, 12.17234629992702, 24701.770394534313)
128.5, (-9136.999276457353, 4.217654853085729, 22976.295740876583)
129.5, (-12988.529584552949, 2.5215710610679363, 22724.61212549811)
130.5, (-11552.33317804282, 2.8900606971806413, 21791.472848437214)
131.5, (-10867.087775571432, 2.7076644521181517, 21058.942432487023)
132.5, (-11509.096316924588, 2.820555393916457, 20619.526185917694)
133.5, (-10483.274904384438, 2.6779575363364474, 20152.51710295612)
134.5, (-9266.532580984702, 3.149509419842869, 19467.516443620352)
135.5, (-8131.5780439190785, 3.34847924097462, 18325.70204003232)
136.5, (-6046.308271809674, 6.066557943010475, 18630.554449497547)
137.5, (-7658.773997588285, 3.369792928227419, 17578.20639121123)
138.5, (-5332.006719899034, 7.046340241351972, 16849.578515005906)
139.5, (-6794.143598834867, 4.2677867709965325, 16657.947580019798)
140.5, (-5354.271922831305, 7.924026021011824, 16224.40949913856)
141.5, (-5064.952620575082, 10.301199577610735, 16236.808910765112)
142.5, (-4192.214787466534, 13.29135416843915, 15606.056181147847)
143.5, (-6119.095815175397, 3.0398161050784873, 14855.186353332263)
144.5, (-6909.784619402197, 2.3917257162972803, 14416.025264430982)
145.5, (-3643.1335084013153, 10.328223587271111, 14228.507173766693)
146.5, (-3821.187496934857, 9.835740765014194, 13683.945053809935)
147.5, (-3170.792829392907, 12.243717671099901, 13372.909275214184)
148.5, (-4310.776494211204, 4.496656859643202, 12635.995619133388)
149.5, (-2939.2261503199634, 12.599698208409029, 12353.945662523656)
150.5, (-3067.3386401792995, 13.551512571296165, 12392.533238049344)
151.5, (-3056.783007230378, 14.31604563617659, 12121.63240429057)
152.5, (-2946.8322486592774, 8.560017251155877, 10853.980566021497)
153.5, (-3050.0669473217245, 12.656613754964901, 11219.645467132223)
154.5, (-2616.379040702129, 12.0301877161048, 10691.320203712417)
155.5, (-2543.6202610203463, 12.425217596294829, 10449.978071367423)
156.5, (-2433.255421077563, 8.803652109514939, 9820.822798630916)
157.5, (-3048.597820145688, 4.8836293805245, 9432.528055900111)
158.5, (-2553.992644754835, 8.288051846601315, 9674.556669186297)
159.5, (-2600.6831228343717, 6.026238184240907, 8983.447175801783)
160.5, (-2341.043572502615, 10.361736952489867, 9201.470721412497)
161.5, (-2505.140845618763, 7.707272686409743, 8805.391131688524)
162.5, (-2518.588371983784, 7.398759208438287, 8589.453293086392)
163.5, (-2203.198261813197, 8.526017107348181, 8246.663277415868)
164.5, (-2063.0139975954385, 11.46138563931764, 7848.819124468149)
165.5, (-2488.0347708046443, 3.669649216608213, 7605.652419807975)
166.5, (-1966.9665157312745, 8.924136073688302, 7615.650394219497)
167.5, (-2046.6949986480095, 8.516332878511475, 7377.022045684973)
168.5, (-2154.772192916874, 6.888756852141198, 7189.362939905035)
169.5, (-1772.1939136576652, 11.393705931859332, 6832.218116954422)
170.5, (-1998.4933096018344, 6.62012410599202, 6736.959202755604)
171.5, (-1853.0991603164732, 9.4862367845855, 6591.682466202627)
172.5, (-1699.1275286812381, 9.886728533937399, 6483.925621725201)
173.5, (-1781.5911339296, 8.588763180973302, 6105.637809802881)
174.5, (-1467.3715016221072, 9.671769509597032, 5902.213268961489)
175.5, (-1519.0750491191275, 10.835933489340828, 5954.122634970479)
176.5, (-1421.1955951736415, 7.089812707922515, 5638.466359253303)
177.5, (-1377.4421606888916, 14.742411222565314, 5807.58542398543)
178.5, (-1484.1186970713934, 11.496222582116683, 5471.703208427052)
179.5, (-1388.1777423268932, 14.84183722417116, 5412.144454193701)
180.5, (-1309.261814342378, 10.275970651110276, 5190.206346231978)
181.5, (-1159.562640038214, 8.810442852674054, 4850.6922242666005)
182.5, (-1309.8868008051022, 14.124794381910997, 4965.123711708191)
183.5, (-1165.0137502751531, 11.395545299067791, 4671.651948074492)
184.5, (-1239.46430922722, 14.952661066365941, 4688.314311137823)
185.5, (-1122.9499643892632, 16.281184392191015, 4560.55730811194)
186.5, (-1005.7423216424538, 15.53532719192927, 4330.125929770738)
187.5, (-1100.4723946949898, 17.319310261927814, 4374.054704250661)
188.5, (-1005.5816939564659, 12.843234824813665, 4084.6112336180217)
189.5, (-948.6851073128128, 6.606045768813906, 3873.0553119733163)
190.5, (-932.9293431916024, 13.503122529808785, 3868.9142007547807)
191.5, (-1056.3664213701754, 7.122683776662934, 3688.528775681522)
192.5, (-981.4350684469064, 7.853320843120929, 3616.863213647241)
193.5, (-810.6193477844511, 12.221330265595446, 3469.9643419530516)
194.5, (-840.8380850869089, 13.463856124515857, 3495.452087591227)
195.5, (-896.334382431574, 11.196360654778504, 3297.5922093235017)
196.5, (-802.4270046773808, 13.246389597217611, 3277.881262348727)
197.5, (-736.8522897935534, 10.089261001781539, 3136.1522058440873)
198.5, (-706.1248732319478, 8.047351122146832, 2968.9137190286556)
199.5, (-783.5430574939509, 6.26921139647199, 2940.730582287171)
200.5, (-714.565208793614, 8.748755416677195, 2841.2630212299223)
201.5, (-766.4185325944131, 6.375451238907948, 2791.8795405880287)
202.5, (-673.5282888387966, 8.179875302765614, 2781.7535737395647)
