1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 43891.28),(2 66007.43),(3 74909.914),(4 141367.5),(5 184815.39),(6 185850.52),(7 246803.88),(8 313454.66),(9 309973.13),(10 412610.13),(11 459639.53),(12 463045.4),(13 550666.5),(14 634484.8),(15 656411.8),(16 802254),(17 920463.5),(18 965466.8),(19 1103558.4),(20 1225542.6),(21 1277080.1),(22 1445458.6),(23 1582513.5),(24 1624952),(25 1786148),(26 1914547.1),(27 1957578.6),(28 2140567.8),(29 2281226.3),(30 2341255),(31 2522289.8),(32 2672555.5),(33 2716915.3),(34 2892246.8),(35 3022980),(36 3092723),(37 3254176.8),(38 3409078),(39 3477534.8),(40 3664103.3),(41 3832965.8),(42 3942700.3),(43 4156728.8),(44 4355818.5),(45 4440533.5),(46 4656583.5),(47 4835585),(48 4921824),(49 5094343.5),(50 5249298.5),(51 5288212),(52 5489221.5),(53 5651610.5),(54 5682782),(55 5811678.5),(56 5948146.5),(57 5969630.5),(58 6126442),(59 6268182.5),(60 6287397.5),(61 6416568),(62 6558341.5),(63 6574737.5),(64 6695389.5),(65 6791903.5),(66 6774688.5),(67 6817296.5),(68 6920456),(69 6880093.5),(70 6945725.5),(71 7011297.5),(72 6978500),(73 7018670.5),(74 7080434),(75 7011388.5),(76 7067264),(77 7106010.5),(78 7066382),(79 7095684.5),
(1 48997.5),(2 73239.12),(3 80628.86),(4 148321.22),(5 182897.77),(6 187572.6),(7 255232.6),(8 303534.53),(9 300578.7),(10 380024.8),(11 428587.56),(12 423857.4),(13 518297.6),(14 601326.1),(15 641468.56),(16 775237.9),(17 899050.4),(18 965353.2),(19 1101085.3),(20 1214220.8),(21 1279254.4),(22 1428996.8),(23 1568294.4),(24 1622609),(25 1775127.6),(26 1898232.4),(27 1955528),(28 2120350),(29 2264119),(30 2351637.5),(31 2546944.5),(32 2708562.8),(33 2797356.5),(34 2967858.5),(35 3116290.5),(36 3194561.5),(37 3354826),(38 3466239.3),(39 3532328),(40 3687543.3),(41 3840823.3),(42 3939244),(43 4134255.3),(44 4305471),(45 4406523.5),(46 4605997),(47 4804626.5),(48 4922443),(49 5131911),(50 5311566.5),(51 5416190.5),(52 5653875),(53 5855231),(54 5953297),(55 6152036.5),(56 6334206),(57 6452984),(58 6668675),(59 6910784),(60 7057339),(61 7308209.5),(62 7588153),(63 7752720),(64 8003469.5),(65 8277629.5),(66 8441235),(67 8660960),(68 8922799),(69 9064196),(70 9287805),(71 9567788),(72 9743965),(73 10021243),(74 10360432),(75 10588526),(76 10938464),(77 11290066),(78 11506122),(79 11791993),
(1 35042.52),(2 59859.668),(3 78931.1),(4 136576.11),(5 172260.8),(6 195356.64),(7 247989.95),(8 278486.16),(9 303408.06),(10 371138.72),(11 424229.5),(12 470631.25),(13 556632.7),(14 643171.8),(15 726111.2),(16 838378.7),(17 948804.7),(18 1051814),(19 1181161.5),(20 1301589.4),(21 1424827),(22 1584059),(23 1733893.6),(24 1872309.5),(25 2045693.9),(26 2195079.8),(27 2330982.3),(28 2496332.3),(29 2645592.8),(30 2802019),(31 2997395.8),(32 3180979.3),(33 3349826),(34 3545725.8),(35 3733797.3),(36 3899647),(37 4103643.8),(38 4256149.5),(39 4408555),(40 4607641.5),(41 4789229.5),(42 4960142.5),(43 5175681.5),(44 5384619.5),(45 5576660.5),(46 5786536),(47 5996349.5),(48 6182894.5),(49 6416708.5),(50 6646228),(51 6862795.5),(52 7237968),(53 7506354.5),(54 7720874),(55 7966478.5),(56 8195346.5),(57 8412837),(58 8663352),(59 8906768),(60 9123280),(61 9364310),(62 9585515),(63 9784278),(64 10006631),(65 10230959),(66 10428699),(67 10632436),(68 10801776),(69 10930267),(70 11090799),(71 11238680),(72 11330955),(73 11430387),(74 11507784),(75 11559461),(76 11683397),(77 11766472),(78 11810531),(79 11867067),
(1 26415.66),(2 56227.39),(3 89941.53),(4 148020.64),(5 202620.48),(6 251361.81),(7 326040.47),(8 402166.13),(9 473925),(10 580411.9),(11 677607.75),(12 768557.7),(13 894475.25),(14 1031414),(15 1160310.5),(16 1320132.5),(17 1488396.6),(18 1649008.6),(19 1842115.8),(20 2036038.9),(21 2231017.3),(22 2460548),(23 2698395),(24 2916303),(25 3180184),(26 3428009.8),(27 3672244.8),(28 3948430.8),(29 4223694.5),(30 4507562),(31 4834950.5),(32 5164732.5),(33 5497849),(34 5851650.5),(35 6208156.5),(36 6560101.5),(37 6944378),(38 7319218.5),(39 7676469.5),(40 8069223),(41 8434411),(42 8773294),(43 9157767),(44 9528945),(45 9884119),(46 10282612),(47 10650238),(48 10993307),(49 11382786),(50 11746743),(51 12094737),(52 12532437),(53 12894860),(54 13227555),(55 13595245),(56 13930354),(57 14241694),(58 14589412),(59 14891609),(60 15166473),(61 15484686),(62 15787013),(63 16061061),(64 16388574),(65 16686958),(66 16974514),(67 17268996),(68 17494094),(69 17683160),(70 17919854),(71 18111804),(72 18268744),(73 18441602),(74 18579556),(75 18675158),(76 18841492),(77 18940280),(78 19018674),(79 19109144),
(1 29225.83),(2 72954.17),(3 134597),(4 226819.05),(5 325044.88),(6 431334.9),(7 561318.44),(8 693000.56),(9 840680.75),(10 1016926.4),(11 1195184.5),(12 1384254.9),(13 1604483.6),(14 1839918.9),(15 2095677.1),(16 2375474.8),(17 2665823.5),(18 2963289.3),(19 3284020.3),(20 3600380.3),(21 3922675),(22 4274836.5),(23 4628856),(24 4981054),(25 5363858),(26 5727119.5),(27 6109726.5),(28 6514944.5),(29 6913883.5),(30 7316647.5),(31 7756904.5),(32 8185013),(33 8602093),(34 9028038),(35 9450877),(36 9847460),(37 10253753),(38 10638609),(39 11009418),(40 11380244),(41 11720585),(42 12031472),(43 12367031),(44 12686804),(45 12976467),(46 13278159),(47 13549529),(48 13784000),(49 14012391),(50 14231855),(51 14416476),(52 14679130),(53 14885101),(54 15061217),(55 15241553),(56 15404931),(57 15535225),(58 15701414),(59 15843846),(60 15946150),(61 16098039),(62 16275235),(63 16432425),(64 16641536),(65 16849708),(66 17015874),(67 17200972),(68 17369188),(69 17497590),(70 17653544),(71 17788378),(72 17901226),(73 18043558),(74 18187374),(75 18319900),(76 18492680),(77 18663678),(78 18835028),(79 19036386),
(1 25868.85),(2 70567.62),(3 133488.69),(4 221660.92),(5 319974.78),(6 426950.7),(7 551485.8),(8 688716.6),(9 834945.9),(10 1003470.4),(11 1183909.4),(12 1381260.6),(13 1602947.8),(14 1847492),(15 2105448.8),(16 2380716.5),(17 2678757.5),(18 2994579.5),(19 3325870.3),(20 3677998),(21 4039741.3),(22 4401575),(23 4789037.5),(24 5175995.5),(25 5574508.5),(26 5978845.5),(27 6384408),(28 6804128),(29 7230469.5),(30 7656913),(31 8100542.5),(32 8553401),(33 8997360),(34 9424398),(35 9868386),(36 10289740),(37 10697570),(38 11115712),(39 11511913),(40 11883554),(41 12260234),(42 12601366),(43 12940408),(44 13272628),(45 13586936),(46 13887718),(47 14160474),(48 14412270),(49 14630542),(50 14828174),(51 15018573),(52 15190336),(53 15375843),(54 15510285),(55 15636510),(56 15777664),(57 15884411),(58 16014870),(59 16137984),(60 16235410),(61 16344165),(62 16445568),(63 16531730),(64 16618998),(65 16721022),(66 16789428),(67 16850556),(68 16928612),(69 16966324),(70 17006114),(71 17072262),(72 17120544),(73 17181076),(74 17243772),(75 17290704),(76 17322052),(77 17351156),(78 17368548),(79 17344364),
(1 25249.92),(2 73677.43),(3 145046.1),(4 242672.23),(5 355996.5),(6 483999.78),(7 626263.6),(8 779524.9),(9 945924.9),(10 1129496.3),(11 1319325.5),(12 1528158),(13 1752918.9),(14 1991172.6),(15 2233159.5),(16 2486064.3),(17 2750518.5),(18 3023517.8),(19 3306073),(20 3588322.5),(21 3882520.3),(22 4187133.8),(23 4493744),(24 4805952),(25 5112900.5),(26 5402967.5),(27 5695823.5),(28 5992257),(29 6287724.5),(30 6587123.5),(31 6900378.5),(32 7208683),(33 7509171),(34 7804271),(35 8091995),(36 8361794.5),(37 8617090),(38 8867593),(39 9094386),(40 9292863),(41 9488986),(42 9664338),(43 9831415),(44 10005787),(45 10164348),(46 10315696),(47 10463973),(48 10594961),(49 10705925),(50 10792815),(51 10872960),(52 10937887),(53 10987135),(54 11019615),(55 11068959),(56 11103162),(57 11144954),(58 11203621),(59 11241903),(60 11267403),(61 11318065),(62 11354558),(63 11387877),(64 11427535),(65 11458684),(66 11471215),(67 11454657),(68 11428372),(69 11395580),(70 11362156),(71 11329921),(72 11293177),(73 11269423),(74 11243926),(75 11219018),(76 11191718),(77 11170524),(78 11146842),(79 11115808),
(1 24351.32),(2 71271.32),(3 138540.22),(4 226859.31),(5 331985.66),(6 449850.4),(7 579542.94),(8 723566.2),(9 873688),(10 1041405.8),(11 1219661.5),(12 1407939.3),(13 1624906.5),(14 1859808.4),(15 2104254.5),(16 2375529.8),(17 2663688.3),(18 2961660.3),(19 3269088),(20 3585171.3),(21 3913586.8),(22 4246643),(23 4595657),(24 4945823),(25 5311837),(26 5677473),(27 6027202.5),(28 6397235),(29 6768701.5),(30 7135708.5),(31 7522341.5),(32 7906085.5),(33 8271333.5),(34 8633045),(35 8987652),(36 9312154),(37 9625778),(38 9899517),(39 10136289),(40 10354432),(41 10545391),(42 10699100),(43 10836553),(44 10952284),(45 11038284),(46 11112574),(47 11145386),(48 11163050),(49 11163410),(50 11127770),(51 11072295),(52 11042378),(53 10955332),(54 10853334),(55 10746473),(56 10610691),(57 10468650),(58 10322080),(59 10167772),(60 10008175),(61 9874660),(62 9741890),(63 9634718),(64 9555238),(65 9492053),(66 9448465),(67 9411340),(68 9376252),(69 9365900),(70 9369391),(71 9393408),(72 9440769),(73 9517363),(74 9609211),(75 9713567),(76 9856601),(77 10011088),(78 10182538),(79 10376091),
(1 21432.416),(2 63924.582),(3 127983.28),(4 211069.88),(5 307016.94),(6 414238.1),(7 541766.75),(8 681938.94),(9 840245.7),(10 1018698.5),(11 1210272.5),(12 1422377.8),(13 1648757.6),(14 1895480.8),(15 2156502.3),(16 2432165),(17 2724204.8),(18 3032597.8),(19 3354909.8),(20 3681224.5),(21 4023938.8),(22 4387841),(23 4760844),(24 5132835.5),(25 5528764),(26 5897647.5),(27 6274255),(28 6653537.5),(29 7028622),(30 7408922.5),(31 7807174),(32 8191981),(33 8580053),(34 8988978),(35 9383135),(36 9768356),(37 10158628),(38 10522906),(39 10876281),(40 11220493),(41 11545336),(42 11859752),(43 12164465),(44 12451479),(45 12729553),(46 12993009),(47 13249603),(48 13484463),(49 13712503),(50 13919927),(51 14115668),(52 14330671),(53 14484160),(54 14620841),(55 14735569),(56 14832077),(57 14915422),(58 14990289),(59 15037152),(60 15065582),(61 15070565),(62 15048980),(63 15015438),(64 14970678),(65 14929082),(66 14858071),(67 14764555),(68 14648547),(69 14531908),(70 14389599),(71 14248924),(72 14090812),(73 13916452),(74 13751851),(75 13587588),(76 13405018),(77 13243313),(78 13080673),(79 12904184),
(1 23482.848),(2 70862.22),(3 139712.23),(4 229888.27),(5 333601.78),(6 452880.53),(7 585575.3),(8 728485.75),(9 883228.94),(10 1055347.5),(11 1239207.1),(12 1441883.6),(13 1662992.5),(14 1893707.4),(15 2143516),(16 2409999.5),(17 2682956.5),(18 2962942.8),(19 3251395.5),(20 3537168.5),(21 3834939.5),(22 4133495),(23 4432025.5),(24 4741230),(25 5060338),(26 5373970),(27 5680053.5),(28 6005835.5),(29 6324598),(30 6649728),(31 6980113),(32 7303930),(33 7622916.5),(34 7933325.5),(35 8230852.5),(36 8518361),(37 8786187),(38 9029632),(39 9268176),(40 9483914),(41 9686272),(42 9866173),(43 10037391),(44 10207059),(45 10364104),(46 10511913),(47 10660206),(48 10783596),(49 10882422),(50 10960727),(51 11029350),(52 11075868),(53 11137105),(54 11172695),(55 11184460),(56 11205450),(57 11228660),(58 11245630),(59 11265460),(60 11279886),(61 11291847),(62 11298911),(63 11308057),(64 11310729),(65 11325557),(66 11323570),(67 11304175),(68 11260031),(69 11221700),(70 11175212),(71 11139659),(72 11098172),(73 11074608),(74 11041517),(75 11001852),(76 10959052),(77 10932487),(78 10898834),(79 10867106),
(1 22062.41),(2 68172.016),(3 134873.17),(4 222274.27),(5 326307.34),(6 443758.88),(7 578316.56),(8 733090.5),(9 900472.56),(10 1090978.6),(11 1297029),(12 1515683),(13 1761378.1),(14 2018443.8),(15 2283600),(16 2562091.5),(17 2851763.8),(18 3147863),(19 3455478.5),(20 3765684.8),(21 4077932.8),(22 4387838.5),(23 4707224.5),(24 5022673),(25 5340670),(26 5653702.5),(27 5958869.5),(28 6274898),(29 6584322.5),(30 6888483),(31 7175874),(32 7445120),(33 7704332.5),(34 7937970),(35 8168528),(36 8381433.5),(37 8572316),(38 8742933),(39 8905024),(40 9032834),(41 9159932),(42 9266096),(43 9360958),(44 9447451),(45 9512975),(46 9558195),(47 9577839),(48 9577368),(49 9554600),(50 9505615),(51 9444955),(52 9344010),(53 9258415),(54 9157073),(55 9060455),(56 8963832),(57 8869335),(58 8789414),(59 8718651),(60 8646557),(61 8594844),(62 8549542),(63 8508470),(64 8486824),(65 8479021),(66 8483549),(67 8497146),(68 8508566),(69 8530761),(70 8565807),(71 8622775),(72 8693743),(73 8784943),(74 8870474),(75 8946494),(76 9019719),(77 9095923),(78 9166569),(79 9243616),
