q, (a, b, c)
1.5, (-147827171.0109336, 1069.2213659663194, 147438014.89143312)
2.5, (-39620396.69024125, 273.7571337149991, 39113026.00593092)
3.5, (-135212911447.74841, 595874.7498858712, 135210870469.24701)
4.5, (-54365190.00150142, 135.0686072976343, 51691943.48366134)
5.5, (-35041545.295825, 58.08219184184285, 31297173.526840642)
6.5, (-18009582.672685694, 44.754890225365145, 16269745.86325862)
7.5, (-25578558.586726643, 80.05687380134108, 23931968.41893862)
8.5, (-13914129.641343404, 24.08438082706621, 11330659.123262728)
9.5, (-15504906.15230823, 22.529448336694173, 12780288.912088813)
10.5, (-14450640.357506264, 25.586690355406617, 12284514.242190612)
11.5, (-13487736.32096968, 21.077728563703992, 11111369.524449145)
12.5, (-10623538.72808825, 14.452196852289934, 8052101.913515966)
13.5, (-8197029.831967745, 18.963126976401178, 6848937.954587666)
14.5, (-7770549.149057905, 24.34378187124574, 6894531.4215826765)
15.5, (-6971088.218214906, 14.037945343269799, 5755137.468491989)
16.5, (-6699491.239564186, 10.520259371785897, 4911468.329568588)
17.5, (-5146806.2661516955, 10.629208920008168, 3775578.075591944)
18.5, (-4158044.7811118243, 17.258614153540655, 3591248.9491438107)
19.5, (-3523741.2005120823, 11.788586613050999, 2729408.9305851827)
20.5, (-3384919.434914591, 12.707366277586308, 2826451.1382455085)
21.5, (-4514134.610809782, 42.01628293930341, 4820145.491245413)
22.5, (-3215183.1908086454, 8.165318767108468, 2451984.4749624263)
23.5, (-2600914.372954407, 9.593994415832016, 2163269.629776637)
24.5, (-2760921.402377064, 9.31974841607663, 2144546.75605479)
25.5, (-2422849.3558409223, 7.767029327080316, 1823947.4200439763)
26.5, (-2357180.4011322567, 7.371051551476982, 1723763.843738313)
27.5, (-2280379.3964170925, 8.161229463485345, 1684646.5707387477)
28.5, (-1913887.819455923, 14.793893591100561, 1743617.2067277473)
29.5, (-1651743.6772578591, 11.115705249150192, 1406938.456404518)
30.5, (-1676863.4461972339, 10.205841149020308, 1360189.385815325)
31.5, (-1845027.8019322134, 10.158456538423453, 1533533.003373397)
32.5, (-1625661.7920184394, 6.959376956707712, 1252392.552434562)
33.5, (-1499659.8991114139, 5.292178649485332, 1053542.5598356936)
34.5, (-1321126.239527558, 7.815332663843918, 1053297.2124113215)
35.5, (-1317698.57077418, 7.8943440115646535, 1044968.9425442179)
36.5, (-1134553.9856777794, 6.65823361373722, 875987.8903440136)
37.5, (-1015481.76821203, 6.99020117477589, 790789.8206985422)
38.5, (-903762.1229545615, 6.692020651339486, 702045.4466792998)
39.5, (-891823.5866814776, 6.440240088865808, 700615.3667203663)
40.5, (-834776.7982859307, 5.954095992337261, 644160.8820748093)
41.5, (-751336.9524644531, 7.537116472713069, 615762.6135181913)
42.5, (-759691.2954783408, 5.795843132520131, 583902.2938321737)
43.5, (-752656.167868679, 5.406114767129402, 564393.4522546252)
44.5, (-625903.0446736392, 7.109481428256477, 524529.9473811347)
45.5, (-560990.7156791214, 5.794552413670824, 454714.4712404944)
46.5, (-510625.31744881405, 7.615626257045912, 465278.28147516254)
47.5, (-497788.39609558054, 10.531194005346086, 490668.0771472173)
48.5, (-486515.21876635065, 5.556235890397967, 393315.9345886467)
49.5, (-478229.7041839162, 5.427831510185232, 385472.4179016627)
50.5, (-433008.52974893, 8.090557735881095, 409404.0324731887)
51.5, (-428664.40422452573, 7.7369943746609415, 392943.99110977724)
52.5, (-404730.2589553215, 9.31126037905481, 392606.52908716863)
53.5, (-351115.16388469684, 9.727114552271212, 363416.7486304761)
54.5, (-313991.5562960969, 12.433691020242115, 351661.2123190066)
55.5, (-320677.5673585665, 9.057913814135683, 318273.5166563169)
56.5, (-270748.8567117971, 18.259431664135406, 346710.3408745775)
57.5, (-308131.47386963555, 6.356730864291561, 278482.2975171286)
58.5, (-309308.5183552474, 7.765631587790815, 295426.85515784746)
59.5, (-281391.9312689299, 8.683258717458875, 269752.3227570661)
60.5, (-258854.1156180822, 10.112840060975099, 264697.9615251239)
61.5, (-219181.1210943811, 12.703875788852967, 262437.4742399728)
62.5, (-224640.8305358983, 10.717700040239096, 237127.07258884443)
63.5, (-226503.68520494326, 17.23786289562504, 268769.5808827728)
64.5, (-224828.56731299855, 10.916410161295254, 244967.520316611)
65.5, (-195429.5057786739, 11.678675553098792, 218044.22564736317)
66.5, (-173013.3810003333, 21.430633940246807, 236432.84190114262)
67.5, (-182683.75161433674, 30.712622356446435, 250105.52758713142)
68.5, (-165578.78220132785, 14.42238631007219, 201563.87103342058)
69.5, (-202148.01579443013, 5.730352445174925, 178106.62918569095)
70.5, (-190173.3125039338, 5.5377096107733745, 169070.4502193777)
71.5, (-175813.7442814176, 6.124542264032195, 161293.70651580632)
72.5, (-172803.29469142255, 5.73959232076949, 156632.11973963372)
73.5, (-171794.8497850393, 5.530863926197373, 152767.57176174968)
74.5, (-164506.3474807566, 4.889127003214744, 140646.9945962947)
75.5, (-170744.5579111616, 4.65290566961503, 140057.80506755324)
76.5, (-155585.97193997202, 5.545144962169523, 140533.72495840234)
77.5, (-140492.23640322033, 5.332642825370523, 127212.09729558157)
78.5, (-137785.89869007046, 4.788436897793917, 119935.53123760062)
79.5, (-128910.76260948836, 4.860486197852481, 117450.2395524153)
80.5, (-114431.06288636774, 6.809376031316455, 118017.22468767852)
81.5, (-123483.23592979198, 5.5701420289890065, 116490.45284960614)
82.5, (-101479.08038680178, 8.132466774721301, 113444.10871235195)
83.5, (-101904.51586488668, 6.974940791087954, 106949.00342861174)
84.5, (-103197.02335169518, 5.645186596544559, 101348.1962563767)
85.5, (-107293.37655003308, 4.3973292592363915, 94107.37079053905)
86.5, (-95486.05809457562, 5.601188618075811, 92618.3746964132)
87.5, (-84319.39696028139, 7.6037140684027, 92343.39411335817)
88.5, (-88632.14825870626, 8.16080026068597, 98042.04015611207)
89.5, (-91201.39853281631, 6.280050120889989, 91550.1025318568)
90.5, (-88208.01771389319, 5.073322113630724, 84645.11506006832)
91.5, (-86640.07048400388, 5.328749526015237, 82474.86443528239)
92.5, (-76016.20682869789, 5.996750924581617, 77321.52441567094)
93.5, (-83102.0019107738, 5.4005982766031755, 80133.12336408839)
94.5, (-78596.16264278685, 5.429172225523846, 76732.83359838299)
95.5, (-78848.45397463, 4.689161280228979, 73168.2754070333)
