q, (a, b, c)
1.5, (-46402381218.77117, 340566.81358360447, 46401688499.48722)
2.5, (-120851731920.555, 744861.5042943493, 120850494426.80885)
3.5, (-19389281.276313547, 75.23899066262203, 18333743.745884888)
4.5, (-34889978.578635454, 148.43018021659245, 34355906.63335228)
5.5, (-36149132.61142116, 109.82022973594069, 35219619.09464334)
6.5, (-19029489.982141964, 60.4350917520531, 18045418.346221793)
7.5, (-22812294.899905346, 61.94143039548385, 21925815.60135802)
8.5, (-15079096.883577397, 24.44183175513539, 13089515.122805195)
9.5, (-11294685.640578562, 14.921561991496965, 9250728.394178698)
10.5, (-9818801.933951965, 21.651990429550157, 8575983.412466085)
11.5, (-8049874.717480933, 23.25406322176826, 7653155.036007914)
12.5, (-5766276.113118028, 17.933999617752672, 5281812.136043151)
13.5, (-6700169.667198625, 16.01844218685768, 5643541.098683702)
14.5, (-4380198.101988553, 9.741592277766136, 3462905.680834027)
15.5, (-4301737.689783582, 14.70887380856731, 3797189.314052742)
16.5, (-4449564.878774826, 17.076810393757768, 3838954.6649895944)
17.5, (-5453061.585908871, 16.160466443223388, 4558589.1162325535)
18.5, (-3002613.0327452407, 11.543558218361834, 2487798.8329827166)
19.5, (-2046572.963189433, 15.911632799673445, 1964131.0065942304)
20.5, (-2445255.2679137588, 30.232773500496105, 2562760.0503131617)
21.5, (-2726125.6158156726, 13.319715390592723, 2303847.691489319)
22.5, (-2113764.348187815, 10.227314784091169, 1715509.1008365098)
23.5, (-1808079.743472878, 15.912856014580452, 1705159.1796984721)
24.5, (-1772233.3430297638, 27.26805056726134, 1873816.1759525863)
25.5, (-1586728.6167601286, 14.532638458826508, 1478166.172308388)
26.5, (-1609057.900293992, 12.82531531397629, 1410258.5667756647)
27.5, (-1382741.1286020142, 15.761432462789973, 1303473.1760688357)
28.5, (-1249069.266993533, 14.17467032942627, 1178733.9235231706)
29.5, (-1224824.5546308933, 12.437319445150104, 1125854.625361041)
30.5, (-1029279.7007999163, 13.729601268432685, 973854.3050120762)
31.5, (-1137091.2023812532, 12.686432495979405, 1031254.4148125546)
32.5, (-1090115.9186254304, 8.773667747054311, 898836.5943713356)
33.5, (-882245.5289428743, 14.62847033001546, 863509.4074473974)
34.5, (-943178.2981730498, 17.32993665148318, 934317.7480270434)
35.5, (-846433.027616408, 17.288058573226923, 836980.0769317705)
36.5, (-835343.522106591, 20.978149756816354, 865465.662226368)
37.5, (-912630.7489521994, 16.191750750300354, 845811.645403805)
38.5, (-717636.6537100145, 14.811688411359961, 688704.5585257851)
39.5, (-825085.6826255564, 16.890550169868728, 766741.922008234)
40.5, (-853088.5192697353, 17.12268823131597, 796585.1585205513)
41.5, (-886857.322465209, 19.45616088059879, 841140.6520253319)
42.5, (-866218.413190788, 17.03343797697938, 792378.1342465113)
43.5, (-683845.696805891, 18.161980473161382, 670480.0741675117)
44.5, (-683232.5840219364, 17.26786646490919, 658042.6593988677)
45.5, (-662530.5551419685, 20.097023311025723, 656120.6638583909)
46.5, (-661498.4693928378, 16.663020591171936, 607848.7997269944)
47.5, (-684113.6664617826, 15.867554202643058, 615738.3072889765)
48.5, (-595305.1179739551, 21.541247364103445, 586759.9115404004)
49.5, (-580184.3134998357, 18.702369358331797, 558060.5602120556)
50.5, (-618893.5553533139, 19.973889091356092, 586363.5743551522)
51.5, (-583663.3817271546, 20.642789179383175, 564707.5730401092)
52.5, (-514632.0488933975, 20.38798714697349, 506327.33545365627)
53.5, (-624565.4593544174, 18.875677669936778, 574287.207317182)
54.5, (-670626.9376838614, 19.414873268357553, 612378.7925124844)
55.5, (-473308.4983319451, 17.81772032677682, 457858.97319042776)
56.5, (-500933.3721551984, 15.390087884337385, 462969.8099565821)
57.5, (-449629.55871822545, 18.71577926862949, 440661.67598907975)
58.5, (-439878.9281054836, 19.14353445238414, 425597.6416581994)
59.5, (-465632.832910049, 18.03909181732889, 438980.93777937884)
60.5, (-402706.6098437441, 19.192494933360486, 387188.9247901276)
61.5, (-433190.10421420576, 19.32296933567728, 411667.09885476745)
62.5, (-348887.30826479354, 19.136953538230436, 345989.4305901687)
63.5, (-333573.4015468548, 16.509071637893566, 319903.3461008913)
64.5, (-338780.51023780747, 17.25016540334901, 324960.8963951456)
