1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 33709.457),(2 109627.336),(3 218473.45),(4 343965.53),(5 475726.72),(6 604158.06),(7 725759.5),(8 837764),(9 926765.8),(10 1006445),(11 1194194.6),(12 1326285),(13 1464932.6),(14 1617598.5),(15 1729854.1),(16 1827081),(17 1930079.6),(18 2016611.6),(19 2117807.3),(20 2262266.3),(21 2451417),(22 2661324.8),(23 2882262.8),(24 3119411.8),(25 3371878),(26 3731075.8),(27 4051103.8),(28 4409172.5),(29 4754698.5),(30 5076185.5),(31 5425989.5),(32 5650046),(33 5904113.5),(34 6089268),(35 6245179.5),(36 6393233.5),(37 6573114.5),(38 6726618.5),(39 6893431.5),(40 7056246),(41 7213167.5),(42 7302340),(43 7365591.5),(44 7373498.5),(45 7360206),(46 7315501.5),(47 7214145.5),(48 7070381.5),(49 6896466.5),(50 6685775.5),(51 6488110),(52 6312979.5),(53 6199714),(54 6070516),(55 6007944),(56 5947950.5),(57 5934900),(58 5895694.5),(59 5905712.5),(60 5891684),(61 5871789.5),(62 5875838.5),(63 5811412.5),(64 5783760),(65 5784414.5),(66 5763920),(67 5747651.5),(68 5653299.5),(69 5624061.5),(70 5550359),(71 5488422.5),(72 5450941.5),(73 5421197.5),(74 5403980),(75 5408117.5),(76 5429833.5),(77 5478410.5),(78 5461153),(79 5425200.5),
(1 34088.61),(2 109426.36),(3 216876.97),(4 344588.8),(5 488270.75),(6 639908.25),(7 774472.5),(8 898927.3),(9 1011260),(10 1126732.9),(11 1429488.5),(12 1603295.1),(13 1776692.8),(14 1967288.8),(15 2095644),(16 2209385.5),(17 2329710.5),(18 2466844.5),(19 2617546.3),(20 2775003.3),(21 2972342.5),(22 3146207.8),(23 3319890.3),(24 3490148),(25 3678418.8),(26 3938535.5),(27 4215590.5),(28 4530081.5),(29 4846815),(30 5174093),(31 5505471),(32 5767098.5),(33 6042188.5),(34 6236761),(35 6393089.5),(36 6572533),(37 6707340),(38 6799181.5),(39 6924051),(40 7029608),(41 7121312),(42 7198156),(43 7267296),(44 7331150.5),(45 7355264),(46 7389198.5),(47 7401459),(48 7344453.5),(49 7261116),(50 7162108),(51 7048898.5),(52 6921579),(53 6809082.5),(54 6688511),(55 6591043),(56 6527096),(57 6488004.5),(58 6473798.5),(59 6515639),(60 6538276),(61 6584119),(62 6744867),(63 6655791),(64 6723884),(65 6738518.5),(66 6784039),(67 6765854.5),(68 6737073),(69 6727833.5),(70 6717733),(71 6681084.5),(72 6664462.5),(73 6676548),(74 6648359),(75 6638213.5),(76 6625369),(77 6601357),(78 6567107),(79 6501447),
(1 39207.957),(2 125793.914),(3 247423.23),(4 397004.25),(5 579905.06),(6 775790.25),(7 948280.8),(8 1110073.4),(9 1255573.9),(10 1397087.6),(11 1555526.1),(12 1678893.1),(13 1792564.6),(14 1938586.6),(15 2084362.5),(16 2240301.3),(17 2393460.3),(18 2564100.3),(19 2729478.5),(20 2864709),(21 2977132),(22 3064835.3),(23 3155118.3),(24 3240007),(25 3322448),(26 3427745.8),(27 3550739),(28 3720056),(29 3903518),(30 4085946),(31 4263307.5),(32 4427358),(33 4567538.5),(34 4703398),(35 4846311),(36 4975913.5),(37 5101994),(38 5235372.5),(39 5383345.5),(40 5547838),(41 5750088),(42 5977624),(43 6245273.5),(44 6495874.5),(45 6719733.5),(46 6944244),(47 7177219.5),(48 7372239.5),(49 7540790),(50 7643070.5),(51 7756488),(52 7867972),(53 7954135.5),(54 8039358),(55 8116125.5),(56 8205466.5),(57 8278384),(58 8407405),(59 8492001),(60 8590487),(61 8700603),(62 8861669),(63 8907184),(64 8956451),(65 8975590),(66 9009415),(67 9033385),(68 9027266),(69 9023720),(70 9072096),(71 9127040),(72 9200507),(73 9301578),(74 9411380),(75 9525179),(76 9627452),(77 9707069),(78 9749116),(79 9756350),
(1 34827.625),(2 115151.086),(3 228203.73),(4 370090.25),(5 536220.75),(6 710631.3),(7 877905.44),(8 1048953.5),(9 1200010.4),(10 1347000.5),(11 1534336.6),(12 1702880.5),(13 1879046.3),(14 2092793.8),(15 2319355.8),(16 2553085.3),(17 2764114.5),(18 2964349.3),(19 3129249),(20 3288319),(21 3380891.3),(22 3424940.3),(23 3448431),(24 3493203),(25 3537267.5),(26 3592593.8),(27 3685181),(28 3850932.5),(29 4069487),(30 4314110),(31 4526176),(32 4688048.5),(33 4794093.5),(34 4899619.5),(35 4950215),(36 5006458),(37 5076469.5),(38 5148829.5),(39 5255738),(40 5385724),(41 5551090.5),(42 5769266.5),(43 6025619.5),(44 6274718),(45 6540361),(46 6771015),(47 6989001),(48 7178002),(49 7351406),(50 7499326),(51 7653887),(52 7779434.5),(53 7925741.5),(54 8084389.5),(55 8221966),(56 8387900.5),(57 8560670),(58 8748078),(59 8975035),(60 9193587),(61 9441324),(62 9810360),(63 9951633),(64 10198368),(65 10411449),(66 10606828),(67 10771681),(68 10924503),(69 11135132),(70 11350708),(71 11554688),(72 11750939),(73 12000796),(74 12187180),(75 12392370),(76 12583828),(77 12762508),(78 12949778),(79 13123980),
(1 38533.746),(2 122911.53),(3 239535.64),(4 379191.22),(5 534539.5),(6 697224.25),(7 857923.44),(8 1023822.56),(9 1176225.6),(10 1329826.4),(11 1478347.1),(12 1624137.5),(13 1776309.3),(14 1962014.8),(15 2165969.3),(16 2387261.8),(17 2597450.5),(18 2797881),(19 2999536.3),(20 3189208.8),(21 3317311.8),(22 3429512.8),(23 3529976.8),(24 3645172.3),(25 3752557),(26 3888345.5),(27 4037277.5),(28 4227406),(29 4448925),(30 4675506),(31 4875961),(32 5044768),(33 5162912.5),(34 5276123),(35 5352971.5),(36 5439926),(37 5517982),(38 5572663.5),(39 5655757),(40 5725355.5),(41 5811878.5),(42 5918537.5),(43 6028892.5),(44 6147856),(45 6277792.5),(46 6385812.5),(47 6475674),(48 6575743.5),(49 6681406.5),(50 6771955),(51 6892478.5),(52 7004699.5),(53 7138250),(54 7297883.5),(55 7443478),(56 7612243),(57 7790022.5),(58 7992326.5),(59 8211230.5),(60 8439932),(61 8708793),(62 8995916),(63 9282809),(64 9574270),(65 9899888),(66 10170668),(67 10492127),(68 10796990),(69 11116759),(70 11457339),(71 11756893),(72 12074185),(73 12389850),(74 12697847),(75 13041075),(76 13411792),(77 13760026),(78 14157780),(79 14531779),
(1 36092.254),(2 117793.98),(3 228297.45),(4 359276.84),(5 498630.6),(6 648404.5),(7 807394.9),(8 982679.6),(9 1162955.3),(10 1351475.8),(11 1644787.8),(12 1893351.6),(13 2147449.5),(14 2431232.5),(15 2708855.5),(16 2985355.5),(17 3256007.5),(18 3505299.3),(19 3744729.3),(20 3972680.8),(21 4193246.5),(22 4415002.5),(23 4619120.5),(24 4811428),(25 4996078.5),(26 5173988),(27 5373027),(28 5597299),(29 5834077),(30 6078810.5),(31 6313423),(32 6498841.5),(33 6669032),(34 6860637),(35 7048825.5),(36 7263562.5),(37 7484509.5),(38 7723422.5),(39 7951147),(40 8181647),(41 8387545.5),(42 8609762),(43 8829356),(44 8988552),(45 9137013),(46 9251291),(47 9378224),(48 9506075),(49 9660272),(50 9857706),(51 10065851),(52 10279643),(53 10522766),(54 10772592),(55 10996310),(56 11215076),(57 11461506),(58 11716377),(59 11962899),(60 12188298),(61 12422998),(62 12757123),(63 12949046),(64 13191126),(65 13409246),(66 13677837),(67 13913462),(68 14141781),(69 14359414),(70 14580997),(71 14739678),(72 14878595),(73 15019786),(74 15104126),(75 15179027),(76 15221850),(77 15240800),(78 15293226),(79 15302976),
(1 36776.11),(2 121723.53),(3 238272.67),(4 377986.03),(5 530752.9),(6 695066.6),(7 860565.06),(8 1036904.4),(9 1201973.5),(10 1372181.1),(11 1593878.1),(12 1789260.9),(13 1980701.9),(14 2195063.8),(15 2391122.8),(16 2592791),(17 2777021.8),(18 2963621.8),(19 3136475.8),(20 3302949.5),(21 3453560.3),(22 3617896.5),(23 3769091.8),(24 3921026.5),(25 4078514.8),(26 4277327.5),(27 4490945),(28 4720308.5),(29 4962527),(30 5208639.5),(31 5447539),(32 5619179),(33 5777822),(34 5949246),(35 6118881),(36 6302604.5),(37 6482874),(38 6703986.5),(39 6925778.5),(40 7159398),(41 7367674.5),(42 7564185),(43 7750899.5),(44 7946589),(45 8128079),(46 8324239),(47 8523684),(48 8741039),(49 8971719),(50 9268052),(51 9565743),(52 9858278),(53 10194517),(54 10537778),(55 10857758),(56 11176539),(57 11507280),(58 11830482),(59 12144475),(60 12439644),(61 12727423),(62 12982287),(63 13326871),(64 13649873),(65 14010668),(66 14342596),(67 14712112),(68 14962222),(69 15209586),(70 15420230),(71 15559578),(72 15659490),(73 15737097),(74 15791135),(75 15851495),(76 15929642),(77 16018054),(78 16156732),(79 16302017),
(1 37564.27),(2 122010.99),(3 228623.97),(4 351283.56),(5 486095.8),(6 621843.1),(7 760605.2),(8 899604.7),(9 1028722.1),(10 1146314.9),(11 1282117.6),(12 1390357.4),(13 1496198.4),(14 1622202.4),(15 1753378.9),(16 1901825.9),(17 2039884),(18 2186075.8),(19 2317436),(20 2432449),(21 2509672.3),(22 2573803.3),(23 2639219.5),(24 2693043.8),(25 2754441.3),(26 2831722.5),(27 2912374.3),(28 3009852.3),(29 3130180.8),(30 3256718.8),(31 3382903.5),(32 3477539.3),(33 3563331.8),(34 3673772.8),(35 3782473.5),(36 3884802.5),(37 3981912.3),(38 4059163.5),(39 4122788.5),(40 4192393.5),(41 4244896),(42 4328510.5),(43 4419207.5),(44 4514921.5),(45 4626943),(46 4748124.5),(47 4870948.5),(48 5007307.5),(49 5134221.5),(50 5268736),(51 5382013),(52 5489643.5),(53 5604956.5),(54 5737999),(55 5850340.5),(56 5977751.5),(57 6095979.5),(58 6218473.5),(59 6358416.5),(60 6477899),(61 6603330),(62 6739405.5),(63 6875838),(64 6987989.5),(65 7085268.5),(66 7162268.5),(67 7271218),(68 7343303.5),(69 7415010.5),(70 7475569.5),(71 7535563.5),(72 7567812.5),(73 7596096.5),(74 7623418.5),(75 7665971),(76 7702617.5),(77 7727251),(78 7775853),(79 7810419.5),
(1 32581.191),(2 105172.32),(3 197088.22),(4 307642.25),(5 428458.25),(6 561499.56),(7 697285),(8 849792.3),(9 1007593.2),(10 1153898.5),(11 1341740.4),(12 1511049.5),(13 1679260.3),(14 1864817.6),(15 2060651.5),(16 2275935.5),(17 2487171.3),(18 2686847),(19 2869964.8),(20 3063468),(21 3257224.5),(22 3446010.8),(23 3639278),(24 3848231.5),(25 4061035.3),(26 4288974),(27 4495206.5),(28 4714605),(29 4926774.5),(30 5129731),(31 5342737),(32 5520849),(33 5700533.5),(34 5886355.5),(35 6043279),(36 6208029),(37 6388372.5),(38 6543981.5),(39 6707900.5),(40 6896182),(41 7077460),(42 7276633.5),(43 7439060),(44 7621661),(45 7786904.5),(46 7955140),(47 8107038),(48 8266626),(49 8399370),(50 8520365),(51 8642082),(52 8752602),(53 8869370),(54 9002163),(55 9144347),(56 9310548),(57 9449030),(58 9583450),(59 9725903),(60 9877931),(61 10025951),(62 10124721),(63 10275084),(64 10347653),(65 10420114),(66 10470959),(67 10537791),(68 10582456),(69 10611993),(70 10645113),(71 10665009),(72 10697918),(73 10692863),(74 10679485),(75 10664748),(76 10643768),(77 10576622),(78 10542577),(79 10475208),
(1 32307.955),(2 105960.625),(3 205385.52),(4 324924.5),(5 446622.97),(6 577772.1),(7 706222.75),(8 831142.4),(9 958934),(10 1083933.9),(11 1230868.6),(12 1361782.1),(13 1490881.8),(14 1627813.8),(15 1749685),(16 1870988.9),(17 1991627.1),(18 2100690.3),(19 2192636.5),(20 2271130.5),(21 2348090.3),(22 2434617.8),(23 2526327.3),(24 2618000),(25 2715463.3),(26 2837005.8),(27 2955992),(28 3091364),(29 3232603),(30 3379352),(31 3530581.8),(32 3662666.5),(33 3783492),(34 3907571.5),(35 4011149),(36 4099850.8),(37 4191139.5),(38 4268724),(39 4337077.5),(40 4403735.5),(41 4464362.5),(42 4519433.5),(43 4579933.5),(44 4615691.5),(45 4649414),(46 4676353),(47 4702627.5),(48 4751267),(49 4808682.5),(50 4863329),(51 4932311),(52 4987894),(53 5053925),(54 5112817),(55 5178623.5),(56 5246693),(57 5313723),(58 5382988),(59 5475930),(60 5586294.5),(61 5704787.5),(62 5869445.5),(63 6006573),(64 6161982),(65 6330122),(66 6488290),(67 6640506),(68 6764680),(69 6874217),(70 6963404.5),(71 7032833.5),(72 7101234),(73 7184420),(74 7271851.5),(75 7380958.5),(76 7504573.5),(77 7614519),(78 7764207),(79 7896258),
(1 34246.875),(2 116063.73),(3 224515.72),(4 357061.47),(5 493468.8),(6 639474.75),(7 780551.6),(8 931989.75),(9 1073624.1),(10 1216366.4),(11 1372084.8),(12 1531215.3),(13 1696949.4),(14 1877877),(15 2067268.3),(16 2259322.8),(17 2460201),(18 2661250.8),(19 2848939.8),(20 3017043.8),(21 3164354.3),(22 3322144.8),(23 3479651.8),(24 3630099.3),(25 3795202.8),(26 3979838),(27 4160790),(28 4360748),(29 4553033.5),(30 4731847),(31 4907216),(32 5049593),(33 5149822),(34 5246375),(35 5350826.5),(36 5456343),(37 5557074.5),(38 5661146.5),(39 5736476),(40 5807412),(41 5886604),(42 5969727),(43 6066596.5),(44 6152522.5),(45 6227348),(46 6296469.5),(47 6354513),(48 6440007.5),(49 6529552),(50 6625438.5),(51 6722399.5),(52 6807780.5),(53 6892462),(54 6985867.5),(55 7085629.5),(56 7171255),(57 7272020),(58 7357965),(59 7443645.5),(60 7526702),(61 7636584.5),(62 7739298),(63 7868353),(64 7969944.5),(65 8073545.5),(66 8171596),(67 8274916),(68 8360116),(69 8440220),(70 8504995),(71 8569293),(72 8626991),(73 8708656),(74 8826871),(75 8953451),(76 9107480),(77 9267842),(78 9447394),(79 9627622),
