q, (a, b, c)
1.5, (-572687895.4484252, 21.46678460237683, 437042477.767162)
2.5, (-450336941.0413035, 25.56700342424983, 361938872.8222402)
3.5, (-350637331.17680836, 54.105001870206934, 327267999.94967)
4.5, (-284492258.5127285, 27.660227594596012, 241689228.3708943)
5.5, (-157186107.74839434, 22.58694839993351, 131900085.54024625)
6.5, (-70406625.53088003, 10.800224792075232, 54655266.655756794)
7.5, (-56971188.18392793, 13.756257792578177, 47054821.6121025)
8.5, (-35419962.072964445, 7.072623013988873, 27574092.7733663)
9.5, (-29526847.28613429, 11.80267209060018, 26577482.085508402)
10.5, (-27219680.29547494, 16.259613219783052, 25951021.578102298)
11.5, (-21550168.27722304, 10.278654653492106, 19454421.120820366)
12.5, (-16856647.741829757, 10.70308786465285, 15780471.663242834)
13.5, (-13007423.289029626, 11.354174765159328, 13348018.075230978)
14.5, (-10779119.195712088, 10.095893193881272, 10643190.659562191)
15.5, (-6925930.499110167, 10.838277738789476, 7670411.50765084)
16.5, (-6861017.388364022, 7.164226039814134, 6864644.946179417)
17.5, (-5575016.032354049, 8.495052413219742, 5956547.204943208)
18.5, (-4846876.03795073, 8.948691425806096, 5258289.0274290005)
19.5, (-4318883.661286918, 8.970530793743347, 4645992.570861156)
20.5, (-3859633.445817342, 10.462090441370151, 4426810.3831756115)
21.5, (-3264428.032171757, 12.728202817516564, 3973151.178650321)
22.5, (-2849390.6244323114, 7.4298071754494535, 3254622.564480366)
23.5, (-2281667.591846449, 9.452803480008656, 3040809.0149248284)
24.5, (-1858052.8650729272, 9.329558053507645, 2597759.078035706)
25.5, (-1691364.2517573384, 13.634204427834675, 2565462.9315258777)
26.5, (-1371772.4636795262, 18.574170247431255, 2323861.6138974847)
27.5, (-1177471.5555493312, 20.930412395867805, 2200419.8472337327)
28.5, (-1032343.035508963, 14.434549946213009, 1878723.5735046903)
29.5, (-931087.0401904307, 10.948127702376098, 1594172.901362537)
30.5, (-877858.5385387149, 19.531430750814284, 1622410.948881196)
31.5, (-825367.2987050354, 17.016151143144306, 1468857.900370657)
32.5, (-855158.6100725675, 21.558875488022206, 1474395.5832064843)
33.5, (-848257.3830601911, 13.064876335259626, 1272703.0432060144)
34.5, (-808635.7800586247, 14.193886561720293, 1192955.9425094866)
35.5, (-793358.9887868295, 14.057293202506196, 1169941.5841727562)
36.5, (-693242.1336727223, 12.422144369069018, 1003222.9331120203)
37.5, (-705232.3715375818, 13.974801599254933, 1019347.5848977854)
38.5, (-612113.0880191054, 13.722393772306171, 895760.1306016821)
39.5, (-690290.3145587988, 20.706564612717056, 999405.5827682934)
40.5, (-640756.8259635498, 14.761071073368958, 894932.322222195)
41.5, (-691864.968041793, 14.754488551654886, 885726.9168495451)
42.5, (-570301.9646715551, 14.920734544516753, 785882.6159936304)
43.5, (-542047.0456744494, 11.22414316300916, 718211.8215869842)
44.5, (-523684.73647632333, 10.919154045764536, 685424.7138184718)
45.5, (-523487.8018119495, 13.511125077890517, 691885.1360209201)
46.5, (-495818.40333006455, 14.999458866212919, 663213.8263795744)
47.5, (-449253.1674333332, 14.422424767552243, 615755.5495489857)
48.5, (-401680.3531786755, 12.612441989778581, 540932.574037333)
49.5, (-395229.4914870531, 14.923083591817257, 537784.3805134994)
50.5, (-345382.0603540157, 17.403255258879447, 504470.2412128973)
51.5, (-319859.4454154504, 15.73710394775369, 467428.9638396033)
52.5, (-295151.95631398587, 14.299616466821673, 436378.37829860044)
53.5, (-273306.6856718199, 12.153550655661645, 402586.6581685337)
54.5, (-298499.4206072531, 14.086798859086842, 416331.28431028617)
55.5, (-281569.8372777099, 14.928716462711922, 406956.3677258069)
56.5, (-284025.56289044535, 14.007124469902427, 397797.77785492566)
57.5, (-273023.0277298585, 14.461459189007435, 383332.75350654806)
58.5, (-255661.47175549247, 13.139937510941985, 357747.53336786566)
59.5, (-232558.601843313, 15.004455754628355, 344248.0268715888)
60.5, (-210904.54409555136, 15.35199524400261, 319448.06706348446)
61.5, (-204398.08805562326, 15.197205588880989, 312421.18046053057)
62.5, (-221375.9117560071, 21.9834394103478, 331717.1563955599)
63.5, (-201506.94168226424, 16.618953741145006, 296752.41257093364)
64.5, (-199461.12058157224, 19.90375735060382, 295359.43178888405)
65.5, (-174501.67864638648, 19.584407217871913, 267870.3436007166)
66.5, (-179226.93154906438, 22.76846704920252, 275624.3637495047)
67.5, (-157087.26119672536, 21.27397895845889, 250581.166815181)
68.5, (-139519.6410923576, 18.184946077969773, 223946.3172847834)
69.5, (-146939.53332630004, 24.110601914287525, 237237.46209152305)
70.5, (-166446.74038505155, 25.957609108777916, 248199.3644921148)
71.5, (-165343.96776351912, 27.00792273388299, 247959.08361216303)
72.5, (-180954.92609601872, 35.18697612168075, 262412.4638325322)
73.5, (-154940.81909860423, 28.97457743802173, 232720.8242618061)
74.5, (-145692.10018332064, 32.90143486282874, 227120.2008269393)
75.5, (-159764.0851865288, 41.0376996760846, 239599.30319257925)
76.5, (-123923.16703651466, 25.49102090987094, 199466.38607982756)
77.5, (-144019.39676250427, 35.76087366366108, 215728.2589556788)
78.5, (-128674.33370380089, 39.84370622417775, 205963.72099321464)
79.5, (-147066.8680300495, 42.38434521480624, 215100.25497881032)
80.5, (-139682.69093325958, 40.91712057505924, 206036.62291057553)
81.5, (-137664.4167512511, 47.69445422800488, 207864.09023324793)
82.5, (-128879.2776041678, 38.798179690286325, 192659.35080161717)
83.5, (-136338.7579047249, 39.89228328419428, 197746.9153523901)
84.5, (-114449.74044028812, 34.15678874677574, 172105.8532503615)
85.5, (-125508.25794462656, 35.212562312719534, 178394.8916645893)
86.5, (-118762.2444559397, 33.22020750953543, 169165.73107190756)
87.5, (-112860.02960204241, 27.712057728676527, 159231.0992837784)
88.5, (-104254.45348292276, 25.22151880481469, 148568.06852214687)
89.5, (-98446.64835555138, 23.121585003754994, 138555.18080988995)
90.5, (-89796.59686945178, 21.196471167981215, 129110.44072780153)
91.5, (-93167.20819199846, 21.812594224526492, 131035.94274715503)
92.5, (-94953.80321678183, 21.88817148710133, 129786.65143585022)
93.5, (-94991.9225771701, 24.682803923854923, 130440.78485980417)
94.5, (-98195.47248175496, 24.549171909377495, 131483.65601819754)
95.5, (-86927.94055918232, 25.479678392940627, 122445.49703663886)
96.5, (-82321.51825591286, 26.524491344484005, 116785.74371586395)
97.5, (-77117.21254467913, 27.595745860040886, 112025.97085039785)
98.5, (-69574.65759045165, 29.978440422370163, 105958.56482523138)
99.5, (-73559.51163578057, 24.353636762319574, 104678.43999054645)
100.5, (-74687.71195457767, 31.214136222293195, 108325.71156654284)
101.5, (-67221.05450457027, 23.08345868181436, 96716.70526924692)
102.5, (-65699.52073400337, 26.579532381585416, 96124.20067769196)
103.5, (-66951.88308921816, 24.019805739684838, 95253.21360744665)
104.5, (-62020.54872285776, 20.41851696355905, 88035.99728071516)
105.5, (-57081.263978419454, 23.02763354603284, 85747.04435846175)
106.5, (-55775.243635103, 24.04609225308434, 83024.33234354701)
107.5, (-52046.725021358594, 23.5696110289811, 79721.1727963989)
108.5, (-50934.075573134716, 21.065604724659995, 76694.53913233233)
109.5, (-55370.543383466545, 24.0523188969666, 80210.81368852091)
110.5, (-45484.67108187607, 22.30544730196766, 70888.067519603)
111.5, (-52749.50152032228, 25.6132171089321, 76910.86549423057)
112.5, (-47709.98554076977, 22.146563896526455, 70487.64123023032)
113.5, (-48626.4240868424, 20.313184020897356, 69257.81458250919)
114.5, (-49454.19235332316, 24.67074170312582, 70531.77254652152)
115.5, (-51130.83158168097, 22.25848621429055, 70152.03230425225)
116.5, (-49221.95776399964, 22.05602140504544, 68264.91569683157)
117.5, (-49894.467509100534, 21.077951524694978, 67444.05221004921)
118.5, (-45863.00826838317, 20.683997092648116, 62834.91334489354)
119.5, (-46217.784957055155, 21.59862924368516, 62180.47285544059)
120.5, (-44154.95806677083, 19.001975216296206, 59338.40670440083)
121.5, (-43194.508232383494, 19.0093344881959, 58000.083822988054)
122.5, (-40689.08313890865, 19.17704830846891, 55702.21061514699)
123.5, (-37367.73351774968, 16.62092113529135, 51020.754936070865)
124.5, (-38539.29390106884, 18.77449159053845, 52544.43394781498)
125.5, (-38257.023153690774, 17.73274593033597, 51645.2261215421)
126.5, (-34785.81797645761, 16.65166892864554, 48646.60729647837)
127.5, (-33126.2378397287, 17.1681501432687, 46585.06605515808)
128.5, (-34212.35891640513, 18.307438872257727, 47307.84469299877)
129.5, (-36534.279220896715, 21.725526894721135, 49926.24849494698)
130.5, (-35072.1553142252, 19.19321631331148, 47062.35107648566)
131.5, (-34616.37613521281, 22.620270648089633, 48337.07541894735)
132.5, (-33410.5189420102, 22.038112659127876, 46628.04199963047)
133.5, (-30434.01068528773, 19.631731415408794, 42965.272969382655)
134.5, (-30512.3514876976, 21.057808719428806, 43414.91427924204)
135.5, (-28984.90165068174, 20.648992924118488, 40560.22406084238)
136.5, (-27435.67409597492, 19.813187613954504, 39173.449568393946)
137.5, (-28151.831154534004, 21.658130784947105, 39602.68785602527)
138.5, (-29195.29473731451, 21.958206624318244, 39979.868474773364)
139.5, (-24398.27865303362, 20.68611805880172, 35821.106769022175)
140.5, (-26497.747089420714, 23.53011355246986, 37561.21409840691)
141.5, (-25922.155376681952, 24.96461819729882, 37117.81432499425)
142.5, (-26862.044818344555, 26.471503170005093, 37620.05997665074)
143.5, (-26116.951726184714, 27.2162889708495, 36822.932759991614)
144.5, (-24019.143383027073, 25.03096994619034, 34416.38629648314)
145.5, (-24282.699317477975, 26.00849243381186, 34296.71310606262)
146.5, (-24068.066968439234, 20.787010285457598, 33248.73914687345)
147.5, (-25918.441721264557, 23.25468104489531, 34682.27346100933)
148.5, (-23610.192643889397, 21.455122347869278, 32467.223500573695)
149.5, (-22113.152283335938, 19.944525789015977, 30557.348870212765)
150.5, (-20540.12375475238, 19.86013254151059, 29041.86533735359)
151.5, (-19507.582042708997, 18.984559289244746, 27952.276507610673)
152.5, (-19980.604117622028, 20.407654033789928, 27963.16064715318)
153.5, (-18972.85404200781, 20.31485110300681, 26964.609997621694)
154.5, (-18459.149234999262, 20.36800239194295, 26197.3558413317)
155.5, (-18427.907439676004, 18.710875022147853, 25719.68225845908)
156.5, (-18340.144141095403, 21.340337723900348, 25820.30989918774)
157.5, (-18947.049899298607, 18.922823123009206, 25447.781706392107)
158.5, (-17754.504814672226, 17.26743038802729, 24222.68649429968)
159.5, (-18244.470804673725, 20.854556167689193, 24484.510099995605)
160.5, (-16629.329251770054, 18.923175419425032, 23040.439621170626)
161.5, (-17392.32102676524, 20.276745325960594, 23237.1639083239)
162.5, (-17655.703796006263, 18.87818171080442, 23344.20157083704)
163.5, (-17659.62307023222, 18.756481630072894, 23299.232571424465)
164.5, (-16679.889441546726, 21.813174715810124, 22687.27596820225)
165.5, (-15426.237303902346, 22.172014669983056, 21510.230728249688)
166.5, (-15755.105545703662, 22.403700181072068, 21358.440236879855)
167.5, (-15009.62664316452, 22.836915702613084, 20694.5504193662)
168.5, (-13536.40209832154, 21.311050883943437, 19130.13776924827)
169.5, (-14718.812502020884, 23.176664542050183, 19943.605634548796)
170.5, (-13420.127980468413, 20.51320285108013, 18549.50055347829)
171.5, (-14156.634216144837, 20.801798092912385, 18974.247636333028)
172.5, (-12807.884485004306, 19.96070572519949, 17717.595412672395)
173.5, (-13000.752499258066, 18.192138115215837, 17389.305918143582)
174.5, (-12200.168345573355, 19.646647650400205, 16872.857224555682)
175.5, (-12245.273010994868, 18.295904252381728, 16529.42373524955)
176.5, (-11741.750122548654, 19.07316125651082, 16052.015313289989)
177.5, (-10345.917341532495, 16.231667688282062, 14505.9041676079)
178.5, (-11003.945191456743, 16.813673433650404, 14772.264949299823)
179.5, (-10760.199575279756, 16.112241956594552, 14522.465434964826)
180.5, (-10300.576665584296, 15.200435437794091, 13691.487053164996)
181.5, (-11013.016201230475, 16.80541581495269, 14374.921777574467)
182.5, (-9273.104139681283, 15.412272559029526, 12706.641619475013)
183.5, (-10353.435571781409, 16.294946526357243, 13469.212178636863)
184.5, (-9895.662006755654, 14.317624187252287, 12836.36196444883)
185.5, (-9652.892929034371, 14.520261784892014, 12435.018814220217)
186.5, (-9094.139434240396, 15.251685797476688, 12040.54482076322)
187.5, (-8283.343133142514, 15.374068499810322, 11310.277849929942)
188.5, (-8934.823190292638, 16.789481054715605, 11899.215560483346)
189.5, (-7870.248827112547, 14.14164153170334, 10699.816228849357)
190.5, (-8898.657302148738, 15.833002281671137, 11481.574942277572)
191.5, (-8067.41921476766, 15.469088089605401, 10832.7398427948)
192.5, (-7737.9415499180695, 15.148781962160657, 10456.257711337612)
193.5, (-7310.891914500945, 14.311005998051312, 9966.734100720352)
194.5, (-6891.20886577801, 13.135611617293565, 9445.460092585614)
195.5, (-7043.042939477056, 13.053704232033347, 9470.669331070922)
196.5, (-6454.957528884133, 12.11938290729839, 8939.102570950254)
197.5, (-6138.3318593138365, 12.325497044978434, 8659.407092808377)
198.5, (-6436.7816719443335, 12.949151649731107, 8833.462371044105)
199.5, (-5931.853120965912, 10.86283001320733, 8156.535627141645)
200.5, (-5869.680597049032, 12.14115591352337, 8122.7317282695285)
201.5, (-5783.44005316527, 12.360319712443735, 8095.256127664816)
202.5, (-5773.6958570488805, 11.92630371614181, 7959.576327455606)
203.5, (-5453.265722751339, 12.213795631256444, 7550.69606403781)
204.5, (-5332.875687792038, 11.762817076844222, 7431.050827258388)
205.5, (-5441.572276681214, 11.794956907808626, 7370.663331127611)
206.5, (-4977.528551506903, 11.854646685536942, 7120.599242526991)
207.5, (-5301.599751545261, 11.674050329389152, 7218.099020774103)
208.5, (-4962.948133856136, 11.82146073940811, 6775.3218135715915)
209.5, (-4889.438866984578, 11.144320614301748, 6703.2736866145215)
210.5, (-4996.869894631103, 12.528859662592726, 6817.977553950855)
211.5, (-4585.677150387564, 10.552986632530521, 6221.289940846275)
212.5, (-4638.149856945625, 11.244168359556411, 6303.5964752867185)
213.5, (-4220.055720879602, 11.327874241472351, 5962.878927527894)
214.5, (-4346.810813406424, 10.193853647313915, 5815.6908458535945)
215.5, (-4376.4494702568645, 10.68905962402639, 5880.119128080857)
216.5, (-4071.4019847191526, 10.167400591190745, 5537.122720818469)
217.5, (-4187.717817050324, 10.266138791992852, 5549.469148242264)
218.5, (-4113.542146826587, 10.480413682767056, 5503.258683183983)
219.5, (-3980.0892585070446, 10.013219034219908, 5248.1639080592295)
220.5, (-3983.0062714693017, 10.365635929429036, 5185.49794231493)
221.5, (-3805.2015855347086, 9.720126047569654, 5011.18698169929)
222.5, (-3737.7261312802284, 10.548978875636784, 4953.909273059173)
223.5, (-3478.4842539439833, 9.518285990235686, 4703.549240894151)
224.5, (-3393.212718282632, 10.007370161054789, 4541.861544340855)
225.5, (-3406.432980956011, 8.57368800238835, 4495.859377385107)
226.5, (-3264.547014213917, 9.513203568874523, 4391.500386968553)
227.5, (-3182.4972395449463, 10.360773281943214, 4333.119777706615)
228.5, (-2894.2156415203103, 9.75662108179634, 4037.7241451131817)
229.5, (-2816.54630901357, 10.115709180262108, 3947.6654390560716)
230.5, (-2837.7874627113974, 9.38590294397802, 3899.5985264396236)
231.5, (-2715.1415085047047, 9.898324643292677, 3741.9801592966273)
232.5, (-2654.7818609051087, 9.354610403758363, 3650.983489895646)
233.5, (-2540.381352345147, 8.935364153757464, 3488.028262906068)
234.5, (-2527.244133156924, 9.429699282148212, 3410.3743746558307)
235.5, (-2555.6607607744654, 9.793461657421455, 3477.9731387203124)
236.5, (-2494.5553904306557, 9.077909307414245, 3372.856866684443)
237.5, (-2449.8585748318865, 8.853982142563956, 3280.1529639092964)
238.5, (-2374.068024909616, 9.458533127458153, 3236.146496699776)
239.5, (-2266.1233634743253, 9.596568554791682, 3103.979182201182)
240.5, (-2213.8865238235444, 9.475643084131054, 3059.5919614349796)
241.5, (-2147.5129220524673, 7.81928560900897, 2882.48396353495)
242.5, (-2098.261768810061, 8.304886361971647, 2859.7140391979037)
243.5, (-2166.913182019853, 8.081890978177142, 2852.4353281374583)
244.5, (-2149.210899651836, 8.299923337579738, 2807.626147134605)
245.5, (-2137.141800965428, 7.79162608162314, 2764.307818870888)
246.5, (-2060.2196305144644, 8.175785397903638, 2688.0993230317667)
247.5, (-1966.0726501936517, 7.993511135030564, 2610.5260106705878)
248.5, (-1980.698261835664, 7.754673668471954, 2626.4964245190463)
249.5, (-1969.5738112707813, 7.963340627650254, 2569.4066147646354)
250.5, (-1963.7476081944424, 7.473539281263861, 2505.1807015798117)
251.5, (-1881.2242451749082, 7.126829856464614, 2423.2724249009575)
252.5, (-1820.511035766485, 7.174611145582137, 2349.8513436703843)
253.5, (-1768.985465513256, 7.0338740774574875, 2296.882526843044)
254.5, (-1658.8322648633534, 7.539540825122372, 2204.724987587401)
255.5, (-1659.3993572479767, 7.4361536176203265, 2181.665977177607)
256.5, (-1635.2662472350544, 7.231400705632313, 2139.6573827861193)
