q, (a, b, c)
1.5, (-12004471068.655184, 482400.3536042995, 12004424600.476673)
2.5, (-4108410982.8098774, 212818.77661191768, 4108398584.3427367)
3.5, (-36044469314.34542, 737799.9599445624, 36044067722.95881)
4.5, (-13943951.003499465, 198.7361361791696, 13645907.33746258)
5.5, (-11793261.947561966, 117.17155911701832, 11378184.831560899)
6.5, (-4418901.392058967, 36.63043930730316, 3956514.3552168785)
7.5, (-2263967.938625579, 19.386809266470657, 1867219.8230026453)
8.5, (-1649198.91724971, 20.09164178815763, 1410767.7427082541)
9.5, (-1408179.706788177, 18.842672540591625, 1237160.3845939431)
10.5, (-1561148.086110729, 19.258947157316545, 1369051.1133636143)
11.5, (-1563490.4196939769, 21.51567034169858, 1413854.3103196349)
12.5, (-1588587.6112260022, 19.09719978886246, 1378024.9358863349)
13.5, (-1553458.398826603, 15.302674672665146, 1285077.6092569446)
14.5, (-1554142.1414146689, 22.953398116477327, 1418393.8528518134)
15.5, (-1950066.4498217981, 23.54817688030645, 1727193.28708971)
16.5, (-1814552.8152185054, 27.90342429371091, 1638775.8108679075)
17.5, (-1519946.5162481386, 29.62069686873915, 1432669.149643262)
18.5, (-1996928.7493954808, 66.79946235093733, 2042071.8672366028)
19.5, (-1277722.9471550018, 31.23633850486997, 1248380.968020125)
20.5, (-1238288.309475765, 27.11655200242815, 1187017.127971081)
21.5, (-1465069.081370745, 36.39814869282266, 1437132.5340332198)
22.5, (-5806310.696824515, 302.6024055276259, 5924457.483466632)
23.5, (-1559893.2981712432, 57.798385316070835, 1622607.5893386)
24.5, (-1877424.706592997, 78.58702044986393, 1904890.1883164616)
25.5, (-1207933.5519768612, 32.83235399889597, 1185926.5524358335)
26.5, (-985609.1919881715, 27.154647054438495, 945934.4692577568)
27.5, (-945772.3455498669, 36.15494505400359, 967012.2793735929)
28.5, (-827769.839153886, 15.14709464631206, 743648.5815236864)
29.5, (-815654.314609064, 17.625018715935344, 729514.0044590909)
30.5, (-813266.8910034104, 25.77313627850601, 768521.7287495061)
31.5, (-719069.8666581792, 19.44918038782863, 680779.0172848024)
32.5, (-749725.7516230382, 26.980777779784486, 753421.0657685035)
33.5, (-685051.4276773718, 20.831944984386066, 650965.5426823638)
34.5, (-701982.3680921206, 24.105002839515546, 686774.662427123)
35.5, (-804282.728478561, 38.31745023112981, 821836.4984312253)
36.5, (-720141.3126525258, 17.87969029797206, 650260.5569752924)
37.5, (-698672.8025287815, 17.245612743876773, 626775.5332624189)
38.5, (-655903.913909338, 14.12800640248146, 573218.9303644667)
39.5, (-620684.4608806657, 19.07205914822435, 581057.6458369581)
40.5, (-582886.7498067056, 15.154700329139203, 517033.8978375933)
41.5, (-510872.38202250877, 27.362062335642204, 528459.3657817505)
42.5, (-471938.84543129645, 13.958690053011612, 422658.3147088269)
43.5, (-485616.92664714286, 16.905569405408016, 461869.8409405934)
44.5, (-533471.4364627359, 21.007878042372443, 513508.5280896698)
45.5, (-468121.6206688972, 16.600529370939313, 445703.6624827204)
46.5, (-397696.7008436944, 16.72229625497049, 391370.4637971678)
47.5, (-448032.8380965409, 18.706866614449584, 433828.7612215876)
48.5, (-427718.67893925763, 15.107998446390155, 395456.7358630585)
49.5, (-400460.83351472125, 21.20460869045216, 399775.85397292743)
50.5, (-344994.5829626233, 17.403205811034894, 337794.8099499282)
51.5, (-344685.6381166682, 12.16355683156493, 313644.04584205366)
52.5, (-321150.81677750486, 16.67517534123606, 318132.2251455197)
53.5, (-318481.3745583682, 19.358654319907107, 326734.3294825402)
54.5, (-338331.06324309274, 20.67450973622817, 344832.2517826796)
55.5, (-323767.0017963233, 22.094093820014045, 337064.1367757388)
56.5, (-310765.89195717726, 20.956325265969486, 322660.7074356622)
57.5, (-295313.79509919795, 18.16161209052459, 289508.34310147114)
58.5, (-283620.60208934045, 23.491025584495244, 302249.35117816355)
59.5, (-275021.5416292768, 22.15668192974619, 287501.54501505016)
60.5, (-258314.73253535328, 13.399588671902912, 244362.5108405917)
61.5, (-255520.7979688103, 12.506540618218542, 229313.52057424703)
62.5, (-288658.9231725843, 11.114710516723832, 246737.92076729608)
63.5, (-259387.08649854935, 17.690811494925054, 254043.69042000372)
64.5, (-244342.7962356171, 16.408354952119353, 236085.17460386234)
65.5, (-234206.24011597337, 16.0828897683992, 225856.90942004108)
66.5, (-238333.7339432756, 17.175583680820957, 235626.5878117459)
67.5, (-220617.90440825114, 23.1655698784263, 233118.36915991292)
68.5, (-218598.43374624368, 24.680903715074408, 232705.10266301868)
69.5, (-189193.64287765665, 16.63639773337045, 191313.58537448634)
70.5, (-208922.2509823843, 17.96049019061284, 211059.70622773957)
71.5, (-227238.0318411399, 16.857551679354913, 222157.8747631207)
72.5, (-216149.20727499432, 13.933938874962267, 201288.98566927828)
73.5, (-206560.96172110294, 17.023095422267385, 201381.80018909246)
74.5, (-197861.58402042385, 15.75582549531254, 190033.94762041053)
75.5, (-185861.1263687935, 18.734447670310136, 185456.01704720702)
76.5, (-173010.2043736574, 19.449183063617973, 179626.98208923996)
77.5, (-172867.4979247858, 15.194254997955312, 170186.95702393417)
78.5, (-167770.43554337643, 15.184415554310572, 164648.146695967)
79.5, (-167224.87509959735, 18.536238822979136, 172199.124488576)
80.5, (-151958.9583593579, 18.6830057022367, 158664.96985022983)
81.5, (-164723.45195738645, 22.44084915056482, 172246.8532639095)
82.5, (-145378.86109688543, 22.611672358643542, 156026.11920493178)
83.5, (-148286.78952189934, 16.413839318944735, 148443.3022774464)
84.5, (-134132.27628657897, 17.214283206119156, 139064.04014047832)
85.5, (-132847.1487867059, 24.33906225463216, 147019.5703653182)
86.5, (-125653.32783586631, 16.54044877713744, 129461.3064076367)
87.5, (-122125.88933975386, 24.379262461868052, 135851.7682673239)
88.5, (-120224.04645271893, 20.553059463862922, 130135.25094577154)
89.5, (-124103.67523711023, 16.539619940939474, 128115.3826453132)
90.5, (-114795.10912805506, 17.359027179471738, 122555.1422689751)
91.5, (-113497.89420620214, 17.69892573735891, 120653.38205011767)
92.5, (-110143.47515467815, 13.2172538559007, 108711.90438064566)
93.5, (-103447.56383601647, 13.21681595347096, 103776.06162255707)
94.5, (-104608.5828986272, 17.763091257030048, 111365.07903573725)
95.5, (-95338.72891996294, 17.9836959335116, 102937.04282610868)
96.5, (-102936.29921887603, 21.694665634017962, 112678.5793441972)
97.5, (-98330.99727877519, 23.63915014436901, 107640.82263040333)
98.5, (-102099.47698871595, 21.815673742239188, 108294.7276635663)
99.5, (-95702.67795918052, 18.971503104856325, 102094.27461163895)
100.5, (-87370.49375854945, 18.843486576093323, 95628.3296270283)
101.5, (-88886.10643109978, 20.860054921100044, 96297.8257905534)
102.5, (-91284.8903224705, 20.778921871354388, 98780.24846388964)
103.5, (-85687.08683936812, 24.38326807791998, 98976.69223108573)
104.5, (-82031.54818936643, 23.821739366040873, 93480.96512922978)
105.5, (-81047.2769126729, 20.648491154915423, 89357.42467313271)
106.5, (-80264.13420057477, 18.70522053079296, 87808.82331892125)
107.5, (-81044.61096174813, 22.44896449129525, 89947.05066541994)
108.5, (-82671.54853118357, 26.469995715145664, 92207.36675866539)
109.5, (-78494.14988188383, 17.091434714703603, 82036.13108852874)
110.5, (-81024.69377768083, 19.2305364704915, 85166.63640314154)
111.5, (-78087.4462773624, 23.253497057022287, 85884.4599753088)
112.5, (-79027.88491831032, 27.551910420537972, 87483.0384253441)
113.5, (-69343.9994225223, 18.90409066127196, 74503.53227017711)
114.5, (-64131.15415105337, 16.770993557462234, 68599.57784204783)
115.5, (-63033.12638182073, 21.757727764212017, 71403.90191665103)
116.5, (-65880.79877558407, 19.448052866753912, 72492.81490396595)
117.5, (-68429.75977231743, 18.374268486663897, 73934.97503682062)
118.5, (-61506.37351192694, 17.26907582080936, 65259.15520940483)
119.5, (-60345.75602011535, 22.972583455436666, 68100.1580711262)
120.5, (-52588.21339924599, 16.937800163191017, 58181.735950304224)
121.5, (-53725.121888830174, 19.43778919579418, 60410.56575657167)
122.5, (-54770.335482858114, 23.590928945016014, 63167.785007481405)
123.5, (-53364.36556380273, 18.166902829990363, 58777.975706879384)
124.5, (-54794.57793609293, 28.492772451163372, 64897.957465743464)
125.5, (-50563.3154134257, 19.341833136058728, 56925.57993163134)
126.5, (-49587.443749100275, 21.092313621057276, 57528.588125109076)
127.5, (-51918.47707859188, 23.001366559308778, 60143.2633670378)
128.5, (-50868.13050807613, 16.640491058555394, 55147.477194989624)
129.5, (-51120.703341990484, 14.80928673411413, 53434.23722414533)
130.5, (-45229.062854277065, 17.981335650804507, 49946.58259386893)
131.5, (-45153.72117801632, 12.52636469957167, 46588.55716068521)
132.5, (-42763.048002821066, 16.409206978075396, 46244.58621370868)
133.5, (-44469.26259274936, 21.176699993296676, 50296.14654729044)
134.5, (-43885.00149146407, 17.29497390722002, 48083.84057850963)
135.5, (-42483.25900814572, 20.60421029660158, 47813.145656514775)
136.5, (-42136.10552092407, 22.021135593416826, 47910.22207946634)
137.5, (-40612.330363151734, 17.80572038069392, 44653.20140400613)
138.5, (-39393.43002600729, 19.91238647389217, 44183.11080229125)
139.5, (-39236.69991426174, 19.770383000374466, 43740.56362093166)
140.5, (-39096.90118244254, 21.41449958870572, 44647.28264191954)
141.5, (-36193.97785546653, 16.084321059407785, 39866.64115916316)
142.5, (-34425.56926980399, 15.329047445684681, 37762.01868738626)
143.5, (-34353.86808997559, 14.694395629257931, 36835.39636662865)
144.5, (-33292.130421733076, 14.260904099226693, 35727.66897746773)
145.5, (-29263.912905277066, 18.875690932025982, 35263.977104026795)
146.5, (-30759.789111229442, 20.93563355836759, 36897.492987236714)
147.5, (-31671.97312667594, 15.576498694917422, 35257.9885864084)
148.5, (-29252.529835253503, 15.905013429271454, 33470.183881189805)
149.5, (-29692.782062324794, 19.734527015391688, 34638.28253885986)
150.5, (-27513.020595959864, 17.184933253417846, 32192.749266520867)
151.5, (-29834.112610297016, 15.951322506807411, 33392.273719989564)
152.5, (-27218.879545517906, 15.892576076875857, 30998.14647333787)
153.5, (-26587.62158347625, 19.68894903072214, 31170.50145778499)
154.5, (-26579.09582546976, 17.939937865315624, 30150.72689828837)
155.5, (-27802.241441336446, 19.389717312418444, 31804.06254772248)
156.5, (-25687.594420090147, 15.702463835731477, 29228.374951720387)
157.5, (-24840.910832554728, 14.348446619858173, 27698.46153143109)
158.5, (-25854.820622033058, 14.380148769633031, 28073.722151619186)
159.5, (-24883.994944422077, 17.623762574037293, 28021.354552007553)
160.5, (-24213.227938396667, 18.911045026337018, 27735.732937731846)
161.5, (-22881.43670517299, 18.665454174835375, 26635.61395027707)
162.5, (-22682.781422409826, 14.096208445186482, 24898.078968512724)
163.5, (-22496.964825051407, 15.139381091987994, 24993.489892421767)
164.5, (-21797.40168339442, 15.202982297166791, 24502.62930894126)
165.5, (-21115.317031665978, 16.314829941838394, 24293.556793795706)
166.5, (-21501.221118798232, 17.43837159106913, 24581.06370495938)
167.5, (-19101.89681191673, 19.106426319859338, 23191.308806097873)
168.5, (-20365.64056807141, 18.394092467441332, 23709.05128484648)
169.5, (-19456.720891964524, 19.186227287126215, 22724.530209585446)
170.5, (-19381.060587308835, 16.219910597694195, 22034.691131665917)
171.5, (-18401.883002056733, 14.125077380243692, 20814.975818955165)
172.5, (-18461.40535589299, 15.544867956250574, 21254.45808921165)
173.5, (-18693.63485870467, 15.206094276037721, 21153.04726443121)
174.5, (-18249.067085552466, 15.255002846558371, 20562.41460417844)
