1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 593453.94),(2 950048.44),(3 998595.7),(4 2030403),(5 2780571.8),(6 3026946.3),(7 4125187.3),(8 4949871),(9 5065904.5),(10 6050705.5),(11 6645439.5),(12 6639856),(13 7521234.5),(14 8094774.5),(15 8071955.5),(16 8886381),(17 9493634),(18 9443013),(19 10290120),(20 10894497),(21 10880333),(22 11806005),(23 12433465),(24 12400719),(25 13332564),(26 14006139),(27 14051208),(28 14959291),(29 15575796),(30 15611368),(31 16392444),(32 17196360),(33 17445462),(34 18408126),(35 19522938),(36 19887472),(37 20989826),(38 22327468),(39 22576120),(40 23577866),(41 24712608),(42 24951878),(43 25735282),(44 26581290),(45 26631234),(46 27188072),(47 27940566),(48 27846744),(49 28315498),(50 28921614),(51 28706810),(52 29054448),(53 29653334),(54 29394182),(55 29797208),(56 30334018),(57 30028634),(58 30318678),(59 30733766),(60 30384646),(61 30454838),(62 30928976),(63 30641046),(64 30661050),(65 31272346),(66 31088202),(67 31307088),(68 32161750),(69 32166554),(70 32366256),(71 33169702),(72 33171994),(73 33487926),(74 34427744),(75 34730188),(76 35134624),(77 36400444),(78 37262580),(79 38032268),
(1 499495.4),(2 886321.8),(3 1123446.8),(4 2209019.3),(5 3080535.5),(6 3756408),(7 5106343),(8 6100013.5),(9 6821253.5),(10 8121881.5),(11 9114886),(12 9925350),(13 11345173),(14 12474050),(15 13391823),(16 14950989),(17 16317264),(18 17488438),(19 19283220),(20 20891814),(21 22208436),(22 24015690),(23 25662660),(24 26981184),(25 28698918),(26 30143462),(27 31225830),(28 32740800),(29 34078050),(30 35126004),(31 36449748),(32 37681656),(33 38549780),(34 39843910),(35 41193212),(36 42142932),(37 43529332),(38 45012508),(39 46074536),(40 47648810),(41 49243784),(42 50349160),(43 51799296),(44 53365492),(45 54495628),(46 55906344),(47 57673376),(48 58993720),(49 60631624),(50 62561064),(51 63953110),(52 65550260),(53 67388350),(54 68493704),(55 69810160),(56 71359340),(57 72477940),(58 73717384),(59 75300180),(60 76311400),(61 77437976),(62 78873200),(63 79543610),(64 80247144),(65 81335870),(66 81884370),(67 82543640),(68 83694260),(69 84288020),(70 84925550),(71 86190450),(72 86865740),(73 87554470),(74 88508670),(75 89124344),(76 89732584),(77 90895220),(78 91528560),(79 91981060),
(1 312543.34),(2 729968.8),(3 1211485.9),(4 2171248.8),(5 3131878.3),(6 4055109.3),(7 5304129.5),(8 6447694.5),(9 7469622.5),(10 8727530),(11 9935060),(12 11076730),(13 12470512),(14 13837477),(15 15140424),(16 16782906),(17 18506004),(18 20137488),(19 22042026),(20 24009594),(21 25729176),(22 27582650),(23 29489952),(24 31078024),(25 32834726),(26 34460380),(27 35746376),(28 37173996),(29 38592300),(30 39727484),(31 40849628),(32 41980284),(33 42803756),(34 43695450),(35 44666180),(36 45342124),(37 46011970),(38 46721164),(39 47141150),(40 47574716),(41 48036500),(42 48104268),(43 48329108),(44 48624668),(45 48686708),(46 48836100),(47 49283924),(48 49516364),(49 49844750),(50 50450244),(51 50892084),(52 51465440),(53 52515710),(54 53258188),(55 53962900),(56 55029984),(57 55739920),(58 56365612),(59 57289332),(60 57840852),(61 58350190),(62 59215188),(63 59695940),(64 60019280),(65 60721004),(66 60984910),(67 61010316),(68 61441460),(69 61390304),(70 61119020),(71 61171348),(72 60801684),(73 60170080),(74 59749564),(75 58891788),(76 57821470),(77 57042050),(78 56016532),(79 54822590),
(1 176263.42),(2 529627.8),(3 1031173.56),(4 1808108.6),(5 2664655),(6 3579539.5),(7 4673943),(8 5773618),(9 6912560),(10 8184434.5),(11 9460779),(12 10728418),(13 12114576),(14 13472043),(15 14801020),(16 16279257),(17 17723504),(18 19161796),(19 20708452),(20 22192924),(21 23591628),(22 25143098),(23 26627764),(24 28093628),(25 29707576),(26 31175740),(27 32628424),(28 34140984),(29 35479596),(30 36804590),(31 38080556),(32 39180148),(33 40310732),(34 41447630),(35 42558070),(36 43664670),(37 44830444),(38 45789920),(39 46788292),(40 47844544),(41 48750080),(42 49636590),(43 50531852),(44 51162524),(45 51643256),(46 52151640),(47 52485308),(48 52702000),(49 52967890),(50 53066450),(51 53112852),(52 53325452),(53 53560870),(54 53936064),(55 54377596),(56 54685492),(57 55030492),(58 55397344),(59 55656124),(60 55847570),(61 56126356),(62 56413584),(63 56532200),(64 56811700),(65 57099250),(66 57441520),(67 57934748),(68 58466668),(69 59044708),(70 59792776),(71 60536020),(72 61326536),(73 62257692),(74 62981548),(75 63536584),(76 64123264),(77 64489976),(78 64653770),(79 64835556),
(1 208762.5),(2 652756.7),(3 1310916.8),(4 2237176.8),(5 3283415),(6 4444194),(7 5724022.5),(8 7041990),(9 8372891.5),(10 9762346),(11 11217634),(12 12711671),(13 14288963),(14 15911793),(15 17526664),(16 19204026),(17 20934716),(18 22717548),(19 24596998),(20 26494392),(21 28390452),(22 30411610),(23 32401640),(24 34330116),(25 36346210),(26 38343388),(27 40362430),(28 42455560),(29 44518988),(30 46627236),(31 48668610),(32 50596156),(33 52628164),(34 54570064),(35 56452540),(36 58375756),(37 60321724),(38 62204644),(39 64201216),(40 66167948),(41 68039450),(42 69811976),(43 71494740),(44 72980830),(45 74210100),(46 75378310),(47 76406830),(48 77270470),(49 78054040),(50 78715130),(51 79254056),(52 79813336),(53 80476080),(54 81101080),(55 81663440),(56 82030904),(57 82281480),(58 82447810),(59 82528680),(60 82388936),(61 82252510),(62 82017680),(63 81550050),(64 81107180),(65 80615384),(66 80016510),(67 79492040),(68 78979350),(69 78454880),(70 77975864),(71 77445040),(72 76817440),(73 76202400),(74 75334250),(75 74253510),(76 73154510),(77 71942300),(78 70630000),(79 69501080),
(1 199613.88),(2 605411.2),(3 1223502),(4 2070392.4),(5 2991636.5),(6 4051188.8),(7 5183707),(8 6321434.5),(9 7510101),(10 8721131),(11 9976334),(12 11351700),(13 12842315),(14 14485242),(15 16219325),(16 18036236),(17 19908282),(18 21890474),(19 23966762),(20 26089684),(21 28376564),(22 30779318),(23 33198954),(24 35679732),(25 38222910),(26 40760520),(27 43351052),(28 45987650),(29 48610490),(30 51335370),(31 54080360),(32 56761064),(33 59561600),(34 62315616),(35 64988532),(36 67640370),(37 70258870),(38 72830456),(39 75501950),(40 78163950),(41 80644120),(42 82994830),(43 85145390),(44 87017940),(45 88801450),(46 90499060),(47 91963810),(48 93307950),(49 94607544),(50 95740980),(51 96905540),(52 97890110),(53 98652216),(54 99304470),(55 99848720),(56 100244440),(57 100529430),(58 100532590),(59 100350930),(60 100061360),(61 99667144),(62 99041280),(63 98205090),(64 97299850),(65 96228740),(66 95041310),(67 93840090),(68 92421464),(69 90836820),(70 89174024),(71 87373460),(72 85548136),(73 83802180),(74 82071380),(75 80221680),(76 78500310),(77 76706024),(78 74709140),(79 72977330),
(1 157492.64),(2 479751.22),(3 966375.94),(4 1639249.4),(5 2377003),(6 3220623.8),(7 4124277.5),(8 5034910),(9 6037675),(10 7065055),(11 8146853.5),(12 9281526),(13 10433186),(14 11693087),(15 12971116),(16 14293696),(17 15656375),(18 17029898),(19 18446442),(20 19944384),(21 21512984),(22 23176714),(23 24879948),(24 26616796),(25 28411396),(26 30210216),(27 32045866),(28 33869980),(29 35590980),(30 37229510),(31 38803244),(32 40214044),(33 41587156),(34 42946136),(35 44193550),(36 45440364),(37 46691730),(38 47767424),(39 48871516),(40 49942450),(41 50810930),(42 51593360),(43 52237732),(44 52705812),(45 53133732),(46 53455020),(47 53626376),(48 53739480),(49 53726990),(50 53584212),(51 53465790),(52 53234940),(53 52985810),(54 52783804),(55 52643304),(56 52475816),(57 52345064),(58 52117932),(59 51842084),(60 51671356),(61 51488936),(62 51149804),(63 50789076),(64 50435176),(65 49946148),(66 49401116),(67 48873636),(68 48216504),(69 47576520),(70 46876380),(71 46066536),(72 45311350),(73 44649852),(74 43928490),(75 43322004),(76 42854572),(77 42373340),(78 41942710),(79 41614070),
(1 167464.56),(2 520327.84),(3 1064160.8),(4 1797085.3),(5 2626372),(6 3584062.3),(7 4612432.5),(8 5662720),(9 6805711),(10 8009904),(11 9230880),(12 10534470),(13 11863630),(14 13216582),(15 14615802),(16 16026494),(17 17448348),(18 18866858),(19 20271214),(20 21593310),(21 22939322),(22 24207838),(23 25488526),(24 26816150),(25 27989922),(26 29003636),(27 29992824),(28 30816696),(29 31568278),(30 32250902),(31 32772958),(32 33168806),(33 33467500),(34 33624740),(35 33734460),(36 33821970),(37 33808436),(38 33676564),(39 33592976),(40 33339778),(41 33013786),(42 32675972),(43 32297638),(44 32021030),(45 31771414),(46 31440436),(47 31143270),(48 30859240),(49 30551032),(50 30268318),(51 29980450),(52 29680902),(53 29397594),(54 29175692),(55 28970926),(56 28757210),(57 28590114),(58 28417058),(59 28258262),(60 28143102),(61 28116638),(62 28062472),(63 28110806),(64 28200764),(65 28260856),(66 28328972),(67 28419012),(68 28466894),(69 28573760),(70 28660524),(71 28746564),(72 28828296),(73 28952940),(74 29074282),(75 29310858),(76 29589748),(77 29825394),(78 30108818),(79 30370286),
(1 185141.58),(2 564362.94),(3 1153588.8),(4 1938101.9),(5 2790580.8),(6 3750773.8),(7 4762542.5),(8 5763332.5),(9 6762465),(10 7724718),(11 8628224),(12 9517383),(13 10407380),(14 11316104),(15 12207906),(16 13072580),(17 13928286),(18 14707961),(19 15438637),(20 16114419),(21 16739593),(22 17325666),(23 17904816),(24 18431966),(25 18895408),(26 19353862),(27 19757850),(28 20120518),(29 20516512),(30 20876326),(31 21242744),(32 21677474),(33 22089506),(34 22443764),(35 22825810),(36 23125808),(37 23412516),(38 23652744),(39 23947792),(40 24213452),(41 24448776),(42 24683370),(43 24964504),(44 25284326),(45 25643084),(46 25969938),(47 26314756),(48 26630626),(49 26905156),(50 27148022),(51 27365880),(52 27535206),(53 27699268),(54 27828164),(55 28022408),(56 28275824),(57 28600958),(58 28944148),(59 29343966),(60 29779120),(61 30250936),(62 30731842),(63 31228782),(64 31699528),(65 32153096),(66 32564080),(67 32868778),(68 33064316),(69 33171494),(70 33178730),(71 33155200),(72 33101068),(73 33017942),(74 32930914),(75 32855824),(76 32726490),(77 32539572),(78 32308868),(79 31981606),
(1 178192.58),(2 568566.8),(3 1170314.3),(4 1961717.4),(5 2847359),(6 3831573.3),(7 4875892),(8 5974939.5),(9 7091642),(10 8233182),(11 9362705),(12 10443852),(13 11520098),(14 12578452),(15 13599851),(16 14598290),(17 15567820),(18 16491300),(19 17362418),(20 18186080),(21 18961618),(22 19663656),(23 20294788),(24 20866760),(25 21357362),(26 21761212),(27 22064972),(28 22310790),(29 22512758),(30 22641512),(31 22770748),(32 22884408),(33 23018560),(34 23138764),(35 23246238),(36 23347792),(37 23434356),(38 23485778),(39 23508228),(40 23506532),(41 23437798),(42 23351656),(43 23311414),(44 23273090),(45 23261706),(46 23244680),(47 23221724),(48 23201696),(49 23176608),(50 23190718),(51 23260658),(52 23335982),(53 23480366),(54 23693386),(55 23935152),(56 24214502),(57 24534748),(58 24868516),(59 25257128),(60 25677974),(61 26096120),(62 26543106),(63 27060618),(64 27517182),(65 28012048),(66 28591108),(67 29126530),(68 29631434),(69 30126280),(70 30546322),(71 30902698),(72 31187080),(73 31443534),(74 31623922),(75 31717368),(76 31760164),(77 31734250),(78 31689110),(79 31624846),
(1 236981.58),(2 691760.25),(3 1381567.3),(4 2277419.3),(5 3212299.5),(6 4264206.5),(7 5320361),(8 6418258),(9 7547557.5),(10 8655511),(11 9781604),(12 10915736),(13 11984427),(14 13027373),(15 14016892),(16 14880801),(17 15700864),(18 16445628),(19 17124158),(20 17758968),(21 18375728),(22 18888984),(23 19355150),(24 19772814),(25 20114922),(26 20382480),(27 20577616),(28 20739504),(29 20878126),(30 21043384),(31 21176950),(32 21283124),(33 21456618),(34 21645348),(35 21848000),(36 22104842),(37 22403596),(38 22685214),(39 23040032),(40 23394116),(41 23697878),(42 24025392),(43 24321656),(44 24590412),(45 24815732),(46 24960248),(47 25076688),(48 25130002),(49 25106898),(50 25038242),(51 24884364),(52 24683576),(53 24458896),(54 24202438),(55 23921186),(56 23681896),(57 23441130),(58 23178552),(59 22951786),(60 22736640),(61 22525584),(62 22311250),(63 22081094),(64 21887028),(65 21775218),(66 21763218),(67 21772078),(68 21858944),(69 21987582),(70 22193968),(71 22468288),(72 22748894),(73 23083512),(74 23423404),(75 23717252),(76 23977156),(77 24217392),(78 24388280),(79 24504922),
