q, (a, b, c)
1.5, (-854660332.2599862, 480.92651643877423, 852478614.3265512)
2.5, (-1822479046256.3325, 1085041.5872919725, 1822467614854.777)
3.5, (-316282868.2883097, 89.75967297733773, 308678487.4698938)
4.5, (-139194161.7370797, 20.599094734183208, 117542928.99439514)
5.5, (-84175153.91257787, 22.617407037175564, 77693844.36110608)
6.5, (-115551888.73388329, 29.012320955715403, 102109252.3778438)
7.5, (-71302365.20087884, 24.651107510598184, 64057893.43489489)
8.5, (-64660530.904065795, 22.166510123306686, 55600676.87617888)
9.5, (-53834627.68325651, 19.92842421407319, 47220238.25392538)
10.5, (-57520726.475953914, 14.790746304788788, 47433627.58175989)
11.5, (-41649025.280672476, 6.926079386151426, 29957188.56770225)
12.5, (-28584815.919671737, 8.943022193712796, 22076191.393907335)
13.5, (-29675798.455778196, 6.890480661183234, 21462917.561826147)
14.5, (-32061123.838971466, 6.820203544115588, 22795460.31614213)
15.5, (-29693012.050240315, 6.3897439790055905, 21172084.784768015)
16.5, (-24625007.96226352, 5.296367710755465, 16932080.03836175)
17.5, (-16835633.15380842, 7.427175937641136, 13080621.163538191)
18.5, (-15782661.94712225, 5.842049864002233, 11664399.119044652)
19.5, (-11784604.760859964, 6.874993744013763, 9440596.112169825)
20.5, (-11061006.302926078, 6.550259491395013, 8576147.546108501)
21.5, (-10173979.589184046, 4.401024555726776, 7119771.2624927545)
22.5, (-8498285.998987764, 6.170251834998012, 6797496.951926597)
23.5, (-7197662.362618115, 5.597916195197974, 5731682.776675682)
24.5, (-6432358.055006906, 4.9247863531004725, 4922544.182948208)
25.5, (-5844182.51539299, 5.009051116992697, 4526840.931433035)
26.5, (-5870905.938969422, 4.461523866134899, 4395123.326630925)
27.5, (-4773609.805570791, 4.86927269104533, 3845832.2502242327)
28.5, (-4602641.274949941, 5.650471854990936, 3835481.8250031304)
29.5, (-4276665.87325636, 4.480929042786693, 3297235.230271765)
30.5, (-3842198.7450026614, 5.486797800738281, 3345781.6483310508)
31.5, (-3134625.7291778685, 5.60540345426301, 2708223.7667277562)
32.5, (-2887052.2958857086, 5.4818925553371844, 2569469.8419904104)
33.5, (-2804553.838964266, 4.135519909918794, 2254660.2245970215)
34.5, (-2651908.376550557, 3.7772263776876116, 2059198.5865057402)
35.5, (-2579528.2793800454, 3.859185199574662, 2015439.2058319028)
36.5, (-2512051.4801782235, 3.621126244000363, 1932566.819686602)
37.5, (-2225865.314721252, 3.7924248223836057, 1781401.7292346288)
38.5, (-1948382.4154363503, 4.174651088607681, 1619496.7543753462)
39.5, (-1924387.3914016054, 3.37220774499232, 1506534.6213911565)
40.5, (-1809868.247322069, 3.400263606310694, 1450616.567475481)
41.5, (-1798837.3322334043, 3.029595563792536, 1375069.305830861)
42.5, (-1775070.6418139779, 3.0444141035513503, 1359247.0221204008)
43.5, (-1520920.853560308, 3.120236888719761, 1189353.6368443961)
44.5, (-1441337.6195045905, 3.260837989975928, 1154059.9194951125)
45.5, (-1307790.3709841424, 3.2220479563071804, 1044555.2955090418)
46.5, (-1230158.0251389774, 3.2899601827453604, 1015100.2886166046)
47.5, (-1169374.9793545569, 3.031512574011254, 946319.2795168544)
48.5, (-1314536.625035984, 2.0566950842693954, 883130.2376786503)
49.5, (-1170444.5673752178, 2.4840073668010185, 882793.6139938901)
50.5, (-1100212.4465148442, 2.5350892647932874, 837504.3401391046)
51.5, (-1092381.9169361182, 2.2441475598425775, 778583.4300723718)
52.5, (-983209.7805842069, 2.617396192854262, 767885.9124095315)
53.5, (-1012980.1184401801, 2.316852358092945, 735820.1441250934)
54.5, (-890361.0804626653, 2.730599511794896, 710086.5165951452)
55.5, (-719260.954496886, 3.6243189778358054, 666388.737551877)
56.5, (-666872.6436186724, 3.7247661684116498, 635391.8469026806)
57.5, (-645018.0695462527, 3.110694519533388, 575170.0172002491)
58.5, (-736723.2500413827, 2.173140815935929, 541688.3386090457)
59.5, (-690513.2671304464, 2.3077506000615085, 534408.8798865731)
60.5, (-676597.9815715723, 2.1341930710168895, 504260.8319814903)
61.5, (-657060.6773029119, 2.0910914744803937, 474480.4137293399)
62.5, (-555900.5341730237, 2.486781261421272, 463619.34772168484)
