1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 157997.39),(2 509896.34),(3 959434.5),(4 1548864.4),(5 2248060.3),(6 3001210.3),(7 3911723),(8 5004230.5),(9 6214766.5),(10 7556591.5),(11 8916731),(12 10168290),(13 11407123),(14 12653709),(15 13837299),(16 14858169),(17 15757131),(18 16639456),(19 17492446),(20 18321624),(21 19208888),(22 20099256),(23 21036274),(24 21915994),(25 22757178),(26 23585234),(27 24347978),(28 25027144),(29 25616062),(30 26089318),(31 26402534),(32 26618816),(33 26825406),(34 27012558),(35 27275882),(36 27636320),(37 28207578),(38 29174518),(39 30332384),(40 31840200),(41 33642620),(42 35646480),(43 37660428),(44 39804880),(45 41872060),(46 44103396),(47 46176396),(48 48020076),(49 49891668),(50 51754292),(51 53600156),(52 55779188),(53 58058224),(54 60587124),(55 63165536),(56 65784124),(57 68299816),(58 70651080),(59 72657370),(60 74246870),(61 75806344),(62 77342350),(63 78606450),(64 80078216),(65 81393030),(66 82775530),(67 84012664),(68 85002280),(69 85955224),(70 86948424),(71 87937150),(72 88998230),(73 89820510),(74 90413144),(75 90925290),(76 91230040),(77 91425570),(78 91647896),(79 91965720),
(1 210478.13),(2 801451.4),(3 1720238.8),(4 2921404.5),(5 4337926.5),(6 5894030.5),(7 7660760),(8 9541968),(9 11508611),(10 13619277),(11 15706998),(12 17706388),(13 19640146),(14 21572436),(15 23416874),(16 25123462),(17 26540006),(18 27781606),(19 29016676),(20 30113722),(21 31199482),(22 32166756),(23 33013622),(24 33835756),(25 34571896),(26 35226412),(27 35884280),(28 36550616),(29 37157870),(30 37691130),(31 38200470),(32 38735530),(33 39277990),(34 39852628),(35 40472424),(36 41122344),(37 41972864),(38 43213470),(39 44700670),(40 46566290),(41 48763064),(42 51185388),(43 53790004),(44 56489504),(45 59135496),(46 61974068),(47 64808030),(48 67309540),(49 69764230),(50 72205544),(51 74486530),(52 77008376),(53 79748420),(54 82755870),(55 85946560),(56 89280020),(57 92636420),(58 95941144),(59 98772200),(60 101265330),(61 103653780),(62 105901380),(63 107934540),(64 110111060),(65 112219520),(66 114440940),(67 116603710),(68 118448536),(69 120207230),(70 121920270),(71 123630910),(72 125172140),(73 126581550),(74 127878056),(75 129151980),(76 130270080),(77 131258540),(78 132095870),(79 133177870),
(1 178877.95),(2 668714.25),(3 1441853.6),(4 2441407.8),(5 3673229.3),(6 5091442.5),(7 6689948.5),(8 8529180),(9 10527706),(10 12584288),(11 14736987),(12 16988246),(13 19284290),(14 21617838),(15 23960238),(16 26336218),(17 28608614),(18 30844880),(19 33104462),(20 35314476),(21 37469844),(22 39451450),(23 41285780),(24 42936556),(25 44468124),(26 45884980),(27 47189332),(28 48455028),(29 49530700),(30 50393492),(31 51084308),(32 51709570),(33 52251244),(34 52651776),(35 52979828),(36 53224864),(37 53372160),(38 53537748),(39 53718530),(40 53970270),(41 54272612),(42 54674252),(43 55151884),(44 55805420),(45 56492610),(46 57391844),(47 58410510),(48 59460370),(49 60567348),(50 61748564),(51 62829636),(52 63971260),(53 65322612),(54 66756324),(55 68222104),(56 69935190),(57 71747880),(58 73667210),(59 75490984),(60 77290340),(61 79105400),(62 80930950),(63 82820500),(64 84651830),(65 86482900),(66 88362184),(67 90197510),(68 91831900),(69 93273500),(70 94667870),(71 96000960),(72 97287610),(73 98512810),(74 99750300),(75 100963370),(76 102073340),(77 103084390),(78 103806980),(79 104563850),
(1 348855.63),(2 1365476.5),(3 3002380.5),(4 5190363.5),(5 7879401),(6 10978006),(7 14392972),(8 18079246),(9 21933564),(10 25853028),(11 29696278),(12 33519534),(13 37246044),(14 40890050),(15 44365560),(16 47622868),(17 50520110),(18 53089144),(19 55393810),(20 57542190),(21 59524692),(22 61210000),(23 62721876),(24 64038016),(25 65230864),(26 66239788),(27 67139660),(28 67857880),(29 68496020),(30 68996580),(31 69419820),(32 69702030),(33 69922504),(34 70008990),(35 70113820),(36 70227544),(37 70286410),(38 70467280),(39 70658650),(40 70928750),(41 71364600),(42 72099740),(43 73112520),(44 74337680),(45 75690680),(46 77343580),(47 79127840),(48 80852264),(49 82550930),(50 84137310),(51 85660504),(52 87139740),(53 88664900),(54 90128990),(55 91515970),(56 92933590),(57 94482430),(58 96063920),(59 97610744),(60 99163096),(61 100887000),(62 102847710),(63 104971390),(64 106905944),(65 108567256),(66 110163570),(67 111672960),(68 112977720),(69 114247900),(70 115538260),(71 116820010),(72 118130330),(73 119254104),(74 120418560),(75 121518960),(76 122236930),(77 122665670),(78 122842150),(79 122843250),
(1 337969.1),(2 1335420.9),(3 2963779),(4 5161138),(5 7906366.5),(6 11085492),(7 14612890),(8 18520072),(9 22679982),(10 26933204),(11 31109888),(12 35218560),(13 39200716),(14 43024516),(15 46588336),(16 49893108),(17 52853324),(18 55408664),(19 57611264),(20 59500310),(21 61071410),(22 62266770),(23 63226470),(24 64036096),(25 64651908),(26 65127620),(27 65545600),(28 65795790),(29 66035812),(30 66161476),(31 66347764),(32 66610510),(33 67003280),(34 67448344),(35 68021560),(36 68814860),(37 69710030),(38 70648620),(39 71581530),(40 72387630),(41 73218020),(42 74170460),(43 75106200),(44 76029490),(45 76885784),(46 77705200),(47 78419630),(48 78926720),(49 79253840),(50 79268344),(51 79043620),(52 78648060),(53 78156376),(54 77543416),(55 76860610),(56 76187440),(57 75715070),(58 75274370),(59 74964330),(60 74705200),(61 74623310),(62 74793760),(63 75253240),(64 75795384),(65 76385784),(66 76952930),(67 77577170),(68 78223220),(69 78929704),(70 79710056),(71 80591360),(72 81513990),(73 82466170),(74 83462910),(75 84532770),(76 85554630),(77 86361400),(78 87071976),(79 87640630),
(1 280549.72),(2 1071589.4),(3 2306094.8),(4 3910754.8),(5 5814138.5),(6 7888873.5),(7 10130861),(8 12596238),(9 15185662),(10 17872426),(11 20512616),(12 22941110),(13 25159354),(14 27198932),(15 29094906),(16 30723796),(17 32177072),(18 33350612),(19 34335480),(20 35117144),(21 35734024),(22 36095896),(23 36328616),(24 36417210),(25 36391948),(26 36320200),(27 36247000),(28 36084068),(29 35961760),(30 35870636),(31 35936636),(32 36133504),(33 36441616),(34 36782536),(35 37232224),(36 37721790),(37 38239824),(38 38868424),(39 39484404),(40 40063200),(41 40667468),(42 41281090),(43 41847960),(44 42388480),(45 42953630),(46 43515930),(47 44123924),(48 44924460),(49 45792824),(50 46628180),(51 47461140),(52 48265420),(53 48976950),(54 49641320),(55 50293416),(56 50874856),(57 51458130),(58 51943896),(59 52349324),(60 52700708),(61 53056988),(62 53340890),(63 53697090),(64 54039976),(65 54460972),(66 54894156),(67 55236948),(68 55572896),(69 56009984),(70 56610710),(71 57298324),(72 58100480),(73 58840810),(74 59505972),(75 60250090),(76 60937064),(77 61561228),(78 62112950),(79 62673900),
(1 191786.6),(2 729574.94),(3 1588108),(4 2714369.5),(5 4045412),(6 5618858),(7 7390726),(8 9338552),(9 11460337),(10 13675110),(11 15946734),(12 18085374),(13 20105788),(14 21999918),(15 23760812),(16 25323348),(17 26617794),(18 27651754),(19 28455458),(20 29062220),(21 29520384),(22 29768508),(23 29912524),(24 29913504),(25 29796118),(26 29557366),(27 29243924),(28 28961852),(29 28676950),(30 28396904),(31 28154518),(32 27966626),(33 27875382),(34 27904632),(35 28002616),(36 28243394),(37 28619676),(38 29191670),(39 29861428),(40 30588608),(41 31425774),(42 32333560),(43 33318524),(44 34379264),(45 35575240),(46 36828972),(47 38177292),(48 39526196),(49 40827116),(50 42017624),(51 43049708),(52 43926040),(53 44565228),(54 44978324),(55 45190940),(56 45259420),(57 45172630),(58 45053820),(59 44853430),(60 44671596),(61 44594628),(62 44595748),(63 44696004),(64 44862764),(65 45122510),(66 45475960),(67 45835280),(68 46267640),(69 46736856),(70 47216724),(71 47720420),(72 48221564),(73 48665864),(74 49107900),(75 49438290),(76 49792970),(77 50304572),(78 50784388),(79 51477784),
(1 184848.73),(2 695806.75),(3 1517397.1),(4 2592442.3),(5 3858060.3),(6 5260647.5),(7 6734469),(8 8286737),(9 9898133),(10 11518201),(11 13171328),(12 14752261),(13 16284979),(14 17775748),(15 19189500),(16 20523384),(17 21752892),(18 22901498),(19 23929984),(20 24794986),(21 25543748),(22 26217356),(23 26903748),(24 27477820),(25 28044850),(26 28520410),(27 28900320),(28 29247592),(29 29535356),(30 29718562),(31 29874048),(32 29988256),(33 30131834),(34 30288476),(35 30467386),(36 30754318),(37 31159794),(38 31670354),(39 32277350),(40 32987866),(41 33864996),(42 34912536),(43 36024830),(44 37149310),(45 38299956),(46 39418110),(47 40541136),(48 41586764),(49 42661870),(50 43684404),(51 44666156),(52 45574836),(53 46328960),(54 46915652),(55 47329500),(56 47599304),(57 47761204),(58 47783244),(59 47725340),(60 47623284),(61 47400880),(62 46991156),(63 46429060),(64 45784092),(65 44984744),(66 44167024),(67 43411044),(68 42657660),(69 41872132),(70 41059070),(71 40283840),(72 39487060),(73 38689476),(74 37934220),(75 37258430),(76 36595868),(77 36098628),(78 35651536),(79 35433924),
(1 250819.7),(2 952919.2),(3 2061465.4),(4 3501848.5),(5 5182691.5),(6 7039931),(7 8991428),(8 10957752),(9 12881486),(10 14697817),(11 16399531),(12 17957096),(13 19342990),(14 20556194),(15 21596200),(16 22469594),(17 23254936),(18 23896344),(19 24413428),(20 24730182),(21 24914642),(22 25034002),(23 25145942),(24 25291938),(25 25475358),(26 25753636),(27 26034308),(28 26292384),(29 26609588),(30 26931400),(31 27281708),(32 27555980),(33 27807952),(34 28009874),(35 28197180),(36 28387730),(37 28597004),(38 28789042),(39 29024826),(40 29292752),(41 29586048),(42 29841810),(43 30073120),(44 30368690),(45 30684772),(46 31083798),(47 31525850),(48 31949478),(49 32435120),(50 33029666),(51 33679924),(52 34341948),(53 35026150),(54 35733610),(55 36314550),(56 36767692),(57 37051256),(58 37112950),(59 36972370),(60 36658200),(61 36124764),(62 35438324),(63 34698130),(64 33909200),(65 33114854),(66 32368120),(67 31724300),(68 31222020),(69 30922312),(70 30677100),(71 30538806),(72 30485274),(73 30483676),(74 30528580),(75 30573114),(76 30554480),(77 30480026),(78 30424686),(79 30393178),
(1 232877.42),(2 878997.2),(3 1866266.6),(4 3123985),(5 4551169),(6 6076113),(7 7633385),(8 9220112),(9 10821129),(10 12409654),(11 13950112),(12 15438892),(13 16818538),(14 18081010),(15 19201496),(16 20188074),(17 21044790),(18 21798786),(19 22467258),(20 22996568),(21 23377174),(22 23690566),(23 23943022),(24 24199128),(25 24498464),(26 24848734),(27 25202936),(28 25583304),(29 26028654),(30 26477420),(31 26879318),(32 27185366),(33 27400086),(34 27485320),(35 27482924),(36 27372620),(37 27110808),(38 26713074),(39 26231662),(40 25699502),(41 25123330),(42 24503166),(43 23944726),(44 23477658),(45 23111722),(46 22884786),(47 22801340),(48 22802802),(49 22927624),(50 23126754),(51 23368530),(52 23670520),(53 24042762),(54 24507932),(55 24997344),(56 25456030),(57 25909056),(58 26395912),(59 26821896),(60 27179140),(61 27458076),(62 27744164),(63 28032050),(64 28310414),(65 28575112),(66 28732968),(67 28736684),(68 28642652),(69 28483840),(70 28205878),(71 27837042),(72 27454996),(73 27035136),(74 26575252),(75 26107756),(76 25603118),(77 25067654),(78 24508988),(79 23860312),
(1 223405.33),(2 834240.4),(3 1758676.8),(4 2928344.5),(5 4253659.5),(6 5699544.5),(7 7197154.5),(8 8714511),(9 10200454),(10 11585660),(11 12785099),(12 13784627),(13 14551458),(14 15150351),(15 15659928),(16 16114199),(17 16536636),(18 16966070),(19 17430284),(20 17952452),(21 18456496),(22 18933894),(23 19406448),(24 19887770),(25 20360562),(26 20814736),(27 21223274),(28 21599698),(29 21958782),(30 22327834),(31 22680784),(32 22959190),(33 23181308),(34 23338658),(35 23458794),(36 23528460),(37 23470162),(38 23331962),(39 23111006),(40 22787780),(41 22365598),(42 21841954),(43 21327830),(44 20909086),(45 20618106),(46 20426892),(47 20326620),(48 20223560),(49 20100364),(50 19927056),(51 19680970),(52 19445120),(53 19252478),(54 19154424),(55 19105100),(56 19137660),(57 19279586),(58 19491370),(59 19776046),(60 20062626),(61 20329772),(62 20568038),(63 20808796),(64 21064114),(65 21270348),(66 21408982),(67 21467176),(68 21459704),(69 21367736),(70 21211132),(71 20993036),(72 20719916),(73 20402014),(74 20033216),(75 19627158),(76 19196690),(77 18771482),(78 18285292),(79 17820476),
