q, (a, b, c)
1.5, (-12668583.438456038, 5.950381974360141, 8886296.550554639)
2.5, (-401562322444.98926, 1172021.955165577, 401560025840.8988)
3.5, (-771020896596.4547, 2050080.1079695942, 771018278985.517)
4.5, (-68696062037.6232, 404367.23514995945, 68699174135.24748)
5.5, (-16111792.231644211, 48.08110977989728, 17217231.263934724)
6.5, (-14049136.231151422, 18.03004443550652, 12374208.516068213)
7.5, (-13886000.116800962, 43.908893708824046, 15134234.272963323)
8.5, (-9620272.63904519, 17.275999455559333, 9609129.997621922)
9.5, (-15585477.125197988, 25.937305728896067, 14924332.968145192)
10.5, (-33338220.042216297, 182.75135160020284, 35554314.26753363)
11.5, (-93158735952.21043, 532480.6794255974, 93159245020.03778)
12.5, (-9746136.800332185, 11.518370326858891, 7936431.050947922)
13.5, (-9902116.647922311, 26.160602500264297, 9613077.595527979)
14.5, (-12893064.13566164, 44.07945557141961, 12862760.479118159)
15.5, (-11283978.919961814, 56.961736445381334, 11527548.00281818)
16.5, (-10409940.520630486, 35.67361167322397, 10161171.873078581)
17.5, (-9858416.479461588, 33.53342688659245, 9682655.865349876)
18.5, (-12127047.285604447, 55.1999931754895, 11820416.490184419)
19.5, (-22556142.138416097, 176.53830822531881, 23252232.26760147)
20.5, (-8967450.710281018, 36.532358304683676, 8921466.760110915)
21.5, (-7209666.457073978, 40.15614529355524, 7531450.611098364)
22.5, (-25714596273.79503, 312326.9617068504, 25715209996.56142)
23.5, (-20782326.697550178, 204.74199253307876, 21307633.38589167)
24.5, (-14584900.680453865, 132.42368221593657, 14818345.623040482)
25.5, (-11743132.86785591, 101.99098749320349, 11854601.329616768)
26.5, (-6887098.443375221, 60.94028424884643, 6959257.136842839)
27.5, (-6109579.715573636, 46.10811339214849, 6128809.18419056)
28.5, (-8347723.321796044, 97.73678503653093, 8777131.470710345)
29.5, (-38500867.154449776, 635.3125445048662, 39121939.431924045)
30.5, (-10257410.647017967, 140.55339850094788, 10572046.329883063)
31.5, (-10595291.286169117, 174.41404298909603, 11040449.602164539)
32.5, (-6290006.020521137, 112.43954653016092, 6665718.345551247)
33.5, (-6060633.2070792625, 82.63418280242756, 6180384.947485386)
34.5, (-4780810.250032076, 63.693609020647344, 5023016.736459008)
35.5, (-3977336.600031992, 54.562565644922444, 4150702.2003244488)
36.5, (-6648331.250011795, 152.32921698065948, 6966719.661655542)
37.5, (-2747512.031271691, 42.51275485553203, 2917247.20795249)
38.5, (-5313808.755954039, 109.68212759593014, 5544975.790402026)
39.5, (-3483207.1123635303, 66.57606948056511, 3719517.0941406707)
40.5, (-3749946.252892009, 90.29455604460075, 3986275.6203817716)
41.5, (-2581307.019129682, 42.1314559638663, 2689166.599096333)
42.5, (-2937926.075776161, 50.74603095161523, 3012967.74833982)
43.5, (-3110737.734299146, 66.20800552877485, 3265572.174639767)
44.5, (-3864334.7193064955, 77.72883956737509, 4000904.1253908863)
45.5, (-3642935.223857056, 93.96810363159771, 3827450.0833553956)
46.5, (-2420330.01904505, 41.72708195344124, 2484661.9941745712)
47.5, (-2847891.842040829, 68.15721213961642, 3015187.7635117806)
48.5, (-2075472.0085084136, 38.74209682752939, 2125307.5763712684)
49.5, (-2086246.300138454, 46.938010296118165, 2216636.6955107986)
50.5, (-5400103.768558962, 165.6717503062011, 5576340.465650456)
51.5, (-1664870.0971825167, 35.35883967010156, 1733081.584838578)
52.5, (-1623313.3661772825, 40.2546546902828, 1763130.031131443)
53.5, (-1397472.3795223, 24.96138056703801, 1478149.6228833536)
54.5, (-1226039.7843045332, 29.066034137658896, 1324956.056213965)
55.5, (-1421852.2634594957, 48.629669111436364, 1551553.1717057435)
56.5, (-1047533.092347639, 20.535460245642074, 1070471.1224105598)
57.5, (-1156213.720765898, 21.199930404815774, 1194833.407632144)
58.5, (-988633.6643991861, 21.90515914034528, 1037856.6226168671)
59.5, (-932740.9106284481, 18.13522347095856, 933213.5066291944)
60.5, (-939311.1381138297, 26.94081186390178, 1008240.0363002085)
61.5, (-939273.0404075359, 26.580458602388617, 1001886.3575647352)
62.5, (-896653.4514113998, 21.396756776652765, 930223.6844430466)
63.5, (-807045.0050565031, 22.648385119021775, 837378.3946094372)
64.5, (-766774.1371573232, 19.878151023496603, 808540.3135530237)
65.5, (-781399.3014043174, 16.946269310727462, 804767.8055793546)
66.5, (-753815.5694664894, 19.6985282099279, 788361.86851726)
67.5, (-645968.3158532043, 22.20545369513183, 716762.7129754391)
68.5, (-594060.774537327, 19.354507093547554, 637498.384015988)
69.5, (-583210.2447811543, 16.545820157632967, 632306.1397515652)
70.5, (-590719.9132434848, 11.590565995499455, 568387.0179924036)
71.5, (-593018.2430284974, 12.456310620373678, 576219.9385937623)
72.5, (-542491.234472333, 13.57811419974201, 548465.9817911852)
73.5, (-510557.539840911, 13.070031608288737, 518389.0016621579)
74.5, (-506127.87412518746, 16.810926542387545, 530991.3616250779)
75.5, (-498228.52817201795, 14.031213187742054, 510712.3349190448)
76.5, (-511110.12074885785, 11.351995855505093, 492033.2813682884)
77.5, (-468567.8760466702, 11.485289152731541, 466061.270529489)
78.5, (-472371.18531876605, 13.356049809465656, 484099.90421736863)
79.5, (-434258.13260521117, 10.383058591486218, 423842.3927635774)
80.5, (-401676.8678885536, 9.955166604878046, 387719.02927969303)
81.5, (-377054.1668870422, 12.812453479627795, 391658.58463629434)
82.5, (-379810.3446832797, 10.055997132180112, 367164.64466005383)
83.5, (-354708.9950893794, 10.567214672025925, 361107.2591400635)
84.5, (-415816.97935917415, 10.352143475735048, 398827.74841354706)
85.5, (-375052.17706980486, 12.241329139406597, 384156.60161983775)
86.5, (-347384.3875590763, 9.235677119729651, 336021.79891636653)
87.5, (-366384.93222939566, 9.129737289429789, 348985.2506756306)
88.5, (-331935.4057343114, 9.43738262472549, 317705.97959905124)
89.5, (-317199.38292646094, 10.002787533980818, 309563.4947647129)
90.5, (-316139.0493618796, 7.894941532014906, 292995.7918605869)
91.5, (-329199.72806938284, 9.414484490197532, 314334.01719148405)
92.5, (-295863.1938634702, 10.818596983727119, 297097.42640205566)
93.5, (-275823.5229305197, 10.07396200180124, 275246.57138494233)
94.5, (-286151.2459050596, 7.823369276681384, 267244.14704384573)
95.5, (-278201.19520992663, 6.84377053512075, 251915.1998147834)
96.5, (-292036.756681731, 6.417560613598595, 254346.11525964137)
97.5, (-273286.5313567828, 7.302968521038648, 252464.0153461126)
98.5, (-260960.58708676187, 7.14884572190147, 238199.59781991944)
99.5, (-230377.1276755858, 9.168551075741773, 230606.60718224075)
100.5, (-259603.1785732831, 8.524421362213848, 244363.02396427523)
101.5, (-250445.9362978005, 7.919299666781646, 235598.3546369412)
102.5, (-224794.78636529946, 6.663422430334553, 206864.17304004144)
103.5, (-226057.38204171014, 7.15335489160296, 211445.77061630672)
104.5, (-220838.5478640201, 6.848619812660511, 203885.79955397692)
105.5, (-217623.3677848499, 7.073548554497631, 201000.98446963786)
106.5, (-199919.36240657052, 8.378517948813894, 196211.09979715844)
107.5, (-205684.57503360882, 7.024400188289418, 186863.6941695966)
108.5, (-197128.23287384538, 8.334309275722742, 189531.5561758127)
109.5, (-176472.3834464469, 7.521531694405455, 173004.50357759956)
110.5, (-202331.8869134506, 7.131189882754842, 185990.90823896465)
111.5, (-172003.47721531603, 7.790145093129321, 166999.24887083433)
112.5, (-164561.88888173885, 8.277384578395562, 162583.3473324255)
113.5, (-150316.91563961556, 8.921239735734009, 157777.65793402752)
114.5, (-165947.18372305983, 6.653527407264204, 153736.0616310778)
115.5, (-154973.1914665572, 7.799093487225584, 151949.06047702892)
116.5, (-154850.01329332168, 7.546835161970161, 148763.29478184428)
