1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 59108.8),(2 78669.65),(3 68071.86),(4 146341.05),(5 201460.89),(6 220042.92),(7 307908.06),(8 381273.4),(9 388765.22),(10 498230.6),(11 642296.44),(12 697813.94),(13 840934.06),(14 960951),(15 1014140.3),(16 1163041.5),(17 1271265.4),(18 1320989.6),(19 1447004),(20 1555239.9),(21 1603558.4),(22 1744504),(23 1876976.4),(24 1929126.5),(25 2075434.4),(26 2195303.3),(27 2249982.8),(28 2398073.8),(29 2495543),(30 2537784.3),(31 2687659.8),(32 2779249.8),(33 2788608.8),(34 2910044.8),(35 2991891.3),(36 3009532),(37 3145074.8),(38 3238131.3),(39 3253845),(40 3396923.8),(41 3507438),(42 3553832),(43 3721439),(44 3825260),(45 3873372.8),(46 4032419.3),(47 4160113.3),(48 4210441.5),(49 4375042),(50 4512070),(51 4597553.5),(52 4797761),(53 4975184.5),(54 5070390),(55 5279804.5),(56 5443605.5),(57 5535370.5),(58 5715626),(59 5864248.5),(60 5947752),(61 6141901.5),(62 6299973.5),(63 6387509.5),(64 6593404),(65 6740702.5),(66 6848274),(67 7052922.5),(68 7229432),(69 7346946.5),(70 7569500.5),(71 7735840),(72 7871044),(73 8088137.5),(74 8240083.5),(75 8381972),(76 8580481),(77 8721629),(78 8860059),(79 9094371),
(1 54815.594),(2 73837.336),(3 63118.875),(4 142143.7),(5 190582.38),(6 210147.25),(7 303199.16),(8 373857.56),(9 404557.5),(10 518349.4),(11 612529.8),(12 653680.56),(13 776764.75),(14 866419.1),(15 922098.2),(16 1057588.6),(17 1159847.8),(18 1222802),(19 1359405),(20 1469908.8),(21 1542936.8),(22 1700071.4),(23 1833546.4),(24 1921064.4),(25 2083452.8),(26 2210802),(27 2304287.8),(28 2468169.5),(29 2595390),(30 2695561.3),(31 2862671.5),(32 3002948.8),(33 3109769.8),(34 3285478.8),(35 3437898.8),(36 3575675.3),(37 3769349.5),(38 3954623.3),(39 4108259.3),(40 4321376),(41 4511778.5),(42 4679153),(43 4893704),(44 5074401),(45 5240225.5),(46 5446324.5),(47 5641983),(48 5814301.5),(49 6027886.5),(50 6227368),(51 6425816),(52 6637397),(53 6836433.5),(54 7021401),(55 7243919),(56 7433166.5),(57 7602135),(58 7781060),(59 7937978.5),(60 8087279),(61 8259629),(62 8419891),(63 8561282),(64 8725477),(65 8870563),(66 9032435),(67 9186350),(68 9332246),(69 9473787),(70 9645178),(71 9809256),(72 9931349),(73 10068906),(74 10208923),(75 10332938),(76 10475467),(77 10611450),(78 10743517),(79 10913584),
(1 38197.56),(2 66190.27),(3 80276.59),(4 164044.19),(5 230086.2),(6 283838.4),(7 394609.38),(8 496815.25),(9 574540.8),(10 714913.25),(11 833932.3),(12 925721.8),(13 1074134.9),(14 1197367),(15 1283172.3),(16 1425062.6),(17 1538152.5),(18 1620403.1),(19 1760157.6),(20 1880871.1),(21 1971021),(22 2130231.3),(23 2267627.3),(24 2369797.3),(25 2540772.8),(26 2685799.5),(27 2801553.3),(28 2984444.3),(29 3135122.3),(30 3264077.3),(31 3468492),(32 3641258),(33 3794730.3),(34 4027078.8),(35 4221089.5),(36 4403365.5),(37 4672053.5),(38 4899114.5),(39 5103358),(40 5381763),(41 5615580),(42 5804748),(43 6080954),(44 6297726.5),(45 6484406.5),(46 6740386.5),(47 6957966.5),(48 7144277.5),(49 7409617.5),(50 7624916),(51 7843034.5),(52 8115358),(53 8324495.5),(54 8491654),(55 8775859),(56 8974755),(57 9154145),(58 9427747),(59 9643861),(60 9820143),(61 10096669),(62 10310784),(63 10488803),(64 10767131),(65 10993501),(66 11199851),(67 11489577),(68 11703475),(69 11920909),(70 12199741),(71 12429657),(72 12623864),(73 12896339),(74 13117835),(75 13321592),(76 13601707),(77 13838369),(78 14045625),(79 14342835),
(1 25596.729),(2 55446.945),(3 83428.16),(4 156120.72),(5 226376.31),(6 289162.38),(7 395202.84),(8 499928.06),(9 589683.25),(10 722606.25),(11 845843.56),(12 950132.9),(13 1098736.6),(14 1234980.9),(15 1352783.8),(16 1516360),(17 1662452.6),(18 1786094),(19 1961107.1),(20 2118589),(21 2257618.3),(22 2454447),(23 2636201.5),(24 2788850),(25 2998701),(26 3187106.8),(27 3350808.8),(28 3566850.8),(29 3757942.3),(30 3927797.8),(31 4165674.3),(32 4373171.5),(33 4552654),(34 4803165.5),(35 5020822),(36 5204796.5),(37 5462577.5),(38 5675238),(39 5859017.5),(40 6094536),(41 6307380),(42 6488685.5),(43 6727062),(44 6933565.5),(45 7119455),(46 7367894.5),(47 7591201),(48 7790531.5),(49 8052787.5),(50 8283459.5),(51 8488392),(52 8757913),(53 8998698),(54 9192761),(55 9462422),(56 9696528),(57 9907753),(58 10187804),(59 10432615),(60 10644700),(61 10938882),(62 11181357),(63 11379132),(64 11663721),(65 11889924),(66 12055348),(67 12287506),(68 12470202),(69 12602027),(70 12794071),(71 12947831),(72 13069113),(73 13237053),(74 13368110),(75 13472647),(76 13640648),(77 13769246),(78 13878388),(79 14049189),
(1 18257.25),(2 40607.66),(3 67127.5),(4 121118.32),(5 177045.75),(6 233221.45),(7 313683.47),(8 393422.53),(9 474194.63),(10 576507.56),(11 676652.2),(12 772792.06),(13 892896.6),(14 1013811.6),(15 1135534.4),(16 1277233.5),(17 1417173.9),(18 1553809.5),(19 1707458.9),(20 1854647.3),(21 2005424.5),(22 2174965.8),(23 2340132.3),(24 2502943.3),(25 2687734.3),(26 2864538.5),(27 3047179.5),(28 3246618.5),(29 3431148.8),(30 3619986.5),(31 3827446.3),(32 4016663.3),(33 4206212.5),(34 4416589),(35 4600915.5),(36 4784906),(37 4994028),(38 5169627.5),(39 5371496),(40 5579261.5),(41 5779960.5),(42 5985509),(43 6191889.5),(44 6371152.5),(45 6575848.5),(46 6782072.5),(47 6974599.5),(48 7162526.5),(49 7361651),(50 7545994),(51 7750205),(52 7946088),(53 8116456.5),(54 8298418),(55 8495321),(56 8687088),(57 8886302),(58 9097300),(59 9307507),(60 9515655),(61 9734933),(62 9925289),(63 10115337),(64 10302390),(65 10474791),(66 10629757),(67 10775552),(68 10905044),(69 11033396),(70 11151724),(71 11249734),(72 11361516),(73 11454920),(74 11537838),(75 11635428),(76 11707481),(77 11766620),(78 11826086),(79 11856979),
(1 18761.809),(2 51384.457),(3 95570.8),(4 169648.08),(5 253701.9),(6 342872.6),(7 461053.1),(8 586423.1),(9 711834.6),(10 863461.5),(11 1023903.6),(12 1186224.6),(13 1369981.9),(14 1554844.6),(15 1737499.3),(16 1938422.4),(17 2148093.5),(18 2343166.8),(19 2559758),(20 2777880.5),(21 2990108),(22 3224100.8),(23 3453671.3),(24 3672662.5),(25 3920619.3),(26 4163376.8),(27 4405037),(28 4650117),(29 4888567),(30 5123142.5),(31 5368917),(32 5614217.5),(33 5838290.5),(34 6081634),(35 6322837),(36 6547286.5),(37 6778029),(38 6995590.5),(39 7207510.5),(40 7416113),(41 7633327),(42 7842195),(43 8056651),(44 8262526.5),(45 8464838),(46 8658389),(47 8850253),(48 9021930),(49 9192211),(50 9360712),(51 9523597),(52 9670298),(53 9816531),(54 9947144),(55 10065051),(56 10183659),(57 10279778),(58 10361266),(59 10464760),(60 10541622),(61 10627281),(62 10702554),(63 10762885),(64 10805881),(65 10865866),(66 10917181),(67 10970723),(68 11042467),(69 11091784),(70 11123134),(71 11159797),(72 11179547),(73 11197504),(74 11220898),(75 11217538),(76 11213486),(77 11212904),(78 11204794),(79 11200750),
(1 18064.176),(2 54819.605),(3 107978.39),(4 188978.86),(5 286307.06),(6 394638.53),(7 524952.56),(8 675254.6),(9 829027.06),(10 1006737.9),(11 1207172.9),(12 1413667.1),(13 1648440.9),(14 1893966),(15 2143294.5),(16 2420381.8),(17 2711475),(18 2995064.3),(19 3305177.8),(20 3616681.5),(21 3932309.3),(22 4269584.5),(23 4615279),(24 4941592),(25 5292190),(26 5635242.5),(27 5972418),(28 6321661),(29 6641007),(30 6954743.5),(31 7285022),(32 7600061),(33 7880043.5),(34 8168024.5),(35 8434441),(36 8669218),(37 8904721),(38 9103846),(39 9269418),(40 9436168),(41 9585131),(42 9704708),(43 9842839),(44 9947251),(45 10024726),(46 10116399),(47 10190537),(48 10230919),(49 10283139),(50 10322517),(51 10331226),(52 10353184),(53 10357686),(54 10325386),(55 10311545),(56 10279269),(57 10221988),(58 10195340),(59 10163434),(60 10105649),(61 10089735),(62 10058713),(63 10015670),(64 9997130),(65 9971922),(66 9932943),(67 9914529),(68 9901826),(69 9864882),(70 9845049),(71 9813124),(72 9757402),(73 9719614),(74 9679327),(75 9628485),(76 9600860),(77 9568109),(78 9518562),(79 9501510),
(1 20022.193),(2 67230.5),(3 140703.34),(4 246213.77),(5 376025.28),(6 525702.4),(7 703443.4),(8 907897.44),(9 1126325.6),(10 1372553.4),(11 1638065.9),(12 1911341.8),(13 2209994.5),(14 2516303.5),(15 2830811),(16 3157926.8),(17 3488357),(18 3819291.5),(19 4143547.8),(20 4462761),(21 4773352),(22 5083094),(23 5388728),(24 5678755),(25 5962112.5),(26 6223170),(27 6474804.5),(28 6712673),(29 6922574),(30 7130465),(31 7325049.5),(32 7493706.5),(33 7640978),(34 7780120),(35 7900223),(36 7994953),(37 8079963.5),(38 8146803),(39 8207187),(40 8255427),(41 8291721.5),(42 8328694.5),(43 8360830.5),(44 8370937),(45 8387833.5),(46 8397621),(47 8399099),(48 8408666),(49 8413906),(50 8409585),(51 8405411),(52 8388633),(53 8370095),(54 8350909.5),(55 8326174),(56 8288475.5),(57 8255797.5),(58 8235290),(59 8207302.5),(60 8190178.5),(61 8174166.5),(62 8159111.5),(63 8151240.5),(64 8140981),(65 8137705.5),(66 8133294),(67 8130459),(68 8114583.5),(69 8101973.5),(70 8083567),(71 8055288.5),(72 8033992),(73 8002949.5),(74 7968023.5),(75 7938483),(76 7900397),(77 7856295.5),(78 7820066),(79 7779583),
(1 19927.8),(2 67132.05),(3 139354.9),(4 241300.3),(5 363113.28),(6 502016.34),(7 663613.3),(8 838473.44),(9 1021462.1),(10 1213965.6),(11 1414701.1),(12 1611004.8),(13 1817589.4),(14 2027651.8),(15 2232176.3),(16 2442462.5),(17 2652338.3),(18 2851992),(19 3049406),(20 3236125.8),(21 3411131.8),(22 3582815.3),(23 3746880.3),(24 3897757.8),(25 4037029.3),(26 4165589.8),(27 4275628.5),(28 4381416.5),(29 4468399),(30 4539686.5),(31 4613005),(32 4676676),(33 4729502),(34 4782556),(35 4826786.5),(36 4856332),(37 4885727),(38 4916041.5),(39 4938539.5),(40 4967652),(41 4998860),(42 5020193),(43 5049208.5),(44 5067636.5),(45 5078097.5),(46 5095044),(47 5105556),(48 5113940.5),(49 5128173),(50 5145810),(51 5163438.5),(52 5182250.5),(53 5210144),(54 5231915.5),(55 5274350),(56 5305428),(57 5340460),(58 5385048.5),(59 5421146.5),(60 5464001.5),(61 5522607),(62 5576369.5),(63 5636710),(64 5722904.5),(65 5821943.5),(66 5927846.5),(67 6058508.5),(68 6203770.5),(69 6341408.5),(70 6505244),(71 6673255.5),(72 6843284),(73 7026494),(74 7206475.5),(75 7377735.5),(76 7542923),(77 7704018.5),(78 7872893),(79 8045660),
(1 19750.38),(2 68403.945),(3 143060.9),(4 246182.89),(5 369574.88),(6 514985.44),(7 686397.9),(8 871907.44),(9 1073515.5),(10 1293042.3),(11 1520292.9),(12 1756109.8),(13 2012000.5),(14 2273978.8),(15 2539919),(16 2822090.8),(17 3108238.8),(18 3386123),(19 3676082.8),(20 3957980.5),(21 4231126),(22 4512386.5),(23 4784309.5),(24 5043561.5),(25 5301485.5),(26 5544321),(27 5780286.5),(28 6011767),(29 6239468.5),(30 6452960),(31 6661683),(32 6861593),(33 7027174),(34 7197405),(35 7350414.5),(36 7485637.5),(37 7602284.5),(38 7694759),(39 7779918),(40 7844802),(41 7902111),(42 7959253.5),(43 8008516.5),(44 8049762),(45 8071221.5),(46 8104469.5),(47 8134042.5),(48 8145317.5),(49 8163479),(50 8178008),(51 8172741.5),(52 8174655),(53 8166183),(54 8149381.5),(55 8150330),(56 8140096),(57 8132086),(58 8128046),(59 8123932.5),(60 8116830),(61 8130178.5),(62 8149591),(63 8159360),(64 8184214),(65 8216479),(66 8263400),(67 8313029.5),(68 8364114),(69 8401713),(70 8449739),(71 8499122),(72 8540014),(73 8595890),(74 8652855),(75 8707775),(76 8772103),(77 8836005),(78 8903722),(79 8988428),
(1 20591.205),(2 73126.95),(3 157320.73),(4 270652.38),(5 411577.44),(6 579777.3),(7 776025.3),(8 997683.06),(9 1243325),(10 1509688.5),(11 1792046.9),(12 2095503),(13 2410916.8),(14 2731789),(15 3069933.3),(16 3414660.3),(17 3766039),(18 4114465),(19 4462588.5),(20 4802272.5),(21 5140715.5),(22 5467696),(23 5791202),(24 6089753.5),(25 6368362.5),(26 6615052),(27 6856467),(28 7070679.5),(29 7266702),(30 7446847.5),(31 7587215.5),(32 7710223),(33 7808184),(34 7873050.5),(35 7913031.5),(36 7930973),(37 7912650.5),(38 7871436),(39 7835966),(40 7769262),(41 7700379),(42 7627606.5),(43 7539208.5),(44 7433586),(45 7332047),(46 7225717.5),(47 7117596),(48 7013299.5),(49 6913772),(50 6815991),(51 6717458),(52 6624012.5),(53 6539314),(54 6464166),(55 6404706),(56 6350075.5),(57 6322680.5),(58 6305717.5),(59 6301306.5),(60 6313554.5),(61 6332804.5),(62 6360387),(63 6394627),(64 6446995),(65 6511556),(66 6594427),(67 6684808.5),(68 6784623),(69 6888911.5),(70 7000875.5),(71 7117019.5),(72 7251124),(73 7387354),(74 7518660),(75 7650606),(76 7779217),(77 7911779),(78 8034867),(79 8166385),
