1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 76868.48),(2 94049.18),(3 59496.09),(4 155310.77),(5 189477.67),(6 177662.56),(7 288586.53),(8 335287.53),(9 333109.72),(10 447847),(11 516985.16),(12 523105.1),(13 637128.75),(14 733638),(15 754731.75),(16 895260.25),(17 1034139.2),(18 1060840.9),(19 1191611.5),(20 1342071),(21 1378674.9),(22 1520409),(23 1699419),(24 1739688.4),(25 1883056.4),(26 2050391),(27 2070666),(28 2165428.8),(29 2316615.5),(30 2386037),(31 2499383.8),(32 2661469.3),(33 2683064.8),(34 2794855.3),(35 2938288.3),(36 2954333),(37 3027799.8),(38 3174979),(39 3180323),(40 3280059.8),(41 3408339.3),(42 3422759.8),(43 3493558.8),(44 3590593),(45 3583102.8),(46 3633538),(47 3703838),(48 3664378.8),(49 3718100.8),(50 3791939.8),(51 3747732.3),(52 3788770),(53 3857529.3),(54 3825960.3),(55 3884529.8),(56 3976998.8),(57 3959526.3),(58 3985380.8),(59 4079953),(60 4089348.8),(61 4151066.8),(62 4240202.5),(63 4237106),(64 4321174.5),(65 4472502.5),(66 4542913.5),(67 4687810.5),(68 4954552.5),(69 5091730.5),(70 5292711.5),(71 5602012),(72 5747410),(73 5885100),(74 6171166.5),(75 6268314.5),(76 6463388.5),(77 6717905.5),(78 6844988),(79 7016463.5),
(1 74569.02),(2 91244.52),(3 52125.418),(4 143614.13),(5 180834.58),(6 160194.6),(7 266038),(8 320257.16),(9 309261.3),(10 421363.4),(11 491604.16),(12 480974.34),(13 596841.06),(14 690137.3),(15 700734.1),(16 837986.7),(17 963972.4),(18 992281.8),(19 1125461.5),(20 1283566.4),(21 1333553.3),(22 1501508.8),(23 1702572.8),(24 1777609.6),(25 1967221.8),(26 2186993.5),(27 2252578.8),(28 2408560.8),(29 2600022),(30 2709796),(31 2881743),(32 3091452.8),(33 3189458.5),(34 3379684.8),(35 3595728.8),(36 3695068.8),(37 3841392),(38 4065848.5),(39 4169398),(40 4364376),(41 4592284),(42 4720641.5),(43 4903574),(44 5113523),(45 5228027),(46 5400353.5),(47 5598962.5),(48 5686818.5),(49 5868835),(50 6098966.5),(51 6209705),(52 6377006.5),(53 6579520),(54 6696033),(55 6861313),(56 7089134.5),(57 7219337.5),(58 7364438.5),(59 7591430.5),(60 7736140),(61 7929943),(62 8164651),(63 8326933),(64 8527397),(65 8806118),(66 9001652),(67 9214977),(68 9548183),(69 9786525),(70 9996530),(71 10325266),(72 10562205),(73 10689097),(74 11005061),(75 11199478),(76 11434730),(77 11734477),(78 11921270),(79 12118159),
(1 47719.734),(2 69597.79),(3 70299.125),(4 147252.7),(5 197759.94),(6 228872.69),(7 330562.34),(8 408782.16),(9 465995.84),(10 587865.5),(11 704174.5),(12 779841.3),(13 930330.25),(14 1081749.5),(15 1208227.5),(16 1394723.5),(17 1594440),(18 1743314),(19 1945321.5),(20 2179009),(21 2354336.5),(22 2585046.3),(23 2860916.8),(24 3068450.8),(25 3340550.8),(26 3651439.3),(27 3862731.3),(28 4130776.3),(29 4433236),(30 4679937),(31 4958258.5),(32 5273212.5),(33 5502832.5),(34 5796240.5),(35 6144104),(36 6388326.5),(37 6675300),(38 7039649.5),(39 7303297.5),(40 7597209.5),(41 7957675.5),(42 8255558.5),(43 8593119),(44 8979229),(45 9284688),(46 9595827),(47 9987691),(48 10267401),(49 10579564),(50 10959253),(51 11245413),(52 11527904),(53 11897117),(54 12198651),(55 12520472),(56 12920049),(57 13265965),(58 13590168),(59 14001772),(60 14372044),(61 14751041),(62 15186961),(63 15565035),(64 15923753),(65 16368096),(66 16754893),(67 17119086),(68 17578296),(69 18006534),(70 18339114),(71 18818242),(72 19236618),(73 19557822),(74 20034150),(75 20481842),(76 20910200),(77 21404880),(78 21805440),(79 22183698),
(1 34611.44),(2 74948.61),(3 123605.086),(4 227064.94),(5 326130.1),(6 431355.72),(7 581183.3),(8 718131.4),(9 855286.75),(10 1034836.9),(11 1207425.5),(12 1368332.5),(13 1580903.8),(14 1790486),(15 2008047.4),(16 2267689.3),(17 2522707),(18 2769040.5),(19 3049206.3),(20 3339770),(21 3610471.8),(22 3913015),(23 4238126.5),(24 4533664),(25 4862805),(26 5188624.5),(27 5477905.5),(28 5786942),(29 6092018),(30 6391283.5),(31 6700681),(32 6999278),(33 7276814.5),(34 7588066),(35 7915874),(36 8209612.5),(37 8533733),(38 8867308),(39 9187891),(40 9530030),(41 9871552),(42 10240560),(43 10657136),(44 11033621),(45 11431209),(46 11807737),(47 12168121),(48 12537079),(49 12909445),(50 13258402),(51 13610899),(52 13940912),(53 14259082),(54 14619698),(55 14985502),(56 15336807),(57 15732512),(58 16131006),(59 16471609),(60 16848762),(61 17193760),(62 17498850),(63 17822998),(64 18096672),(65 18332104),(66 18604760),(67 18867014),(68 19089770),(69 19345512),(70 19560126),(71 19763132),(72 20003000),(73 20216004),(74 20384896),(75 20629870),(76 20839648),(77 21016246),(78 21210212),(79 21363608),
(1 25069.756),(2 61118.066),(3 106317.13),(4 190460.44),(5 279441.22),(6 372617.9),(7 499545.53),(8 628921.1),(9 763537.25),(10 932027.06),(11 1107225.8),(12 1277735.5),(13 1482342.5),(14 1689041.1),(15 1906608.8),(16 2144671.5),(17 2385066.5),(18 2628772),(19 2896194.5),(20 3169437),(21 3442052.3),(22 3741097.8),(23 4059101.5),(24 4374330),(25 4706640.5),(26 5053360.5),(27 5385936),(28 5727422.5),(29 6086646),(30 6430096),(31 6784592),(32 7130152.5),(33 7457447.5),(34 7797130),(35 8154820.5),(36 8482183),(37 8842365),(38 9228155),(39 9604449),(40 9977069),(41 10357167),(42 10747007),(43 11143801),(44 11533763),(45 11912761),(46 12284218),(47 12662193),(48 13042726),(49 13435200),(50 13812560),(51 14205184),(52 14569974),(53 14934135),(54 15327212),(55 15714694),(56 16091747),(57 16501178),(58 16878088),(59 17234432),(60 17586476),(61 17920466),(62 18238574),(63 18579886),(64 18887300),(65 19169800),(66 19469746),(67 19763536),(68 19996176),(69 20267244),(70 20500584),(71 20720822),(72 20936546),(73 21122856),(74 21267572),(75 21437810),(76 21578570),(77 21688102),(78 21818508),(79 21938622),
(1 21340.895),(2 55443.97),(3 99318.19),(4 177622.9),(5 264549.4),(6 356068.53),(7 481842.4),(8 613252.4),(9 750074.3),(10 918587.6),(11 1093521.9),(12 1257092.6),(13 1457251.8),(14 1651426.6),(15 1831411.6),(16 2041432.4),(17 2249014.5),(18 2446104.8),(19 2666058.5),(20 2900347.3),(21 3113043.3),(22 3360170),(23 3616695.3),(24 3851315.3),(25 4114286.8),(26 4389697),(27 4620562.5),(28 4873258.5),(29 5117135),(30 5311694.5),(31 5535497.5),(32 5757620),(33 5931513),(34 6152607),(35 6382636.5),(36 6565901),(37 6796743),(38 7017297),(39 7185694.5),(40 7391982.5),(41 7596165),(42 7740089.5),(43 7928146.5),(44 8090493.5),(45 8222437.5),(46 8393306),(47 8553101),(48 8676986),(49 8851506),(50 9015647),(51 9164805),(52 9355986),(53 9528896),(54 9695779),(55 9906654),(56 10100456),(57 10300381),(58 10550502),(59 10762994),(60 10969379),(61 11225558),(62 11452990),(63 11684698),(64 11944207),(65 12211230),(66 12493648),(67 12811480),(68 13120469),(69 13408405),(70 13724371),(71 14045958),(72 14352048),(73 14693482),(74 15005629),(75 15316421),(76 15657208),(77 15972858),(78 16260592),(79 16574002),
(1 23761.918),(2 68351.195),(3 131115.9),(4 231721.98),(5 344989),(6 469514.38),(7 627719.56),(8 792962.6),(9 970164.7),(10 1174550.9),(11 1387302.9),(12 1611010.9),(13 1870089.8),(14 2130524.3),(15 2407477.8),(16 2708281),(17 3018601.8),(18 3331328),(19 3670803.8),(20 4026300.3),(21 4390807),(22 4780502),(23 5181661),(24 5587015.5),(25 6013349),(26 6437226),(27 6856599),(28 7297383),(29 7702298),(30 8107568.5),(31 8518922),(32 8907002),(33 9279572),(34 9660667),(35 10036376),(36 10381273),(37 10756186),(38 11092540),(39 11407249),(40 11743925),(41 12036148),(42 12312944),(43 12622441),(44 12881393),(45 13136178),(46 13384244),(47 13602585),(48 13790661),(49 13982298),(50 14140060),(51 14272292),(52 14381836),(53 14466174),(54 14515392),(55 14583532),(56 14607201),(57 14633313),(58 14647513),(59 14629129),(60 14607072),(61 14589851),(62 14546463),(63 14515554),(64 14477259),(65 14411258),(66 14340693),(67 14293209),(68 14214023),(69 14137604),(70 14085150),(71 14015513),(72 13960814),(73 13947675),(74 13897559),(75 13890594),(76 13891108),(77 13868036),(78 13860274),(79 13870942),
(1 20707.764),(2 66849.32),(3 135515.69),(4 232830.67),(5 348177.3),(6 479931.78),(7 634039.44),(8 802294.06),(9 987042.94),(10 1192743.9),(11 1414343.4),(12 1647980.8),(13 1905396.8),(14 2177817.3),(15 2471716.3),(16 2770539.3),(17 3083611),(18 3412517.3),(19 3750708.5),(20 4089433.8),(21 4441051.5),(22 4803394.5),(23 5163840),(24 5521909),(25 5879629.5),(26 6209460.5),(27 6551975),(28 6874363.5),(29 7169606.5),(30 7439709.5),(31 7693793),(32 7907451.5),(33 8097715),(34 8253657.5),(35 8393581),(36 8512435),(37 8600139),(38 8660355),(39 8706092),(40 8720913),(41 8712636),(42 8691945),(43 8666937),(44 8640565),(45 8608164),(46 8574497),(47 8554060),(48 8521845),(49 8495879),(50 8491002),(51 8480378),(52 8481536),(53 8507413),(54 8531166),(55 8568652),(56 8634639),(57 8695716),(58 8770427),(59 8873758),(60 8954532),(61 9049775),(62 9169627),(63 9266660),(64 9371198),(65 9490380),(66 9585462),(67 9678278),(68 9792215),(69 9875629),(70 9965933),(71 10076137),(72 10155968),(73 10238519),(74 10342142),(75 10415741),(76 10494831),(77 10581851),(78 10636719),(79 10698673),
(1 28047.783),(2 97076.84),(3 206712.98),(4 358654.88),(5 540218.7),(6 752418.4),(7 1004158.8),(8 1281402.4),(9 1593572.6),(10 1939103),(11 2313987.8),(12 2709700.8),(13 3147100.3),(14 3597844.5),(15 4086228.3),(16 4583530.5),(17 5089131.5),(18 5617940),(19 6161916),(20 6694899),(21 7243844),(22 7799925.5),(23 8352369),(24 8904817),(25 9457768),(26 9976845),(27 10494743),(28 10986987),(29 11432628),(30 11857020),(31 12250370),(32 12558144),(33 12832552),(34 13058581),(35 13235705),(36 13381163),(37 13490827),(38 13542005),(39 13579208),(40 13571350),(41 13523160),(42 13468766),(43 13379757),(44 13266713),(45 13137978),(46 13005451),(47 12871149),(48 12727287),(49 12582002),(50 12429867),(51 12267249),(52 12107637),(53 11967546),(54 11836835),(55 11721464),(56 11633406),(57 11553804),(58 11497505),(59 11468648),(60 11451513),(61 11450618),(62 11471219),(63 11504843),(64 11556489),(65 11624481),(66 11689112),(67 11768186),(68 11834413),(69 11905336),(70 11975539),(71 12043034),(72 12105715),(73 12174236),(74 12221267),(75 12249730),(76 12294558),(77 12328232),(78 12338984),(79 12339528),
(1 31486.527),(2 113161.94),(3 242414.72),(4 419038.6),(5 634017.9),(6 884719.7),(7 1172002.3),(8 1487831.3),(9 1840755.4),(10 2224375.5),(11 2629564),(12 3061993),(13 3516919),(14 3973172.5),(15 4451316),(16 4926191),(17 5400072),(18 5888483.5),(19 6368524.5),(20 6832893),(21 7294443.5),(22 7740499.5),(23 8164131.5),(24 8574420),(25 8964538),(26 9322621),(27 9673815),(28 9997564),(29 10292496),(30 10572472),(31 10826854),(32 11038112),(33 11234459),(34 11392371),(35 11513511),(36 11609283),(37 11669593),(38 11704409),(39 11724329),(40 11706537),(41 11670354),(42 11608661),(43 11514390),(44 11402447),(45 11268480),(46 11108766),(47 10942994),(48 10753091),(49 10557014),(50 10351577),(51 10145816),(52 9912100),(53 9682539),(54 9445205),(55 9222891),(56 9000148),(57 8790836),(58 8580657),(59 8383792),(60 8208686),(61 8039365.5),(62 7885877.5),(63 7752649),(64 7635369),(65 7529146),(66 7428919),(67 7341138.5),(68 7243621),(69 7175568),(70 7104332.5),(71 7040652.5),(72 6991723.5),(73 6950990),(74 6902869),(75 6873038),(76 6850401),(77 6827914),(78 6807326),(79 6783383),
(1 22587.934),(2 79803.05),(3 170766.2),(4 295091.88),(5 444778.94),(6 617947.5),(7 814699.9),(8 1033818.8),(9 1273423),(10 1534433),(11 1811530.8),(12 2105273.5),(13 2411717.5),(14 2722634.8),(15 3047726.5),(16 3368938.3),(17 3682234.3),(18 3999065.5),(19 4300396),(20 4596402),(21 4893745),(22 5171048.5),(23 5437747),(24 5699380),(25 5945375.5),(26 6172320),(27 6395854),(28 6598884.5),(29 6778034),(30 6948920.5),(31 7111168),(32 7243775),(33 7359080.5),(34 7464277.5),(35 7538077),(36 7598887.5),(37 7661941.5),(38 7701103),(39 7746116.5),(40 7789179),(41 7821498.5),(42 7852395.5),(43 7888372),(44 7896378.5),(45 7911178.5),(46 7927785.5),(47 7935975.5),(48 7955186),(49 7977659.5),(50 7991362),(51 8003377),(52 8010564.5),(53 8006855.5),(54 8020337),(55 8035161.5),(56 8041365.5),(57 8053857),(58 8067715),(59 8060758.5),(60 8052689),(61 8025752.5),(62 7984097),(63 7934829),(64 7880189),(65 7799499),(66 7716767.5),(67 7626951.5),(68 7528706.5),(69 7430610),(70 7320694.5),(71 7209083.5),(72 7099877),(73 6991857.5),(74 6896744),(75 6816175),(76 6741276),(77 6675718.5),(78 6610519.5),(79 6556241),
