1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 34219.684),(2 121613.96),(3 260201.88),(4 407202.4),(5 555826.5),(6 682038.75),(7 775791.06),(8 835000.06),(9 876570.2),(10 879812.8),(11 896954.3),(12 937201.25),(13 1013563),(14 1105253.4),(15 1240267.1),(16 1393503.9),(17 1562043.9),(18 1727175),(19 1882055.1),(20 1969436.1),(21 2035381.4),(22 2067213.4),(23 2081737.1),(24 2074786.4),(25 2106991.8),(26 2183163.8),(27 2329842),(28 2544751.8),(29 2818532),(30 3112077),(31 3402059.3),(32 3635619.3),(33 3841187),(34 3990188),(35 4133091.8),(36 4282786.5),(37 4482147.5),(38 4720628.5),(39 5057046.5),(40 5399183),(41 5775072.5),(42 6188380),(43 6604664.5),(44 7028749.5),(45 7370820),(46 7687238),(47 7909252.5),(48 8164634),(49 8417144),(50 8704237),(51 9023921),(52 9388544),(53 9791788),(54 10277834),(55 10789711),(56 11334116),(57 11874731),(58 12361257),(59 12797673),(60 13180727),(61 13542617),(62 13985389),(63 14445800),(64 14896955),(65 15376831),(66 15885339),(67 16387449),(68 16961016),(69 17511190),(70 18018974),(71 18477126),(72 18867938),(73 19257568),(74 19683256),(75 20234320),(76 20718874),(77 21171322),(78 21609348),(79 22002610),
(1 38464.906),(2 134373.84),(3 275473.6),(4 434888.34),(5 600604.7),(6 766292.75),(7 900601.6),(8 992048.5),(9 1070472.9),(10 1129119.8),(11 1199961.1),(12 1263341.6),(13 1364133.8),(14 1479235.5),(15 1632705.8),(16 1811391.6),(17 2012811.3),(18 2224365.8),(19 2415771.5),(20 2543310.3),(21 2655603.3),(22 2759697.8),(23 2867463.8),(24 2986271.5),(25 3121693.3),(26 3263922.5),(27 3449162.5),(28 3679536.8),(29 3931119.3),(30 4154084),(31 4363753),(32 4496446.5),(33 4622821),(34 4690507),(35 4781749),(36 4897202),(37 5090406),(38 5301825.5),(39 5569791),(40 5855010.5),(41 6133332),(42 6422538.5),(43 6739142.5),(44 7044921),(45 7341515),(46 7610266.5),(47 7857633.5),(48 8093494.5),(49 8322131),(50 8516864),(51 8723003),(52 8971274),(53 9230071),(54 9513067),(55 9829754),(56 10153349),(57 10485769),(58 10787630),(59 11043273),(60 11316276),(61 11522570),(62 11829411),(63 12182728),(64 12535830),(65 12849923),(66 13168662),(67 13502928),(68 13854597),(69 14198483),(70 14553168),(71 14936957),(72 15365555),(73 15844014),(74 16365907),(75 16965344),(76 17569470),(77 18115068),(78 18641740),(79 19134740),
(1 43268.76),(2 148210.61),(3 301868.5),(4 466724.97),(5 633856.6),(6 802691.94),(7 935851.25),(8 1020618.06),(9 1095303.1),(10 1156326.5),(11 1243607.9),(12 1338950.6),(13 1474198.5),(14 1623555.4),(15 1809444.1),(16 2006634),(17 2223053.8),(18 2436326.3),(19 2665839.8),(20 2874413),(21 3064650),(22 3266662.8),(23 3494938.8),(24 3739726),(25 4025886),(26 4330696),(27 4692265.5),(28 5053154.5),(29 5422988),(30 5797294.5),(31 6204400.5),(32 6588016),(33 6929057.5),(34 7205282),(35 7466706.5),(36 7679550.5),(37 7903465.5),(38 8113754.5),(39 8404257),(40 8710763),(41 9016591),(42 9353516),(43 9696041),(44 9997221),(45 10302320),(46 10631901),(47 10898753),(48 11114177),(49 11254352),(50 11440057),(51 11608763),(52 11786369),(53 11957787),(54 12212003),(55 12522333),(56 12852469),(57 13185947),(58 13572651),(59 13929653),(60 14266403),(61 14535027),(62 14764643),(63 15002557),(64 15265781),(65 15561600),(66 15893981),(67 16244595),(68 16688595),(69 17140528),(70 17726102),(71 18359238),(72 19046464),(73 19694634),(74 20265680),(75 20809550),(76 21369294),(77 21853090),(78 22450034),(79 23049984),
(1 40621.14),(2 137899.63),(3 284976.94),(4 442054.97),(5 603969.7),(6 750184.06),(7 878057.1),(8 975538.25),(9 1074284.3),(10 1161936.4),(11 1261939.3),(12 1370995.8),(13 1511691.4),(14 1671863.1),(15 1853231.5),(16 2032050.3),(17 2217952.5),(18 2397642),(19 2591329.8),(20 2746876),(21 2900950.3),(22 3052078.5),(23 3222810.5),(24 3376940),(25 3564919.5),(26 3785177),(27 4055054.8),(28 4353731.5),(29 4680514.5),(30 4995778),(31 5319766),(32 5615412.5),(33 5876596.5),(34 6151598),(35 6449831),(36 6739784),(37 7087552),(38 7438236),(39 7830124.5),(40 8210725.5),(41 8551902),(42 8914098),(43 9266942),(44 9585712),(45 9908210),(46 10248706),(47 10607428),(48 10946622),(49 11226650),(50 11556043),(51 11888041),(52 12226322),(53 12590363),(54 13032865),(55 13459313),(56 13844913),(57 14220536),(58 14584706),(59 14915467),(60 15243262),(61 15516855),(62 15818069),(63 16136121),(64 16496178),(65 16882460),(66 17285024),(67 17686584),(68 18152924),(69 18557696),(70 19010920),(71 19457484),(72 19893784),(73 20308598),(74 20690588),(75 21076482),(76 21526344),(77 21936644),(78 22440982),(79 22929018),
(1 39681.61),(2 132515.95),(3 267955.9),(4 419085.72),(5 577370.1),(6 724203.9),(7 861964.6),(8 986559.4),(9 1106824.6),(10 1218442.3),(11 1335534.1),(12 1461079.5),(13 1614402.1),(14 1784640.4),(15 1973977.3),(16 2160337.5),(17 2350277),(18 2518431),(19 2687298.3),(20 2837547.3),(21 3009879.8),(22 3174799.3),(23 3362804),(24 3546039.3),(25 3753802.5),(26 3989220),(27 4247813),(28 4520736.5),(29 4809351.5),(30 5093425.5),(31 5387715.5),(32 5664270),(33 5935104.5),(34 6223080.5),(35 6532297.5),(36 6840014.5),(37 7165331),(38 7487197),(39 7826927.5),(40 8154368),(41 8442537),(42 8728573),(43 9023912),(44 9314623),(45 9609233),(46 9911207),(47 10206067),(48 10491537),(49 10743031),(50 10968752),(51 11169340),(52 11329486),(53 11478340),(54 11690084),(55 11892193),(56 12103558),(57 12327098),(58 12565655),(59 12772963),(60 12986444),(61 13140973),(62 13316099),(63 13491879),(64 13665501),(65 13834051),(66 13999057),(67 14167341),(68 14372759),(69 14552487),(70 14769140),(71 14975921),(72 15191866),(73 15439767),(74 15670665),(75 15897105),(76 16142732),(77 16331791),(78 16520463),(79 16685258),
(1 47258.074),(2 156064.1),(3 329139.5),(4 520678.3),(5 728582.75),(6 924731.2),(7 1109755.4),(8 1260915.3),(9 1420129.3),(10 1564972.3),(11 1751586.6),(12 1950887.4),(13 2182782),(14 2420985.5),(15 2692366.3),(16 2950569),(17 3232552.5),(18 3506900),(19 3791432),(20 4043603.3),(21 4329959),(22 4572192),(23 4853833.5),(24 5139795),(25 5490206.5),(26 5858295),(27 6297524),(28 6743175),(29 7219349),(30 7675452),(31 8122061),(32 8501610),(33 8874798),(34 9216790),(35 9566632),(36 9914458),(37 10281800),(38 10613533),(39 10973477),(40 11310456),(41 11622498),(42 11967954),(43 12315648),(44 12627614),(45 12925806),(46 13246871),(47 13505882),(48 13790710),(49 14017914),(50 14235325),(51 14473520),(52 14760386),(53 15029805),(54 15393984),(55 15759286),(56 16134080),(57 16521803),(58 16863732),(59 17145854),(60 17412244),(61 17579220),(62 17764278),(63 17902584),(64 18036310),(65 18139476),(66 18274788),(67 18392370),(68 18559594),(69 18721216),(70 18898300),(71 19064404),(72 19245360),(73 19402250),(74 19562242),(75 19707766),(76 19875744),(77 19997058),(78 20157380),(79 20291050),
(1 49960.086),(2 161158.97),(3 340522.38),(4 532435.9),(5 729053.25),(6 910102.75),(7 1076899.5),(8 1205654.1),(9 1348687.9),(10 1477209.1),(11 1653366.3),(12 1851704),(13 2112348.3),(14 2408079.8),(15 2779302.8),(16 3143675.5),(17 3526959),(18 3875138.3),(19 4216806.5),(20 4500664.5),(21 4805065),(22 5073737.5),(23 5363160),(24 5643090),(25 5986461.5),(26 6333272),(27 6755714),(28 7188816.5),(29 7646640),(30 8079176.5),(31 8524465),(32 8925765),(33 9357480),(34 9758783),(35 10168731),(36 10529991),(37 10902511),(38 11277215),(39 11735231),(40 12219097),(41 12716859),(42 13261330),(43 13815396),(44 14303280),(45 14748338),(46 15184732),(47 15596738),(48 16003018),(49 16353902),(50 16732545),(51 17147634),(52 17578380),(53 17989208),(54 18418312),(55 18822798),(56 19237386),(57 19658926),(58 20090436),(59 20483668),(60 20860328),(61 21151774),(62 21435762),(63 21693238),(64 21944972),(65 22176580),(66 22449234),(67 22713966),(68 23015220),(69 23284894),(70 23562808),(71 23806158),(72 24044096),(73 24284796),(74 24523850),(75 24773444),(76 25043294),(77 25264662),(78 25501524),(79 25670290),
(1 53783.81),(2 170818.22),(3 350279.2),(4 539440.4),(5 733946.2),(6 911103.06),(7 1079119.5),(8 1207317.9),(9 1346066.1),(10 1459920),(11 1628898),(12 1800808.1),(13 2037942.9),(14 2286629),(15 2613553.8),(16 2949434.8),(17 3320378.8),(18 3667716.8),(19 4040458.5),(20 4346105.5),(21 4682464),(22 4969171),(23 5281493),(24 5591341),(25 5977305),(26 6375397),(27 6860733.5),(28 7351115),(29 7847693),(30 8309034.5),(31 8765263),(32 9152606),(33 9517865),(34 9861808),(35 10222730),(36 10584237),(37 10997962),(38 11385085),(39 11838087),(40 12307939),(41 12782297),(42 13256819),(43 13737277),(44 14180610),(45 14595018),(46 15000289),(47 15339518),(48 15643363),(49 15903733),(50 16172066),(51 16480137),(52 16810878),(53 17148406),(54 17535060),(55 17928964),(56 18326118),(57 18708500),(58 19083942),(59 19389388),(60 19652140),(61 19845914),(62 20059038),(63 20259038),(64 20503274),(65 20689022),(66 20878938),(67 21119528),(68 21424042),(69 21714940),(70 21984010),(71 22221818),(72 22393426),(73 22512984),(74 22587144),(75 22689934),(76 22826170),(77 22930196),(78 23130796),(79 23316242),
(1 52881.734),(2 178601.4),(3 364991.13),(4 566964.56),(5 771715.7),(6 955588.9),(7 1124112.9),(8 1266513.9),(9 1415407.8),(10 1550995.5),(11 1722843.5),(12 1908609.4),(13 2152113.3),(14 2406114.3),(15 2703477),(16 2998498),(17 3310387.5),(18 3600243),(19 3922996),(20 4217373),(21 4534763.5),(22 4839932),(23 5165306),(24 5478120),(25 5855069),(26 6256516.5),(27 6723449),(28 7213676),(29 7729920.5),(30 8221624.5),(31 8731112),(32 9210513),(33 9671699),(34 10094282),(35 10477245),(36 10825414),(37 11179322),(38 11499992),(39 11854993),(40 12237200),(41 12604582),(42 12956664),(43 13306211),(44 13611112),(45 13861886),(46 14102060),(47 14320438),(48 14507816),(49 14684793),(50 14867678),(51 15062821),(52 15284504),(53 15500699),(54 15713087),(55 15918502),(56 16132587),(57 16323464),(58 16543264),(59 16734763),(60 16919912),(61 17081938),(62 17259326),(63 17414610),(64 17603484),(65 17735678),(66 17888368),(67 18064924),(68 18283330),(69 18521814),(70 18729338),(71 18888956),(72 19000690),(73 19082466),(74 19143082),(75 19221120),(76 19328324),(77 19442642),(78 19599688),(79 19776522),
(1 59273.82),(2 191125.27),(3 392396.66),(4 608664.06),(5 830030.25),(6 1035142.7),(7 1231714.6),(8 1387540.1),(9 1560658.9),(10 1722544.6),(11 1934136.6),(12 2155059),(13 2430661),(14 2718351.5),(15 3058049.8),(16 3385815),(17 3730107.5),(18 4070393.3),(19 4442291),(20 4774898),(21 5115115.5),(22 5382473),(23 5670361),(24 5946436),(25 6272692.5),(26 6609442),(27 7002874.5),(28 7422482.5),(29 7865426.5),(30 8284407),(31 8693765),(32 9053088),(33 9383119),(34 9661157),(35 9915731),(36 10132850),(37 10373996),(38 10610493),(39 10912700),(40 11219581),(41 11509839),(42 11816732),(43 12121417),(44 12394009),(45 12651365),(46 12868482),(47 13072084),(48 13251762),(49 13400044),(50 13538135),(51 13674158),(52 13812075),(53 13934706),(54 14040145),(55 14132060),(56 14188340),(57 14241570),(58 14268801),(59 14286703),(60 14282062),(61 14274603),(62 14262444),(63 14228965),(64 14219885),(65 14193972),(66 14170652),(67 14151924),(68 14133909),(69 14107607),(70 14041494),(71 13940922),(72 13822727),(73 13726992),(74 13628156),(75 13525662),(76 13429132),(77 13358236),(78 13305820),(79 13255650),
(1 52916.97),(2 173277.8),(3 358587.88),(4 568034.5),(5 792078.44),(6 1022397.5),(7 1263842.6),(8 1465263),(9 1692513.5),(10 1907715.6),(11 2185300.8),(12 2486650),(13 2857258.8),(14 3244402),(15 3680947.5),(16 4097624),(17 4532239),(18 4932042),(19 5356606),(20 5742430),(21 6161604),(22 6543990.5),(23 6963063),(24 7364931.5),(25 7809379),(26 8245688.5),(27 8720486),(28 9187017),(29 9676782),(30 10141073),(31 10618312),(32 11065606),(33 11520422),(34 11916612),(35 12300104),(36 12631752),(37 12963328),(38 13235667),(39 13559002),(40 13885784),(41 14203326),(42 14515570),(43 14828003),(44 15111323),(45 15375883),(46 15662410),(47 15911831),(48 16163396),(49 16372092),(50 16595010),(51 16799660),(52 17015564),(53 17207240),(54 17369950),(55 17518794),(56 17656482),(57 17771072),(58 17880344),(59 17997524),(60 18117706),(61 18201988),(62 18284034),(63 18365290),(64 18451256),(65 18536654),(66 18654452),(67 18772654),(68 18859044),(69 18934472),(70 19009622),(71 19042896),(72 19095152),(73 19172872),(74 19243756),(75 19299342),(76 19341834),(77 19366246),(78 19389496),(79 19403888),
