1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 631241.75),(2 2608711.8),(3 5652928),(4 9618100),(5 14401888),(6 19910518),(7 26090270),(8 33376872),(9 41006160),(10 49567380),(11 58281570),(12 68125410),(13 77654730),(14 88363010),(15 98675580),(16 108881560),(17 119998680),(18 130502270),(19 140663310),(20 150842740),(21 160580270),(22 171401490),(23 181629570),(24 190956530),(25 200424270),(26 209437390),(27 217940180),(28 225942530),(29 233341900),(30 240594640),(31 247257300),(32 253443540),(33 258366340),(34 263244720),(35 267685040),(36 272087140),(37 276343780),(38 280741220),(39 284951330),(40 289506100),(41 293345660),(42 298238880),(43 303205380),(44 308299230),(45 313618980),(46 319089700),(47 323036130),(48 327821250),(49 332576160),(50 337209060),(51 341552450),(52 345772220),(53 348890000),(54 352613400),(55 355979700),(56 358189200),(57 360481180),(58 362583700),(59 363733500),(60 364244960),(61 363814660),(62 362216060),(63 361058020),(64 359824480),(65 358051940),(66 354993700),(67 351152770),(68 345594600),(69 341040600),(70 336050430),(71 330677860),(72 324690430),(73 318154600),(74 311307550),(75 303770980),(76 295972700),(77 287822980),(78 279424580),(79 270724220),
(1 654928.6),(2 2657710.8),(3 5852965.5),(4 10055698),(5 15211770),(6 21255614),(7 28147872),(8 36018016),(9 44567988),(10 54006024),(11 63983692),(12 74572630),(13 85458600),(14 96709920),(15 107677700),(16 118298470),(17 128707630),(18 138778720),(19 148395940),(20 157547680),(21 166396500),(22 175511170),(23 183907500),(24 191742260),(25 199560580),(26 206939310),(27 214282030),(28 221406850),(29 228369820),(30 235485950),(31 242469730),(32 248011100),(33 252762720),(34 257366370),(35 261644130),(36 265761740),(37 269658880),(38 273041500),(39 276128900),(40 278953900),(41 281307620),(42 283904740),(43 286164500),(44 288170940),(45 289999550),(46 291218850),(47 291725760),(48 292023300),(49 291875070),(50 291291970),(51 290005100),(52 288322000),(53 286278560),(54 284427970),(55 282406720),(56 279656640),(57 276932060),(58 274011040),(59 270740500),(60 267403650),(61 263752750),(62 259052200),(63 254438450),(64 249724510),(65 244732580),(66 239884960),(67 235055870),(68 229647920),(69 224958720),(70 220112260),(71 215131870),(72 209934160),(73 204368530),(74 198463220),(75 192164420),(76 185444770),(77 178516270),(78 171423340),(79 164201260),
(1 622558.3),(2 2440916),(3 5323751.5),(4 9127205),(5 13759476),(6 19123504),(7 25191690),(8 31896184),(9 39253172),(10 47187584),(11 55597184),(12 64367300),(13 73475416),(14 82615100),(15 91439750),(16 99681220),(17 107077016),(18 114015690),(19 120278250),(20 125856250),(21 130750936),(22 134839170),(23 138058350),(24 140678940),(25 142689100),(26 144210420),(27 145264500),(28 145931400),(29 146268980),(30 146348000),(31 146106000),(32 144734910),(33 142955070),(34 140859520),(35 138644240),(36 136330350),(37 133988100),(38 131604160),(39 129378920),(40 127206616),(41 125175590),(42 123365410),(43 121795050),(44 120716250),(45 119914470),(46 119284890),(47 119053770),(48 118931580),(49 118988760),(50 119120296),(51 119345640),(52 119544040),(53 119919880),(54 120283096),(55 120527464),(56 120417020),(57 120208930),(58 119773864),(59 119115840),(60 118385240),(61 117520490),(62 115799740),(63 113675016),(64 110980700),(65 108067000),(66 105642904),(67 103629930),(68 102093304),(69 100958870),(70 100062360),(71 99299110),(72 98534216),(73 97503940),(74 96139416),(75 94489120),(76 92922664),(77 91497256),(78 90090010),(79 88668690),
(1 460805.97),(2 1740353.1),(3 3704873.8),(4 6233137),(5 9191091),(6 12505556),(7 16121211),(8 19998560),(9 24117426),(10 28420790),(11 32918186),(12 37511864),(13 42265108),(14 47120336),(15 51953676),(16 56516508),(17 60665224),(18 64494864),(19 67915850),(20 70889230),(21 73491360),(22 75784360),(23 77859620),(24 79624930),(25 81095580),(26 82339270),(27 83367950),(28 84105256),(29 84537560),(30 84705880),(31 84486104),(32 83364264),(33 81916500),(34 80279470),(35 78464950),(36 76608320),(37 74797910),(38 73171750),(39 71783070),(40 70622100),(41 69727224),(42 68965420),(43 68308020),(44 67708840),(45 67262500),(46 66902464),(47 66677690),(48 66529650),(49 66548196),(50 66666980),(51 66884080),(52 67290780),(53 67880420),(54 68689704),(55 69465016),(56 70205020),(57 70863790),(58 71377630),(59 71660580),(60 71664800),(61 71395520),(62 70954320),(63 70149190),(64 69033384),(65 67617850),(66 65931890),(67 64283390),(68 62864696),(69 61772004),(70 61036772),(71 60498772),(72 60038868),(73 59482196),(74 58812580),(75 57929476),(76 57067890),(77 56370084),(78 55815664),(79 55360540),
(1 403111.72),(2 1486548),(3 3084154.3),(4 5018743.5),(5 7097667.5),(6 9210585),(7 11284673),(8 13245065),(9 15125079),(10 16929564),(11 18637172),(12 20243778),(13 21824704),(14 23412444),(15 25035576),(16 26602878),(17 28066228),(18 29413496),(19 30657786),(20 31766796),(21 32809094),(22 34034980),(23 35477224),(24 36985596),(25 38631844),(26 40310428),(27 42074692),(28 43803024),(29 45524268),(30 47179264),(31 48705840),(32 49869244),(33 50844028),(34 51575132),(35 52120450),(36 52530840),(37 52848476),(38 53268690),(39 53735524),(40 54149456),(41 54550652),(42 54826584),(43 54830908),(44 54469900),(45 53838570),(46 52910910),(47 51686680),(48 50242676),(49 48697736),(50 47072868),(51 45440840),(52 43946930),(53 42723856),(54 41865830),(55 41330508),(56 41164652),(57 41251292),(58 41566524),(59 41994940),(60 42533324),(61 43106140),(62 43475188),(63 43806190),(64 43989948),(65 44045696),(66 44121024),(67 44344668),(68 44716576),(69 45309988),(70 46113628),(71 46942976),(72 47735190),(73 48284896),(74 48507484),(75 48468504),(76 48214570),(77 47870624),(78 47578910),(79 47380092),
(1 512349.3),(2 1904808.6),(3 3948558),(4 6394163),(5 8968022),(6 11504164),(7 13873962),(8 16052602),(9 18045984),(10 19868620),(11 21542794),(12 23120598),(13 24643170),(14 26191764),(15 27744022),(16 29275392),(17 30747744),(18 32262778),(19 33799560),(20 35314636),(21 36751924),(22 38120336),(23 39540290),(24 40966964),(25 42420628),(26 43885510),(27 45403996),(28 46908764),(29 48424212),(30 49883116),(31 51304940),(32 52811416),(33 54404972),(34 55950836),(35 57293816),(36 58395720),(37 59249396),(38 59826230),(39 60278604),(40 60513510),(41 60592296),(42 60474264),(43 60158070),(44 59549400),(45 58655788),(46 57522690),(47 56193210),(48 54651330),(49 52973588),(50 51190236),(51 49379576),(52 47650144),(53 46034944),(54 44521036),(55 43269220),(56 42440020),(57 42006804),(58 41998090),(59 42378860),(60 43048064),(61 44003732),(62 45097190),(63 46164204),(64 47108804),(65 47855310),(66 48523932),(67 49352984),(68 50368840),(69 51536096),(70 52782790),(71 53859736),(72 54628376),(73 54854376),(74 54539520),(75 53704250),(76 52528468),(77 51226520),(78 49896760),(79 48616972),
(1 468903.3),(2 1727126.1),(3 3525598.3),(4 5558087),(5 7534284.5),(6 9257666),(7 10635934),(8 11668268),(9 12409866),(10 12916196),(11 13253227),(12 13490425),(13 13705680),(14 13951263),(15 14227463),(16 14565606),(17 14972427),(18 15542814),(19 16224353),(20 16958596),(21 17737562),(22 18662814),(23 19665320),(24 20515452),(25 21244756),(26 21793822),(27 22136642),(28 22308694),(29 22337000),(30 22261580),(31 22103100),(32 21736296),(33 21394628),(34 21165276),(35 21077558),(36 21156396),(37 21378526),(38 21629000),(39 21887094),(40 22168068),(41 22434260),(42 22766972),(43 23083232),(44 23350654),(45 23586200),(46 23822664),(47 24051464),(48 24272958),(49 24487160),(50 24695350),(51 24883314),(52 25097036),(53 25378978),(54 25710172),(55 26106232),(56 26559616),(57 27044494),(58 27579406),(59 28154994),(60 28762542),(61 29405420),(62 30245698),(63 31039756),(64 31780210),(65 32329400),(66 32539588),(67 32700052),(68 33039784),(69 33613532),(70 34402308),(71 35234508),(72 35969910),(73 36358924),(74 36433084),(75 36159772),(76 35677296),(77 35272544),(78 35053396),(79 35017390),
(1 462932.9),(2 1757349.1),(3 3580444),(4 5577008),(5 7412483),(6 8880414),(7 9910748),(8 10565779),(9 10946172),(10 11193132),(11 11396558),(12 11638886),(13 11953892),(14 12330706),(15 12716818),(16 13104694),(17 13529778),(18 14050242),(19 14649884),(20 15334590),(21 15966839),(22 16545332),(23 17109606),(24 17569452),(25 17880188),(26 18010870),(27 17977134),(28 17796846),(29 17515034),(30 17195958),(31 16942790),(32 17041172),(33 17244426),(34 17562900),(35 17926636),(36 18398496),(37 19032846),(38 19896162),(39 20932562),(40 22115022),(41 23318158),(42 24391366),(43 25331234),(44 26133312),(45 26801484),(46 27335936),(47 27761254),(48 28053534),(49 28225322),(50 28303304),(51 28299674),(52 28218834),(53 27986802),(54 27671838),(55 27334916),(56 27087996),(57 26923724),(58 26878084),(59 26902876),(60 26951636),(61 26984224),(62 27128584),(63 27294166),(64 27506738),(65 27631590),(66 27589578),(67 27602484),(68 27840338),(69 28366708),(70 29140410),(71 30028030),(72 30822728),(73 31314518),(74 31463950),(75 31244564),(76 30704860),(77 30079868),(78 29517792),(79 29100410),
(1 417412.75),(2 1603709),(3 3238757.5),(4 4928308),(5 6342739),(6 7346876),(7 7944591),(8 8275107),(9 8489367),(10 8762279),(11 9167708),(12 9731245),(13 10444569),(14 11243063),(15 12003382),(16 12693818),(17 13289824),(18 13844208),(19 14427343),(20 15034798),(21 15638015),(22 16286276),(23 16928778),(24 17421718),(25 17692828),(26 17721936),(27 17557344),(28 17260032),(29 16914262),(30 16613856),(31 16405662),(32 16335415),(33 16444241),(34 16721749),(35 17117000),(36 17603176),(37 18160118),(38 18731542),(39 19330068),(40 19948538),(41 20511246),(42 20917552),(43 21125316),(44 21154826),(45 21107210),(46 20996816),(47 20889650),(48 20770626),(49 20606760),(50 20411536),(51 20184858),(52 19948464),(53 19782422),(54 19640752),(55 19511866),(56 19388080),(57 19274580),(58 19191780),(59 19165212),(60 19116616),(61 19106944),(62 19274084),(63 19420490),(64 19617348),(65 19679794),(66 19412852),(67 19049148),(68 18839444),(69 18893516),(70 19241138),(71 19754746),(72 20210230),(73 20430822),(74 20339068),(75 20019914),(76 19641004),(77 19399338),(78 19405982),(79 19592440),
(1 405173.72),(2 1583597.8),(3 3182376),(4 4757666.5),(5 5964152),(6 6697097.5),(7 7015825.5),(8 7145958),(9 7321998.5),(10 7730884.5),(11 8427407),(12 9358249),(13 10426840),(14 11502612),(15 12431092),(16 13130579),(17 13553166),(18 13780069),(19 13931309),(20 14084320),(21 14247913),(22 14503617),(23 14819532),(24 15137127),(25 15375225),(26 15478519),(27 15451573),(28 15297621),(29 15078043),(30 14849609),(31 14665443),(32 14601598),(33 14649183),(34 14675346),(35 14690221),(36 14724641),(37 14812533),(38 14959403),(39 15180725),(40 15447920),(41 15695513),(42 15882242),(43 15989086),(44 16023815),(45 16012510),(46 15965287),(47 15909275),(48 15854021),(49 15781685),(50 15692656),(51 15607957),(52 15519559),(53 15482622),(54 15514236),(55 15606780),(56 15792251),(57 15999902),(58 16226585),(59 16425970),(60 16579006),(61 16689401),(62 16843446),(63 17009222),(64 17203056),(65 17291136),(66 17165700),(67 16872086),(68 16575026),(69 16422428),(70 16492160),(71 16701013),(72 16885894),(73 16899804),(74 16660711),(75 16239637),(76 15784260),(77 15433013),(78 15304716),(79 15372565),
(1 400550),(2 1549353),(3 3090433),(4 4551483.5),(5 5593776),(6 6133061.5),(7 6310232.5),(8 6431892),(9 6749366),(10 7444355.5),(11 8488664),(12 9736820),(13 11017253),(14 12140705),(15 12925529),(16 13347945),(17 13468884),(18 13434808),(19 13376922),(20 13427235),(21 13651610),(22 14100890),(23 14591107),(24 14995492),(25 15285614),(26 15435281),(27 15491823),(28 15463002),(29 15382645),(30 15265523),(31 15147970),(32 15054549),(33 15096860),(34 15116873),(35 15050986),(36 14917608),(37 14778007),(38 14694639),(39 14685071),(40 14726358),(41 14731061),(42 14655324),(43 14532924),(44 14450541),(45 14462368),(46 14554302),(47 14677695),(48 14745449),(49 14707445),(50 14562790),(51 14334776),(52 14035773),(53 13691966),(54 13297281),(55 12860432),(56 12442364),(57 12044015),(58 11691868),(59 11366141),(60 11039654),(61 10759925),(62 10649143),(63 10653246),(64 10797624),(65 10906797),(66 10804480),(67 10571440),(68 10341666),(69 10285544),(70 10498355),(71 10906417),(72 11326447),(73 11570012),(74 11593076),(75 11467035),(76 11393510),(77 11428520),(78 11632816),(79 11984671),
