q, (a, b, c)
1.5, (-13184347.94349496, 56.21762606021628, 11978287.333415285)
2.5, (-67535567.49444877, 162.98207872353396, 64564854.63417831)
3.5, (-18950306.730572835, 25.22809844498164, 14778511.876437841)
4.5, (-15861227.745061878, 29.605005639622075, 13211860.815883998)
5.5, (-14768402.477466227, 18.297778875208415, 11480582.852119857)
6.5, (-21214968.75317266, 14.396797490780715, 14821937.862995325)
7.5, (-19465042.738412224, 27.516900545169463, 16167654.353119966)
8.5, (-17821009.338550113, 26.37499904842347, 15053494.149232665)
9.5, (-11793089.90058443, 13.485919195884767, 9351511.637727384)
10.5, (-10907877.288635988, 10.945837079476915, 8202650.4343321845)
11.5, (-6938018.893031559, 25.740582885605473, 7193907.911006724)
12.5, (-8431231.289480925, 7.637665413140848, 6128662.903917308)
13.5, (-6084472.3328296365, 7.424506001864949, 4453428.191568314)
14.5, (-4120693.5457441295, 9.55418490210281, 3612783.535626529)
15.5, (-4007547.715193902, 13.965915722094294, 3793904.3533186098)
16.5, (-3933007.3649958284, 6.776118849284231, 3090086.4861616325)
17.5, (-3522489.5426631123, 6.210816803499615, 2651769.817364483)
18.5, (-3630088.3204188407, 3.8002584914109137, 2391043.3418006557)
19.5, (-3382397.054444069, 4.418337091449395, 2379955.854401038)
20.5, (-2984203.980879432, 5.47570406780612, 2205875.3713922193)
21.5, (-2595600.428288363, 5.0384024870945385, 1913991.1987581884)
22.5, (-2300355.3001159276, 8.97317618520955, 2003868.2636101434)
23.5, (-1961676.9414788268, 12.13563608647277, 2009954.8870090195)
24.5, (-1448297.3363843847, 11.904319584220136, 1659180.375804288)
25.5, (-1661534.9646937363, 8.564892508633086, 1619551.9566029895)
26.5, (-1470958.1400964018, 6.8111884544910515, 1405063.642101311)
27.5, (-1585910.286624967, 5.67473936928658, 1409842.4876047436)
28.5, (-1837462.6442654429, 4.2481689301629535, 1394401.4948182872)
29.5, (-1463455.801987081, 3.9870900497117865, 1119759.1883117424)
30.5, (-1953481.2970145245, 169.36037392782254, 2570336.090844551)
31.5, (-886596.0344507521, 31.18859291812095, 1274977.6064992428)
32.5, (-871801.4350504981, 13.917371918333151, 1022928.5089294569)
33.5, (-779330.1462565651, 13.151507294776513, 935420.8198024724)
34.5, (-705565.4933895459, 19.600079598361166, 916734.692898629)
35.5, (-668782.3376169534, 13.302690029444246, 806720.4932040826)
36.5, (-661817.3477422275, 14.071252075164827, 828157.2132155476)
37.5, (-688411.9350440804, 13.553373368959512, 825751.8074215497)
38.5, (-454422.10966749775, 16.304854490402533, 677802.5794084884)
39.5, (-449554.3069156708, 12.359473487035215, 594441.4842003436)
40.5, (-389580.912105987, 19.58445627946994, 578545.3655620918)
41.5, (-429049.07836184156, 21.50283232270806, 619579.5460694914)
42.5, (-418308.1950106011, 11.992693144357403, 516854.268817968)
43.5, (-399451.9617339783, 8.920021325106585, 458801.6012850204)
44.5, (-339939.8500149726, 14.616886425766957, 481942.91676342493)
45.5, (-370856.1331916026, 14.826077667368557, 490015.729000757)
46.5, (-287788.47059273196, 12.958371270235705, 394426.35011749144)
47.5, (-288599.29424613627, 12.489604447675902, 383174.9845663225)
48.5, (-246893.8287894651, 15.820147163501034, 356241.7237075943)
49.5, (-272101.79629311996, 15.211911498556677, 361308.80929811066)
50.5, (-221632.38331744, 14.48149104250557, 329627.34252012934)
51.5, (-233721.77551762768, 15.776512450122048, 332711.2578286407)
52.5, (-246606.4845853398, 16.405686417832435, 332662.899381198)
53.5, (-198088.5697840414, 17.268202571199854, 292610.19134114805)
54.5, (-203269.1951934939, 21.030538782945463, 307622.9427655156)
55.5, (-233409.68464742246, 18.71518718211998, 313630.0455240367)
56.5, (-203543.42661455754, 14.472222343371786, 266168.22115878086)
57.5, (-210519.69272934296, 18.67133890358154, 283685.4587565949)
58.5, (-202449.86943487093, 19.139127974392846, 282019.0734032762)
59.5, (-173003.35490245317, 13.681974529975653, 242896.8593281317)
60.5, (-177045.76642320116, 12.978552650462955, 243457.338557399)
61.5, (-170498.79971822456, 16.20241155309122, 242794.96703510682)
62.5, (-167097.7896212654, 16.435690767198402, 240336.76740264683)
63.5, (-154121.9921989149, 17.874304805262955, 217856.45461533117)
64.5, (-153521.0322364416, 25.746689404854326, 231713.2335940516)
65.5, (-135744.9664731762, 17.22036344132607, 203551.0169156392)
66.5, (-134855.0995638168, 18.96488418318212, 201958.40405199456)
67.5, (-126613.53294916195, 34.73862640349648, 216344.55093724374)
68.5, (-113048.17759628603, 25.93974359900922, 197909.25052800518)
69.5, (-114801.43883409209, 18.323915859422815, 180473.3263212678)
70.5, (-120930.9638315586, 19.306202819295176, 184200.2011494899)
71.5, (-121698.17495847431, 24.696274558080315, 193161.03427191812)
72.5, (-109175.43211700878, 15.711306700033331, 163200.0789838197)
73.5, (-113351.1785461211, 16.53351596501957, 165394.17733636787)
74.5, (-98752.61359675604, 19.784150462649514, 158820.52682823504)
75.5, (-91627.62245646714, 16.92613021985787, 144186.52839660895)
76.5, (-89951.39543299025, 22.768129015921712, 150633.6078196084)
77.5, (-94759.42590343884, 26.422037350747814, 151136.74436899257)
78.5, (-88446.1609757161, 16.973564475267644, 136057.65601362186)
79.5, (-89060.37916136216, 12.04639585778618, 124262.21421261816)
80.5, (-88450.45196202748, 11.166673318643259, 122079.49460113936)
81.5, (-78181.01418861416, 13.805007656854388, 115545.9819628522)
82.5, (-76152.89470940921, 14.13299930506458, 112103.11135062252)
83.5, (-76795.00085370081, 11.14641501586997, 109103.01688023665)
84.5, (-78911.74423297023, 13.963295816814181, 111964.59892533063)
85.5, (-75419.14711942144, 9.642986960277304, 102141.77702591596)
86.5, (-67660.3574041715, 11.725970706950102, 101718.90365780755)
87.5, (-68085.79959396375, 12.372952344874749, 101360.57633487908)
88.5, (-76136.60625325894, 10.831948039364347, 101482.11976731004)
89.5, (-63989.230183010186, 12.929458526142334, 93878.30405875549)
90.5, (-61934.717474686906, 17.393356188882073, 95911.41762729052)
91.5, (-67439.20962012504, 12.2242756755142, 92130.87887591102)
92.5, (-60121.1671845177, 14.94470661641235, 88098.1728108118)
93.5, (-54903.76407469663, 16.25475321835136, 87051.79794825107)
94.5, (-53257.13380677742, 17.8292837291912, 84542.03004738757)
95.5, (-53683.39948083923, 16.158349477405114, 82206.41983835083)
96.5, (-50877.49979258191, 29.208479679175653, 86987.1088097272)
97.5, (-52448.13410020912, 32.36782604398725, 86736.7403889497)
98.5, (-53495.37306286727, 23.73362451267681, 83011.33330022775)
99.5, (-52808.59473758303, 18.43867598752401, 76977.93053297179)
100.5, (-43959.05438297646, 19.779367589427494, 74473.9433569887)
101.5, (-43661.19510033868, 18.64307797347868, 71772.30083144463)
102.5, (-45146.48240948149, 17.919657579171815, 71368.05607072891)
