q, (a, b, c)
1.5, (-468228382086.3458, 283732.46372441325, 468211269754.5825)
2.5, (-795912131062.0194, 610036.9629557641, 795901403793.7623)
3.5, (-480737511.4281258, 205.03244514060296, 467349377.21949977)
4.5, (-109163749.3159424, 34.16245164297925, 94290352.77629349)
5.5, (-54979021.76425721, 61.43881935541682, 59379090.76257944)
6.5, (-46912579.67293546, 29.353070211310033, 47957400.94713216)
7.5, (-32878688.45787008, 19.26893444621783, 31082309.00223004)
8.5, (-37847431.83218284, 9.590300788675433, 31148719.260065895)
9.5, (-46752294.985401, 10.67908408284037, 39768334.82233822)
10.5, (-36890140.09346914, 8.564269688604732, 27858577.15958353)
11.5, (-25357932.52377344, 10.57936894287029, 21652597.869625546)
12.5, (-19154633.710762452, 7.57517970328835, 14430553.147287142)
13.5, (-15454144.032710725, 6.221395016453161, 11674315.052604865)
14.5, (-12060968.245024903, 7.199996188269268, 10153899.734078828)
15.5, (-11985172.527063008, 9.079606725118872, 10326679.878134912)
16.5, (-8391734.153340468, 8.950014203056073, 7582326.093590631)
17.5, (-7432451.136693756, 10.32782474260468, 7151602.239196885)
18.5, (-6806682.166539752, 13.55605527145466, 6708645.242770214)
19.5, (-5130767.344000774, 8.721105416525605, 5004672.355186196)
20.5, (-4748385.674562359, 5.973108152109246, 4013611.953306051)
21.5, (-5179934.997157078, 6.594853195448763, 4476206.387993804)
22.5, (-5872598.234005096, 4.401142167384576, 4357579.240828164)
23.5, (-4670205.835748631, 4.182305110707774, 3446591.2747215675)
24.5, (-3506114.0741760223, 4.562834109776995, 2817549.1249802914)
25.5, (-2848492.106042068, 6.3374333641224565, 2672939.6028631846)
26.5, (-2468024.171695459, 4.367774078537432, 2080128.89833616)
27.5, (-2473116.6953718946, 3.4752196595781593, 1868723.3280524444)
28.5, (-1888596.4873194292, 4.176164941492651, 1616714.5374658303)
29.5, (-1720893.2310416587, 5.458589865468203, 1588375.8421379062)
30.5, (-1464530.0531396857, 5.9083165402835505, 1438391.1184186982)
31.5, (-1197901.4744825657, 8.597656980472923, 1386222.4179277814)
32.5, (-1051184.7303056587, 11.219251233550004, 1296808.1576321267)
33.5, (-1111323.9146079912, 7.661455850365619, 1220308.363822403)
34.5, (-1284971.050111996, 3.2202069366944985, 1007097.2226107862)
35.5, (-1010292.9809414983, 5.101737626302112, 1015298.7129807506)
36.5, (-957082.3666889246, 5.670156356118082, 933204.7786467907)
37.5, (-889278.6310753402, 5.622595218338451, 890171.6195081105)
38.5, (-745004.0101436861, 6.260999553577558, 780068.3477450865)
39.5, (-724108.3353300572, 5.425909154746987, 749923.8815237187)
40.5, (-652701.6736844047, 7.1839138711956, 785159.0569529588)
41.5, (-668885.4254073527, 6.617701327077603, 746580.6315986051)
42.5, (-639378.537151081, 7.57215295200758, 718782.1442931277)
43.5, (-516680.2117034946, 9.940752762970904, 686029.6064817444)
44.5, (-543353.2091970369, 7.86153188148557, 656195.3760792321)
45.5, (-460835.11589181866, 14.142701947907032, 672697.4109029792)
46.5, (-369840.04923922475, 16.20468188275897, 578882.8360919977)
47.5, (-322472.9609705422, 18.437315698326568, 566823.7990752024)
48.5, (-331283.71411340084, 19.63342018970238, 556528.6102911747)
49.5, (-373229.807922479, 12.747056607702802, 520078.8691975285)
50.5, (-310665.06224752945, 16.606601356005033, 478959.6409113888)
51.5, (-331693.06554617424, 13.695895030366504, 473214.0722890572)
52.5, (-265904.3341747174, 13.997860056855306, 411873.5194561794)
53.5, (-259030.15373426586, 16.81367762881385, 393638.31617563404)
54.5, (-256911.2428690264, 18.54633494085159, 401932.2815800904)
55.5, (-236756.3585245569, 15.562730971174979, 360948.5730692838)
56.5, (-205252.1097863957, 29.915688670037184, 360407.61814161227)
57.5, (-237115.18910870174, 7.136476139868193, 298102.7411090527)
