1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 98721.94),(2 313428.53),(3 603777.25),(4 1044225.8),(5 1569419.9),(6 2139041),(7 2855123.3),(8 3632546),(9 4405339.5),(10 5258122),(11 6173908),(12 7028678.5),(13 8030824),(14 9090117),(15 10144415),(16 11349228),(17 12656679),(18 13979643),(19 15467091),(20 16954530),(21 18352778),(22 19885558),(23 21423966),(24 22869914),(25 24445974),(26 25995136),(27 27518016),(28 29200104),(29 30834558),(30 32485632),(31 34309770),(32 36077844),(33 37871468),(34 39862944),(35 41839796),(36 43758852),(37 45844348),(38 47982092),(39 50173012),(40 52614412),(41 54924000),(42 57132304),(43 59596256),(44 62082212),(45 64613664),(46 67396890),(47 70260376),(48 73048910),(49 75982040),(50 78823656),(51 81557816),(52 84470264),(53 87417224),(54 90346500),(55 93538090),(56 96676070),(57 99820136),(58 103334460),(59 106500760),(60 109241690),(61 112163336),(62 114945960),(63 117415896),(64 119901530),(65 122258280),(66 124300010),(67 126604440),(68 128702330),(69 130628860),(70 133108310),(71 135513020),(72 137577010),(73 140024320),(74 142373650),(75 144344900),(76 146694640),(77 149026900),(78 151196260),(79 153763600),
(1 98645.04),(2 327459.1),(3 670611.4),(4 1179920.6),(5 1765128.4),(6 2417944.5),(7 3211050.5),(8 4032392.8),(9 4887673),(10 5819408.5),(11 6774258.5),(12 7713349),(13 8822197),(14 9893768),(15 11001123),(16 12223142),(17 13431275),(18 14630294),(19 15929864),(20 17174652),(21 18452032),(22 19848432),(23 21257418),(24 22703322),(25 24311804),(26 25752516),(27 27213780),(28 28885430),(29 30413098),(30 31978032),(31 33675370),(32 35241588),(33 36905010),(34 38745068),(35 40480570),(36 42250410),(37 44082824),(38 45819036),(39 47664450),(40 49638996),(41 51421524),(42 53287444),(43 55237704),(44 56977090),(45 58905836),(46 60845740),(47 62713836),(48 64793460),(49 66872216),(50 68702390),(51 70645620),(52 72640936),(53 74415660),(54 76340860),(55 78330780),(56 80084970),(57 82135170),(58 84321000),(59 86083090),(60 87832536),(61 89648920),(62 91257064),(63 92975256),(64 94735384),(65 96400240),(66 98096870),(67 99828904),(68 101263430),(69 102692400),(70 104182740),(71 105555520),(72 107006790),(73 108733580),(74 110422040),(75 112216960),(76 114020140),(77 115808870),(78 117834984),(79 119953880),
(1 96353.25),(2 346178.7),(3 745369.7),(4 1306618.3),(5 1967360.5),(6 2710451.8),(7 3582870),(8 4520517.5),(9 5525908.5),(10 6604761.5),(11 7739494),(12 8943197),(13 10274711),(14 11628341),(15 13042739),(16 14477429),(17 15947579),(18 17466780),(19 19056640),(20 20621202),(21 22259924),(22 24002646),(23 25733038),(24 27465818),(25 29252278),(26 30937302),(27 32611754),(28 34340836),(29 35968944),(30 37580000),(31 39232532),(32 40851404),(33 42497364),(34 44171904),(35 45792780),(36 47324404),(37 48862572),(38 50294804),(39 51639668),(40 52908444),(41 54074668),(42 55204212),(43 56298836),(44 57256224),(45 58205580),(46 59023796),(47 59858716),(48 60834756),(49 61826508),(50 62720852),(51 63704756),(52 64600884),(53 65492860),(54 66460212),(55 67390740),(56 68318550),(57 69374210),(58 70383656),(59 71313130),(60 72279784),(61 73207510),(62 74120260),(63 75073630),(64 76043510),(65 77055580),(66 78135130),(67 79271770),(68 80542160),(69 81916320),(70 83401280),(71 85033304),(72 86691830),(73 88460800),(74 90268520),(75 92279560),(76 94163560),(77 96128056),(78 98151330),(79 100158570),
(1 94579.3),(2 356732.78),(3 775575.56),(4 1325469.6),(5 1995618.9),(6 2769393.8),(7 3665942.8),(8 4654021.5),(9 5734250.5),(10 6894886),(11 8119363.5),(12 9397746),(13 10756927),(14 12155992),(15 13599140),(16 15083600),(17 16646354),(18 18271626),(19 19993966),(20 21758796),(21 23620694),(22 25532646),(23 27430314),(24 29341806),(25 31321144),(26 33309226),(27 35323556),(28 37359456),(29 39314420),(30 41187132),(31 43051868),(32 44867344),(33 46662030),(34 48497748),(35 50235416),(36 51884596),(37 53531268),(38 55149972),(39 56752010),(40 58302600),(41 59906196),(42 61494356),(43 63205824),(44 64842580),(45 66343468),(46 67790300),(47 69281176),(48 70690060),(49 72040600),(50 73379890),(51 74635240),(52 75955810),(53 77299590),(54 78613900),(55 79943790),(56 81251130),(57 82474410),(58 83711850),(59 84962590),(60 86106776),(61 87348296),(62 88612200),(63 89857290),(64 91089096),(65 92410750),(66 93772320),(67 95187180),(68 96688420),(69 98266500),(70 99980510),(71 101681950),(72 103298460),(73 104973710),(74 106638780),(75 108275050),(76 109963110),(77 111658720),(78 113271330),(79 114861790),
(1 105124.34),(2 398465.88),(3 866255.2),(4 1481041.9),(5 2223068),(6 3083309.8),(7 4056123.3),(8 5135801.5),(9 6302428.5),(10 7537895.5),(11 8837195),(12 10199459),(13 11624988),(14 13072909),(15 14537836),(16 16022941),(17 17517474),(18 18995590),(19 20508606),(20 22035722),(21 23585128),(22 25186046),(23 26771870),(24 28377192),(25 30037976),(26 31605214),(27 33181242),(28 34753924),(29 36147920),(30 37428376),(31 38703156),(32 39912628),(33 41035536),(34 42147304),(35 43134404),(36 43996820),(37 44812890),(38 45516544),(39 46156144),(40 46699788),(41 47166990),(42 47591010),(43 48033504),(44 48347344),(45 48604228),(46 48849430),(47 49049852),(48 49179644),(49 49330932),(50 49395484),(51 49389324),(52 49409790),(53 49442970),(54 49488410),(55 49558692),(56 49617788),(57 49730420),(58 49859548),(59 49900684),(60 49995172),(61 50099340),(62 50166596),(63 50310244),(64 50479836),(65 50594956),(66 50745988),(67 50893200),(68 51017090),(69 51183348),(70 51343476),(71 51499004),(72 51692916),(73 51879976),(74 51965976),(75 52121520),(76 52258096),(77 52400652),(78 52557650),(79 52681860),
(1 118141.71),(2 462073.06),(3 1030264),(4 1796353),(5 2762430.5),(6 3911722.5),(7 5242631),(8 6726473.5),(9 8355125),(10 10092882),(11 11939990),(12 13876195),(13 15857843),(14 17834932),(15 19818896),(16 21793770),(17 23749306),(18 25622942),(19 27425222),(20 29191220),(21 30898924),(22 32524780),(23 34107720),(24 35628620),(25 37127970),(26 38507772),(27 39756300),(28 40857770),(29 41832972),(30 42658680),(31 43397160),(32 44032436),(33 44636204),(34 45140364),(35 45642228),(36 46018840),(37 46260284),(38 46419308),(39 46493250),(40 46568360),(41 46633492),(42 46680776),(43 46663484),(44 46613856),(45 46597816),(46 46554150),(47 46562468),(48 46570656),(49 46594904),(50 46643800),(51 46756790),(52 46905400),(53 47106696),(54 47283176),(55 47527028),(56 47683070),(57 47866356),(58 48049936),(59 48304290),(60 48589590),(61 48946810),(62 49307710),(63 49806430),(64 50393330),(65 50995508),(66 51589344),(67 52261804),(68 53016500),(69 53768330),(70 54497880),(71 55207916),(72 55934024),(73 56715796),(74 57406988),(75 58087636),(76 58830580),(77 59700504),(78 60544920),(79 61383784),
(1 95206.58),(2 375589.38),(3 837834.94),(4 1463127.5),(5 2273383.8),(6 3259095.5),(7 4420561.5),(8 5734725.5),(9 7174042.5),(10 8719451),(11 10356871),(12 12036060),(13 13738657),(14 15387190),(15 17045464),(16 18717688),(17 20365376),(18 21945672),(19 23447476),(20 24852374),(21 26149100),(22 27355574),(23 28504324),(24 29575236),(25 30544810),(26 31384876),(27 32039414),(28 32542162),(29 32904842),(30 33204758),(31 33419788),(32 33528278),(33 33577944),(34 33612870),(35 33599384),(36 33502878),(37 33331902),(38 33074380),(39 32765528),(40 32472994),(41 32187038),(42 31870070),(43 31587936),(44 31256532),(45 30938974),(46 30586882),(47 30283230),(48 29984680),(49 29735768),(50 29505464),(51 29292418),(52 29105240),(53 28938392),(54 28789280),(55 28607178),(56 28398616),(57 28233964),(58 28145332),(59 28090550),(60 28082434),(61 28095172),(62 28104452),(63 28167732),(64 28281898),(65 28419288),(66 28578644),(67 28829022),(68 29093080),(69 29394114),(70 29712232),(71 30053398),(72 30395748),(73 30745240),(74 31057738),(75 31301142),(76 31554752),(77 31832574),(78 32066690),(79 32229096),
(1 116793.1),(2 455530.6),(3 1000986.25),(4 1725794),(5 2612476.3),(6 3640415),(7 4804908.5),(8 6091390),(9 7497159.5),(10 8967044),(11 10470279),(12 11987563),(13 13495388),(14 14913116),(15 16274635),(16 17561828),(17 18763820),(18 19871018),(19 20937918),(20 21887496),(21 22757004),(22 23558066),(23 24287488),(24 24960960),(25 25548506),(26 26071478),(27 26532518),(28 26924216),(29 27211998),(30 27408284),(31 27541034),(32 27603912),(33 27617678),(34 27574668),(35 27481678),(36 27348864),(37 27185022),(38 27015058),(39 26883656),(40 26760374),(41 26661388),(42 26583966),(43 26531178),(44 26513996),(45 26540002),(46 26544700),(47 26562236),(48 26574692),(49 26635016),(50 26694112),(51 26770712),(52 26828894),(53 26859602),(54 26919134),(55 26940754),(56 26909050),(57 26865812),(58 26821474),(59 26736654),(60 26620744),(61 26449746),(62 26230002),(63 25998744),(64 25763848),(65 25510280),(66 25209538),(67 24917726),(68 24619712),(69 24306298),(70 23944618),(71 23598028),(72 23241650),(73 22891960),(74 22550186),(75 22209518),(76 21934494),(77 21723190),(78 21534012),(79 21360862),
(1 99606.87),(2 388525.13),(3 852830.8),(4 1488124),(5 2290693.8),(6 3211680.8),(7 4246201.5),(8 5393047),(9 6623046.5),(10 7896723),(11 9224865),(12 10590293),(13 11980809),(14 13373832),(15 14763596),(16 16158344),(17 17508624),(18 18791560),(19 20020468),(20 21203882),(21 22338424),(22 23427852),(23 24523012),(24 25563080),(25 26528626),(26 27372752),(27 28152566),(28 28876984),(29 29480148),(30 29986648),(31 30430848),(32 30769724),(33 31011848),(34 31228988),(35 31328516),(36 31320656),(37 31220682),(38 31045222),(39 30819438),(40 30528442),(41 30183152),(42 29754258),(43 29310422),(44 28792856),(45 28247154),(46 27674498),(47 27060014),(48 26425702),(49 25818330),(50 25234564),(51 24677880),(52 24121642),(53 23566866),(54 23083664),(55 22637328),(56 22256924),(57 21945638),(58 21718966),(59 21518504),(60 21367968),(61 21261674),(62 21192566),(63 21192742),(64 21244376),(65 21336240),(66 21443766),(67 21564624),(68 21695432),(69 21802386),(70 21907422),(71 22017616),(72 22129812),(73 22231636),(74 22351628),(75 22390506),(76 22409722),(77 22406096),(78 22369856),(79 22300198),
(1 92507.74),(2 352224.84),(3 762460),(4 1303049.1),(5 1949072),(6 2673915.5),(7 3470036),(8 4328651.5),(9 5232019.5),(10 6164212.5),(11 7103843.5),(12 8063475.5),(13 9033984),(14 9997824),(15 10944252),(16 11915545),(17 12851499),(18 13711148),(19 14498777),(20 15217170),(21 15888489),(22 16516674),(23 17123126),(24 17709088),(25 18290208),(26 18771272),(27 19223766),(28 19652380),(29 20013494),(30 20366038),(31 20737628),(32 21088994),(33 21423552),(34 21773746),(35 22073000),(36 22310998),(37 22512344),(38 22653130),(39 22768376),(40 22820010),(41 22840750),(42 22808362),(43 22749718),(44 22636562),(45 22513478),(46 22356106),(47 22141618),(48 21904694),(49 21679700),(50 21469602),(51 21264988),(52 21019900),(53 20759118),(54 20513198),(55 20262048),(56 20029884),(57 19826680),(58 19657244),(59 19490582),(60 19349636),(61 19230698),(62 19147226),(63 19119816),(64 19121594),(65 19129842),(66 19124804),(67 19155680),(68 19197132),(69 19226648),(70 19277960),(71 19362912),(72 19474888),(73 19623404),(74 19766668),(75 19880088),(76 20015282),(77 20148288),(78 20244874),(79 20333224),
(1 93026.836),(2 355552.34),(3 770329.5),(4 1314951),(5 1974225.6),(6 2731019.3),(7 3559674),(8 4454773),(9 5406817),(10 6370648.5),(11 7328860),(12 8260002),(13 9112873),(14 9898470),(15 10624713),(16 11279863),(17 11849685),(18 12340039),(19 12734422),(20 13032606),(21 13249461),(22 13389250),(23 13464240),(24 13514200),(25 13540698),(26 13503824),(27 13425722),(28 13329713),(29 13215053),(30 13086724),(31 12932925),(32 12766669),(33 12602060),(34 12445855),(35 12309058),(36 12194169),(37 12110515),(38 12052834),(39 12030579),(40 12046477),(41 12106534),(42 12207542),(43 12359883),(44 12559242),(45 12802304),(46 13091857),(47 13419833),(48 13796221),(49 14173253),(50 14557476),(51 14941800),(52 15365143),(53 15792361),(54 16246520),(55 16698899),(56 17121112),(57 17523718),(58 17879302),(59 18180324),(60 18460472),(61 18761032),(62 19020522),(63 19246268),(64 19400612),(65 19504944),(66 19577084),(67 19605670),(68 19574880),(69 19524818),(70 19471960),(71 19426056),(72 19381990),(73 19312396),(74 19192652),(75 19065950),(76 18913016),(77 18728560),(78 18547922),(79 18368190),
