q, (a, b, c)
1.5, (-16647125.783041963, 151.5427524326089, 16655221.230165554)
2.5, (-5235324.306449818, 42.83968315709314, 5275200.701240119)
3.5, (-5148433.363048403, 17.190600950547864, 4374759.498814372)
4.5, (-15621583.008335669, 78.45863262697327, 15190716.349756012)
5.5, (-53731260333.92544, 341932.8591727697, 53730781004.15113)
6.5, (-19020531.268151395, 94.19283032025628, 18306152.67698289)
7.5, (-10475325.032202253, 41.30871904359742, 9371470.224049203)
8.5, (-26182038.42728101, 157.8136302361011, 25694602.027501702)
9.5, (-21624360.174131595, 139.5724560548486, 21068452.313658204)
10.5, (-6518530.109406634, 27.0644404818727, 5808721.238978157)
11.5, (-5727721.763490297, 39.2450654796935, 5493807.610689623)
12.5, (-5876626.381382894, 27.79359596333559, 5377829.1272815)
13.5, (-5362336.164902028, 26.69169821991557, 4969394.243978684)
14.5, (-3220730.728867035, 18.696730824251, 3028833.1739967894)
15.5, (-3520179.397397219, 19.866074283098897, 3297812.774180738)
16.5, (-3758386.1347223828, 11.615972098324763, 3087712.630662668)
17.5, (-3327927.1005571545, 11.795627440000873, 2725923.012521391)
18.5, (-2852515.9930193094, 15.493198718718855, 2615490.9969393173)
19.5, (-2444540.9222577224, 9.596981448986318, 2088465.9098491834)
20.5, (-2123308.1649204637, 16.470780644521252, 2078477.9810013864)
21.5, (-1882176.1883680986, 13.348778048275092, 1786847.9362945152)
22.5, (-1796395.5792092485, 16.50971678143162, 1866019.092453288)
23.5, (-2503487.4490375193, 13.965818851692214, 2209037.113138394)
24.5, (-1729577.6816789021, 12.226728720199334, 1600698.0126397563)
25.5, (-1723152.5678141287, 12.946081009148298, 1643979.1860821778)
26.5, (-1546379.072731045, 7.6447563767571385, 1289966.0454697087)
27.5, (-1761858.1508325562, 11.304398849894303, 1585355.8232270284)
28.5, (-1621463.2365264343, 10.231840097650068, 1449035.219206646)
29.5, (-1273457.8292370348, 10.10210568787489, 1224973.4140325324)
30.5, (-1403504.0481959246, 7.866802208063327, 1184181.2706750706)
31.5, (-1171260.823087381, 7.787794912867494, 1046888.9038676257)
32.5, (-1166340.0997562215, 12.438222152106846, 1179463.1486405174)
33.5, (-1083721.5466464264, 6.9974326081815885, 943211.5158257151)
34.5, (-1130319.716221165, 6.978982176949991, 978404.2274124435)
35.5, (-1031175.2228052544, 6.49291893258398, 890780.0187832136)
36.5, (-886328.7859344629, 8.883478946535329, 846298.0403707811)
37.5, (-975034.1599290866, 8.260144476900571, 916517.8579246008)
38.5, (-873685.2010335522, 5.861685131685229, 760914.3207936998)
39.5, (-926243.9189131944, 7.844675208593832, 878560.6690619016)
40.5, (-873991.4846015503, 7.036601338034107, 812869.5920043298)
41.5, (-798954.7330374002, 7.6698199888618825, 733208.9156988753)
42.5, (-703185.3327309957, 8.921439038418798, 696869.7687045389)
43.5, (-697519.2678432312, 8.026560054419267, 675507.0243453922)
44.5, (-541966.8973092572, 10.282100878574632, 640542.166696154)
45.5, (-651593.0032778725, 8.304578834770737, 647547.427589859)
46.5, (-643608.1200044365, 6.692483698392132, 618383.5334955077)
47.5, (-593041.3076165213, 5.706314530075803, 551885.9889919672)
48.5, (-555642.5458616066, 6.460485838277102, 544640.1000915339)
49.5, (-635891.2006567522, 4.575973305585346, 534846.1739455533)
50.5, (-536873.5694744416, 6.245215315984563, 516037.6502631435)
51.5, (-574558.8284886564, 4.630555441166595, 498822.02691048675)
52.5, (-534969.7003757445, 4.958018654538626, 465052.07614708017)
53.5, (-435850.2113046533, 7.43712648290923, 450305.1428339187)
54.5, (-472654.93558407156, 4.504472302460013, 415877.77407176513)
55.5, (-355242.59330339514, 7.84928265963707, 401239.4260282387)
56.5, (-392611.33186026034, 6.480449422590644, 396929.946681083)
57.5, (-353759.6143728537, 7.14766723227702, 394868.7661486676)
58.5, (-366851.09461544774, 6.702418564122438, 383498.0268087367)
59.5, (-337482.0672306946, 5.804276967494267, 354010.15446589916)
60.5, (-353013.7520849899, 5.113453041596703, 334754.57504654385)
61.5, (-327165.9439024824, 7.350255006222129, 357975.78334234306)
62.5, (-313666.08689296426, 6.919592875979603, 335253.089005646)
63.5, (-326501.9274006758, 5.7794401384659215, 323642.0585393278)
64.5, (-303796.8458941936, 5.847421233765679, 313610.50557076465)
65.5, (-296237.3664676233, 6.2040034474940144, 309570.04260547814)
66.5, (-231347.49527616432, 11.370277141587103, 314825.3772386598)
67.5, (-229982.65559219534, 13.655841368455373, 316664.8834094219)
68.5, (-218736.73732317437, 10.306496661777434, 297203.58319546847)
69.5, (-221436.02127756574, 9.061767340614358, 277313.0939512403)
70.5, (-210700.54608410096, 8.965185140189636, 267744.6285594948)
71.5, (-193489.3412630779, 9.79495206607994, 259496.70433267328)
72.5, (-211178.6264926705, 7.075169963814781, 244416.73826414088)
73.5, (-209892.45829907668, 6.480473941183085, 234850.5886367892)
74.5, (-181256.5086980496, 8.496281765303117, 228860.43173710274)
75.5, (-223759.0003604342, 3.95714772199529, 211097.5403824847)
76.5, (-187562.0894384169, 5.209596449333912, 205968.02471367884)
77.5, (-165570.59227275447, 5.76277446802939, 190675.20526765488)
78.5, (-133739.53276531573, 10.61946759915511, 199292.40748616727)
79.5, (-183299.0627009764, 5.0094645275317875, 192366.17926631178)
80.5, (-169146.5041049699, 5.753089225948821, 185920.61718493985)
81.5, (-169333.57019140178, 4.604549194837376, 172290.4607940688)
82.5, (-124963.1956943961, 7.117373918305482, 166243.58579828375)
83.5, (-167050.41857769305, 3.831251421517826, 162217.00965042642)
84.5, (-118461.92707371719, 7.339632270941758, 156489.66461348336)
85.5, (-150153.4788593672, 4.101214727663247, 149663.22217997527)
86.5, (-140031.0756541126, 4.730317274894107, 150619.06682238544)
87.5, (-109058.74017687482, 7.331707623397743, 143553.41887036272)
88.5, (-111494.98346134402, 6.236874589505253, 141361.07765918208)
89.5, (-109657.44313463684, 6.616512503329437, 134389.25405589683)
90.5, (-109763.84680105795, 5.131741538840552, 127774.0851208442)
91.5, (-112230.98543748923, 5.0891531597242, 127664.8685906075)
92.5, (-94434.64234016303, 7.751088004200103, 128342.70923713101)
93.5, (-91018.23485371396, 7.176122860621785, 124256.05649160949)
94.5, (-88674.71626118863, 6.555257653720847, 116717.85061301466)
95.5, (-84596.01147902854, 7.552970809705792, 116641.12759103719)
96.5, (-64059.72810320647, 11.104216693231557, 109910.32784759687)
97.5, (-77034.29110932737, 6.238934099328901, 103788.30705863153)
98.5, (-85201.37464319183, 4.350580786710762, 100018.83331568722)
99.5, (-70614.48425997983, 6.952622670897041, 97310.20180468893)
100.5, (-63646.57748698441, 8.124906724208035, 94575.62992330475)
101.5, (-62864.00382659206, 8.606748853603138, 93210.97892640454)
102.5, (-72893.20564430422, 5.100048009782994, 87032.58403155486)
103.5, (-65808.31169507734, 6.395654406931476, 85237.29252106966)
104.5, (-67482.81745398464, 4.6136690985718225, 80141.50736024804)
105.5, (-71859.63889382663, 4.593527164403267, 81656.25213962648)
106.5, (-73431.45549148739, 3.345770569949764, 75306.01436853781)
107.5, (-63459.672270933836, 4.552236034201478, 73626.8181811553)
108.5, (-63948.52361067282, 4.0092288076389995, 69806.80944166449)
109.5, (-51273.42424477266, 5.926585284652513, 69201.41036275591)
110.5, (-57665.70648620804, 4.54089463562539, 67233.36801815128)
111.5, (-57695.11739011192, 4.10789718022418, 64879.60882117437)
112.5, (-40425.19810553372, 8.720924052033366, 64979.23518780192)
113.5, (-44953.56498916835, 5.688141471722364, 61414.76922499892)
114.5, (-46369.38201813095, 5.658123640842725, 60479.34676702188)
115.5, (-47902.3965677439, 4.46730174404022, 57420.3321852584)
116.5, (-49959.32448261648, 3.714437345842895, 55657.3048909167)
117.5, (-35972.09332176971, 7.146337826269148, 54047.331651605244)
118.5, (-41409.29736445084, 4.964689868842262, 52650.11701017058)
119.5, (-34186.67343489276, 6.9409655268088075, 51158.14634962138)
120.5, (-29166.59916979217, 10.024153658317895, 50318.04707929434)
121.5, (-35674.8021859764, 4.598644867522574, 46071.779685508955)
122.5, (-42455.942113476965, 3.362245275237391, 45615.76330899418)
123.5, (-32089.272725686416, 5.2799769832893, 43203.60142401053)
124.5, (-27980.49812653993, 6.71350843082435, 42918.479052028815)
125.5, (-27535.73481834397, 6.70482906164583, 41386.576130376554)
126.5, (-25903.92658736528, 6.498287339303299, 39854.91134973368)
127.5, (-22998.908524882852, 7.340860320478052, 38542.398964238724)
128.5, (-28801.596693150575, 3.725437829279565, 35238.6153367401)
129.5, (-34961.6415327207, 2.6165170800568402, 34961.99741755816)
130.5, (-23285.17389930156, 4.808349846723528, 32869.730026593046)
131.5, (-17450.307592901398, 9.403913949489027, 32447.14861917402)
132.5, (-23145.333314382435, 3.996541816111203, 29931.752246590597)
133.5, (-17211.414068202972, 7.95873390057332, 30628.11906548939)
134.5, (-21321.37692987271, 4.47054643748304, 29200.749515474996)
135.5, (-19137.882604842183, 5.323969302853489, 27891.390689585296)
136.5, (-22032.504286602823, 4.043330035061877, 27937.232211518127)
137.5, (-16703.07313528362, 6.298587296894457, 25775.92187383224)
138.5, (-14013.368761462454, 9.01626433624686, 26743.484764212448)
139.5, (-16283.155749415786, 5.719212157101501, 24735.268705583)
140.5, (-13189.61422092984, 8.589126657574115, 23460.911196261066)
141.5, (-14203.045468429797, 5.77121900095388, 22867.77774020266)
142.5, (-13189.624592087053, 6.466016256064188, 22285.98454234945)
143.5, (-13606.601718683447, 5.79041185639876, 21676.543886898235)
144.5, (-11305.650938304732, 8.575004523135027, 21202.91943438271)
145.5, (-14363.023266459939, 4.183492588813929, 19622.168285559805)
146.5, (-11522.378695306854, 6.812215448892237, 19654.634079564592)
147.5, (-13525.891667311082, 4.392267969613138, 18603.687340225573)
148.5, (-11910.929077175655, 5.146518097000798, 17608.76282556162)
149.5, (-12103.138085879318, 4.076384478600924, 16701.799824656864)
150.5, (-11200.964381575104, 5.278858224143932, 16886.240003599196)
151.5, (-9553.438039052737, 5.955685536564459, 15915.829901993147)
152.5, (-8927.108002707946, 6.334525852310758, 15528.715559208009)
153.5, (-7579.813867135776, 10.881016452734823, 15515.00042881647)
154.5, (-7572.119492274175, 8.036021676608147, 14459.547937235577)
155.5, (-7161.993170252824, 7.987656989440687, 13861.795404328523)
156.5, (-6886.214370797189, 7.631764630164444, 13264.243939837226)
157.5, (-7282.184697033027, 6.0839255261925755, 12674.135589112007)
158.5, (-5519.514010739279, 10.706423049016328, 12324.314431640832)
159.5, (-5235.578631729542, 11.828987711088036, 11831.91583912854)
160.5, (-5868.974136200586, 8.379961238916264, 11522.649375550354)
161.5, (-5379.64421668873, 9.722170402198369, 11048.823164317351)
162.5, (-5476.048958666585, 8.836776815010705, 10835.272794492235)
163.5, (-5332.526009604928, 7.9614546999282, 10050.700169853892)
164.5, (-4148.454710594305, 13.0612020626701, 9725.901047646905)
165.5, (-4436.2220418230545, 8.557607943317192, 9300.349227513785)
166.5, (-4089.127091208413, 10.576841955590838, 9148.099702049549)
167.5, (-4925.1731101057485, 5.125183008124042, 8467.547791360877)
168.5, (-3839.241749540534, 8.022110170770446, 8103.697176185798)
169.5, (-4517.203902629126, 5.306826677059126, 7860.67970890882)
170.5, (-4883.270510275872, 4.052399194296209, 7590.950411095971)
171.5, (-3585.894263749007, 8.06523249235456, 7311.348934085713)
172.5, (-3092.2216353741255, 17.07975689000656, 7608.7558469937985)
173.5, (-3431.869860767378, 8.57265867769286, 6997.5150667615935)
174.5, (-3289.464076133669, 7.960782904331089, 6738.359693285162)
175.5, (-2757.0063502378207, 11.157711147214384, 6623.777238780929)
176.5, (-2518.455617355102, 11.330130550695719, 6113.687293416303)
177.5, (-2429.878703526281, 12.528803293478289, 5988.983188735398)
178.5, (-2638.478792933702, 8.504290428260953, 5645.091851913243)
179.5, (-2549.360495081288, 9.482463948060792, 5514.081649531442)
180.5, (-2024.4492409055485, 16.105557197127485, 5426.557252904612)
181.5, (-2087.592105647325, 9.588369631095377, 4914.29758965348)
182.5, (-1786.044415490163, 15.14233877312192, 4871.829520829603)
183.5, (-2105.0001435350487, 9.527044740189112, 4713.102053597349)
184.5, (-1871.9664251505153, 10.005913802364429, 4519.005991771166)
185.5, (-1914.0174927415896, 8.809985366917452, 4280.254234872784)
186.5, (-1952.0781909372372, 6.223333494776171, 3969.6036258437866)
187.5, (-1709.6820939263741, 9.288685688077264, 3989.7745324412654)
188.5, (-1407.0222272682342, 10.936239434297086, 3747.561342472489)
189.5, (-1585.0349113237455, 7.522720832174594, 3571.5060507651165)
190.5, (-1630.8817573575136, 5.679492314788492, 3396.9220894937266)
191.5, (-1444.5743881555431, 7.162629489882961, 3263.2396552498326)
192.5, (-1878.0124655033883, 3.9607178165946277, 3202.2957770961402)
193.5, (-1170.5681173484236, 10.07864844284432, 3054.485433241722)
194.5, (-1208.0326980396549, 9.721071172495812, 3039.609835313507)
195.5, (-1279.9663265382637, 6.697483638515848, 2784.027530400292)
196.5, (-1257.8885795162241, 7.5987132558346975, 2778.536018028509)
197.5, (-950.0575011427858, 14.62969759708947, 2715.2398875716744)
198.5, (-979.974808595737, 10.013740905316364, 2532.745495815645)
199.5, (-1011.6671268183217, 9.23850128059839, 2487.1053795219327)
200.5, (-934.6302994118604, 8.813489823205524, 2334.14531864276)
201.5, (-818.0257775417649, 11.217225992222327, 2253.806212988611)
202.5, (-794.7927427859009, 11.777965383228578, 2198.0795061657836)
203.5, (-917.3865027598366, 6.290725243999337, 2042.7205778907905)
204.5, (-791.0332339420021, 8.171468535843283, 1978.9024595839821)
205.5, (-706.3150380042526, 8.974410468263814, 1903.6172470405843)
206.5, (-693.1497275037195, 10.964796705450754, 1880.896123515694)
207.5, (-681.9662743433283, 9.11098179662417, 1816.0339425375141)
208.5, (-657.4017964456393, 8.815858364573382, 1706.5206100116566)
209.5, (-607.0852794450049, 16.2420063516919, 1764.5654287240359)
210.5, (-584.0119076598692, 13.6738637128067, 1671.1272565473048)
211.5, (-814.4825173192241, 3.7567851211618346, 1534.4109413827787)
212.5, (-631.1466825327739, 7.153197834697547, 1520.6035029151517)
213.5, (-760.7798044653953, 3.75608888769208, 1409.713653221845)
214.5, (-576.3431025446326, 6.424310607234241, 1386.1729322414503)
215.5, (-602.41295574267, 5.084072251214655, 1352.034579776695)
216.5, (-693.5711346497611, 3.7601463555154, 1288.4401071049754)
217.5, (-616.1223780744415, 4.177209302626406, 1244.9206300885576)
218.5, (-565.2578113326028, 4.50799628819311, 1180.6903356917333)
219.5, (-524.8610737286548, 4.84955699272791, 1150.6456449806951)
220.5, (-401.9659276679836, 9.541848461673817, 1147.226382832696)
221.5, (-434.43432391777054, 6.621962053242578, 1103.1974696618245)
222.5, (-511.1520287170357, 4.872933763920974, 1086.444341935211)
223.5, (-472.11283563325566, 4.794864139171013, 1044.1178959357405)
224.5, (-504.48030153200136, 3.8110472158966235, 994.6669442465135)
225.5, (-398.30325073071015, 7.816565811801285, 1020.4570441673844)
226.5, (-307.20289013284605, 10.407192498231055, 954.8657597643377)
227.5, (-357.08590562163783, 6.326930078448988, 918.0625755232926)
228.5, (-351.4624851705721, 6.191266052385598, 891.5492693628473)
229.5, (-376.97527886136874, 4.699079685174396, 848.6672908381506)
230.5, (-441.74208854798854, 3.9285618362726407, 857.2654239457073)
231.5, (-458.10116434375124, 3.2968699820658016, 816.6276607095416)
232.5, (-286.8855048100309, 7.181956310450535, 782.4917225885923)
233.5, (-322.2374757422259, 5.028567730922654, 765.7861740037421)
234.5, (-246.48743144301946, 9.187283101262086, 751.3766420323072)
235.5, (-234.74026256124657, 8.91447616203511, 735.0104253802734)
236.5, (-304.22143444000204, 4.113302469949287, 695.2596848262534)
237.5, (-233.66396151172594, 6.679249313033082, 666.667233967354)
238.5, (-322.8832549346761, 3.698633306549932, 663.6397926572116)
239.5, (-291.8980815992381, 4.061065401372651, 638.4607423017209)
