1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 799624),(2 2757130),(3 5481529.5),(4 9014085),(5 13152772),(6 17643076),(7 22657408),(8 27745344),(9 32403806),(10 36975932),(11 41230876),(12 45240108),(13 48663340),(14 51557364),(15 54291388),(16 57471164),(17 60224940),(18 64075984),(19 67176120),(20 70675360),(21 73503896),(22 76173336),(23 79736130),(24 83768220),(25 87033160),(26 90336100),(27 94035064),(28 98601180),(29 103109370),(30 109233736),(31 114543190),(32 120185304),(33 127328730),(34 134230000),(35 141508480),(36 150016980),(37 159281060),(38 169288910),(39 180289360),(40 192258100),(41 205079600),(42 219960210),(43 235352530),(44 252432320),(45 270952480),(46 291033300),(47 312653540),(48 336320800),(49 361047070),(50 387821220),(51 416462850),(52 447929860),(53 480676700),(54 514668200),(55 552328640),(56 592940100),(57 637254200),(58 684319040),(59 732307260),(60 779930300),(61 827910850),(62 875514430),(63 921605800),(64 966319600),(65 1009623100),(66 1051257000),(67 1092036500),(68 1132192100),(69 1171376000),(70 1209594900),(71 1246677000),(72 1283742600),(73 1323238100),(74 1361373400),(75 1399599000),(76 1436244600),(77 1465642500),(78 1489160100),(79 1509267100),
(1 752440.9),(2 2828344.5),(3 5862870.5),(4 9709461),(5 14279315),(6 19388204),(7 24909288),(8 30672170),(9 36237784),(10 41651030),(11 46839690),(12 52101812),(13 56655450),(14 60766536),(15 65061172),(16 69575440),(17 73768490),(18 78712296),(19 83137420),(20 87933100),(21 92519860),(22 96990140),(23 102053224),(24 107155830),(25 112087040),(26 117023060),(27 122322200),(28 127894590),(29 133429120),(30 139516130),(31 145352780),(32 151349250),(33 157767900),(34 163811090),(35 169874220),(36 176033520),(37 182140290),(38 188030290),(39 193725230),(40 199526080),(41 205082300),(42 210959860),(43 216426240),(44 221828100),(45 227026050),(46 232193500),(47 237669840),(48 245222500),(49 251855840),(50 258672590),(51 265823950),(52 273154180),(53 281210700),(54 289802430),(55 299171260),(56 308865020),(57 319697630),(58 331252400),(59 343554880),(60 356027140),(61 368721200),(62 381604200),(63 394662080),(64 407390620),(65 420258340),(66 432911300),(67 445394180),(68 458016450),(69 470039740),(70 482136900),(71 494148450),(72 506267460),(73 518512300),(74 530499420),(75 542587260),(76 554336060),(77 564921400),(78 574733700),(79 583960640),
(1 694249.1),(2 2584561),(3 5390687.5),(4 8879847),(5 12958207),(6 17426810),(7 22195554),(8 27085222),(9 31818042),(10 36304820),(11 40541428),(12 44511660),(13 48154812),(14 51539600),(15 55041310),(16 58521824),(17 62163868),(18 66027004),(19 70011620),(20 74218590),(21 78462200),(22 82680616),(23 86922700),(24 91013380),(25 95187670),(26 99243420),(27 103360960),(28 107282010),(29 111146310),(30 114854790),(31 118384810),(32 121763880),(33 124811336),(34 127638020),(35 130172584),(36 132415256),(37 134498940),(38 136131330),(39 137384910),(40 138352500),(41 139025660),(42 139511020),(43 139495470),(44 139289340),(45 138949300),(46 138443120),(47 137729860),(48 137047540),(49 136276060),(50 135446260),(51 134748720),(52 133977064),(53 133463990),(54 133212200),(55 133073020),(56 132959560),(57 133119450),(58 133258980),(59 133415990),(60 133745640),(61 134038216),(62 134326800),(63 134557630),(64 134704290),(65 134995460),(66 135588940),(67 136415460),(68 137801980),(69 139644100),(70 142139500),(71 144946060),(72 147969180),(73 150054270),(74 151425680),(75 152581400),(76 153246350),(77 154015150),(78 154670140),(79 155123220),
(1 785408.4),(2 2923504.5),(3 6041932.5),(4 9834229),(5 14133378),(6 18718854),(7 23405822),(8 27972324),(9 32130958),(10 35763604),(11 38912044),(12 41643040),(13 43940612),(14 45835180),(15 47448490),(16 48834760),(17 50277140),(18 51837476),(19 53692410),(20 55754532),(21 57963760),(22 60195584),(23 62466576),(24 64868470),(25 67315770),(26 69770000),(27 72207040),(28 74536530),(29 76721720),(30 78717000),(31 80479190),(32 81994440),(33 83184670),(34 84127200),(35 84814120),(36 85234376),(37 85491950),(38 85481890),(39 85321050),(40 84967720),(41 84552150),(42 84095710),(43 83518024),(44 83034500),(45 82627360),(46 82294690),(47 82073130),(48 82079450),(49 81984850),(50 82014670),(51 82043370),(52 81967400),(53 81936990),(54 81948190),(55 81786200),(56 81459080),(57 81216440),(58 81086480),(59 81136800),(60 81163270),(61 81206800),(62 81080060),(63 80872980),(64 80682950),(65 80467780),(66 80222776),(67 79911700),(68 79678240),(69 79520660),(70 79495110),(71 79465816),(72 79286670),(73 78609096),(74 77852320),(75 77241740),(76 76827510),(77 76561336),(78 76193520),(79 75684100),
(1 773989.6),(2 2859368.8),(3 5853264.5),(4 9389398),(5 13255703),(6 17291704),(7 21357870),(8 25214174),(9 28758386),(10 31885638),(11 34683972),(12 37099416),(13 39133630),(14 40798004),(15 42066650),(16 42959492),(17 43678230),(18 44426428),(19 45216812),(20 46010200),(21 46909310),(22 47805564),(23 48726868),(24 49715772),(25 50724428),(26 51770996),(27 52871730),(28 53996684),(29 55086440),(30 56185148),(31 57260764),(32 58300956),(33 59372188),(34 60348020),(35 61292788),(36 62164880),(37 63014336),(38 63778920),(39 64450268),(40 65007656),(41 65509680),(42 65846084),(43 66030590),(44 66043930),(45 65923132),(46 65682224),(47 65325490),(48 64836484),(49 64253390),(50 63663988),(51 63073070),(52 62416720),(53 62028132),(54 61959564),(55 61966708),(56 62067410),(57 62478756),(58 63216336),(59 64444096),(60 66102796),(61 68073860),(62 70091290),(63 72116870),(64 74060904),(65 75841740),(66 77404150),(67 78778260),(68 79936390),(69 80976830),(70 81922900),(71 82832640),(72 83596540),(73 83969920),(74 84112220),(75 83990710),(76 83789496),(77 83628216),(78 83459700),(79 83462250),
(1 730988.9),(2 2673297),(3 5335731),(4 8272661),(5 11249164),(6 14141795),(7 16919814),(8 19510064),(9 21872992),(10 24042714),(11 26151566),(12 28204198),(13 30104020),(14 31801660),(15 33152756),(16 34047220),(17 34670944),(18 35081496),(19 35278124),(20 35338140),(21 35296520),(22 35209100),(23 34971560),(24 34632696),(25 34269260),(26 33832550),(27 33354604),(28 32848902),(29 32332730),(30 31836438),(31 31409482),(32 31082554),(33 30905664),(34 30804774),(35 30811484),(36 30891744),(37 31104886),(38 31383110),(39 31736170),(40 32122860),(41 32578720),(42 33101642),(43 33745588),(44 34547396),(45 35648516),(46 37050100),(47 38656870),(48 40012240),(49 41525964),(50 42981320),(51 44236264),(52 45195710),(53 45721940),(54 45783972),(55 45345224),(56 44428236),(57 43156264),(58 41759080),(59 40603716),(60 39848990),(61 39497820),(62 39522176),(63 39816050),(64 40268844),(65 40788896),(66 41264180),(67 41551680),(68 41593428),(69 41518304),(70 41224556),(71 40736040),(72 40151804),(73 39310956),(74 38564440),(75 38029790),(76 37836504),(77 37933916),(78 38329620),(79 38942252),
(1 683151.9),(2 2453252.8),(3 4713138),(4 6940470),(5 8899484),(6 10552594),(7 11943604),(8 13080625),(9 13948009),(10 14599803),(11 15190185),(12 15845748),(13 16532624),(14 17207244),(15 17686578),(16 17978020),(17 18252364),(18 18625606),(19 19138366),(20 19768416),(21 20427122),(22 21077024),(23 21681166),(24 22238578),(25 22703456),(26 23089476),(27 23405768),(28 23653484),(29 23849952),(30 24028842),(31 24190238),(32 24371586),(33 24534412),(34 24710272),(35 24870188),(36 25046686),(37 25206418),(38 25400574),(39 25581308),(40 25771864),(41 25987296),(42 26240832),(43 26508372),(44 26829180),(45 27180978),(46 27548802),(47 27945206),(48 28233694),(49 28560332),(50 28846698),(51 29051800),(52 29220970),(53 29176508),(54 28996306),(55 28656884),(56 28161450),(57 27551126),(58 26907830),(59 26365588),(60 26033214),(61 25901700),(62 25976356),(63 26216306),(64 26536952),(65 26910546),(66 27234680),(67 27464904),(68 27635710),(69 27748790),(70 27809506),(71 27859790),(72 27813646),(73 27543550),(74 27212284),(75 26911972),(76 26741400),(77 26705410),(78 26836606),(79 27120286),
(1 655085.2),(2 2291923.5),(3 4244195.5),(4 5904858),(5 7086280.5),(6 7864535.5),(7 8453437),(8 8952827),(9 9369732),(10 9760468),(11 10274364),(12 10983166),(13 11837206),(14 12693215),(15 13416269),(16 13920467),(17 14298707),(18 14725709),(19 15241199),(20 15872790),(21 16592892),(22 17305718),(23 17916044),(24 18424332),(25 18783726),(26 19023818),(27 19229944),(28 19410504),(29 19573568),(30 19754258),(31 19918776),(32 20066330),(33 20165150),(34 20220878),(35 20235722),(36 20177066),(37 20108974),(38 20050048),(39 20027934),(40 20062988),(41 20160620),(42 20311818),(43 20504306),(44 20699226),(45 20834652),(46 20942646),(47 21071286),(48 21319296),(49 21492878),(50 21665734),(51 21860370),(52 22056870),(53 22151720),(54 22174272),(55 22248210),(56 22375510),(57 22562102),(58 22809166),(59 23066752),(60 23371356),(61 23697464),(62 24136748),(63 24676262),(64 25203830),(65 25724842),(66 26171268),(67 26510100),(68 26725760),(69 26814466),(70 26847138),(71 26884938),(72 26942566),(73 26919100),(74 26851438),(75 26809308),(76 26844890),(77 27002696),(78 27262822),(79 27660710),
(1 636573.4),(2 2227780),(3 4056151),(4 5552026.5),(5 6586334),(6 7358322),(7 8136808.5),(8 8993144),(9 9811078),(10 10548305),(11 11293463),(12 12118625),(13 12935222),(14 13626124),(15 13994979),(16 14091016),(17 14076653),(18 14137140),(19 14363384),(20 14691688),(21 15036506),(22 15290152),(23 15410734),(24 15414530),(25 15357787),(26 15283613),(27 15236744),(28 15220960),(29 15198374),(30 15179202),(31 15163626),(32 15122730),(33 15057638),(34 15021461),(35 15020614),(36 15032684),(37 15101335),(38 15202529),(39 15302583),(40 15415678),(41 15536396),(42 15605482),(43 15641871),(44 15644988),(45 15611124),(46 15593256),(47 15665800),(48 15779411),(49 15872809),(50 16034933),(51 16210056),(52 16357628),(53 16369984),(54 16220578),(55 15945591),(56 15610320),(57 15276314),(58 14977747),(59 14724190),(60 14496212),(61 14335862),(62 14232862),(63 14239387),(64 14274829),(65 14351008),(66 14468817),(67 14637020),(68 14902187),(69 15307116),(70 15808956),(71 16294157),(72 16637747),(73 16762997),(74 16728557),(75 16681950),(76 16742014),(77 16924624),(78 17202120),(79 17512336),
(1 632948.56),(2 2152382),(3 3790066.8),(4 4942501),(5 5596635),(6 6079217.5),(7 6744477.5),(8 7614941.5),(9 8488541),(10 9235311),(11 9911420),(12 10652286),(13 11410009),(14 12044807),(15 12381624),(16 12465667),(17 12484244),(18 12675956),(19 13080407),(20 13625092),(21 14139527),(22 14471014),(23 14582244),(24 14537383),(25 14484457),(26 14517924),(27 14697668),(28 15016601),(29 15374430),(30 15750619),(31 16072640),(32 16292137),(33 16402341),(34 16436656),(35 16415108),(36 16342354),(37 16228272),(38 16074478),(39 15864039),(40 15605168),(41 15328752),(42 15030492),(43 14748844),(44 14535095),(45 14403508),(46 14364425),(47 14411622),(48 14544750),(49 14767699),(50 15032823),(51 15300921),(52 15513628),(53 15717840),(54 15971680),(55 16231015),(56 16439989),(57 16576587),(58 16618167),(59 16558823),(60 16417061),(61 16337124),(62 16313401),(63 16483118),(64 16769440),(65 17183526),(66 17654238),(67 18125760),(68 18581006),(69 18977288),(70 19268696),(71 19497302),(72 19720118),(73 19983466),(74 20237738),(75 20495318),(76 20819188),(77 21229002),(78 21772714),(79 22402986),
(1 690843.5),(2 2277393),(3 3825237),(4 4738950),(5 5139216.5),(6 5579832),(7 6472206),(8 7686340),(9 8843290),(10 9675995),(11 10275122),(12 10905493),(13 11613631),(14 12209662),(15 12514992),(16 12541048),(17 12445793),(18 12513208),(19 12825847),(20 13318794),(21 13801702),(22 14097655),(23 14135207),(24 14017966),(25 13864177),(26 13783634),(27 13794653),(28 13899543),(29 14056572),(30 14205092),(31 14280441),(32 14263558),(33 14116870),(34 13866083),(35 13548616),(36 13226936),(37 12950614),(38 12764319),(39 12685323),(40 12669835),(41 12738984),(42 12835906),(43 12924617),(44 12984084),(45 13008843),(46 13026590),(47 13049342),(48 13118893),(49 13220456),(50 13410855),(51 13775655),(52 14392159),(53 15083064),(54 15735286),(55 16244265),(56 16505832),(57 16491012),(58 16388117),(59 16371934),(60 16527176),(61 16845084),(62 17222498),(63 17574516),(64 17719454),(65 17626024),(66 17324432),(67 17007048),(68 16898502),(69 17139908),(70 17660178),(71 18208376),(72 18532708),(73 18476024),(74 18155248),(75 17844940),(76 17807828),(77 18095836),(78 18644320),(79 19276538),
