1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 48438.297),(2 128470.59),(3 252807.73),(4 387984.72),(5 548673.94),(6 713419.94),(7 894025.7),(8 1072810.5),(9 1265058.9),(10 1457875.1),(11 1681989),(12 1905347.6),(13 2127571),(14 2353726.3),(15 2566859),(16 2734641),(17 2897857.8),(18 3085343.3),(19 3320372.3),(20 3552446.3),(21 3841266),(22 4175424.8),(23 4550017.5),(24 4989559.5),(25 5463557.5),(26 5955110),(27 6441898),(28 6963196),(29 7427302.5),(30 7860095.5),(31 8329972),(32 8800756),(33 9265317),(34 9708535),(35 10117591),(36 10528107),(37 10939035),(38 11315104),(39 11698047),(40 12086445),(41 12400415),(42 12700963),(43 12966107),(44 13146491),(45 13299749),(46 13340748),(47 13331240),(48 13279615),(49 13229855),(50 13182667),(51 13142683),(52 13136069),(53 13140132),(54 13172579),(55 13249235),(56 13372265),(57 13529604),(58 13694847),(59 13998791),(60 14293453),(61 14609951),(62 14975429),(63 15301224),(64 15684112),(65 16131725),(66 16641315),(67 17217360),(68 17874128),(69 18622314),(70 19453190),(71 20340464),(72 21284506),(73 22229720),(74 23251878),(75 24281744),(76 25333970),(77 26321310),(78 27323536),(79 28326760),
(1 50886.637),(2 176668.97),(3 372118),(4 620191.7),(5 909346.8),(6 1212787.3),(7 1531403.8),(8 1841221.6),(9 2137647.5),(10 2442787.3),(11 2755140),(12 3058738.5),(13 3353326),(14 3624388.8),(15 3835960.8),(16 3971036),(17 4079662.5),(18 4196354.5),(19 4290910.5),(20 4377320),(21 4497252),(22 4667381.5),(23 4870737.5),(24 5147925),(25 5482361),(26 5838195),(27 6264188),(28 6736849),(29 7218165),(30 7784656),(31 8460643),(32 9216774),(33 10069510),(34 10974230),(35 11966749),(36 13056423),(37 14241923),(38 15460522),(39 16711160),(40 18043002),(41 19382630),(42 20688940),(43 21905720),(44 23075376),(45 24109200),(46 24973256),(47 25783294),(48 26548664),(49 27234804),(50 27863052),(51 28436704),(52 28958074),(53 29447004),(54 29854364),(55 30186736),(56 30464762),(57 30703286),(58 30869062),(59 31062470),(60 31260868),(61 31506122),(62 31853856),(63 32210986),(64 32631556),(65 33165126),(66 33828056),(67 34524560),(68 35345324),(69 36216896),(70 37187684),(71 38194110),(72 39300004),(73 40478776),(74 41665964),(75 42966410),(76 44289930),(77 45639130),(78 46929176),(79 48303852),
(1 38630.145),(2 131660.56),(3 271969.78),(4 445301.03),(5 645398.94),(6 861378.3),(7 1105169.4),(8 1358272.4),(9 1616462.9),(10 1898144.5),(11 2202450.8),(12 2522159.3),(13 2889922.3),(14 3241020.8),(15 3584474),(16 3920682),(17 4300743.5),(18 4718779.5),(19 5149137),(20 5607429.5),(21 6067660),(22 6546856),(23 7052901.5),(24 7598972),(25 8206880),(26 8846491),(27 9566600),(28 10362604),(29 11202424),(30 12126320),(31 13131856),(32 14174751),(33 15295592),(34 16513428),(35 17795846),(36 19145218),(37 20581882),(38 22128576),(39 23768258),(40 25550374),(41 27346064),(42 29094600),(43 30886480),(44 32642704),(45 34381856),(46 36002350),(47 37629732),(48 39309790),(49 40949212),(50 42534572),(51 44064148),(52 45575028),(53 47092892),(54 48576276),(55 50081996),(56 51539650),(57 52919828),(58 54314080),(59 55676110),(60 57013028),(61 58398148),(62 59738412),(63 61121040),(64 62516300),(65 64022716),(66 65645984),(67 67304216),(68 69014680),(69 70682664),(70 72476776),(71 74280650),(72 76204936),(73 78141496),(74 79973590),(75 81937990),(76 83856010),(77 85731240),(78 87556870),(79 89451896),
(1 38563.43),(2 136058.17),(3 278732.34),(4 453210.63),(5 656260.25),(6 892347),(7 1155686.9),(8 1450709.1),(9 1761317.5),(10 2113309.5),(11 2515314),(12 2944326.8),(13 3416350.5),(14 3924048.5),(15 4454891),(16 5015254),(17 5620966),(18 6273663),(19 6934218),(20 7631084.5),(21 8318894),(22 9054731),(23 9856610),(24 10641555),(25 11451444),(26 12297779),(27 13154156),(28 14062789),(29 15005820),(30 15994252),(31 17025728),(32 18060472),(33 19118912),(34 20228872),(35 21402872),(36 22612752),(37 23854172),(38 25182090),(39 26623540),(40 28176124),(41 29699324),(42 31288554),(43 33003126),(44 34669850),(45 36478390),(46 38391064),(47 40287390),(48 42399388),(49 44449820),(50 46517564),(51 48512148),(52 50524292),(53 52533348),(54 54601260),(55 56735628),(56 58863890),(57 60960640),(58 63067564),(59 65070600),(60 67123190),(61 69137970),(62 71135960),(63 73079750),(64 74931420),(65 76820280),(66 78644350),(67 80464760),(68 82264890),(69 83969230),(70 85743070),(71 87419070),(72 89161360),(73 90839760),(74 92422584),(75 94091380),(76 95711400),(77 97350344),(78 98961090),(79 100479544),
(1 43056.086),(2 151462.7),(3 314266.84),(4 517828),(5 758316.56),(6 1039116.56),(7 1343392.5),(8 1678082.5),(9 2040663.3),(10 2436452.8),(11 2872465.3),(12 3329693.5),(13 3814910.5),(14 4325758),(15 4854477.5),(16 5383031.5),(17 5913384),(18 6452312.5),(19 6961195),(20 7468810),(21 7946078.5),(22 8423522),(23 8927078),(24 9408703),(25 9881657),(26 10365703),(27 10876701),(28 11444655),(29 12048644),(30 12730749),(31 13434249),(32 14186054),(33 14994932),(34 15831773),(35 16705575),(36 17617128),(37 18590260),(38 19610126),(39 20645098),(40 21749672),(41 22818856),(42 23949706),(43 25105016),(44 26211026),(45 27430808),(46 28726366),(47 30030930),(48 31479266),(49 32880102),(50 34259820),(51 35583016),(52 36905810),(53 38204330),(54 39492796),(55 40780304),(56 42073716),(57 43394480),(58 44726628),(59 46006716),(60 47387100),(61 48800936),(62 50329680),(63 51863516),(64 53469636),(65 55092840),(66 56700164),(67 58382810),(68 60117564),(69 61817540),(70 63590256),(71 65312012),(72 67085148),(73 68936740),(74 70721544),(75 72631256),(76 74596664),(77 76589416),(78 78527430),(79 80310950),
(1 61918.54),(2 226895.95),(3 477044.8),(4 794653.3),(5 1162985.4),(6 1583192.4),(7 2048338),(8 2550226.5),(9 3099037.5),(10 3707352),(11 4370888),(12 5090537),(13 5877805.5),(14 6708333),(15 7587633.5),(16 8478362),(17 9367298),(18 10257965),(19 11120082),(20 12004701),(21 12891650),(22 13787213),(23 14652851),(24 15532971),(25 16433107),(26 17341198),(27 18277504),(28 19241834),(29 20182436),(30 21154436),(31 22077140),(32 23001876),(33 23879540),(34 24689012),(35 25470428),(36 26223942),(37 26999628),(38 27758868),(39 28471156),(40 29203002),(41 29884300),(42 30541446),(43 31123430),(44 31604956),(45 32138298),(46 32701978),(47 33293126),(48 33924776),(49 34546412),(50 35177708),(51 35745624),(52 36286570),(53 36774964),(54 37272564),(55 37782296),(56 38270970),(57 38803880),(58 39364460),(59 39897444),(60 40536810),(61 41176264),(62 41881132),(63 42574496),(64 43292136),(65 43984040),(66 44660668),(67 45377470),(68 46032150),(69 46610430),(70 47203440),(71 47796484),(72 48435784),(73 49092308),(74 49705516),(75 50375576),(76 51043064),(77 51732652),(78 52431004),(79 53024516),
(1 49939.32),(2 184333.83),(3 390076.88),(4 651110.06),(5 963263.94),(6 1324551.4),(7 1721153.1),(8 2147946.5),(9 2605333),(10 3089276),(11 3612513.5),(12 4203488),(13 4838951.5),(14 5502165),(15 6221470),(16 6981277.5),(17 7725275),(18 8487979),(19 9281009),(20 10151924),(21 11085609),(22 12031589),(23 12990543),(24 14044425),(25 15185762),(26 16409390),(27 17718644),(28 19128932),(29 20553976),(30 22082164),(31 23664364),(32 25308990),(33 26956276),(34 28573922),(35 30212012),(36 31795306),(37 33341578),(38 34874150),(39 36334164),(40 37770024),(41 39019532),(42 40167516),(43 41168772),(44 42047416),(45 42847396),(46 43568150),(47 44216176),(48 44780740),(49 45220220),(50 45582268),(51 45832484),(52 45990896),(53 46089720),(54 46120576),(55 46152824),(56 46091224),(57 46059132),(58 45990380),(59 45907604),(60 45847800),(61 45763024),(62 45697812),(63 45633816),(64 45568996),(65 45583880),(66 45571604),(67 45585132),(68 45600340),(69 45590748),(70 45624164),(71 45648788),(72 45707350),(73 45762156),(74 45804600),(75 45861988),(76 45922148),(77 46034664),(78 46197740),(79 46370796),
(1 46633.86),(2 169216.1),(3 353078.8),(4 583219.75),(5 851961.44),(6 1160401.9),(7 1510304),(8 1891114.8),(9 2297849.8),(10 2729569.8),(11 3207330.5),(12 3741329.8),(13 4339262),(14 4946658.5),(15 5585930),(16 6261905),(17 6958318.5),(18 7671029),(19 8427469),(20 9216143),(21 10023389),(22 10852218),(23 11688553),(24 12584539),(25 13481707),(26 14440806),(27 15440242),(28 16415203),(29 17376726),(30 18335310),(31 19344672),(32 20356664),(33 21384786),(34 22397148),(35 23357522),(36 24284846),(37 25155468),(38 25987302),(39 26773756),(40 27505826),(41 28132266),(42 28704154),(43 29217596),(44 29658280),(45 30099218),(46 30544640),(47 30953942),(48 31366292),(49 31733354),(50 32076506),(51 32370644),(52 32581406),(53 32785314),(54 32972918),(55 33144742),(56 33278310),(57 33395884),(58 33481690),(59 33524722),(60 33562756),(61 33636404),(62 33686630),(63 33745948),(64 33791996),(65 33870444),(66 33940090),(67 34042164),(68 34090224),(69 34047960),(70 34009430),(71 33969430),(72 33925570),(73 33902744),(74 33883270),(75 33862584),(76 33828692),(77 33859704),(78 33971110),(79 34106944),
(1 53369.707),(2 196282.83),(3 412106.44),(4 682691.5),(5 999863.9),(6 1363090),(7 1778341.6),(8 2240601.3),(9 2749738),(10 3317683),(11 3953195.8),(12 4640052.5),(13 5405774),(14 6208709),(15 7039429),(16 7907577.5),(17 8840680),(18 9809310),(19 10834833),(20 11874267),(21 12949520),(22 14060088),(23 15170588),(24 16341677),(25 17495268),(26 18676560),(27 19896658),(28 21112140),(29 22258064),(30 23345066),(31 24379222),(32 25328688),(33 26192934),(34 26976560),(35 27633920),(36 28196840),(37 28696626),(38 29134434),(39 29503378),(40 29826482),(41 30029598),(42 30168234),(43 30236630),(44 30246008),(45 30214006),(46 30124192),(47 29964796),(48 29821176),(49 29606866),(50 29349996),(51 29062054),(52 28759830),(53 28455600),(54 28117428),(55 27794862),(56 27478618),(57 27159662),(58 26833766),(59 26466742),(60 26089052),(61 25707086),(62 25296080),(63 24891906),(64 24488170),(65 24087480),(66 23715380),(67 23400914),(68 23099836),(69 22793326),(70 22518116),(71 22288922),(72 22080572),(73 21901782),(74 21726672),(75 21553270),(76 21393064),(77 21296112),(78 21247660),(79 21258048),
(1 55671.066),(2 206246.38),(3 432595.13),(4 726206.7),(5 1082195.3),(6 1507432.5),(7 1993963.1),(8 2531491.5),(9 3117976.5),(10 3761862.3),(11 4463009),(12 5208031.5),(13 6040348.5),(14 6889434),(15 7788371.5),(16 8706497),(17 9677424),(18 10663403),(19 11672722),(20 12666751),(21 13636426),(22 14551639),(23 15472066),(24 16366162),(25 17188160),(26 17977646),(27 18705618),(28 19396024),(29 20043398),(30 20613976),(31 21143880),(32 21601624),(33 22014090),(34 22342648),(35 22602692),(36 22832962),(37 23063004),(38 23306066),(39 23516776),(40 23720520),(41 23929632),(42 24153704),(43 24441506),(44 24699262),(45 24989312),(46 25284864),(47 25529214),(48 25792724),(49 26006634),(50 26174012),(51 26319448),(52 26412668),(53 26467662),(54 26486794),(55 26458744),(56 26410440),(57 26361596),(58 26304464),(59 26196932),(60 26068308),(61 25862588),(62 25587720),(63 25315020),(64 24991584),(65 24661038),(66 24318790),(67 24014472),(68 23699900),(69 23348432),(70 22994212),(71 22671408),(72 22363646),(73 22077560),(74 21756238),(75 21447352),(76 21148210),(77 20880144),(78 20622834),(79 20365638),
(1 50015.316),(2 181715.13),(3 373512.8),(4 612114.4),(5 893642.1),(6 1214347.3),(7 1574234.6),(8 1978882.1),(9 2418078),(10 2895807.5),(11 3423440.5),(12 3985420.3),(13 4590676),(14 5227334),(15 5892765),(16 6592386),(17 7316127.5),(18 8053826),(19 8819681),(20 9625686),(21 10417557),(22 11230527),(23 12112799),(24 13012175),(25 13889336),(26 14763268),(27 15595965),(28 16424459),(29 17242666),(30 18040124),(31 18805602),(32 19515118),(33 20168750),(34 20774736),(35 21355918),(36 21937110),(37 22518678),(38 23089022),(39 23638864),(40 24202056),(41 24768806),(42 25351864),(43 25975762),(44 26562674),(45 27177512),(46 27747908),(47 28296688),(48 28871506),(49 29416278),(50 29953578),(51 30459850),(52 30948638),(53 31410236),(54 31892266),(55 32359884),(56 32803576),(57 33232210),(58 33677028),(59 34062292),(60 34470470),(61 34776320),(62 34983484),(63 35151216),(64 35224428),(65 35234036),(66 35166880),(67 35065856),(68 34860092),(69 34570172),(70 34226704),(71 33862010),(72 33459178),(73 33023138),(74 32534106),(75 32013802),(76 31433652),(77 30830882),(78 30214676),(79 29590790),
