1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 42341.215),(2 106031.77),(3 187498.2),(4 334413.94),(5 457536),(6 561103.1),(7 713420.8),(8 842559.7),(9 950493.3),(10 1118661),(11 1261395.5),(12 1364443.3),(13 1545466.6),(14 1663956.9),(15 1747325),(16 1891197),(17 2008959.9),(18 2084653.4),(19 2213228),(20 2299776.3),(21 2344918),(22 2431261.3),(23 2500110.5),(24 2567575),(25 2704037.5),(26 2781727.3),(27 2810967),(28 2885865.3),(29 2856628.3),(30 2842329.3),(31 2891229),(32 2926582),(33 2945759.3),(34 3024022.3),(35 3100941.3),(36 3157066.8),(37 3291659),(38 3426352.3),(39 3548850),(40 3728788.3),(41 3888046),(42 4045450),(43 4263612.5),(44 4477150.5),(45 4694108.5),(46 4993481),(47 5297154),(48 5588166),(49 5897877.5),(50 6115136),(51 6291810.5),(52 6515204.5),(53 6744616),(54 6957790.5),(55 7210856),(56 7414677.5),(57 7571718.5),(58 7757826.5),(59 7901765.5),(60 8032308.5),(61 8234576),(62 8426380),(63 8574485),(64 8757423),(65 8913925),(66 9027705),(67 9199450),(68 9372607),(69 9490606),(70 9630286),(71 9746984),(72 9794416),(73 9923972),(74 10052617),(75 10154375),(76 10330055),(77 10497743),(78 10651109),(79 10857039),
(1 32609.738),(2 81965.19),(3 137732.9),(4 243453.8),(5 353807.66),(6 458012),(7 605301.7),(8 758263.9),(9 895559),(10 1087454.8),(11 1281706.6),(12 1470200.4),(13 1708756.4),(14 1948854),(15 2178436.8),(16 2452803.3),(17 2719599.5),(18 2963708.3),(19 3249692.5),(20 3520838.5),(21 3766486.5),(22 4042455.3),(23 4297836),(24 4533381),(25 4814462.5),(26 5067239),(27 5286101.5),(28 5542597),(29 5676573.5),(30 5835293),(31 6071031.5),(32 6288013),(33 6481827),(34 6704898.5),(35 6894653.5),(36 7067510.5),(37 7292248),(38 7496789),(39 7692750.5),(40 7940456),(41 8154069),(42 8357525),(43 8607788),(44 8821730),(45 9043112),(46 9348766),(47 9639696),(48 9941150),(49 10300970),(50 10672552),(51 11048707),(52 11490408),(53 11934223),(54 12363556),(55 12843621),(56 13289901),(57 13704733),(58 14132979),(59 14515080),(60 14866547),(61 15255968),(62 15613190),(63 15958523),(64 16317811),(65 16637002),(66 16953522),(67 17284060),(68 17593280),(69 17884064),(70 18199216),(71 18465658),(72 18688996),(73 18914112),(74 19077532),(75 19203748),(76 19361110),(77 19514684),(78 19674196),(79 19875632),
(1 26753.914),(2 80745.65),(3 158951.88),(4 279213.34),(5 429944.1),(6 600777.06),(7 811544.5),(8 1034613.5),(9 1263528.5),(10 1533719.4),(11 1813663),(12 2096863.4),(13 2409671.8),(14 2749941.3),(15 3100806),(16 3486122.3),(17 3891548.8),(18 4312720.5),(19 4786978),(20 5265395.5),(21 5747494.5),(22 6254302),(23 6766956),(24 7280056),(25 7821597.5),(26 8351295.5),(27 8849557),(28 9379105),(29 9960023),(30 10533757),(31 11151524),(32 11762003),(33 12375815),(34 13045883),(35 13701968),(36 14352797),(37 15055465),(38 15739028),(39 16381565),(40 17075486),(41 17731654),(42 18377464),(43 19044694),(44 19685850),(45 20316390),(46 21012682),(47 21654582),(48 22329722),(49 23061382),(50 23770168),(51 24480922),(52 25216744),(53 25951950),(54 26684502),(55 27448366),(56 28185286),(57 28853344),(58 29511850),(59 30114614),(60 30662186),(61 31211136),(62 31725058),(63 32264736),(64 32804190),(65 33316946),(66 33855740),(67 34398320),(68 34929884),(69 35445252),(70 35945036),(71 36331932),(72 36628804),(73 36872276),(74 37013404),(75 37060400),(76 37075116),(77 37021936),(78 36934144),(79 36789828),
(1 32259.816),(2 119267.43),(3 255584.72),(4 438259.47),(5 664558.1),(6 936192.25),(7 1251417.6),(8 1607976.9),(9 1995152),(10 2429845.3),(11 2897070),(12 3389148.8),(13 3930080),(14 4519946.5),(15 5165528),(16 5853700.5),(17 6580857),(18 7362568),(19 8209365.5),(20 9098555),(21 10030786),(22 10998976),(23 12008193),(24 13049559),(25 14133084),(26 15232661),(27 16373675),(28 17521504),(29 18687348),(30 19852824),(31 21063346),(32 22296054),(33 23558908),(34 24884022),(35 26201840),(36 27498784),(37 28826728),(38 30160270),(39 31465792),(40 32755562),(41 34017636),(42 35254656),(43 36467868),(44 37663884),(45 38840896),(46 39990960),(47 41124588),(48 42273490),(49 43404296),(50 44536176),(51 45691344),(52 46836564),(53 48032308),(54 49252370),(55 50437890),(56 51569388),(57 52682744),(58 53791704),(59 54817870),(60 55835280),(61 56824016),(62 57751164),(63 58750940),(64 59661000),(65 60530690),(66 61427164),(67 62340324),(68 63239212),(69 64109960),(70 64944270),(71 65663816),(72 66373810),(73 67004500),(74 67515870),(75 67931340),(76 68269640),(77 68536904),(78 68720344),(79 68783730),
(1 49218.824),(2 186078.19),(3 406289.72),(4 707037),(5 1080450.1),(6 1529396),(7 2053030.8),(8 2646871),(9 3302264.3),(10 4034318.3),(11 4823566),(12 5661982),(13 6577655.5),(14 7551636.5),(15 8606033),(16 9705216),(17 10856192),(18 12069249),(19 13358788),(20 14682036),(21 16042417),(22 17444120),(23 18904366),(24 20352026),(25 21824216),(26 23276626),(27 24748352),(28 26188218),(29 27494170),(30 28798644),(31 30097032),(32 31358446),(33 32601184),(34 33830310),(35 34998190),(36 36087550),(37 37105344),(38 38084860),(39 38950308),(40 39713150),(41 40400228),(42 40977484),(43 41439136),(44 41815028),(45 42112976),(46 42281308),(47 42390130),(48 42446844),(49 42437188),(50 42401384),(51 42303104),(52 42177960),(53 42049560),(54 41876510),(55 41628524),(56 41365300),(57 41073532),(58 40783116),(59 40469316),(60 40146240),(61 39843320),(62 39519170),(63 39237188),(64 38922748),(65 38629724),(66 38366660),(67 38149604),(68 37982030),(69 37850412),(70 37746584),(71 37658052),(72 37593536),(73 37518732),(74 37405372),(75 37297020),(76 37214056),(77 37159470),(78 37102156),(79 37039596),
(1 36685.77),(2 139577.6),(3 300649.2),(4 523721.25),(5 802290.1),(6 1120990.4),(7 1496681.3),(8 1920046.8),(9 2375648.5),(10 2878636.5),(11 3435079.3),(12 4045346.5),(13 4727668),(14 5466663),(15 6278250),(16 7149195),(17 8067882.5),(18 9045592),(19 10109906),(20 11262371),(21 12448458),(22 13681998),(23 14945734),(24 16209424),(25 17477434),(26 18752594),(27 20025316),(28 21246868),(29 22340324),(30 23428952),(31 24552192),(32 25633722),(33 26711060),(34 27759756),(35 28752852),(36 29725040),(37 30617408),(38 31455584),(39 32199232),(40 32883616),(41 33455036),(42 33923784),(43 34341160),(44 34697484),(45 34997508),(46 35256310),(47 35450772),(48 35608908),(49 35765640),(50 35905700),(51 36056000),(52 36179652),(53 36285880),(54 36338744),(55 36363496),(56 36370344),(57 36383610),(58 36377996),(59 36360724),(60 36340904),(61 36328228),(62 36307744),(63 36312876),(64 36288396),(65 36232784),(66 36170108),(67 36110972),(68 36027690),(69 35993880),(70 35928984),(71 35881444),(72 35816070),(73 35723436),(74 35552932),(75 35350104),(76 35141416),(77 34949908),(78 34734176),(79 34500520),
(1 37197.08),(2 138971.14),(3 299821.34),(4 517260.97),(5 790374.3),(6 1112309.1),(7 1489830.5),(8 1906625.1),(9 2357922.3),(10 2829652.5),(11 3340642.5),(12 3882430.5),(13 4460530),(14 5058955),(15 5693759),(16 6337337),(17 7007373.5),(18 7698979),(19 8418309),(20 9157810),(21 9911834),(22 10673439),(23 11454609),(24 12229017),(25 12972086),(26 13707660),(27 14417606),(28 15075751),(29 15698526),(30 16328282),(31 16969936),(32 17598080),(33 18223902),(34 18818964),(35 19375852),(36 19899100),(37 20375954),(38 20823106),(39 21239400),(40 21618376),(41 21977532),(42 22293164),(43 22581866),(44 22830274),(45 23062994),(46 23284278),(47 23480648),(48 23669588),(49 23872458),(50 24060668),(51 24263058),(52 24454034),(53 24651036),(54 24860532),(55 25061036),(56 25258676),(57 25482752),(58 25710570),(59 25925512),(60 26122188),(61 26299230),(62 26430764),(63 26543854),(64 26619254),(65 26676566),(66 26686172),(67 26676132),(68 26633078),(69 26587628),(70 26488280),(71 26363422),(72 26223544),(73 26039772),(74 25822464),(75 25583850),(76 25319508),(77 25047724),(78 24745284),(79 24415254),
(1 33001.6),(2 121159.836),(3 261688.53),(4 451926.47),(5 685700.1),(6 963302.4),(7 1279655.8),(8 1630816),(9 2004782.1),(10 2405887.5),(11 2825842.8),(12 3269135),(13 3744537.5),(14 4234486.5),(15 4748106.5),(16 5275147.5),(17 5826914),(18 6390655),(19 6965717),(20 7550533),(21 8149543.5),(22 8754339),(23 9364697),(24 9965206),(25 10572370),(26 11160354),(27 11739203),(28 12307825),(29 12842065),(30 13363157),(31 13890766),(32 14380646),(33 14841968),(34 15269878),(35 15658372),(36 16007723),(37 16324956),(38 16604774),(39 16858766),(40 17087504),(41 17281858),(42 17436952),(43 17563114),(44 17643956),(45 17717116),(46 17773442),(47 17815638),(48 17841446),(49 17874328),(50 17908914),(51 17938646),(52 17968042),(53 17989556),(54 17995348),(55 18008414),(56 18014878),(57 18017350),(58 18018378),(59 17999852),(60 17937064),(61 17866758),(62 17786366),(63 17725014),(64 17672190),(65 17624394),(66 17563982),(67 17511308),(68 17493582),(69 17478338),(70 17474234),(71 17491944),(72 17518072),(73 17554920),(74 17609596),(75 17666268),(76 17739740),(77 17830004),(78 17945900),(79 18096374),
(1 42930.39),(2 166681.06),(3 363218.75),(4 631636.5),(5 973260.94),(6 1374450),(7 1836632.3),(8 2346591),(9 2898239.3),(10 3479848),(11 4093947.8),(12 4733600.5),(13 5394223),(14 6075164),(15 6774441.5),(16 7481781.5),(17 8214875.5),(18 8946805),(19 9676809),(20 10408419),(21 11132532),(22 11835652),(23 12497784),(24 13134443),(25 13731886),(26 14257778),(27 14740525),(28 15154857),(29 15510859),(30 15790581),(31 16017807),(32 16189602),(33 16327893),(34 16406569),(35 16457579),(36 16463887),(37 16454460),(38 16418142),(39 16354338),(40 16248062),(41 16114485),(42 15950251),(43 15764297),(44 15558584),(45 15349187),(46 15128386),(47 14915400),(48 14696593),(49 14486711),(50 14292468),(51 14115592),(52 13946613),(53 13803201),(54 13675304),(55 13580174),(56 13511023),(57 13457155),(58 13417583),(59 13391702),(60 13388422),(61 13414749),(62 13455595),(63 13529935),(64 13622240),(65 13739238),(66 13881451),(67 14036241),(68 14206556),(69 14404282),(70 14617458),(71 14856440),(72 15108574),(73 15379125),(74 15674180),(75 15968328),(76 16260175),(77 16570031),(78 16864692),(79 17163280),
(1 39423.5),(2 151849.28),(3 330514.4),(4 565118.3),(5 857658.2),(6 1204140.5),(7 1601573.5),(8 2042074.6),(9 2521744.5),(10 3036610.8),(11 3577833.8),(12 4138331),(13 4713812.5),(14 5305978.5),(15 5904732.5),(16 6496743),(17 7080004.5),(18 7646224),(19 8181643.5),(20 8685856),(21 9164995),(22 9619810),(23 10026220),(24 10400043),(25 10735633),(26 11034547),(27 11308099),(28 11547647),(29 11743042),(30 11897317),(31 12027044),(32 12119884),(33 12177820),(34 12198468),(35 12216560),(36 12210197),(37 12198644),(38 12165781),(39 12121712),(40 12083891),(41 12052665),(42 12016149),(43 11971669),(44 11930679),(45 11882539),(46 11813511),(47 11749560),(48 11672788),(49 11597127),(50 11520033),(51 11438065),(52 11355439),(53 11279957),(54 11221364),(55 11189413),(56 11155193),(57 11129918),(58 11105788),(59 11073838),(60 11036108),(61 11004089),(62 10970416),(63 10955943),(64 10950101),(65 10953986),(66 10975577),(67 11014046),(68 11069303),(69 11128416),(70 11186728),(71 11256118),(72 11318037),(73 11381954),(74 11435273),(75 11464722),(76 11480444),(77 11491067),(78 11489012),(79 11484787),
(1 45161.09),(2 172353.94),(3 377478.2),(4 652256.1),(5 988906.1),(6 1385183.4),(7 1833383.6),(8 2324632),(9 2840819.3),(10 3375719.5),(11 3916708),(12 4455363),(13 4989291.5),(14 5492076),(15 5956478),(16 6382481),(17 6778990),(18 7125400),(19 7427573),(20 7662039.5),(21 7841780.5),(22 7988541),(23 8097706.5),(24 8163691.5),(25 8189982),(26 8166099),(27 8113719.5),(28 8027232),(29 7897001.5),(30 7734046.5),(31 7560035.5),(32 7379616),(33 7193744),(34 7006159),(35 6834070),(36 6669416),(37 6531426),(38 6416564.5),(39 6330097),(40 6284760.5),(41 6283938),(42 6318112),(43 6396322),(44 6492738),(45 6614501),(46 6757415.5),(47 6934161.5),(48 7110003.5),(49 7286840.5),(50 7469717.5),(51 7649691),(52 7822815),(53 7980410.5),(54 8144907.5),(55 8307811),(56 8453271),(57 8585562),(58 8687837),(59 8767177),(60 8821682),(61 8854106),(62 8869671),(63 8875707),(64 8864135),(65 8846505),(66 8801679),(67 8755220),(68 8727268),(69 8693690),(70 8665589),(71 8636087),(72 8619830),(73 8612264),(74 8626686),(75 8644761),(76 8659836),(77 8695876),(78 8726344),(79 8756222),
