1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 33213.855),(2 75025.195),(3 120688.65),(4 210985.48),(5 305865.03),(6 395674.16),(7 529634.56),(8 673339.56),(9 808799.8),(10 979345.25),(11 1171606.6),(12 1339897.1),(13 1555535),(14 1779933.4),(15 1992041),(16 2225300.8),(17 2447550.3),(18 2629193.8),(19 2851365.3),(20 3061385.3),(21 3249289.3),(22 3479017),(23 3699746),(24 3870466.8),(25 4084592),(26 4271699),(27 4418308.5),(28 4615710),(29 4799177.5),(30 4935028.5),(31 5131132.5),(32 5287699.5),(33 5378388),(34 5507606),(35 5588674.5),(36 5608184),(37 5691800.5),(38 5729198),(39 5730804.5),(40 5777866),(41 5822493.5),(42 5803580),(43 5852676.5),(44 5856010.5),(45 5802332),(46 5817226.5),(47 5820552),(48 5776762.5),(49 5780932.5),(50 5743122.5),(51 5620889.5),(52 5570408),(53 5472834),(54 5318352.5),(55 5250413.5),(56 5164933.5),(57 5052503.5),(58 5030681),(59 4985744.5),(60 4876068),(61 4873158.5),(62 4829730.5),(63 4728872.5),(64 4726144),(65 4714505.5),(66 4633410),(67 4653644),(68 4647045.5),(69 4577639),(70 4593797.5),(71 4631774.5),(72 4605411.5),(73 4688881.5),(74 4762992.5),(75 4761488.5),(76 4863943.5),(77 4998761),(78 5040526.5),(79 5218821.5),
(1 31449.537),(2 82924.98),(3 149102.47),(4 260085.84),(5 382873.8),(6 511017.06),(7 681116.5),(8 872095.3),(9 1069967.8),(10 1310852.6),(11 1578978.8),(12 1842292),(13 2165719.5),(14 2497827.5),(15 2835887.8),(16 3220121.5),(17 3596890.8),(18 3977438.5),(19 4394290.5),(20 4827100),(21 5243781),(22 5709257),(23 6181095.5),(24 6642478.5),(25 7140911),(26 7628261),(27 8093633),(28 8638488),(29 9154453),(30 9660405),(31 10199218),(32 10688692),(33 11117933),(34 11586010),(35 12031222),(36 12442519),(37 12874176),(38 13260626),(39 13594016),(40 13985094),(41 14345808),(42 14669278),(43 15075219),(44 15420661),(45 15692787),(46 15998437),(47 16266045),(48 16468302),(49 16707074),(50 16906930),(51 17072500),(52 17303028),(53 17506644),(54 17677174),(55 17915062),(56 18131228),(57 18288140),(58 18558630),(59 18799580),(60 19015220),(61 19309676),(62 19550740),(63 19670130),(64 19889040),(65 20077244),(66 20213572),(67 20433478),(68 20622204),(69 20777028),(70 21036068),(71 21287714),(72 21489340),(73 21796100),(74 22005488),(75 22115388),(76 22321808),(77 22514654),(78 22625020),(79 22830276),
(1 44465.01),(2 149630.23),(3 311512.75),(4 541605.06),(5 818940.8),(6 1134323.6),(7 1509128.1),(8 1932535),(9 2393417.8),(10 2915070),(11 3494262.3),(12 4090020),(13 4748637.5),(14 5437291),(15 6157098.5),(16 6903122),(17 7690321.5),(18 8467439),(19 9278069),(20 10084728),(21 10876995),(22 11700687),(23 12509729),(24 13273091),(25 14052643),(26 14842027),(27 15621808),(28 16438432),(29 17251712),(30 18040310),(31 18843646),(32 19651948),(33 20429174),(34 21223010),(35 22001524),(36 22752800),(37 23507136),(38 24217432),(39 24889938),(40 25584246),(41 26286082),(42 26981762),(43 27709968),(44 28406642),(45 29102752),(46 29793142),(47 30480250),(48 31104544),(49 31726762),(50 32342400),(51 32929098),(52 33486378),(53 34032050),(54 34508460),(55 34984896),(56 35458290),(57 35905784),(58 36386660),(59 36826864),(60 37274108),(61 37749692),(62 38192320),(63 38565840),(64 38999372),(65 39380324),(66 39699576),(67 40034856),(68 40310532),(69 40562932),(70 40860584),(71 41103076),(72 41309348),(73 41535280),(74 41656976),(75 41741656),(76 41898276),(77 41983172),(78 41997870),(79 42088772),
(1 56491.06),(2 207188.7),(3 453902.53),(4 793855.75),(5 1217781.1),(6 1734446.9),(7 2346346.3),(8 3044245.8),(9 3837293),(10 4712753),(11 5688358),(12 6735565),(13 7892678),(14 9110049),(15 10388576),(16 11759712),(17 13219326),(18 14735177),(19 16320709),(20 17934056),(21 19591968),(22 21271300),(23 22953780),(24 24614456),(25 26288388),(26 27989846),(27 29702324),(28 31441674),(29 33148562),(30 34814280),(31 36489830),(32 38129644),(33 39721292),(34 41267908),(35 42758492),(36 44207740),(37 45576250),(38 46889956),(39 48162004),(40 49374904),(41 50547740),(42 51679950),(43 52787144),(44 53821748),(45 54799724),(46 55705970),(47 56583628),(48 57358970),(49 58070144),(50 58725820),(51 59370010),(52 59921400),(53 60405576),(54 60849520),(55 61279188),(56 61686480),(57 62025784),(58 62328220),(59 62542530),(60 62711570),(61 62860090),(62 62933092),(63 62966410),(64 62955704),(65 62904080),(66 62800144),(67 62694520),(68 62566400),(69 62418844),(70 62249224),(71 62058516),(72 61852304),(73 61653376),(74 61346844),(75 61040570),(76 60736570),(77 60381332),(78 59987830),(79 59630270),
(1 57647.902),(2 214179.55),(3 471504.47),(4 829740.56),(5 1275775.5),(6 1816686.5),(7 2439662.3),(8 3144514.5),(9 3930852.3),(10 4785600),(11 5720301),(12 6714932.5),(13 7796944),(14 8921219),(15 10098806),(16 11336066),(17 12628047),(18 13985312),(19 15389811),(20 16841990),(21 18329558),(22 19842322),(23 21360532),(24 22869704),(25 24371518),(26 25908206),(27 27468850),(28 29029000),(29 30573038),(30 32073318),(31 33532844),(32 34944524),(33 36333876),(34 37673480),(35 38990492),(36 40265908),(37 41473668),(38 42632996),(39 43762044),(40 44821852),(41 45884110),(42 46965380),(43 47989628),(44 48971920),(45 49941650),(46 50842450),(47 51696180),(48 52479908),(49 53213988),(50 53932590),(51 54630564),(52 55268612),(53 55879296),(54 56412540),(55 56920984),(56 57419916),(57 57830532),(58 58204990),(59 58524300),(60 58772764),(61 58998376),(62 59176810),(63 59283804),(64 59275252),(65 59226620),(66 59084350),(67 58881860),(68 58684336),(69 58462170),(70 58165930),(71 57843310),(72 57487308),(73 57123370),(74 56680090),(75 56235572),(76 55792050),(77 55299944),(78 54780584),(79 54288336),
(1 49284.44),(2 182393.17),(3 398502.3),(4 688876.9),(5 1047608.1),(6 1479332.4),(7 1977864.8),(8 2540590),(9 3168330.3),(10 3836572.8),(11 4559915),(12 5317929),(13 6135075),(14 6969651),(15 7820778.5),(16 8704158),(17 9581114),(18 10459966),(19 11367506),(20 12260643),(21 13132348),(22 13982861),(23 14839014),(24 15681834),(25 16529416),(26 17331294),(27 18110644),(28 18882688),(29 19600522),(30 20262020),(31 20906884),(32 21507524),(33 22105310),(34 22689436),(35 23222502),(36 23757268),(37 24258646),(38 24683262),(39 25105334),(40 25478586),(41 25851766),(42 26224486),(43 26583040),(44 26878092),(45 27174400),(46 27435904),(47 27682086),(48 27901780),(49 28108928),(50 28327680),(51 28566534),(52 28771676),(53 28964180),(54 29140020),(55 29272838),(56 29347222),(57 29376036),(58 29371318),(59 29305108),(60 29219980),(61 29105708),(62 28984260),(63 28871334),(64 28730656),(65 28598412),(66 28420640),(67 28214768),(68 27999652),(69 27752886),(70 27468972),(71 27147834),(72 26819478),(73 26503086),(74 26142044),(75 25792516),(76 25455418),(77 25078872),(78 24745274),(79 24455796),
(1 43600),(2 163512.02),(3 357156.72),(4 616883.4),(5 936905.94),(6 1321085.8),(7 1766243.1),(8 2272439),(9 2841691),(10 3454639.8),(11 4115404.5),(12 4812192),(13 5546032.5),(14 6296421.5),(15 7070618),(16 7867168.5),(17 8684798),(18 9519028),(19 10362368),(20 11188262),(21 12011103),(22 12803842),(23 13576193),(24 14317303),(25 15055344),(26 15754151),(27 16439140),(28 17083310),(29 17689368),(30 18252324),(31 18782062),(32 19247214),(33 19697318),(34 20096688),(35 20469080),(36 20808110),(37 21114236),(38 21385110),(39 21647068),(40 21877846),(41 22072548),(42 22263204),(43 22409032),(44 22488802),(45 22600280),(46 22672572),(47 22696324),(48 22688724),(49 22651964),(50 22596984),(51 22515914),(52 22387178),(53 22206814),(54 21960958),(55 21694178),(56 21380312),(57 21027446),(58 20671542),(59 20296056),(60 19900922),(61 19514220),(62 19137558),(63 18763052),(64 18416126),(65 18083916),(66 17727144),(67 17402920),(68 17083836),(69 16772582),(70 16494897),(71 16235775),(72 15992112),(73 15790554),(74 15608362),(75 15479596),(76 15411349),(77 15392793),(78 15418290),(79 15513151),
(1 56012.957),(2 211247.33),(3 460196),(4 798726.2),(5 1212946.4),(6 1705090.1),(7 2272701.3),(8 2886483.3),(9 3549092),(10 4250635),(11 4994670),(12 5764110),(13 6554680.5),(14 7362546),(15 8160389),(16 8971876),(17 9789126),(18 10590902),(19 11376333),(20 12128285),(21 12835972),(22 13483273),(23 14089324),(24 14642805),(25 15146609),(26 15584544),(27 15958439),(28 16289099),(29 16571705),(30 16821204),(31 17033758),(32 17187692),(33 17306390),(34 17376792),(35 17404354),(36 17391464),(37 17333970),(38 17256216),(39 17166928),(40 17056972),(41 16932338),(42 16787698),(43 16609373),(44 16394295),(45 16171508),(46 15932370),(47 15682798),(48 15430438),(49 15177808),(50 14905289),(51 14628909),(52 14339121),(53 14054841),(54 13777679),(55 13524033),(56 13290478),(57 13075838),(58 12891991),(59 12727571),(60 12582183),(61 12462570),(62 12372914),(63 12305573),(64 12250105),(65 12225291),(66 12226348),(67 12260828),(68 12321109),(69 12406799),(70 12502067),(71 12622407),(72 12739075),(73 12874975),(74 13021964),(75 13184698),(76 13352884),(77 13533383),(78 13690252),(79 13867055),
(1 59716.35),(2 223874.83),(3 488416.34),(4 848511.5),(5 1291769.1),(6 1816000.9),(7 2412603.3),(8 3064173.3),(9 3766276),(10 4507635.5),(11 5296830),(12 6108781.5),(13 6935637.5),(14 7775422.5),(15 8618515),(16 9463108),(17 10298446),(18 11114894),(19 11932350),(20 12712407),(21 13445154),(22 14125435),(23 14747354),(24 15301020),(25 15817133),(26 16269685),(27 16668497),(28 17009272),(29 17289092),(30 17488968),(31 17619324),(32 17672866),(33 17666938),(34 17598540),(35 17474774),(36 17313936),(37 17110808),(38 16870442),(39 16628657),(40 16355861),(41 16064188),(42 15758903),(43 15436401),(44 15099407),(45 14796574),(46 14484235),(47 14179752),(48 13893924),(49 13622760),(50 13367571),(51 13133692),(52 12919379),(53 12735070),(54 12566248),(55 12437190),(56 12334240),(57 12262900),(58 12194962),(59 12147872),(60 12130056),(61 12147005),(62 12192762),(63 12281352),(64 12402936),(65 12553338),(66 12719287),(67 12929654),(68 13156645),(69 13397366),(70 13644715),(71 13910782),(72 14177099),(73 14458083),(74 14740617),(75 15032319),(76 15342469),(77 15635892),(78 15924646),(79 16243881),
(1 48731.375),(2 183100.81),(3 399446.84),(4 693064.7),(5 1051859.1),(6 1469745.8),(7 1939614.9),(8 2451480.5),(9 3005624),(10 3586720.3),(11 4201421.5),(12 4847987.5),(13 5518347.5),(14 6203602.5),(15 6894937.5),(16 7595155.5),(17 8294680),(18 8978498),(19 9646210),(20 10268517),(21 10833328),(22 11346121),(23 11794761),(24 12175003),(25 12519942),(26 12807245),(27 13040361),(28 13254190),(29 13418370),(30 13532770),(31 13592162),(32 13621105),(33 13609043),(34 13555031),(35 13487568),(36 13388383),(37 13260649),(38 13125195),(39 12976107),(40 12821730),(41 12665097),(42 12518480),(43 12359820),(44 12214130),(45 12089854),(46 11956250),(47 11825178),(48 11686446),(49 11556747),(50 11436594),(51 11321540),(52 11217068),(53 11132084),(54 11051813),(55 10987558),(56 10935629),(57 10897100),(58 10867426),(59 10847572),(60 10835422),(61 10834283),(62 10833552),(63 10833531),(64 10852834),(65 10882595),(66 10903930),(67 10937707),(68 10966494),(69 11003067),(70 11047424),(71 11099979),(72 11160304),(73 11217835),(74 11265369),(75 11314116),(76 11358277),(77 11400776),(78 11441181),(79 11491673),
(1 65802.93),(2 254094.83),(3 558615.3),(4 970126),(5 1475920.5),(6 2060990.6),(7 2709442.3),(8 3405874),(9 4140068.3),(10 4885506),(11 5633952),(12 6370077),(13 7078115.5),(14 7744284),(15 8368821.5),(16 8943993),(17 9464899),(18 9907183),(19 10265709),(20 10537666),(21 10716881),(22 10796904),(23 10781912),(24 10670832),(25 10489406),(26 10239855),(27 9943782),(28 9611447),(29 9262766),(30 8904785),(31 8553528),(32 8206577),(33 7890470.5),(34 7598004.5),(35 7331257),(36 7074741.5),(37 6848804),(38 6642420),(39 6454928.5),(40 6306280.5),(41 6181238),(42 6091769.5),(43 6024738),(44 5981857),(45 5974439.5),(46 6004429.5),(47 6080718),(48 6190116.5),(49 6340071.5),(50 6511879.5),(51 6698161),(52 6926385.5),(53 7172695.5),(54 7443517),(55 7736993.5),(56 8033716.5),(57 8345966),(58 8668536),(59 8999250),(60 9330812),(61 9669887),(62 10008073),(63 10341832),(64 10655324),(65 10955232),(66 11219689),(67 11470827),(68 11689092),(69 11872725),(70 12023036),(71 12117873),(72 12157604),(73 12156142),(74 12103810),(75 12006232),(76 11885257),(77 11733182),(78 11558549),(79 11376348),
