1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 433291.28),(2 1310255.6),(3 2619562.8),(4 4643326.5),(5 6964180),(6 9580807),(7 12701045),(8 16488580),(9 20250116),(10 25090326),(11 29787590),(12 34213680),(13 40375650),(14 46152188),(15 52450580),(16 60153644),(17 67861560),(18 75800830),(19 84515176),(20 93865020),(21 105498664),(22 116603416),(23 128573000),(24 142874510),(25 156773810),(26 171218060),(27 188378370),(28 206874050),(29 224697010),(30 243326610),(31 262682900),(32 282825000),(33 304876860),(34 325046240),(35 345386200),(36 364294430),(37 383303780),(38 402981000),(39 421943650),(40 440041340),(41 457436500),(42 473096930),(43 489199970),(44 504540160),(45 518138240),(46 530026340),(47 540254800),(48 547748000),(49 553520100),(50 557663040),(51 560599600),(52 561990100),(53 562175700),(54 560528200),(55 558785340),(56 556160450),(57 553682900),(58 552011500),(59 548408060),(60 544125060),(61 539767300),(62 534379650),(63 528638850),(64 521787870),(65 513817900),(66 504741730),(67 495350530),(68 485571600),(69 476297630),(70 466744420),(71 457478700),(72 447994720),(73 439052380),(74 428720350),(75 419230300),(76 409558620),(77 400390560),(78 391254050),(79 380285200),
(1 271144.13),(2 951654.6),(3 2037813.6),(4 3675081.3),(5 5595047),(6 7829280),(7 10435468),(8 13547059),(9 16897276),(10 20857848),(11 24927692),(12 28967014),(13 33799724),(14 38555960),(15 43612810),(16 49240744),(17 54967596),(18 60840960),(19 66807256),(20 73148050),(21 80491210),(22 87595120),(23 95165460),(24 103864560),(25 112390696),(26 121441640),(27 131857704),(28 143044260),(29 154211550),(30 165938560),(31 178131250),(32 190871140),(33 204615420),(34 217861200),(35 231474080),(36 244786560),(37 258176720),(38 272064060),(39 285832700),(40 299314240),(41 312597700),(42 325152420),(43 337465000),(44 349079330),(45 359770370),(46 369518430),(47 378473020),(48 385744480),(49 391887900),(50 396834530),(51 400572960),(52 403142980),(53 404820770),(54 405434780),(55 405292740),(56 404131870),(57 402705340),(58 401273630),(59 398510500),(60 395168670),(61 391411520),(62 386820600),(63 381780740),(64 375795940),(65 369045540),(66 361450180),(67 353521760),(68 345029760),(69 336550850),(70 327914800),(71 319038080),(72 310087940),(73 301442430),(74 292376830),(75 283422180),(76 274465300),(77 265671680),(78 256972880),(79 247911890),
(1 333401.84),(2 1231261.6),(3 2700313.8),(4 4780598.5),(5 7314440),(6 10316319),(7 13808164),(8 17860010),(9 22259570),(10 27194490),(11 32357568),(12 37638484),(13 43439616),(14 49218644),(15 55105124),(16 61179776),(17 67227800),(18 73268450),(19 79090536),(20 84750824),(21 90721800),(22 96335510),(23 102023840),(24 108000024),(25 113602456),(26 119136810),(27 125062504),(28 130936360),(29 136707310),(30 142487230),(31 148371500),(32 154248210),(33 160231380),(34 165894780),(35 171573940),(36 177009780),(37 182158510),(38 187296000),(39 192093170),(40 196494080),(41 200495760),(42 203947260),(43 206693890),(44 208554800),(45 209678020),(46 210262960),(47 210304340),(48 209798450),(49 208944590),(50 207839280),(51 206472340),(52 204741440),(53 203033390),(54 201495760),(55 200127440),(56 198878930),(57 197890940),(58 196771570),(59 195799820),(60 195163950),(61 194488770),(62 194019400),(63 193809740),(64 193452930),(65 193132540),(66 192561710),(67 191895630),(68 191003600),(69 190148540),(70 189436620),(71 188385920),(72 186884660),(73 185234860),(74 183350140),(75 181017600),(76 178271490),(77 174829730),(78 170899540),(79 166708210),
(1 246249.14),(2 906207.75),(3 1963057.8),(4 3427150.5),(5 5204986),(6 7302370),(7 9728236),(8 12588857),(9 15742596),(10 19320452),(11 23046282),(12 26886898),(13 31110780),(14 35347404),(15 39610564),(16 44012684),(17 48437440),(18 52818296),(19 57054444),(20 61262510),(21 65729620),(22 70008700),(23 74556440),(24 79439490),(25 84262570),(26 89086990),(27 94346480),(28 99662810),(29 104971710),(30 110438440),(31 115978740),(32 121715740),(33 127785430),(34 133798856),(35 140023840),(36 146296690),(37 152421780),(38 158617280),(39 164584830),(40 170228110),(41 175493060),(42 180273440),(43 184395580),(44 187465970),(45 189637950),(46 190919120),(47 191428980),(48 191132740),(49 190118430),(50 188496720),(51 186131630),(52 183195460),(53 179892980),(54 176224660),(55 172236860),(56 168007760),(57 163614830),(58 158816540),(59 153966910),(60 149016240),(61 144013710),(62 139202080),(63 134433090),(64 129683420),(65 125230760),(66 120981010),(67 116933496),(68 113042860),(69 109339720),(70 105798056),(71 102434590),(72 99203550),(73 96093480),(74 93083500),(75 90214340),(76 87402010),(77 84726110),(78 82173730),(79 79725480),
(1 280345.53),(2 1058230.5),(3 2279765),(4 3918601.8),(5 5897533),(6 8215303.5),(7 10838951),(8 13784527),(9 17000346),(10 20481236),(11 24119156),(12 27813224),(13 31640454),(14 35424756),(15 39108640),(16 42775092),(17 46315630),(18 49723068),(19 52942276),(20 56074380),(21 59127190),(22 62000804),(23 64891044),(24 67823096),(25 70636770),(26 73297160),(27 75972104),(28 78408070),(29 80806700),(30 83137464),(31 85407070),(32 87659440),(33 90108810),(34 92623050),(35 95380600),(36 98416330),(37 101663416),(38 105184820),(39 108961950),(40 112712930),(41 116507656),(42 120220750),(43 123612080),(44 126699310),(45 129329910),(46 131423060),(47 132965790),(48 134003250),(49 134632560),(50 134868580),(51 134630850),(52 134120110),(53 133299500),(54 132074590),(55 130532840),(56 128753840),(57 126655260),(58 124113030),(59 121339160),(60 118316240),(61 115211060),(62 112111080),(63 109040104),(64 106090290),(65 103284780),(66 100720340),(67 98304340),(68 96047350),(69 93872184),(70 91692740),(71 89539496),(72 87430024),(73 85156000),(74 82783220),(75 80422776),(76 77975910),(77 75498370),(78 73005570),(79 70640430),
(1 306996.75),(2 1180823.4),(3 2575492),(4 4440445),(5 6722754.5),(6 9407397),(7 12432312),(8 15762768),(9 19361568),(10 23166060),(11 27147082),(12 31187802),(13 35247190),(14 39342852),(15 43353996),(16 47266944),(17 51049730),(18 54628120),(19 57958840),(20 61037720),(21 63852364),(22 66353510),(23 68551450),(24 70445260),(25 72121330),(26 73536180),(27 74705430),(28 75638456),(29 76371570),(30 76803700),(31 77071640),(32 77167220),(33 76903620),(34 76495730),(35 75922380),(36 75281460),(37 74649490),(38 74047810),(39 73575336),(40 73109850),(41 72746860),(42 72563624),(43 72414910),(44 72364050),(45 72328300),(46 72233630),(47 72091020),(48 71899740),(49 71639570),(50 71346990),(51 71059990),(52 70707700),(53 70218470),(54 69634900),(55 68956910),(56 68264680),(57 67487240),(58 66597590),(59 65734890),(60 64973836),(61 64454860),(62 64226560),(63 64346584),(64 64810110),(65 65651212),(66 66827124),(67 68323480),(68 70019540),(69 71803080),(70 73663176),(71 75472580),(72 77200080),(73 78604720),(74 79797640),(75 80825540),(76 81647460),(77 82276160),(78 82672900),(79 83034390),
(1 178800.53),(2 683014.4),(3 1483445.4),(4 2547092.5),(5 3844848.5),(6 5361528.5),(7 7090159),(8 9008402),(9 11123210),(10 13370096),(11 15725388),(12 18150372),(13 20644898),(14 23193422),(15 25730494),(16 28282302),(17 30797900),(18 33255982),(19 35686044),(20 38044176),(21 40375804),(22 42568330),(23 44620756),(24 46517130),(25 48250324),(26 49792516),(27 51195140),(28 52418760),(29 53448856),(30 54256020),(31 54925064),(32 55433490),(33 55799356),(34 56092644),(35 56227492),(36 56306972),(37 56247212),(38 56125244),(39 55893820),(40 55531256),(41 55038204),(42 54420124),(43 53725604),(44 52892068),(45 51966500),(46 50962010),(47 49904944),(48 48851730),(49 47879320),(50 47026212),(51 46307670),(52 45803856),(53 45438330),(54 45218452),(55 45061450),(56 44984252),(57 44898150),(58 44702972),(59 44452068),(60 44130140),(61 43821000),(62 43598500),(63 43500536),(64 43553064),(65 43867670),(66 44496156),(67 45407716),(68 46689540),(69 48265240),(70 50093788),(71 52111360),(72 54340028),(73 56579344),(74 58758450),(75 60739950),(76 62562176),(77 64173064),(78 65510308),(79 66574776),
(1 101067.51),(2 379107.16),(3 810008.8),(4 1372186.9),(5 2043847.8),(6 2817492.5),(7 3690275.8),(8 4642932.5),(9 5688273.5),(10 6826733.5),(11 7998045),(12 9223385),(13 10536530),(14 11885444),(15 13259742),(16 14682167),(17 16159383),(18 17636796),(19 19116548),(20 20614010),(21 22211806),(22 23751548),(23 25283960),(24 26866816),(25 28361080),(26 29764754),(27 31169748),(28 32543712),(29 33794710),(30 34982852),(31 36130124),(32 37228520),(33 38243240),(34 39270170),(35 40263908),(36 41207270),(37 42033764),(38 42802624),(39 43402404),(40 43822652),(41 44101800),(42 44179412),(43 44132956),(44 43908456),(45 43527572),(46 43021100),(47 42414796),(48 41736988),(49 41041692),(50 40386600),(51 39807030),(52 39384276),(53 39002020),(54 38680492),(55 38389384),(56 38186830),(57 37936420),(58 37709456),(59 37570988),(60 37440944),(61 37377132),(62 37304936),(63 37160600),(64 36963780),(65 36686930),(66 36407188),(67 36154070),(68 35914492),(69 35695170),(70 35500730),(71 35424960),(72 35446652),(73 35556044),(74 35762630),(75 36035708),(76 36493450),(77 37118104),(78 37971460),(79 39090028),
(1 104081.7),(2 382541.75),(3 799592.9),(4 1316417.9),(5 1907311.4),(6 2550297.3),(7 3239972.5),(8 3949338),(9 4692034),(10 5431776),(11 6170096),(12 6906681.5),(13 7628358),(14 8329170),(15 9007070),(16 9657028),(17 10295965),(18 10890153),(19 11508969),(20 12163948),(21 12883697),(22 13614633),(23 14357364),(24 15174995),(25 15993214),(26 16805450),(27 17631834),(28 18493986),(29 19320454),(30 20113964),(31 20905070),(32 21721778),(33 22562734),(34 23522946),(35 24568902),(36 25724076),(37 26918748),(38 28182908),(39 29446204),(40 30630792),(41 31740344),(42 32736994),(43 33593252),(44 34308910),(45 34835344),(46 35153680),(47 35287896),(48 35203584),(49 34890976),(50 34394764),(51 33741700),(52 32943364),(53 32055006),(54 31114524),(55 30123116),(56 29110098),(57 28125938),(58 27265946),(59 26582672),(60 26106132),(61 25861984),(62 25829144),(63 26023122),(64 26406260),(65 26942296),(66 27548520),(67 28178778),(68 28750728),(69 29238912),(70 29683740),(71 30057650),(72 30269044),(73 30417284),(74 30456388),(75 30382748),(76 30162118),(77 29830442),(78 29392564),(79 28920128),
(1 132005.73),(2 490671.38),(3 1036100.75),(4 1737286.1),(5 2540841),(6 3419841.3),(7 4337168.5),(8 5257544),(9 6173708.5),(10 7045795),(11 7856258.5),(12 8590631),(13 9270919),(14 9880867),(15 10441644),(16 10961001),(17 11446684),(18 11872419),(19 12233861),(20 12555798),(21 12876768),(22 13168773),(23 13457282),(24 13783743),(25 14128316),(26 14506304),(27 14938524),(28 15384075),(29 15857264),(30 16314644),(31 16765326),(32 17198286),(33 17633888),(34 18019420),(35 18366164),(36 18673938),(37 18927154),(38 19151396),(39 19368956),(40 19572136),(41 19838370),(42 20106882),(43 20482922),(44 20928890),(45 21459536),(46 22051940),(47 22714158),(48 23414718),(49 24097784),(50 24740540),(51 25283176),(52 25659306),(53 25855628),(54 25817140),(55 25573234),(56 25123782),(57 24540928),(58 23860772),(59 23158156),(60 22437968),(61 21741866),(62 21087456),(63 20540388),(64 20166420),(65 19941194),(66 19917362),(67 20096218),(68 20411540),(69 20906896),(70 21509298),(71 22148110),(72 22739684),(73 23365536),(74 23936846),(75 24446084),(76 24931522),(77 25353678),(78 25724452),(79 26000050),
(1 154204.03),(2 581119.75),(3 1235278.1),(4 2090374.9),(5 3095864.3),(6 4228658.5),(7 5449825.5),(8 6733562.5),(9 8013882.5),(10 9273322),(11 10452379),(12 11520752),(13 12496614),(14 13305508),(15 13963319),(16 14453224),(17 14799993),(18 15023240),(19 15191741),(20 15341690),(21 15470751),(22 15570238),(23 15674457),(24 15785824),(25 15911066),(26 16054086),(27 16244779),(28 16460224),(29 16722293),(30 17000550),(31 17327312),(32 17652754),(33 17964544),(34 18292004),(35 18640862),(36 18951748),(37 19177098),(38 19307468),(39 19312272),(40 19191612),(41 18948416),(42 18595026),(43 18209566),(44 17787970),(45 17403410),(46 17069712),(47 16807440),(48 16675031),(49 16737007),(50 17030604),(51 17504988),(52 18034068),(53 18654018),(54 19271670),(55 19752784),(56 20070736),(57 20273234),(58 20384952),(59 20448912),(60 20469446),(61 20474736),(62 20397180),(63 20248938),(64 20076516),(65 19857366),(66 19619900),(67 19429116),(68 19298866),(69 19258808),(70 19270794),(71 19290000),(72 19297128),(73 19314440),(74 19326940),(75 19302340),(76 19260572),(77 19189994),(78 19112418),(79 19107726),
