q, (a, b, c)
1.5, (-15963.100576055911, 74.43771628376773, 25122.130252070063)
2.5, (-21283.88145528603, 93.1807105757925, 29394.477053787374)
3.5, (-29925.09865527862, 113.9963315418586, 37884.30897325016)
4.5, (-29201.168077914896, 95.79069690183974, 36309.090176104255)
5.5, (-35197.410489804315, 113.89014614701155, 41666.26960563231)
6.5, (-41243.09050403394, 135.61025875191876, 47525.862342301414)
7.5, (-37502.865596645905, 120.16195369411199, 43318.41174476101)
8.5, (-42314.39743449463, 150.67413687062012, 47984.33395044406)
9.5, (-41683.18264951301, 130.19820750824138, 46860.66938332956)
10.5, (-51957.20266658351, 152.07937668130293, 56731.428775941175)
11.5, (-45690.49868272513, 121.43186924405649, 50042.37897776675)
12.5, (-81626.15704179872, 200.38776226676103, 85766.07007461552)
13.5, (-98292.9343988177, 223.74840314659505, 102245.3019496602)
14.5, (-68458.65495236627, 145.44640884016164, 72148.80079838455)
15.5, (-56764.3347438077, 100.11641826766329, 59910.43723206207)
16.5, (-98699.95490436844, 179.94249949302696, 102181.80972370876)
17.5, (-78668.10044457443, 123.47272335886504, 81810.28959684644)
18.5, (-86848.06530204086, 121.26054433368536, 89755.83903176186)
19.5, (-96552.74839740164, 126.91300625671796, 99404.99927651911)
20.5, (-96527.41686175235, 120.77325576138361, 99606.14698962161)
21.5, (-80848.64306279435, 87.28799355963407, 83574.66171555014)
22.5, (-92518.29179805554, 91.47866414333556, 95217.22660723425)
23.5, (-104728.42322148965, 95.49518892295052, 107339.98982934994)
24.5, (-97565.5202320509, 86.15853498215226, 100600.41461063037)
25.5, (-90241.28389583116, 73.5342663949707, 93145.16636388244)
26.5, (-81758.30198229378, 60.07921320739009, 84611.57137530262)
27.5, (-91896.00139427706, 63.28490627687734, 94437.35225833548)
28.5, (-93962.5729352863, 64.6956559459565, 97351.34119014449)
29.5, (-88434.9936670693, 55.76270020273483, 91690.10270171554)
30.5, (-84689.71820051935, 50.27016766786829, 87812.2070056643)
31.5, (-91459.25742926105, 50.96789621907437, 94554.76238569226)
32.5, (-84774.56277599621, 43.90855850587445, 87704.55902860955)
33.5, (-89861.08146239203, 46.83119134871419, 93488.2331050023)
34.5, (-88032.0681221226, 41.57885331925596, 91281.99615593703)
35.5, (-89290.50155018929, 41.393639987425104, 92968.67937215928)
36.5, (-87070.61430816456, 37.70567891669605, 90254.94622151251)
37.5, (-83391.91082284314, 36.738006903159146, 87216.08455619407)
38.5, (-86340.85326468461, 34.54620073629616, 89574.26975769413)
39.5, (-82394.42002708386, 31.65469994521549, 85613.9777520439)
40.5, (-82095.78211138281, 30.496163524532413, 85336.27237511052)
41.5, (-78347.01142026125, 26.938468287516017, 81135.68943234153)
42.5, (-78810.00759635898, 28.733424717176806, 82784.6550958161)
43.5, (-79674.26753162917, 26.833648979976587, 83065.53243081935)
44.5, (-79510.35103969618, 25.99052531113114, 83027.99455694278)
45.5, (-76705.2759388356, 23.754286485888237, 79732.3645674425)
46.5, (-74232.25150312815, 22.89866611263838, 77538.41767860646)
47.5, (-76305.27959041669, 21.703722184333866, 78585.77783719893)
48.5, (-73791.43408141505, 20.88310669392753, 76679.12731332057)
49.5, (-71676.86549605592, 20.100234442452926, 74539.24919199322)
50.5, (-71383.95149023402, 19.93266637971092, 74311.3479289748)
51.5, (-68713.79892117582, 18.84013036653382, 71698.18012483294)
52.5, (-69432.26326100474, 18.124501206703766, 71959.70553969257)
53.5, (-67683.43280251909, 17.354225548049303, 69968.23720894384)
54.5, (-67265.26250747801, 16.811111867319184, 69317.47692687697)
55.5, (-66963.64470774823, 16.959556663204417, 69182.93050316363)
56.5, (-65740.09317586219, 15.070305269025575, 66648.3979608937)
57.5, (-64075.747089189594, 15.222614051962067, 65467.21052820413)
58.5, (-64977.71233669401, 14.955895020624522, 65939.37946178672)
59.5, (-61358.16541477025, 14.16086337289114, 62307.49845437021)
60.5, (-60164.75834683393, 13.810050478572293, 61109.62825267191)
61.5, (-59107.50452570675, 13.401923940034573, 59848.3555958184)
62.5, (-58036.87534373093, 13.3257244829758, 58711.76012811905)
63.5, (-57025.53454032564, 12.435959950335697, 57140.492501651315)
64.5, (-56374.53181247967, 12.150350223518004, 56266.19971619778)
65.5, (-54198.04536711438, 12.020842438282454, 54460.50909472265)
66.5, (-53131.08305916159, 11.068634941247566, 52538.95896607715)
67.5, (-53300.051476805296, 11.038943221427878, 52435.761240817716)
68.5, (-50883.675973202924, 10.827015614531287, 50529.79168096943)
69.5, (-50091.98261278131, 10.782772993411971, 49882.381996242635)
70.5, (-47464.73773387123, 10.07913575242882, 47153.390614602366)
71.5, (-46652.544764353814, 9.936433907818023, 46331.11138974825)
72.5, (-46219.74914125334, 9.501260319516803, 45508.50929712922)
73.5, (-45124.730377816406, 9.394653204373032, 44580.207466728505)
74.5, (-44703.64166597108, 9.36853909380464, 44224.9668869187)
75.5, (-43489.95047299952, 8.794214910471295, 42695.56809508421)
76.5, (-42002.77740847832, 8.684385142071731, 41452.204333719725)
77.5, (-41104.56844716812, 8.533495893228842, 40593.489278803994)
78.5, (-40579.83580288429, 8.395568926834681, 40110.742938035495)
79.5, (-39422.75094230414, 8.099583545491685, 38839.182129189714)
80.5, (-37725.21844999172, 8.10616227385258, 37603.897172624274)
81.5, (-37244.97564302969, 7.65208183508173, 36657.76348021157)
82.5, (-36024.015061245875, 7.530623959380564, 35515.89163748191)
83.5, (-34902.19532444778, 7.402397052294916, 34407.069272805325)
84.5, (-33919.85295066594, 7.20406922315556, 33404.85232647732)
85.5, (-32833.286719712276, 6.764163086732048, 32001.106178511123)
86.5, (-31668.312310891313, 6.993426279059936, 31322.51201091641)
87.5, (-30885.1877633301, 6.9289989182441944, 30637.073780247578)
88.5, (-29957.052892999716, 6.652684327898973, 29446.451440552075)
89.5, (-28700.454177245167, 6.5269780018038395, 28234.71289917118)
90.5, (-28535.430904880577, 6.216961933480338, 27687.041398295492)
91.5, (-26768.682827272016, 6.298087416839985, 26358.264774901403)
92.5, (-25932.740694594493, 6.113391431213113, 25447.66687730348)
93.5, (-25126.750019849806, 6.021105622225631, 24550.512958599666)
94.5, (-24356.11483977691, 5.730647933666296, 23519.87816568379)
95.5, (-23256.741430992774, 5.541651061166488, 22424.92426776555)
96.5, (-22375.590821603786, 5.610397997735327, 21752.15538533027)
97.5, (-21739.338420431148, 5.481313404376315, 21014.983718069958)
98.5, (-20685.87282791472, 5.438314483916497, 20125.11505928234)
99.5, (-19988.487155063056, 5.329697963650638, 19370.457966520185)
100.5, (-19160.20019910377, 5.222588427170838, 18524.81753591497)
101.5, (-18499.70856729647, 5.137313380931568, 17872.55045154604)
102.5, (-17486.434986828044, 5.027214368046964, 16963.91580180852)
103.5, (-16775.71224778251, 4.86923886257321, 16177.938657825887)
104.5, (-16215.042694193444, 4.778563733389777, 15569.001855966793)
105.5, (-15377.5840421412, 4.762829994278249, 14872.292606924699)
106.5, (-14654.282470672408, 4.737405234065968, 14215.744059766881)
107.5, (-14177.267278283165, 4.555255968433391, 13638.076679537662)
108.5, (-13419.868369876027, 4.568435400292173, 12989.977890938188)
109.5, (-12832.951874481096, 4.3744011343801965, 12339.679447588933)
110.5, (-12201.984347104426, 4.357449018114239, 11793.556850858708)
111.5, (-11495.703854274865, 4.357451345618867, 11188.040585992616)
112.5, (-10986.554700135388, 4.304430727638163, 10685.787987602895)
113.5, (-10540.710946443633, 4.161796276975359, 10182.404894832433)
