1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 104935.51),(2 175442.55),(3 205552.69),(4 389157.25),(5 518066),(6 598334.75),(7 836096.3),(8 1009370.56),(9 1080741),(10 1319049.3),(11 1496890.9),(12 1579188.6),(13 1813158),(14 1979130.4),(15 2036830.4),(16 2283201.8),(17 2466941.8),(18 2511067.3),(19 2743796.3),(20 2934801.8),(21 3003528.8),(22 3268799.3),(23 3550555.3),(24 3663256),(25 4000852),(26 4337561.5),(27 4485941.5),(28 4827280),(29 5172644.5),(30 5379207),(31 5805374.5),(32 6221814),(33 6473874.5),(34 6912728),(35 7358525.5),(36 7632615.5),(37 8058034),(38 8562907),(39 8836453),(40 9284385),(41 9753366),(42 10064820),(43 10560983),(44 11068233),(45 11385749),(46 11880776),(47 12416603),(48 12788739),(49 13326653),(50 13905747),(51 14241513),(52 14761833),(53 15395776),(54 15708163),(55 16224636),(56 16763533),(57 17147816),(58 17770466),(59 18304320),(60 18748846),(61 19333112),(62 19980698),(63 20446110),(64 21063504),(65 21753198),(66 22253898),(67 22945602),(68 23787882),(69 24245792),(70 24848920),(71 25576246),(72 26049024),(73 26666522),(74 27303658),(75 27751546),(76 28349152),(77 29029856),(78 29540118),(79 30155182),
(1 55081.99),(2 117009.31),(3 177194.64),(4 314218.94),(5 443329.34),(6 556437.1),(7 746484.1),(8 916931.7),(9 1055377.5),(10 1259774),(11 1446495),(12 1595789),(13 1817739.6),(14 2025564.6),(15 2205427.3),(16 2476413),(17 2709689.3),(18 2903000.8),(19 3175085.5),(20 3429165.3),(21 3656996),(22 3948708.8),(23 4237587),(24 4501628),(25 4846348),(26 5145076),(27 5406602.5),(28 5737821),(29 6037502.5),(30 6281153),(31 6605055),(32 6894829),(33 7139090.5),(34 7453384),(35 7745798.5),(36 7993417.5),(37 8292729.5),(38 8607701),(39 8842643),(40 9161334),(41 9470190),(42 9721864),(43 10063611),(44 10376723),(45 10588922),(46 10899145),(47 11230130),(48 11477990),(49 11806290),(50 12115304),(51 12321261),(52 12631966),(53 12975850),(54 13230381),(55 13586643),(56 13960314),(57 14237258),(58 14592254),(59 14933133),(60 15206181),(61 15599326),(62 16014326),(63 16308848),(64 16685392),(65 17080260),(66 17383562),(67 17764780),(68 18173100),(69 18450666),(70 18793802),(71 19233624),(72 19568444),(73 19963222),(74 20411178),(75 20751756),(76 21189988),(77 21675424),(78 22054204),(79 22490854),
(1 38272.105),(2 97904.68),(3 175632.63),(4 304014.66),(5 435138.4),(6 573700.7),(7 758812.5),(8 929830.8),(9 1108449.8),(10 1311047),(11 1490904.1),(12 1678078.4),(13 1898719.6),(14 2081283.4),(15 2285022),(16 2533749.3),(17 2738318),(18 2978270),(19 3258771.3),(20 3522953.3),(21 3843747.3),(22 4188795.8),(23 4505677.5),(24 4870067.5),(25 5271191.5),(26 5611454.5),(27 5997664),(28 6427391.5),(29 6781422.5),(30 7166910.5),(31 7577512.5),(32 7925632),(33 8316885.5),(34 8701579),(35 9067097),(36 9473879),(37 9884443),(38 10223171),(39 10616516),(40 11040163),(41 11398713),(42 11767281),(43 12180091),(44 12497312),(45 12839352),(46 13223816),(47 13526024),(48 13831835),(49 14150765),(50 14369711),(51 14634997),(52 14954125),(53 15227760),(54 15508940),(55 15872993),(56 16142455),(57 16447619),(58 16788790),(59 17050424),(60 17356304),(61 17748288),(62 18050560),(63 18341166),(64 18673800),(65 18937026),(66 19208058),(67 19550064),(68 19807594),(69 20063378),(70 20337626),(71 20631690),(72 20913250),(73 21248530),(74 21587770),(75 21942612),(76 22322408),(77 22704392),(78 23067714),(79 23482208),
(1 47281.734),(2 148456.69),(3 300664.13),(4 510438.22),(5 750310.75),(6 1016355.7),(7 1327318.5),(8 1656385.8),(9 1996876.6),(10 2363858.8),(11 2730694.3),(12 3099766.5),(13 3491199),(14 3876789.3),(15 4278216.5),(16 4692406),(17 5102447),(18 5557785.5),(19 6045998.5),(20 6545796),(21 7087714),(22 7644595.5),(23 8205450.5),(24 8796737),(25 9401661),(26 9996777),(27 10603366),(28 11233239),(29 11816999),(30 12412367),(31 13015480),(32 13590487),(33 14191639),(34 14797895),(35 15418649),(36 16058043),(37 16701266),(38 17344190),(39 17972774),(40 18585462),(41 19154208),(42 19710374),(43 20266710),(44 20767256),(45 21267560),(46 21800588),(47 22274154),(48 22755716),(49 23250920),(50 23702088),(51 24219236),(52 24759960),(53 25295382),(54 25845942),(55 26387554),(56 26858974),(57 27320700),(58 27792204),(59 28187144),(60 28631230),(61 29143528),(62 29604984),(63 30088868),(64 30593642),(65 31023602),(66 31493298),(67 31988170),(68 32405860),(69 32793386),(70 33189980),(71 33539144),(72 33919220),(73 34323412),(74 34679090),(75 35072896),(76 35485600),(77 35821908),(78 36193144),(79 36596016),
(1 47049.586),(2 161909.3),(3 338680.97),(4 575747.8),(5 857870.4),(6 1177424.3),(7 1545629.9),(8 1948272.5),(9 2376458.8),(10 2837147.8),(11 3321432),(12 3814322.3),(13 4324002),(14 4835355.5),(15 5363254.5),(16 5906132.5),(17 6449191.5),(18 7023686),(19 7626311.5),(20 8254284.5),(21 8903292),(22 9557743),(23 10249101),(24 10932585),(25 11618867),(26 12332557),(27 13037756),(28 13732681),(29 14421972),(30 15099441),(31 15763962),(32 16417121),(33 17064188),(34 17694330),(35 18362266),(36 19030694),(37 19681952),(38 20335684),(39 20951324),(40 21543810),(41 22132236),(42 22677708),(43 23208704),(44 23703184),(45 24193900),(46 24701342),(47 25165888),(48 25617138),(49 26066298),(50 26472718),(51 26887538),(52 27308660),(53 27729556),(54 28129548),(55 28515624),(56 28862176),(57 29198298),(58 29489928),(59 29731188),(60 30038690),(61 30350190),(62 30611858),(63 30906514),(64 31187980),(65 31436786),(66 31714398),(67 31980596),(68 32226220),(69 32457896),(70 32632364),(71 32830144),(72 33039704),(73 33219224),(74 33436392),(75 33659052),(76 33887650),(77 34058204),(78 34232390),(79 34471796),
(1 54387.605),(2 191845.25),(3 409380.44),(4 698694.9),(5 1042388.2),(6 1439973.8),(7 1891667.3),(8 2374231.5),(9 2896738.8),(10 3451379.5),(11 4025080.8),(12 4604608),(13 5208936),(14 5793941.5),(15 6411833),(16 7060085),(17 7681928),(18 8310960),(19 8962323),(20 9587907),(21 10214285),(22 10834054),(23 11439723),(24 12038998),(25 12655904),(26 13256047),(27 13860109),(28 14466744),(29 15050195),(30 15631904),(31 16226776),(32 16805012),(33 17376054),(34 17954324),(35 18516534),(36 19049674),(37 19546348),(38 19997654),(39 20432620),(40 20811494),(41 21175532),(42 21515990),(43 21846250),(44 22145124),(45 22437432),(46 22735584),(47 23031492),(48 23321338),(49 23611900),(50 23890104),(51 24184164),(52 24488400),(53 24809782),(54 25154866),(55 25498916),(56 25846306),(57 26236636),(58 26635516),(59 27073776),(60 27552554),(61 28037280),(62 28550816),(63 29043290),(64 29558522),(65 30103316),(66 30650042),(67 31221446),(68 31823024),(69 32404678),(70 32925370),(71 33531764),(72 34094950),(73 34597156),(74 35167412),(75 35711320),(76 36219604),(77 36734316),(78 37195308),(79 37632550),
(1 42944.973),(2 156959.06),(3 335535.38),(4 576065.75),(5 867759.44),(6 1205324.9),(7 1587413.4),(8 2010006),(9 2464953.3),(10 2952170.8),(11 3469609.3),(12 4009776.5),(13 4562283),(14 5122164),(15 5704464.5),(16 6302858),(17 6908154),(18 7523437),(19 8147966),(20 8776806),(21 9413554),(22 10029872),(23 10653814),(24 11263637),(25 11862156),(26 12479006),(27 13098752),(28 13707903),(29 14330578),(30 14948512),(31 15561297),(32 16187740),(33 16790756),(34 17354138),(35 17918638),(36 18442520),(37 18926926),(38 19334826),(39 19737484),(40 20085968),(41 20398194),(42 20668056),(43 20923554),(44 21160138),(45 21390372),(46 21621760),(47 21813482),(48 22009346),(49 22196192),(50 22336324),(51 22504096),(52 22654954),(53 22805352),(54 22932884),(55 23046900),(56 23107758),(57 23170388),(58 23232164),(59 23252372),(60 23311692),(61 23345874),(62 23362612),(63 23383688),(64 23402030),(65 23415460),(66 23429814),(67 23463710),(68 23467978),(69 23481816),(70 23479218),(71 23509154),(72 23536526),(73 23559384),(74 23587742),(75 23623058),(76 23668606),(77 23721812),(78 23781052),(79 23852210),
(1 49103.117),(2 184609.5),(3 397581.34),(4 686456),(5 1047472.6),(6 1472370.3),(7 1958359.5),(8 2491763),(9 3078466.8),(10 3716995.8),(11 4390989.5),(12 5084151),(13 5803617),(14 6532906.5),(15 7267569),(16 8016809),(17 8757934),(18 9508676),(19 10256970),(20 11004903),(21 11718213),(22 12410446),(23 13117389),(24 13788317),(25 14428570),(26 15068747),(27 15704451),(28 16308550),(29 16916928),(30 17463820),(31 17981864),(32 18484894),(33 18944250),(34 19335918),(35 19759442),(36 20081118),(37 20369864),(38 20591374),(39 20780618),(40 20921198),(41 21052032),(42 21130492),(43 21196238),(44 21239800),(45 21247798),(46 21264418),(47 21294182),(48 21288008),(49 21273222),(50 21253190),(51 21244100),(52 21226016),(53 21231806),(54 21248854),(55 21244598),(56 21239684),(57 21250738),(58 21253650),(59 21284110),(60 21320972),(61 21375532),(62 21423742),(63 21477926),(64 21526378),(65 21590104),(66 21644318),(67 21711590),(68 21777562),(69 21860810),(70 21927412),(71 22009084),(72 22092722),(73 22172672),(74 22260358),(75 22357098),(76 22470334),(77 22619838),(78 22755006),(79 22893622),
(1 65896.65),(2 250941.77),(3 546313.9),(4 943469.44),(5 1437141.1),(6 2018673.9),(7 2675660.8),(8 3401828.8),(9 4183650.8),(10 5011859),(11 5875521),(12 6761341.5),(13 7658014.5),(14 8546007),(15 9448218),(16 10351631),(17 11224486),(18 12084967),(19 12907306),(20 13681948),(21 14416960),(22 15095283),(23 15711322),(24 16267430),(25 16753406),(26 17196416),(27 17575740),(28 17894550),(29 18140298),(30 18319042),(31 18445062),(32 18517562),(33 18549274),(34 18500768),(35 18472654),(36 18362712),(37 18200004),(38 17976938),(39 17750778),(40 17488054),(41 17216994),(42 16923246),(43 16653943),(44 16392250),(45 16142807),(46 15912764),(47 15722063),(48 15543336),(49 15384656),(50 15272427),(51 15187308),(52 15125951),(53 15101709),(54 15109896),(55 15146172),(56 15200849),(57 15299669),(58 15427099),(59 15586312),(60 15768559),(61 15967676),(62 16172698),(63 16392728),(64 16606221),(65 16819590),(66 17030956),(67 17234914),(68 17426198),(69 17591880),(70 17698778),(71 17806656),(72 17864144),(73 17879950),(74 17885802),(75 17850816),(76 17782150),(77 17701000),(78 17590540),(79 17477180),
(1 75795.09),(2 291722.25),(3 634633.1),(4 1095965.3),(5 1669429.8),(6 2339554.3),(7 3090653.3),(8 3920386.8),(9 4806187),(10 5744373.5),(11 6712479),(12 7682006),(13 8647579),(14 9589692),(15 10513124),(16 11402858),(17 12238997),(18 13021830),(19 13755500),(20 14427731),(21 15037241),(22 15589749),(23 16092222),(24 16522286),(25 16900450),(26 17235680),(27 17492000),(28 17692184),(29 17837128),(30 17906824),(31 17931102),(32 17889606),(33 17796658),(34 17649870),(35 17498752),(36 17259722),(37 16991250),(38 16692709),(39 16388896),(40 16089527),(41 15792565),(42 15516421),(43 15265444),(44 15031876),(45 14809732),(46 14628252),(47 14492811),(48 14395999),(49 14335769),(50 14321524),(51 14371436),(52 14470617),(53 14617810),(54 14816234),(55 15066699),(56 15352594),(57 15680622),(58 16031072),(59 16412620),(60 16820702),(61 17235256),(62 17669490),(63 18100164),(64 18506630),(65 18906926),(66 19277276),(67 19616856),(68 19926514),(69 20170232),(70 20342942),(71 20490456),(72 20549000),(73 20520184),(74 20457974),(75 20332918),(76 20140180),(77 19904770),(78 19629668),(79 19336602),
(1 49072.5),(2 180813.16),(3 390418.2),(4 669803.8),(5 1010971.06),(6 1402544.1),(7 1836668.1),(8 2314955.3),(9 2809879),(10 3320856.8),(11 3844013.8),(12 4362870.5),(13 4882653.5),(14 5378459.5),(15 5870475),(16 6362198.5),(17 6812009),(18 7252159),(19 7665530.5),(20 8049018.5),(21 8407636),(22 8733833),(23 9035473),(24 9298066),(25 9524305),(26 9716934),(27 9881877),(28 10013506),(29 10092995),(30 10147851),(31 10172593),(32 10176507),(33 10184670),(34 10175352),(35 10177781),(36 10174101),(37 10180781),(38 10173254),(39 10215205),(40 10270409),(41 10323505),(42 10389009),(43 10482610),(44 10567375),(45 10678809),(46 10807625),(47 10943911),(48 11100648),(49 11268447),(50 11424632),(51 11643886),(52 11868872),(53 12073495),(54 12282891),(55 12491616),(56 12668281),(57 12863880),(58 13042808),(59 13194895),(60 13371727),(61 13528556),(62 13673971),(63 13820810),(64 13952407),(65 14077727),(66 14214110),(67 14350639),(68 14493624),(69 14645596),(70 14765008),(71 14911117),(72 15057853),(73 15189169),(74 15365795),(75 15564914),(76 15752845),(77 15969946),(78 16204632),(79 16424356),
