1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 109537.125),(2 184759.67),(3 234285.69),(4 470150.25),(5 694329),(6 894616.06),(7 1249308.9),(8 1610425.9),(9 1960377.6),(10 2440182),(11 2963679.3),(12 3465028.8),(13 4144183),(14 4804487.5),(15 5502202.5),(16 6272343.5),(17 7173466),(18 8039616.5),(19 9002304),(20 10060220),(21 11267048),(22 12297125),(23 13575949),(24 14678688),(25 15713355),(26 16861072),(27 17950386),(28 18942672),(29 20211108),(30 21220906),(31 22225596),(32 23350454),(33 24367024),(34 25275094),(35 26360010),(36 27598390),(37 28527218),(38 29719270),(39 30834992),(40 31793582),(41 32944262),(42 33929356),(43 34785740),(44 35717696),(45 36610436),(46 37364410),(47 38396704),(48 39329204),(49 40180704),(50 41204430),(51 42333372),(52 43227348),(53 44552770),(54 45795730),(55 47069504),(56 48560640),(57 49937364),(58 51178228),(59 52639840),(60 54076076),(61 55304492),(62 56729068),(63 58125188),(64 59258924),(65 60740204),(66 62207892),(67 63367100),(68 64837372),(69 66306068),(70 67547990),(71 69073000),(72 70463930),(73 71765816),(74 73246810),(75 74747170),(76 75782480),(77 77112696),(78 78385860),(79 79357800),
(1 62363.855),(2 133771.17),(3 212072.22),(4 412482.63),(5 613681.6),(6 812407.4),(7 1142119.3),(8 1481786.3),(9 1815802.6),(10 2289462),(11 2777670),(12 3246990.8),(13 3888844.5),(14 4518340.5),(15 5136539),(16 5903392.5),(17 6680815),(18 7401141),(19 8305946.5),(20 9186479),(21 10041242),(22 10997123),(23 11956114),(24 12769830),(25 13744518),(26 14653379),(27 15464294),(28 16395946),(29 17324412),(30 18063846),(31 19005242),(32 19904378),(33 20646128),(34 21512884),(35 22360612),(36 23119026),(37 23905554),(38 24726132),(39 25418326),(40 26239984),(41 27038604),(42 27652586),(43 28414080),(44 29154580),(45 29724448),(46 30494260),(47 31293196),(48 31909188),(49 32735484),(50 33555370),(51 34266590),(52 35122110),(53 36077764),(54 36851776),(55 37830630),(56 38893740),(57 39721050),(58 40719310),(59 41723480),(60 42511590),(61 43434020),(62 44371324),(63 45145110),(64 46066390),(65 47098656),(66 47912044),(67 48878972),(68 49885090),(69 50677652),(70 51574932),(71 52554920),(72 53232200),(73 54052340),(74 54877816),(75 55504550),(76 56163572),(77 56845996),(78 57257530),(79 57797160),
(1 47662.137),(2 132792.69),(3 258800.38),(4 464688.16),(5 694905.3),(6 964657.94),(7 1317127.4),(8 1688950.6),(9 2117332.3),(10 2641249),(11 3183602),(12 3793440.3),(13 4487695.5),(14 5216338),(15 5987157.5),(16 6830971.5),(17 7691212),(18 8570472),(19 9517179),(20 10468773),(21 11430068),(22 12450421),(23 13470457),(24 14489728),(25 15557400),(26 16573680),(27 17553518),(28 18592998),(29 19553770),(30 20474256),(31 21424940),(32 22299224),(33 23097302),(34 23931374),(35 24694576),(36 25391370),(37 26158702),(38 26857782),(39 27559528),(40 28324016),(41 29020376),(42 29689360),(43 30425642),(44 31151386),(45 31808230),(46 32530894),(47 33291166),(48 34005900),(49 34814296),(50 35609180),(51 36369790),(52 37269692),(53 38183490),(54 39059108),(55 39975388),(56 40948508),(57 41903020),(58 42878900),(59 43808916),(60 44633220),(61 45518944),(62 46407436),(63 47220612),(64 48145884),(65 49077010),(66 49892300),(67 50776820),(68 51614860),(69 52326304),(70 53088670),(71 53839676),(72 54414332),(73 55024660),(74 55599980),(75 56046400),(76 56562496),(77 57068508),(78 57467148),(79 57965360),
(1 42888.316),(2 139902.56),(3 294850.63),(4 520047.56),(5 794582.6),(6 1117445.8),(7 1503051.1),(8 1934255.5),(9 2402405),(10 2928552.5),(11 3497619.5),(12 4118578.3),(13 4794384),(14 5524120),(15 6296229.5),(16 7098625),(17 7938074),(18 8793959),(19 9669476),(20 10560889),(21 11437899),(22 12335582),(23 13260580),(24 14195971),(25 15145212),(26 16112510),(27 17074552),(28 18051456),(29 19010090),(30 19996728),(31 20956250),(32 21910270),(33 22841634),(34 23795864),(35 24732344),(36 25641342),(37 26575964),(38 27488400),(39 28394860),(40 29321034),(41 30222072),(42 31143734),(43 32081622),(44 33005768),(45 33917810),(46 34797200),(47 35706350),(48 36583170),(49 37414530),(50 38151744),(51 38857810),(52 39546544),(53 40185550),(54 40786850),(55 41335110),(56 41837524),(57 42325550),(58 42740910),(59 43085988),(60 43363852),(61 43618050),(62 43823470),(63 43977148),(64 44080030),(65 44086090),(66 44056920),(67 43969520),(68 43788864),(69 43570824),(70 43331292),(71 43060268),(72 42751870),(73 42436290),(74 42092692),(75 41705330),(76 41329710),(77 40931820),(78 40508680),(79 40136600),
(1 54575.26),(2 198129.77),(3 428688.28),(4 746870.94),(5 1139234.5),(6 1597331.3),(7 2136385.5),(8 2743066),(9 3373522.3),(10 4050140.8),(11 4782759.5),(12 5535644.5),(13 6324678.5),(14 7162664.5),(15 8017654),(16 8884783),(17 9789944),(18 10673788),(19 11583554),(20 12503681),(21 13369961),(22 14277574),(23 15194886),(24 16073996),(25 16980596),(26 17912936),(27 18824202),(28 19751508),(29 20639830),(30 21572658),(31 22497090),(32 23450136),(33 24359290),(34 25295860),(35 26252440),(36 27100812),(37 28010458),(38 28894238),(39 29708162),(40 30523884),(41 31321362),(42 32092802),(43 32857798),(44 33611028),(45 34324270),(46 34977972),(47 35678660),(48 36281280),(49 36816960),(50 37328750),(51 37759348),(52 38173880),(53 38595260),(54 38971010),(55 39323416),(56 39654156),(57 39953284),(58 40180388),(59 40396160),(60 40554588),(61 40686664),(62 40812736),(63 40896640),(64 40907610),(65 40929216),(66 40878840),(67 40772036),(68 40589390),(69 40393400),(70 40150748),(71 39939356),(72 39703430),(73 39434544),(74 39148880),(75 38836060),(76 38503740),(77 38183876),(78 37840656),(79 37523100),
(1 64496.6),(2 237928.88),(3 514110.3),(4 882353.3),(5 1332624.8),(6 1847873),(7 2433104),(8 3076263),(9 3740636.8),(10 4435490.5),(11 5159793.5),(12 5887870),(13 6641762.5),(14 7417350.5),(15 8175480),(16 8916864),(17 9656622),(18 10355318),(19 11040779),(20 11714384),(21 12349504),(22 12965035),(23 13575746),(24 14144931),(25 14716814),(26 15303654),(27 15881072),(28 16487928),(29 17078022),(30 17644806),(31 18226916),(32 18831096),(33 19403424),(34 19989914),(35 20577020),(36 21080086),(37 21578820),(38 22089766),(39 22524458),(40 22980692),(41 23420400),(42 23830588),(43 24273544),(44 24714608),(45 25110502),(46 25521804),(47 25924420),(48 26261336),(49 26596004),(50 26926378),(51 27195156),(52 27481356),(53 27779574),(54 28016918),(55 28292214),(56 28583680),(57 28802548),(58 29048806),(59 29344100),(60 29574768),(61 29872532),(62 30202916),(63 30432676),(64 30698970),(65 31000922),(66 31190156),(67 31373012),(68 31558138),(69 31660326),(70 31785418),(71 31970096),(72 32062448),(73 32187424),(74 32322694),(75 32373546),(76 32452684),(77 32568394),(78 32614324),(79 32717244),
(1 82149),(2 317166.66),(3 700387.44),(4 1221198),(5 1863913.5),(6 2628660),(7 3499654.5),(8 4450730),(9 5461562),(10 6518063.5),(11 7607511),(12 8732629),(13 9880730),(14 11056176),(15 12218235),(16 13358464),(17 14468222),(18 15536422),(19 16571948),(20 17528046),(21 18409142),(22 19245438),(23 20000674),(24 20676086),(25 21286496),(26 21821986),(27 22287970),(28 22681110),(29 22979932),(30 23253188),(31 23470556),(32 23630850),(33 23754124),(34 23823708),(35 23824004),(36 23778684),(37 23686498),(38 23565134),(39 23421698),(40 23249590),(41 23058336),(42 22889344),(43 22709426),(44 22514910),(45 22348748),(46 22155182),(47 21975496),(48 21798890),(49 21619320),(50 21427122),(51 21264658),(52 21082892),(53 20905316),(54 20759588),(55 20628238),(56 20503304),(57 20443364),(58 20377620),(59 20317128),(60 20298754),(61 20339454),(62 20384484),(63 20465534),(64 20584056),(65 20698594),(66 20829026),(67 20969730),(68 21077332),(69 21205620),(70 21320846),(71 21458696),(72 21591048),(73 21747980),(74 21886774),(75 22027266),(76 22169816),(77 22290766),(78 22428288),(79 22572018),
(1 76127.74),(2 296439.7),(3 652346.75),(4 1137908.3),(5 1735558.1),(6 2433992),(7 3231165.3),(8 4105015),(9 5030242),(10 5990312.5),(11 6994468.5),(12 8013732.5),(13 9054929),(14 10107568),(15 11125360),(16 12121189),(17 13092601),(18 13998532),(19 14880899),(20 15719267),(21 16472446),(22 17210588),(23 17912696),(24 18553052),(25 19166834),(26 19746218),(27 20260350),(28 20754934),(29 21187974),(30 21589636),(31 21942120),(32 22258758),(33 22491650),(34 22701214),(35 22884210),(36 22995506),(37 23058400),(38 23095050),(39 23100248),(40 23071666),(41 23027000),(42 22938366),(43 22827270),(44 22693926),(45 22529470),(46 22314074),(47 22135072),(48 21914638),(49 21661526),(50 21419964),(51 21164550),(52 20900886),(53 20684402),(54 20480488),(55 20280256),(56 20102218),(57 19933274),(58 19779778),(59 19648302),(60 19504406),(61 19389982),(62 19295886),(63 19204774),(64 19129074),(65 19082324),(66 19025198),(67 18971542),(68 18915822),(69 18826146),(70 18725506),(71 18628448),(72 18507524),(73 18397604),(74 18278380),(75 18119272),(76 17955132),(77 17782986),(78 17590998),(79 17402062),
(1 74047.36),(2 288300.75),(3 637844.8),(4 1105203.8),(5 1677961.9),(6 2353510.8),(7 3113176),(8 3934449.8),(9 4814246.5),(10 5720773.5),(11 6647929),(12 7603317),(13 8548789),(14 9472418),(15 10360353),(16 11190586),(17 11969903),(18 12686919),(19 13331518),(20 13902321),(21 14402116),(22 14856118),(23 15254105),(24 15601069),(25 15917141),(26 16188638),(27 16431708),(28 16670903),(29 16868356),(30 17074864),(31 17255364),(32 17417778),(33 17574044),(34 17737058),(35 17924448),(36 18116452),(37 18351834),(38 18590362),(39 18868080),(40 19171778),(41 19491618),(42 19817056),(43 20153560),(44 20472624),(45 20785854),(46 21039960),(47 21314978),(48 21534144),(49 21722820),(50 21894912),(51 22025054),(52 22139148),(53 22220024),(54 22283584),(55 22296484),(56 22252258),(57 22164992),(58 22029328),(59 21854268),(60 21642868),(61 21403068),(62 21118912),(63 20807746),(64 20473372),(65 20138640),(66 19776964),(67 19426956),(68 19035636),(69 18654056),(70 18275116),(71 17921916),(72 17576366),(73 17269384),(74 16968634),(75 16683078),(76 16439669),(77 16213449),(78 15992072),(79 15816414),
(1 64655.945),(2 250252.86),(3 546670.25),(4 945539.25),(5 1430466.5),(6 1985680.5),(7 2606341.8),(8 3279880),(9 3995608),(10 4736430.5),(11 5497079),(12 6254360),(13 7007954),(14 7738057),(15 8430860),(16 9082092),(17 9693849),(18 10240277),(19 10743714),(20 11174776),(21 11545914),(22 11879100),(23 12177773),(24 12435166),(25 12662059),(26 12841596),(27 12988731),(28 13110985),(29 13190502),(30 13262244),(31 13312355),(32 13352266),(33 13384540),(34 13408486),(35 13441860),(36 13465472),(37 13514887),(38 13557127),(39 13601946),(40 13651748),(41 13700316),(42 13761853),(43 13815289),(44 13850962),(45 13885805),(46 13897425),(47 13923081),(48 13935262),(49 13950158),(50 13955247),(51 13945397),(52 13935797),(53 13907628),(54 13871268),(55 13829266),(56 13765372),(57 13690313),(58 13594830),(59 13489269),(60 13359044),(61 13225979),(62 13079332),(63 12910861),(64 12740843),(65 12562116),(66 12371221),(67 12182092),(68 11960885),(69 11738120),(70 11521284),(71 11310196),(72 11099460),(73 10902832),(74 10712188),(75 10524243),(76 10355529),(77 10187471),(78 10032513),(79 9894683),
(1 55209.3),(2 211955.06),(3 462041.16),(4 792604.5),(5 1188860.5),(6 1643361),(7 2148606.5),(8 2683962.8),(9 3252175),(10 3848057.5),(11 4455736.5),(12 5075765.5),(13 5685217),(14 6292580),(15 6861455),(16 7403556.5),(17 7916862),(18 8389233),(19 8843694),(20 9246101),(21 9620617),(22 9977877),(23 10298673),(24 10593244),(25 10878392),(26 11121431),(27 11347657),(28 11559139),(29 11713931),(30 11867127),(31 11983403),(32 12067653),(33 12134128),(34 12176491),(35 12195725),(36 12186848),(37 12168706),(38 12113999),(39 12035592),(40 11930586),(41 11801547),(42 11639096),(43 11461541),(44 11249445),(45 11026807),(46 10778413),(47 10533464),(48 10279327),(49 10035715),(50 9790587),(51 9543883),(52 9309718),(53 9093014),(54 8880744),(55 8690887),(56 8501649),(57 8331091),(58 8181999),(59 8050560),(60 7922531),(61 7825255),(62 7748878),(63 7681476),(64 7638942.5),(65 7618388),(66 7602155.5),(67 7607893.5),(68 7594858.5),(69 7600595.5),(70 7624152),(71 7657034),(72 7696612.5),(73 7751353.5),(74 7804666),(75 7861714),(76 7940903.5),(77 8016137.5),(78 8076915),(79 8160701),
