1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 162475.4),(2 219829.94),(3 204572.17),(4 459425.22),(5 647864.6),(6 740332.3),(7 1067885.5),(8 1342385.8),(9 1484606.5),(10 1882944.9),(11 2242201.5),(12 2464931.3),(13 2924699.8),(14 3360446.3),(15 3628804),(16 4125993.3),(17 4593215.5),(18 4853580),(19 5318245.5),(20 5754967.5),(21 5989396),(22 6428824),(23 6817549.5),(24 7036633.5),(25 7456931.5),(26 7846291.5),(27 8071112.5),(28 8586497),(29 9044455),(30 9328568),(31 9840908),(32 10282773),(33 10502262),(34 10982015),(35 11388491),(36 11583853),(37 11977357),(38 12363640),(39 12504488),(40 12901672),(41 13286977),(42 13429413),(43 13870021),(44 14316552),(45 14515421),(46 14949461),(47 15436869),(48 15710947),(49 16221421),(50 16692383),(51 16902688),(52 17333858),(53 17790670),(54 18020256),(55 18452952),(56 18916404),(57 19160934),(58 19735606),(59 20371642),(60 20780860),(61 21487446),(62 22212278),(63 22710082),(64 23492272),(65 24307514),(66 24863566),(67 25691920),(68 26542662),(69 27195190),(70 28078426),(71 28977432),(72 29676624),(73 30730582),(74 31748566),(75 32625326),(76 33795036),(77 34974636),(78 35979256),(79 37247932),
(1 71039.36),(2 113593.33),(3 142689.48),(4 284966.3),(5 413876.16),(6 526543.8),(7 721528.25),(8 910516.1),(9 1066331.4),(10 1322559.6),(11 1575906.8),(12 1802628),(13 2113052.5),(14 2418567),(15 2678592),(16 3030325.5),(17 3387538.8),(18 3669137.5),(19 4026104.8),(20 4380804.5),(21 4679555.5),(22 5036465),(23 5392524),(24 5694550.5),(25 6052561),(26 6430637.5),(27 6767683),(28 7200438.5),(29 7615593.5),(30 7982038.5),(31 8418200),(32 8874605),(33 9248381),(34 9698986),(35 10132060),(36 10483654),(37 10851691),(38 11202187),(39 11475498),(40 11793798),(41 12110662),(42 12354902),(43 12718166),(44 13039122),(45 13316688),(46 13641272),(47 14031043),(48 14336547),(49 14678533),(50 15046810),(51 15373325),(52 15732757),(53 16094550),(54 16383734),(55 16688109),(56 17040480),(57 17349308),(58 17776372),(59 18336916),(60 18835534),(61 19391460),(62 20055184),(63 20658754),(64 21357178),(65 22167836),(66 22877718),(67 23623300),(68 24430908),(69 25158466),(70 25885576),(71 26651520),(72 27390348),(73 28203728),(74 29095558),(75 29974964),(76 30894868),(77 31887174),(78 32907344),(79 33944940),
(1 46481.098),(2 106439.125),(3 189917.61),(4 353285.16),(5 536312.9),(6 732380.5),(7 1007780.3),(8 1293204.4),(9 1586698.4),(10 1953862),(11 2323492.3),(12 2715216.8),(13 3155573.3),(14 3593962.8),(15 4030030),(16 4526371.5),(17 5012959.5),(18 5504192),(19 6029254.5),(20 6546822.5),(21 7060963.5),(22 7610184),(23 8152932),(24 8673169),(25 9217787),(26 9774210),(27 10315523),(28 10863359),(29 11431445),(30 11965208),(31 12510621),(32 13034013),(33 13500307),(34 13972771),(35 14437531),(36 14869017),(37 15308952),(38 15760155),(39 16154683),(40 16564173),(41 16988578),(42 17392014),(43 17769008),(44 18199904),(45 18589250),(46 18983582),(47 19392942),(48 19759302),(49 20127944),(50 20508834),(51 20815638),(52 21119630),(53 21485866),(54 21831368),(55 22160952),(56 22524006),(57 22892608),(58 23244634),(59 23564112),(60 23961010),(61 24316936),(62 24680424),(63 25001952),(64 25321624),(65 25667186),(66 26013034),(67 26365650),(68 26759634),(69 27145302),(70 27519562),(71 27940776),(72 28383792),(73 28783302),(74 29245146),(75 29693856),(76 30087264),(77 30542224),(78 31008650),(79 31426712),
(1 48870.832),(2 147231.42),(3 302817.5),(4 537393.9),(5 811960.25),(6 1125880.3),(7 1512937.8),(8 1934472),(9 2376450.8),(10 2876473.5),(11 3389857.8),(12 3923651.5),(13 4514426),(14 5116126),(15 5720774),(16 6359502),(17 6977482.5),(18 7591616),(19 8223392),(20 8824332),(21 9438805),(22 10060624),(23 10678504),(24 11288574),(25 11913879),(26 12576615),(27 13260448),(28 13971864),(29 14777342),(30 15549879),(31 16387516),(32 17235422),(33 18081848),(34 18986602),(35 19906904),(36 20792200),(37 21749482),(38 22710770),(39 23664330),(40 24637114),(41 25648882),(42 26668302),(43 27703978),(44 28801420),(45 29896568),(46 31019314),(47 32136392),(48 33263324),(49 34396452),(50 35521544),(51 36587820),(52 37631868),(53 38737684),(54 39764388),(55 40763444),(56 41760304),(57 42731024),(58 43705160),(59 44574364),(60 45563024),(61 46427560),(62 47200484),(63 47927600),(64 48611656),(65 49253644),(66 49910424),(67 50531744),(68 51160570),(69 51686910),(70 52149520),(71 52560850),(72 52947850),(73 53319764),(74 53615644),(75 53844144),(76 54009372),(77 54089320),(78 54138732),(79 54134416),
(1 52951.723),(2 182099.73),(3 394286.38),(4 696233.56),(5 1068590.5),(6 1510295.9),(7 2041858.5),(8 2624477.8),(9 3260137),(10 3967744),(11 4701461),(12 5472554.5),(13 6314123.5),(14 7148903.5),(15 8007718),(16 8910177),(17 9782271),(18 10668643),(19 11607871),(20 12484186),(21 13377926),(22 14280433),(23 15157268),(24 16030365),(25 16970008),(26 17895202),(27 18847914),(28 19857024),(29 20873494),(30 21870352),(31 22920798),(32 23909484),(33 24903866),(34 25949976),(35 26978296),(36 27940974),(37 28944808),(38 29865722),(39 30760658),(40 31707816),(41 32604126),(42 33525474),(43 34492064),(44 35420070),(45 36293148),(46 37211250),(47 38078300),(48 38886364),(49 39691056),(50 40431452),(51 41093230),(52 41749412),(53 42438300),(54 43014656),(55 43632244),(56 44181456),(57 44695500),(58 45266630),(59 45798744),(60 46415452),(61 47004390),(62 47531830),(63 48028456),(64 48538650),(65 49023644),(66 49489188),(67 49981290),(68 50419944),(69 50798068),(70 51162188),(71 51501644),(72 51750532),(73 52050876),(74 52288320),(75 52417616),(76 52570508),(77 52622590),(78 52598196),(79 52529664),
(1 50544.29),(2 188504.72),(3 422112.8),(4 750943.3),(5 1183264.8),(6 1699658.8),(7 2333514.8),(8 3054236.5),(9 3862646.8),(10 4763392),(11 5734521),(12 6785530.5),(13 7927131),(14 9095760),(15 10327440),(16 11572867),(17 12817227),(18 14135584),(19 15438864),(20 16714822),(21 18027720),(22 19280036),(23 20500452),(24 21668144),(25 22793868),(26 23865076),(27 24932774),(28 25930372),(29 26921056),(30 27844948),(31 28707642),(32 29482820),(33 30231770),(34 30940988),(35 31592484),(36 32166362),(37 32672950),(38 33157578),(39 33559132),(40 33923670),(41 34223776),(42 34481480),(43 34728020),(44 34910890),(45 35055450),(46 35183250),(47 35267556),(48 35301240),(49 35346770),(50 35322972),(51 35191610),(52 35051960),(53 34896670),(54 34666850),(55 34447000),(56 34232104),(57 33995040),(58 33819544),(59 33629790),(60 33489884),(61 33375424),(62 33251334),(63 33150476),(64 33158832),(65 33180570),(66 33203664),(67 33320884),(68 33448500),(69 33543132),(70 33668264),(71 33859532),(72 34044372),(73 34347424),(74 34639450),(75 34924456),(76 35283496),(77 35655320),(78 36001100),(79 36369050),
(1 45776.805),(2 168844.02),(3 373361.28),(4 657562.1),(5 1018903.94),(6 1442709.3),(7 1943594.8),(8 2496433),(9 3097749.5),(10 3745935.8),(11 4429341.5),(12 5148574),(13 5915125.5),(14 6697082.5),(15 7491206),(16 8279698.5),(17 9047992),(18 9842332),(19 10613734),(20 11356601),(21 12096124),(22 12817428),(23 13507237),(24 14167802),(25 14829177),(26 15480706),(27 16124773),(28 16754046),(29 17370620),(30 17952754),(31 18548338),(32 19108852),(33 19657374),(34 20207586),(35 20716952),(36 21175776),(37 21620802),(38 22046460),(39 22409250),(40 22772138),(41 23101042),(42 23404876),(43 23745440),(44 24025652),(45 24250786),(46 24457954),(47 24630080),(48 24761588),(49 24871968),(50 24911780),(51 24895532),(52 24870034),(53 24780428),(54 24624782),(55 24440394),(56 24204852),(57 23957084),(58 23708468),(59 23419560),(60 23142468),(61 22859466),(62 22566056),(63 22285506),(64 22030018),(65 21776086),(66 21553208),(67 21362282),(68 21191320),(69 21086314),(70 21039966),(71 21031346),(72 21093202),(73 21201278),(74 21368412),(75 21607076),(76 21890926),(77 22225868),(78 22610148),(79 23027678),
(1 44405.316),(2 166416.83),(3 364799.47),(4 642593.56),(5 991629.2),(6 1404790.1),(7 1895184.5),(8 2441630.8),(9 3029155),(10 3681851),(11 4371195),(12 5090923),(13 5867791),(14 6666678.5),(15 7493956.5),(16 8350529.5),(17 9186864),(18 10029621),(19 10858626),(20 11646017),(21 12415170),(22 13154219),(23 13856353),(24 14506927),(25 15162145),(26 15817093),(27 16462976),(28 17074032),(29 17703016),(30 18306442),(31 18906474),(32 19472678),(33 19992244),(34 20474508),(35 20924650),(36 21297016),(37 21672882),(38 22011212),(39 22289322),(40 22545016),(41 22783398),(42 22969650),(43 23130674),(44 23276372),(45 23362568),(46 23422414),(47 23427060),(48 23376966),(49 23325658),(50 23237268),(51 23073414),(52 22914484),(53 22767390),(54 22599828),(55 22445222),(56 22271244),(57 22096690),(58 21928410),(59 21735176),(60 21560678),(61 21398118),(62 21241466),(63 21083016),(64 20956004),(65 20828062),(66 20686990),(67 20554578),(68 20440140),(69 20321000),(70 20231012),(71 20159656),(72 20095034),(73 20071410),(74 20059848),(75 20065894),(76 20073152),(77 20094600),(78 20118394),(79 20163562),
(1 42670.215),(2 163504.36),(3 360426.06),(4 632968.94),(5 978566.8),(6 1387943),(7 1867533.6),(8 2397927),(9 2964091.3),(10 3575426.8),(11 4219507),(12 4891239),(13 5586465.5),(14 6291781.5),(15 6999713.5),(16 7697461.5),(17 8375556.5),(18 9059923),(19 9706173),(20 10314914),(21 10886935),(22 11409311),(23 11903630),(24 12350080),(25 12773816),(26 13142539),(27 13496959),(28 13773714),(29 14038110),(30 14269772),(31 14464267),(32 14626265),(33 14778869),(34 14891108),(35 14986302),(36 15042783),(37 15058065),(38 15046685),(39 14997543),(40 14924717),(41 14849243),(42 14750897),(43 14644821),(44 14537498),(45 14423831),(46 14302347),(47 14192459),(48 14074321),(49 13969290),(50 13845901),(51 13714758),(52 13583568),(53 13466818),(54 13352491),(55 13230963),(56 13128557),(57 13059266),(58 13019293),(59 13018129),(60 13062955),(61 13118658),(62 13196225),(63 13301642),(64 13423014),(65 13547292),(66 13684797),(67 13842265),(68 13997127),(69 14163731),(70 14335254),(71 14514206),(72 14703572),(73 14910688),(74 15116481),(75 15320037),(76 15499979),(77 15683080),(78 15874411),(79 16043981),
(1 39589.15),(2 153372.39),(3 341878.13),(4 602163.3),(5 930247.5),(6 1318627.8),(7 1766255.5),(8 2255699),(9 2781707),(10 3336919.5),(11 3906025),(12 4483797.5),(13 5073396.5),(14 5661274),(15 6238104.5),(16 6806110),(17 7338578),(18 7863319),(19 8373959),(20 8841316),(21 9272745),(22 9674788),(23 10030827),(24 10363413),(25 10683076),(26 10980932),(27 11271049),(28 11528750),(29 11801408),(30 12056009),(31 12312838),(32 12555193),(33 12796764),(34 13023378),(35 13250302),(36 13447953),(37 13657497),(38 13832965),(39 13978796),(40 14099415),(41 14206299),(42 14287794),(43 14355422),(44 14417583),(45 14467628),(46 14507546),(47 14552713),(48 14592012),(49 14641050),(50 14662465),(51 14650032),(52 14653012),(53 14654978),(54 14648233),(55 14654408),(56 14643333),(57 14625833),(58 14616026),(59 14604555),(60 14609530),(61 14602176),(62 14577229),(63 14552685),(64 14542884),(65 14516174),(66 14462363),(67 14416777),(68 14338864),(69 14233966),(70 14100144),(71 13959526),(72 13814997),(73 13658948),(74 13505807),(75 13339976),(76 13166313),(77 13001287),(78 12849982),(79 12715276),
(1 39729.1),(2 153876.13),(3 350927.97),(4 627329.2),(5 983724.8),(6 1412565.9),(7 1918057.6),(8 2488131.3),(9 3104966.5),(10 3769694),(11 4471991),(12 5182384),(13 5924521.5),(14 6655630),(15 7377365.5),(16 8060546),(17 8710805),(18 9365943),(19 9990682),(20 10562502),(21 11077929),(22 11544809),(23 11965980),(24 12324876),(25 12640709),(26 12903420),(27 13114669),(28 13250282),(29 13371012),(30 13435665),(31 13467584),(32 13463063),(33 13425828),(34 13360460),(35 13285303),(36 13174477),(37 13057549),(38 12928551),(39 12787065),(40 12650022),(41 12546669),(42 12449965),(43 12381809),(44 12338005),(45 12326869),(46 12348885),(47 12409382),(48 12498105),(49 12627899),(50 12764429),(51 12900375),(52 13043716),(53 13223221),(54 13413805),(55 13647864),(56 13885191),(57 14147612),(58 14438210),(59 14728222),(60 15033788),(61 15343057),(62 15637820),(63 15941380),(64 16211528),(65 16486136),(66 16717954),(67 16934190),(68 17111916),(69 17256906),(70 17352150),(71 17402586),(72 17386760),(73 17311544),(74 17186950),(75 17009660),(76 16770191),(77 16480760),(78 16156552),(79 15803550),
