1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 660339),(2 2712842.3),(3 6521639.5),(4 11929675),(5 19062098),(6 28296762),(7 38665596),(8 54218644),(9 69772650),(10 87531050),(11 108959520),(12 132710340),(13 158302720),(14 189194190),(15 217097490),(16 242432400),(17 269395300),(18 293977900),(19 320609630),(20 349465060),(21 376750850),(22 403612160),(23 426110980),(24 442579550),(25 454132900),(26 462339680),(27 465957630),(28 466828640),(29 463416220),(30 460495070),(31 452660770),(32 444924400),(33 433544450),(34 420228260),(35 403857920),(36 386235870),(37 369127400),(38 349552400),(39 331201800),(40 310614500),(41 288773600),(42 268475870),(43 249064430),(44 230936780),(45 214585780),(46 199638850),(47 186224510),(48 173718130),(49 162516450),(50 153589900),(51 145584030),(52 139465740),(53 134020440),(54 129045570),(55 124918460),(56 121588490),(57 118777060),(58 116272024),(59 114734360),(60 113670550),(61 113413096),(62 113610240),(63 114241630),(64 115705976),(65 116996770),(66 118966070),(67 121853910),(68 125399850),(69 129456030),(70 135034380),(71 140490270),(72 148083310),(73 156706610),(74 166531020),(75 175779060),(76 185382000),(77 195348030),(78 207973460),(79 220096130),
(1 1012192.4),(2 4129334.8),(3 9419992),(4 17067830),(5 26970474),(6 39139450),(7 52607740),(8 68817020),(9 85128890),(10 103111660),(11 121789570),(12 140466430),(13 159225760),(14 176058980),(15 189904130),(16 201935550),(17 212177380),(18 219305780),(19 224360270),(20 226969860),(21 226665810),(22 224838910),(23 220869660),(24 214314350),(25 206387200),(26 198692780),(27 192732000),(28 189215600),(29 183135330),(30 177576480),(31 171861650),(32 166234140),(33 160617000),(34 154592200),(35 148376720),(36 142435040),(37 136529180),(38 131128400),(39 126464060),(40 121809230),(41 118424830),(42 116028890),(43 113658650),(44 111599510),(45 110185496),(46 109600500),(47 109037900),(48 108264660),(49 106428440),(50 104481420),(51 102322020),(52 100134890),(53 98281300),(54 95874860),(55 93502616),(56 91209510),(57 89116024),(58 87326744),(59 85928720),(60 84916970),(61 84838360),(62 85648180),(63 87075820),(64 89074390),(65 91727860),(66 95140970),(67 99310120),(68 104262380),(69 110201420),(70 116936410),(71 124299416),(72 132149680),(73 140325380),(74 149046620),(75 157925420),(76 167062940),(77 176421340),(78 186410420),(79 195611920),
(1 849687.06),(2 3315512.8),(3 7348424),(4 12935212),(5 19866320),(6 28022410),(7 36977376),(8 46986412),(9 57436812),(10 68212070),(11 79084700),(12 89936136),(13 100134680),(14 110201590),(15 119586264),(16 127852060),(17 135365570),(18 140760140),(19 145525230),(20 149999090),(21 154411000),(22 160350910),(23 165410300),(24 168292980),(25 169756560),(26 170517710),(27 171298900),(28 172889460),(29 174880020),(30 176734510),(31 178174160),(32 179064660),(33 178639900),(34 177029150),(35 173968100),(36 170061580),(37 165900000),(38 161342460),(39 157127950),(40 151921980),(41 146127060),(42 140080690),(43 133227670),(44 126263400),(45 120049990),(46 115021336),(47 111317760),(48 108698456),(49 106646760),(50 104251880),(51 101526760),(52 98546170),(53 95182620),(54 91747130),(55 88309880),(56 84973060),(57 81960520),(58 79318250),(59 77151640),(60 75471144),(61 74752710),(62 75117000),(63 76257950),(64 78240350),(65 80918360),(66 84544584),(67 88752830),(68 93334530),(69 98338570),(70 103584280),(71 108424420),(72 113155290),(73 117910950),(74 122592104),(75 127020680),(76 131600810),(77 136160260),(78 140851060),(79 145178260),
(1 548470.5),(2 2133917.8),(3 4617763.5),(4 7931511),(5 12019340),(6 16788232),(7 22153368),(8 28276502),(9 34657136),(10 41485550),(11 48558540),(12 55591150),(13 63179790),(14 70368270),(15 76810184),(16 82492360),(17 87718056),(18 91961400),(19 96227624),(20 100609576),(21 104658380),(22 108843360),(23 112303360),(24 114128824),(25 114478630),(26 114003740),(27 113779944),(28 114664500),(29 115879100),(30 116998940),(31 117471560),(32 117417860),(33 116463944),(34 114635310),(35 112191660),(36 109145740),(37 105514536),(38 101219650),(39 96803480),(40 91174880),(41 85335770),(42 80725890),(43 76904136),(44 73874260),(45 71750264),(46 70578850),(47 70201580),(48 70013200),(49 69471450),(50 68705350),(51 67687320),(52 66460090),(53 65003760),(54 63306296),(55 61629584),(56 59950480),(57 58370204),(58 56873590),(59 55515090),(60 54321710),(61 53603744),(62 53437050),(63 53712092),(64 54497252),(65 55704652),(66 57321804),(67 59292116),(68 61497730),(69 63772870),(70 66007536),(71 68146910),(72 69955640),(73 71490410),(74 72934870),(75 74601870),(76 76473496),(77 78810640),(78 81527260),(79 84798620),
(1 532144.2),(2 2052001.6),(3 4345322),(4 7319211.5),(5 10799316),(6 14502239),(7 18179634),(8 21947056),(9 25581498),(10 29149694),(11 32693952),(12 35969690),(13 39224400),(14 41759470),(15 43882616),(16 45714000),(17 47759932),(18 49916700),(19 52347324),(20 54733500),(21 56420508),(22 57289220),(23 57584280),(24 56932200),(25 55214424),(26 52902028),(27 50898456),(28 50112484),(29 49543184),(30 48986710),(31 48269628),(32 47432956),(33 46746268),(34 46140056),(35 45691740),(36 45303150),(37 44733204),(38 43795980),(39 42467236),(40 40653016),(41 39071144),(42 37949276),(43 37062350),(44 36299696),(45 35640030),(46 35285656),(47 35400156),(48 35825880),(49 36273180),(50 36688300),(51 37063000),(52 37386150),(53 37595480),(54 37513708),(55 37302970),(56 36920124),(57 36406788),(58 35892124),(59 35444164),(60 35205200),(61 35381490),(62 36012850),(63 37118120),(64 38717012),(65 40968740),(66 43687016),(67 46888908),(68 50366184),(69 53777316),(70 56846116),(71 59376450),(72 61158550),(73 62270428),(74 62519236),(75 62414930),(76 61895216),(77 61334364),(78 61013252),(79 61714664),
(1 985375.2),(2 3789161.5),(3 7787216),(4 12269891),(5 16608922),(6 20453772),(7 23823132),(8 26994784),(9 30275066),(10 33532128),(11 36541730),(12 38497260),(13 39314230),(14 39857040),(15 40715370),(16 41890230),(17 43581930),(18 45660564),(19 47570280),(20 48578136),(21 48380560),(22 47247320),(23 46230616),(24 45911252),(25 46012400),(26 45965750),(27 45226140),(28 44050436),(29 43116576),(30 42031316),(31 41481200),(32 41353324),(33 41694840),(34 42385196),(35 43162292),(36 43573212),(37 43461740),(38 43286012),(39 43242508),(40 42913812),(41 42244524),(42 41703940),(43 40980010),(44 39931736),(45 38457370),(46 36827810),(47 35487736),(48 34743788),(49 34419764),(50 34157160),(51 33942496),(52 33700788),(53 33461652),(54 33336932),(55 33399488),(56 33768244),(57 34434624),(58 35326188),(59 36123640),(60 36551550),(61 36580492),(62 36509344),(63 36229890),(64 35716940),(65 35532868),(66 36026470),(67 37515156),(68 40143880),(69 43607896),(70 47403936),(71 50877004),(72 53548270),(73 54893930),(74 54739040),(75 54007852),(76 53083530),(77 52351468),(78 52385696),(79 53570230),
(1 1344175.3),(2 4918944.5),(3 9554822),(4 13976986),(5 17321038),(6 19485506),(7 20943724),(8 22374388),(9 23900682),(10 25297628),(11 26334090),(12 26883474),(13 27250904),(14 27275790),(15 27216254),(16 27300726),(17 27604736),(18 28055810),(19 28415502),(20 28600100),(21 28571490),(22 28355444),(23 28782724),(24 30002902),(25 31101436),(26 30939690),(27 29576338),(28 28256588),(29 27207576),(30 26482196),(31 26039808),(32 25674226),(33 25294776),(34 24780834),(35 24235306),(36 23736292),(37 23608958),(38 23991126),(39 24507816),(40 24424702),(41 23956306),(42 23585742),(43 23137432),(44 22617378),(45 22023848),(46 21502248),(47 21354580),(48 21599306),(49 21876494),(50 22024348),(51 22145368),(52 22411148),(53 22893790),(54 23557686),(55 24389500),(56 25332354),(57 26272106),(58 27015292),(59 27396138),(60 27300820),(61 26797710),(62 25979272),(63 24919950),(64 23907580),(65 23382302),(66 23600404),(67 24751316),(68 26708836),(69 29100896),(70 31444972),(71 33335298),(72 34531384),(73 34932024),(74 34836010),(75 34804984),(76 35226228),(77 36457910),(78 38684412),(79 41387420),
(1 1993907.8),(2 7120997.5),(3 13035356),(4 17368490),(5 18971634),(6 18588538),(7 18143424),(8 18902766),(9 20228418),(10 21107572),(11 21112828),(12 20971546),(13 21463772),(14 22042706),(15 21923972),(16 21461500),(17 21092866),(18 21362956),(19 22432408),(20 24039476),(21 25372962),(22 25870786),(23 26113528),(24 26597640),(25 26754678),(26 25856604),(27 24275732),(28 23301502),(29 23079996),(30 23366456),(31 23771334),(32 23945626),(33 23668170),(34 23039206),(35 22510118),(36 22340298),(37 22634452),(38 23051326),(39 23210272),(40 22867630),(41 22239488),(42 21508384),(43 20921434),(44 20563050),(45 20155752),(46 19561446),(47 19041160),(48 18824602),(49 18792346),(50 18735670),(51 18783086),(52 19036780),(53 19372148),(54 19686504),(55 19937870),(56 20188220),(57 20502730),(58 20854552),(59 21067652),(60 20940106),(61 20519812),(62 19992194),(63 19373354),(64 18784116),(65 18424866),(66 18443084),(67 19071802),(68 20354958),(69 22064956),(70 23847690),(71 25219954),(72 25956922),(73 26192444),(74 26588320),(75 27409634),(76 28706756),(77 30403596),(78 32485184),(79 34501620),
(1 2344302.3),(2 8046260.5),(3 13772257),(4 16757730),(5 16497743),(6 15024368),(7 14720522),(8 15842818),(9 16796446),(10 16957368),(11 16686816),(12 17673512),(13 19416402),(14 19783802),(15 19192226),(16 18224852),(17 17672726),(18 18152030),(19 19405132),(20 20744642),(21 21374696),(22 21503760),(23 21400234),(24 21265626),(25 20892182),(26 20386190),(27 20065622),(28 20137098),(29 20435000),(30 20812222),(31 21012088),(32 20759688),(33 20051246),(34 19493832),(35 19569374),(36 19975608),(37 20112352),(38 19812170),(39 19553642),(40 19515212),(41 19257012),(42 18841036),(43 18476888),(44 18377304),(45 18394470),(46 18338462),(47 18309200),(48 18442674),(49 18682436),(50 18769566),(51 18731294),(52 18746288),(53 18799754),(54 18834062),(55 18844272),(56 18956420),(57 19228060),(58 19654474),(59 20004178),(60 19972886),(61 19469172),(62 18673458),(63 17694038),(64 16779558),(65 16049624),(66 15737690),(67 16159149),(68 17288014),(69 18936388),(70 20552322),(71 21546846),(72 21656912),(73 21402744),(74 21102338),(75 21042738),(76 21455656),(77 22517292),(78 23768020),(79 24299224),
(1 2583003.5),(2 8527608),(3 13794230),(4 15610396),(5 14327767),(6 12838167),(7 13243467),(8 14793380),(9 15884832),(10 15881492),(11 16056327),(12 17661232),(13 19080820),(14 19683064),(15 19640436),(16 19175282),(17 19079188),(18 19636712),(19 20505566),(20 21310958),(21 21952604),(22 22500128),(23 22706026),(24 22418278),(25 22016952),(26 21762324),(27 21342764),(28 20849894),(29 20602300),(30 20386880),(31 20158218),(32 19758156),(33 19350548),(34 19410252),(35 19702326),(36 19630466),(37 18978642),(38 18487776),(39 18658986),(40 18617686),(41 18151292),(42 17744338),(43 17407012),(44 17387664),(45 17463628),(46 17333832),(47 17242648),(48 17465858),(49 17791442),(50 18012348),(51 18118042),(52 18261656),(53 18454872),(54 18546798),(55 18623124),(56 18957676),(57 19606482),(58 20359288),(59 20851832),(60 20969316),(61 20921080),(62 20794888),(63 20599054),(64 20392342),(65 20155394),(66 19981032),(67 20261954),(68 21183320),(69 22488414),(70 23451434),(71 23517576),(72 22931752),(73 22368224),(74 22225088),(75 22798742),(76 24230760),(77 25771956),(78 26307086),(79 25832008),
(1 2568250),(2 8107948),(3 12414097),(4 13120376),(5 11448635),(6 10548531),(7 11683669),(8 13545861),(9 14523279),(10 14417703),(11 14972120),(12 16203896),(13 16768749),(14 17461832),(15 17499292),(16 17050744),(17 16930820),(18 17288400),(19 17969908),(20 18581002),(21 18952822),(22 19189902),(23 19431426),(24 19128554),(25 18701862),(26 18460864),(27 17910072),(28 17370040),(29 17018400),(30 16907992),(31 16849176),(32 16647497),(33 16305794),(34 16192090),(35 16245837),(36 16167031),(37 15886007),(38 15761262),(39 16176224),(40 16744749),(41 17039258),(42 17039710),(43 17096180),(44 17483954),(45 17794908),(46 17681380),(47 17596668),(48 17851984),(49 18271176),(50 18511928),(51 18548518),(52 18606620),(53 18663818),(54 18603002),(55 18481634),(56 18462928),(57 18554870),(58 18761648),(59 18999560),(60 19081340),(61 18965154),(62 18907714),(63 19057176),(64 19297088),(65 19428138),(66 19376620),(67 19595826),(68 20360944),(69 21402062),(70 22012152),(71 21911278),(72 21592816),(73 21543088),(74 21812286),(75 22620560),(76 23583750),(77 23876854),(78 23239416),(79 23040926),
