1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 150216.56),(2 351625.4),(3 668817.3),(4 1105470.9),(5 1681877.6),(6 2458973.3),(7 3404882),(8 4995461.5),(9 6446648),(10 8088216.5),(11 9964053),(12 12087388),(13 14534379),(14 17646838),(15 20877764),(16 25103184),(17 29062944),(18 33424310),(19 39044316),(20 45574548),(21 51423092),(22 57581180),(23 66247860),(24 73546330),(25 82170570),(26 92526340),(27 102047784),(28 113503400),(29 126283240),(30 140291820),(31 156236720),(32 173664930),(33 192215760),(34 209161810),(35 228090510),(36 248512400),(37 269005380),(38 292841860),(39 311942560),(40 330158530),(41 347391460),(42 364830240),(43 382575740),(44 402556060),(45 421474400),(46 438410900),(47 452797100),(48 465058560),(49 475317340),(50 483931230),(51 488784480),(52 493249300),(53 493713250),(54 496453760),(55 497481470),(56 498741540),(57 497231740),(58 492036960),(59 482907100),(60 472705820),(61 462806940),(62 451392900),(63 438299870),(64 422220960),(65 402410270),(66 380823550),(67 359888400),(68 337136030),(69 315743940),(70 296671600),(71 277393860),(72 259281870),(73 241688450),(74 226701700),(75 211530510),(76 196838190),(77 182248400),(78 168376370),(79 156235060),
(1 75170.24),(2 266288.47),(3 595772.1),(4 1085691.1),(5 1749023.8),(6 2603478),(7 3672361.3),(8 5211838.5),(9 6876625.5),(10 8794562),(11 11047864),(12 13629203),(13 16621150),(14 20273138),(15 24285852),(16 29149446),(17 34220610),(18 39825896),(19 46351030),(20 53475332),(21 60381844),(22 67873320),(23 76986376),(24 85477460),(25 94752536),(26 105416820),(27 115648040),(28 127169370),(29 139489840),(30 152344600),(31 165821740),(32 179551170),(33 193612540),(34 206484690),(35 218966480),(36 231007840),(37 241435140),(38 251302610),(39 258379680),(40 263763490),(41 267234020),(42 269529800),(43 270467900),(44 270070270),(45 268611360),(46 265939740),(47 261749860),(48 256570670),(49 250703920),(50 244570930),(51 238521550),(52 232831570),(53 224724740),(54 215969870),(55 206773280),(56 197705230),(57 188491840),(58 178867680),(59 168393120),(60 159058340),(61 150909660),(62 143579400),(63 135290130),(64 127430220),(65 119683380),(66 112483890),(67 106018424),(68 100033640),(69 95245460),(70 91292750),(71 87602440),(72 83586584),(73 78876180),(74 74511520),(75 70093270),(76 65725356),(77 61345452),(78 57075308),(79 53276492),
(1 73491.625),(2 268806.16),(3 605506.2),(4 1081562.4),(5 1711178.4),(6 2477011.3),(7 3395018),(8 4499528.5),(9 5718074.5),(10 7085132),(11 8636430),(12 10391932),(13 12405633),(14 14800195),(15 17410902),(16 20425226),(17 23581626),(18 26967730),(19 30655346),(20 34517524),(21 38269796),(22 42145468),(23 46103310),(24 49887372),(25 53818268),(26 57669148),(27 61305460),(28 64974988),(29 68263870),(30 71540090),(31 74451430),(32 77111096),(33 79820250),(34 82405930),(35 84514430),(36 86291256),(37 87627690),(38 88794080),(39 89606390),(40 90348584),(41 90813750),(42 91453630),(43 92201590),(44 93349130),(45 94702560),(46 95423740),(47 95268070),(48 94257560),(49 92949030),(50 91834296),(51 91284040),(52 91720450),(53 91555350),(54 91167040),(55 90518680),(56 90035510),(57 89220640),(58 88391070),(59 87787700),(60 87517060),(61 87509340),(62 87638510),(63 86772590),(64 85598616),(65 83958550),(66 81889110),(67 79556936),(68 77144456),(69 75070250),(70 73294216),(71 71586830),(72 69360810),(73 66321476),(74 63197120),(75 60013804),(76 56868852),(77 53871330),(78 51139732),(79 48762016),
(1 111451.34),(2 437597.25),(3 1015608.1),(4 1868995.1),(5 3021209.3),(6 4472935.5),(7 6254425.5),(8 8462784),(9 10861628),(10 13507594),(11 16414560),(12 19501622),(13 22765358),(14 26264226),(15 29671512),(16 33135616),(17 36449230),(18 39666156),(19 42904950),(20 46061868),(21 48913116),(22 51622660),(23 54327460),(24 56676210),(25 59001708),(26 61095410),(27 62887388),(28 64447430),(29 65905936),(30 67221250),(31 68505490),(32 69941576),(33 71227500),(34 72410184),(35 73525576),(36 74682740),(37 75733416),(38 77167800),(39 78156850),(40 79071970),(41 79580856),(42 79880930),(43 79936670),(44 79690210),(45 79144670),(46 78040560),(47 76336100),(48 74087370),(49 71718870),(50 69566230),(51 67902190),(52 67079724),(53 65601336),(54 64295916),(55 62994348),(56 61802204),(57 60533320),(58 59627550),(59 59429996),(60 59309576),(61 59209356),(62 59178156),(63 58737444),(64 58086404),(65 57142710),(66 56019250),(67 54897040),(68 54100628),(69 53903480),(70 54420110),(71 55383388),(72 56403016),(73 57142908),(74 58023040),(75 58815356),(76 59572950),(77 60338460),(78 61113948),(79 61807290),
(1 150680.97),(2 611721.75),(3 1424818.4),(4 2634912.3),(5 4257515),(6 6295303.5),(7 8741955),(8 11644446),(9 14743654),(10 17974682),(11 21271110),(12 24425150),(13 27356210),(14 29941510),(15 32000980),(16 33535688),(17 34599100),(18 35206644),(19 35393624),(20 35353024),(21 35238796),(22 35118268),(23 35179110),(24 35341412),(25 35774310),(26 36475972),(27 37272052),(28 38295428),(29 39366876),(30 40397896),(31 41380740),(32 42297904),(33 42974896),(34 43534724),(35 44066708),(36 44691676),(37 45454030),(38 46544716),(39 47708844),(40 49065868),(41 50419636),(42 51786332),(43 53013620),(44 54069116),(45 54945810),(46 55665356),(47 55972464),(48 55653016),(49 54896956),(50 53909156),(51 52947956),(52 52446736),(53 51800590),(54 51142350),(55 50380196),(56 49494290),(57 48483970),(58 47875484),(59 48205490),(60 48383670),(61 48275884),(62 48088560),(63 48252330),(64 48466908),(65 48752996),(66 49082436),(67 49441668),(68 49962704),(69 50750550),(70 51897404),(71 53268988),(72 54518156),(73 55348636),(74 56001944),(75 56371828),(76 56594364),(77 56671850),(78 56607196),(79 56130652),
(1 170208.06),(2 695868.8),(3 1593124.8),(4 2866689.5),(5 4472462),(6 6364908),(7 8473097),(8 10715945),(9 12952781),(10 15071107),(11 17001386),(12 18643558),(13 19983924),(14 21044874),(15 21792438),(16 22329018),(17 22763276),(18 23182900),(19 23662860),(20 24315852),(21 25372768),(22 26799876),(23 28693574),(24 30883622),(25 33267732),(26 35774120),(27 38231316),(28 40618460),(29 42695376),(30 44449004),(31 45831080),(32 46872836),(33 47540136),(34 47702612),(35 47530980),(36 47081690),(37 46488824),(38 45966464),(39 45506056),(40 45291252),(41 45202376),(42 45124724),(43 44949972),(44 44590470),(45 44240864),(46 44138076),(47 43882120),(48 43264800),(49 42106000),(50 40419296),(51 38304508),(52 36234630),(53 34501504),(54 32898138),(55 31468938),(56 30281948),(57 29496256),(58 28750272),(59 28001978),(60 27568954),(61 27357536),(62 27509616),(63 28009104),(64 28735788),(65 29619728),(66 30417136),(67 30909868),(68 31099110),(69 31025446),(70 30973334),(71 31061952),(72 31166042),(73 31297824),(74 31358796),(75 31310668),(76 31182588),(77 30993034),(78 30644692),(79 30199750),
(1 173838.11),(2 711286.75),(3 1620454.5),(4 2879898.5),(5 4424857),(6 6151743),(7 7959939.5),(8 9734740),(9 11323442),(10 12628526),(11 13569552),(12 14176086),(13 14495589),(14 14627189),(15 14674938),(16 14761487),(17 15063494),(18 15627297),(19 16451894),(20 17599670),(21 19000252),(22 20545460),(23 22188290),(24 23699250),(25 25017452),(26 26136702),(27 27014908),(28 27722516),(29 28189912),(30 28512012),(31 28682300),(32 28690936),(33 28549396),(34 28228050),(35 27755646),(36 27134302),(37 26492164),(38 25947404),(39 25450398),(40 25181802),(41 25097834),(42 25176544),(43 25336502),(44 25531740),(45 25810452),(46 26312258),(47 26771300),(48 26983764),(49 26789060),(50 26270776),(51 25727030),(52 25545972),(53 25304996),(54 25075764),(55 24894154),(56 24701854),(57 24527698),(58 24390062),(59 24318464),(60 24347448),(61 24252160),(62 24051688),(63 23931612),(64 23845342),(65 23838878),(66 23752022),(67 23529570),(68 23164916),(69 22826614),(70 22736158),(71 22933300),(72 23172412),(73 23357070),(74 23477614),(75 23495774),(76 23383678),(77 23176086),(78 22922816),(79 22672396),
(1 223030.94),(2 910705.6),(3 2069108),(4 3641329.3),(5 5520563),(6 7527375.5),(7 9496599),(8 11265678),(9 12652382),(10 13588837),(11 14078487),(12 14223103),(13 14154922),(14 14007631),(15 13906473),(16 13919313),(17 14149318),(18 14549828),(19 15118098),(20 15800351),(21 16506501),(22 17153454),(23 17710828),(24 18188622),(25 18556148),(26 18846718),(27 19035288),(28 19109854),(29 19050924),(30 18885218),(31 18616726),(32 18300138),(33 17927812),(34 17512358),(35 17179832),(36 16932950),(37 16782066),(38 16700258),(39 16553929),(40 16487618),(41 16618509),(42 17077452),(43 17911254),(44 19026654),(45 20296782),(46 21761556),(47 23151006),(48 24215450),(49 24586814),(50 24204132),(51 23454006),(52 22823324),(53 22611206),(54 22511202),(55 22449670),(56 22228362),(57 21618732),(58 20715190),(59 19870622),(60 19253064),(61 18724850),(62 18317600),(63 18278922),(64 18574970),(65 19137408),(66 19720634),(67 20083228),(68 20102066),(69 19906808),(70 19796362),(71 19983626),(72 20229460),(73 20364478),(74 20157078),(75 19666772),(76 19048396),(77 18457646),(78 18039754),(79 17802022),
(1 244129.95),(2 983267.5),(3 2192791.8),(4 3770642),(5 5577504),(6 7414873.5),(7 9118523),(8 10552811),(9 11601210),(10 12249450),(11 12544341),(12 12609648),(13 12588566),(14 12588910),(15 12699034),(16 12974426),(17 13434893),(18 14045983),(19 14714872),(20 15427159),(21 16112887),(22 16682513),(23 17093002),(24 17305384),(25 17347100),(26 17287814),(27 17131966),(28 16929360),(29 16686298),(30 16426485),(31 16119650),(32 15808550),(33 15572560),(34 15378600),(35 15182479),(36 14994321),(37 14851502),(38 14836428),(39 14981826),(40 15369717),(41 15971256),(42 16669658),(43 17339076),(44 17872674),(45 18272424),(46 18583198),(47 18890480),(48 19224510),(49 19459834),(50 19464720),(51 19291984),(52 19023744),(53 19027376),(54 18929750),(55 18605794),(56 18090640),(57 17561500),(58 17094416),(59 16519420),(60 15988122),(61 15555710),(62 15322747),(63 15178001),(64 15170457),(65 15312073),(66 15544209),(67 15806682),(68 15986353),(69 15984294),(70 15841969),(71 15796713),(72 15883255),(73 16076559),(74 16206844),(75 16238688),(76 16159855),(77 15986387),(78 15763183),(79 15623292),
(1 276528.38),(2 1111628.6),(3 2469000.3),(4 4214861.5),(5 6167046.5),(6 8097590),(7 9800995),(8 11081196),(9 11870756),(10 12172865),(11 12077036),(12 11789700),(13 11458176),(14 11286822),(15 11348713),(16 11663152),(17 12192705),(18 12813892),(19 13375086),(20 13750996),(21 13926346),(22 13877333),(23 13728235),(24 13569124),(25 13448309),(26 13350904),(27 13222761),(28 13024284),(29 12779819),(30 12512307),(31 12225044),(32 11935189),(33 11622672),(34 11291005),(35 11053685),(36 10983681),(37 11096661),(38 11423092),(39 11855097),(40 12372480),(41 12946622),(42 13457420),(43 13860967),(44 14123593),(45 14181985),(46 14098050),(47 14196526),(48 14667650),(49 15316937),(50 15702898),(51 15686549),(52 15289198),(53 14803534),(54 14207072),(55 13663315),(56 13148960),(57 12570914),(58 11915332),(59 11492220),(60 11395616),(61 11403508),(62 11379138),(63 11329332),(64 11333740),(65 11529683),(66 11959988),(67 12549406),(68 13028196),(69 13274336),(70 13371940),(71 13483498),(72 13606752),(73 13715882),(74 13669950),(75 13503307),(76 13328284),(77 13281531),(78 13436379),(79 13717842),
(1 333733.8),(2 1329705.8),(3 2912705.5),(4 4887615),(5 6983375),(6 8916951),(7 10432893),(8 11338568),(9 11614632),(10 11378797),(11 10840996),(12 10296809),(13 9966483),(14 10027793),(15 10446998),(16 11091079),(17 11736685),(18 12215717),(19 12487878),(20 12508593),(21 12434818),(22 12330334),(23 12241038),(24 12091595),(25 11858656),(26 11603030),(27 11316321),(28 11048704),(29 10798741),(30 10551334),(31 10233014),(32 9924758),(33 9685178),(34 9506310),(35 9498302),(36 9679876),(37 10073950),(38 10657118),(39 11281480),(40 11828928),(41 12269307),(42 12624010),(43 12932000),(44 13217427),(45 13457414),(46 13647178),(47 13830423),(48 14063341),(49 14262196),(50 14201454),(51 13864009),(52 13438741),(53 12970063),(54 12579447),(55 12361521),(56 12222749),(57 12079390),(58 11789111),(59 11485864),(60 11385286),(61 11288401),(62 11137796),(63 11028922),(64 10984856),(65 11141391),(66 11515113),(67 12046039),(68 12525036),(69 12734282),(70 12657999),(71 12470558),(72 12259936),(73 12125882),(74 12177363),(75 12432860),(76 12790456),(77 13143592),(78 13426414),(79 13722472),
