1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 2941052.8),(2 9743880),(3 19065178),(4 28373682),(5 38894844),(6 50409172),(7 63241964),(8 78177220),(9 92972420),(10 107447750),(11 123321816),(12 139310060),(13 156295920),(14 173978670),(15 192268430),(16 210742340),(17 226809870),(18 243215060),(19 259389060),(20 273595360),(21 285915940),(22 297762600),(23 306635040),(24 314303140),(25 318560930),(26 319895870),(27 319153000),(28 316994140),(29 313960420),(30 309567040),(31 303911140),(32 296836580),(33 290734370),(34 285399780),(35 281098370),(36 277149020),(37 273653570),(38 271360100),(39 270046750),(40 267997570),(41 265987340),(42 264885390),(43 263258480),(44 264080770),(45 267700220),(46 274567550),(47 279552480),(48 280768400),(49 278978300),(50 273188450),(51 264775470),(52 255539400),(53 246940740),(54 240020350),(55 232870140),(56 226342860),(57 220260530),(58 213371400),(59 208360320),(60 203682500),(61 200881490),(62 197306130),(63 192799730),(64 187574190),(65 182850770),(66 178348620),(67 174723730),(68 172820500),(69 173418860),(70 176156530),(71 179958200),(72 185318720),(73 191253630),(74 195771920),(75 200027890),(76 205050420),(77 208898690),(78 212103950),(79 214945660),
(1 3028706),(2 10116278),(3 18909682),(4 27853674),(5 36535424),(6 45514644),(7 54506370),(8 63027736),(9 70851976),(10 77188900),(11 82748264),(12 88172536),(13 93980140),(14 101098696),(15 109341080),(16 118296820),(17 127311490),(18 136386850),(19 145562370),(20 155254990),(21 164427400),(22 172166050),(23 179480100),(24 185954380),(25 190932450),(26 194605660),(27 195196260),(28 193690030),(29 190899230),(30 187093170),(31 182575000),(32 178753120),(33 175592910),(34 173193440),(35 172593060),(36 172337760),(37 171925500),(38 171116590),(39 170953090),(40 172185180),(41 173976030),(42 175690020),(43 177114450),(44 177928580),(45 179315940),(46 182177250),(47 185092140),(48 187621420),(49 189704860),(50 190566500),(51 190420030),(52 189329310),(53 187620690),(54 186119860),(55 184563940),(56 183009090),(57 181199400),(58 178592300),(59 176231860),(60 173550300),(61 170269120),(62 165157540),(63 158432350),(64 150173470),(65 141317600),(66 132805500),(67 125396376),(68 119309864),(69 114498430),(70 111075630),(71 109029144),(72 108145840),(73 108052264),(74 107873960),(75 107840190),(76 108522190),(77 109705280),(78 111040150),(79 113043736),
(1 3206137.3),(2 10565496),(3 19157554),(4 26879494),(5 33571108),(6 40018480),(7 46620960),(8 53177140),(9 58119070),(10 61181410),(11 62843468),(12 64468724),(13 67198410),(14 71162080),(15 75908960),(16 80649100),(17 84915144),(18 88716280),(19 92718696),(20 97401976),(21 102764856),(22 108598984),(23 115628160),(24 123189800),(25 131340960),(26 139086140),(27 144613310),(28 147821330),(29 149115410),(30 148814200),(31 147571500),(32 147143300),(33 147565680),(34 148854270),(35 151389710),(36 153734580),(37 155455410),(38 157234610),(39 158877800),(40 159245250),(41 157922860),(42 153829900),(43 148065420),(44 141495980),(45 136124080),(46 133533016),(47 132468640),(48 131365016),(49 129523480),(50 125828000),(51 120886570),(52 116118070),(53 111578750),(54 107972184),(55 105045784),(56 102380520),(57 99696760),(58 97284456),(59 95315450),(60 94197890),(61 93414250),(62 92372376),(63 90441930),(64 87823640),(65 85263040),(66 83494030),(67 82669864),(68 82584590),(69 83148610),(70 84387210),(71 86422420),(72 88795224),(73 91306050),(74 93659140),(75 96119064),(76 98658340),(77 101347510),(78 103866984),(79 106777920),
(1 3127365.3),(2 10018383),(3 17869474),(4 25133120),(5 31487524),(6 37881856),(7 44668304),(8 51232490),(9 56318950),(10 59497496),(11 61563950),(12 63985884),(13 67149270),(14 71079560),(15 75188510),(16 78709890),(17 81577240),(18 83917660),(19 86242056),(20 88677230),(21 91287520),(22 94307070),(23 98038616),(24 102054840),(25 105698490),(26 108575670),(27 109415864),(28 108269290),(29 105704740),(30 101578200),(31 96227180),(32 91104520),(33 87327470),(34 85584130),(35 85271464),(36 85286984),(37 85017100),(38 84442200),(39 83742430),(40 82293336),(41 80037340),(42 77195096),(43 74278500),(44 72013430),(45 71750344),(46 74148570),(47 78128230),(48 82371870),(49 85561380),(50 86658160),(51 86063144),(52 84775990),(53 83060040),(54 81732424),(55 80524450),(56 79248420),(57 77860584),(58 76677580),(59 76227450),(60 76425350),(61 76488460),(62 75301620),(63 72383180),(64 67980480),(65 62868652),(66 57945616),(67 53717350),(68 50268630),(69 47622052),(70 45955030),(71 45375292),(72 45775730),(73 46927744),(74 48346532),(75 50133660),(76 52304840),(77 54493110),(78 56824456),(79 59291984),
(1 2749969.5),(2 8544739),(3 14644881),(4 19774258),(5 23736118),(6 27973304),(7 33155854),(8 38556240),(9 42922820),(10 45232096),(11 45988740),(12 46669624),(13 47757200),(14 49388610),(15 51243804),(16 52676690),(17 53747676),(18 54524540),(19 55102896),(20 55407664),(21 55480640),(22 55446404),(23 55528050),(24 55860492),(25 56744370),(26 58131330),(27 59055984),(28 58804070),(29 57166436),(30 53658290),(31 48974310),(32 44916508),(33 43028016),(34 43313228),(35 44590400),(36 45432380),(37 45222484),(38 44567772),(39 44502308),(40 45052210),(41 45681560),(42 45480480),(43 44398480),(44 43336412),(45 43503244),(46 45928710),(47 49855476),(48 54022172),(49 57268710),(50 58764124),(51 58638044),(52 57663964),(53 56283504),(54 55240444),(55 54558976),(56 53743310),(57 52627676),(58 51602852),(59 51150588),(60 51211376),(61 51074692),(62 49882496),(63 47714260),(64 44883556),(65 41866676),(66 39148572),(67 36894350),(68 35096852),(69 33865052),(70 33268108),(71 33323046),(72 34023564),(73 35147536),(74 36438990),(75 37947250),(76 39707330),(77 41481452),(78 43443228),(79 45475468),
(1 3098080.8),(2 9321098),(3 14941210),(4 18301396),(5 19612582),(6 21473738),(7 25579134),(8 31127476),(9 36396050),(10 39289280),(11 40070390),(12 40447980),(13 41151256),(14 42379190),(15 43924852),(16 45058076),(17 45837064),(18 46378240),(19 46519464),(20 46087336),(21 45352896),(22 44717290),(23 44896800),(24 46000020),(25 47871180),(26 50263016),(27 51808730),(28 51497440),(29 49315990),(30 45795330),(31 41928404),(32 39757492),(33 40374070),(34 43315590),(35 46376140),(36 46784204),(37 44190040),(38 40501696),(39 38375740),(40 38931400),(41 40772020),(42 41523084),(43 40374170),(44 37718356),(45 35145030),(46 34122200),(47 35304120),(48 37486180),(49 39387720),(50 40279810),(51 40111530),(52 39593052),(53 39283350),(54 39367776),(55 39700490),(56 39426228),(57 37968184),(58 35865240),(59 34317652),(60 33862540),(61 33838550),(62 33424340),(63 32546138),(64 31320148),(65 30015988),(66 29038810),(67 28529344),(68 28220852),(69 28139180),(70 28253676),(71 28590112),(72 29213382),(73 29964128),(74 30800176),(75 32021370),(76 33662200),(77 35631092),(78 37899880),(79 40223670),
(1 3268596.3),(2 9635064),(3 14996283),(4 17767760),(5 18065206),(6 18722984),(7 21729962),(8 26438466),(9 30904866),(10 32914582),(11 32928270),(12 32653198),(13 32705772),(14 33496882),(15 34662290),(16 35552356),(17 36382360),(18 37449480),(19 38616864),(20 39742956),(21 40570384),(22 40826720),(23 40527144),(24 39860376),(25 39446236),(26 39887896),(27 40836560),(28 41261116),(29 40512616),(30 38676092),(31 36591612),(32 35862732),(33 37590012),(34 40677884),(35 42450812),(36 40996516),(37 36586596),(38 31678710),(39 28951436),(40 29392450),(41 31366852),(42 32269586),(43 30882126),(44 28307872),(45 26088788),(46 25420142),(47 26575016),(48 28140124),(49 29179166),(50 29458700),(51 29014204),(52 28338858),(53 27944706),(54 28290700),(55 29355512),(56 30004088),(57 29553042),(58 28444766),(59 27680790),(60 27728150),(61 27854468),(62 27411626),(63 26680280),(64 25798072),(65 24729646),(66 23715186),(67 22976238),(68 22491838),(69 22251420),(70 22183200),(71 22357080),(72 22862380),(73 23747676),(74 25004680),(75 26615246),(76 28417260),(77 30124340),(78 31455884),(79 32020278),
(1 3047744.3),(2 8659926),(3 13308315),(4 16030035),(5 16483792),(6 17108046),(7 19452722),(8 22814794),(9 25411374),(10 25464006),(11 24490130),(12 23921556),(13 24016520),(14 25234626),(15 26685706),(16 27645222),(17 28598066),(18 29644960),(19 30484050),(20 30884522),(21 30683364),(22 29834260),(23 28688672),(24 27651684),(25 27359220),(26 28270622),(27 29966698),(28 31116470),(29 30906198),(30 29709870),(31 27917690),(32 27017152),(33 28090696),(34 30754916),(35 32607190),(36 31479782),(37 27781608),(38 24234568),(39 23488626),(40 25541788),(41 27978040),(42 28131052),(43 25921036),(44 23214772),(45 21489884),(46 21346296),(47 22330718),(48 23114178),(49 23275426),(50 23099350),(51 22602694),(52 21937446),(53 21326894),(54 21261432),(55 21713738),(56 21531390),(57 20366874),(58 18940670),(59 18303362),(60 18434022),(61 18396110),(62 17764276),(63 17149344),(64 16579826),(65 15890271),(66 15349475),(67 15130665),(68 15180501),(69 15416885),(70 15807130),(71 16471979),(72 17542010),(73 18956546),(74 20500812),(75 21993864),(76 23127196),(77 23700174),(78 23876918),(79 23783106),
(1 2052770.6),(2 5476104.5),(3 8430901),(4 10885146),(5 12120680),(6 13225763),(7 14607890),(8 15963746),(9 16654648),(10 15826950),(11 14790219),(12 14181560),(13 14064201),(14 14816327),(15 15786872),(16 16469873),(17 17199440),(18 17820530),(19 18174544),(20 18283342),(21 18252576),(22 18008178),(23 17567928),(24 17040148),(25 16779334),(26 17087590),(27 18338482),(28 19791728),(29 20726318),(30 20965742),(31 20401104),(32 19943694),(33 20518282),(34 22013334),(35 22879578),(36 22018534),(37 19871154),(38 18268262),(39 18443604),(40 19644050),(41 20299184),(42 19680752),(43 18155612),(44 16860816),(45 15918428),(46 15505075),(47 15994793),(48 16407108),(49 16435842),(50 16286372),(51 15845704),(52 15385873),(53 14825486),(54 14356884),(55 14238039),(56 14022609),(57 13412187),(58 12637466),(59 12274471),(60 12279022),(61 12027979),(62 11532267),(63 11390592),(64 11366178),(65 11058642),(66 10632892),(67 10437843),(68 10563517),(69 10942825),(70 11534259),(71 12425765),(72 13687539),(73 15067237),(74 16121082),(75 16755108),(76 17070876),(77 17098142),(78 17063898),(79 17048702),
(1 1619821.5),(2 3804293.3),(3 5772124),(4 8121677.5),(5 9868908),(6 11363852),(7 12337942),(8 12741903),(9 12694455),(10 11910506),(11 11417607),(12 11235372),(13 11153720),(14 11626548),(15 12278805),(16 12858738),(17 13735146),(18 14626926),(19 15163394),(20 15177552),(21 14872420),(22 14507739),(23 14236389),(24 14061271),(25 13956950),(26 13880055),(27 14308852),(28 15050251),(29 15718167),(30 16080007),(31 15709408),(32 15073118),(33 15264428),(34 15909097),(35 15973792),(36 15176183),(37 14049300),(38 13406492),(39 13540175),(40 13771409),(41 13650300),(42 13210914),(43 12828962),(44 12927852),(45 12672020),(46 12110897),(47 12286748),(48 12464318),(49 12308028),(50 12070453),(51 12028719),(52 12405545),(53 12499204),(54 12296195),(55 12318324),(56 12441791),(57 12305679),(58 11959534),(59 11817244),(60 11863152),(61 11648375),(62 11234933),(63 11073836),(64 10895938),(65 10431543),(66 10013382),(67 9988334),(68 10334262),(69 11018782),(70 11845151),(71 12788384),(72 13863093),(73 14784777),(74 15385351),(75 15780558),(76 15985847),(77 15919639),(78 15708116),(79 15414169),
(1 1906307),(2 4029355.3),(3 5627417.5),(4 7872720),(5 9409556),(6 10603784),(7 11064854),(8 10778688),(9 10355976),(10 9794272),(11 9736374),(12 9794385),(13 9749521),(14 10224555),(15 10972442),(16 11722234),(17 12636582),(18 13339155),(19 13607398),(20 13474549),(21 13145645),(22 12764679),(23 12394276),(24 12170874),(25 12057651),(26 12055360),(27 12632983),(28 13315755),(29 13230422),(30 13378901),(31 13782964),(32 14336742),(33 14737373),(34 14474203),(35 13757295),(36 13118059),(37 12893822),(38 12881227),(39 13051996),(40 12673553),(41 12032053),(42 11767239),(43 12017542),(44 12499253),(45 11974398),(46 11300190),(47 12058050),(48 12735723),(49 12526851),(50 11867511),(51 11654338),(52 12269126),(53 12249519),(54 11426723),(55 11013419),(56 11141372),(57 11076486),(58 10601660),(59 10312199),(60 10527880),(61 10501686),(62 9992764),(63 9525104),(64 9154509),(65 8608237),(66 8113212),(67 7935096.5),(68 8189236.5),(69 8901747),(70 9701942),(71 10466569),(72 11396418),(73 12302776),(74 12932163),(75 13329183),(76 13515654),(77 13482079),(78 13439622),(79 13511422),
