1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 688492.75),(2 2322457),(3 4744998.5),(4 7871810.5),(5 11900239),(6 16652667),(7 21872144),(8 27006618),(9 32492214),(10 37692940),(11 42669196),(12 47563548),(13 52210224),(14 57099372),(15 62871012),(16 68491944),(17 74867480),(18 82594370),(19 90009410),(20 97468776),(21 105793340),(22 113452670),(23 122147960),(24 131576760),(25 139673870),(26 148933810),(27 159410160),(28 169228000),(29 180570500),(30 192227120),(31 202580910),(32 216274190),(33 231478400),(34 247377300),(35 266880720),(36 285754080),(37 307838620),(38 329065860),(39 354379940),(40 376887400),(41 402609800),(42 425157920),(43 446194660),(44 465846940),(45 488358370),(46 507879400),(47 527862530),(48 551171600),(49 573633600),(50 594573250),(51 616816960),(52 635465660),(53 653125570),(54 667211200),(55 682421500),(56 692784830),(57 700445630),(58 704744450),(59 705383000),(60 702490240),(61 695802700),(62 685281400),(63 671821100),(64 660455500),(65 649461060),(66 635205440),(67 617187260),(68 601275300),(69 582269400),(70 562093400),(71 541497150),(72 520569600),(73 500826020),(74 481589660),(75 463562600),(76 446459260),(77 431001000),(78 416696420),(79 404182940),
(1 971834),(2 3621618.8),(3 7512264),(4 12496394),(5 18376656),(6 24764968),(7 31343264),(8 37572664),(9 43560456),(10 48918860),(11 53694580),(12 58040810),(13 62000936),(14 66070590),(15 70391610),(16 74632480),(17 79290130),(18 84471410),(19 89841050),(20 94865900),(21 100163180),(22 104861860),(23 109837250),(24 114748570),(25 118685350),(26 122946180),(27 127295576),(28 131268270),(29 135430110),(30 139768880),(31 143246540),(32 148207200),(33 153057760),(34 158108720),(35 164023000),(36 169052980),(37 174967180),(38 180169060),(39 186464160),(40 192338380),(41 200155500),(42 207578910),(43 215649360),(44 223983330),(45 233783380),(46 244016690),(47 255096320),(48 267395710),(49 279909200),(50 292187070),(51 304745150),(52 316211870),(53 326692700),(54 335669100),(55 344167360),(56 350789380),(57 356290400),(58 359819500),(59 361524160),(60 361072100),(61 358317800),(62 353350750),(63 347125860),(64 340328770),(65 332840600),(66 323862980),(67 313111870),(68 302595740),(69 290789470),(70 278414430),(71 265763540),(72 253049390),(73 241290110),(74 230237260),(75 220145070),(76 211215710),(77 203467420),(78 196757580),(79 191151570),
(1 1069615.5),(2 3955383.8),(3 8113909.5),(4 13193211),(5 18899416),(6 24659562),(7 30460610),(8 36011804),(9 41436828),(10 46471892),(11 50954172),(12 55041580),(13 58911676),(14 62795004),(15 66970144),(16 71426664),(17 76226390),(18 81244250),(19 86524870),(20 91780380),(21 96945430),(22 101788640),(23 106212440),(24 110225880),(25 113752680),(26 116975960),(27 119806780),(28 122334330),(29 124496770),(30 126520810),(31 128057430),(32 129554776),(33 130736610),(34 131775130),(35 132819960),(36 133878400),(37 135441580),(38 137701060),(39 140889540),(40 144018990),(41 148166990),(42 152977650),(43 158920880),(44 165714020),(45 173350050),(46 181619330),(47 190239950),(48 198824960),(49 207512500),(50 215114060),(51 222493940),(52 228602180),(53 233634560),(54 237994320),(55 241710340),(56 243847860),(57 244632270),(58 243631870),(59 240522240),(60 235853650),(61 229665200),(62 222006510),(63 214687360),(64 207589840),(65 200477550),(66 193188340),(67 185937150),(68 179538800),(69 174141780),(70 169220220),(71 165272940),(72 162181310),(73 159660660),(74 157337580),(75 155105840),(76 153163020),(77 151667060),(78 150606030),(79 150240690),
(1 1204994.6),(2 4490111.5),(3 9229534),(4 14809719),(5 20607566),(6 26062408),(7 31157170),(8 35556736),(9 39177772),(10 41930030),(11 43867090),(12 45268360),(13 46370652),(14 47444864),(15 48627436),(16 50008570),(17 51695880),(18 53597252),(19 55818920),(20 58194004),(21 60634104),(22 62946028),(23 65102640),(24 67310410),(25 69674910),(26 72455496),(27 75523360),(28 78792890),(29 82503280),(30 86455064),(31 90316584),(32 94268790),(33 98083310),(34 101280000),(35 104053650),(36 105844984),(37 106890584),(38 107240520),(39 107577820),(40 108068790),(41 109183770),(42 111341550),(43 114658520),(44 118634400),(45 123274000),(46 128834030),(47 134330050),(48 139688900),(49 145073920),(50 150184780),(51 154584700),(52 158210240),(53 161709390),(54 164867440),(55 168009800),(56 171061000),(57 173892050),(58 176441540),(59 178458140),(60 179926060),(61 180772860),(62 181204370),(63 181523120),(64 181231500),(65 179967380),(66 177483890),(67 173876770),(68 169722420),(69 165004270),(70 159809140),(71 154376270),(72 148825800),(73 143484670),(74 138321660),(75 133441224),(76 129012390),(77 125360040),(78 122831270),(79 121274660),
(1 1410888.3),(2 5221104),(3 10566985),(4 16531628),(5 22245676),(6 27075174),(7 31019008),(8 33941236),(9 35857316),(10 36980060),(11 37493380),(12 37667376),(13 37783620),(14 38166436),(15 38901372),(16 39883300),(17 41198480),(18 42795228),(19 44508330),(20 46264024),(21 48089116),(22 49794150),(23 51637388),(24 53714790),(25 56132804),(26 59055324),(27 62495988),(28 66201740),(29 70227576),(30 74310250),(31 78182360),(32 82109544),(33 85885750),(34 89388170),(35 92875940),(36 95764900),(37 98365140),(38 100431800),(39 101945390),(40 102303080),(41 101907096),(42 101166024),(43 100479050),(44 100174776),(45 100487260),(46 101628210),(47 102887780),(48 104169530),(49 105574970),(50 106725430),(51 107208470),(52 107023570),(53 106768050),(54 106278024),(55 106087220),(56 106197370),(57 106692870),(58 107371656),(59 108125560),(60 108860880),(61 109235016),(62 109441790),(63 109877920),(64 110186850),(65 109977990),(66 108966504),(67 107263290),(68 105438370),(69 103693220),(70 101929820),(71 100310580),(72 98822890),(73 97363304),(74 95628910),(75 93644020),(76 91512440),(77 89615890),(78 88276984),(79 87551176),
(1 1546477.3),(2 5668849.5),(3 11273981),(4 17014192),(5 21834820),(6 25472354),(7 28045548),(8 29904660),(9 31312582),(10 32606528),(11 33838300),(12 35148616),(13 36507228),(14 37933120),(15 39542868),(16 41110296),(17 42715404),(18 44337550),(19 45960550),(20 47490708),(21 48908510),(22 50066230),(23 51222220),(24 52377876),(25 53466416),(26 54552716),(27 55447416),(28 56015464),(29 56373944),(30 56667240),(31 57285588),(32 58515316),(33 60394150),(34 62951884),(35 65766444),(36 68258000),(37 69981410),(38 70648616),(39 70524264),(40 69984376),(41 69143820),(42 68130856),(43 67255496),(44 66806504),(45 67169080),(46 68477820),(47 70595820),(48 73382630),(49 76536530),(50 78730740),(51 79032376),(52 77228504),(53 73873560),(54 69738540),(55 66054550),(56 63515572),(57 62351640),(58 62376450),(59 62943330),(60 63382092),(61 63380960),(62 63346036),(63 63528204),(64 63792790),(65 63575988),(66 62806156),(67 61792070),(68 60832588),(69 60179576),(70 59887704),(71 59903628),(72 59975810),(73 59735590),(74 58886560),(75 57287628),(76 55218892),(77 53074236),(78 51198890),(79 49821200),
(1 1581288.5),(2 5634858.5),(3 10760805),(4 15531202),(5 19079224),(6 21301964),(7 22419166),(8 23074816),(9 23640086),(10 24361666),(11 25221910),(12 26161802),(13 27044338),(14 27848842),(15 28425870),(16 28770072),(17 29028446),(18 29365868),(19 29830134),(20 30451156),(21 31283786),(22 32343380),(23 33729404),(24 35324012),(25 36890556),(26 38235710),(27 39282908),(28 39968372),(29 40385732),(30 40525812),(31 40391456),(32 39994564),(33 39321850),(34 38641292),(35 38263530),(36 38576144),(37 39773372),(38 41651280),(39 43827108),(40 45772330),(41 46957596),(42 46914690),(43 46026580),(44 44932736),(45 44450092),(46 45258748),(47 47681060),(48 51199480),(49 54932390),(50 57818984),(51 59348480),(52 59268004),(53 58210320),(54 56885010),(55 56104944),(56 56156470),(57 56872400),(58 57591964),(59 57885252),(60 57806108),(61 57425616),(62 56827110),(63 56173630),(64 55287204),(65 54060184),(66 52566764),(67 51022404),(68 49888696),(69 49579950),(70 50259012),(71 51626296),(72 53013210),(73 53748680),(74 53392240),(75 52048092),(76 50234640),(77 48473372),(78 47056004),(79 46227856),
(1 1463644),(2 5016175.5),(3 9115731),(4 12489541),(5 14690905),(6 15994155),(7 16731371),(8 17524820),(9 18538486),(10 19703564),(11 20868072),(12 21926474),(13 22754562),(14 23357964),(15 23908842),(16 24434234),(17 25072436),(18 25812050),(19 26470006),(20 27008628),(21 27450950),(22 27849932),(23 28273246),(24 28716946),(25 29075200),(26 29211964),(27 29141062),(28 28986444),(29 28949292),(30 29067240),(31 29374238),(32 29795306),(33 30272442),(34 30717940),(35 31345846),(36 32313736),(37 33648444),(38 35257132),(39 36958344),(40 38542800),(41 39515836),(42 39468400),(43 38449224),(44 36873852),(45 35252588),(46 34167560),(47 33996932),(48 34834680),(49 36284068),(50 37381480),(51 37509264),(52 36452876),(53 34512868),(54 32574014),(55 31531214),(56 31721186),(57 32792582),(58 34180376),(59 35318280),(60 35961652),(61 36144870),(62 36219264),(63 36168784),(64 35734388),(65 34919810),(66 33859010),(67 32817516),(68 32188270),(69 32285090),(70 33256348),(71 34724296),(72 36071572),(73 36707576),(74 36489164),(75 35606264),(76 34487830),(77 33527326),(78 32769352),(79 32286330),
(1 1338387.9),(2 4460081),(3 7784111.5),(4 10196913),(5 11515046),(6 12156975),(7 12504683),(8 12927919),(9 13403893),(10 13865703),(11 14214074),(12 14405176),(13 14494024),(14 14626792),(15 14932657),(16 15367941),(17 15946101),(18 16598184),(19 17236560),(20 17875646),(21 18407662),(22 18856030),(23 19325716),(24 19881374),(25 20335112),(26 20553642),(27 20542824),(28 20495672),(29 20582562),(30 20869786),(31 21316146),(32 21837650),(33 22327288),(34 22632508),(35 22742082),(36 22755046),(37 22829508),(38 23113056),(39 23449344),(40 23829998),(41 23960096),(42 23815348),(43 23378590),(44 22708846),(45 21966452),(46 21428088),(47 21433556),(48 22055650),(49 23211870),(50 24390096),(51 25010416),(52 24897362),(53 24144716),(54 23416934),(55 23380454),(56 24293394),(57 25781958),(58 27331810),(59 28392572),(60 28851680),(61 28970266),(62 28951214),(63 28745544),(64 28295812),(65 27666616),(66 27128750),(67 26773424),(68 26725100),(69 27145736),(70 27987148),(71 28970688),(72 29818504),(73 30122970),(74 29877172),(75 29324708),(76 28754642),(77 28320852),(78 28025084),(79 27873664),
(1 1323549.4),(2 4239117.5),(3 6959412.5),(4 8523940),(5 9251148),(6 9814764),(7 10505840),(8 11288544),(9 11983493),(10 12546724),(11 12952350),(12 13187892),(13 13243268),(14 13157510),(15 13144086),(16 13290837),(17 13622370),(18 14102940),(19 14604821),(20 15016652),(21 15240727),(22 15355662),(23 15574292),(24 16067842),(25 16718121),(26 17305344),(27 17709698),(28 17848622),(29 17770952),(30 17651388),(31 17683232),(32 17992292),(33 18550514),(34 19109936),(35 19438994),(36 19509560),(37 19487702),(38 19642720),(39 19940064),(40 20262304),(41 20553006),(42 20837128),(43 21299064),(44 21755392),(45 21899740),(46 21735428),(47 21442648),(48 21111288),(49 21164982),(50 21613092),(51 22180876),(52 22638360),(53 22846200),(54 22797926),(55 22858814),(56 23249514),(57 24029496),(58 25036168),(59 26036354),(60 26683950),(61 26712412),(62 26412764),(63 25976594),(64 25431100),(65 24788586),(66 24253646),(67 23965628),(68 24003672),(69 24271004),(70 24566296),(71 24703676),(72 24645558),(73 24283208),(74 23700924),(75 23156946),(76 22878322),(77 22833588),(78 22752194),(79 22531438),
(1 1308034.5),(2 3996095),(3 6083018),(4 6852846),(5 7070366),(6 7667159),(7 8615775),(8 9469406),(9 9951149),(10 10204077),(11 10371985),(12 10438467),(13 10401362),(14 10363583),(15 10494600),(16 10722344),(17 10992448),(18 11346999),(19 11800403),(20 12183172),(21 12272011),(22 12124425),(23 12027400),(24 12185746),(25 12507408),(26 12772717),(27 12883774),(28 12880656),(29 12888248),(30 12991962),(31 13181000),(32 13327590),(33 13336899),(34 13159136),(35 12883441),(36 12709218),(37 12890800),(38 13458404),(39 14071793),(40 14262799),(41 14144506),(42 14083960),(43 14525718),(44 15268838),(45 15878991),(46 16034402),(47 15760803),(48 15370210),(49 15127018),(50 15204936),(51 15688634),(52 16524685),(53 17379376),(54 17843892),(55 17907900),(56 17763458),(57 17802642),(58 18165446),(59 18866872),(60 19585204),(61 19818190),(62 19641322),(63 19215078),(64 18609866),(65 17882574),(66 17204078),(67 16692774),(68 16361304),(69 16112346),(70 15872290),(71 15626785),(72 15347043),(73 14892401),(74 14304600),(75 13923853),(76 14005001),(77 14353026),(78 14469382),(79 14283901),
(1 1192806.5),(2 3530250.5),(3 5091504.5),(4 5506469.5),(5 5826450.5),(6 6705315.5),(7 7759204),(8 8348611.5),(9 8443679),(10 8472433),(11 8636316),(12 8846290),(13 8926675),(14 8998851),(15 9325068),(16 9756785),(17 10018239),(18 10114111),(19 10242411),(20 10397246),(21 10449606),(22 10386771),(23 10320662),(24 10336784),(25 10403702),(26 10522964),(27 10666785),(28 10831660),(29 10994272),(30 11075882),(31 11065038),(32 10999365),(33 10924959),(34 10859083),(35 10689606),(36 10416288),(37 10310513),(38 10624287),(39 11199214),(40 11545242),(41 11385903),(42 11052868),(43 11168973),(44 11622338),(45 11988618),(46 12133863),(47 12154771),(48 12042385),(49 11854934),(50 11816462),(51 12033544),(52 12641333),(53 13392056),(54 13822674),(55 13818838),(56 13631659),(57 13533999),(58 13766279),(59 14361916),(60 14988653),(61 15051147),(62 14684278),(63 14232003),(64 13853273),(65 13445141),(66 13054756),(67 12742670),(68 12483684),(69 12195896),(70 11951258),(71 11875939),(72 11863832),(73 11606063),(74 11038147),(75 10541330),(76 10466703),(77 10637366),(78 10656790),(79 10521778),
(1 1178268.6),(2 3349377),(3 4605821.5),(4 4839362),(5 5221190.5),(6 6273130),(7 7347240),(8 7710973.5),(9 7585627.5),(10 7608080.5),(11 7957603.5),(12 8229573.5),(13 8122940.5),(14 7978241.5),(15 8220016),(16 8563204),(17 8618513),(18 8443197),(19 8325661.5),(20 8365482.5),(21 8438253),(22 8417489),(23 8371958.5),(24 8393708),(25 8540181),(26 8806835),(27 9105116),(28 9316463),(29 9403433),(30 9395983),(31 9379464),(32 9443333),(33 9559184),(34 9599530),(35 9498277),(36 9371878),(37 9438883),(38 9759989),(39 10253581),(40 10657883),(41 10795251),(42 10803061),(43 11033028),(44 11452856),(45 11796105),(46 11919264),(47 11802168),(48 11597409),(49 11551821),(50 11570384),(51 11524217),(52 11702029),(53 12298531),(54 12960616),(55 13358459),(56 13418064),(57 13283744),(58 13371467),(59 13998696),(60 14788119),(61 15037109),(62 14684009),(63 14219732),(64 13844863),(65 13485317),(66 13241648),(67 13014727),(68 12632768),(69 12013336),(70 11437452),(71 11158074),(72 11055316),(73 10768352),(74 10197071),(75 9726838),(76 9624421),(77 9671023),(78 9644827),(79 9738085),
(1 1164994.5),(2 3207995),(3 4210437),(4 4230675),(5 4460759),(6 5338219),(7 6163810),(8 6225916),(9 5871982.5),(10 5830646),(11 6288558),(12 6741433),(13 6745774.5),(14 6601271.5),(15 6782076),(16 7205346),(17 7441907),(18 7369258),(19 7180819),(20 7068048),(21 7054434.5),(22 7066223.5),(23 7103619),(24 7157174.5),(25 7258425.5),(26 7364856.5),(27 7455633.5),(28 7573547.5),(29 7726217.5),(30 7795803.5),(31 7741633.5),(32 7614318),(33 7530861),(34 7539257),(35 7627974.5),(36 7716094.5),(37 7830715),(38 8138944.5),(39 8674696),(40 9285158),(41 9586943),(42 9581271),(43 9714426),(44 9991941),(45 10090004),(46 9987621),(47 9892652),(48 9954716),(49 10189087),(50 10321692),(51 10213303),(52 10144254),(53 10289357),(54 10495980),(55 10696067),(56 10948724),(57 10978886),(58 10858353),(59 10879064),(60 11092109),(61 11107955),(62 10789448),(63 10334857),(64 9946193),(65 9776104),(66 9777457),(67 9752808),(68 9633245),(69 9430780),(70 9307168),(71 9398706),(72 9514927),(73 9396604),(74 9130868),(75 9109599),(76 9342396),(77 9415812),(78 9233617),(79 9204788),
