1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 37235.387),(2 102886.94),(3 228776.44),(4 382162.1),(5 582398.3),(6 819424.7),(7 1095051.9),(8 1425914),(9 1798262),(10 2209231.3),(11 2657125.8),(12 3154875.8),(13 3696426.8),(14 4287250.5),(15 4929974),(16 5621954.5),(17 6397879.5),(18 7219202.5),(19 8091105.5),(20 8996882),(21 9993415),(22 11000178),(23 12058931),(24 13128681),(25 14199968),(26 15304184),(27 16477683),(28 17617328),(29 18818520),(30 20000930),(31 21211278),(32 22497856),(33 23831264),(34 25193168),(35 26531018),(36 27878618),(37 29350182),(38 30839618),(39 32368114),(40 33953572),(41 35587900),(42 37274196),(43 38915996),(44 40571576),(45 42172830),(46 43656028),(47 45093828),(48 46463264),(49 47779508),(50 49072496),(51 50258156),(52 51366964),(53 52378612),(54 53309984),(55 54127604),(56 54899780),(57 55635840),(58 56349524),(59 56951564),(60 57469844),(61 57853804),(62 58159044),(63 58379772),(64 58514508),(65 58656076),(66 58818560),(67 59001984),(68 59328320),(69 59650564),(70 60035732),(71 60436210),(72 60948770),(73 61538668),(74 62264416),(75 63070932),(76 63903508),(77 64791980),(78 65715490),(79 66682644),
(1 45141.48),(2 165855.6),(3 368857.8),(4 652521),(5 1013053),(6 1446132.5),(7 1948371),(8 2520294.3),(9 3157345.3),(10 3854391.3),(11 4617865),(12 5431317),(13 6307447),(14 7234752),(15 8234538.5),(16 9310610),(17 10470066),(18 11697795),(19 12943725),(20 14224445),(21 15565026),(22 16904510),(23 18273804),(24 19654486),(25 21007330),(26 22354660),(27 23679290),(28 25047314),(29 26443598),(30 27826970),(31 29236218),(32 30687578),(33 32123226),(34 33541568),(35 34886944),(36 36242140),(37 37516824),(38 38817850),(39 40053400),(40 41273250),(41 42522744),(42 43720710),(43 44911160),(44 46027628),(45 47065360),(46 48032916),(47 48977024),(48 49897950),(49 50750544),(50 51530052),(51 52180470),(52 52721160),(53 53177630),(54 53585428),(55 54002580),(56 54437324),(57 54899212),(58 55433292),(59 55956864),(60 56408076),(61 56881960),(62 57399052),(63 57952760),(64 58464820),(65 58975680),(66 59578036),(67 60262856),(68 60991190),(69 61752780),(70 62514292),(71 63334104),(72 64285056),(73 65341150),(74 66519988),(75 67683790),(76 68885010),(77 70091190),(78 71249070),(79 72422350),
(1 41282.637),(2 157592.8),(3 348124.3),(4 610930.75),(5 936999.2),(6 1327124.6),(7 1782000.6),(8 2304474.3),(9 2894751),(10 3541172.8),(11 4244321),(12 5001629.5),(13 5818725.5),(14 6671290.5),(15 7584518.5),(16 8555441),(17 9577209),(18 10658313),(19 11752376),(20 12865388),(21 14078144),(22 15314527),(23 16595957),(24 17928158),(25 19274302),(26 20623008),(27 21913838),(28 23307632),(29 24754656),(30 26210208),(31 27657674),(32 29094222),(33 30515306),(34 31915142),(35 33315320),(36 34724490),(37 36033824),(38 37391056),(39 38732200),(40 40039428),(41 41385824),(42 42651076),(43 43994496),(44 45226130),(45 46405390),(46 47532068),(47 48617612),(48 49741820),(49 50790416),(50 51714530),(51 52552748),(52 53279776),(53 54046580),(54 54779828),(55 55514412),(56 56210932),(57 56906256),(58 57587840),(59 58172396),(60 58635900),(61 59100190),(62 59542864),(63 59958270),(64 60320450),(65 60604604),(66 60922004),(67 61222604),(68 61501692),(69 61807950),(70 62033196),(71 62284820),(72 62569344),(73 62909372),(74 63224340),(75 63441950),(76 63648076),(77 63774304),(78 63915680),(79 64018430),
(1 42463.207),(2 164329.39),(3 370870.66),(4 659584.75),(5 1030929.56),(6 1492324),(7 2051927.1),(8 2709974.8),(9 3478471),(10 4337455),(11 5299910),(12 6343172.5),(13 7490189.5),(14 8729500),(15 10042128),(16 11457052),(17 12938441),(18 14518148),(19 16138290),(20 17799414),(21 19573724),(22 21380064),(23 23262662),(24 25204004),(25 27193736),(26 29196144),(27 31185856),(28 33288682),(29 35385936),(30 37455090),(31 39495160),(32 41485890),(33 43394544),(34 45191030),(35 46927844),(36 48613660),(37 50143696),(38 51681836),(39 53095636),(40 54428356),(41 55714016),(42 56880830),(43 58047212),(44 59088484),(45 60016916),(46 60831610),(47 61588836),(48 62259770),(49 62821156),(50 63229340),(51 63521820),(52 63666916),(53 63813460),(54 63917424),(55 64011830),(56 64046664),(57 64036590),(58 64020464),(59 63955950),(60 63802580),(61 63633350),(62 63422444),(63 63111424),(64 62769480),(65 62391120),(66 61994732),(67 61615780),(68 61204780),(69 60843180),(70 60438990),(71 60042788),(72 59702884),(73 59388616),(74 59031170),(75 58568850),(76 58076080),(77 57549650),(78 57019690),(79 56475096),
(1 46120.93),(2 180236.81),(3 406112.38),(4 718301.6),(5 1113134),(6 1595978.9),(7 2159413.8),(8 2809085),(9 3543593.5),(10 4351969.5),(11 5248998.5),(12 6211713.5),(13 7245971.5),(14 8345446),(15 9494452),(16 10705396),(17 11933723),(18 13208105),(19 14507684),(20 15789345),(21 17108546),(22 18425818),(23 19775838),(24 21095288),(25 22414142),(26 23707890),(27 24929368),(28 26163586),(29 27308542),(30 28367854),(31 29357818),(32 30230644),(33 31014494),(34 31673612),(35 32251682),(36 32730822),(37 33090688),(38 33433420),(39 33691970),(40 33916976),(41 34097732),(42 34213476),(43 34328172),(44 34393624),(45 34434820),(46 34432744),(47 34446980),(48 34454144),(49 34454972),(50 34468300),(51 34468200),(52 34484424),(53 34576810),(54 34731228),(55 34931388),(56 35142580),(57 35374972),(58 35658704),(59 35965340),(60 36240936),(61 36445570),(62 36596708),(63 36675410),(64 36721364),(65 36753468),(66 36742532),(67 36721988),(68 36641330),(69 36539508),(70 36396630),(71 36216490),(72 36059224),(73 35864372),(74 35626508),(75 35296180),(76 34902904),(77 34462532),(78 34021560),(79 33567324),
(1 35098.766),(2 134866.53),(3 296771.94),(4 513664.9),(5 779321.94),(6 1092599.8),(7 1444936.8),(8 1833337.4),(9 2252894.8),(10 2697414.5),(11 3166751.3),(12 3650912.8),(13 4154036),(14 4661295),(15 5176065),(16 5712924),(17 6239277.5),(18 6779197.5),(19 7314057.5),(20 7821470.5),(21 8338040),(22 8840234),(23 9327761),(24 9793976),(25 10250712),(26 10701994),(27 11105347),(28 11498392),(29 11838974),(30 12116664),(31 12360022),(32 12568886),(33 12732595),(34 12840930),(35 12906791),(36 12938272),(37 12929989),(38 12943806),(39 12927096),(40 12910071),(41 12922882),(42 12919491),(43 12931386),(44 12958626),(45 13020632),(46 13095141),(47 13201299),(48 13341563),(49 13514909),(50 13737634),(51 13982131),(52 14240798),(53 14526067),(54 14801904),(55 15065806),(56 15303552),(57 15554493),(58 15824432),(59 16101237),(60 16376867),(61 16606755),(62 16794452),(63 16963244),(64 17103028),(65 17221988),(66 17319030),(67 17406148),(68 17470768),(69 17511448),(70 17528440),(71 17516482),(72 17474662),(73 17440766),(74 17406836),(75 17380794),(76 17327546),(77 17296694),(78 17311860),(79 17337884),
(1 20573.627),(2 76238.484),(3 166333.53),(4 285554.88),(5 434060.13),(6 608689.4),(7 812221.56),(8 1034314.75),(9 1278368.6),(10 1532374.1),(11 1804145.3),(12 2092617.3),(13 2401783.3),(14 2720341.8),(15 3064739),(16 3442239),(17 3838851.5),(18 4265350),(19 4689565),(20 5085401.5),(21 5493744.5),(22 5883711.5),(23 6267667),(24 6645377),(25 7008182),(26 7349943),(27 7657802),(28 7967146.5),(29 8258397),(30 8517622),(31 8770180),(32 9012608),(33 9246291),(34 9462641),(35 9668598),(36 9872878),(37 10064695),(38 10274137),(39 10474130),(40 10691195),(41 10923623),(42 11175458),(43 11463744),(44 11768681),(45 12110566),(46 12463932),(47 12814560),(48 13172522),(49 13524847),(50 13861090),(51 14170038),(52 14417450),(53 14658878),(54 14832041),(55 14959424),(56 15025420),(57 15049262),(58 15074976),(59 15079317),(60 15063745),(61 15039802),(62 14955337),(63 14864350),(64 14750929),(65 14622004),(66 14469290),(67 14293094),(68 14097742),(69 13885392),(70 13664150),(71 13433092),(72 13195573),(73 12984016),(74 12759509),(75 12545578),(76 12331045),(77 12128465),(78 11958378),(79 11797846),
(1 21711.111),(2 81476.75),(3 177645.69),(4 305699.7),(5 463104.53),(6 646450.6),(7 858618),(8 1091332.1),(9 1341251.4),(10 1614432.9),(11 1917617.1),(12 2240933.5),(13 2586313),(14 2949143.3),(15 3332553),(16 3732541.8),(17 4138176),(18 4546917),(19 4947966.5),(20 5321505.5),(21 5695252.5),(22 6065746),(23 6435549),(24 6783562.5),(25 7116409.5),(26 7433400),(27 7735167),(28 8056828.5),(29 8370967.5),(30 8681540),(31 8994313),(32 9298324),(33 9604817),(34 9893005),(35 10165199),(36 10423425),(37 10650519),(38 10877214),(39 11078526),(40 11274191),(41 11475088),(42 11665726),(43 11863913),(44 12049090),(45 12228145),(46 12390811),(47 12532386),(48 12653359),(49 12728853),(50 12772173),(51 12786967),(52 12752979),(53 12689233),(54 12574150),(55 12425346),(56 12267285),(57 12105869),(58 11960343),(59 11817152),(60 11683984),(61 11559587),(62 11436164),(63 11330919),(64 11238955),(65 11158606),(66 11072853),(67 10994217),(68 10916962),(69 10844345),(70 10764512),(71 10682688),(72 10598729),(73 10522569),(74 10436340),(75 10359095),(76 10287215),(77 10222364),(78 10181242),(79 10155765),
(1 25480.617),(2 96386.86),(3 209614.64),(4 361199.25),(5 543438.2),(6 754187.9),(7 989566.4),(8 1243201),(9 1522795.1),(10 1828329),(11 2154733.5),(12 2499638.8),(13 2858704),(14 3222926.5),(15 3591275.3),(16 3959954.8),(17 4320461),(18 4668882.5),(19 4993225.5),(20 5282010),(21 5569817),(22 5844789.5),(23 6130428),(24 6400946.5),(25 6647710),(26 6881276),(27 7115733.5),(28 7366688.5),(29 7610093),(30 7879774.5),(31 8153806),(32 8448032),(33 8762095),(34 9075991),(35 9394230),(36 9701640),(37 9990750),(38 10294496),(39 10571283),(40 10825410),(41 11058582),(42 11239079),(43 11396852),(44 11497184),(45 11555074),(46 11569269),(47 11539486),(48 11468489),(49 11343400),(50 11186720),(51 10982906),(52 10728962),(53 10447836),(54 10129060),(55 9792027),(56 9450981),(57 9120760),(58 8808561),(59 8509828),(60 8232376.5),(61 7973660),(62 7738875.5),(63 7527861.5),(64 7328953.5),(65 7148697.5),(66 6968832),(67 6809317.5),(68 6672646.5),(69 6549289.5),(70 6437129.5),(71 6345322.5),(72 6281069),(73 6241067),(74 6238470.5),(75 6282475.5),(76 6367160),(77 6483905),(78 6662300.5),(79 6874612),
(1 31852.602),(2 122025.39),(3 270342.4),(4 470635.72),(5 713762.25),(6 995175.3),(7 1306174.5),(8 1637344.5),(9 1996731.8),(10 2378330.5),(11 2784895.5),(12 3204124.5),(13 3631121),(14 4059800),(15 4483981.5),(16 4905809),(17 5310817),(18 5686856),(19 6040459.5),(20 6348957),(21 6635198),(22 6883093.5),(23 7109527),(24 7302052.5),(25 7468149.5),(26 7620425),(27 7760740.5),(28 7907566),(29 8047150),(30 8200398),(31 8346448),(32 8484059),(33 8619317),(34 8756978),(35 8896488),(36 9038112),(37 9166494),(38 9298646),(39 9399915),(40 9491163),(41 9560562),(42 9588236),(43 9601402),(44 9558169),(45 9486880),(46 9380945),(47 9242352),(48 9084543),(49 8898198),(50 8690460),(51 8472712),(52 8250494),(53 8028069.5),(54 7805873),(55 7578477.5),(56 7349080),(57 7131115.5),(58 6926241.5),(59 6726970),(60 6547085),(61 6393050.5),(62 6268819.5),(63 6184796),(64 6118121.5),(65 6070784),(66 6037358),(67 6013373.5),(68 6018787.5),(69 6023979.5),(70 6033001.5),(71 6049789),(72 6082477.5),(73 6137373),(74 6189654.5),(75 6249181.5),(76 6301774),(77 6344409.5),(78 6415188),(79 6487256.5),
(1 35561.38),(2 137332.78),(3 303527.53),(4 525342.94),(5 795166.9),(6 1107429.6),(7 1450855.4),(8 1821442),(9 2216864.3),(10 2630507.5),(11 3070589.3),(12 3519842.3),(13 3981691.3),(14 4434820),(15 4870124),(16 5291591),(17 5680381),(18 6035714),(19 6349806.5),(20 6611801.5),(21 6834647.5),(22 7010900),(23 7148006.5),(24 7252617.5),(25 7334849),(26 7397401),(27 7442495),(28 7483691),(29 7510620),(30 7534964.5),(31 7575444.5),(32 7620326.5),(33 7677163.5),(34 7727959.5),(35 7784720.5),(36 7837312),(37 7879381.5),(38 7927448.5),(39 7961158.5),(40 7974655),(41 7964306),(42 7917936),(43 7860120.5),(44 7777220.5),(45 7684987),(46 7575144.5),(47 7475543.5),(48 7376088),(49 7275750.5),(50 7193775.5),(51 7118405),(52 7040426.5),(53 6972139),(54 6889052),(55 6788698.5),(56 6676989.5),(57 6570825),(58 6455432.5),(59 6340992),(60 6214727),(61 6108701),(62 6021884),(63 5947834.5),(64 5880525),(65 5816841.5),(66 5755359),(67 5697252),(68 5648552.5),(69 5587937),(70 5520656),(71 5445681.5),(72 5376575),(73 5313333.5),(74 5253279.5),(75 5192356.5),(76 5136058.5),(77 5076690),(78 5040874.5),(79 5017613.5),
