1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,
(1 740.0046),(2 919.20166),(3 955.85846),(4 1046.4254),(5 1094.5128),(6 1147.832),(7 1287.358),(8 1319.9894),(9 1415.0326),(10 1499.7977),(11 1587.7544),(12 1628.2606),(13 1725.0498),(14 1825.5265),(15 1947.9677),(16 2000.712),(17 2052.6655),(18 2136.855),(19 2164.7988),(20 2259.172),(21 2370.3328),(22 2388.2512),(23 2479.5916),(24 2573.909),(25 2641.8726),(26 2721.4675),(27 2807.3308),(28 2859.9336),(29 2912.2893),(30 2929.3337),(31 2970.126),(32 3065.6018),(33 3088.4958),(34 3179.6113),(35 3166.1892),(36 3226.7727),(37 3261.6907),(38 3359.9426),(39 3379.0256),(40 3443.9414),(41 3534.7783),(42 3589.998),(43 3648.1624),(44 3733.6982),(45 3795.6873),(46 3805.6213),(47 3852.0452),(48 3958.965),(49 4014.3845),(50 4166.6646),(51 4206.6035),(52 4188.2124),(53 4259.6597),(54 4350.974),(55 4445.8237),(56 4508.4927),(57 4533.9985),(58 4515.6924),(59 4591.0493),(60 4731.832),(61 4814.493),(62 4897.11),(63 4987.9688),(64 5019.388),(65 5149.761),(66 5242.3945),(67 5347.5273),(68 5409.0215),(69 5508.6074),(70 5628.3457),(71 5714.6685),(72 5825.0273),(73 5936.7856),(74 6039.7446),(75 6108.3027),(76 6159.564),(77 6306.104),(78 6369.3374),(79 6426.869),
(1 837.10175),(2 1146.0857),(3 1397.4757),(4 1619.939),(5 1807.9465),(6 2011.191),(7 2267.9988),(8 2473.8093),(9 2643.868),(10 2880.8647),(11 3080.5938),(12 3233.5066),(13 3433.2512),(14 3638.6035),(15 3812.7163),(16 3958.5933),(17 4140.5923),(18 4347.7393),(19 4556.3794),(20 4762.0176),(21 4986.025),(22 5216.532),(23 5434.6157),(24 5670.49),(25 5933.764),(26 6143.1973),(27 6442.447),(28 6683.8564),(29 6938.2803),(30 7124.5654),(31 7365.957),(32 7574.9404),(33 7867.561),(34 8133.139),(35 8363.651),(36 8608.075),(37 8825.706),(38 9118.656),(39 9365.857),(40 9665.697),(41 9868.956),(42 10174.482),(43 10437.841),(44 10831.99),(45 11110.6045),(46 11381.53),(47 11645.524),(48 11886.669),(49 12082.443),(50 12338.894),(51 12581.084),(52 12709.102),(53 12961.347),(54 13287.516),(55 13514.998),(56 13811.974),(57 14006.075),(58 14259.725),(59 14501.367),(60 14766.307),(61 15017.947),(62 15305.01),(63 15489.831),(64 15783.656),(65 16095.232),(66 16330.477),(67 16585.246),(68 16911.59),(69 17148.074),(70 17361.488),(71 17590.123),(72 17835.379),(73 18041.477),(74 18239.314),(75 18349.074),(76 18490.506),(77 18723.154),(78 18966.426),(79 19130.328),
(1 1081.6315),(2 1626.9531),(3 2120.3516),(4 2651.9866),(5 3167.7585),(6 3719.0378),(7 4255.4653),(8 4832.312),(9 5335.1553),(10 5881.537),(11 6374.61),(12 6924.348),(13 7433.428),(14 8006.353),(15 8533.764),(16 8987.257),(17 9549.718),(18 10034.987),(19 10420.551),(20 10910.745),(21 11374.665),(22 11840.406),(23 12290.927),(24 12805.145),(25 13317.984),(26 13855.577),(27 14466.247),(28 14974.003),(29 15495.739),(30 15962.581),(31 16486.13),(32 17016.092),(33 17455.932),(34 18007.404),(35 18493.06),(36 19035.643),(37 19480.916),(38 20003.623),(39 20459.494),(40 20989.9),(41 21464.191),(42 21966.994),(43 22539.328),(44 23046.627),(45 23467.875),(46 23931.12),(47 24353.209),(48 24728.31),(49 25087.697),(50 25463.24),(51 25837.46),(52 26191.639),(53 26562.596),(54 26870.291),(55 27158.164),(56 27397.229),(57 27695.854),(58 28071.783),(59 28357.656),(60 28632.734),(61 28903.555),(62 29195.422),(63 29553.557),(64 29828.318),(65 30209.412),(66 30516.021),(67 30821.764),(68 31093.469),(69 31342.531),(70 31498.563),(71 31752.594),(72 31919.56),(73 32182.213),(74 32324.44),(75 32569.703),(76 32836.33),(77 33256.887),(78 33662.543),(79 33815.03),
(1 1458.1047),(2 2360.0437),(3 3220.3074),(4 4012.13),(5 4779.6587),(6 5601.87),(7 6323.828),(8 7053.606),(9 7810.6147),(10 8593.228),(11 9336.879),(12 10131.322),(13 10772.2705),(14 11487.837),(15 12164.514),(16 12838.488),(17 13512.809),(18 14314.902),(19 15016.526),(20 15679.92),(21 16396.982),(22 17091.357),(23 17752.584),(24 18401.045),(25 19070.246),(26 19749.352),(27 20483.248),(28 21237.912),(29 21900.879),(30 22608.508),(31 23324.756),(32 24025.492),(33 24824.594),(34 25485.729),(35 26246.295),(36 27016.348),(37 27836.563),(38 28496.844),(39 29234.99),(40 29927.947),(41 30746.549),(42 31465.416),(43 32232.629),(44 32875.563),(45 33575.996),(46 34228.895),(47 34837.484),(48 35387.15),(49 35961.992),(50 36571),(51 37189.93),(52 37846.535),(53 38499.215),(54 39002.67),(55 39703.938),(56 40393.242),(57 41073.883),(58 41681.3),(59 42191.32),(60 42863.344),(61 43532.633),(62 44197.125),(63 44889.77),(64 45452.914),(65 46121.867),(66 46668.383),(67 47324.43),(68 47900.92),(69 48574.82),(70 49108.938),(71 49759.746),(72 50347.105),(73 51070.34),(74 51724.93),(75 52431.664),(76 53113.813),(77 53834.91),(78 54526.125),(79 55226.133),
(1 1821.2195),(2 3051.457),(3 4286.9565),(4 5441.852),(5 6515.098),(6 7637.0093),(7 8770.02),(8 9849.97),(9 10842.73),(10 11868.925),(11 12823.218),(12 13844.125),(13 14792.152),(14 15816.23),(15 16879.578),(16 17887.398),(17 18857.77),(18 19910.688),(19 20968.018),(20 22052.555),(21 23202.506),(22 24198.564),(23 25207.2),(24 26149.057),(25 27090.494),(26 28193.31),(27 29161.6),(28 30050.33),(29 30925.332),(30 31739.982),(31 32615.78),(32 33443.848),(33 34210.98),(34 34958.402),(35 35638.273),(36 36392.125),(37 37144.125),(38 37868.14),(39 38532.938),(40 39248.97),(41 39865.234),(42 40412),(43 40979.81),(44 41521.61),(45 42031.535),(46 42392.35),(47 42849.887),(48 43314.734),(49 43822.59),(50 44506.58),(51 45145.777),(52 45885.42),(53 46640.934),(54 47459.754),(55 48204.863),(56 49026.64),(57 49874.023),(58 50699.42),(59 51395.824),(60 52208.66),(61 53014),(62 53808.977),(63 54535),(64 55211.234),(65 55933.254),(66 56577.203),(67 57260.066),(68 57959.746),(69 58807.484),(70 59471.09),(71 60042.434),(72 60694.875),(73 61311.887),(74 62078.17),(75 62926.453),(76 63554.637),(77 64102.797),(78 64621.74),(79 65359.566),
(1 2281.1309),(2 3942.2024),(3 5559.6885),(4 7102.539),(5 8750.123),(6 10399.002),(7 11959.924),(8 13541.807),(9 15023.644),(10 16539.793),(11 17841.967),(12 19299.633),(13 20638.21),(14 22052.568),(15 23561.082),(16 24915.057),(17 26229.05),(18 27631.277),(19 29014.125),(20 30409.645),(21 31715.113),(22 32973.438),(23 34341.664),(24 35379.07),(25 36564.9),(26 37803.43),(27 39043),(28 40240.043),(29 41392.258),(30 42403.27),(31 43566.32),(32 44662.324),(33 45618.9),(34 46589.555),(35 47447.805),(36 48422.945),(37 49576.227),(38 50677.797),(39 51761.62),(40 52696.35),(41 53676.72),(42 54811.2),(43 55972.625),(44 57047.24),(45 58004.293),(46 59155.24),(47 60273.645),(48 61347.727),(49 62227.65),(50 63316.156),(51 64365.9),(52 65242.313),(53 66237.64),(54 67141.23),(55 68281.24),(56 69331.64),(57 70154.94),(58 70950.75),(59 71847.35),(60 72633.836),(61 73474.914),(62 74261.19),(63 75068.016),(64 75588.3),(65 76084.125),(66 76542.484),(67 77026.195),(68 77247.88),(69 77923.75),(70 78435.734),(71 78971.36),(72 79445.45),(73 79834.44),(74 80406.48),(75 80993.46),(76 81689.81),(77 82217.08),(78 82935.45),(79 83371.3),
(1 2837.6238),(2 5033.5254),(3 7121.977),(4 9261.457),(5 11425.176),(6 13465.412),(7 15500.354),(8 17461.176),(9 19376.535),(10 21249.563),(11 22986.621),(12 25011.178),(13 27017.254),(14 28999.346),(15 31001.293),(16 32881.6),(17 34602.684),(18 36512.05),(19 38494.547),(20 40235.027),(21 41883.39),(22 43543.67),(23 45216.402),(24 46881.54),(25 48504.793),(26 49922.125),(27 51403.723),(28 53004.57),(29 54315.914),(30 55707.418),(31 57136.703),(32 58579.402),(33 60018.57),(34 61578.063),(35 63019.18),(36 64524.91),(37 66046.01),(38 67411.3),(39 68769.82),(40 70185.39),(41 71406.01),(42 72668.2),(43 74026.47),(44 75404.766),(45 76978.59),(46 78340.375),(47 79344.99),(48 80695.84),(49 81811.62),(50 83088.805),(51 84276.66),(52 85265.375),(53 86341.55),(54 87354.92),(55 88195.04),(56 89222.68),(57 90090.87),(58 90995.61),(59 91896.42),(60 92764.18),(61 93408.83),(62 94327.75),(63 95198.055),(64 95867.984),(65 96829.36),(66 97826.984),(67 98519.49),(68 99370.58),(69 100110.195),(70 100849.91),(71 101442.09),(72 102178.88),(73 102827.38),(74 103676.516),(75 104453.45),(76 105205.95),(77 106044.984),(78 106895.055),(79 107691.96),
(1 3378.139),(2 6195.932),(3 8791.02),(4 11423.091),(5 13996.761),(6 16589.576),(7 19029.313),(8 21462.68),(9 23851.838),(10 25957.055),(11 27963.488),(12 29990.129),(13 31842.996),(14 33681.285),(15 35457.043),(16 37478.023),(17 39494.44),(18 41474.2),(19 43416.684),(20 45182.09),(21 47103.074),(22 48887.273),(23 50785.66),(24 52724.066),(25 54697.773),(26 56529.93),(27 58430.77),(28 60343.58),(29 62409.215),(30 64306.86),(31 66172.19),(32 67853.805),(33 69254.04),(34 70827.95),(35 72346.016),(36 73861.35),(37 75549.914),(38 77021.34),(39 78533.414),(40 80060.28),(41 81202.63),(42 82598.35),(43 83862.195),(44 85425.04),(45 86729.25),(46 88013.1),(47 89150.42),(48 90473.65),(49 91617.28),(50 92871.45),(51 94117.766),(52 95355.945),(53 96330.4),(54 97040.93),(55 97903.22),(56 98967.15),(57 99770.59),(58 100343.4),(59 101406.47),(60 102196.02),(61 103271.72),(62 104207.08),(63 105341.836),(64 106243.78),(65 107220.78),(66 107874.93),(67 109128.586),(68 110207.82),(69 111376.7),(70 112696.734),(71 113968.414),(72 114962.484),(73 115825.12),(74 116801.914),(75 117407.086),(76 118086.55),(77 118640.484),(78 119112.805),(79 119338.07),
(1 4099.567),(2 7530.278),(3 10776.185),(4 13990.409),(5 17191.723),(6 20275.018),(7 23338.447),(8 26477.377),(9 29133.87),(10 31921.725),(11 34618.625),(12 37279.945),(13 39789.527),(14 42274.883),(15 44812.465),(16 47336.92),(17 49755.855),(18 52016.348),(19 54141.285),(20 55886.844),(21 57922.777),(22 59870.406),(23 61711.906),(24 63610.684),(25 65444.523),(26 67097.81),(27 68864.3),(28 70567.22),(29 72091.92),(30 73866.266),(31 75435.87),(32 76903.78),(33 78464.08),(34 80250.27),(35 82049.43),(36 83463),(37 84758.8),(38 86007.016),(39 86970.67),(40 87997.37),(41 88945.766),(42 90105.06),(43 90876.766),(44 92002.695),(45 93004.54),(46 93841.23),(47 94971.91),(48 95988.805),(49 97094.13),(50 97991.15),(51 98949.97),(52 99856.48),(53 100924.85),(54 101961.66),(55 102973.49),(56 104055.234),(57 105317.23),(58 106154.05),(59 107449.95),(60 108639.22),(61 110049.08),(62 111195.19),(63 112421.48),(64 113429.484),(65 114462.76),(66 115934.61),(67 117434.88),(68 118783.49),(69 119954.91),(70 121235.516),(71 122181.56),(72 123216.4),(73 124310.75),(74 125372.87),(75 126433.4),(76 127355.19),(77 128266.81),(78 129267.06),(79 130476.6),
(1 5002.633),(2 9225.976),(3 13257.518),(4 17158.64),(5 21145.879),(6 24882.18),(7 28638.793),(8 32481.854),(9 36082.91),(10 39414.984),(11 42249.773),(12 45027.83),(13 47654.203),(14 50252.734),(15 52685.06),(16 54920.746),(17 57084.254),(18 59184.93),(19 60956.992),(20 62526.758),(21 64304.742),(22 66056.53),(23 67557.45),(24 69067.53),(25 70812.47),(26 72507.21),(27 74056.78),(28 75600.86),(29 77040.06),(30 78579.86),(31 79998.59),(32 81330.68),(33 82779.82),(34 84290.625),(35 85800.43),(36 87310.2),(37 88869.875),(38 90528.94),(39 92051.68),(40 93339.43),(41 94919.56),(42 96446.58),(43 98025.36),(44 99506.79),(45 101021.62),(46 102602.47),(47 104047.59),(48 105321.51),(49 106683),(50 108019.5),(51 109037.945),(52 109952.35),(53 110922.734),(54 111721.8),(55 112787.94),(56 113728.48),(57 114654.484),(58 115590.68),(59 116388.305),(60 117441.016),(61 118400.016),(62 119685.89),(63 120971.164),(64 122053.61),(65 122862.234),(66 123666.984),(67 124566.336),(68 125371.11),(69 125946.734),(70 126658.03),(71 127239.72),(72 127682.305),(73 128210.875),(74 128759.36),(75 129503),(76 129743.445),(77 130115.16),(78 130554.07),(79 130935.03),
(1 5869.8936),(2 11004.239),(3 15768.695),(4 20396.186),(5 24938.945),(6 29371.93),(7 33308.656),(8 37095.082),(9 40648.434),(10 43849.47),(11 47108.633),(12 50249.516),(13 53148.707),(14 56079.324),(15 58889.88),(16 61587.227),(17 64253.64),(18 66832.19),(19 68859.32),(20 71118.97),(21 73490.42),(22 75425.3),(23 77194.66),(24 79092.52),(25 81332.75),(26 83271.695),(27 85160.55),(28 87091.42),(29 88989.914),(30 90628.57),(31 92258.195),(32 94011.445),(33 95866.69),(34 97298.03),(35 99162.13),(36 100840.81),(37 102670.31),(38 104388.09),(39 106130.07),(40 107676.766),(41 109075.5),(42 110797.65),(43 112546.89),(44 114292.89),(45 115642.96),(46 117348.65),(47 118927.63),(48 120316.54),(49 121980.57),(50 123444.78),(51 124959),(52 126234.65),(53 127488.8),(54 129204.5),(55 130552.44),(56 131622.47),(57 132595.33),(58 133611.86),(59 134519.63),(60 135382.47),(61 136430.13),(62 137700.19),(63 138772.77),(64 139836.67),(65 140689.08),(66 141882.55),(67 142753.77),(68 143614.55),(69 144155.13),(70 144606.88),(71 144919.98),(72 145348.92),(73 145763.48),(74 146052.7),(75 146096.5),(76 146512.55),(77 146955.58),(78 147596.06),(79 147994.88),
