1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,
(1 1555.687),(2 2187.0693),(3 2822.5706),(4 3396.4346),(5 4147.4277),(6 4738.391),(7 5452.7466),(8 6286.1353),(9 6833.502),(10 7289.849),(11 7720.146),(12 8338.46),(13 8978.493),(14 9628.779),(15 10215.136),(16 10806.743),(17 11460.094),(18 12225.945),(19 12870.406),(20 13489.9795),(21 14130.839),(22 14623.335),(23 15589.785),(24 16477.924),(25 16954.625),(26 17349.299),(27 17870.943),(28 18207.55),(29 18727.02),(30 19234.125),(31 19616.314),(32 19985.752),(33 20361.96),(34 20903.299),(35 21248.129),(36 21600.162),(37 22085.357),(38 22464.057),(39 22969.818),(40 23661.85),(41 24200.865),(42 24444.771),(43 25311.314),(44 25768.477),(45 25861.43),(46 26268.932),(47 26722.56),(48 26878.344),(49 27117.984),(50 27344.412),(51 27668.758),(52 27375.156),(53 27807.54),(54 27981),(55 28263.166),(56 28317.516),(57 28054.084),(58 27717.248),(59 27776.717),(60 27591.541),(61 27797.107),(62 27831.633),(63 27397.693),(64 27529.29),(65 27843.266),(66 28039.525),(67 28388.15),(68 29056.852),(69 29137.553),(70 29626.117),(71 30085.63),(72 29961.393),(73 30647.197),(74 30835.992),(75 31145.492),(76 31446.93),(77 31576.438),(78 31684.492),(79 31950.822),(80 32469.33),(81 33141.84),(82 33331.85),(83 33755.816),(84 34334.176),(85 35020.168),(86 35752.32),(87 36663.95),(88 37756),(89 38234.56),(90 39533.957),(91 40431.34),(92 40890.668),(93 41771.965),(94 43012.973),(95 43845.39),(96 44765.957),(97 45673.797),(98 46513.688),(99 47313.863),(100 48012.613),(101 49059.8),(102 50087.27),(103 50986.613),(104 51331.94),(105 52122.066),(106 52940.605),(107 53573.113),(108 54569.625),(109 54802.246),(110 55721.254),(111 56229.535),(112 57076.156),(113 58160.285),(114 59255.613),(115 60626.926),(116 61377.973),(117 62849.324),(118 64321.72),(119 65782.95),
(1 2843.537),(2 4931.602),(3 6675.3374),(4 8538.755),(5 10596.318),(6 12326.07),(7 13813.956),(8 15441.099),(9 17019.607),(10 18447.941),(11 19792.613),(12 21027.8),(13 22349.396),(14 23657.12),(15 25103.582),(16 26318.963),(17 27814.746),(18 29054.275),(19 30219.037),(20 31093.86),(21 31758.557),(22 32441.207),(23 33681.73),(24 34549.023),(25 34940.914),(26 35274.1),(27 35563.08),(28 35904.04),(29 36304.355),(30 37149.555),(31 37510.863),(32 37659.324),(33 37952.824),(34 38352.887),(35 38851.28),(36 39099.406),(37 39944.023),(38 40734.938),(39 41803.117),(40 43315.938),(41 44371.633),(42 45207.164),(43 45895.07),(44 46291.445),(45 46588.797),(46 47248.227),(47 47895.4),(48 48121.29),(49 48869.992),(50 49630.26),(51 50482.156),(52 51088.133),(53 51357.977),(54 51994.64),(55 53126.336),(56 53632.65),(57 54425.35),(58 55445.023),(59 56029.438),(60 56661.273),(61 57736.523),(62 58188.25),(63 58300.49),(64 58902.25),(65 59927.04),(66 60912.625),(67 62489.387),(68 63723.35),(69 64318.023),(70 65039.867),(71 65563.11),(72 66329.664),(73 66920.54),(74 67113.805),(75 67306.81),(76 67501.36),(77 67769.836),(78 67832.75),(79 68333.1),(80 68800.46),(81 69346.69),(82 69781.15),(83 70786.625),(84 71447.85),(85 72124.164),(86 72526.39),(87 73610.64),(88 74584.55),(89 75075.54),(90 75902.79),(91 77402.5),(92 77798.19),(93 78605.67),(94 79562.55),(95 80515.51),(96 81466.82),(97 82219.58),(98 82556.81),(99 82744.76),(100 83025.26),(101 83342.7),(102 82985.72),(103 83268.15),(104 83610.5),(105 83516.766),(106 83213.52),(107 82884.19),(108 82661.83),(109 82113.766),(110 81966.65),(111 82420.58),(112 83042.85),(113 83537.03),(114 84613.375),(115 85358.836),(116 86751.55),(117 88337.266),(118 89775.7),(119 90921.33),
(1 4930.3696),(2 8571.692),(3 11943.813),(4 15043.618),(5 18149.295),(6 21017.83),(7 23644.814),(8 26594.998),(9 29814.404),(10 32621.861),(11 36123.957),(12 38905.133),(13 41815.477),(14 44715.27),(15 47688.28),(16 50408.5),(17 52922.332),(18 55427.844),(19 57453.363),(20 59735.016),(21 61800.42),(22 63829.676),(23 65846.6),(24 67789.29),(25 69110.6),(26 70903.055),(27 72598.79),(28 73875.21),(29 75706.375),(30 77720.57),(31 79510.43),(32 81216.45),(33 81648.27),(34 82579.83),(35 84066.87),(36 85254.836),(37 87157.484),(38 88695.79),(39 90760.04),(40 92810.29),(41 95558.56),(42 97583.93),(43 99596.25),(44 101845.51),(45 103765.81),(46 105945.086),(47 107291.37),(48 109773.62),(49 111602.59),(50 113800.13),(51 115591.13),(52 117771.84),(53 120082.414),(54 121853.31),(55 123411.78),(56 124920.65),(57 125891.31),(58 127874.78),(59 129403.34),(60 131218.66),(61 132953.56),(62 134672.05),(63 135834.77),(64 136918.4),(65 137110.39),(66 138085),(67 139016.8),(68 140401.77),(69 141220.42),(70 142582.08),(71 143409.52),(72 143517.83),(73 143911.63),(74 144313.7),(75 144412.77),(76 145090.52),(77 145120.88),(78 144549.2),(79 144870.84),(80 144923.81),(81 144810.95),(82 145183.58),(83 146073.84),(84 145999.67),(85 146163.83),(86 146052.23),(87 146822.58),(88 146972.02),(89 146592.38),(90 146245.33),(91 146009.78),(92 145832.98),(93 146396.92),(94 146700.4),(95 146678.81),(96 147124.61),(97 147201.84),(98 146576.11),(99 147029.08),(100 147412.94),(101 148175.39),(102 148578.27),(103 149298.89),(104 149790.02),(105 149708.19),(106 149351.23),(107 149396.11),(108 149505.48),(109 149204.77),(110 149371.39),(111 150304.13),(112 150716.31),(113 150873.11),(114 151772.92),(115 151731.8),(116 152538.75),(117 153332.92),(118 153276.02),(119 153589.77),
(1 7415.6763),(2 14269.453),(3 20142.514),(4 26502.482),(5 31576.826),(6 36179.31),(7 40832.332),(8 45056.355),(9 50007.207),(10 54416.08),(11 59938.36),(12 64616.953),(13 69110.914),(14 73446.68),(15 77600.97),(16 81941.21),(17 86237.83),(18 89706.27),(19 92437.34),(20 95092.68),(21 97613.59),(22 99371.86),(23 101667.84),(24 103800.51),(25 105853.51),(26 108566.47),(27 110247.66),(28 112370.375),(29 114907.32),(30 117986.5),(31 120704.89),(32 123540.96),(33 126628.5),(34 129238.14),(35 131376.78),(36 134205.05),(37 136606.94),(38 138580.3),(39 139864.47),(40 141360.89),(41 142305.75),(42 143244.89),(43 143425.14),(44 143487.17),(45 144082.69),(46 144985.81),(47 145488.42),(48 146288.08),(49 146825.08),(50 147745.02),(51 147853.33),(52 149206.06),(53 150240.31),(54 151818.98),(55 153824.61),(56 155866.92),(57 157419.77),(58 159975.86),(59 161644.67),(60 164524.28),(61 166348.47),(62 167384.36),(63 168108.97),(64 169050.05),(65 169546.97),(66 170262.02),(67 170698.25),(68 172104.28),(69 172649.84),(70 173970.67),(71 174580.17),(72 174635.11),(73 174295.69),(74 175246.73),(75 174651.78),(76 175223.73),(77 175198.67),(78 176453.81),(79 177691.86),(80 178571.5),(81 178739.38),(82 179384.53),(83 179855.69),(84 180906.17),(85 181565.16),(86 181779.98),(87 182134),(88 181920.31),(89 181962.05),(90 181996.39),(91 181672.53),(92 180749.61),(93 180396.14),(94 179251.28),(95 179116.39),(96 177783.42),(97 177236.56),(98 176138.06),(99 174864.34),(100 174705.56),(101 174122.36),(102 174204.94),(103 174253.31),(104 174680.67),(105 174663.95),(106 174033.64),(107 174998.22),(108 175176.53),(109 175223.58),(110 173975.64),(111 174093.92),(112 172788.39),(113 171772.14),(114 170397.56),(115 169953.58),(116 169100.63),(117 168106.53),(118 166247.53),(119 164688.19),
(1 10125.091),(2 18703.242),(3 26601.748),(4 34380.266),(5 40841.047),(6 46522.766),(7 52207.715),(8 57623.613),(9 62946.59),(10 66890.41),(11 71314.945),(12 75508.95),(13 79557.88),(14 83587.8),(15 86908.75),(16 90310.625),(17 93348.71),(18 96063.27),(19 97740.59),(20 100026.58),(21 101634.66),(22 103328.6),(23 105432.41),(24 106961.48),(25 108293.51),(26 110206.37),(27 111015.41),(28 111890.88),(29 112809.77),(30 114168.73),(31 115358.15),(32 117369.87),(33 119287.5),(34 120670.5),(35 121111.63),(36 122047.05),(37 123715),(38 125570.98),(39 126398.93),(40 127766.2),(41 128538.95),(42 129778.48),(43 130275.48),(44 132035.89),(45 133632.84),(46 134782.94),(47 135871.8),(48 137541),(49 138436.17),(50 139180.19),(51 140586.61),(52 142123.98),(53 143070.31),(54 144044.06),(55 145635.39),(56 147433.98),(57 148973.47),(58 151210.53),(59 152600.45),(60 154967.61),(61 156490.2),(62 157737.94),(63 158139.73),(64 159187.39),(65 160680.06),(66 162297.64),(67 163131.06),(68 163969.48),(69 165008.66),(70 165395.03),(71 165873.22),(72 165979.94),(73 166796.39),(74 167075),(75 166239.75),(76 166410.67),(77 167083.42),(78 168377.69),(79 169099.5),(80 169689.61),(81 170799.23),(82 172686.56),(83 174653.9),(84 175332.97),(85 176480.69),(86 176919.73),(87 177668.52),(88 176714.1),(89 175442.44),(90 174369.3),(91 173573.69),(92 174166.08),(93 173022.25),(94 171966.81),(95 171186.34),(96 169909.27),(97 169525.83),(98 169346.92),(99 169979.06),(100 170172.38),(101 170603.48),(102 171249.34),(103 171340.64),(104 171277.1),(105 171518.14),(106 171109.45),(107 171339.56),(108 170421.36),(109 170211.72),(110 169446.55),(111 169177.44),(112 168218),(113 167564.81),(114 165798.44),(115 165543.89),(116 164969.75),(117 163869.81),(118 162780.16),(119 161522.84),
(1 12661.569),(2 23726.621),(3 33364.137),(4 43062.684),(5 52107.29),(6 60222.74),(7 68213.445),(8 75084.195),(9 82592.9),(10 89353.21),(11 95449.07),(12 100951.39),(13 105599.65),(14 110547.55),(15 115364.86),(16 119106.375),(17 121619.79),(18 125047.42),(19 128530.21),(20 132470.72),(21 135959.95),(22 138998.2),(23 141104.17),(24 143004.47),(25 144821.22),(26 146660.05),(27 149215.42),(28 150762.67),(29 152580.22),(30 154746.48),(31 155991.05),(32 156872.92),(33 158832.42),(34 161004.53),(35 163232.58),(36 165448.67),(37 167686.53),(38 168921.08),(39 170767.84),(40 171858.92),(41 173085.22),(42 175259.25),(43 178202.88),(44 180835.33),(45 182915.28),(46 184672.94),(47 186828.9),(48 187415.72),(49 188813.16),(50 190085.4),(51 189837.94),(52 190205.33),(53 191024.63),(54 191512.27),(55 192441.13),(56 193092.97),(57 194443.58),(58 195285.38),(59 196678.3),(60 197006.67),(61 197045.34),(62 197814.1),(63 197295.63),(64 195951.61),(65 195809.63),(66 196494.22),(67 194918.92),(68 194013.53),(69 192807.16),(70 191639.73),(71 191159.36),(72 190291.72),(73 189836.53),(74 189014),(75 188861.75),(76 188919.22),(77 189246.22),(78 189295.61),(79 188553.22),(80 186831.31),(81 185360.13),(82 184981.9),(83 185811.94),(84 184807.13),(85 184800.19),(86 183404.28),(87 180920.28),(88 179653.3),(89 179651.73),(90 179968.06),(91 180723.75),(92 179997.95),(93 179095.06),(94 177815.6),(95 176490.5),(96 175662.84),(97 175119.4),(98 173332.47),(99 173423.22),(100 171825.3),(101 171762.06),(102 171303.47),(103 171764.06),(104 172620.75),(105 173598.78),(106 174736.17),(107 175449),(108 175081.03),(109 177372.34),(110 177818.05),(111 179491.47),(112 180506.53),(113 182011.47),(114 182234.7),(115 182307.5),(116 182626.03),(117 182374.14),(118 182427.34),(119 181591.84),
(1 16873.965),(2 31111.79),(3 43751.496),(4 55956.855),(5 67247.63),(6 77162.54),(7 86553.125),(8 94966.37),(9 101637.945),(10 107707.234),(11 113037.78),(12 117694.695),(13 122434.07),(14 126586.95),(15 129595.96),(16 132758.7),(17 135021.9),(18 136639.28),(19 138599.33),(20 140211.5),(21 141227.31),(22 142865.44),(23 143705.3),(24 143751.83),(25 144187.4),(26 145781.39),(27 146588.5),(28 147039.77),(29 148462.64),(30 148516.36),(31 147947.06),(32 148428.14),(33 147891.72),(34 150162.34),(35 150403.14),(36 151574.67),(37 152329.83),(38 152849.86),(39 153659.25),(40 153681.05),(41 153561.39),(42 154552.27),(43 154685.13),(44 155477.61),(45 156613.9),(46 158448.36),(47 159827.27),(48 162601.77),(49 165035.11),(50 166338),(51 167244.86),(52 168171.66),(53 169362.89),(54 169301.08),(55 169821.34),(56 170248.36),(57 170656.11),(58 170070.25),(59 170342),(60 169496.61),(61 168065.17),(62 167305.27),(63 166307.42),(64 164492.73),(65 162979.73),(66 162069.66),(67 160800.22),(68 161431.89),(69 162481.39),(70 164419.6),(71 165054.03),(72 164965.53),(73 165438.77),(74 166057.34),(75 166585.97),(76 167734.28),(77 168080.02),(78 167652.67),(79 167606.34),(80 167269.92),(81 168047.53),(82 167200.86),(83 168288.89),(84 167475.89),(85 165268.66),(86 164906.1),(87 164449.03),(88 163550.14),(89 164102.31),(90 163696.66),(91 163534.5),(92 163486.36),(93 164264.36),(94 165139.42),(95 164958.19),(96 165285.23),(97 165800.84),(98 165966.31),(99 166712.89),(100 165382.84),(101 164451.61),(102 164551.31),(103 164789.19),(104 165795.03),(105 166481.03),(106 167196.52),(107 168451.34),(108 168010.42),(109 168780.5),(110 167653.66),(111 168322.81),(112 167594.48),(113 167366.16),(114 166468.69),(115 165248.94),(116 164864.19),(117 164814.5),(118 164052.58),(119 163765.73),
(1 22105.662),(2 41403.57),(3 58193.84),(4 71436.57),(5 83111.71),(6 93343.09),(7 103993.35),(8 113730.234),(9 123244.03),(10 129389.38),(11 134847.11),(12 139125.9),(13 142510.53),(14 145556.86),(15 150144.86),(16 153503.95),(17 156250.77),(18 157852.61),(19 161040.75),(20 163620.06),(21 166221.67),(22 166701.19),(23 166521.22),(24 164626.23),(25 163760.23),(26 163403.44),(27 163738.97),(28 163735.94),(29 165171.11),(30 164826.52),(31 164032.1),(32 163146.95),(33 163345.2),(34 164811.31),(35 165958.81),(36 167353.53),(37 167682.89),(38 168397.06),(39 168946.73),(40 168923.22),(41 168711.17),(42 170008.77),(43 170518.33),(44 172645.17),(45 174082.48),(46 175247.2),(47 175531.23),(48 176861.7),(49 178089.39),(50 179037.81),(51 179256.73),(52 179931.73),(53 180186.84),(54 181877.08),(55 183003.58),(56 183461.8),(57 182862.64),(58 182663.67),(59 182518.52),(60 182305.1),(61 182049.66),(62 183849.8),(63 183621.4),(64 183721.64),(65 182333.53),(66 181436.95),(67 180823.72),(68 181094.75),(69 181257.6),(70 181843.5),(71 181178.95),(72 180734.8),(73 180745),(74 180517.86),(75 180435.58),(76 180517.77),(77 179785.73),(78 178044.3),(79 178277.8),(80 178614.1),(81 178700.45),(82 178646.16),(83 178205.94),(84 176664.27),(85 176552.39),(86 175611.33),(87 175364.14),(88 175239.5),(89 174649.3),(90 173680.23),(91 172652.52),(92 172137.36),(93 172662.44),(94 173159.7),(95 173169.33),(96 172646.48),(97 171516.86),(98 170693.5),(99 169125.64),(100 167922.6),(101 167437.58),(102 167192.52),(103 168468.19),(104 168727),(105 170073.52),(106 171792.9),(107 172660.58),(108 174118.33),(109 174872.94),(110 176856.14),(111 177996.97),(112 178495.7),(113 177575.27),(114 177528.3),(115 176694.47),(116 175658.14),(117 175879.3),(118 176589.17),(119 177184.27),
(1 27094.75),(2 50512.773),(3 71857.39),(4 89570.48),(5 104626.164),(6 118088.336),(7 130157.266),(8 140394.38),(9 149637.88),(10 156679.13),(11 160605.22),(12 164954.31),(13 168253.95),(14 170494.6),(15 172014.63),(16 171660.81),(17 171674.33),(18 171208.94),(19 170277.77),(20 169123.25),(21 168707.88),(22 168333.83),(23 169743.16),(24 169035.77),(25 167614.83),(26 165862.2),(27 165117.05),(28 163607.97),(29 162783.25),(30 160891.48),(31 160406.55),(32 161360.44),(33 161795.4),(34 161227.84),(35 162092.55),(36 161657.27),(37 162365.88),(38 164798.61),(39 165037.63),(40 164718.56),(41 165331.75),(42 167226.89),(43 169132.11),(44 171873.66),(45 173373.23),(46 173347.53),(47 172800.66),(48 171568.13),(49 170926.86),(50 170378.3),(51 168425.66),(52 167607.11),(53 167421.16),(54 167895.23),(55 168705.27),(56 169435.78),(57 169084.31),(58 169857.16),(59 170084.58),(60 169428.9),(61 168596.64),(62 167565.66),(63 166302.31),(64 166697.88),(65 166179.73),(66 165724.48),(67 165279.75),(68 165176.88),(69 164335.53),(70 163667.75),(71 162299.11),(72 161790.05),(73 161492.47),(74 159943.78),(75 158622.55),(76 156968.58),(77 156308.36),(78 157172.67),(79 157064.25),(80 156225.67),(81 154670.36),(82 154226.27),(83 153249.34),(84 153535.97),(85 154075.34),(86 154669.38),(87 155327.75),(88 155050.23),(89 156138.78),(90 157024.7),(91 158671.88),(92 159705.88),(93 160678.95),(94 162024.81),(95 163302.78),(96 163521.84),(97 163417.11),(98 164405.61),(99 164746.9),(100 164604.98),(101 164687.89),(102 164847.11),(103 165780.95),(104 165171.75),(105 165933.23),(106 166739.11),(107 167815.3),(108 169066.89),(109 168175.05),(110 168604.58),(111 170072.23),(112 168851.88),(113 166656.86),(114 165486.77),(115 164348.63),(116 164274.9),(117 164484.38),(118 164350.19),(119 164621.2),
(1 31393.242),(2 55992.75),(3 76878.8),(4 93769.75),(5 107900.43),(6 119481.11),(7 128131.836),(8 135974.19),(9 143294.89),(10 149335.8),(11 152371.94),(12 155307.94),(13 157509.83),(14 157116.19),(15 156481.31),(16 155944.48),(17 155898.19),(18 155936.95),(19 154443.8),(20 154349.75),(21 153472),(22 154581.02),(23 155558.19),(24 156310.19),(25 156303.48),(26 157203.33),(27 158315.14),(28 160756.39),(29 161213.23),(30 161414.03),(31 162098.33),(32 163410.31),(33 162838.8),(34 162574.1),(35 161771.75),(36 161287.89),(37 161260.06),(38 163252.69),(39 163366.39),(40 162005.67),(41 163205.78),(42 164361.19),(43 163917.9),(44 163912.19),(45 162597.58),(46 159578.5),(47 157923.19),(48 156296.19),(49 154814.97),(50 151968.56),(51 151255.73),(52 151509.81),(53 151050.11),(54 150330.02),(55 148558.78),(56 148512.36),(57 148592.06),(58 150752.69),(59 151102.64),(60 151678.89),(61 151939.31),(62 150846.06),(63 150823.05),(64 151501.69),(65 151998.45),(66 152431.89),(67 152075.1),(68 151190.58),(69 150609.19),(70 149013.05),(71 147274.66),(72 146926.13),(73 146229.5),(74 146110.28),(75 146923.1),(76 147297.64),(77 149808.45),(78 153587.16),(79 156148.16),(80 156840.73),(81 157029.45),(82 158121.69),(83 157779.06),(84 157251.34),(85 157621.45),(86 157514.89),(87 158273.75),(88 158674.42),(89 158061.56),(90 159723.95),(91 159976.84),(92 160279),(93 158381.98),(94 158511.2),(95 160014.6),(96 160116.52),(97 160201.95),(98 160880.53),(99 161529.05),(100 161858.83),(101 161140.75),(102 160409.83),(103 158833.06),(104 158391.55),(105 159239.36),(106 159626.38),(107 160199.58),(108 162277.38),(109 161324.98),(110 160992.56),(111 158943.53),(112 158958.19),(113 158139.1),(114 157839.95),(115 158091.83),(116 158078.28),(117 157447.05),(118 155800.52),(119 154110.64),
(1 36474.785),(2 64626.72),(3 86964.836),(4 103025.95),(5 115075.27),(6 124437.37),(7 134267.45),(8 143616.3),(9 147969.94),(10 152519.67),(11 155728.06),(12 159475.3),(13 162696),(14 165162.6),(15 167777.63),(16 167755.4),(17 167451.84),(18 167594.22),(19 168215.36),(20 168305.13),(21 169231.89),(22 169079.56),(23 166665.42),(24 166439.73),(25 165800.61),(26 164750.02),(27 165884.03),(28 167243.14),(29 166957.14),(30 165682.5),(31 165964.58),(32 166357.13),(33 168915.64),(34 167652.47),(35 166339.06),(36 166143.83),(37 166071.33),(38 165476.27),(39 164331.38),(40 163852.63),(41 162636.8),(42 161807.03),(43 160771.9),(44 159199.83),(45 158430.2),(46 158328.5),(47 158447.95),(48 158572.95),(49 159059.25),(50 160124.4),(51 162681.19),(52 164497.67),(53 166957.36),(54 167387.66),(55 168070.4),(56 166732.3),(57 164523.78),(58 163505.72),(59 161718.38),(60 160956.06),(61 159260.06),(62 160791.94),(63 161965.22),(64 160875.39),(65 161255.36),(66 163213.2),(67 163489.97),(68 164052.47),(69 163993),(70 163684.95),(71 162969.34),(72 160915.3),(73 159144.42),(74 158513),(75 157661.36),(76 157292.08),(77 158210.88),(78 159394.56),(79 159620.73),(80 158652.81),(81 159203.8),(82 159920.83),(83 160088.77),(84 158310.97),(85 157135.64),(86 156323.7),(87 158506.63),(88 158881.56),(89 159498.44),(90 160247.92),(91 159433.39),(92 159589.1),(93 160803.38),(94 160887.88),(95 162294.33),(96 162369.13),(97 163611.1),(98 163893.19),(99 163247.13),(100 163829.08),(101 165345.83),(102 165545.66),(103 164926.92),(104 163285.4),(105 162949.17),(106 161936.44),(107 163472.53),(108 163207.63),(109 164287.77),(110 164164.86),(111 161781.4),(112 160742.44),(113 161531.44),(114 159810.6),(115 160675.13),(116 159881.03),(117 157741.3),(118 158457.33),(119 159350.14),
