q, (a, b, c)
1.5, (-594765782658.889, 808685.5544595141, 594756493517.638)
2.5, (-160693542943.3864, 141878.244414581, 160687347463.3427)
3.5, (-59115399.22601316, 12.529293442309198, 42785366.58348903)
4.5, (-44158306.32971187, 9.8114772538987, 32007509.36090252)
5.5, (-42064096.36341854, 8.029010840413429, 28200886.19395317)
6.5, (-35461589.16766906, 8.118125911508999, 24470917.074167084)
7.5, (-34832110.77171909, 10.985893466156611, 26306061.286280114)
8.5, (-26294219.21654751, 12.434775783954203, 21125345.047754515)
9.5, (-22348515.531541847, 7.119743301310835, 15732000.666578947)
10.5, (-20221795.716068637, 6.43598310352292, 14382255.925372034)
11.5, (-17720339.211537857, 6.905189884689528, 12712823.488888556)
12.5, (-13313283.780927949, 5.844370024129913, 9145782.916250834)
13.5, (-10119142.336615816, 6.208636913218546, 7539326.654150668)
14.5, (-8768170.002409033, 5.026967975907632, 6199406.465494149)
15.5, (-8474704.933461346, 4.658157281978903, 5990425.526632625)
16.5, (-9385992.579076456, 3.1224216252302823, 5909186.595441722)
17.5, (-7319398.791265406, 3.6240559404653068, 4940671.560671463)
18.5, (-6947492.9000031315, 4.308497784920739, 4851768.641735965)
19.5, (-5981764.478843141, 4.458622695369119, 4236041.202197053)
20.5, (-5471561.7415116755, 3.836192377492625, 3733887.8506864067)
21.5, (-4572960.359794714, 4.058594951676556, 3354815.719532814)
22.5, (-4107843.6935006054, 5.403702412576651, 3334143.7841440784)
23.5, (-4483040.154508701, 3.0237654172378567, 3002547.230983191)
24.5, (-3559284.6557600084, 2.9994840965880076, 2377880.541033362)
25.5, (-3477498.6174551887, 3.126930008081206, 2347454.5960705136)
26.5, (-2765103.4506122796, 3.5608348199548336, 2041647.617726033)
27.5, (-2307606.122874863, 5.046445757141384, 1945514.6815452687)
28.5, (-1987499.9499661294, 5.534930483635105, 1747125.1149036095)
29.5, (-1749506.4074742189, 5.372900551177617, 1569305.7985807362)
30.5, (-1584014.5248168984, 4.994522587005006, 1425989.6954851511)
31.5, (-1551785.940389897, 4.4092507958054545, 1295178.677476958)
32.5, (-1553838.8743685246, 4.128324132267923, 1264442.7357881987)
33.5, (-1401996.051056945, 3.857225378105493, 1130794.3534410691)
34.5, (-1224519.8924462576, 3.7094947160148672, 978945.2920475422)
35.5, (-1177855.6488871973, 3.7907320748248585, 933684.6905141502)
