q, (a, b, c)
1.5, (-3720447.462832515, 12.699682293216847, 3378995.858388801)
2.5, (-6856106.619143986, 27.344138676799506, 6660400.172727843)
3.5, (-5278821.264484228, 12.427959655207006, 4625146.556907987)
4.5, (-4798705.075808964, 10.856298694439662, 4017356.627208055)
5.5, (-3813531.773491578, 12.506742131289656, 3478329.2269194047)
6.5, (-4384471.711408921, 7.5814028040825825, 3422252.7368790926)
7.5, (-5607654.313608211, 8.385220731831458, 4444896.40909962)
8.5, (-4619741.3829616895, 15.051909863819935, 4282878.301000981)
9.5, (-3967917.467398094, 11.365660329021619, 3508330.6688027577)
10.5, (-4467431.865129356, 13.877740309285324, 4015599.6350461696)
11.5, (-4905147.9412862295, 9.813721433128107, 4075019.2864220734)
12.5, (-4174327.9710784545, 19.84384237073771, 4160778.6461917665)
13.5, (-3729451.227529885, 11.638148608761139, 3271163.4521293654)
14.5, (-3516794.1411635624, 13.07171001672263, 3293672.5136683793)
15.5, (-3465252.5738018826, 17.071739109712063, 3508780.411649191)
16.5, (-3020986.4597156043, 11.31079679211816, 2756617.558652213)
17.5, (-2739813.6931368206, 19.859242356771404, 2903306.0489532887)
18.5, (-3305460.306225618, 51.70496227550708, 3910291.1497017606)
19.5, (-2464794.6265823226, 10.866843672545091, 2308924.8287841575)
20.5, (-2488994.354622121, 11.623484875069853, 2342846.5738346404)
21.5, (-2564032.76417305, 18.23598806606318, 2620750.0241244873)
22.5, (-2207883.274766927, 18.751122133028307, 2360123.591341684)
23.5, (-2166728.4395416607, 17.514540107047754, 2280698.094863337)
24.5, (-1867554.4308774038, 21.57141698582071, 2057639.809781757)
25.5, (-1796989.6586247175, 24.544439849113974, 2046915.7580181784)
26.5, (-1554185.3552938632, 14.186264504901148, 1706196.2816308716)
27.5, (-1748703.176703782, 16.505183942011584, 1950972.9865090733)
28.5, (-1538120.4855349525, 9.345838593245514, 1482239.232343658)
29.5, (-1368410.0080115062, 12.71434611493808, 1468884.650262015)
30.5, (-1220682.4330372596, 18.06073281662105, 1454056.9204758233)
31.5, (-1173679.5815771478, 12.715770750269892, 1281490.1271833382)
32.5, (-1047544.9692958916, 11.53293765777405, 1158265.4555042835)
