1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 102826.195),(2 255637.83),(3 437973.1),(4 606098.5),(5 696365.4),(6 710559.3),(7 702168.44),(8 672715.7),(9 648507.5),(10 656914.25),(11 747219.5),(12 864126.5),(13 1026524.7),(14 1196193),(15 1303391.5),(16 1399181.6),(17 1461475.6),(18 1500172.1),(19 1518451.1),(20 1547029.6),(21 1592660.4),(22 1691912),(23 1852671.9),(24 2069864.4),(25 2223146),(26 2302490.8),(27 2361929.8),(28 2407018.8),(29 2426107.8),(30 2411339.8),(31 2440861.3),(32 2458654),(33 2573552.5),(34 2713486),(35 2939532.3),(36 3097802.3),(37 3086357.3),(38 3006163.3),(39 2915026.3),(40 2755094.8),(41 2555595.8),(42 2429140),(43 2423481),(44 2411470.3),(45 2455682),(46 2416779.3),(47 2358406.8),(48 2179584.8),(49 2023196.5),(50 1846565.1),(51 1658611),(52 1512476),(53 1447152),(54 1475790.9),(55 1552945),(56 1646993.5),(57 1716521.6),(58 1738543),(59 1624371.6),(60 1490908),(61 1377929.1),(62 1374948.1),(63 1410644),(64 1474930.5),(65 1629315.1),(66 1777642.4),(67 1920042.6),(68 1985534.9),(69 2006126.6),(70 1949728.4),(71 1849807.6),(72 1769958.4),(73 1754165),(74 1860152),(75 2004346.1),(76 2142594.3),(77 2286526.3),(78 2374193),(79 2434135),
(1 87634.55),(2 220111),(3 375122.06),(4 508052.66),(5 656942.6),(6 763650.3),(7 827442.06),(8 833002.7),(9 832796.4),(10 866863.3),(11 931052.8),(12 1016866.8),(13 1122737),(14 1260982.3),(15 1353926),(16 1440964.3),(17 1509750.6),(18 1531666),(19 1554384.6),(20 1593337.8),(21 1643260.3),(22 1749232.3),(23 1885508.8),(24 2018168.8),(25 2126486.5),(26 2187241.5),(27 2232462),(28 2259872),(29 2242160),(30 2233325),(31 2194022.5),(32 2156224),(33 2116872.8),(34 2087692.3),(35 2090851.3),(36 2110764.8),(37 2089751.8),(38 2060658.4),(39 2031160),(40 1991552),(41 1938068.3),(42 1843352),(43 1834898.3),(44 1822975.4),(45 1769906.8),(46 1746105),(47 1718682.8),(48 1705515.4),(49 1721155.6),(50 1718424),(51 1695398.4),(52 1736940.6),(53 1787543.8),(54 1790390.8),(55 1795796.4),(56 1830379.6),(57 1817792.8),(58 1785445.6),(59 1742053.8),(60 1707767.4),(61 1659165.8),(62 1630774.4),(63 1617724.5),(64 1665188.3),(65 1690449.8),(66 1686873.6),(67 1671885.3),(68 1663610.1),(69 1655257.8),(70 1677112.6),(71 1674093.3),(72 1660375.4),(73 1610024.8),(74 1583919.8),(75 1581842),(76 1656185.8),(77 1687723.6),(78 1696269.3),(79 1702918),
(1 96631.12),(2 267212.13),(3 440491.84),(4 599976.5),(5 744155.44),(6 840891),(7 928556),(8 990487),(9 1036003.06),(10 1100362.6),(11 1199056),(12 1306349.9),(13 1417045.4),(14 1528485.9),(15 1632037.5),(16 1692245.4),(17 1714949),(18 1712107.5),(19 1660032.1),(20 1638715.6),(21 1638713),(22 1708897.1),(23 1822330),(24 1931524.1),(25 2040932.9),(26 2146996.8),(27 2212341),(28 2244421.8),(29 2263491.5),(30 2284172),(31 2315316.8),(32 2385288.8),(33 2449031),(34 2468875.5),(35 2525575.5),(36 2616831.3),(37 2662370.8),(38 2658847.5),(39 2639259),(40 2589118.3),(41 2548696.5),(42 2521866.3),(43 2529912.8),(44 2567840),(45 2595235.3),(46 2615541.8),(47 2654109.5),(48 2670290.3),(49 2668611.8),(50 2668484.5),(51 2670460.8),(52 2701439.8),(53 2787590.8),(54 2830112.8),(55 2866515.8),(56 2950494),(57 2933155.8),(58 2900915.3),(59 2834700.8),(60 2758507.3),(61 2709686.3),(62 2660957.8),(63 2698841.3),(64 2777942),(65 2817480.8),(66 2819266),(67 2800404.3),(68 2776635.8),(69 2724312),(70 2660919.8),(71 2574309.5),(72 2604423.5),(73 2663416.5),(74 2714351.8),(75 2758699.8),(76 2787789),(77 2761815.8),(78 2751859),(79 2705045),
(1 91591.39),(2 278710.13),(3 484800.44),(4 662940.5),(5 795877.7),(6 898997.8),(7 995958.7),(8 1073220.6),(9 1177925.6),(10 1308951.6),(11 1426998.9),(12 1565864),(13 1726034.1),(14 1861768.5),(15 2006987.5),(16 2131645.3),(17 2213170.5),(18 2283442.8),(19 2320248.5),(20 2407127.5),(21 2486127.3),(22 2632505.3),(23 2801791.5),(24 2983171),(25 3205069.5),(26 3351513.5),(27 3435321.8),(28 3500033),(29 3535118.3),(30 3547752),(31 3576636.3),(32 3602051.3),(33 3619677.3),(34 3634344.8),(35 3691716.5),(36 3729232),(37 3729237.3),(38 3713413),(39 3660469),(40 3631282.3),(41 3593608.5),(42 3559607),(43 3542685.3),(44 3535961.8),(45 3572502.3),(46 3579452.5),(47 3563721),(48 3549384.5),(49 3508487.3),(50 3457333),(51 3445581),(52 3441720.5),(53 3433442.8),(54 3437466.3),(55 3466049),(56 3469241),(57 3426557.3),(58 3375532.5),(59 3329591),(60 3329920.5),(61 3347540),(62 3444819.5),(63 3460037),(64 3476939),(65 3509733),(66 3534403),(67 3530751),(68 3533797.8),(69 3521068),(70 3507116.8),(71 3529419.5),(72 3600090.5),(73 3671085.3),(74 3752999),(75 3803506.8),(76 3829956),(77 3854999.5),(78 3881867.5),(79 3931797.3),
(1 96172.05),(2 290450.72),(3 499735.9),(4 686792.44),(5 850565.56),(6 965293.06),(7 1028580.75),(8 1061565.8),(9 1110846.9),(10 1207716.8),(11 1353121),(12 1537466),(13 1749306.5),(14 1971124.4),(15 2163607.3),(16 2271474.5),(17 2360075.8),(18 2439267),(19 2459369.8),(20 2515349.8),(21 2577584.5),(22 2731851.5),(23 2923127.8),(24 3150077.5),(25 3340677.5),(26 3440583.3),(27 3513479),(28 3585696),(29 3597159.3),(30 3605108.3),(31 3622681.5),(32 3646608),(33 3681291.8),(34 3756435),(35 3827747.8),(36 3849221),(37 3851036),(38 3822360.8),(39 3725045.8),(40 3639294.3),(41 3547645.8),(42 3492250.3),(43 3505438.3),(44 3511509.8),(45 3582322.3),(46 3673707),(47 3709828.3),(48 3683426.3),(49 3642632.3),(50 3584511),(51 3574484.8),(52 3588933),(53 3655663.3),(54 3721017.5),(55 3848373),(56 3976550.3),(57 4028915.8),(58 4094555.8),(59 4156211.8),(60 4205774),(61 4220062),(62 4302026),(63 4427976.5),(64 4522402.5),(65 4688788),(66 4864958),(67 4963359.5),(68 5037603.5),(69 5114530.5),(70 5183370),(71 5217776),(72 5238766),(73 5294889.5),(74 5385734.5),(75 5512822),(76 5594122),(77 5633704.5),(78 5664283),(79 5695831.5),
(1 91139.336),(2 263473.56),(3 450083.5),(4 622860),(5 744689.7),(6 798240.44),(7 806973.6),(8 809025.94),(9 832670.5),(10 891830.6),(11 998170.8),(12 1126741.9),(13 1273760.5),(14 1403366),(15 1497344.6),(16 1576081.3),(17 1611736.4),(18 1639884.4),(19 1650312.6),(20 1673254),(21 1722171.8),(22 1854589),(23 2059645.8),(24 2327894.8),(25 2539131.3),(26 2702070.3),(27 2789399.3),(28 2865235),(29 2898008.8),(30 2904953.3),(31 2955334),(32 2993554),(33 3044032.5),(34 3144866.5),(35 3203168),(36 3269649.3),(37 3310796.5),(38 3305946.5),(39 3270143.5),(40 3235263.3),(41 3184876.8),(42 3175369.5),(43 3194239.3),(44 3237003.3),(45 3284522.8),(46 3312612.3),(47 3310842.3),(48 3206942),(49 3086223.8),(50 2988282.5),(51 2897103.5),(52 2809810),(53 2766864),(54 2691853.5),(55 2666720.8),(56 2656127.8),(57 2629176.5),(58 2603415.5),(59 2580548.8),(60 2537155.5),(61 2455337),(62 2402980.5),(63 2372779.5),(64 2388898),(65 2442047.5),(66 2477719.8),(67 2523588),(68 2530640.5),(69 2518828),(70 2479260.8),(71 2454347.5),(72 2443003.5),(73 2427215.5),(74 2416121.5),(75 2437034.5),(76 2479151.3),(77 2536090),(78 2557656),(79 2565520.5),
(1 80846.375),(2 233675.44),(3 410514.56),(4 579031.44),(5 720061.06),(6 806165.9),(7 865476.9),(8 921356.6),(9 963100.75),(10 1020105.75),(11 1113081.9),(12 1241017.8),(13 1394644),(14 1571625.1),(15 1712797.8),(16 1814046.9),(17 1884165.5),(18 1928016),(19 1985433.5),(20 2068357.4),(21 2130840.8),(22 2278189.5),(23 2471303.5),(24 2690401.3),(25 2899188.5),(26 3062042.8),(27 3174632),(28 3283657.3),(29 3321725),(30 3381097),(31 3474703.5),(32 3571237),(33 3677513.8),(34 3819311.8),(35 3950037),(36 4078365.3),(37 4177306.5),(38 4224419),(39 4243662),(40 4236977),(41 4210468.5),(42 4182610.5),(43 4207837.5),(44 4237313),(45 4304140),(46 4345839.5),(47 4337330.5),(48 4293934.5),(49 4256915.5),(50 4172647.5),(51 4102550.8),(52 4003019.5),(53 3922521.3),(54 3885278.8),(55 3877681.8),(56 3900066.5),(57 3887704),(58 3825565.8),(59 3740564),(60 3665490.8),(61 3590638.8),(62 3511200.3),(63 3481292.5),(64 3499557),(65 3567891.5),(66 3632602.5),(67 3658545),(68 3669316),(69 3682738.5),(70 3677987),(71 3687279.8),(72 3689352.5),(73 3691780.5),(74 3766702.3),(75 3825644.5),(76 3920163.5),(77 4017196.5),(78 4111802.5),(79 4157196.3),
(1 103636.64),(2 301541.34),(3 505566.97),(4 691981.06),(5 845063.6),(6 967288.56),(7 1049741.8),(8 1096783.1),(9 1145220.3),(10 1230932),(11 1343147.6),(12 1489835.9),(13 1649012.3),(14 1832880.4),(15 1996376.1),(16 2125853.3),(17 2233454.8),(18 2307581.8),(19 2364250.3),(20 2423666.3),(21 2489907.5),(22 2624933.3),(23 2787811),(24 2964815),(25 3165705.5),(26 3325938.5),(27 3447816),(28 3525998.5),(29 3573387.8),(30 3642049),(31 3717672.3),(32 3792683.8),(33 3919033.5),(34 4061762.3),(35 4174335.3),(36 4255147.5),(37 4289775),(38 4289183.5),(39 4254370),(40 4227745.5),(41 4153758.3),(42 4126019.5),(43 4126111),(44 4196965),(45 4271458.5),(46 4343993),(47 4359000),(48 4333413),(49 4270246),(50 4164417.5),(51 4085000),(52 4026575),(53 3991089.5),(54 3948607),(55 3903589.5),(56 3873684.8),(57 3848121),(58 3786097),(59 3681557.8),(60 3578693.8),(61 3460968.8),(62 3368295.5),(63 3267395.5),(64 3205157),(65 3195082.8),(66 3229157.8),(67 3256869.3),(68 3247011),(69 3241688),(70 3206859.8),(71 3117908.5),(72 3051934.8),(73 3031899.3),(74 3039964.8),(75 3039076),(76 3079463.8),(77 3146239.8),(78 3184651.8),(79 3180223.5),
(1 105856.88),(2 310527.84),(3 540266.2),(4 764075.44),(5 940124.1),(6 1075301.8),(7 1186731),(8 1253145),(9 1330630),(10 1443906.3),(11 1600367.5),(12 1801322.1),(13 2041197.6),(14 2252511),(15 2411266),(16 2549733.8),(17 2645604.5),(18 2719294.5),(19 2739858),(20 2758203.8),(21 2795739.8),(22 2887179.8),(23 3041013),(24 3235250.8),(25 3415011.5),(26 3554694),(27 3653946.8),(28 3690821.8),(29 3703238.8),(30 3720816.5),(31 3771438.5),(32 3854528.5),(33 3974896),(34 4071954.3),(35 4162196.8),(36 4243486),(37 4296471.5),(38 4328412),(39 4324784),(40 4332033),(41 4331176),(42 4370434),(43 4493621),(44 4583237.5),(45 4658745),(46 4707924.5),(47 4769531),(48 4793217),(49 4789009.5),(50 4773239.5),(51 4790783),(52 4877799.5),(53 4981243.5),(54 5085952.5),(55 5218421.5),(56 5345592.5),(57 5472398),(58 5534230),(59 5554644),(60 5580723),(61 5664632),(62 5743291.5),(63 5837418),(64 5936613.5),(65 6067451),(66 6191741),(67 6259892),(68 6320892),(69 6354367),(70 6387903),(71 6446243),(72 6486415),(73 6505607.5),(74 6522984.5),(75 6480552.5),(76 6464248.5),(77 6423469),(78 6348137.5),(79 6301884),
(1 105676.21),(2 314772.03),(3 537611.7),(4 741319.25),(5 925287.75),(6 1058739.3),(7 1150584),(8 1205171.4),(9 1261537.5),(10 1349265.4),(11 1493124.5),(12 1678889.8),(13 1872195.5),(14 2041917.8),(15 2173033),(16 2284448.5),(17 2340154.3),(18 2336690.5),(19 2320683.8),(20 2316897.3),(21 2343770),(22 2414748),(23 2517697.3),(24 2664692.8),(25 2805891.3),(26 2906912.5),(27 2946317.5),(28 2941572.5),(29 2922978.3),(30 2915937.3),(31 2916957),(32 2962738.8),(33 3022143.5),(34 3090929),(35 3136381.8),(36 3165101),(37 3186781.3),(38 3183939),(39 3164496.5),(40 3150376.8),(41 3130939),(42 3154231),(43 3218180),(44 3292473),(45 3343978.8),(46 3344077),(47 3336942.5),(48 3353984.3),(49 3338677.3),(50 3306417.8),(51 3272820.5),(52 3300032.3),(53 3317064.5),(54 3343393),(55 3356836),(56 3366607),(57 3375661),(58 3368488),(59 3318210.5),(60 3262893.3),(61 3222930.5),(62 3178314.5),(63 3161741),(64 3170159.5),(65 3202137.8),(66 3203199.8),(67 3174130.5),(68 3148445),(69 3100696.5),(70 3039631),(71 2987205),(72 2937279.8),(73 2908916),(74 2878946.3),(75 2860254.5),(76 2866818.3),(77 2835732.5),(78 2793088),(79 2731373),
(1 111183.05),(2 323463.3),(3 552036.4),(4 751564.6),(5 899779.9),(6 1000410.56),(7 1051640.4),(8 1084213.6),(9 1124127.1),(10 1198325.4),(11 1316956.5),(12 1483348.6),(13 1655402),(14 1807415),(15 1943930.5),(16 2050248),(17 2127257.5),(18 2138336),(19 2150565.8),(20 2172139.5),(21 2221402),(22 2352622),(23 2528666.8),(24 2699738.8),(25 2831115.8),(26 2933134),(27 2995906),(28 3002217.5),(29 3016243.8),(30 3038436.3),(31 3048961),(32 3082223),(33 3151347.5),(34 3261963.5),(35 3339234),(36 3412115),(37 3458882),(38 3516989.5),(39 3557424.5),(40 3568861.8),(41 3560713.5),(42 3581609.3),(43 3637855.5),(44 3731081.5),(45 3769937.5),(46 3776092.8),(47 3769320),(48 3755245.8),(49 3737626.8),(50 3690702.8),(51 3654019.3),(52 3648531),(53 3689617.5),(54 3717887.8),(55 3732594),(56 3741550.8),(57 3745291.8),(58 3730417.5),(59 3683729.5),(60 3601682.8),(61 3520341),(62 3452481),(63 3385770.5),(64 3349839),(65 3351907),(66 3351306.5),(67 3345260.3),(68 3313506),(69 3285037.8),(70 3216821.3),(71 3170563.5),(72 3109638.5),(73 3048024.3),(74 3013789.8),(75 3027425.5),(76 3055266),(77 3064928.3),(78 3087001.8),(79 3096874.8),
