1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 663078.44),(2 1602178.6),(3 2694339.8),(4 3852235.8),(5 4754532.5),(6 4970345.5),(7 5159975.5),(8 5231249.5),(9 5196501.5),(10 5107903),(11 5086398.5),(12 5454230.5),(13 5965649.5),(14 6717994.5),(15 7878249.5),(16 9113421),(17 10068348),(18 10888941),(19 11512120),(20 11894093),(21 11952296),(22 12372125),(23 12834436),(24 13524633),(25 14339904),(26 15269632),(27 16430761),(28 17821526),(29 19366390),(30 21122482),(31 22587632),(32 24177362),(33 25596794),(34 26735682),(35 28006406),(36 29589878),(37 30807352),(38 31830696),(39 32700656),(40 33741530),(41 34593900),(42 35685772),(43 36522610),(44 36630508),(45 37207544),(46 37669244),(47 38361940),(48 38776348),(49 38945148),(50 38593704),(51 38157812),(52 37577490),(53 36893532),(54 35833124),(55 34563740),(56 33223454),(57 32077306),(58 31223658),(59 30840822),(60 32647066),(61 33498934),(62 31814728),(63 30841136),(64 30495238),(65 29988024),(66 29544514),(67 28928546),(68 28105522),(69 27482694),(70 27244840),(71 27148016),(72 27545466),(73 28026670),(74 28451350),(75 28936328),(76 29335702),(77 29864030),(78 30401272),(79 30894344),
(1 618293.5),(2 1650246.9),(3 2906399.8),(4 4137682.5),(5 5207959.5),(6 5794735),(7 6294233.5),(8 6610561.5),(9 6829750.5),(10 7046501.5),(11 7237512),(12 7598535),(13 8142043),(14 9039562),(15 9953304),(16 11017283),(17 12242583),(18 13384359),(19 14580434),(20 15317731),(21 15867280),(22 16237917),(23 16575525),(24 16765483),(25 17007264),(26 17419756),(27 17872956),(28 18381562),(29 19107928),(30 19914572),(31 20628994),(32 21220126),(33 21787178),(34 22216390),(35 22510224),(36 22726416),(37 22897176),(38 22888956),(39 22719500),(40 22708962),(41 22604134),(42 22621128),(43 22425782),(44 22168746),(45 21927912),(46 21690720),(47 21583200),(48 21343200),(49 21235398),(50 21137500),(51 21039244),(52 20919548),(53 20751768),(54 20442832),(55 20009018),(56 19512132),(57 19128822),(58 18848170),(59 18546828),(60 19100264),(61 19360314),(62 18562858),(63 18149346),(64 17910788),(65 17581990),(66 17225356),(67 16742726),(68 16337762),(69 16099893),(70 15958525),(71 15879194),(72 15822006),(73 15645706),(74 15660410),(75 15865102),(76 15912147),(77 16079928),(78 16097440),(79 16434010),
(1 600079.94),(2 1590173.6),(3 2875196.3),(4 4047237),(5 4883269.5),(6 5343738),(7 5710030),(8 6016262.5),(9 6425310.5),(10 6811558.5),(11 7095680),(12 7441947.5),(13 7949604),(14 8708935),(15 9514319),(16 10495481),(17 11392861),(18 12329468),(19 13454125),(20 14254771),(21 14873983),(22 15232832),(23 15653641),(24 16069121),(25 16183267),(26 16374965),(27 16675997),(28 17006622),(29 17738952),(30 18472266),(31 19257358),(32 19998798),(33 20713834),(34 21301990),(35 21863024),(36 21903666),(37 22129306),(38 22098994),(39 21872834),(40 21525322),(41 21241534),(42 20756926),(43 20321654),(44 19862182),(45 19532242),(46 19462118),(47 19512228),(48 19535558),(49 19664722),(50 19687922),(51 19215634),(52 18742636),(53 18122750),(54 17444482),(55 16632056),(56 15859819),(57 15087412),(58 14300264),(59 13517221),(60 13869699),(61 13941515),(62 13024244),(63 12780615),(64 12365901),(65 11947757),(66 11509957),(67 11103363),(68 10676203),(69 10186109),(70 9770882),(71 9514815),(72 9282837),(73 9120507),(74 9135995),(75 9214499),(76 9380317),(77 9508501),(78 9694657),(79 10092768),
(1 672670.25),(2 1686245.5),(3 2897561.8),(4 4008209.8),(5 4898806),(6 5318858),(7 5706563.5),(8 5852531.5),(9 5872734),(10 5795516),(11 5722662),(12 5884158),(13 6237263),(14 7106226.5),(15 8267955.5),(16 9499156),(17 10643742),(18 11616141),(19 12540878),(20 12938064),(21 13126169),(22 13039670),(23 13014496),(24 12941381),(25 12720124),(26 12700556),(27 12850841),(28 13139834),(29 13588884),(30 14251451),(31 14751100),(32 15357630),(33 16003097),(34 16369180),(35 16499826),(36 16299225),(37 15946112),(38 15426688),(39 14794111),(40 14327509),(41 14009292),(42 13756268),(43 13831669),(44 13935161),(45 13919992),(46 14262048),(47 14481027),(48 14819284),(49 15179893),(50 15256562),(51 15224574),(52 15092190),(53 14928204),(54 14629551),(55 14416398),(56 14199679),(57 14086670),(58 13956008),(59 13868000),(60 14505311),(61 14884935),(62 14627450),(63 14913492),(64 15166807),(65 15182181),(66 15102699),(67 15021986),(68 14881135),(69 14815851),(70 14693354),(71 14668533),(72 14687895),(73 14748630),(74 14801961),(75 14883640),(76 14738996),(77 14450977),(78 14399780),(79 14479650),
(1 692625.56),(2 1715247.6),(3 2834908.3),(4 3780877.5),(5 4505136),(6 4849284.5),(7 5104618),(8 5149905),(9 5241097.5),(10 5140765.5),(11 4930692.5),(12 4742768.5),(13 4792251.5),(14 5237414),(15 6001239.5),(16 6883316.5),(17 7719563.5),(18 8489137),(19 9127608),(20 9412796),(21 9651017),(22 9829494),(23 10007633),(24 10172378),(25 10256650),(26 10471695),(27 10923669),(28 11709852),(29 12495113),(30 13338537),(31 13969392),(32 14295779),(33 14561892),(34 14686329),(35 14765388),(36 14593097),(37 14484560),(38 14177201),(39 13769949),(40 13426525),(41 13290863),(42 13125801),(43 13001172),(44 13049894),(45 12960905),(46 12902266),(47 12703498),(48 12679939),(49 12784890),(50 12740023),(51 12581329),(52 12373193),(53 12193913),(54 12109347),(55 12058471),(56 12026676),(57 11999280),(58 12066536),(59 12117931),(60 13194886),(61 13936617),(62 13854038),(63 14124934),(64 14355712),(65 14424688),(66 14483645),(67 14507025),(68 14527785),(69 14620778),(70 14643092),(71 14693879),(72 14784912),(73 14858753),(74 14906054),(75 14929508),(76 14695887),(77 14402086),(78 14339785),(79 14460375),
(1 662908.4),(2 1712021.8),(3 3053027.5),(4 4227073.5),(5 5211976),(6 5737059),(7 6133113),(8 6278009),(9 6291642.5),(10 6339920.5),(11 6318103.5),(12 6303923),(13 6347978.5),(14 6668807),(15 7406947),(16 8205806.5),(17 9052190),(18 9878027),(19 10779829),(20 11712128),(21 12305221),(22 12871006),(23 13085462),(24 13227091),(25 13201950),(26 13258397),(27 13045470),(28 13065432),(29 13203790),(30 13446622),(31 13605907),(32 13790422),(33 14004133),(34 14280846),(35 14702130),(36 14972581),(37 15224269),(38 15393821),(39 15498141),(40 15601750),(41 15595165),(42 15203706),(43 14788915),(44 14218016),(45 13906158),(46 13702973),(47 13574786),(48 13685125),(49 14053285),(50 14323757),(51 14338040),(52 14087733),(53 13795926),(54 13473274),(55 13234984),(56 12996880),(57 12896450),(58 12916659),(59 13053384),(60 13801701),(61 14300805),(62 14209598),(63 14387494),(64 14562446),(65 14576301),(66 14570758),(67 14395592),(68 14105842),(69 13879354),(70 13786285),(71 13690989),(72 13647501),(73 13547702),(74 13337668),(75 13176498),(76 12958581),(77 12644037),(78 12447533),(79 12452826),
(1 718505.94),(2 1831512.9),(3 3126609),(4 4251832),(5 5003570),(6 5449279.5),(7 5846067.5),(8 6037924.5),(9 6174537),(10 6115286),(11 5902184.5),(12 5820360.5),(13 5910360),(14 6366253),(15 7135592.5),(16 8034637.5),(17 8805948),(18 9579398),(19 10295868),(20 10813849),(21 10992862),(22 10951621),(23 10954441),(24 10817979),(25 10495361),(26 10388843),(27 10486329),(28 10699898),(29 11074229),(30 11455717),(31 11677972),(32 11656758),(33 11503663),(34 11423724),(35 11531521),(36 11651015),(37 11923845),(38 12073371),(39 12086594),(40 12087858),(41 12187578),(42 12130064),(43 11999434),(44 11670316),(45 11318949),(46 11100289),(47 10956374),(48 11068233),(49 11209631),(50 11221790),(51 11199670),(52 11118955),(53 11161015),(54 11170831),(55 11028993),(56 10761529),(57 10420534),(58 10111472),(59 9969594),(60 10353038),(61 10657136),(62 10698143),(63 10929985),(64 11167947),(65 11278785),(66 11380465),(67 11365134),(68 11337051),(69 11234026),(70 11133522),(71 11067298),(72 11171285),(73 11380290),(74 11609358),(75 11843476),(76 12017924),(77 12077743),(78 12091151),(79 12151014),
(1 775803),(2 1999030.5),(3 3366859.3),(4 4621989),(5 5547590.5),(6 6059942.5),(7 6407737.5),(8 6477919),(9 6366104.5),(10 6148504),(11 5779400.5),(12 5545165),(13 5593946),(14 5874419),(15 6429625),(16 7119569),(17 7918223),(18 8718501),(19 9148794),(20 9481788),(21 9615751),(22 9875770),(23 10031919),(24 9998419),(25 9995899),(26 10161036),(27 10530675),(28 11027898),(29 11767242),(30 12537993),(31 13179002),(32 13683767),(33 14179351),(34 14463942),(35 14752813),(36 14995979),(37 15394242),(38 15667843),(39 15773618),(40 15851226),(41 16036973),(42 16140074),(43 16221212),(44 16106508),(45 15815975),(46 15667134),(47 15513579),(48 15459231),(49 15435982),(50 15397854),(51 15335074),(52 15137265),(53 14813238),(54 14391393),(55 13992951),(56 13514490),(57 13005769),(58 12652442),(59 12413500),(60 12676231),(61 12917254),(62 12864569),(63 13044369),(64 13121746),(65 12929860),(66 12649859),(67 12249245),(68 11797391),(69 11438477),(70 11183932),(71 11012295),(72 11102631),(73 11257385),(74 11451514),(75 11675715),(76 11912020),(77 11940156),(78 11863490),(79 11882418),
(1 820835.6),(2 2045635.8),(3 3455467),(4 4502465),(5 5293092.5),(6 5679729.5),(7 6053995.5),(8 6243084.5),(9 6329572.5),(10 6170505),(11 5839345.5),(12 5582708.5),(13 5671839.5),(14 6145857),(15 7086220),(16 8012525),(17 8816843),(18 9650709),(19 10240808),(20 10551255),(21 10562737),(22 10555195),(23 10625672),(24 10682662),(25 10618364),(26 10842010),(27 11260072),(28 11970528),(29 12660467),(30 13381224),(31 13781227),(32 14321976),(33 14898905),(34 15554093),(35 16004393),(36 16386699),(37 16603334),(38 16609547),(39 16587409),(40 16478351),(41 16357355),(42 16053071),(43 15751128),(44 15716736),(45 15712488),(46 15825705),(47 15860194),(48 15915189),(49 15942052),(50 15936708),(51 15812314),(52 15448304),(53 14954815),(54 14298948),(55 13606364),(56 12967253),(57 12523644),(58 12193091),(59 11929048),(60 12079567),(61 12259473),(62 12147456),(63 12091074),(64 12000709),(65 11820198),(66 11476530),(67 11220129),(68 10908275),(69 10718072),(70 10638259),(71 10697607),(72 10836636),(73 11012178),(74 11298507),(75 11485628),(76 11594735),(77 11585626),(78 11607490),(79 11631793),
(1 819994),(2 2022623.5),(3 3433384),(4 4595176),(5 5277735.5),(6 5589025),(7 5733526),(8 5761441),(9 5843181.5),(10 5768659.5),(11 5526767),(12 5281402.5),(13 5288797.5),(14 5669594),(15 6484866.5),(16 7429398.5),(17 8417079),(18 9392461),(19 10051863),(20 10407451),(21 10384164),(22 10184308),(23 9897529),(24 9866091),(25 9926360),(26 10147223),(27 10514520),(28 10976539),(29 11473077),(30 12002254),(31 12294202),(32 12532565),(33 12666760),(34 12680958),(35 12832107),(36 12984677),(37 13324642),(38 13701166),(39 14013436),(40 14179952),(41 14441831),(42 14534062),(43 14606651),(44 14666825),(45 14710878),(46 14970416),(47 15309920),(48 15489223),(49 15538612),(50 15502441),(51 15597653),(52 15544036),(53 15646734),(54 15659852),(55 15537244),(56 15187228),(57 14828084),(58 14494174),(59 14328634),(60 14296052),(61 14321646),(62 14069324),(63 13923191),(64 13618338),(65 13201897),(66 12760409),(67 12303211),(68 11824684),(69 11442586),(70 11233915),(71 11094290),(72 11092505),(73 11150756),(74 11267135),(75 11241665),(76 11255886),(77 11131920),(78 11024116),(79 10969515),
(1 781743.6),(2 1925033.4),(3 3199457),(4 4156779.3),(5 4824099),(6 5167490),(7 5282911.5),(8 5385481.5),(9 5588783.5),(10 5683409.5),(11 5585621.5),(12 5538392.5),(13 5658858),(14 5921987.5),(15 6731926),(16 7621462.5),(17 8449699),(18 9163915),(19 9638503),(20 9972919),(21 10009463),(22 9962054),(23 9718721),(24 9352599),(25 9140395),(26 8945815),(27 8852685),(28 8794055),(29 8874686),(30 8793000),(31 8722835),(32 8696228),(33 8697704),(34 8611155),(35 8679736),(36 8720090),(37 8855564),(38 8954219),(39 8938353),(40 8851298),(41 8815011),(42 8668297),(43 8298506.5),(44 8061515.5),(45 7972965.5),(46 8017452),(47 8250372),(48 8412744),(49 8531164),(50 8659087),(51 8723607),(52 8815774),(53 8790575),(54 8659407),(55 8524494),(56 8377474),(57 8238782),(58 8224532.5),(59 8236322),(60 8561438),(61 8712456),(62 8543966),(63 8417036),(64 8332378.5),(65 8233778),(66 8111702.5),(67 8008272),(68 7872560.5),(69 7714084.5),(70 7550431),(71 7500792.5),(72 7565709),(73 7623338),(74 7670559),(75 7774642),(76 7884684),(77 7804516),(78 7666428),(79 7600311.5),
