1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 1420020.6),(2 3820077.3),(3 8848880),(4 12631069),(5 14162619),(6 14996735),(7 13565416),(8 11994328),(9 11815427),(10 12810357),(11 13942371),(12 14484775),(13 15349973),(14 15335512),(15 15475581),(16 15792013),(17 15298751),(18 14669379),(19 14125469),(20 14380375),(21 14671635),(22 15590681),(23 16783734),(24 18154450),(25 20256010),(26 22912416),(27 26242070),(28 28250562),(29 29449434),(30 29885066),(31 30084480),(32 29028022),(33 27393706),(34 27470234),(35 25937642),(36 26285206),(37 28599430),(38 30601174),(39 33388954),(40 34392104),(41 34460812),(42 34152604),(43 33629812),(44 33396278),(45 33048912),(46 31825282),(47 30291632),(48 29662554),(49 28613898),(50 25536682),(51 21838118),(52 19381358),(53 18454598),(54 19308854),(55 20052024),(56 20590808),(57 21018406),(58 21783808),(59 22246706),(60 22457414),(61 23063208),(62 23595774),(63 24691312),(64 25596314),(65 24875186),(66 24763210),(67 25488354),(68 25329130),(69 25226762),(70 24923434),(71 24626336),(72 25350378),(73 26217914),(74 26963742),(75 28252194),(76 29116342),(77 29386962),(78 30300962),(79 30765442),
(1 1658884.4),(2 4596873.5),(3 9134174),(4 12925390),(5 15131472),(6 17257556),(7 17397864),(8 16765642),(9 16523538),(10 17190372),(11 18146268),(12 19060060),(13 20538436),(14 21520320),(15 22558130),(16 23844094),(17 23830980),(18 22744692),(19 20622202),(20 19294196),(21 18047188),(22 17387464),(23 16817716),(24 16720693),(25 17235954),(26 18326308),(27 21553702),(28 23407042),(29 24334252),(30 25256164),(31 26378572),(32 26158874),(33 24649366),(34 23053868),(35 18873814),(36 18207664),(37 20049958),(38 22834324),(39 26667956),(40 29655750),(41 31357900),(42 32317962),(43 32862956),(44 31859910),(45 30252580),(46 28248588),(47 25934652),(48 25361364),(49 24998800),(50 22943964),(51 20513216),(52 18033708),(53 16631206),(54 17466988),(55 19035032),(56 21186400),(57 23037566),(58 25099302),(59 25583532),(60 25166332),(61 24782286),(62 24245736),(63 25081316),(64 27082992),(65 28086556),(66 30150202),(67 32988662),(68 33924084),(69 33147616),(70 31160326),(71 27745222),(72 26364116),(73 26423526),(74 26511898),(75 26548210),(76 27099132),(77 27128212),(78 27776084),(79 27489856),
(1 1696322.1),(2 4702320),(3 8691957),(4 11435801),(5 13401689),(6 15293621),(7 16141795),(8 16716272),(9 17828052),(10 19989634),(11 22862042),(12 25657354),(13 28687526),(14 31378312),(15 33484122),(16 35238844),(17 36163504),(18 35622576),(19 34975028),(20 34276916),(21 32975088),(22 32092442),(23 29779038),(24 27639312),(25 26119622),(26 26006832),(27 28781642),(28 30657520),(29 32184232),(30 34065780),(31 36637000),(32 36883536),(33 36186880),(34 34403090),(35 30741286),(36 30540262),(37 31977546),(38 35004230),(39 39478508),(40 41737172),(41 43411176),(42 44270610),(43 45746788),(44 46279372),(45 46559956),(46 46936384),(47 46112256),(48 46243540),(49 46497828),(50 44704116),(51 40880084),(52 36187156),(53 33143040),(54 32867690),(55 33354794),(56 34250164),(57 34880100),(58 35921244),(59 35102800),(60 34324450),(61 33038714),(62 31510042),(63 30507426),(64 31123862),(65 31759118),(66 33679260),(67 36498860),(68 37939476),(69 37456490),(70 36525596),(71 34426340),(72 33874460),(73 34244696),(74 34387460),(75 34266748),(76 34959444),(77 35506464),(78 37214196),(79 37950256),
(1 2417558),(2 6549452.5),(3 11260916),(4 14434201),(5 16673323),(6 18728342),(7 20470238),(8 21510830),(9 22694808),(10 24417570),(11 26730020),(12 29014888),(13 31755150),(14 34859756),(15 37183508),(16 38942656),(17 40112130),(18 39729456),(19 39275870),(20 38941330),(21 38193336),(22 37466532),(23 36440510),(24 35151532),(25 33892080),(26 33368096),(27 34993330),(28 35457668),(29 35596424),(30 35565820),(31 36175164),(32 35904260),(33 34508240),(34 33430692),(35 30971132),(36 30048682),(37 30258034),(38 31860114),(39 34522324),(40 36396924),(41 38012090),(42 39362860),(43 41225710),(44 42008584),(45 41520816),(46 40188736),(47 37637156),(48 36391030),(49 35700836),(50 34015820),(51 30426688),(52 26032808),(53 23468252),(54 23548732),(55 24633430),(56 26485338),(57 28264414),(58 30521778),(59 31496182),(60 32953344),(61 33324836),(62 33774330),(63 33050368),(64 33224644),(65 34003080),(66 35851988),(67 37763310),(68 39003064),(69 38371070),(70 38355740),(71 37918510),(72 37707120),(73 37654300),(74 37529296),(75 36051864),(76 35386612),(77 35172652),(78 35348580),(79 35520504),
(1 2537267.8),(2 6500147),(3 11238068),(4 14555479),(5 16971088),(6 19274866),(7 21318682),(8 22812536),(9 24129462),(10 25874450),(11 27172866),(12 27540456),(13 28558818),(14 30108212),(15 30946616),(16 31411618),(17 31961932),(18 31240884),(19 30938316),(20 31138400),(21 31436184),(22 32083014),(23 32240588),(24 32188882),(25 31584320),(26 31932614),(27 33430144),(28 34656540),(29 35603010),(30 36984948),(31 38624580),(32 39431680),(33 38938610),(34 38480684),(35 37056550),(36 35876056),(37 35271860),(38 36074468),(39 37602904),(40 38895570),(41 40003630),(42 40175116),(43 40446936),(44 39751716),(45 38647784),(46 36952732),(47 35040090),(48 33954300),(49 33695964),(50 32596928),(51 30188710),(52 26810472),(53 24210766),(54 24105280),(55 24673278),(56 26919660),(57 29568070),(58 32812288),(59 34193868),(60 34785412),(61 34345428),(62 33827380),(63 33025082),(64 33302376),(65 34086416),(66 35703716),(67 37369604),(68 38363816),(69 37542250),(70 36990628),(71 36485468),(72 36250156),(73 36173316),(74 36054064),(75 35142476),(76 34284964),(77 33123464),(78 32375948),(79 31874426),
(1 2050554.4),(2 4752822.5),(3 8200359),(4 10870193),(5 13340356),(6 15649248),(7 18065414),(8 19808628),(9 21692588),(10 23838150),(11 25683066),(12 26348532),(13 27067572),(14 28467204),(15 29387834),(16 29810714),(17 31007840),(18 31016236),(19 30897350),(20 31703908),(21 32250742),(22 33343148),(23 34684264),(24 35406036),(25 35522172),(26 36350980),(27 36147296),(28 35705884),(29 35098828),(30 34817390),(31 34959812),(32 35375490),(33 35239788),(34 35968796),(35 36343580),(36 35440710),(37 34713664),(38 34650100),(39 34277292),(40 34979108),(41 35463136),(42 36457012),(43 37407164),(44 37347290),(45 37399400),(46 36216148),(47 34827844),(48 33604010),(49 32807146),(50 31369876),(51 29453812),(52 27628448),(53 26180918),(54 26740258),(55 27699206),(56 30103168),(57 32394230),(58 35342204),(59 37378696),(60 38407820),(61 39139860),(62 39368396),(63 39286536),(64 39498440),(65 39464670),(66 40280972),(67 41325188),(68 41385772),(69 39905090),(70 38756068),(71 36898680),(72 35599692),(73 34745412),(74 34211996),(75 33400672),(76 33128566),(77 32266368),(78 31473600),(79 30598928),
(1 1626873.8),(2 3601246.3),(3 6391284.5),(4 8446480),(5 9901345),(6 11392287),(7 12227442),(8 13017883),(9 14209296),(10 15593737),(11 16363994),(12 16822128),(13 17246952),(14 17724332),(15 17661036),(16 17624974),(17 17532442),(18 17153920),(19 17344764),(20 18141022),(21 18812410),(22 19599534),(23 20348896),(24 20469838),(25 20758082),(26 21570028),(27 24049646),(28 25607708),(29 26631758),(30 28256066),(31 29497922),(32 29585838),(33 29538582),(34 29846098),(35 29181876),(36 27845192),(37 27115242),(38 26231064),(39 26382948),(40 26126680),(41 25742898),(42 25123444),(43 24656276),(44 23711682),(45 23134730),(46 22624348),(47 22127288),(48 22258364),(49 22317548),(50 21563118),(51 21719420),(52 21018120),(53 20001666),(54 19699412),(55 19880104),(56 21119860),(57 21556984),(58 22430912),(59 23394404),(60 24518926),(61 25064140),(62 25907384),(63 26470254),(64 25597960),(65 25628460),(66 25606388),(67 27197474),(68 27411410),(69 27277534),(70 27201622),(71 28077956),(72 28260804),(73 27938562),(74 27744192),(75 27465750),(76 26988458),(77 26815640),(78 26238430),(79 25879012),
(1 1546870.8),(2 3090253.5),(3 5179142.5),(4 6426991),(5 7135688.5),(6 7956466.5),(7 8409827),(8 8829537),(9 9238928),(10 9739841),(11 10127450),(12 10353004),(13 10378270),(14 10603100),(15 10732016),(16 10765946),(17 10918720),(18 10631501),(19 10661097),(20 11175828),(21 11457213),(22 11910595),(23 12618268),(24 12923727),(25 13285609),(26 13840117),(27 14652781),(28 15300523),(29 15754301),(30 16565081),(31 17240170),(32 17289332),(33 17364498),(34 17458232),(35 18202268),(36 18475256),(37 18698962),(38 18892992),(39 19574834),(40 19438300),(41 19589990),(42 19521178),(43 19613654),(44 19558584),(45 19499726),(46 19373150),(47 19340138),(48 19346156),(49 19288314),(50 19276044),(51 19208012),(52 18726668),(53 17835874),(54 17580582),(55 17677024),(56 18492410),(57 18812088),(58 19373874),(59 19907370),(60 20353688),(61 20269662),(62 20129390),(63 19959048),(64 19211168),(65 18894752),(66 18622186),(67 18863432),(68 18077356),(69 17625706),(70 17254754),(71 17446766),(72 17296746),(73 17070368),(74 16915022),(75 16591845),(76 16436828),(77 16193773),(78 15956852),(79 15726582),
(1 1255967.5),(2 2467166),(3 4264629.5),(4 5710936.5),(5 6533894),(6 7421671),(7 7826125.5),(8 8112908),(9 8577411),(10 9058296),(11 9855630),(12 10841458),(13 11376246),(14 12014920),(15 12460416),(16 12526547),(17 12727173),(18 12708631),(19 13022778),(20 13839164),(21 14349021),(22 15083907),(23 15570632),(24 15895125),(25 16471108),(26 17152090),(27 17978522),(28 18725256),(29 19091280),(30 19683270),(31 19869292),(32 19717274),(33 19479164),(34 18874300),(35 18973128),(36 19126508),(37 19320304),(38 19736116),(39 20468878),(40 20670874),(41 20778450),(42 20841920),(43 20981680),(44 21055748),(45 21284424),(46 21268838),(47 21614920),(48 21996250),(49 21921830),(50 21901102),(51 21403218),(52 20913446),(53 20313762),(54 20009840),(55 19865036),(56 20264180),(57 20494186),(58 20785604),(59 21073400),(60 21088524),(61 20769510),(62 20401734),(63 20301266),(64 20342230),(65 20437512),(66 20254830),(67 20724984),(68 20571758),(69 20870876),(70 20999974),(71 21289188),(72 21506852),(73 21851200),(74 22051092),(75 22411852),(76 22741112),(77 22937006),(78 23246652),(79 23520606),
(1 1047886.7),(2 2183625.8),(3 3813820),(4 4911910.5),(5 5636083.5),(6 6418838.5),(7 6837144.5),(8 7101672),(9 7257880),(10 7474059.5),(11 7972442.5),(12 8592533),(13 8882040),(14 9250260),(15 9713772),(16 9919074),(17 10169380),(18 10339327),(19 10505340),(20 11198777),(21 11628640),(22 12255957),(23 12677479),(24 12996867),(25 13414588),(26 13743900),(27 13965632),(28 13965918),(29 13746383),(30 13497390),(31 13429068),(32 13299403),(33 13236488),(34 13075552),(35 13116179),(36 13340130),(37 13353269),(38 13501378),(39 13612921),(40 13868887),(41 13955588),(42 14171596),(43 14461544),(44 14288620),(45 14324354),(46 14400300),(47 14955243),(48 15653380),(49 15996642),(50 16192786),(51 16157188),(52 16129214),(53 15917890),(54 15870226),(55 16022315),(56 16130215),(57 16324544),(58 16429330),(59 16737525),(60 16570425),(61 16354048),(62 16116075),(63 16078142),(64 15760192),(65 15672071),(66 15426980),(67 15494210),(68 15319218),(69 15287214),(70 15014466),(71 15116039),(72 15450478),(73 15704420),(74 15906606),(75 15851945),(76 15793916),(77 15808743),(78 15778560),(79 15785833),
(1 1077406.5),(2 2116321.5),(3 3508483.8),(4 4582143.5),(5 5269443),(6 6188843.5),(7 7149639),(8 8033938),(9 8700471),(10 9245070),(11 9641374),(12 10178213),(13 10533838),(14 10758777),(15 11335198),(16 11503883),(17 11665858),(18 11761861),(19 11639522),(20 11819999),(21 11833920),(22 11975718),(23 11810867),(24 12084748),(25 12268439),(26 12443308),(27 12707213),(28 12790795),(29 12770858),(30 12615535),(31 12913679),(32 13242175),(33 13521502),(34 13716856),(35 14081941),(36 14467095),(37 14746656),(38 15115626),(39 15444114),(40 15795403),(41 15970696),(42 16108819),(43 16439646),(44 16546652),(45 16630227),(46 16619624),(47 16413353),(48 16441122),(49 16494754),(50 16587095),(51 16645350),(52 16785438),(53 16890916),(54 16871364),(55 16952592),(56 17100044),(57 17223590),(58 17200494),(59 17347884),(60 17681114),(61 18110988),(62 18272636),(63 18204908),(64 18149270),(65 18141696),(66 17974942),(67 18091060),(68 18093372),(69 18119070),(70 18084980),(71 18104364),(72 18257622),(73 18320982),(74 18536790),(75 18636784),(76 19169094),(77 19643252),(78 20012632),(79 20317940),
