1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 23347.537),(2 53100.203),(3 50360.754),(4 99702.49),(5 259408.13),(6 294127.22),(7 292649.53),(8 350124.5),(9 503492.4),(10 577603.1),(11 581155.94),(12 585512.7),(13 671523.25),(14 732818.25),(15 732203.3),(16 803182.3),(17 867196.3),(18 864385.25),(19 869363.8),(20 939650.2),(21 911766.5),(22 1001425.5),(23 1001382.5),(24 1016921.2),(25 1073500.4),(26 1069662.9),(27 1083021.9),(28 1011902.06),(29 972521.7),(30 1000412),(31 1001744.44),(32 1043105.25),(33 1000708.8),(34 949230.2),(35 953325.7),(36 851232.7),(37 762059.3),(38 692132.06),(39 693520.94),(40 687544.5),(41 789648.44),(42 816887.5),(43 819295.3),(44 860314.25),(45 920086.25),(46 969413.25),
(1 17009.512),(2 43891.793),(3 44229.473),(4 73746.8),(5 194412.84),(6 247817.66),(7 247693.83),(8 305546.84),(9 429416.2),(10 498400.06),(11 501102.44),(12 551127.25),(13 653147.7),(14 685652.9),(15 684999.2),(16 653336.4),(17 634395.3),(18 634071.9),(19 646607.5),(20 650977.6),(21 613651.6),(22 528536.4),(23 528564.1),(24 539141.1),(25 532451.75),(26 545866.9),(27 546248.5),(28 535166.75),(29 536234.6),(30 573607),(31 572256.56),(32 629534.6),(33 761293.94),(34 784522.06),(35 794544.9),(36 812666.1),(37 780247.5),(38 855200),(39 856531.1),(40 915077.2),(41 1169768.5),(42 1299197.1),(43 1316300.8),(44 1383499.5),(45 1499853.8),(46 1628661),
(1 19762.914),(2 49998.34),(3 52327.582),(4 73865.516),(5 152098.94),(6 198335.98),(7 198937.05),(8 209583.55),(9 324495.84),(10 365502.84),(11 365158.1),(12 419981.28),(13 607395.3),(14 702053.8),(15 701675.7),(16 762282.8),(17 803291.5),(18 839826.7),(19 842789.44),(20 866447.8),(21 951398),(22 979522.8),(23 979539.2),(24 952175.3),(25 991501.5),(26 1090871.9),(27 1086894.6),(28 1105176.4),(29 1108619.6),(30 1132205.1),(31 1131002.9),(32 1218527.5),(33 1399747.6),(34 1453539.9),(35 1444773.4),(36 1429126.9),(37 1348255.4),(38 1328492.4),(39 1328901),(40 1332800.9),(41 1519319.4),(42 1509916.6),(43 1507295),(44 1567948.4),(45 1667741.6),(46 1751625),
(1 25825.865),(2 58279.516),(3 60534.703),(4 92845.33),(5 192456.13),(6 229264.39),(7 229614.17),(8 277025.66),(9 423530.94),(10 469069),(11 468535.38),(12 541676.5),(13 715100.9),(14 800619.3),(15 800462.3),(16 862677.75),(17 929572.75),(18 961272.75),(19 962587.3),(20 1010087.1),(21 1099081.5),(22 1133617.8),(23 1133165.1),(24 1125519.5),(25 1161310),(26 1137640.9),(27 1130150.5),(28 1072242.4),(29 1085766.8),(30 1089807.1),(31 1089825),(32 1091987.8),(33 1185875.5),(34 1261946.5),(35 1263517.4),(36 1307884.5),(37 1304604.5),(38 1276766.6),(39 1283637),(40 1283828.5),(41 1378457.4),(42 1410557.9),(43 1413778),(44 1462838.5),(45 1613261),(46 1680700.6),
(1 20295.469),(2 47694.574),(3 47716.414),(4 67167.6),(5 128954.41),(6 162582.73),(7 162666.7),(8 213937.31),(9 316882.94),(10 375062.13),(11 375583.1),(12 448789.4),(13 567833.9),(14 624519.44),(15 624517.56),(16 668325.44),(17 691983),(18 691957.25),(19 692776),(20 728435.25),(21 761650.56),(22 836962.94),(23 836970.25),(24 817125.06),(25 789959.6),(26 788114.75),(27 778804.2),(28 774310.2),(29 920949.56),(30 969331.25),(31 969595.44),(32 1027031),(33 1189895.1),(34 1320368.5),(35 1321158.9),(36 1412806.9),(37 1494725.3),(38 1496291.3),(39 1501365.9),(40 1514621.8),(41 1685765.9),(42 1755396.4),(43 1759402),(44 1897553.1),(45 2129352),(46 2271212.8),
(1 18995.668),(2 50507.094),(3 52269.176),(4 66919.65),(5 148470.53),(6 163173.69),(7 164365.6),(8 200766.1),(9 254072.6),(10 295967.94),(11 293562.5),(12 317014.16),(13 394826.44),(14 460848.3),(15 460566.4),(16 469594.9),(17 490566),(18 488358.5),(19 490114.7),(20 520746.94),(21 569309.9),(22 578875.4),(23 578934.9),(24 589072.1),(25 671711.3),(26 747893.3),(27 748686),(28 779774.1),(29 844351.6),(30 889565.3),(31 889712.8),(32 916150.5),(33 970407.8),(34 1046704.6),(35 1047815.6),(36 1102743.3),(37 1262343),(38 1349797.6),(39 1350900),(40 1432148.6),(41 1591220.3),(42 1669377.3),(43 1667653),(44 1754131.8),(45 2123310.8),(46 2255822.8),
(1 20980.395),(2 49591.25),(3 51107.13),(4 66837.47),(5 151783.34),(6 197476.92),(7 197201.22),(8 227766.98),(9 328624.84),(10 391499.3),(11 390636.66),(12 436961.2),(13 590929.5),(14 648611.1),(15 649144.6),(16 701367.44),(17 731450),(18 758516.4),(19 759799.06),(20 792122.9),(21 836824.3),(22 915971.75),(23 916147.44),(24 928252.25),(25 954494.56),(26 961324.3),(27 967378),(28 972360.9),(29 965792.6),(30 1002055.75),(31 1002106.75),(32 1001791.7),(33 1095074.9),(34 1234759.8),(35 1236781.8),(36 1316468.5),(37 1451946.3),(38 1513508.9),(39 1509122),(40 1634375.9),(41 1858453.4),(42 1937226.8),(43 1934785.4),(44 2016715.5),(45 2232546.8),(46 2306508.5),
(1 26183.508),(2 57401.79),(3 59527.332),(4 90090.32),(5 232844.44),(6 302247.13),(7 302936.9),(8 389159.22),(9 523976.84),(10 551861.25),(11 551303.1),(12 598662.4),(13 736447.94),(14 813359.7),(15 813828),(16 884202),(17 917575.06),(18 952914.7),(19 951879.06),(20 993443.8),(21 1083268),(22 1173377.9),(23 1173514.4),(24 1233844),(25 1358074),(26 1391180.8),(27 1397392.3),(28 1448347.1),(29 1527251.4),(30 1559097.1),(31 1559485.5),(32 1602408.8),(33 1719154.4),(34 1772173.3),(35 1774572.6),(36 1782573.4),(37 1774962.6),(38 1802820.3),(39 1805552),(40 1881562.1),(41 2033232.1),(42 2080759.4),(43 2084746.5),(44 2116412.8),(45 2327611),(46 2403481),
(1 23988.205),(2 43378.754),(3 43171.305),(4 68677.78),(5 160907.77),(6 210641.6),(7 211587.4),(8 272993.2),(9 443489.25),(10 528936.2),(11 529112.3),(12 609866.25),(13 786487.9),(14 887979),(15 888516.56),(16 1006593.3),(17 1101554.6),(18 1147765.5),(19 1151073.9),(20 1211000),(21 1207822.1),(22 1281086.6),(23 1280985.9),(24 1321054.9),(25 1359310.8),(26 1377543),(27 1373835.8),(28 1395703.4),(29 1451297),(30 1492366.1),(31 1492531.8),(32 1525672.3),(33 1550236.9),(34 1532113),(35 1535729.6),(36 1529556.5),(37 1560089.5),(38 1577967.8),(39 1579654.6),(40 1607800),(41 1710571.3),(42 1764298),(43 1767100.5),(44 1795756),(45 1943989.8),(46 1991517.6),
(1 27237.934),(2 51440.926),(3 52475.367),(4 79231.59),(5 160227.89),(6 204634.31),(7 205475.06),(8 242787.53),(9 382391.5),(10 473539.88),(11 472584.56),(12 573773.44),(13 699378.75),(14 779948.06),(15 780203.9),(16 866545.8),(17 917071.44),(18 930596.44),(19 931300.1),(20 954433.1),(21 935980.7),(22 993396.56),(23 993227.1),(24 994739.7),(25 953655.3),(26 951770.56),(27 946997.1),(28 939620.25),(29 967058.44),(30 1006714.25),(31 1006824.9),(32 1047026.1),(33 1130089.1),(34 1168137),(35 1162541.4),(36 1197620.5),(37 1301241.6),(38 1381632.5),(39 1381140),(40 1470241.5),(41 1612873.3),(42 1688898.3),(43 1698021.1),(44 1740290.8),(45 1893494),(46 1940139.1),
(1 27920.205),(2 65222.824),(3 67048.72),(4 99508.13),(5 189854.36),(6 233208.9),(7 233428.38),(8 285825.28),(9 409363.72),(10 491225.03),(11 490615.56),(12 590364.1),(13 794780.94),(14 940156.3),(15 940480.9),(16 1038251.5),(17 1104202.6),(18 1139648.8),(19 1146233.1),(20 1171105.9),(21 1280783.5),(22 1386357),(23 1386453.9),(24 1446914.3),(25 1544706.9),(26 1585761),(27 1583981.4),(28 1637279),(29 1773007.1),(30 1885528.3),(31 1885781.1),(32 1983112.5),(33 2156023),(34 2200463.5),(35 2205937.5),(36 2237295.5),(37 2202113),(38 2192866.5),(39 2193496.8),(40 2207596),(41 2184291.8),(42 2187371),(43 2191168.5),(44 2237630),(45 2184308.8),(46 2186403.5),
