1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 4069356.8),(2 5733243.5),(3 5751732.5),(4 8783263),(5 12775440),(6 16930446),(7 16922794),(8 20013622),(9 16144189),(10 8832323),(11 8822841),(12 8367613.5),(13 6754552),(14 13293328),(15 13284740),(16 17206254),(17 22753128),(18 19596302),(19 19620728),(20 17201130),(21 11152325),(22 9615275),(23 9615951),(24 11098589),(25 16325731),(26 18016722),(27 18032488),(28 21059570),(29 25517974),(30 22108696),(31 22171206),(32 21078568),(33 10261441),(34 13370753),(35 13345545),(36 12490703),(37 19963002),(38 25417168),(39 25402224),(40 29067918),(41 38390604),(42 38531070),(43 38557096),(44 39948564),(45 25755586),(46 25687410),
(1 2384322.5),(2 5733205),(3 5708345.5),(4 10000146),(5 11169029),(6 14947925),(7 14961781),(8 18509542),(9 13189071),(10 15065594),(11 15101699),(12 10317389),(13 12161917),(14 12430094),(15 12452213),(16 15649595),(17 19066372),(18 26450808),(19 26420898),(20 24276224),(21 16449768),(22 14889296),(23 14933907),(24 15303837),(25 18496288),(26 21591902),(27 21592886),(28 24807910),(29 30844716),(30 38283050),(31 38251870),(32 34113830),(33 24381672),(34 26894182),(35 26879942),(36 22198242),(37 23271616),(38 23674532),(39 23633744),(40 25012300),(41 24232296),(42 29394106),(43 29385524),(44 24252372),(45 21180564),(46 21173856),
(1 3179026),(2 4048661.3),(3 4039817.8),(4 4208268.5),(5 4449184),(6 5345105),(7 5340569.5),(8 6168870.5),(9 7888492),(10 7909896),(11 7924412),(12 7670680.5),(13 10131340),(14 11301365),(15 11293579),(16 9511065),(17 10995455),(18 10035335),(19 10043109),(20 11363733),(21 12652112),(22 13252441),(23 13270817),(24 15276271),(25 19522486),(26 19516266),(27 19519778),(28 18160442),(29 18356440),(30 19366238),(31 19345290),(32 19539334),(33 21956426),(34 28722218),(35 28755082),(36 25099674),(37 18102452),(38 16518472),(39 16494083),(40 17550982),(41 21493794),(42 19326818),(43 19326240),(44 20620392),(45 20206590),(46 20237334),
(1 2935766.3),(2 5047266),(3 5056803),(4 7300379.5),(5 9005441),(6 11147965),(7 11129565),(8 13525712),(9 13802558),(10 14598741),(11 14591831),(12 12569471),(13 14015934),(14 17727426),(15 17735858),(16 19216584),(17 17832040),(18 16383479),(19 16375460),(20 15411499),(21 15546613),(22 17507208),(23 17521624),(24 20932970),(25 29417692),(26 31466616),(27 31467456),(28 30168792),(29 26004406),(30 27723584),(31 27710510),(32 25473156),(33 19887340),(34 24535506),(35 24548572),(36 28784196),(37 34941230),(38 33862548),(39 33875496),(40 31025706),(41 23153264),(42 23560128),(43 23583192),(44 23752110),(45 26805302),(46 26814318),
(1 2548162.3),(2 5497957.5),(3 5499751.5),(4 8539329),(5 11270871),(6 10747661),(7 10741734),(8 9944927),(9 10448105),(10 10083122),(11 10073561),(12 8896665),(13 10027180),(14 13096877),(15 13088071),(16 15526566),(17 17855636),(18 14737801),(19 14742624),(20 13832509),(21 11169258),(22 12011126),(23 12012902),(24 13015724),(25 19404722),(26 21423522),(27 21417582),(28 20158820),(29 19229096),(30 19423618),(31 19418000),(32 16725213),(33 15569017),(34 20453864),(35 20444230),(36 19129664),(37 17712904),(38 17333160),(39 17339508),(40 18834664),(41 16612586),(42 15432572),(43 15438851),(44 15580841),(45 17945920),(46 17951650),
(1 2360079.5),(2 6807501.5),(3 6803677),(4 11456174),(5 13863083),(6 13698248),(7 13738666),(8 12923486),(9 9592923),(10 7726435),(11 7739449),(12 8431800),(13 10290454),(14 12077211),(15 12083702),(16 12443377),(17 14473430),(18 13870115),(19 13873629),(20 11285690),(21 7390960),(22 8705829),(23 8715853),(24 10112438),(25 17164588),(26 17735628),(27 17736772),(28 16107058),(29 14719403),(30 15168826),(31 15178506),(32 14994054),(33 16681699),(34 17078394),(35 17100650),(36 17245276),(37 22513626),(38 22104874),(39 22111314),(40 21029560),(41 15978938),(42 17582084),(43 17588662),(44 18751048),(45 19623436),(46 19640084),
(1 5039995.5),(2 8088618),(3 8093591),(4 9257837),(5 10150990),(6 11656098),(7 11668702),(8 13279851),(9 7517446),(10 5481536.5),(11 5490119),(12 5748286),(13 10070264),(14 12079366),(15 12079191),(16 13768063),(17 15173423),(18 16054860),(19 16048740),(20 13509276),(21 9635914),(22 10748613),(23 10742218),(24 12242663),(25 18253412),(26 18745012),(27 18747468),(28 16865596),(29 18140638),(30 19838612),(31 19849246),(32 19746668),(33 17178142),(34 16689698),(35 16708784),(36 18262146),(37 24883762),(38 22236342),(39 22252672),(40 20405602),(41 17607552),(42 18082780),(43 18077580),(44 18610724),(45 19551414),(46 19551464),
(1 3783498.5),(2 5881593),(3 5877972.5),(4 7258586.5),(5 9094101),(6 8406411),(7 8394322),(8 7066154.5),(9 5540845),(10 5101339.5),(11 5100576.5),(12 4893323.5),(13 7787521),(14 8363511),(15 8362527.5),(16 8607057),(17 9370338),(18 8892983),(19 8895187),(20 8013138),(21 7590521),(22 7017903),(23 7010928.5),(24 7221166.5),(25 9133436),(26 10713791),(27 10713431),(28 12009769),(29 10579383),(30 9743856),(31 9756427),(32 9296592),(33 8394913),(34 8574022),(35 8583305),(36 8680796),(37 11781119),(38 10740702),(39 10741027),(40 11375911),(41 9670079),(42 9302895),(43 9305889),(44 8475509),(45 9092514),(46 9099740),
(1 4054929),(2 8026471.5),(3 8029379),(4 10912113),(5 11074814),(6 9902468),(7 9907263),(8 9004722),(9 5378225),(10 4267622),(11 4264672.5),(12 4330451),(13 8102499),(14 10799420),(15 10800230),(16 11553303),(17 11383453),(18 10611523),(19 10607011),(20 10061092),(21 6355042),(22 5405165),(23 5406762),(24 5787913.5),(25 9361752),(26 11449519),(27 11442106),(28 11299685),(29 10071454),(30 10358854),(31 10355272),(32 9684893),(33 10856495),(34 10913604),(35 10918040),(36 10957587),(37 12353543),(38 12244325),(39 12244135),(40 12787452),(41 11662061),(42 11128207),(43 11125391),(44 10597073),(45 11357941),(46 11357538),
(1 4205509.5),(2 7070074),(3 7079806.5),(4 9389747),(5 10067875),(6 9532840),(7 9537363),(8 8259223),(9 6217340.5),(10 4107185),(11 4102823),(12 4312638),(13 7741515.5),(14 9592100),(15 9596087),(16 10070439),(17 10972894),(18 9092478),(19 9085115),(20 7950701.5),(21 5134000),(22 5224403.5),(23 5220057),(24 6557447),(25 7884083.5),(26 8794919),(27 8798172),(28 9461492),(29 11282078),(30 11250066),(31 11252351),(32 10595554),(33 10536329),(34 12003494),(35 12010721),(36 11731006),(37 11262194),(38 11403172),(39 11399053),(40 12700206),(41 11335990),(42 10104797),(43 10104955),(44 9650860),(45 9089255),(46 9099029),
(1 2871705.8),(2 5148620),(3 5156798),(4 6901550.5),(5 9408333),(6 8508921),(7 8512485),(8 6277838),(9 6183699),(10 5384486),(11 5384587.5),(12 5549715.5),(13 7717164),(14 9069195),(15 9071049),(16 9628191),(17 9729320),(18 8017411),(19 8026405.5),(20 5794923),(21 4518827.5),(22 4988867.5),(23 4991693),(24 5292482.5),(25 8465323),(26 9233276),(27 9230671),(28 8435113),(29 8106658),(30 7597326.5),(31 7598518.5),(32 8815507),(33 8126788),(34 7466198.5),(35 7470289),(36 7285598),(37 10453560),(38 12460369),(39 12467450),(40 11375925),(41 8898833),(42 8169656.5),(43 8168079),(44 7147517),(45 6364383),(46 6365551),
(1 2527497.5),(2 4204563.5),(3 4203550.5),(4 5729059),(5 7011605),(6 6595223.5),(7 6594647.5),(8 6082623.5),(9 4392540.5),(10 4805742.5),(11 4808553.5),(12 4850272.5),(13 6252695.5),(14 7016127.5),(15 7018772),(16 7430822.5),(17 8727354),(18 7907173),(19 7908329),(20 6614429),(21 5161840.5),(22 5078419.5),(23 5078355.5),(24 4784210),(25 6690466),(26 8014526.5),(27 8020030.5),(28 7813134.5),(29 8928397),(30 7906889.5),(31 7903282),(32 7578759),(33 8415736),(34 8566309),(35 8572513),(36 8246288.5),(37 9184814),(38 9926944),(39 9927247),(40 9758095),(41 8380917),(42 7331811.5),(43 7331783.5),(44 6725338.5),(45 6818247),(46 6813632.5),
(1 2178168.5),(2 3828314),(3 3828097.3),(4 5157334.5),(5 5926625.5),(6 5393212),(7 5392548.5),(8 4625280.5),(9 3730666.8),(10 4067129.3),(11 4069772.8),(12 4158571.3),(13 4896801.5),(14 5168714.5),(15 5169612.5),(16 5232341.5),(17 5142095),(18 5111344),(19 5112124.5),(20 4450969.5),(21 4673272.5),(22 4626352),(23 4628512.5),(24 4570468.5),(25 6396492),(26 7352081.5),(27 7354642.5),(28 7254244.5),(29 8635357),(30 9094977),(31 9092777),(32 8673505),(33 6363255.5),(34 6693344.5),(35 6691732),(36 6939052),(37 6555083.5),(38 7297228),(39 7295822.5),(40 7129632.5),(41 8151438.5),(42 7759090),(43 7757874.5),(44 6885591.5),(45 7309934.5),(46 7305910.5),
