1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 53551.7),(2 179695.52),(3 358648.25),(4 562285.25),(5 791010.2),(6 1000508.94),(7 1229753.6),(8 1440713.6),(9 1611287.4),(10 1760649),(11 1854072),(12 1950039),(13 2033855.9),(14 2105444.8),(15 2284217),(16 2653960.5),(17 3008713.3),(18 3378676.8),(19 3762382),(20 4158821),(21 4512551.5),(22 4802816),(23 5059641.5),(24 5284879.5),(25 5526219.5),(26 5736603.5),(27 6001191.5),(28 6223210.5),(29 6451521.5),(30 6710024.5),(31 7036650.5),(32 7398201.5),(33 7798350.5),(34 8242756),(35 8694999),(36 9192993),(37 9688970),(38 10215493),(39 10688216),(40 11115823),(41 11556985),(42 12027191),(43 12494609),(44 12833445),(45 13158324),(46 13446283),(47 13671059),(48 13906087),(49 14185849),(50 14506573),(51 14795493),(52 15082093),(53 15429695),(54 15697668),(55 16003416),(56 16320860),(57 16677840),(58 16946464),(59 17139166),(60 17281418),(61 17424518),(62 17524648),(63 17624480),(64 17714786),(65 17891592),(66 18145606),(67 18416818),(68 18809938),(69 19169236),(70 19478564),(71 19742354),(72 19944274),(73 20124260),(74 20217728),(75 20385674),(76 20476494),(77 20554824),(78 20582712),(79 20565698),
(1 55363.8),(2 196973.81),(3 400580.2),(4 641542.1),(5 904321.9),(6 1157983.3),(7 1402265.5),(8 1618928.3),(9 1784504),(10 1930107.6),(11 2042196.8),(12 2169000.5),(13 2295855.5),(14 2422261.3),(15 2620498.8),(16 2871111.8),(17 3102593.8),(18 3335393.5),(19 3579216.5),(20 3816576.5),(21 4019514.5),(22 4189686),(23 4301702),(24 4373503.5),(25 4442274),(26 4486993),(27 4552247),(28 4619240),(29 4665199.5),(30 4728303),(31 4817010),(32 4896154.5),(33 5002576),(34 5132778.5),(35 5295020),(36 5475700),(37 5661543),(38 5868010.5),(39 6072188),(40 6292407),(41 6514039.5),(42 6740209.5),(43 6978719),(44 7192063),(45 7417067),(46 7633922.5),(47 7848081),(48 8114944),(49 8415108),(50 8720970),(51 9043298),(52 9409966),(53 9807883),(54 10198827),(55 10592896),(56 11016425),(57 11474128),(58 11915909),(59 12331490),(60 12760682),(61 13185864),(62 13587469),(63 13999448),(64 14423128),(65 14896133),(66 15437253),(67 16008386),(68 16609558),(69 17246282),(70 17828252),(71 18352046),(72 18835092),(73 19268052),(74 19651646),(75 20028738),(76 20338932),(77 20594154),(78 20826026),(79 21002946),
(1 48316.004),(2 172203.27),(3 350046.63),(4 566367.7),(5 806359.3),(6 1046016.94),(7 1280550.4),(8 1497478.5),(9 1680337.5),(10 1821504.6),(11 1911357.6),(12 1978027),(13 2034586.4),(14 2095572.6),(15 2206531),(16 2339126.8),(17 2479340.3),(18 2656645),(19 2881868.8),(20 3131393.3),(21 3392078.3),(22 3639802.3),(23 3830379),(24 4015317.3),(25 4173365.3),(26 4302721),(27 4413094.5),(28 4514445.5),(29 4578220.5),(30 4632952.5),(31 4690100.5),(32 4755382.5),(33 4849056),(34 4976419.5),(35 5177889.5),(36 5437772),(37 5729607.5),(38 6068533.5),(39 6391463.5),(40 6737312.5),(41 7044724),(42 7329820),(43 7590788),(44 7820416),(45 8053212),(46 8290825.5),(47 8507709),(48 8735827),(49 8949013),(50 9140665),(51 9303262),(52 9471789),(53 9651660),(54 9812840),(55 9996855),(56 10214067),(57 10464587),(58 10725544),(59 11027808),(60 11382716),(61 11747241),(62 12106387),(63 12449995),(64 12819077),(65 13193296),(66 13591831),(67 13972747),(68 14394000),(69 14773243),(70 15097472),(71 15359355),(72 15571433),(73 15749156),(74 15879421),(75 16051408),(76 16229176),(77 16414592),(78 16613865),(79 16807722),
(1 48479.777),(2 172061.56),(3 348967.9),(4 567828.1),(5 819137.56),(6 1099835.1),(7 1394779.8),(8 1706528.5),(9 2015153.4),(10 2324959),(11 2645586.8),(12 2970979.5),(13 3313694),(14 3681967),(15 4080197.8),(16 4474470.5),(17 4867902),(18 5277237.5),(19 5700362.5),(20 6128722),(21 6549517.5),(22 6941931.5),(23 7256604.5),(24 7552589.5),(25 7816249),(26 8072728),(27 8301538.5),(28 8533703),(29 8752779),(30 8969067),(31 9187550),(32 9420384),(33 9679348),(34 9945287),(35 10247138),(36 10565897),(37 10896776),(38 11246487),(39 11571454),(40 11901583),(41 12180204),(42 12421529),(43 12647403),(44 12852996),(45 13061484),(46 13256986),(47 13436448),(48 13642884),(49 13852839),(50 14044786),(51 14206133),(52 14370748),(53 14544160),(54 14748176),(55 14978828),(56 15228039),(57 15526665),(58 15853484),(59 16162997),(60 16504773),(61 16814830),(62 17090680),(63 17361472),(64 17595914),(65 17823336),(66 18040280),(67 18223578),(68 18413254),(69 18593554),(70 18758052),(71 18883058),(72 19007474),(73 19090152),(74 19162362),(75 19225462),(76 19266868),(77 19296460),(78 19314360),(79 19291608),
(1 46383.465),(2 163724.2),(3 331365.03),(4 544416.8),(5 792093.4),(6 1077368.9),(7 1384999.5),(8 1718443.3),(9 2068297.1),(10 2432209),(11 2818213.3),(12 3228554.3),(13 3666275),(14 4128864),(15 4620444.5),(16 5144110.5),(17 5705119.5),(18 6311976.5),(19 6966780.5),(20 7639309),(21 8345295.5),(22 9053905),(23 9748156),(24 10444842),(25 11146000),(26 11845134),(27 12530473),(28 13236250),(29 13941315),(30 14663398),(31 15400867),(32 16157772),(33 16905030),(34 17641202),(35 18384442),(36 19143446),(37 19910040),(38 20634868),(39 21324440),(40 21988622),(41 22609460),(42 23161716),(43 23704058),(44 24236308),(45 24761070),(46 25239144),(47 25684546),(48 26136044),(49 26570232),(50 26972128),(51 27329850),(52 27603054),(53 27828840),(54 28074362),(55 28348008),(56 28631896),(57 28920638),(58 29254882),(59 29556910),(60 29851886),(61 30100396),(62 30283322),(63 30430682),(64 30515058),(65 30581702),(66 30626914),(67 30642658),(68 30635398),(69 30623118),(70 30627374),(71 30607208),(72 30613090),(73 30604318),(74 30632878),(75 30682936),(76 30707814),(77 30671582),(78 30611160),(79 30524760),
(1 36382.324),(2 124176.336),(3 246807.75),(4 398439.7),(5 578536.5),(6 778955.5),(7 992683.4),(8 1220604),(9 1462380.8),(10 1706140.6),(11 1951232),(12 2216620.3),(13 2490090.5),(14 2777723.5),(15 3096155.5),(16 3436350.5),(17 3781006),(18 4159128),(19 4562481.5),(20 4984153),(21 5392486.5),(22 5798541.5),(23 6198403),(24 6587881.5),(25 6975637),(26 7385662.5),(27 7826145.5),(28 8303976),(29 8835234),(30 9416495),(31 10009805),(32 10623898),(33 11260386),(34 11915291),(35 12528459),(36 13141502),(37 13728336),(38 14308590),(39 14868029),(40 15434067),(41 15994917),(42 16572230),(43 17168144),(44 17757834),(45 18343524),(46 18902746),(47 19461254),(48 20022812),(49 20548714),(50 21037356),(51 21505626),(52 21969460),(53 22474928),(54 22968582),(55 23502956),(56 24078176),(57 24663554),(58 25265784),(59 25863844),(60 26455212),(61 26996860),(62 27521968),(63 28016064),(64 28489402),(65 28924688),(66 29355228),(67 29807052),(68 30256124),(69 30690732),(70 31173766),(71 31621808),(72 32044454),(73 32454586),(74 32822580),(75 33173172),(76 33433706),(77 33617276),(78 33684090),(79 33718070),
(1 43633.164),(2 152952.02),(3 304788.63),(4 493962.66),(5 714536.75),(6 957417.9),(7 1216392.4),(8 1490764.6),(9 1774621.9),(10 2051136.3),(11 2329471.5),(12 2614537),(13 2909482.3),(14 3200893.3),(15 3488798.8),(16 3768209),(17 4059400.3),(18 4355667.5),(19 4660681),(20 4973252),(21 5300243.5),(22 5625786.5),(23 5969960.5),(24 6304342),(25 6634627),(26 6995984.5),(27 7372635.5),(28 7777127.5),(29 8228376),(30 8725503),(31 9253471),(32 9779581),(33 10327417),(34 10865474),(35 11388521),(36 11916249),(37 12444128),(38 12981759),(39 13510126),(40 13990414),(41 14445551),(42 14894117),(43 15342769),(44 15755275),(45 16150175),(46 16498042),(47 16822702),(48 17138152),(49 17447224),(50 17719766),(51 17947552),(52 18143928),(53 18344142),(54 18495114),(55 18667858),(56 18861364),(57 19032252),(58 19187922),(59 19286338),(60 19356190),(61 19380856),(62 19389138),(63 19340158),(64 19276530),(65 19173252),(66 19060994),(67 18967026),(68 18867016),(69 18742580),(70 18600170),(71 18425750),(72 18221304),(73 18011284),(74 17761902),(75 17531692),(76 17300412),(77 17032164),(78 16749349),(79 16470514),
(1 53315.008),(2 189942.73),(3 394942.66),(4 656580.7),(5 960977.75),(6 1305137.1),(7 1692423.8),(8 2129750.5),(9 2602886.3),(10 3089152.3),(11 3588151.8),(12 4098303.5),(13 4610470),(14 5099493.5),(15 5600374),(16 6109300.5),(17 6588242),(18 7065821),(19 7536882.5),(20 7989944.5),(21 8425178),(22 8825940),(23 9201573),(24 9533226),(25 9818797),(26 10066182),(27 10284910),(28 10482113),(29 10651860),(30 10798187),(31 10924924),(32 11024643),(33 11127738),(34 11231339),(35 11344019),(36 11458061),(37 11572221),(38 11716380),(39 11872549),(40 12041808),(41 12201705),(42 12397003),(43 12586994),(44 12753696),(45 12909906),(46 13014439),(47 13086522),(48 13156869),(49 13221109),(50 13250463),(51 13264025),(52 13261698),(53 13271793),(54 13274398),(55 13284977),(56 13288059),(57 13290649),(58 13297085),(59 13289001),(60 13275787),(61 13232076),(62 13166551),(63 13065833),(64 12954204),(65 12819223),(66 12683113),(67 12562850),(68 12476235),(69 12390274),(70 12310210),(71 12247730),(72 12163683),(73 12089713),(74 12013521),(75 11960041),(76 11905170),(77 11874217),(78 11843443),(79 11822953),
(1 53964.684),(2 197803.92),(3 416488.66),(4 690847.5),(5 1014114.94),(6 1374853.9),(7 1766193.1),(8 2182029),(9 2608125.3),(10 3036281),(11 3461347.8),(12 3884141.8),(13 4308492),(14 4731383.5),(15 5170653),(16 5593782.5),(17 6022160),(18 6447908.5),(19 6865761.5),(20 7286394.5),(21 7691269.5),(22 8053700.5),(23 8380813),(24 8650816),(25 8868314),(26 9057420),(27 9213762),(28 9342803),(29 9436812),(30 9532840),(31 9618502),(32 9723302),(33 9844376),(34 9984552),(35 10137097),(36 10313068),(37 10507492),(38 10733642),(39 10985745),(40 11254348),(41 11529541),(42 11805325),(43 12094143),(44 12374465),(45 12665111),(46 12950191),(47 13216255),(48 13510971),(49 13793562),(50 14076386),(51 14315096),(52 14497418),(53 14654225),(54 14784512),(55 14888924),(56 14928386),(57 14929608),(58 14923825),(59 14906580),(60 14885956),(61 14831599),(62 14758622),(63 14655854),(64 14525664),(65 14366726),(66 14196235),(67 14020556),(68 13850812),(69 13690656),(70 13534968),(71 13404081),(72 13267458),(73 13132903),(74 12962942),(75 12798105),(76 12612976),(77 12449161),(78 12300393),(79 12155474),
(1 55961.875),(2 207138.5),(3 443036.94),(4 746901.7),(5 1113161.5),(6 1531698.6),(7 1996191.1),(8 2504586),(9 3047699.5),(10 3623466.3),(11 4221585),(12 4846746.5),(13 5497159),(14 6152375.5),(15 6825791),(16 7459719),(17 8066487),(18 8621826),(19 9114363),(20 9561483),(21 9954890),(22 10280770),(23 10553607),(24 10760499),(25 10902639),(26 10974678),(27 10971879),(28 10917087),(29 10784517),(30 10608067),(31 10405378),(32 10205017),(33 10021436),(34 9840132),(35 9697860),(36 9582165),(37 9494035),(38 9447892),(39 9417250),(40 9402153),(41 9392021),(42 9394038),(43 9430000),(44 9468996),(45 9518027),(46 9565750),(47 9601484),(48 9643141),(49 9696352),(50 9755189),(51 9807776),(52 9849866),(53 9903243),(54 9930679),(55 9968046),(56 10002735),(57 10042292),(58 10107647),(59 10201504),(60 10327160),(61 10431234),(62 10529552),(63 10618473),(64 10702781),(65 10771057),(66 10835316),(67 10883460),(68 10933220),(69 10965874),(70 11000855),(71 11031397),(72 11053643),(73 11056336),(74 11061299),(75 11061052),(76 11062868),(77 11075024),(78 11110390),(79 11146737),
(1 50330.273),(2 183814.9),(3 388762.28),(4 651979.5),(5 966169.9),(6 1325883),(7 1724328.5),(8 2153323),(9 2613573.3),(10 3127845.8),(11 3701657.5),(12 4332756),(13 5029436),(14 5805262.5),(15 6639497),(16 7460966.5),(17 8297517),(18 9071006),(19 9808332),(20 10529685),(21 11234811),(22 11906539),(23 12539044),(24 13110504),(25 13586775),(26 13984817),(27 14288502),(28 14515405),(29 14666152),(30 14764036),(31 14801568),(32 14833939),(33 14856205),(34 14851277),(35 14821891),(36 14749717),(37 14641043),(38 14484732),(39 14316469),(40 14103848),(41 13861370),(42 13568112),(43 13281989),(44 12977817),(45 12667940),(46 12354365),(47 12033242),(48 11723246),(49 11436578),(50 11159034),(51 10882200),(52 10590581),(53 10312534),(54 10039734),(55 9786982),(56 9554324),(57 9353820),(58 9189067),(59 9072425),(60 8996697),(61 8949756),(62 8928757),(63 8931780),(64 8972037),(65 9033112),(66 9131655),(67 9247815),(68 9384070),(69 9517813),(70 9663386),(71 9804824),(72 9920783),(73 10033824),(74 10182299),(75 10358358),(76 10582921),(77 10884452),(78 11240724),(79 11631840),
