1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 43960.406),(2 147698.27),(3 307294.25),(4 513295.34),(5 781255.94),(6 1073925.1),(7 1401190.4),(8 1746136.6),(9 2104424.5),(10 2481033.8),(11 2856814),(12 3234835.3),(13 3645865.3),(14 4042797.3),(15 4463060.5),(16 4933485.5),(17 5417556),(18 5941976.5),(19 6420008),(20 6882434),(21 7330041.5),(22 7748696.5),(23 8123807.5),(24 8489161),(25 8805596),(26 9111160),(27 9414029),(28 9773456),(29 10067293),(30 10327469),(31 10534648),(32 10771159),(33 11012182),(34 11251568),(35 11475928),(36 11682355),(37 11830997),(38 11974717),(39 12042859),(40 12107512),(41 12138832),(42 12153423),(43 12164784),(44 12197544),(45 12210357),(46 12266967),(47 12343195),(48 12409912),(49 12420079),(50 12432768),(51 12452983),(52 12502283),(53 12605827),(54 12705152),(55 12833888),(56 13014443),(57 13185093),(58 13359380),(59 13487765),(60 13621772),(61 13760073),(62 13938573),(63 14098136),(64 14365925),(65 14657963),(66 14976672),(67 15291265),(68 15604963),(69 15868496),(70 16145351),(71 16469981),(72 16765531),(73 17074580),(74 17389830),(75 17705114),(76 18040552),(77 18434122),(78 18822322),(79 19280582),
(1 36232.32),(2 129203.95),(3 268766.3),(4 454373.1),(5 684518.1),(6 947778.4),(7 1251079.8),(8 1577104.8),(9 1904152.4),(10 2258637.5),(11 2607742.5),(12 2960281.5),(13 3334063),(14 3711643.3),(15 4100109.5),(16 4525944),(17 4951027),(18 5380439.5),(19 5793262.5),(20 6189293),(21 6576408),(22 6949023),(23 7302005),(24 7644790.5),(25 7978259),(26 8308001.5),(27 8634278),(28 8978518),(29 9320810),(30 9667806),(31 9974136),(32 10305886),(33 10652904),(34 10997977),(35 11320938),(36 11596966),(37 11822934),(38 12029454),(39 12180235),(40 12319216),(41 12415186),(42 12473213),(43 12580774),(44 12696392),(45 12805962),(46 12949123),(47 13095039),(48 13193822),(49 13268554),(50 13302074),(51 13310818),(52 13344107),(53 13410866),(54 13469550),(55 13577131),(56 13714024),(57 13878430),(58 14101691),(59 14312906),(60 14521598),(61 14747490),(62 15021126),(63 15348765),(64 15729848),(65 16131915),(66 16552962),(67 16982156),(68 17377534),(69 17732540),(70 18074950),(71 18374424),(72 18665060),(73 19042434),(74 19400636),(75 19736960),(76 20030038),(77 20342804),(78 20578018),(79 20869738),
(1 27964.063),(2 101199.56),(3 209528.02),(4 348621.16),(5 521076.38),(6 724298.8),(7 963101.75),(8 1225302.1),(9 1501364.9),(10 1802972.5),(11 2112590.8),(12 2438527.5),(13 2802166.8),(14 3173708.8),(15 3571435.3),(16 4007254.8),(17 4458436),(18 4915661),(19 5371574.5),(20 5826217.5),(21 6285428.5),(22 6754026.5),(23 7218308),(24 7712479.5),(25 8231573.5),(26 8787192),(27 9370743),(28 9991960),(29 10597824),(30 11253932),(31 11855677),(32 12447136),(33 13084225),(34 13698957),(35 14307808),(36 14904983),(37 15470035),(38 16019395),(39 16545700),(40 17083770),(41 17597586),(42 18083902),(43 18628842),(44 19160910),(45 19704580),(46 20233656),(47 20769612),(48 21267462),(49 21722686),(50 22120040),(51 22458906),(52 22817888),(53 23199626),(54 23561754),(55 23953734),(56 24368922),(57 24794894),(58 25275154),(59 25745362),(60 26240486),(61 26761598),(62 27315866),(63 27950046),(64 28575126),(65 29244842),(66 29885338),(67 30552432),(68 31178144),(69 31718374),(70 32263160),(71 32748378),(72 33250000),(73 33806710),(74 34422212),(75 35037920),(76 35664148),(77 36363836),(78 37034876),(79 37786576),
(1 25022.518),(2 89175.55),(3 182970.25),(4 303552.16),(5 450989.72),(6 626815.44),(7 844532.25),(8 1088497.5),(9 1360403.5),(10 1643388.5),(11 1941847.5),(12 2259202.3),(13 2613780.8),(14 2979775.3),(15 3369859),(16 3809803.5),(17 4249404),(18 4722129),(19 5199670),(20 5673221.5),(21 6167806),(22 6675090.5),(23 7174934.5),(24 7676434.5),(25 8223180.5),(26 8782680),(27 9372503),(28 9978284),(29 10581308),(30 11175980),(31 11736681),(32 12316540),(33 12966516),(34 13577111),(35 14177504),(36 14811040),(37 15430235),(38 16068896),(39 16711234),(40 17346392),(41 18015268),(42 18717688),(43 19407344),(44 20073612),(45 20736326),(46 21401530),(47 22054476),(48 22683190),(49 23280254),(50 23871832),(51 24482678),(52 25097142),(53 25734068),(54 26367620),(55 27005012),(56 27641846),(57 28252112),(58 28817180),(59 29376270),(60 29882140),(61 30411432),(62 30885700),(63 31289352),(64 31659178),(65 32040310),(66 32423626),(67 32781624),(68 33117038),(69 33422296),(70 33678820),(71 33933084),(72 34180350),(73 34434690),(74 34666492),(75 34860140),(76 35023028),(77 35236348),(78 35474084),(79 35773744),
(1 29912.486),(2 110609.3),(3 234858.39),(4 403369.03),(5 619369.56),(6 882456.75),(7 1194793.4),(8 1558538.4),(9 1966502.1),(10 2402166.3),(11 2883993.3),(12 3405210.5),(13 3982345.8),(14 4613576.5),(15 5292824.5),(16 6044331.5),(17 6849642),(18 7676709),(19 8549900),(20 9444855),(21 10378557),(22 11340602),(23 12297212),(24 13260380),(25 14246868),(26 15280535),(27 16329580),(28 17395730),(29 18478750),(30 19543278),(31 20566266),(32 21557172),(33 22587036),(34 23565022),(35 24482112),(36 25391092),(37 26258970),(38 27137210),(39 27996108),(40 28812830),(41 29572818),(42 30299450),(43 30988492),(44 31670830),(45 32331642),(46 32965266),(47 33578040),(48 34141324),(49 34688412),(50 35202350),(51 35681716),(52 36139956),(53 36619190),(54 37106280),(55 37565504),(56 38040040),(57 38504610),(58 38924530),(59 39326948),(60 39641500),(61 39972350),(62 40275148),(63 40496764),(64 40669068),(65 40821620),(66 40946160),(67 41053980),(68 41143524),(69 41207984),(70 41223332),(71 41223760),(72 41239076),(73 41281230),(74 41276228),(75 41216730),(76 41133630),(77 41074776),(78 40956370),(79 40823384),
(1 34549.74),(2 126483.11),(3 268981.22),(4 457066.84),(5 697822.06),(6 982372.7),(7 1310157.6),(8 1677083.6),(9 2075592),(10 2496817),(11 2936530.8),(12 3391634),(13 3875368.8),(14 4371776.5),(15 4910351),(16 5495083),(17 6096207.5),(18 6711940),(19 7309091),(20 7889661.5),(21 8445672),(22 8978990),(23 9506998),(24 10069950),(25 10622958),(26 11200208),(27 11801414),(28 12456551),(29 13126837),(30 13788886),(31 14402637),(32 15034510),(33 15659042),(34 16265053),(35 16861082),(36 17426366),(37 17992738),(38 18513140),(39 19067670),(40 19617660),(41 20139684),(42 20673696),(43 21218282),(44 21757868),(45 22243938),(46 22731164),(47 23179436),(48 23601788),(49 23987718),(50 24360716),(51 24690012),(52 25028350),(53 25381758),(54 25703028),(55 26015698),(56 26311412),(57 26594106),(58 26840414),(59 27042932),(60 27212732),(61 27411036),(62 27585754),(63 27712506),(64 27827548),(65 27907264),(66 27983344),(67 28058400),(68 28129420),(69 28203820),(70 28254276),(71 28315238),(72 28372876),(73 28443168),(74 28447312),(75 28420880),(76 28409228),(77 28475796),(78 28572282),(79 28670612),
(1 34739.81),(2 130985.484),(3 280915.34),(4 472951.78),(5 711259.44),(6 988893.44),(7 1309467.3),(8 1662006.5),(9 2035786.6),(10 2426906.5),(11 2836285.5),(12 3258365.5),(13 3698296),(14 4153974.8),(15 4633258),(16 5141511),(17 5650863),(18 6162747),(19 6661916.5),(20 7166130),(21 7657483.5),(22 8142603),(23 8639575),(24 9154538),(25 9666037),(26 10168006),(27 10674154),(28 11183109),(29 11639780),(30 12103338),(31 12561252),(32 13023916),(33 13468069),(34 13916479),(35 14344751),(36 14764209),(37 15162161),(38 15547152),(39 15928937),(40 16301001),(41 16635723),(42 16961594),(43 17280402),(44 17610358),(45 17901296),(46 18176614),(47 18422548),(48 18649142),(49 18838432),(50 19020324),(51 19183920),(52 19333958),(53 19432354),(54 19525202),(55 19550214),(56 19547010),(57 19505316),(58 19444974),(59 19367726),(60 19246068),(61 19117010),(62 18998594),(63 18850666),(64 18683314),(65 18532618),(66 18392248),(67 18236658),(68 18064400),(69 17902334),(70 17721250),(71 17559962),(72 17389802),(73 17208418),(74 17004364),(75 16788228),(76 16588282),(77 16418864),(78 16299082),(79 16192439),
(1 31412.455),(2 118014.43),(3 255917.6),(4 434144.66),(5 657281.25),(6 914438.75),(7 1211004),(8 1537971.8),(9 1884818),(10 2256942.5),(11 2643404),(12 3042962.8),(13 3458628.3),(14 3882846.5),(15 4330015.5),(16 4801875),(17 5299519.5),(18 5816825.5),(19 6342304),(20 6886941),(21 7438511.5),(22 7998799.5),(23 8579033),(24 9129491),(25 9686116),(26 10253097),(27 10835017),(28 11418646),(29 11976621),(30 12498434),(31 12999085),(32 13490955),(33 13964992),(34 14450224),(35 14931724),(36 15389074),(37 15840830),(38 16256939),(39 16656770),(40 17048320),(41 17417930),(42 17765042),(43 18143364),(44 18506400),(45 18859786),(46 19194254),(47 19519628),(48 19819998),(49 20070586),(50 20301804),(51 20488324),(52 20696704),(53 20888456),(54 21046784),(55 21171666),(56 21270334),(57 21349340),(58 21390840),(59 21402402),(60 21395826),(61 21390414),(62 21342018),(63 21288562),(64 21203922),(65 21064964),(66 20910030),(67 20751606),(68 20613704),(69 20478616),(70 20346506),(71 20221818),(72 20105312),(73 19995480),(74 19851260),(75 19716298),(76 19601062),(77 19498306),(78 19399052),(79 19278386),
(1 38362.496),(2 141989.14),(3 301545.06),(4 509111.75),(5 766323.2),(6 1064708.3),(7 1395681),(8 1753108.3),(9 2147871.5),(10 2566890.8),(11 3007683),(12 3462322.8),(13 3937478),(14 4420256),(15 4927399),(16 5451886),(17 5980572.5),(18 6522295.5),(19 7070020.5),(20 7615341),(21 8159915.5),(22 8679294),(23 9204181),(24 9724066),(25 10253114),(26 10777982),(27 11310592),(28 11848384),(29 12354106),(30 12870788),(31 13341264),(32 13798562),(33 14242520),(34 14684582),(35 15139888),(36 15580956),(37 16013229),(38 16440376),(39 16870144),(40 17258800),(41 17660984),(42 18056144),(43 18477712),(44 18889112),(45 19295698),(46 19715802),(47 20101368),(48 20462334),(49 20793112),(50 21107286),(51 21390844),(52 21667438),(53 21934780),(54 22165978),(55 22396724),(56 22596232),(57 22775616),(58 22906180),(59 23005712),(60 23088662),(61 23150166),(62 23190604),(63 23178208),(64 23118888),(65 23017392),(66 22875180),(67 22692924),(68 22501474),(69 22276980),(70 22026806),(71 21760588),(72 21440528),(73 21091710),(74 20698980),(75 20308314),(76 19901636),(77 19475144),(78 19039556),(79 18573446),
(1 40512.633),(2 149110.63),(3 319160.53),(4 542321),(5 820506.7),(6 1137566),(7 1491378.4),(8 1874367.1),(9 2291052),(10 2725207.5),(11 3182953),(12 3638595.3),(13 4105652),(14 4578712),(15 5063842),(16 5550855),(17 6037733.5),(18 6525873),(19 7008663.5),(20 7481901.5),(21 7939454),(22 8387298.5),(23 8823116),(24 9243133),(25 9648304),(26 10048626),(27 10443155),(28 10830139),(29 11181208),(30 11522887),(31 11836308),(32 12140964),(33 12444838),(34 12741340),(35 13035447),(36 13322165),(37 13617305),(38 13896247),(39 14183259),(40 14471431),(41 14786373),(42 15105780),(43 15432471),(44 15760892),(45 16077195),(46 16396962),(47 16704804),(48 17005612),(49 17257736),(50 17476732),(51 17675350),(52 17865290),(53 18041848),(54 18183950),(55 18317864),(56 18453928),(57 18582712),(58 18670270),(59 18747634),(60 18842204),(61 18914652),(62 18958354),(63 18954558),(64 18912354),(65 18844260),(66 18750584),(67 18639666),(68 18526164),(69 18393344),(70 18258612),(71 18104170),(72 17928276),(73 17741224),(74 17556574),(75 17358740),(76 17144840),(77 16896456),(78 16645781),(79 16362448),
(1 37034.875),(2 138406.05),(3 300371.75),(4 516831.75),(5 794223.4),(6 1124740.1),(7 1506487.3),(8 1930364),(9 2402131.3),(10 2913052),(11 3473228),(12 4061669.8),(13 4677132),(14 5311949),(15 5957706.5),(16 6615448.5),(17 7271064),(18 7914291),(19 8535861),(20 9149730),(21 9756829),(22 10349308),(23 10934376),(24 11528452),(25 12097056),(26 12645922),(27 13161804),(28 13663955),(29 14109414),(30 14498948),(31 14816450),(32 15057964),(33 15228126),(34 15353628),(35 15417912),(36 15414255),(37 15367134),(38 15272853),(39 15139689),(40 14969844),(41 14792589),(42 14599497),(43 14375699),(44 14135053),(45 13878857),(46 13623480),(47 13348207),(48 13078452),(49 12812420),(50 12552408),(51 12292037),(52 12045130),(53 11803660),(54 11572743),(55 11371596),(56 11186405),(57 11028196),(58 10900269),(59 10789969),(60 10702641),(61 10631354),(62 10555561),(63 10474552),(64 10413410),(65 10373724),(66 10354216),(67 10328511),(68 10298842),(69 10266453),(70 10215868),(71 10167768),(72 10128870),(73 10089129),(74 10062415),(75 10064472),(76 10072246),(77 10074964),(78 10067535),(79 10065542),
