q, (a, b, c)
1.5, (-269906652.0410309,0.19720904213763857,269917460.1518131,-2.748996456824309)
2.5, (-365382125.2238886,0.19491841283007377,365395082.5232073,-2.7490553699759834)
3.5, (-287396821.7789544,0.19850568008927888,287409103.2428458,-2.7489635878363856)
4.5, (-1039532515.6083094,0.19457760203077054,1039568479.733868,-2.749064777993039)
5.5, (-649098712.992688,0.19734167459627963,649124705.3763534,-2.748994398500605)
6.5, (0.0,1.0,0.0,0.0)
7.5, (0.0,1.0,0.0,0.0)
8.5, (0.0,1.0,0.0,0.0)
9.5, (0.0,1.0,0.0,0.0)
10.5, (0.0,1.0,0.0,0.0)
11.5, (0.0,1.0,0.0,0.0)
12.5, (0.0,1.0,0.0,0.0)
13.5, (0.0,1.0,0.0,0.0)
14.5, (0.0,1.0,0.0,0.0)
15.5, (0.0,1.0,0.0,0.0)
16.5, (0.0,1.0,0.0,0.0)
17.5, (0.0,1.0,0.0,0.0)
18.5, (0.0,1.0,0.0,0.0)
19.5, (0.0,1.0,0.0,0.0)
20.5, (0.0,1.0,0.0,0.0)
21.5, (0.0,1.0,0.0,0.0)
22.5, (0.0,1.0,0.0,0.0)
23.5, (0.0,1.0,0.0,0.0)
24.5, (0.0,1.0,0.0,0.0)
25.5, (0.0,1.0,0.0,0.0)
26.5, (0.0,1.0,0.0,0.0)
27.5, (0.0,1.0,0.0,0.0)
28.5, (0.0,1.0,0.0,0.0)
29.5, (0.0,1.0,0.0,0.0)
30.5, (0.0,1.0,0.0,0.0)
31.5, (0.0,1.0,0.0,0.0)
32.5, (0.0,1.0,0.0,0.0)
33.5, (0.0,1.0,0.0,0.0)
34.5, (173427.99960365432,28.005658102670417,-26264.543245778517,0.9844247324905115)
35.5, (156807.54789218298,24.87062006463608,-25280.21785763974,0.9842356786405321)
36.5, (165904.27988912945,28.827172716822645,-22490.649624295307,0.9836788101666707)
37.5, (165042.94392697324,30.876297891538872,-19164.658566239857,0.9829087970363154)
38.5, (164373.3959177871,25.4852005312962,-21588.020334483383,0.9823191515857252)
39.5, (129194.86314167388,30.267896980055042,-10382.490197172452,1.0187829592174211)
40.5, (160626.6655305394,17.453645202155133,-30422.77469752024,1.0167203835923468)
41.5, (151369.32989292542,34.228549530945834,-9531.26222858342,1.0198762374648631)
42.5, (156559.72871724638,20.072911767141445,-25815.028272141637,1.0175410494886212)
43.5, (169705.72608076833,24.870696552608546,-21086.989615085622,1.0197735902706464)
