q, (a, b, c)
1.5, (-55758231084.13845, 166031.89663837187, 55757286073.36458)
2.5, (-20293454.91343964, 38.41867011017622, 17997695.04664731)
3.5, (-23040930.881154902, 38.50313252868468, 20701427.084001236)
4.5, (-62738346.633169584, 122.66309494722192, 61440436.43607671)
5.5, (-52859486.389659874, 171.89219180454077, 52459605.461910866)
6.5, (-22235183.693259865, 44.19084285633262, 21036520.387206636)
7.5, (-68397504.87732251, 238.9190181476775, 69195472.38664795)
8.5, (-23832622.50785507, 75.22538965881292, 25430340.569649857)
9.5, (-112332103.74239457, 450.5617199699567, 113202676.82559045)
10.5, (-25448408.17498082, 86.9688041335452, 26063860.230217766)
11.5, (-27220256.400075495, 136.22562498474252, 29317702.365110602)
12.5, (-35728502.83059749, 173.12089657069944, 37819980.826537386)
13.5, (-13734832.09310234, 29.362221095821443, 13519584.871384121)
14.5, (-29125156386.333813, 297871.8252033819, 29128144731.818096)
15.5, (-105934276629.11743, 916081.5978286988, 105936231386.27643)
16.5, (-10489996.374692094, 46.74392024124177, 11535463.05224944)
17.5, (-8120147.876629835, 23.07812100912291, 8153365.533572068)
18.5, (-6754912.058784212, 22.01467940876627, 6921743.312062775)
19.5, (-5900010.671085624, 9.554605931317504, 4934121.513150082)
20.5, (-5371205.268290298, 26.969535113578416, 5817015.231615975)
21.5, (-13977381.484779358, 166.7859917924445, 15134506.659573505)
22.5, (-16958358.928889006, 353.96481652745246, 18075044.850400377)
23.5, (-14609447.103214541, 214.5371858014732, 15614609.564070884)
24.5, (-3989933.9077414023, 32.563659082610535, 4359207.352893941)
25.5, (-3075461.4224709324, 21.2601826952001, 3286765.858077258)
26.5, (-4010367.818496017, 51.35955965748783, 4683117.8443506695)
27.5, (-4296321.244760204, 63.55581560977152, 4873772.467039632)
28.5, (-4065617.7562431423, 46.51652739432721, 4321212.799274286)
29.5, (-3945616.68413825, 62.638938241611676, 4357321.6514581395)
30.5, (-2405046.8142696633, 23.131396466571662, 2571914.9681764287)
31.5, (-2650212.900211107, 32.77140273946507, 2870539.3560200343)
32.5, (-2352294.1430997136, 63.147853241296055, 2800955.260854173)
33.5, (-1676374.1079527985, 27.29880456249759, 2001544.6186020647)
34.5, (-1574186.6574881468, 21.644294793171216, 1801590.0658535706)
35.5, (-1692436.6897827717, 20.358410224214282, 1841466.1354380413)
36.5, (-1563434.952563736, 18.58908267809877, 1678334.0410233887)
37.5, (-1470582.9703484336, 22.064484675293254, 1636082.1229651223)
38.5, (-1197492.350373001, 15.892994772588418, 1291593.5387857668)
39.5, (-1059447.502748212, 16.888538762548958, 1171662.6633768093)
40.5, (-1146590.4870768622, 19.060883609277326, 1228460.337678677)
41.5, (-990857.0440278759, 19.87447258096244, 1113160.9317072588)
42.5, (-916879.0689135531, 17.489883105581566, 1027512.6738162037)
43.5, (-977970.1277480639, 12.769577480381809, 997403.5920642919)
44.5, (-836029.3006373793, 15.816994625190093, 920176.7229638874)
