q, (a, b, c)
1.5, (-182357469072.31573, 321580.22782793525, 182359852142.78845)
2.5, (-88884009.40262993, 27.172275934140167, 76234004.24755605)
3.5, (-94380589.26094502, 41.516756723909175, 87089360.45398861)
4.5, (-54506832.51954912, 31.676062162351286, 50161792.87201965)
5.5, (-34742904.428269394, 23.126954975923745, 33663095.48376394)
6.5, (-21836134.650629323, 9.916409486235548, 18754060.353387408)
7.5, (-18152935.26525741, 12.263328163963735, 17204761.98790665)
8.5, (-15834013.259207485, 29.665112288649688, 16892706.706213396)
9.5, (-6961893.558581147, 25.86790505547619, 9073353.329072658)
10.5, (-7163960.006487979, 4.2390157906039105, 5188071.273566034)
11.5, (-4816468.271922458, 3.271552053665511, 3501157.3612859217)
12.5, (-3515742.29468048, 3.33945760621393, 2900385.597743723)
13.5, (-3581114.6199706406, 2.6371000140865153, 2678487.0171292094)
14.5, (-3396577.4610346807, 3.2754273394098155, 2713133.8558004964)
15.5, (-1561199.2439193449, 30.57237714653856, 2791620.0420395485)
16.5, (-2209188.600370165, 5.265035799538618, 2217548.6206368445)
17.5, (-1841907.5275170738, 5.703544604663317, 1993166.4719400313)
18.5, (-1884484.8871662943, 10.143294143143653, 2206721.3776907055)
19.5, (-1531372.3202382633, 16.20901256581981, 2050475.8290789786)
20.5, (-1416640.3758451778, 19.77466956893919, 1928433.1862796864)
21.5, (-1470950.2640599434, 5.893907116910263, 1587533.8024658393)
22.5, (-1289557.953737341, 3.469140559701708, 1202072.762173526)
23.5, (-1198529.5239830369, 2.5739088317923606, 1047207.4222900338)
24.5, (-1254935.6221106772, 2.51479908959018, 1029046.1364481072)
25.5, (-1180529.3382741588, 2.5149732014309167, 971097.0993750825)
26.5, (-974524.8412233088, 2.7012582371082963, 859296.7521453077)
27.5, (-968061.1004099608, 2.7334094740288397, 830796.053485783)
28.5, (-595843.8445620025, 8.93615932163552, 870444.2100531507)
29.5, (-933159.5246431803, 72.20873846177766, 1464527.8606733407)
30.5, (-767440.0489744784, 25.677991924152, 1198450.697678965)
31.5, (-925279.3564487656, 6.497255440938833, 966754.1629071509)
32.5, (-693434.8283247489, 5.251755098550609, 739071.5001953896)
33.5, (-697744.4817652763, 3.5647399246442286, 648594.3978726749)
34.5, (-687110.6896351436, 2.073009192652226, 513946.4132573035)
35.5, (-506915.38860014733, 2.61611372607495, 461701.1148183224)
36.5, (-447393.2316729405, 2.78941929329601, 431087.49374869047)
37.5, (-420570.8049189253, 4.573927691186346, 464247.74294998974)
38.5, (-333608.2055742239, 5.744878135888579, 420166.58463880344)
39.5, (-336040.77794927784, 9.074305442736742, 444153.95169480954)
40.5, (-312868.11598908296, 15.920972132007158, 450320.9010768604)
41.5, (-313057.6404763551, 8.134669304401777, 391055.15712350025)
42.5, (-305170.11025200115, 10.434396672444421, 388326.5521123932)
43.5, (-223833.88135583498, 11.48178480440737, 323392.6976610949)
44.5, (-215390.4113006537, 15.194054327669182, 332022.91293840174)
45.5, (-240520.27768134788, 3.9585234443443666, 251524.8732002164)
46.5, (-233292.5953861982, 3.1285211062799205, 225139.31249672506)
47.5, (-201249.73222256542, 3.184396384162404, 202515.73780148185)
48.5, (-191833.65620529337, 2.7033461111586745, 182067.1591770291)
